actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
18,PT10M34.00S,2022-11-05T23:11:54.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629651,8.754927726675426,49.50980392156863,1610612751,2,2,2022-11-05T23:11:58Z,180000,2.0,30.0,1,left,MISS N. Claxton Layup,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,2.99,Missed,,,,,,,,,,,,,,,,,,
19,PT10M33.00S,2022-11-05T23:11:55.0Z,1,REGULAR,rebound,defensive,[],1628372,,,1610612766,2,2,2022-11-05T23:11:58Z,190000,,,0,,D. Smith Jr. REBOUND (Off:0 Def:1),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Restricted Area,0-8 Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M20.00S,2022-11-05T23:12:11.1Z,1,REGULAR,foul,personal,['2freethrow'],1626220,,,1610612766,2,2,2022-11-05T23:12:20Z,200000,,,0,,R. O'Neale shooting personal FOUL (1 PF) (Washington 2 FT),"[1626220, 1629023]",1610612751.0,BKN,shooting,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,204058.0,1.0,0.0,Washington,1629023.0,,,
22,PT10M20.00S,2022-11-05T23:12:36.6Z,1,REGULAR,freethrow,1 of 2,[],1629023,,,1610612766,2,2,2022-11-05T23:13:00Z,220000,,,0,,MISS P. Washington Free Throw 1 of 2,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
23,PT10M20.00S,2022-11-05T23:12:36.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612766,2,2,2022-11-05T23:13:00Z,230000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,
24,PT10M20.00S,2022-11-05T23:12:36.6Z,1,REGULAR,freethrow,2 of 2,[],1629023,,,1610612766,2,2,2022-11-05T23:13:00Z,240000,,,0,,MISS P. Washington Free Throw 2 of 2,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
25,PT10M18.00S,2022-11-05T23:12:38.6Z,1,REGULAR,rebound,defensive,[],203925,,,1610612751,2,2,2022-11-05T23:13:00Z,250000,,,0,,J. Harris REBOUND (Off:0 Def:1),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M58.00S,2022-11-05T23:13:15.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,8.015768725361369,64.30759803921569,1610612751,2,4,2022-11-05T23:14:51Z,260000,-72.0,23.0,1,left,K. Durant 7' turnaround Jump Shot (4 PTS),[201142],1610612751.0,BKN,turnaround,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,7.5,Made,,,,,4.0,,,,,,,,,,,,,
28,PT09M47.00S,2022-11-05T23:13:26.5Z,1,REGULAR,3pt,Jump Shot,[],1626162,78.0059132720105,89.4607843137255,1610612766,5,4,2022-11-05T23:13:35Z,270000,197.0,154.0,1,right,K. Oubre Jr. 25' 3PT  (3 PTS) (D. Smith Jr. 1 AST),"[1626162, 1628372]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,25.04,Made,,,,,3.0,D. Smith Jr.,1628372.0,1.0,,,,,,,,,,
29,PT09M22.00S,2022-11-05T23:13:50.8Z,1,REGULAR,3pt,Jump Shot,[],203925,23.866622864651774,9.068627450980392,1610612751,5,4,2022-11-05T23:13:59Z,280000,205.0,172.0,1,left,MISS J. Harris 26' 3PT,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Above the Break 3,24+ Right Center,26.72,Missed,,,,,,,,,,,,,,,,,,
30,PT09M22.00S,2022-11-05T23:13:50.8Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,5,4,2022-11-05T23:13:59Z,290000,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Right Center,,,29.0,1.0,0.0,1.0,,,,,,,,,,,,,,
31,PT09M17.00S,2022-11-05T23:13:56.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628410,23.866622864651774,87.25490196078431,1610612751,5,7,2022-11-05T23:14:13Z,300000,-186.0,172.0,1,left,E. Sumner 25' 3PT  (3 PTS) (N. Claxton 2 AST),"[1628410, 1629651]",1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,Above the Break 3,24+ Left Center,25.34,Made,,,,,3.0,N. Claxton,1629651.0,2.0,,,,,,,,,,
34,PT08M59.00S,2022-11-05T23:14:13.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,89.09329829172142,62.64169730392157,1610612766,5,7,2022-11-05T23:16:03Z,320000,63.0,50.0,1,right,MISS P. Washington 8' pullup Shot - blocked,"[1629023, 201142]",1610612766.0,CHA,pullup,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,8.06,Missed,,,,,,,,,Durant,201142.0,,,,,,,,
35,PT08M59.00S,2022-11-05T23:14:13.7Z,1,REGULAR,block,,[],201142,,,1610612766,5,7,2022-11-05T23:14:16Z,330000,,,0,,K. Durant BLOCK (1 BLK),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT08M57.00S,2022-11-05T23:14:15.7Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,5,7,2022-11-05T23:14:21Z,340000,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,,
37,PT08M51.00S,2022-11-05T23:14:24.4Z,1,REGULAR,foul,personal,[],1626162,,,1610612751,5,7,2022-11-05T23:14:49Z,350000,,,0,,K. Oubre Jr. personal FOUL (1 PF),"[1626162, 201142]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,1628484.0,1.0,0.0,Durant,201142.0,,,
39,PT08M41.00S,2022-11-05T23:14:51.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626220,9.72404730617609,62.415747549019606,1610612751,5,7,2022-11-05T23:16:57Z,370000,-62.0,39.0,1,left,MISS R. O'Neale 7' driving floating Shot,[1626220],1610612751.0,BKN,driving floating,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,7.33,Missed,,,,,,,,,,,,,,,,,,
40,PT08M39.00S,2022-11-05T23:14:53.4Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,5,7,2022-11-05T23:14:56Z,380000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT08M38.00S,2022-11-05T23:14:57.0Z,1,REGULAR,foul,personal,[],203925,,,1610612766,5,7,2022-11-05T23:15:04Z,390000,,,0,,J. Harris personal FOUL (1 PF),"[203925, 1626179]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,200832.0,1.0,0.0,Rozier,1626179.0,,,
43,PT08M34.00S,2022-11-05T23:15:18.4Z,1,REGULAR,turnover,bad pass,[],1626179,,,1610612766,5,7,2022-11-05T23:16:48Z,410000,,,0,,T. Rozier bad pass TURNOVER (1 TO),"[1626179, 1628410]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,1.0,Sumner,1628410.0
44,PT08M34.00S,2022-11-05T23:15:18.4Z,1,REGULAR,steal,,[],1628410,,,1610612751,5,7,2022-11-05T23:15:20Z,420000,,,0,,E. Sumner STEAL (1 STL),[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
45,PT08M32.00S,2022-11-05T23:15:20.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628410,8.623521681997373,50.49019607843137,1610612751,5,7,2022-11-05T23:17:42Z,430000,-2.0,29.0,1,left,MISS E. Sumner running Layup,[1628410],1610612751.0,BKN,running,,,Sumner,E. Sumner,,,,,Restricted Area,0-8 Center,2.87,Missed,,,,,,,,,,,,,,,,,,
46,PT08M30.00S,2022-11-05T23:15:22.8Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,5,7,2022-11-05T23:15:22Z,440000,,,0,,M. Plumlee REBOUND (Off:0 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,
47,PT08M14.00S,2022-11-05T23:15:39.4Z,1,REGULAR,3pt,Jump Shot,[],1626162,74.32654402102497,87.00980392156863,1610612766,5,7,2022-11-05T23:16:55Z,450000,185.0,189.0,1,right,MISS K. Oubre Jr. 26' 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,26.43,Missed,,,,,,,,,,,,,,,,,,
48,PT08M10.00S,2022-11-05T23:15:43.1Z,1,REGULAR,rebound,defensive,[],1628410,,,1610612751,5,7,2022-11-05T23:15:43Z,460000,,,0,,E. Sumner REBOUND (Off:0 Def:1),[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,Above the Break 3,24+ Right Center,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,,
49,PT07M58.00S,2022-11-05T23:15:57.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,6.389618922470433,47.30392156862745,1610612751,5,9,2022-11-06T06:18:33Z,470000,13.0,8.0,1,left,N. Claxton DUNK (2 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.55,Made,,,,,2.0,,,,,,,,,,,,,
51,PT07M58.00S,2022-11-05T23:15:59.5Z,1,REGULAR,foul,personal,['1freethrow'],1629023,,,1610612751,5,9,2022-11-05T23:16:13Z,490000,,,0,,P. Washington shooting personal FOUL (1 PF) (Claxton 1 FT),"[1629023, 1629651]",1610612766.0,CHA,shooting,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,200832.0,1.0,0.0,Claxton,1629651.0,,,
53,PT07M58.00S,2022-11-05T23:16:22.4Z,1,REGULAR,freethrow,1 of 1,[],1629651,,,1610612751,5,10,2022-11-05T23:16:22Z,510000,,,0,,N. Claxton Free Throw 1 of 1 (3 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
54,PT07M32.00S,2022-11-05T23:16:48.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628372,81.15965834428384,63.725490196078425,1610612766,5,10,2022-11-05T23:17:01Z,520000,69.0,125.0,1,right,MISS D. Smith Jr. 14' Jump Shot,[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,14.22,Missed,,,,,,,,,,,,,,,,,,
55,PT07M30.00S,2022-11-05T23:16:50.5Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,5,10,2022-11-05T23:16:50Z,530000,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,54.0,2.0,1.0,1.0,,,,,,,,,,,,,,
56,PT07M22.00S,2022-11-05T23:17:02.1Z,1,REGULAR,foul,personal,[],203486,,,1610612751,5,10,2022-11-05T23:17:26Z,540000,,,0,,M. Plumlee personal FOUL (1 PF),"[203486, 201142]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,204058.0,1.0,0.0,Durant,201142.0,,,
58,PT07M09.00S,2022-11-05T23:17:39.9Z,1,REGULAR,3pt,Jump Shot,[],203925,23.866622864651774,86.51960784313727,1610612751,5,10,2022-11-05T23:17:46Z,560000,-183.0,172.0,1,left,MISS J. Harris 25' 3PT,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Above the Break 3,24+ Left Center,25.07,Missed,,,,,,,,,,,,,,,,,,
59,PT07M07.00S,2022-11-05T23:17:41.9Z,1,REGULAR,rebound,offensive,[],203925,,,1610612751,5,10,2022-11-05T23:17:46Z,570000,,,0,,J. Harris REBOUND (Off:1 Def:1),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Above the Break 3,24+ Left Center,,,58.0,2.0,1.0,1.0,,,,,,,,,,,,,,
60,PT07M04.00S,2022-11-05T23:17:45.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626220,26.62614980289093,82.1078431372549,1610612751,5,10,2022-11-05T23:17:50Z,580000,-161.0,198.0,1,left,MISS R. O'Neale 25' 3PT,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,25.47,Missed,,,,,,,,,,,,,,,,,,
61,PT07M01.00S,2022-11-05T23:17:48.5Z,1,REGULAR,rebound,offensive,[],1628410,,,1610612751,5,10,2022-11-05T23:17:50Z,590000,,,0,,E. Sumner REBOUND (Off:1 Def:1),[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,Above the Break 3,24+ Left Center,,,60.0,2.0,1.0,1.0,,,,,,,,,,,,,,
62,PT06M59.00S,2022-11-05T23:17:50.1Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612751,5,10,2022-11-05T23:18:21Z,600000,,,0,,K. Durant bad pass TURNOVER (1 TO),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,1.0,,
63,PT06M57.00S,2022-11-05T23:18:03.4Z,1,REGULAR,foul,personal,[],1628410,,,1610612766,5,10,2022-11-05T23:18:58Z,610000,,,0,,E. Sumner loose ball personal FOUL (1 PF),"[1628410, 1629023]",1610612751.0,BKN,loose ball,,,Sumner,E. Sumner,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,204058.0,1.0,0.0,Washington,1629023.0,,,
65,PT06M57.00S,2022-11-05T23:19:03.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,5,10,2022-11-05T23:19:03Z,630000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M42.00S,2022-11-05T23:21:21.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626179,85.62746386333771,3.6764705882352944,1610612766,8,10,2022-11-05T23:21:26Z,640000,-232.0,83.0,1,right,T. Rozier 24' 3PT  (5 PTS) (D. Smith Jr. 2 AST),"[1626179, 1628372]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,24.59,Made,,,,,5.0,D. Smith Jr.,1628372.0,2.0,,,,,,,,,,
68,PT06M33.00S,2022-11-05T23:21:31.6Z,1,REGULAR,foul,personal,[],1628372,,,1610612751,8,10,2022-11-05T23:21:40Z,660000,,,0,,D. Smith Jr. personal FOUL (1 PF),"[1628372, 1628410]",1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,200832.0,1.0,0.0,Sumner,1628410.0,,,
70,PT06M18.00S,2022-11-05T23:22:02.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626220,8.672798948751648,43.29810049019608,1610612751,8,10,2022-11-05T23:26:34Z,680000,34.0,29.0,1,left,MISS R. O'Neale driving Layup - blocked,"[1626220, 1629023]",1610612751.0,BKN,driving,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,4.43,Missed,,,,,,,,,Washington,1629023.0,,,,,,,,
71,PT06M18.00S,2022-11-05T23:22:02.9Z,1,REGULAR,block,,[],1629023,,,1610612751,8,10,2022-11-05T23:22:05Z,690000,,,0,,P. Washington BLOCK (2 BLK),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
72,PT06M18.00S,2022-11-05T23:22:02.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,8,10,2022-11-05T23:22:12Z,700000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Restricted Area,0-8 Center,,,70.0,,,,,,,,,,,,,,,,,
74,PT06M15.00S,2022-11-05T23:22:18.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203925,11.514454664914586,51.225490196078425,1610612751,8,12,2022-11-05T23:22:33Z,720000,-6.0,56.0,1,left,J. Harris alley-oop Layup (2 PTS) (R. O'Neale 1 AST),"[203925, 1626220]",1610612751.0,BKN,alley-oop,,,Harris,J. Harris,,,,,In The Paint (Non-RA),0-8 Center,5.6,Made,,,,,2.0,R. O'Neale,1626220.0,1.0,,,,,,,,,,
76,PT06M01.00S,2022-11-05T23:22:35.9Z,1,REGULAR,foul,personal,['3freethrow'],201142,,,1610612766,8,12,2022-11-05T23:22:57Z,740000,,,0,,K. Durant shooting personal FOUL (1 PF) (Washington 3 FT),"[201142, 1629023]",1610612751.0,BKN,shooting,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1628484.0,1.0,0.0,Washington,1629023.0,,,
78,PT06M01.00S,2022-11-05T23:23:06.7Z,1,REGULAR,freethrow,1 of 3,[],1629023,,,1610612766,9,12,2022-11-05T23:23:06Z,760000,,,0,,P. Washington Free Throw 1 of 3 (1 PTS),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
79,PT06M01.00S,2022-11-05T23:23:23.4Z,1,REGULAR,freethrow,2 of 3,[],1629023,,,1610612766,10,12,2022-11-05T23:23:23Z,770000,,,0,,P. Washington Free Throw 2 of 3 (2 PTS),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
80,PT06M01.00S,2022-11-05T23:23:24.4Z,1,REGULAR,substitution,out,[],1626179,,,1610612766,10,12,2022-11-05T23:23:36Z,780000,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M01.00S,2022-11-05T23:23:24.4Z,1,REGULAR,substitution,out,[],203925,,,1610612766,10,12,2022-11-05T23:23:36Z,790000,,,0,,SUB out: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M01.00S,2022-11-05T23:23:24.4Z,1,REGULAR,substitution,out,[],1628410,,,1610612766,10,12,2022-11-05T23:23:36Z,800000,,,0,,SUB out: E. Sumner,[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M01.00S,2022-11-05T23:23:24.4Z,1,REGULAR,substitution,in,[],1630547,,,1610612766,10,12,2022-11-05T23:23:36Z,810000,,,0,,SUB in: J. Bouknight,[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M01.00S,2022-11-05T23:23:24.4Z,1,REGULAR,substitution,in,[],203552,,,1610612766,10,12,2022-11-05T23:23:36Z,820000,,,0,,SUB in: S. Curry,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M01.00S,2022-11-05T23:23:24.4Z,1,REGULAR,substitution,in,[],1630560,,,1610612766,10,12,2022-11-05T23:23:36Z,830000,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M01.00S,2022-11-05T23:23:47.9Z,1,REGULAR,freethrow,3 of 3,[],1629023,,,1610612766,11,12,2022-11-05T23:23:47Z,840000,,,0,,P. Washington Free Throw 3 of 3 (3 PTS),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
87,PT05M34.00S,2022-11-05T23:24:15.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,11.95795006570303,62.75658700980392,1610612751,11,12,2022-11-05T23:28:12Z,850000,-64.0,60.0,1,left,MISS K. Durant 8' pullup Shot,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Left,8.75,Missed,,,,,,,,,,,,,,,,,,
88,PT05M34.00S,2022-11-05T23:24:15.3Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,11,12,2022-11-05T23:28:12Z,860000,,,0,,N. Claxton REBOUND (Off:2 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Left,,,87.0,3.0,1.0,2.0,,,,,,,,,,,,,,
