actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
48,PT08M23.00S,2023-04-04T23:15:58.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,6.1268068331143235,51.225490196078425,1610612761,10,4,2023-04-04T23:16:03Z,460000,False,-6.0,5.0,1,left,J. Poeltl cutting Layup (2 PTS) (F. VanVleet 1 AST),"[1627751, 1627832]",1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,0.8,Made,,,,,,,,,,,,,,,2.0,F. VanVleet,1627832.0,1.0
50,PT08M09.00S,2023-04-04T23:16:12.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631121,92.72339027595268,46.81372549019608,1610612766,12,4,2023-04-04T23:16:26Z,480000,False,-16.0,16.0,1,right,B. McGowens cutting Layup (3 PTS) (T. Maledon 3 AST),"[1631121, 1630177]",1610612766.0,CHA,cutting,,,McGowens,B. McGowens,,,,,Restricted Area,0-8 Center,2.25,Made,,,,,,,,,,,,,,,3.0,T. Maledon,1630177.0,3.0
52,PT07M55.00S,2023-04-04T23:16:26.0Z,1,REGULAR,2pt,Jump Shot,[],1630567,6.1268068331143235,17.401960784313726,1610612761,12,4,2023-04-04T23:16:30Z,500000,False,163.0,5.0,1,left,MISS S. Barnes 16' Jump Shot,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Right,16.31,Missed,,,,,,,,,,,,,,,,,,
53,PT07M54.00S,2023-04-04T23:16:27.0Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,12,4,2023-04-04T23:16:30Z,510000,False,,,0,,N. Richards REBOUND (Off:0 Def:4),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Mid-Range,16-24 Right,,,52.0,4.0,4.0,0.0,,,,,,,,,,,,,,
54,PT07M51.00S,2023-04-04T23:16:30.7Z,1,REGULAR,turnover,bad pass,[],1630177,,,1610612766,12,4,2023-04-04T23:20:01Z,520000,False,,,0,,T. Maledon bad pass TURNOVER (1 TO),"[1630177, 1627783]",1610612766.0,CHA,,,,Maledon,T. Maledon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,Siakam,1627783.0,,,,,,
55,PT07M51.00S,2023-04-04T23:16:30.7Z,1,REGULAR,steal,,[],1627783,,,1610612761,12,4,2023-04-04T23:16:32Z,530000,False,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
56,PT07M38.00S,2023-04-04T23:16:43.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627832,7.966491458607096,51.71568627450981,1610612761,12,4,2023-04-04T23:16:48Z,540000,False,-9.0,22.0,1,left,MISS F. VanVleet driving Layup,[1627832],1610612761.0,TOR,driving,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,2.4,Missed,,,,,,,,,,,,,,,,,,
57,PT07M36.00S,2023-04-04T23:16:45.4Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,12,4,2023-04-04T23:16:48Z,550000,False,,,0,,N. Richards REBOUND (Off:0 Def:5),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,56.0,5.0,5.0,0.0,,,,,,,,,,,,,,
58,PT07M25.00S,2023-04-04T23:16:59.9Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612766,12,4,2023-04-04T23:17:05Z,560000,False,,,0,,P. Siakam shooting personal FOUL (2 PF) (McGowens 2 FT),"[1627783, 1631121]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2530.0,2.0,0.0,McGowens,1631121.0,,,,,,,,,
60,PT07M25.00S,2023-04-04T23:17:23.6Z,1,REGULAR,freethrow,1 of 2,[],1631121,,,1610612766,12,4,2023-04-04T23:17:23Z,580000,False,,,0,,MISS B. McGowens Free Throw 1 of 2,[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
61,PT07M25.00S,2023-04-04T23:17:23.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,12,4,2023-04-04T23:17:23Z,590000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,
63,PT07M25.00S,2023-04-04T23:17:37.2Z,1,REGULAR,freethrow,2 of 2,[],1631121,,,1610612766,13,4,2023-04-04T23:17:37Z,600000,False,,,0,,B. McGowens Free Throw 2 of 2 (4 PTS),[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,,,,Made,,,,,,,,,,,,,,,4.0,,,
64,PT07M07.00S,2023-04-04T23:17:57.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,6.521024967148489,51.470588235294116,1610612761,13,6,2023-04-04T23:18:07Z,610000,False,-7.0,9.0,1,left,O. Anunoby driving Layup (2 PTS),[1628384],1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1.15,Made,,,,,,,,,,,,,,,2.0,,,
65,PT06M51.00S,2023-04-04T23:18:14.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630177,92.46057818659659,52.94117647058824,1610612766,15,6,2023-04-04T23:18:18Z,620000,False,15.0,18.0,1,right,T. Maledon driving Layup (4 PTS),[1630177],1610612766.0,CHA,driving,,,Maledon,T. Maledon,,,,,Restricted Area,0-8 Center,2.36,Made,,,,,,,,,,,,,,,4.0,,,
66,PT06M40.00S,2023-04-04T23:18:24.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627783,7.440867279894875,51.225490196078425,1610612761,15,8,2023-04-04T23:18:29Z,630000,False,-6.0,17.0,1,left,P. Siakam DUNK (4 PTS) (S. Barnes 1 AST),"[1627783, 1630567]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,1.84,Made,,,,,,,,,,,,,,,4.0,S. Barnes,1630567.0,1.0
68,PT06M19.00S,2023-04-04T23:18:45.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630177,92.46057818659659,49.26470588235294,1610612766,15,8,2023-04-04T23:18:50Z,650000,False,-4.0,18.0,1,right,MISS T. Maledon driving Layup,[1630177],1610612766.0,CHA,driving,,,Maledon,T. Maledon,,,,,Restricted Area,0-8 Center,1.88,Missed,,,,,,,,,,,,,,,,,,
69,PT06M17.00S,2023-04-04T23:18:47.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,15,8,2023-04-04T23:18:50Z,660000,False,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,68.0,2.0,2.0,0.0,,,,,,,,,,,,,,
70,PT06M13.00S,2023-04-04T23:18:54.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1627783,9.411957950065702,49.01960784313725,1610612761,15,10,2023-04-04T23:21:34Z,670000,False,5.0,36.0,1,left,P. Siakam floating Jump Shot (6 PTS) (F. VanVleet 2 AST),"[1627783, 1627832]",1610612761.0,TOR,floating,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,3.63,Made,,,,,,,,,,,,,,,6.0,F. VanVleet,1627832.0,2.0
72,PT06M13.00S,2023-04-04T23:18:57.0Z,1,REGULAR,foul,personal,['1freethrow'],1629004,,,1610612761,15,10,2023-04-04T23:19:11Z,690000,False,,,0,,S. Mykhailiuk shooting personal FOUL (1 PF) (Siakam 1 FT),"[1629004, 1627783]",1610612766.0,CHA,shooting,,,Mykhailiuk,S. Mykhailiuk,,,,,Restricted Area,0-8 Center,,,,,,,202056.0,1.0,0.0,Siakam,1627783.0,,,,,,,,,
74,PT06M13.00S,2023-04-04T23:19:13.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,15,10,2023-04-04T23:19:13Z,710000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M13.00S,2023-04-04T23:20:08.0Z,1,REGULAR,substitution,out,[],1631121,,,1610612761,15,10,2023-04-04T23:21:36Z,720000,False,,,0,,SUB out: B. McGowens,[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M13.00S,2023-04-04T23:20:08.0Z,1,REGULAR,substitution,in,[],1630547,,,1610612761,15,10,2023-04-04T23:21:36Z,730000,False,,,0,,SUB in: J. Bouknight,[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M13.00S,2023-04-04T23:22:05.5Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1627783,,,1610612761,15,11,2023-04-04T23:22:05Z,740000,False,,,0,,P. Siakam Free Throw 1 of 1 (7 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,Made,,,,,,,,,,,,,,,7.0,,,
78,PT06M03.00S,2023-04-04T23:22:20.8Z,1,REGULAR,turnover,bad pass,[],1630177,,,1610612766,15,11,2023-04-04T23:22:25Z,750000,False,,,0,,T. Maledon bad pass TURNOVER (2 TO),"[1630177, 1627783]",1610612766.0,CHA,,,,Maledon,T. Maledon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,2.0,Siakam,1627783.0,,,,,,
79,PT06M03.00S,2023-04-04T23:22:20.8Z,1,REGULAR,steal,,[],1627783,,,1610612761,15,11,2023-04-04T23:22:23Z,760000,False,,,0,,P. Siakam STEAL (2 STL),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
80,PT05M50.00S,2023-04-04T23:22:34.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627751,19.398817345597898,50.0,1610612761,15,13,2023-04-04T23:23:06Z,770000,False,0.0,130.0,1,left,J. Poeltl 12' floating Jump Shot (4 PTS) (F. VanVleet 3 AST),"[1627751, 1627832]",1610612761.0,TOR,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,12.98,Made,,,,,,,,,,,,,,,4.0,F. VanVleet,1627832.0,3.0
82,PT05M27.00S,2023-04-04T23:22:57.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,91.80354796320631,51.470588235294116,1610612766,17,13,2023-04-04T23:23:01Z,790000,False,7.0,25.0,1,right,N. Richards cutting Layup (6 PTS) (S. Mykhailiuk 2 AST),"[1630208, 1629004]",1610612766.0,CHA,cutting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,2.56,Made,,,,,,,,,,,,,,,6.0,S. Mykhailiuk,1629004.0,2.0
84,PT05M09.00S,2023-04-04T23:23:15.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,7.5722733245729295,51.470588235294116,1610612761,17,13,2023-04-04T23:23:19Z,810000,False,-7.0,19.0,1,left,MISS P. Siakam driving Layup,[1627783],1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,2.01,Missed,,,,,,,,,,,,,,,,,,
85,PT05M07.00S,2023-04-04T23:23:17.2Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,17,13,2023-04-04T23:23:19Z,820000,False,,,0,,N. Richards REBOUND (Off:0 Def:6),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,84.0,6.0,6.0,0.0,,,,,,,,,,,,,,
