actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
16,PT11M03.00S,2022-12-17T00:11:36.9Z,1,REGULAR,freethrow,2 of 2,[],202330,,,1610612766,3,0,2022-12-17T00:12:00Z,160000,False,,,0,,MISS G. Hayward Free Throw 2 of 2,[202330],1610612766.0,CHA,,,,,Hayward,G. Hayward,,,,,,,,Missed,,,,,,,,,,,,,,,,,
17,PT11M00.00S,2022-12-17T00:11:39.9Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,3,0,2022-12-17T00:12:00Z,170000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,,Hunter,D. Hunter,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M54.00S,2022-12-17T00:11:57.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630235,10.85742444152431,39.950980392156865,1610612737,3,2,2022-12-17T00:12:26Z,180000,False,50.0,50.0,1,left,T. Forrest 7' running Layup (2 PTS),[1630235],1610612737.0,ATL,,running,,,Forrest,T. Forrest,,,,,In The Paint (Non-RA),0-8 Center,7.06,Made,,,,,2.0,,,,,,,,,,,,
19,PT10M40.00S,2022-12-17T00:12:11.7Z,1,REGULAR,3pt,Jump Shot,[],1630163,66.96780551905388,15.196078431372548,1610612766,6,2,2022-12-17T00:12:19Z,190000,False,-174.0,258.0,1,right,L. Ball 31' 3PT  (3 PTS) (G. Hayward 1 AST),"[1630163, 202330]",1610612766.0,CHA,,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,31.12,Made,,,,,3.0,,,,,G. Hayward,202330.0,1.0,,,,,
21,PT10M29.00S,2022-12-17T00:12:24.1Z,1,REGULAR,2pt,Jump Shot,[],1629027,22.815374507227332,41.66666666666667,1610612737,6,2,2022-12-17T00:14:23Z,210000,False,42.0,162.0,1,left,MISS T. Young 16' floating Shot,[1629027],1610612737.0,ATL,,floating,,,Young,T. Young,,,,,Mid-Range,16-24 Center,16.73,Missed,,,,,,,,,,,,,,,,,
22,PT10M29.00S,2022-12-17T00:12:24.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,6,2,2022-12-17T00:12:35Z,220000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,Mid-Range,16-24 Center,,,21.0,,,,,,,,,,,,,,,,
24,PT10M13.00S,2022-12-17T00:12:49.8Z,1,REGULAR,3pt,Jump Shot,[],202330,66.3107752956636,42.64705882352941,1610612766,6,2,2022-12-17T00:15:09Z,240000,False,-37.0,264.0,1,right,MISS G. Hayward 26' pullup 3PT,[202330],1610612766.0,CHA,,pullup,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Center,26.68,Missed,,,,,,,,,,,,,,,,,
25,PT10M11.00S,2022-12-17T00:12:51.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,6,2,2022-12-17T00:13:04Z,250000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,Above the Break 3,24+ Center,,,24.0,,,,,,,,,,,,,,,,
26,PT10M11.00S,2022-12-17T00:13:01.8Z,1,REGULAR,foul,personal,[],1630168,,,1610612766,6,2,2022-12-17T00:13:18Z,260000,False,,,0,,O. Okongwu loose ball personal FOUL (1 PF),"[1630168, 203486]",1610612737.0,ATL,204059.0,loose ball,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,0.0,Plumlee,203486.0,,,,,,,,
28,PT10M02.00S,2022-12-17T00:13:21.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626179,81.15965834428384,5.88235294117647,1610612766,6,2,2022-12-17T00:13:27Z,280000,False,-221.0,125.0,1,right,MISS T. Rozier 25' 3PT,[1626179],1610612766.0,CHA,,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,25.34,Missed,,,,,,,,,,,,,,,,,
29,PT09M58.00S,2022-12-17T00:13:26.1Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,6,2,2022-12-17T00:13:26Z,290000,False,,,0,,M. Plumlee REBOUND (Off:2 Def:0),[203486],1610612766.0,CHA,,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Left Center,,,28.0,2.0,0.0,2.0,,,,,,,,,,,,,
30,PT09M56.00S,2022-12-17T00:13:28.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630163,63.6826544021025,50.73529411764706,1610612766,6,2,2022-12-17T00:13:33Z,300000,False,4.0,289.0,1,right,MISS L. Ball 28' 3PT,[1630163],1610612766.0,CHA,,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,28.89,Missed,,,,,,,,,,,,,,,,,
31,PT09M53.00S,2022-12-17T00:13:31.1Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,6,2,2022-12-17T00:13:33Z,310000,False,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[203992],1610612737.0,ATL,,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Center,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,
32,PT09M39.00S,2022-12-17T00:13:45.2Z,1,REGULAR,2pt,Jump Shot,[],1629631,6.652431011826544,17.401960784313726,1610612737,6,4,2022-12-17T00:13:56Z,320000,False,163.0,10.0,1,left,D. Hunter 16' pullup Jump Shot (2 PTS) (T. Forrest 1 AST),"[1629631, 1630235]",1610612737.0,ATL,,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Right,16.33,Made,,,,,2.0,,,,,T. Forrest,1630235.0,1.0,,,,,
34,PT09M32.00S,2022-12-17T00:13:55.3Z,1,REGULAR,foul,offensive,[],202330,,,1610612766,6,4,2022-12-17T00:14:06Z,340000,False,,,0,,G. Hayward offensive FOUL (1 PF),"[202330, 1629027]",1610612766.0,CHA,204059.0,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,0.0,Young,1629027.0,,,,,,,,
36,PT09M32.00S,2022-12-17T00:13:55.3Z,1,REGULAR,turnover,offensive foul,[],202330,,,1610612766,6,4,2022-12-17T00:13:55Z,360000,False,,,0,,G. Hayward offensive foul TURNOVER (1 TO),[202330],1610612766.0,CHA,204059.0,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,1.0,,,,
37,PT09M19.00S,2022-12-17T00:14:24.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203992,32.14520367936925,52.20588235294118,1610612737,6,7,2022-12-17T00:14:30Z,370000,False,-11.0,250.0,1,left,B. Bogdanovic 24' 3PT  (3 PTS) (T. Forrest 2 AST),"[203992, 1630235]",1610612737.0,ATL,,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Center,24.99,Made,,,,,3.0,,,,,T. Forrest,1630235.0,2.0,,,,,
39,PT09M06.00S,2022-12-17T00:14:37.0Z,1,REGULAR,2pt,Jump Shot,[],1630163,81.553876478318,73.0392156862745,1610612766,8,7,2022-12-17T00:14:45Z,390000,False,115.0,121.0,1,right,L. Ball 16' pullup Jump Shot (5 PTS) (J. McDaniels 1 AST),"[1630163, 1629667]",1610612766.0,CHA,,pullup,,,Ball,L. Ball,,,,,Mid-Range,16-24 Right Center,16.7,Made,,,,,5.0,,,,,J. McDaniels,1629667.0,1.0,,,,,
40,PT08M51.00S,2022-12-17T00:14:55.2Z,1,REGULAR,foul,personal,['2freethrow'],203486,,,1610612737,8,7,2022-12-17T00:15:09Z,400000,False,,,0,,M. Plumlee shooting personal FOUL (1 PF) (Bogdanovic 2 FT),"[203486, 203992]",1610612766.0,CHA,204059.0,shooting,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,0.0,Bogdanovic,203992.0,,,,,,,,
42,PT08M51.00S,2022-12-17T00:15:19.9Z,1,REGULAR,freethrow,1 of 2,[],203992,,,1610612737,8,8,2022-12-17T00:15:19Z,420000,False,,,0,,B. Bogdanovic Free Throw 1 of 2 (4 PTS),[203992],1610612737.0,ATL,,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,
43,PT08M51.00S,2022-12-17T00:15:34.9Z,1,REGULAR,freethrow,2 of 2,[],203992,,,1610612737,8,9,2022-12-17T00:15:35Z,430000,False,,,0,,B. Bogdanovic Free Throw 2 of 2 (5 PTS),[203992],1610612737.0,ATL,,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,
45,PT08M41.00S,2022-12-17T00:16:00.8Z,1,REGULAR,turnover,out-of-bounds,[],202330,,,1610612766,8,9,2022-12-17T00:16:11Z,450000,False,,,0,,G. Hayward bad pass out-of-bounds TURNOVER (2 TO),[202330],1610612766.0,CHA,201245.0,bad pass,,,Hayward,G. Hayward,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,2.0,,,,
46,PT08M28.00S,2022-12-17T00:16:22.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629027,18.2161629434954,53.431372549019606,1610612737,8,11,2022-12-17T00:20:27Z,460000,False,-17.0,119.0,1,left,T. Young 11' driving floating Jump Shot (2 PTS),[1629027],1610612737.0,ATL,,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,11.99,Made,,,,,2.0,,,,,,,,,,,,
47,PT08M13.00S,2022-12-17T00:16:37.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,92.46057818659659,54.41176470588235,1610612766,8,11,2022-12-17T00:16:45Z,470000,False,22.0,18.0,1,right,MISS L. Ball driving reverse Layup,[1630163],1610612766.0,CHA,,driving reverse,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,2.88,Missed,,,,,,,,,,,,,,,,,
48,PT08M11.00S,2022-12-17T00:16:39.3Z,1,REGULAR,rebound,defensive,[],1630235,,,1610612737,8,11,2022-12-17T00:16:45Z,480000,False,,,0,,T. Forrest REBOUND (Off:0 Def:1),[1630235],1610612737.0,ATL,,,,,Forrest,T. Forrest,,,,,Restricted Area,0-8 Center,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,
49,PT08M05.00S,2022-12-17T00:16:45.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203992,21.107095926412615,90.93137254901961,1610612737,8,14,2022-12-17T00:21:35Z,490000,False,-205.0,146.0,1,left,B. Bogdanovic 25' 3PT running (8 PTS) (T. Forrest 3 AST),"[203992, 1630235]",1610612737.0,ATL,,running,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Left Center,25.14,Made,,,,,8.0,,,,,T. Forrest,1630235.0,3.0,,,,,
51,PT07M48.00S,2022-12-17T00:17:01.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,92.32917214191852,46.81372549019608,1610612766,10,14,2022-12-17T00:17:07Z,510000,False,-16.0,20.0,1,right,T. Rozier cutting Layup (2 PTS) (G. Hayward 2 AST),"[1626179, 202330]",1610612766.0,CHA,,cutting,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,2.52,Made,,,,,2.0,,,,,G. Hayward,202330.0,2.0,,,,,
53,PT07M41.00S,2022-12-17T00:17:08.9Z,1,REGULAR,3pt,Jump Shot,[],1629027,31.488173455978973,25.49019607843137,1610612737,10,14,2022-12-17T00:22:31Z,530000,False,123.0,243.0,1,left,MISS T. Young 27' pullup 3PT,[1629027],1610612737.0,ATL,,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,27.26,Missed,,,,,,,,,,,,,,,,,
54,PT07M34.00S,2022-12-17T00:17:16.1Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,10,14,2022-12-17T00:17:16Z,540000,False,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Right Center,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,
55,PT07M28.00S,2022-12-17T00:17:22.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,87.59855453350855,50.0,1610612766,10,14,2022-12-17T00:23:21Z,550000,False,0.0,64.0,1,right,MISS T. Rozier 6' driving floating Shot,[1626179],1610612766.0,CHA,,driving floating,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,6.41,Missed,,,,,,,,,,,,,,,,,
56,PT07M26.00S,2022-12-17T00:17:24.3Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,10,14,2022-12-17T00:17:24Z,560000,False,,,0,,M. Plumlee REBOUND (Off:3 Def:0),[203486],1610612766.0,CHA,,,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),0-8 Center,,,55.0,3.0,0.0,3.0,,,,,,,,,,,,,
57,PT07M24.00S,2022-12-17T00:17:25.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202330,67.88764783180025,41.42156862745098,1610612766,10,14,2022-12-17T00:17:32Z,570000,False,-43.0,249.0,1,right,MISS G. Hayward 25' 3PT,[202330],1610612766.0,CHA,,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Center,25.31,Missed,,,,,,,,,,,,,,,,,
58,PT07M24.00S,2022-12-17T00:17:25.9Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,10,14,2022-12-17T00:17:32Z,580000,False,,,0,,B. Bogdanovic REBOUND (Off:0 Def:2),[203992],1610612737.0,ATL,,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Center,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,
59,PT07M18.00S,2022-12-17T00:17:32.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203992,26.363337713534822,86.76470588235294,1610612737,10,14,2022-12-17T00:24:04Z,590000,False,-184.0,195.0,1,left,MISS B. Bogdanovic 26' running pullup 3PT,[203992],1610612737.0,ATL,,running pullup,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Left Center,26.82,Missed,,,,,,,,,,,,,,,,,
60,PT07M14.00S,2022-12-17T00:17:36.7Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,10,14,2022-12-17T00:17:39Z,600000,False,,,0,,M. Plumlee REBOUND (Off:3 Def:1),[203486],1610612766.0,CHA,,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Left Center,,,59.0,4.0,1.0,3.0,,,,,,,,,,,,,
61,PT07M05.00S,2022-12-17T00:17:45.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629667,94.56307490144546,45.588235294117645,1610612766,10,14,2022-12-17T00:17:51Z,610000,False,-22.0,-1.0,1,right,MISS J. McDaniels driving Layup,[1629667],1610612766.0,CHA,,driving,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,2.21,Missed,,,,,,,,,,,,,,,,,
62,PT07M03.00S,2022-12-17T00:17:47.1Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,10,14,2022-12-17T00:17:51Z,620000,False,,,0,,B. Bogdanovic REBOUND (Off:0 Def:3),[203992],1610612737.0,ATL,,,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,,,61.0,3.0,3.0,0.0,,,,,,,,,,,,,
63,PT06M53.00S,2022-12-17T00:17:57.6Z,1,REGULAR,turnover,bad pass,[],203992,,,1610612737,10,14,2022-12-17T00:18:06Z,630000,False,,,0,,B. Bogdanovic bad pass TURNOVER (1 TO),"[203992, 1626179]",1610612737.0,ATL,,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,1.0,Rozier,1626179.0,,
64,PT06M53.00S,2022-12-17T00:17:57.6Z,1,REGULAR,steal,,[],1626179,,,1610612766,10,14,2022-12-17T00:18:00Z,640000,False,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,,Rozier,T. Rozier,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,
65,PT06M53.00S,2022-12-17T00:18:03.2Z,1,REGULAR,turnover,out-of-bounds,[],1626179,,,1610612766,10,14,2022-12-17T00:18:17Z,650000,False,,,0,,T. Rozier step out-of-bounds TURNOVER (1 TO),[1626179],1610612766.0,CHA,2005.0,step,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,1.0,,,,
66,PT06M53.00S,2022-12-17T00:18:10.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,10,14,2022-12-17T00:18:10Z,660000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M47.00S,2022-12-17T00:20:59.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629631,31.225361366622867,31.372549019607842,1610612737,10,14,2022-12-17T00:21:05Z,670000,False,93.0,241.0,1,left,MISS D. Hunter 25' 3PT,[1629631],1610612737.0,ATL,,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,25.84,Missed,,,,,,,,,,,,,,,,,
69,PT06M43.00S,2022-12-17T00:21:03.0Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,10,14,2022-12-17T00:21:05Z,680000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:0),[1630168],1610612737.0,ATL,,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Right Center,,,68.0,1.0,0.0,1.0,,,,,,,,,,,,,
70,PT06M37.00S,2022-12-17T00:21:09.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629027,21.23850197109067,91.66666666666666,1610612737,10,17,2022-12-17T00:25:39Z,690000,False,-208.0,147.0,1,left,T. Young 25' 3PT step back (5 PTS),[1629027],1610612737.0,ATL,,step back,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,25.5,Made,,,,,5.0,,,,,,,,,,,,
71,PT06M20.00S,2022-12-17T00:21:26.9Z,1,REGULAR,3pt,Jump Shot,[],1629667,91.27792378449409,5.147058823529411,1610612766,10,17,2022-12-17T00:21:32Z,700000,False,-224.0,29.0,1,right,MISS J. McDaniels 3PT,[1629667],1610612766.0,CHA,,,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,22.62,Missed,,,,,,,,,,,,,,,,,
72,PT06M16.00S,2022-12-17T00:21:30.0Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,10,17,2022-12-17T00:21:30Z,710000,False,,,0,,B. Bogdanovic REBOUND (Off:0 Def:4),[203992],1610612737.0,ATL,,,,,Bogdanovic,B. Bogdanovic,,,,,Left Corner 3,24+ Left,,,71.0,4.0,4.0,0.0,,,,,,,,,,,,,
73,PT06M08.00S,2022-12-17T00:21:38.9Z,1,REGULAR,turnover,bad pass,[],203992,,,1610612737,10,17,2022-12-17T00:21:43Z,720000,False,,,0,,B. Bogdanovic bad pass TURNOVER (2 TO),"[203992, 203486]",1610612737.0,ATL,,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,2.0,Plumlee,203486.0,,
74,PT06M08.00S,2022-12-17T00:21:38.9Z,1,REGULAR,steal,,[],203486,,,1610612766,10,17,2022-12-17T00:30:15Z,730000,False,,,0,,M. Plumlee STEAL (1 STL),[203486],1610612766.0,CHA,,,,,Plumlee,M. Plumlee,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,
75,PT06M06.00S,2022-12-17T00:21:46.3Z,1,REGULAR,turnover,lost ball,[],1629667,,,1610612766,10,17,2022-12-17T00:21:58Z,740000,False,,,0,,J. McDaniels lost ball TURNOVER (1 TO),"[1629667, 1629027]",1610612766.0,CHA,,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,1.0,Young,1629027.0,,
76,PT06M06.00S,2022-12-17T00:21:46.3Z,1,REGULAR,steal,,[],1629027,,,1610612737,10,17,2022-12-17T00:21:55Z,750000,False,,,0,,T. Young STEAL (1 STL),[1629027],1610612737.0,ATL,,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,
77,PT06M06.00S,2022-12-17T00:21:59.0Z,1,REGULAR,foul,personal,['1freethrow'],1629667,,,1610612737,10,17,2022-12-17T00:22:44Z,760000,False,,,0,,J. McDaniels transition take personal FOUL (1 PF) (Young 1 FT),"[1629667, 1629027]",1610612766.0,CHA,2005.0,transition take,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,0.0,Young,1629027.0,,,,,,,,
79,PT06M06.00S,2022-12-17T00:22:29.4Z,1,REGULAR,substitution,out,[],202330,,,1610612737,10,17,2022-12-17T00:22:40Z,780000,False,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M06.00S,2022-12-17T00:22:29.4Z,1,REGULAR,substitution,in,[],1626162,,,1610612737,10,17,2022-12-17T00:22:40Z,790000,False,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M06.00S,2022-12-17T00:22:46.3Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1629027,,,1610612737,10,18,2022-12-17T00:24:12Z,800000,False,,,0,,T. Young transition take Free Throw 1 of 1 (6 PTS),[1629027],1610612737.0,ATL,,transition take,,,Young,T. Young,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,
82,PT05M56.00S,2022-12-17T00:22:48.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629027,18.084756898817346,57.107843137254896,1610612737,10,20,2022-12-17T00:30:11Z,810000,False,-36.0,117.0,1,left,T. Young 12' driving floating Jump Shot (8 PTS),[1629027],1610612737.0,ATL,,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,12.27,Made,,,,,8.0,,,,,,,,,,,,
