actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
18,PT10M00.00S,2022-11-08T00:02:16.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,8.229303547963205,47.30392156862745,1610612766,4,9,2022-11-08T00:02:23Z,180000,13.0,25.0,1,left,MISS M. Plumlee driving Layup,[203486],1610612766.0,CHA,driving,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,2.83,Missed,,,,,,,,,,,,,,,,,,
19,PT09M58.00S,2022-11-08T00:02:18.2Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,4,9,2022-11-08T00:02:18Z,190000,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,
20,PT09M57.00S,2022-11-08T00:02:20.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626162,29.911300919842315,25.98039215686275,1610612766,4,9,2022-11-08T00:02:28Z,200000,120.0,229.0,1,left,MISS K. Oubre Jr. 25' 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,25.83,Missed,,,,,,,,,,,,,,,,,,
21,PT09M56.00S,2022-11-08T00:02:21.2Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,4,9,2022-11-08T00:14:14Z,210000,,,0,,D. Avdija REBOUND (Off:0 Def:2),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,
93,PT09M56.00S,2022-11-08T00:02:23.6Z,1,REGULAR,turnover,lost ball,[],1630166,,,1610612764,4,9,2022-11-08T00:14:32Z,215000,,,0,,D. Avdija lost ball TURNOVER (1 TO),"[1630166, 203486]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1.0,Plumlee,203486.0,,,,,,,
94,PT09M56.00S,2022-11-08T00:02:23.6Z,1,REGULAR,steal,,[],203486,,,1610612766,4,9,2022-11-08T00:14:32Z,217500,,,0,,M. Plumlee STEAL (1 STL),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT09M55.00S,2022-11-08T00:02:27.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203486,5.590000152587891,50.0,1610612766,6,9,2022-11-08T00:14:45Z,220000,0.0,0.0,1,left,M. Plumlee Layup (2 PTS),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
23,PT09M28.00S,2022-11-08T00:02:48.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628420,91.40932982917214,54.166666666666664,1610612764,6,9,2022-11-08T00:02:52Z,230000,21.0,28.0,1,right,MISS M. Morris driving Layup - blocked,"[1628420, 1628372]",1610612764.0,WAS,driving,,,Morris,M. Morris,,,,,Restricted Area,0-8 Center,3.51,Missed,,,,,,,,,,,,Smith Jr.,1628372.0,,,,,
24,PT09M28.00S,2022-11-08T00:02:48.3Z,1,REGULAR,block,,[],1628372,,,1610612764,6,9,2022-11-08T00:02:51Z,240000,,,0,,D. Smith Jr. BLOCK (1 BLK),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT09M25.00S,2022-11-08T00:02:51.3Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,6,9,2022-11-08T00:02:52Z,250000,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,,23.0,2.0,1.0,1.0,,,,,,,,,,
27,PT09M06.00S,2022-11-08T00:03:28.8Z,1,REGULAR,2pt,Jump Shot,[],1626179,22.552562417871222,28.921568627450984,1610612766,6,9,2022-11-08T00:03:35Z,270000,105.0,159.0,1,left,MISS T. Rozier 19' pullup Shot,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Right Center,19.12,Missed,,,,,,,,,,,,,,,,,,
28,PT09M04.00S,2022-11-08T00:03:30.8Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,6,9,2022-11-08T00:03:35Z,280000,,,0,,M. Plumlee REBOUND (Off:2 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Mid-Range,16-24 Right Center,,,,,,,27.0,3.0,1.0,2.0,,,,,,,,,,
29,PT09M04.00S,2022-11-08T00:03:36.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612766,6,9,2022-11-08T00:03:44Z,290000,,,0,,CHA shot clock Team TURNOVER,[],1610612766.0,CHA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,203054.0,,,,
30,PT08M55.00S,2022-11-08T00:03:57.9Z,1,REGULAR,turnover,out-of-bounds,[],1628398,,,1610612764,6,9,2022-11-08T00:07:23Z,300000,,,0,,K. Kuzma lost ball out-of-bounds TURNOVER (1 TO),[1628398],1610612764.0,WAS,lost ball,,,Kuzma,K. Kuzma,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,,,,,1628953.0,,,,
32,PT08M33.00S,2022-11-08T00:04:36.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629023,9.937582128777924,45.83333333333333,1610612766,6,9,2022-11-08T00:04:40Z,320000,21.0,41.0,1,left,MISS P. Washington driving Layup,[1629023],1610612766.0,CHA,driving,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,4.59,Missed,,,,,,,,,,,,,,,,,,
33,PT08M30.00S,2022-11-08T00:04:39.2Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,6,9,2022-11-08T00:05:31Z,330000,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,
34,PT08M21.00S,2022-11-08T00:04:47.6Z,1,REGULAR,turnover,bad pass,[],1630557,,,1610612764,6,9,2022-11-08T00:04:53Z,340000,,,0,,C. Kispert bad pass TURNOVER (1 TO),"[1630557, 1629023]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Washington,1629023.0,,,,,,,
35,PT08M21.00S,2022-11-08T00:04:47.6Z,1,REGULAR,steal,,[],1629023,,,1610612766,6,9,2022-11-08T00:05:19Z,350000,,,0,,P. Washington STEAL (1 STL),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
36,PT08M20.00S,2022-11-08T00:04:52.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626162,7.5722733245729295,50.49019607843137,1610612766,8,9,2022-11-08T00:05:00Z,360000,-2.0,19.0,1,left,K. Oubre Jr. running Layup (2 PTS) (M. Plumlee 1 AST),"[1626162, 203486]",1610612766.0,CHA,running,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,1.89,Made,2.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,,,,
37,PT08M20.00S,2022-11-08T00:05:13.7Z,1,REGULAR,foul,personal,['1freethrow'],1630557,,,1610612766,8,9,2022-11-08T00:05:23Z,370000,,,0,,C. Kispert shooting personal FOUL (1 PF) (Oubre Jr. 1 FT),"[1630557, 1626162]",1610612764.0,WAS,shooting,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Oubre Jr.,1626162.0
39,PT08M20.00S,2022-11-08T00:05:24.4Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1626162,,,1610612766,9,9,2022-11-08T00:05:24Z,390000,,,0,,K. Oubre Jr. Free Throw 1 of 1 (3 PTS),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
40,PT08M11.00S,2022-11-08T00:05:41.2Z,1,REGULAR,foul,personal,['2freethrow'],203486,,,1610612764,9,9,2022-11-08T00:05:53Z,400000,,,0,,M. Plumlee shooting personal FOUL (1 PF) (Porzingis 2 FT),"[203486, 204001]",1610612766.0,CHA,shooting,,,Plumlee,M. Plumlee,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Porzingis,204001.0
42,PT08M11.00S,2022-11-08T00:05:58.6Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612764,9,9,2022-11-08T00:05:58Z,420000,,,0,,MISS K. Porzingis Free Throw 1 of 2,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
43,PT08M11.00S,2022-11-08T00:05:58.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,9,9,2022-11-08T00:05:58Z,430000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,
44,PT08M11.00S,2022-11-08T00:06:12.9Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612764,9,10,2022-11-08T00:06:12Z,440000,,,0,,K. Porzingis Free Throw 2 of 2 (3 PTS),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
45,PT08M02.00S,2022-11-08T00:06:26.5Z,1,REGULAR,foul,personal,[],1630166,,,1610612766,9,10,2022-11-08T00:06:49Z,450000,,,0,,D. Avdija personal FOUL (1 PF),"[1630166, 203486]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1628953.0,1.0,0.0,Plumlee,203486.0
47,PT07M48.00S,2022-11-08T00:06:57.9Z,1,REGULAR,2pt,Jump Shot,[],1628372,20.45006570302234,69.36274509803921,1610612766,9,10,2022-11-08T00:07:03Z,470000,-97.0,140.0,1,left,MISS D. Smith Jr. 17' fadeaway Shot,[1628372],1610612766.0,CHA,fadeaway,,,Smith Jr.,D. Smith Jr.,,,,,Mid-Range,16-24 Left Center,17.0,Missed,,,,,,,,,,,,,,,,,,
48,PT07M45.00S,2022-11-08T00:07:00.9Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,9,10,2022-11-08T00:07:03Z,480000,,,0,,M. Plumlee REBOUND (Off:3 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Mid-Range,16-24 Left Center,,,,,,,47.0,4.0,1.0,3.0,,,,,,,,,,
49,PT07M37.00S,2022-11-08T00:07:09.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626162,15.588042049934298,61.274509803921575,1610612766,9,10,2022-11-08T00:07:12Z,490000,-56.0,94.0,1,left,MISS K. Oubre Jr. 10' pullup Shot,[1626162],1610612766.0,CHA,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Left,10.96,Missed,,,,,,,,,,,,,,,,,,
50,PT07M34.00S,2022-11-08T00:07:12.1Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,9,10,2022-11-08T00:07:12Z,500000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,
51,PT07M25.00S,2022-11-08T00:07:20.2Z,1,REGULAR,3pt,Jump Shot,[],1628398,72.22404730617609,17.401960784313726,1610612764,9,10,2022-11-08T00:07:25Z,510000,-163.0,209.0,1,right,MISS K. Kuzma 26' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,26.47,Missed,,,,,,,,,,,,,,,,,,
52,PT07M22.00S,2022-11-08T00:07:23.2Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,9,10,2022-11-08T00:07:25Z,520000,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,
53,PT07M16.00S,2022-11-08T00:07:30.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,7.178055190538765,44.6078431372549,1610612766,11,10,2022-11-08T00:07:34Z,530000,27.0,15.0,1,left,K. Oubre Jr. Layup (5 PTS) (D. Smith Jr. 1 AST),"[1626162, 1628372]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,3.09,Made,5.0,D. Smith Jr.,1628372.0,1.0,,,,,,,,,,,,,,
55,PT07M02.00S,2022-11-08T00:07:46.5Z,1,REGULAR,foul,personal,[],1626162,,,1610612764,11,10,2022-11-08T00:07:58Z,550000,,,0,,K. Oubre Jr. personal FOUL (1 PF),"[1626162, 1630166]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,203054.0,1.0,0.0,Avdija,1630166.0
57,PT07M02.00S,2022-11-08T00:07:58.9Z,1,REGULAR,substitution,out,[],1630557,,,1610612764,11,10,2022-11-08T00:08:05Z,570000,,,0,,SUB out: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M02.00S,2022-11-08T00:07:58.9Z,1,REGULAR,substitution,in,[],203115,,,1610612764,11,10,2022-11-08T00:08:05Z,580000,,,0,,SUB in: W. Barton,[203115],1610612764.0,WAS,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M52.00S,2022-11-08T00:08:22.7Z,1,REGULAR,2pt,Jump Shot,[],203115,89.04402102496715,84.06862745098039,1610612764,11,12,2022-11-08T00:08:27Z,590000,170.0,50.0,1,right,W. Barton 17' step back Jump Shot (2 PTS),[203115],1610612764.0,WAS,step back,,,Barton,W. Barton,,,,,Mid-Range,16-24 Right,17.76,Made,2.0,,,,,,,,,,,,,,,,,
60,PT06M42.00S,2022-11-08T00:08:31.6Z,1,REGULAR,3pt,Jump Shot,[],1629023,31.750985545335087,33.088235294117645,1610612766,11,12,2022-11-08T00:11:47Z,600000,85.0,246.0,1,left,MISS P. Washington 26' pullup 3PT,[1629023],1610612766.0,CHA,pullup,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,26.01,Missed,,,,,,,,,,,,,,,,,,
61,PT06M37.00S,2022-11-08T00:08:36.6Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612764,11,12,2022-11-08T00:08:39Z,610000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,Above the Break 3,24+ Right Center,,,,,,,60.0,1.0,1.0,0.0,,,,,,,,,,
62,PT06M34.00S,2022-11-08T00:08:42.7Z,1,REGULAR,foul,personal,['2freethrow'],203486,,,1610612764,11,12,2022-11-08T00:08:55Z,620000,,,0,,M. Plumlee shooting personal FOUL (2 PF) (Porzingis 2 FT),"[203486, 204001]",1610612766.0,CHA,shooting,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1628953.0,2.0,0.0,Porzingis,204001.0
64,PT06M34.00S,2022-11-08T00:09:08.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,11,12,2022-11-08T00:09:08Z,640000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M34.00S,2022-11-08T00:09:34.5Z,1,REGULAR,substitution,out,[],203486,,,1610612764,11,12,2022-11-08T00:11:29Z,650000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M34.00S,2022-11-08T00:09:34.5Z,1,REGULAR,substitution,out,[],1628398,,,1610612764,11,12,2022-11-08T00:11:29Z,660000,,,0,,SUB out: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M34.00S,2022-11-08T00:09:34.5Z,1,REGULAR,substitution,in,[],1630208,,,1610612764,11,12,2022-11-08T00:11:29Z,670000,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M34.00S,2022-11-08T00:09:34.5Z,1,REGULAR,substitution,in,[],1630264,,,1610612764,11,12,2022-11-08T00:11:29Z,680000,,,0,,SUB in: A. Gill,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M34.00S,2022-11-08T00:11:47.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],204001,,,1610612764,11,13,2022-11-08T00:11:47Z,690000,,,0,,K. Porzingis Free Throw 1 of 2 (4 PTS),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
71,PT06M34.00S,2022-11-08T00:12:00.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],204001,,,1610612764,11,14,2022-11-08T00:12:00Z,700000,,,0,,K. Porzingis Free Throw 2 of 2 (5 PTS),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
72,PT06M21.00S,2022-11-08T00:12:19.0Z,1,REGULAR,turnover,out-of-bounds,[],1626162,,,1610612766,11,14,2022-11-08T00:12:24Z,710000,,,0,,K. Oubre Jr. bad pass out-of-bounds TURNOVER (1 TO),[1626162],1610612766.0,CHA,bad pass,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,,,,,1628953.0,,,,
73,PT06M01.00S,2022-11-08T00:12:44.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],204001,65.52233902759527,43.38235294117647,1610612764,11,14,2022-11-08T00:12:51Z,720000,-33.0,272.0,1,right,MISS K. Porzingis 27' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,27.36,Missed,,,,,,,,,,,,,,,,,,
74,PT05M58.00S,2022-11-08T00:12:47.2Z,1,REGULAR,rebound,offensive,[],1630264,,,1610612764,11,14,2022-11-08T00:12:51Z,730000,,,0,,A. Gill REBOUND (Off:1 Def:0),[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,Above the Break 3,24+ Center,,,,,,,73.0,1.0,0.0,1.0,,,,,,,,,,
75,PT05M55.00S,2022-11-08T00:12:50.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630264,89.30683311432325,50.245098039215684,1610612764,11,16,2022-11-08T00:12:55Z,740000,1.0,48.0,1,right,A. Gill driving floating Jump Shot (2 PTS),[1630264],1610612764.0,WAS,driving floating,,,Gill,A. Gill,,,,,In The Paint (Non-RA),0-8 Center,4.8,Made,2.0,,,,,,,,,,,,,,,,,
76,PT05M45.00S,2022-11-08T00:13:01.2Z,1,REGULAR,3pt,Jump Shot,[],1626162,7.966491458607096,3.431372549019608,1610612766,11,16,2022-11-08T00:13:05Z,750000,233.0,22.0,1,left,MISS K. Oubre Jr. 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Right Corner 3,24+ Right,23.39,Missed,,,,,,,,,,,,,,,,,,
77,PT05M42.00S,2022-11-08T00:13:04.2Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,11,16,2022-11-08T00:13:05Z,760000,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Right Corner 3,24+ Right,,,,,,,76.0,2.0,2.0,0.0,,,,,,,,,,
78,PT05M36.00S,2022-11-08T00:13:10.0Z,1,REGULAR,3pt,Jump Shot,[],1630166,68.15045992115637,27.941176470588236,1610612764,11,16,2022-11-08T00:17:30Z,770000,-110.0,247.0,1,right,MISS D. Avdija 27' 3PT,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,27.04,Missed,,,,,,,,,,,,,,,,,,
79,PT05M35.00S,2022-11-08T00:13:11.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,11,16,2022-11-08T00:13:17Z,780000,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,78.0,,,,,,,,,,,,,
80,PT05M35.00S,2022-11-08T00:13:21.8Z,1,REGULAR,substitution,out,[],1626179,,,1610612766,11,16,2022-11-08T00:13:37Z,790000,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M35.00S,2022-11-08T00:13:21.8Z,1,REGULAR,substitution,out,[],1629023,,,1610612766,11,16,2022-11-08T00:13:37Z,800000,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
