actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
25,PT10M17.00S,2022-10-31T23:12:14.5Z,1,REGULAR,3pt,Jump Shot,[],202330,91.40932982917214,3.1862745098039214,1610612766,3,0,2022-10-31T23:12:19Z,250000,-234.0,28.0,1,right,G. Hayward 3PT  (3 PTS) (D. Smith Jr. 1 AST),"[202330, 1628372]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Left Corner 3,24+ Left,23.58,Made,,,,,,,,,,,,,,,3.0,D. Smith Jr.,1628372.0,1.0
27,PT10M16.00S,2022-10-31T23:12:25.4Z,1,REGULAR,turnover,out-of-bounds,[],1628368,,,1610612758,3,0,2022-10-31T23:16:41Z,270000,,,0,,D. Fox lost ball out-of-bounds TURNOVER (1 TO),[1628368],1610612758.0,SAC,lost ball,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,1629178.0,,,,,,,,
28,PT10M16.00S,2022-10-31T23:12:45.5Z,1,REGULAR,foul,personal,['1freethrow'],1631099,,,1610612766,3,0,2022-10-31T23:13:10Z,280000,,,0,,K. Murray away-from-play personal FOUL (1 PF) (Hayward 1 FT),"[1631099, 202330]",1610612758.0,SAC,away-from-play,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,201639.0,1.0,0.0,Hayward,202330.0,,,,
30,PT10M16.00S,2022-10-31T23:13:12.6Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],202330,,,1610612766,4,0,2022-10-31T23:13:12Z,300000,,,0,,G. Hayward away-from-play Free Throw 1 of 1 (4 PTS),[202330],1610612766.0,CHA,away-from-play,,,Hayward,G. Hayward,,,,,,,,Made,,,,,,,,,,,,,,,4.0,,,
31,PT10M10.00S,2022-10-31T23:13:20.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1626162,93.51182654402102,50.245098039215684,1610612766,4,0,2022-10-31T23:13:26Z,310000,1.0,8.0,1,right,MISS K. Oubre Jr. cutting DUNK,[1626162],1610612766.0,CHA,cutting,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,0.86,Missed,,,,,,,,,,,,,,,,,,
32,PT10M08.00S,2022-10-31T23:13:23.1Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,4,0,2022-10-31T23:13:23Z,320000,,,0,,D. Sabonis REBOUND (Off:0 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,31.0,3.0,3.0,0.0,,,,,,,,,,,,,,
33,PT10M05.00S,2022-10-31T23:13:30.0Z,1,REGULAR,foul,personal,['2freethrow'],203486,,,1610612758,4,0,2022-10-31T23:13:43Z,330000,,,0,,M. Plumlee shooting personal FOUL (1 PF) (Sabonis 2 FT),"[203486, 1627734]",1610612766.0,CHA,shooting,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,201639.0,1.0,0.0,Sabonis,1627734.0,,,,
35,PT10M05.00S,2022-10-31T23:13:58.2Z,1,REGULAR,freethrow,1 of 2,[],1627734,,,1610612758,4,0,2022-10-31T23:13:58Z,350000,,,0,,MISS D. Sabonis Free Throw 1 of 2,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
36,PT10M05.00S,2022-10-31T23:13:58.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,4,0,2022-10-31T23:13:58Z,360000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,
37,PT10M05.00S,2022-10-31T23:14:16.8Z,1,REGULAR,freethrow,2 of 2,[],1627734,,,1610612758,4,1,2022-10-31T23:14:16Z,370000,,,0,,D. Sabonis Free Throw 2 of 2 (1 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Made,,,,,,,,,,,,,,,1.0,,,
38,PT09M48.00S,2022-10-31T23:14:36.7Z,1,REGULAR,turnover,lost ball,[],1626162,,,1610612766,4,1,2022-10-31T23:14:41Z,380000,,,0,,K. Oubre Jr. lost ball TURNOVER (1 TO),"[1626162, 1627734]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,Sabonis,1627734.0,,,,,,,,,
39,PT09M48.00S,2022-10-31T23:14:36.7Z,1,REGULAR,steal,,[],1627734,,,1610612758,4,1,2022-10-31T23:14:38Z,390000,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
40,PT09M30.00S,2022-10-31T23:14:54.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628368,30.699737187910642,66.91176470588235,1610612758,4,1,2022-10-31T23:15:07Z,400000,-85.0,236.0,1,left,MISS D. Fox 25' 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,25.08,Missed,,,,,,,,,,,,,,,,,,
41,PT09M26.00S,2022-10-31T23:14:58.7Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,4,1,2022-10-31T23:15:07Z,410000,,,0,,D. Sabonis REBOUND (Off:1 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Left Center,,,40.0,4.0,3.0,1.0,,,,,,,,,,,,,,
42,PT09M26.00S,2022-10-31T23:15:03.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1627734,5.590000152587891,50.0,1610612758,4,1,2022-10-31T23:15:11Z,420000,0.0,0.0,1,left,MISS D. Sabonis putback Layup,[1627734],1610612758.0,SAC,putback,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
43,PT09M26.00S,2022-10-31T23:15:03.9Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,4,1,2022-10-31T23:15:11Z,430000,,,0,,D. Sabonis REBOUND (Off:2 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,42.0,5.0,3.0,2.0,,,,,,,,,,,,,,
44,PT09M26.00S,2022-10-31T23:15:11.3Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612758,4,1,2022-10-31T23:15:18Z,440000,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Sabonis 2 FT),"[1626162, 1627734]",1610612766.0,CHA,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1151.0,1.0,0.0,Sabonis,1627734.0,,,,
46,PT09M26.00S,2022-10-31T23:15:28.3Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1627734,,,1610612758,4,1,2022-10-31T23:15:28Z,460000,,,0,,MISS D. Sabonis Free Throw 1 of 2,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
47,PT09M26.00S,2022-10-31T23:15:28.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,4,1,2022-10-31T23:15:28Z,470000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,
48,PT09M26.00S,2022-10-31T23:15:46.4Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1627734,,,1610612758,4,2,2022-10-31T23:15:46Z,480000,,,0,,D. Sabonis Free Throw 2 of 2 (2 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Made,,,,,,,,,,,,,,,2.0,,,
49,PT09M15.00S,2022-10-31T23:15:58.9Z,1,REGULAR,2pt,Jump Shot,[],202330,81.2910643889619,72.79411764705883,1610612766,4,2,2022-10-31T23:16:03Z,490000,114.0,123.0,1,right,MISS G. Hayward 16' pullup Shot,[202330],1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,Mid-Range,16-24 Right Center,16.8,Missed,,,,,,,,,,,,,,,,,,
50,PT09M12.00S,2022-10-31T23:16:01.9Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,4,2,2022-10-31T23:16:03Z,500000,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,16-24 Right Center,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,
51,PT09M04.00S,2022-10-31T23:16:12.3Z,1,REGULAR,foul,personal,['2freethrow'],1629023,,,1610612758,4,2,2022-10-31T23:16:26Z,510000,,,0,,P. Washington shooting personal FOUL (1 PF) (Barnes 2 FT),"[1629023, 203084]",1610612766.0,CHA,shooting,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1629178.0,1.0,0.0,Barnes,203084.0,,,,
53,PT09M04.00S,2022-10-31T23:16:38.3Z,1,REGULAR,freethrow,1 of 2,[],203084,,,1610612758,4,3,2022-10-31T23:16:38Z,530000,,,0,,H. Barnes Free Throw 1 of 2 (1 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,Made,,,,,,,,,,,,,,,1.0,,,
54,PT09M04.00S,2022-10-31T23:16:54.9Z,1,REGULAR,freethrow,2 of 2,[],203084,,,1610612758,4,4,2022-10-31T23:16:54Z,540000,,,0,,H. Barnes Free Throw 2 of 2 (2 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,Made,,,,,,,,,,,,,,,2.0,,,
55,PT08M51.00S,2022-10-31T23:17:09.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628372,93.11760840998686,47.30392156862745,1610612766,6,4,2022-10-31T23:20:14Z,550000,-13.0,12.0,1,right,D. Smith Jr. alley-oop Layup (2 PTS) (P. Washington 1 AST),"[1628372, 1629023]",1610612766.0,CHA,alley-oop,,,Smith Jr.,D. Smith Jr.,,,,,Restricted Area,0-8 Center,1.82,Made,,,,,,,,,,,,,,,2.0,P. Washington,1629023.0,1.0
57,PT08M42.00S,2022-10-31T23:17:18.3Z,1,REGULAR,3pt,Jump Shot,[],203084,28.728646517739815,20.833333333333336,1610612758,6,4,2022-10-31T23:17:23Z,570000,146.0,218.0,1,left,MISS H. Barnes 26' 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,26.18,Missed,,,,,,,,,,,,,,,,,,
58,PT08M37.00S,2022-10-31T23:17:23.3Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,6,4,2022-10-31T23:17:23Z,580000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,,,
59,PT08M28.00S,2022-10-31T23:17:34.4Z,1,REGULAR,foul,personal,['2freethrow'],1627734,,,1610612766,6,4,2022-10-31T23:17:47Z,590000,,,0,,D. Sabonis shooting personal FOUL (1 PF) (Plumlee 2 FT),"[1627734, 203486]",1610612758.0,SAC,shooting,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1629178.0,1.0,0.0,Plumlee,203486.0,,,,
61,PT08M28.00S,2022-10-31T23:17:57.0Z,1,REGULAR,freethrow,1 of 2,[],203486,,,1610612766,7,4,2022-10-31T23:17:57Z,610000,,,0,,M. Plumlee Free Throw 1 of 2 (1 PTS),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Made,,,,,,,,,,,,,,,1.0,,,
62,PT08M28.00S,2022-10-31T23:18:12.8Z,1,REGULAR,freethrow,2 of 2,[],203486,,,1610612766,8,4,2022-10-31T23:18:12Z,620000,,,0,,M. Plumlee Free Throw 2 of 2 (2 PTS),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Made,,,,,,,,,,,,,,,2.0,,,
63,PT08M15.00S,2022-10-31T23:18:27.0Z,1,REGULAR,3pt,Jump Shot,[],1628989,30.17411300919842,67.64705882352942,1610612758,8,4,2022-10-31T23:18:31Z,630000,-88.0,231.0,1,left,MISS K. Huerter 24' 3PT,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,24.74,Missed,,,,,,,,,,,,,,,,,,
64,PT08M13.00S,2022-10-31T23:18:29.0Z,1,REGULAR,rebound,defensive,[],1628372,,,1610612766,8,4,2022-10-31T23:18:31Z,640000,,,0,,D. Smith Jr. REBOUND (Off:0 Def:1),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,63.0,1.0,1.0,0.0,,,,,,,,,,,,,,
65,PT08M09.00S,2022-10-31T23:18:36.0Z,1,REGULAR,turnover,out-of-bounds,[],1628372,,,1610612766,8,4,2022-10-31T23:18:42Z,650000,,,0,,D. Smith Jr. lost ball out-of-bounds TURNOVER (1 TO),[1628372],1610612766.0,CHA,lost ball,,,Smith Jr.,D. Smith Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,1.0,,,201639.0,,,,,,,,
66,PT07M59.00S,2022-10-31T23:18:57.6Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612758,8,4,2022-10-31T23:25:41Z,660000,,,0,,D. Sabonis lost ball TURNOVER (2 TO),"[1627734, 1626162]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,2.0,Oubre Jr.,1626162.0,,,,,,,,,
67,PT07M59.00S,2022-10-31T23:18:57.6Z,1,REGULAR,steal,,[],1626162,,,1610612766,8,4,2022-10-31T23:19:00Z,670000,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
68,PT07M45.00S,2022-10-31T23:19:11.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626162,92.59198423127464,46.07843137254902,1610612766,10,4,2022-10-31T23:24:04Z,680000,-20.0,17.0,1,right,K. Oubre Jr. driving finger roll Layup (2 PTS),[1626162],1610612766.0,CHA,driving finger roll,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,2.6,Made,,,,,,,,,,,,,,,2.0,,,
69,PT07M45.00S,2022-10-31T23:19:17.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,10,4,2022-10-31T23:19:17Z,690000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M34.00S,2022-10-31T23:22:20.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1631099,6.389618922470433,45.09803921568628,1610612758,10,6,2022-10-31T23:22:39Z,700000,25.0,8.0,1,left,K. Murray Layup (2 PTS) (D. Fox 1 AST),"[1631099, 1628368]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,2.57,Made,,,,,,,,,,,,,,,2.0,D. Fox,1628368.0,1.0
71,PT07M34.00S,2022-10-31T23:22:29.0Z,1,REGULAR,violation,defensive goaltending,[],203486,,,1610612758,10,6,2022-10-31T23:22:52Z,710000,,,0,,M. Plumlee defensive goaltending VIOLATION,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,1151.0,,,,,,,,
72,PT07M21.00S,2022-10-31T23:22:39.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629023,93.9060446780552,50.73529411764706,1610612766,12,6,2022-10-31T23:24:36Z,720000,4.0,5.0,1,right,P. Washington cutting DUNK (2 PTS) (D. Smith Jr. 2 AST),"[1629023, 1628372]",1610612766.0,CHA,cutting,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,0.61,Made,,,,,,,,,,,,,,,2.0,D. Smith Jr.,1628372.0,2.0
74,PT07M08.00S,2022-10-31T23:22:51.5Z,1,REGULAR,turnover,bad pass,[],1628368,,,1610612758,12,6,2022-10-31T23:25:17Z,740000,,,0,,D. Fox bad pass TURNOVER (2 TO),"[1628368, 1628372]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,,,,,,,,,2.0,Smith Jr.,1628372.0,,,,,,,,,
75,PT07M08.00S,2022-10-31T23:22:51.5Z,1,REGULAR,steal,,[],1628372,,,1610612766,12,6,2022-10-31T23:22:54Z,750000,,,0,,D. Smith Jr. STEAL (1 STL),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
76,PT07M05.00S,2022-10-31T23:22:55.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628372,94.30026281208936,50.73529411764706,1610612766,14,6,2022-10-31T23:23:02Z,760000,4.0,1.0,1,right,D. Smith Jr. running Layup (4 PTS),[1628372],1610612766.0,CHA,running,,,Smith Jr.,D. Smith Jr.,,,,,Restricted Area,0-8 Center,0.39,Made,,,,,,,,,,,,,,,4.0,,,
77,PT06M47.00S,2022-10-31T23:23:12.5Z,1,REGULAR,3pt,Jump Shot,[],1628368,7.835085413929041,96.56862745098039,1610612758,14,9,2022-10-31T23:23:17Z,770000,-233.0,21.0,1,left,D. Fox 3PT  (3 PTS) (K. Huerter 1 AST),"[1628368, 1628989]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Left Corner 3,24+ Left,23.38,Made,,,,,,,,,,,,,,,3.0,K. Huerter,1628989.0,1.0
79,PT06M35.00S,2022-10-31T23:23:24.6Z,1,REGULAR,3pt,Jump Shot,[],1629023,72.35545335085413,19.607843137254903,1610612766,17,9,2022-10-31T23:23:31Z,790000,-152.0,207.0,1,right,P. Washington 25' 3PT  (5 PTS) (D. Smith Jr. 3 AST),"[1629023, 1628372]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,25.71,Made,,,,,,,,,,,,,,,5.0,D. Smith Jr.,1628372.0,3.0
81,PT06M21.00S,2022-10-31T23:23:40.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,13.87976346911958,58.08823529411765,1610612758,17,11,2022-10-31T23:26:47Z,810000,-40.0,78.0,1,left,D. Fox 8' driving floating Jump Shot (5 PTS),[1628368],1610612758.0,SAC,driving floating,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,8.78,Made,,,,,,,,,,,,,,,5.0,,,
82,PT06M21.00S,2022-10-31T23:23:46.3Z,1,REGULAR,foul,personal,['1freethrow'],1628372,,,1610612758,17,11,2022-10-31T23:23:59Z,820000,,,0,,D. Smith Jr. shooting personal FOUL (1 PF) (Fox 1 FT),"[1628372, 1628368]",1610612766.0,CHA,shooting,,,Smith Jr.,D. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,201639.0,1.0,0.0,Fox,1628368.0,,,,
