actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
19,PT10M12.00S,2023-01-03T00:12:21.2Z,1,REGULAR,2pt,Jump Shot,[],1628418,76.69185282522996,50.245098039215684,1610612747,2,5,2023-01-03T00:12:25Z,190000,False,1.0,167.0,1,right,T. Bryant 16' Jump Shot (2 PTS) (D. Schroder 1 AST),"[1628418, 203471]",1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Mid-Range,16-24 Center,,,,,16.66,Made,2.0,,,,,D. Schroder,203471.0,1.0,,,,,,
21,PT09M53.00S,2023-01-03T00:12:40.0Z,1,REGULAR,3pt,Jump Shot,[],1630163,6.389618922470433,3.9215686274509802,1610612766,5,5,2023-01-03T00:14:35Z,210000,False,230.0,8.0,1,left,L. Ball 3PT  (3 PTS) (P. Washington 1 AST),"[1630163, 1629023]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Right Corner 3,24+ Right,,,,,23.05,Made,3.0,,,,,P. Washington,1629023.0,1.0,,,,,,
23,PT09M39.00S,2023-01-03T00:12:53.8Z,1,REGULAR,2pt,Jump Shot,[],203471,89.56964520367937,69.11764705882352,1610612747,5,7,2023-01-03T00:12:59Z,230000,False,96.0,46.0,1,right,D. Schroder 10' driving bank Jump Shot (2 PTS),[203471],1610612747.0,LAL,driving bank,,,Schroder,D. Schroder,,,,,Mid-Range,8-16 Right,,,,,10.59,Made,2.0,,,,,,,,,,,,,
25,PT09M32.00S,2023-01-03T00:13:07.9Z,1,REGULAR,turnover,out-of-bounds,[],1630163,,,1610612766,5,7,2023-01-03T00:13:17Z,250000,False,,,0,,L. Ball step out-of-bounds TURNOVER (2 TO),[1630163],1610612766.0,CHA,step,,,Ball,L. Ball,,,,,Left Corner 3,24+ Left,2004.0,2.0,,,,,,,,,,,,,,,,,,
26,PT09M12.00S,2023-01-03T00:13:32.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628418,74.98357424441524,58.57843137254902,1610612747,5,7,2023-01-03T00:13:37Z,260000,False,43.0,183.0,1,right,MISS T. Bryant 18' Jump Shot,[1628418],1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Mid-Range,16-24 Center,,,,,18.77,Missed,,,,,,,,,,,,,,
27,PT09M08.00S,2023-01-03T00:13:36.7Z,1,REGULAR,rebound,offensive,[],201976,,,1610612747,5,7,2023-01-03T00:13:37Z,270000,False,,,0,,P. Beverley REBOUND (Off:1 Def:0),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Mid-Range,16-24 Center,,,,,,,,26.0,1.0,0.0,1.0,,,,,,,,,
28,PT09M04.00S,2023-01-03T00:13:41.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",201976,92.59198423127464,3.6764705882352944,1610612747,5,7,2023-01-03T00:17:20Z,280000,False,-232.0,17.0,1,right,MISS P. Beverley step back 3PT,[201976],1610612747.0,LAL,step back,,,Beverley,P. Beverley,,,,,Left Corner 3,24+ Left,,,,,23.22,Missed,,,,,,,,,,,,,,
29,PT08M59.00S,2023-01-03T00:13:45.3Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,5,7,2023-01-03T00:13:45Z,290000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Left Corner 3,24+ Left,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,
30,PT08M55.00S,2023-01-03T00:13:49.6Z,1,REGULAR,turnover,bad pass,[],1626179,,,1610612766,5,7,2023-01-03T00:13:53Z,300000,False,,,0,,T. Rozier bad pass TURNOVER (1 TO),"[1626179, 1628972]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Right Center,,1.0,Brown Jr.,1628972.0,,,,,,,,,,,,,,,,
31,PT08M55.00S,2023-01-03T00:13:49.6Z,1,REGULAR,steal,,[],1628972,,,1610612747,5,7,2023-01-03T00:13:52Z,310000,False,,,0,,T. Brown Jr. STEAL (1 STL),[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
32,PT08M47.00S,2023-01-03T00:13:57.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",2544,87.86136662286465,43.872549019607845,1610612747,5,9,2023-01-03T00:14:06Z,320000,False,-31.0,62.0,1,right,L. James 6' turnaround fadeaway Jump Shot (2 PTS),[2544],1610612747.0,LAL,turnaround fadeaway,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,,,,,6.88,Made,2.0,,,,,,,,,,,,,
33,PT08M28.00S,2023-01-03T00:14:16.8Z,1,REGULAR,3pt,Jump Shot,[],202330,26.363337713534822,16.911764705882355,1610612766,5,9,2023-01-03T00:18:09Z,330000,False,165.0,195.0,1,left,MISS G. Hayward 25' 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Right Center,,,,,25.59,Missed,,,,,,,,,,,,,,
34,PT08M25.00S,2023-01-03T00:14:19.8Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612747,5,9,2023-01-03T00:14:21Z,340000,False,,,0,,T. Bryant REBOUND (Off:0 Def:2),[1628418],1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Above the Break 3,24+ Right Center,,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,
35,PT08M11.00S,2023-01-03T00:14:33.9Z,1,REGULAR,3pt,Jump Shot,[],1628972,92.06636005256242,3.6764705882352944,1610612747,5,12,2023-01-03T00:14:38Z,350000,False,-232.0,22.0,1,right,T. Brown Jr. 3PT  (3 PTS) (P. Beverley 1 AST),"[1628972, 201976]",1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Left Corner 3,24+ Left,,,,,23.27,Made,3.0,,,,,P. Beverley,201976.0,1.0,,,,,,
37,PT07M57.00S,2023-01-03T00:14:47.8Z,1,REGULAR,3pt,Jump Shot,[],1630163,37.00722733245729,50.245098039215684,1610612766,5,12,2023-01-03T00:14:52Z,370000,False,-1.0,295.0,1,left,MISS L. Ball 29' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,,,,,29.54,Missed,,,,,,,,,,,,,,
38,PT07M53.00S,2023-01-03T00:14:51.8Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,5,12,2023-01-03T00:14:52Z,380000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Center,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,
39,PT07M46.00S,2023-01-03T00:14:59.7Z,1,REGULAR,2pt,Jump Shot,[],2544,77.61169513797634,52.69607843137255,1610612747,5,14,2023-01-03T00:15:03Z,390000,False,13.0,158.0,1,right,L. James 15' fadeaway Jump Shot (4 PTS),[2544],1610612747.0,LAL,fadeaway,,,James,L. James,,,,,Mid-Range,8-16 Center,,,,,15.86,Made,4.0,,,,,,,,,,,,,
40,PT07M46.00S,2023-01-03T00:15:05.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,5,14,2023-01-03T00:15:05Z,400000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT07M32.00S,2023-01-03T00:18:06.9Z,1,REGULAR,2pt,Jump Shot,[],1626179,23.47240473061761,30.392156862745097,1610612766,7,14,2023-01-03T00:18:11Z,410000,False,98.0,168.0,1,left,T. Rozier 19' pullup Jump Shot (2 PTS) (G. Hayward 1 AST),"[1626179, 202330]",1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Right Center,,,,,19.46,Made,2.0,,,,,G. Hayward,202330.0,1.0,,,,,,
43,PT07M19.00S,2023-01-03T00:18:19.3Z,1,REGULAR,3pt,Jump Shot,[],2544,67.09921156373193,45.09803921568628,1610612747,7,14,2023-01-03T00:18:24Z,430000,False,-25.0,257.0,1,right,MISS L. James 25' pullup 3PT,[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,Above the Break 3,24+ Center,,,,,25.8,Missed,,,,,,,,,,,,,,
44,PT07M17.00S,2023-01-03T00:18:22.2Z,1,REGULAR,rebound,offensive,[],201976,,,1610612747,7,14,2023-01-03T00:18:22Z,440000,False,,,0,,P. Beverley REBOUND (Off:2 Def:0),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Center,,,,,,,,43.0,2.0,0.0,2.0,,,,,,,,,
45,PT07M14.00S,2023-01-03T00:18:28.6Z,1,REGULAR,turnover,traveling,[],201976,,,1610612747,7,14,2023-01-03T00:18:34Z,450000,False,,,0,,P. Beverley traveling TURNOVER (2 TO),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,In The Paint (Non-RA),0-8 Center,2004.0,2.0,,,,,,,,,,,,,,,,,,
46,PT06M57.00S,2023-01-03T00:18:53.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626179,12.434296977660972,43.872549019607845,1610612766,7,14,2023-01-03T00:18:57Z,460000,False,31.0,64.0,1,left,MISS T. Rozier 7' pullup Shot - blocked,"[1626179, 201976]",1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.13,Missed,,,,,,,,,Beverley,201976.0,,,,
58,PT06M57.00S,2023-01-03T00:18:53.1Z,1,REGULAR,block,,[],201976,,,1610612766,7,14,2023-01-03T00:19:39Z,465000,False,,,0,,P. Beverley BLOCK (1 BLK),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
47,PT06M55.00S,2023-01-03T00:18:55.1Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,7,14,2023-01-03T00:19:39Z,470000,False,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,46.0,1.0,0.0,1.0,,,,,,,,,
48,PT06M55.00S,2023-01-03T00:18:56.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203486,5.590000152587891,50.0,1610612766,7,14,2023-01-03T00:18:56Z,480000,False,0.0,0.0,1,left,MISS M. Plumlee tip Layup,[203486],1610612766.0,CHA,tip,,,Plumlee,M. Plumlee,,,,,Mid-Range,8-16 Left,,,,,0.0,Missed,,,,,,,,,,,,,,
49,PT06M54.00S,2023-01-03T00:18:57.0Z,1,REGULAR,rebound,offensive,[],1629023,,,1610612766,7,14,2023-01-03T00:18:57Z,490000,False,,,0,,P. Washington REBOUND (Off:1 Def:0),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Mid-Range,8-16 Left,,,,,,,,48.0,1.0,0.0,1.0,,,,,,,,,
50,PT06M51.00S,2023-01-03T00:19:00.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630163,20.581471747700395,91.91176470588235,1610612766,7,14,2023-01-03T00:19:04Z,500000,False,-210.0,141.0,1,left,MISS L. Ball 25' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,,,,,25.26,Missed,,,,,,,,,,,,,,
51,PT06M48.00S,2023-01-03T00:19:03.2Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612747,7,14,2023-01-03T00:19:04Z,510000,False,,,0,,T. Bryant REBOUND (Off:0 Def:3),[1628418],1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Above the Break 3,24+ Left Center,,,,,,,,50.0,3.0,3.0,0.0,,,,,,,,,
52,PT06M46.00S,2023-01-03T00:19:05.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203471,93.38042049934296,50.73529411764706,1610612747,7,14,2023-01-03T00:19:09Z,520000,False,4.0,10.0,1,right,MISS D. Schroder running Layup,[203471],1610612747.0,LAL,running,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,,,,,1.04,Missed,,,,,,,,,,,,,,
53,PT06M44.00S,2023-01-03T00:19:07.0Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,7,14,2023-01-03T00:19:09Z,530000,False,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,,,52.0,2.0,1.0,1.0,,,,,,,,,
54,PT06M41.00S,2023-01-03T00:19:10.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202330,26.888961892247043,20.34313725490196,1610612766,10,14,2023-01-03T00:22:44Z,540000,False,148.0,200.0,1,left,G. Hayward 24' 3PT running (3 PTS) (M. Plumlee 1 AST),"[202330, 203486]",1610612766.0,CHA,running,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Right Center,,,,,24.92,Made,3.0,,,,,M. Plumlee,203486.0,1.0,,,,,,
56,PT06M20.00S,2023-01-03T00:19:30.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628418,90.88370565045992,49.50980392156863,1610612747,10,16,2023-01-03T00:19:34Z,560000,False,-2.0,33.0,1,right,T. Bryant Layup (4 PTS) (D. Schroder 2 AST),"[1628418, 203471]",1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Restricted Area,0-8 Center,,,,,3.33,Made,4.0,,,,,D. Schroder,203471.0,2.0,,,,,,
59,PT06M06.00S,2023-01-03T00:19:44.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,8.754927726675426,45.34313725490196,1610612766,12,16,2023-01-03T00:25:10Z,580000,False,23.0,30.0,1,left,L. Ball driving floating Jump Shot (5 PTS),[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,,,,,3.78,Made,5.0,,,,,,,,,,,,,
60,PT05M50.00S,2023-01-03T00:20:00.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,92.9862023653088,64.4607843137255,1610612747,12,18,2023-01-03T00:20:04Z,590000,False,72.0,13.0,1,right,D. Schroder 7' driving floating Jump Shot (4 PTS),[203471],1610612747.0,LAL,driving floating,,,Schroder,D. Schroder,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.35,Made,4.0,,,,,,,,,,,,,
61,PT05M41.00S,2023-01-03T00:20:09.7Z,1,REGULAR,3pt,Jump Shot,[],1626179,12.565703022339028,96.07843137254902,1610612766,12,18,2023-01-03T00:20:13Z,600000,False,-230.0,66.0,1,left,MISS T. Rozier step back 3PT,[1626179],1610612766.0,CHA,step back,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,,,,,23.96,Missed,,,,,,,,,,,,,,
62,PT05M38.00S,2023-01-03T00:20:12.7Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612747,12,18,2023-01-03T00:20:13Z,610000,False,,,0,,T. Bryant REBOUND (Off:0 Def:4),[1628418],1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Left Corner 3,24+ Left,,,,,,,,61.0,4.0,4.0,0.0,,,,,,,,,
63,PT05M33.00S,2023-01-03T00:20:18.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],2544,74.19513797634691,84.80392156862744,1610612747,12,18,2023-01-03T00:27:26Z,620000,False,174.0,190.0,1,right,MISS L. James 25' running 3PT,[2544],1610612747.0,LAL,running,,,James,L. James,,,,,Above the Break 3,24+ Right Center,,,,,25.77,Missed,,,,,,,,,,,,,,
64,PT05M30.00S,2023-01-03T00:20:21.2Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,12,18,2023-01-03T00:20:25Z,630000,False,,,0,,L. Ball REBOUND (Off:0 Def:2),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,,,,,,63.0,2.0,2.0,0.0,,,,,,,,,
65,PT05M26.00S,2023-01-03T00:20:24.8Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630163,20.97568988173456,50.49019607843137,1610612766,12,18,2023-01-03T00:28:00Z,640000,False,-2.0,145.0,1,left,MISS L. Ball 14' running Shot,[1630163],1610612766.0,CHA,running,,,Ball,L. Ball,,,,,Mid-Range,8-16 Center,,,,,14.47,Missed,,,,,,,,,,,,,,
66,PT05M23.00S,2023-01-03T00:20:27.8Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,12,18,2023-01-03T00:20:39Z,650000,False,,,0,,L. James REBOUND (Off:0 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,8-16 Center,,,,,,,,65.0,2.0,2.0,0.0,,,,,,,,,
67,PT05M21.00S,2023-01-03T00:20:35.3Z,1,REGULAR,turnover,traveling,[],201976,,,1610612747,12,18,2023-01-03T00:20:44Z,660000,False,,,0,,P. Beverley traveling TURNOVER (3 TO),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Mid-Range,8-16 Right,202901.0,3.0,,,,,,,,,,,,,,,,,,
68,PT05M21.00S,2023-01-03T00:20:40.0Z,1,REGULAR,substitution,out,[],202330,,,1610612766,12,18,2023-01-03T00:20:50Z,670000,False,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M21.00S,2023-01-03T00:20:40.0Z,1,REGULAR,substitution,out,[],201976,,,1610612766,12,18,2023-01-03T00:20:50Z,680000,False,,,0,,SUB out: P. Beverley,[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M21.00S,2023-01-03T00:20:40.0Z,1,REGULAR,substitution,in,[],1629667,,,1610612766,12,18,2023-01-03T00:20:50Z,690000,False,,,0,,SUB in: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M21.00S,2023-01-03T00:20:40.0Z,1,REGULAR,substitution,in,[],201566,,,1610612766,12,18,2023-01-03T00:20:50Z,700000,False,,,0,,SUB in: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M21.00S,2023-01-03T00:20:56.0Z,1,REGULAR,substitution,out,[],1628972,,,1610612766,12,18,2023-01-03T00:20:59Z,710000,False,,,0,,SUB out: T. Brown Jr.,[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M21.00S,2023-01-03T00:20:56.0Z,1,REGULAR,substitution,in,[],1630559,,,1610612766,12,18,2023-01-03T00:20:59Z,720000,False,,,0,,SUB in: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M08.00S,2023-01-03T00:21:06.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626179,16.63929040735874,36.76470588235294,1610612766,12,18,2023-01-03T00:29:06Z,730000,False,66.0,104.0,1,left,MISS T. Rozier 12' pullup Shot,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Right,,,,,12.32,Missed,,,,,,,,,,,,,,
75,PT05M06.00S,2023-01-03T00:21:08.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,12,18,2023-01-03T00:21:12Z,740000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,74.0,,,,,,,,,,,,
76,PT05M06.00S,2023-01-03T00:21:12.5Z,1,REGULAR,foul,personal,[],203486,,,1610612747,12,18,2023-01-03T00:21:23Z,750000,False,,,0,,M. Plumlee loose ball personal FOUL (1 PF),"[203486, 1628418]",1610612766.0,CHA,loose ball,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,2004.0,,,,,,,,,,,,,,,,1.0,0.0,Bryant,1628418.0
78,PT04M52.00S,2023-01-03T00:21:39.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,92.32917214191852,53.18627450980392,1610612747,12,18,2023-01-03T00:21:44Z,770000,False,16.0,20.0,1,right,MISS L. James cutting Layup,[2544],1610612747.0,LAL,cutting,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,,2.52,Missed,,,,,,,,,,,,,,
79,PT04M49.00S,2023-01-03T00:21:42.5Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,12,18,2023-01-03T00:21:44Z,780000,False,,,0,,M. Plumlee REBOUND (Off:1 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,,,78.0,3.0,2.0,1.0,,,,,,,,,
80,PT04M46.00S,2023-01-03T00:21:45.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626179,26.757555847568987,16.42156862745098,1610612766,12,18,2023-01-03T00:30:01Z,790000,False,168.0,199.0,1,left,MISS T. Rozier 26' running 3PT,[1626179],1610612766.0,CHA,running,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,,,,,26.04,Missed,,,,,,,,,,,,,,
