shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
09:14,30,PT09M14.00S,2022-12-10T00:13:26.3Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612752,5,7,2022-12-10T00:13:31Z,300000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:2),[1629656],6,1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,
09:12,31,PT09M12.00S,2022-12-10T00:13:28.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628973,28.991458607095925,22.30392156862745,1610612752,5,7,2022-12-10T00:13:58Z,310000,False,138.0,220.0,1,left,MISS J. Brunson 26' running 3PT,[1628973],11,1610612752.0,NYK,running,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,,,,26.0,Missed,,,,,,,,,,,,,
09:10,32,PT09M10.00S,2022-12-10T00:13:30.7Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,5,7,2022-12-10T00:13:36Z,320000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],25,1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,
09:04,33,PT09M04.00S,2022-12-10T00:13:36.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,92.46057818659659,49.754901960784316,1610612766,5,7,2022-12-10T00:13:41Z,330000,False,-1.0,18.0,1,right,MISS T. Rozier driving Layup - blocked,"[1626179, 1629011]",3,1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,,,,1.84,Missed,,,,,,,,,Robinson,1629011.0,,,
09:04,34,PT09M04.00S,2022-12-10T00:13:36.5Z,1,REGULAR,block,,[],1629011,,,1610612766,5,7,2022-12-10T00:13:38Z,340000,False,,,0,,M. Robinson BLOCK (1 BLK),[1629011],23,1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
09:04,35,PT09M04.00S,2022-12-10T00:13:36.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,5,7,2022-12-10T00:13:41Z,350000,False,,,0,,TEAM offensive REBOUND,[],,1610612766.0,CHA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,33.0,,,,,,,,,,,,
08:51,37,PT08M51.00S,2022-12-10T00:14:07.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629667,91.93495400788436,52.450980392156865,1610612766,5,7,2022-12-10T00:14:11Z,370000,False,12.0,23.0,1,right,MISS J. McDaniels driving Layup - blocked,"[1629667, 1629011]",6,1610612766.0,CHA,driving,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,2.63,Missed,,,,,,,,,Robinson,1629011.0,,,
08:51,38,PT08M51.00S,2022-12-10T00:14:07.2Z,1,REGULAR,block,,[],1629011,,,1610612766,5,7,2022-12-10T00:14:09Z,380000,False,,,0,,M. Robinson BLOCK (2 BLK),[1629011],23,1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
08:51,39,PT08M51.00S,2022-12-10T00:14:07.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,5,7,2022-12-10T00:14:11Z,390000,False,,,0,,TEAM defensive REBOUND,[],,1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,37.0,,,,,,,,,,,,
08:28,41,PT08M28.00S,2022-12-10T00:14:34.9Z,1,REGULAR,2pt,Jump Shot,[],1629656,22.946780551905388,49.26470588235294,1610612752,5,7,2022-12-10T00:15:27Z,410000,False,4.0,163.0,1,left,MISS Q. Grimes 16' fadeaway Shot - blocked,"[1629656, 1629023]",6,1610612752.0,NYK,fadeaway,,,Grimes,Q. Grimes,,,,,Mid-Range,16-24 Center,,,,,,16.32,Missed,,,,,,,,,Washington,1629023.0,,,
08:28,42,PT08M28.00S,2022-12-10T00:14:34.9Z,1,REGULAR,block,,[],1629023,,,1610612752,5,7,2022-12-10T00:14:37Z,420000,False,,,0,,P. Washington BLOCK (1 BLK),[1629023],25,1610612766.0,CHA,,,,Washington,P. Washington,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
08:25,43,PT08M25.00S,2022-12-10T00:14:37.9Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,5,7,2022-12-10T00:14:39Z,430000,False,,,0,,M. Plumlee REBOUND (Off:0 Def:2),[203486],24,1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Mid-Range,16-24 Center,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,
08:22,44,PT08M22.00S,2022-12-10T00:14:40.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629023,72.7496714848883,15.931372549019606,1610612766,5,7,2022-12-10T00:16:04Z,440000,False,-170.0,204.0,1,right,MISS P. Washington 26' running 3PT,[1629023],25,1610612766.0,CHA,running,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,,,,,,26.55,Missed,,,,,,,,,,,,,
