actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
28,PT09M43.00S,2023-03-26T17:13:31.9Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,7,2,2023-03-26T17:13:32Z,280000,False,,,0,,MISS L. Doncic Free Throw 1 of 2,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
29,PT09M43.00S,2023-03-26T17:13:31.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,7,2,2023-03-26T17:13:32Z,290000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,
30,PT09M43.00S,2023-03-26T17:13:47.7Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,7,3,2023-03-26T17:13:47Z,300000,False,,,0,,L. Doncic Free Throw 2 of 2 (1 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
31,PT09M31.00S,2023-03-26T17:14:01.0Z,1,REGULAR,2pt,Jump Shot,[],202330,87.86136662286465,75.49019607843137,1610612766,7,3,2023-03-26T17:14:58Z,310000,False,127.0,62.0,1,right,MISS G. Hayward 14' pullup Shot,[202330],1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,Mid-Range,8-16 Right,14.16,Missed,,,,,,,,,,,,,,,,,,
32,PT09M29.00S,2023-03-26T17:14:03.0Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612766,7,3,2023-03-26T17:14:03Z,320000,False,,,0,,M. Williams REBOUND (Off:1 Def:1),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Mid-Range,8-16 Right,,,,,,,,31.0,2.0,1.0,1.0,,,,,,,,,
33,PT09M28.00S,2023-03-26T17:14:04.1Z,1,REGULAR,turnover,bad pass,[],1631109,,,1610612766,7,3,2023-03-26T17:14:14Z,330000,False,,,0,,M. Williams bad pass TURNOVER (2 TO),"[1631109, 1630182]",1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2.0,Green,1630182.0,,
34,PT09M28.00S,2023-03-26T17:14:04.1Z,1,REGULAR,steal,,[],1630182,,,1610612742,7,3,2023-03-26T17:14:07Z,340000,False,,,0,,J. Green STEAL (1 STL),[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT09M22.00S,2023-03-26T17:14:09.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203939,7.966491458607096,51.470588235294116,1610612742,7,3,2023-03-26T17:15:33Z,350000,False,-7.0,22.0,1,left,MISS D. Powell cutting Layup,[203939],1610612742.0,DAL,cutting,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,2.36,Missed,,,,,,,,,,,,,,,,,,
36,PT09M21.00S,2023-03-26T17:14:11.4Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612766,7,3,2023-03-26T17:14:11Z,360000,False,,,0,,M. Williams REBOUND (Off:1 Def:2),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,35.0,3.0,2.0,1.0,,,,,,,,,
37,PT09M13.00S,2023-03-26T17:14:18.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628372,93.38042049934296,50.49019607843137,1610612766,9,3,2023-03-26T17:15:49Z,370000,False,2.0,10.0,1,right,D. Smith Jr. driving Layup (2 PTS) (P. Washington 1 AST),"[1628372, 1629023]",1610612766.0,CHA,driving,,,Smith Jr.,D. Smith Jr.,,,,,Restricted Area,0-8 Center,1.0,Made,2.0,P. Washington,1629023.0,1.0,,,,,,,,,,,,,,
38,PT08M56.00S,2023-03-26T17:14:35.4Z,1,REGULAR,3pt,Jump Shot,[],202681,28.86005256241787,74.75490196078431,1610612742,9,3,2023-03-26T17:16:02Z,380000,False,-124.0,219.0,1,left,MISS K. Irving 25' pullup 3PT,[202681],1610612742.0,DAL,pullup,,,Irving,K. Irving,,,,,Above the Break 3,24+ Left Center,25.14,Missed,,,,,,,,,,,,,,,,,,
39,PT08M56.00S,2023-03-26T17:14:35.4Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612766,9,3,2023-03-26T17:14:45Z,390000,False,,,0,,M. Williams REBOUND (Off:1 Def:3),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,38.0,4.0,3.0,1.0,,,,,,,,,
41,PT08M43.00S,2023-03-26T17:14:49.1Z,1,REGULAR,3pt,Jump Shot,[],1629004,81.02825229960578,5.392156862745098,1610612766,9,3,2023-03-26T17:14:56Z,400000,False,-223.0,126.0,1,right,MISS S. Mykhailiuk 25' 3PT,[1629004],1610612766.0,CHA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Left Center,25.6,Missed,,,,,,,,,,,,,,,,,,
42,PT08M40.00S,2023-03-26T17:14:52.1Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,9,3,2023-03-26T17:14:56Z,410000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,
43,PT08M27.00S,2023-03-26T17:15:04.8Z,1,REGULAR,3pt,Jump Shot,[],1629029,32.40801576872536,60.78431372549019,1610612742,9,3,2023-03-26T17:16:36Z,420000,False,-54.0,252.0,1,left,MISS L. Doncic 25' pullup 3PT,[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,25.78,Missed,,,,,,,,,,,,,,,,,,
44,PT08M24.00S,2023-03-26T17:15:07.8Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,9,3,2023-03-26T17:15:09Z,430000,False,,,0,,G. Hayward REBOUND (Off:1 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Center,,,,,,,,43.0,2.0,1.0,1.0,,,,,,,,,
45,PT08M16.00S,2023-03-26T17:15:15.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631109,93.11760840998686,49.754901960784316,1610612766,11,3,2023-03-26T17:15:23Z,440000,False,-1.0,12.0,1,right,M. Williams cutting Layup (2 PTS) (D. Smith Jr. 2 AST),"[1631109, 1628372]",1610612766.0,CHA,cutting,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,1.23,Made,2.0,D. Smith Jr.,1628372.0,2.0,,,,,,,,,,,,,,
47,PT08M16.00S,2023-03-26T17:15:20.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,11,3,2023-03-26T17:15:20Z,460000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M16.00S,2023-03-26T17:16:37.7Z,1,REGULAR,substitution,out,[],203939,,,1610612742,11,3,2023-03-26T17:18:09Z,470000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M16.00S,2023-03-26T17:16:37.7Z,1,REGULAR,substitution,in,[],1628467,,,1610612742,11,3,2023-03-26T17:18:09Z,480000,False,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M51.00S,2023-03-26T17:18:33.6Z,1,REGULAR,3pt,Jump Shot,[],1629029,5.601182654402102,97.30392156862744,1610612742,11,3,2023-03-26T17:18:56Z,490000,False,-237.0,0.0,1,left,MISS L. Doncic 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Left Corner 3,24+ Left,23.65,Missed,,,,,,,,,,,,,,,,,,
51,PT07M48.00S,2023-03-26T17:18:36.6Z,1,REGULAR,rebound,defensive,[],1628372,,,1610612766,11,3,2023-03-26T17:18:56Z,500000,False,,,0,,D. Smith Jr. REBOUND (Off:0 Def:1),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Left Corner 3,24+ Left,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,
52,PT07M48.00S,2023-03-26T17:18:39.2Z,1,REGULAR,foul,personal,[],1630182,,,1610612766,11,3,2023-03-26T17:19:23Z,510000,False,,,0,,J. Green personal FOUL (1 PF),"[1630182, 1628372]",1610612742.0,DAL,,,,Green,J. Green,,,,,Mid-Range,16-24 Left Center,,,,,,,202007.0,,,,,1.0,0.0,Smith Jr.,1628372.0,,,,,
54,PT07M39.00S,2023-03-26T17:19:03.2Z,1,REGULAR,2pt,Jump Shot,[],202330,93.77463863337714,23.774509803921568,1610612766,13,3,2023-03-26T17:20:02Z,530000,False,-131.0,6.0,1,right,G. Hayward 13' turnaround fadeaway Jump Shot (6 PTS) (D. Smith Jr. 3 AST),"[202330, 1628372]",1610612766.0,CHA,turnaround fadeaway,,,Hayward,G. Hayward,,,,,Mid-Range,8-16 Left,13.12,Made,6.0,D. Smith Jr.,1628372.0,3.0,,,,,,,,,,,,,,
56,PT07M39.00S,2023-03-26T17:19:06.3Z,1,REGULAR,foul,personal,['1freethrow'],202681,,,1610612766,13,3,2023-03-26T17:19:15Z,550000,False,,,0,,K. Irving shooting personal FOUL (1 PF) (Hayward 1 FT),"[202681, 202330]",1610612742.0,DAL,shooting,,,Irving,K. Irving,,,,,Mid-Range,8-16 Left,,,,,,,202007.0,,,,,1.0,0.0,Hayward,202330.0,,,,,
58,PT07M39.00S,2023-03-26T17:19:30.0Z,1,REGULAR,freethrow,1 of 1,[],202330,,,1610612766,14,3,2023-03-26T17:19:30Z,570000,False,,,0,,G. Hayward Free Throw 1 of 1 (7 PTS),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
59,PT07M16.00S,2023-03-26T17:19:55.4Z,1,REGULAR,3pt,Jump Shot,[],1628467,33.065045992115635,35.78431372549019,1610612742,14,3,2023-03-26T17:20:01Z,580000,False,71.0,258.0,1,left,MISS M. Kleber 26' 3PT,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Above the Break 3,24+ Center,26.79,Missed,,,,,,,,,,,,,,,,,,
60,PT07M12.00S,2023-03-26T17:19:59.4Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,14,3,2023-03-26T17:20:01Z,590000,False,,,0,,P. Washington REBOUND (Off:0 Def:2),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,,,,,,,,59.0,2.0,2.0,0.0,,,,,,,,,
61,PT07M00.00S,2023-03-26T17:20:11.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629023,87.46714848883047,50.245098039215684,1610612766,14,3,2023-03-26T17:20:20Z,600000,False,1.0,65.0,1,right,MISS P. Washington 6' turnaround Hook,[1629023],1610612766.0,CHA,turnaround,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,6.53,Missed,,,,,,,,,,,,,,,,,,
62,PT06M58.00S,2023-03-26T17:20:13.4Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,14,3,2023-03-26T17:20:20Z,610000,False,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,61.0,2.0,2.0,0.0,,,,,,,,,
63,PT06M49.00S,2023-03-26T17:20:22.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,6.652431011826544,47.794117647058826,1610612742,14,5,2023-03-26T17:20:28Z,620000,False,11.0,10.0,1,left,K. Irving cutting Layup (4 PTS) (L. Doncic 1 AST),"[202681, 1629029]",1610612742.0,DAL,cutting,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,1.49,Made,4.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,
65,PT06M28.00S,2023-03-26T17:20:42.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,83.78777923784494,50.73529411764706,1610612766,16,5,2023-03-26T17:20:56Z,640000,False,4.0,100.0,1,right,G. Hayward 10' floating Jump Shot (9 PTS),[202330],1610612766.0,CHA,floating,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Center,10.0,Made,9.0,,,,,,,,,,,,,,,,,
66,PT06M19.00S,2023-03-26T17:20:53.0Z,1,REGULAR,3pt,Jump Shot,[],1629029,22.815374507227332,90.44117647058823,1610612742,16,5,2023-03-26T17:21:35Z,650000,False,-202.0,162.0,1,left,MISS L. Doncic 25' pullup 3PT,[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,25.91,Missed,,,,,,,,,,,,,,,,,,
67,PT06M19.00S,2023-03-26T17:20:53.0Z,1,REGULAR,rebound,defensive,[],1628372,,,1610612766,16,5,2023-03-26T17:20:58Z,660000,False,,,0,,D. Smith Jr. REBOUND (Off:0 Def:2),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,66.0,2.0,2.0,0.0,,,,,,,,,
68,PT06M09.00S,2023-03-26T17:21:01.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631109,90.75229960578186,49.754901960784316,1610612766,16,5,2023-03-26T17:21:13Z,670000,False,-1.0,34.0,1,right,MISS M. Williams Hook,[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,3.44,Missed,,,,,,,,,,,,,,,,,,
69,PT06M06.00S,2023-03-26T17:21:04.6Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612766,16,5,2023-03-26T17:21:13Z,680000,False,,,0,,M. Williams REBOUND (Off:2 Def:3),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,68.0,5.0,3.0,2.0,,,,,,,,,
70,PT06M06.00S,2023-03-26T17:21:04.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631109,94.40999984741211,50.0,1610612766,18,5,2023-03-26T17:21:04Z,690000,False,0.0,0.0,1,right,M. Williams tip Layup (4 PTS),[1631109],1610612766.0,CHA,tip,,,Williams,M. Williams,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
71,PT05M48.00S,2023-03-26T17:21:23.3Z,1,REGULAR,3pt,Jump Shot,[],202681,4.681340341655716,96.81372549019608,1610612742,18,5,2023-03-26T17:21:27Z,700000,False,-234.0,-8.0,1,left,MISS K. Irving 3PT,[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Left Corner 3,24+ Left,23.43,Missed,,,,,,,,,,,,,,,,,,
72,PT05M46.00S,2023-03-26T17:21:25.3Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,18,5,2023-03-26T17:21:27Z,710000,False,,,0,,P. Washington REBOUND (Off:0 Def:3),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Left Corner 3,24+ Left,,,,,,,,71.0,3.0,3.0,0.0,,,,,,,,,
73,PT05M34.00S,2023-03-26T17:21:36.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,81.68528252299606,51.470588235294116,1610612766,18,5,2023-03-26T17:21:44Z,720000,False,7.0,120.0,1,right,MISS G. Hayward 11' fadeaway Shot,[202330],1610612766.0,CHA,fadeaway,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Center,11.99,Missed,,,,,,,,,,,,,,,,,,
74,PT05M32.00S,2023-03-26T17:21:38.5Z,1,REGULAR,rebound,defensive,[],203493,,,1610612742,18,5,2023-03-26T17:21:38Z,730000,False,,,0,,R. Bullock REBOUND (Off:0 Def:1),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,73.0,1.0,1.0,0.0,,,,,,,,,
75,PT05M25.00S,2023-03-26T17:21:45.6Z,1,REGULAR,3pt,Jump Shot,[],1628467,26.49474375821288,82.59803921568627,1610612742,18,8,2023-03-26T17:21:51Z,740000,False,-163.0,197.0,1,left,M. Kleber 25' 3PT  (3 PTS) (L. Doncic 2 AST),"[1628467, 1629029]",1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Above the Break 3,24+ Left Center,25.54,Made,3.0,L. Doncic,1629029.0,2.0,,,,,,,,,,,,,,
77,PT05M25.00S,2023-03-26T17:21:50.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,18,8,2023-03-26T17:21:50Z,760000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M25.00S,2023-03-26T17:23:30.5Z,1,REGULAR,substitution,out,[],1629004,,,1610612766,18,8,2023-03-26T17:24:20Z,770000,False,,,0,,SUB out: S. Mykhailiuk,[1629004],1610612766.0,CHA,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M25.00S,2023-03-26T17:23:30.5Z,1,REGULAR,substitution,out,[],1629023,,,1610612766,18,8,2023-03-26T17:24:20Z,780000,False,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M25.00S,2023-03-26T17:23:30.5Z,1,REGULAR,substitution,out,[],202681,,,1610612766,18,8,2023-03-26T17:24:20Z,790000,False,,,0,,SUB out: K. Irving,[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M25.00S,2023-03-26T17:23:30.5Z,1,REGULAR,substitution,in,[],1631121,,,1610612766,18,8,2023-03-26T17:24:20Z,800000,False,,,0,,SUB in: B. McGowens,[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M25.00S,2023-03-26T17:23:30.5Z,1,REGULAR,substitution,in,[],1630550,,,1610612766,18,8,2023-03-26T17:24:20Z,810000,False,,,0,,SUB in: J. Thor,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M25.00S,2023-03-26T17:23:30.5Z,1,REGULAR,substitution,in,[],203501,,,1610612766,18,8,2023-03-26T17:24:20Z,820000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M07.00S,2023-03-26T17:24:57.5Z,1,REGULAR,2pt,Jump Shot,[],202330,75.77201051248358,49.50980392156863,1610612766,18,8,2023-03-26T17:25:02Z,830000,False,-2.0,175.0,1,right,MISS G. Hayward 17' fadeaway Shot,[202330],1610612766.0,CHA,fadeaway,,,Hayward,G. Hayward,,,,,Mid-Range,16-24 Center,17.52,Missed,,,,,,,,,,,,,,,,,,
85,PT05M05.00S,2023-03-26T17:24:59.5Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,18,8,2023-03-26T17:25:02Z,840000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,,
