actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
505,PT10M09.00S,2026-02-02T01:58:15.1Z,4,REGULAR,timeout,full,['team'],0,,,1610612752,92,88,2026-02-02T01:58:15Z,5030000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,PT09M50.00S,2026-02-02T02:01:59.6Z,4,REGULAR,3pt,Jump Shot,[],1628404,7.5722733245729295,4.411764705882353,1610612752,95,88,2026-02-02T02:02:03Z,5040000,False,228.0,19.0,1,left,J. Hart 3PT  (18 PTS) (T. Kolek 4 AST),"[1628404, 1642278]",1610612752.0,NYK,,,,Hart,J. Hart,,,,,Right Corner 3,24+ Right,22.87,Made,,,,,18.0,T. Kolek,1642278.0,4.0,,,,,,,,,,
508,PT09M28.00S,2026-02-02T02:02:23.4Z,4,REGULAR,turnover,out-of-bounds,[],2544,,,1610612747,95,88,2026-02-02T02:02:28Z,5060000,False,,,0,,L. James bad pass out-of-bounds TURNOVER (1 TO),[2544],1610612747.0,LAL,bad pass,,,James,L. James,,,,,Mid-Range,8-16 Left,,,,,,,,,,,2534.0,,,,,1.0,,,,
509,PT09M11.00S,2026-02-02T02:02:54.5Z,4,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628384,5.995400788436268,51.225490196078425,1610612752,97,88,2026-02-02T02:02:57Z,5070000,False,-6.0,4.0,1,left,O. Anunoby DUNK (23 PTS) (K. Towns 4 AST),"[1628384, 1626157]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,0.72,Made,,,,,23.0,K. Towns,1626157.0,4.0,,,,,,,,,,
511,PT08M47.00S,2026-02-02T02:03:18.4Z,4,REGULAR,3pt,Jump Shot,[],1629020,94.03745072273325,96.32352941176471,1610612747,97,88,2026-02-02T02:03:22Z,5090000,False,232.0,4.0,1,right,MISS J. Vanderbilt 3PT,[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,Right Corner 3,24+ Right,23.16,Missed,,,,,,,,,,,,,,,,,,
512,PT08M44.00S,2026-02-02T02:03:21.4Z,4,REGULAR,rebound,defensive,[],1628384,,,1610612752,97,88,2026-02-02T02:03:22Z,5100000,False,,,0,,O. Anunoby REBOUND (Off:1 Def:5),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Right Corner 3,24+ Right,,,511.0,6.0,5.0,1.0,,,,,,,,,,,,,,
513,PT08M41.00S,2026-02-02T02:03:28.1Z,4,REGULAR,foul,personal,[],1629020,,,1610612752,97,88,2026-02-02T02:03:32Z,5110000,False,,,0,,J. Vanderbilt personal FOUL (2 PF),"[1629020, 1628404]",1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,Above the Break 3,24+ Center,,,,,,,,,,,203054.0,2.0,0.0,Hart,1628404.0,,,,,
515,PT08M41.00S,2026-02-02T02:03:28.2Z,4,REGULAR,substitution,out,[],1628384,,,1610612752,97,88,2026-02-02T02:03:51Z,5130000,False,,,0,,SUB out: O. Anunoby,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
516,PT08M41.00S,2026-02-02T02:03:28.2Z,4,REGULAR,substitution,out,[],1628969,,,1610612752,97,88,2026-02-02T02:03:51Z,5140000,False,,,0,,SUB out: M. Bridges,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
517,PT08M41.00S,2026-02-02T02:03:28.2Z,4,REGULAR,substitution,out,[],1629020,,,1610612752,97,88,2026-02-02T02:03:51Z,5150000,False,,,0,,SUB out: J. Vanderbilt,[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,
518,PT08M41.00S,2026-02-02T02:03:28.2Z,4,REGULAR,substitution,out,[],1629060,,,1610612752,97,88,2026-02-02T02:03:51Z,5160000,False,,,0,,SUB out: R. Hachimura,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
519,PT08M41.00S,2026-02-02T02:03:28.2Z,4,REGULAR,substitution,in,[],1629011,,,1610612752,97,88,2026-02-02T02:03:51Z,5170000,False,,,0,,SUB in: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
520,PT08M41.00S,2026-02-02T02:03:28.2Z,4,REGULAR,substitution,in,[],1629013,,,1610612752,97,88,2026-02-02T02:03:51Z,5180000,False,,,0,,SUB in: L. Shamet,[1629013],1610612752.0,NYK,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,,
521,PT08M41.00S,2026-02-02T02:03:28.2Z,4,REGULAR,substitution,in,[],1629029,,,1610612752,97,88,2026-02-02T02:03:51Z,5190000,False,,,0,,SUB in: L. Dončić,[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,,,,,,,,,,,,,,,,,,,
