actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
17,PT11M01.00S,2026-01-31T00:43:24.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,7.440867279894875,52.69607843137255,1610612757,1,0,2026-01-31T00:43:28Z,170000,False,-13.0,17.0,1,left,MISS D. Avdija driving Layup,[1630166],1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,2.2,,,,,,,,,,,
18,PT10M58.00S,2026-01-31T00:43:27.3Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,1,0,2026-01-31T00:43:27Z,180000,False,,,0,,D. Clingan REBOUND (Off:1 Def:0),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,,,,17.0,,,1.0,0.0,1.0,,,,,,,,
19,PT10M53.00S,2026-01-31T00:43:33.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631101,31.882391590013142,27.941176470588236,1610612757,1,0,2026-01-31T00:43:36Z,190000,False,110.0,247.0,1,left,MISS S. Sharpe 27' step back 3PT,[1631101],1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,27.07,,,,,,,,,,,
20,PT10M51.00S,2026-01-31T00:43:35.1Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,1,0,2026-01-31T00:43:36Z,200000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,,,,,19.0,,,1.0,1.0,0.0,,,,,,,,
21,PT10M37.00S,2026-01-31T00:43:48.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628384,83.919185282523,46.32352941176471,1610612752,3,0,2026-01-31T00:43:51Z,210000,False,-18.0,99.0,1,right,O. Anunoby 10' turnaround Jump Shot (2 PTS),[1628384],1610612752.0,NYK,turnaround,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,,2.0,10.04,,,,,,,,,,,
22,PT10M24.00S,2026-01-31T00:44:01.7Z,1,REGULAR,3pt,Jump Shot,[],1642270,31.750985545335087,50.98039215686274,1610612757,3,0,2026-01-31T00:44:05Z,220000,False,-5.0,246.0,1,left,MISS D. Clingan 24' 3PT,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,24.6,,,,,,,,,,,
23,PT10M21.00S,2026-01-31T00:44:04.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,3,0,2026-01-31T00:44:05Z,230000,False,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,,,,,,,22.0,,,2.0,2.0,0.0,,,,,,,,
24,PT10M15.00S,2026-01-31T00:44:13.6Z,1,REGULAR,foul,personal,[],1641739,,,1610612752,3,0,2026-01-31T00:44:18Z,240000,False,,,0,,T. Camara personal FOUL (1 PF),"[1641739, 1628404]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,1629183.0,1.0,0.0,Hart,1628404.0,,,,,,,,,,,,,,,
26,PT10M12.00S,2026-01-31T00:44:32.8Z,1,REGULAR,3pt,Jump Shot,[],1628973,94.95729303547962,95.09803921568627,1610612752,3,0,2026-01-31T00:44:43Z,260000,False,225.0,-5.0,1,right,MISS J. Brunson pullup 3PT,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,22.56,,,,,,,,,,,
27,PT10M09.00S,2026-01-31T00:44:35.8Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,3,0,2026-01-31T00:44:43Z,270000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Right Corner 3,24+ Right,,,,,,,26.0,,,1.0,1.0,0.0,,,,,,,,
28,PT09M56.00S,2026-01-31T00:44:48.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,6.1268068331143235,47.549019607843135,1610612757,3,0,2026-01-31T00:44:52Z,280000,False,12.0,5.0,1,left,MISS D. Avdija driving Layup,[1630166],1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,1.33,,,,,,,,,,,
29,PT09M54.00S,2026-01-31T00:44:50.3Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,3,0,2026-01-31T00:44:52Z,290000,False,,,0,,D. Clingan REBOUND (Off:2 Def:0),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,,,,28.0,,,2.0,0.0,2.0,,,,,,,,
30,PT09M50.00S,2026-01-31T00:44:55.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631101,8.886333771353483,55.63725490196079,1610612757,3,2,2026-01-31T00:45:27Z,300000,False,-28.0,31.0,1,left,S. Sharpe driving finger roll Layup (2 PTS),[1631101],1610612757.0,POR,driving finger roll,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,4.19,,,,,,,,,,,
31,PT09M50.00S,2026-01-31T00:44:58.7Z,1,REGULAR,foul,personal,['1freethrow'],1626157,,,1610612757,3,2,2026-01-31T00:45:08Z,310000,False,,,0,,K. Towns shooting personal FOUL (1 PF) (Sharpe 1 FT),"[1626157, 1631101]",1610612752.0,NYK,shooting,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,1629183.0,1.0,0.0,Sharpe,1631101.0,,,,,,,,,,,,,,,
33,PT09M50.00S,2026-01-31T00:45:20.8Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1631101,,,1610612757,3,2,2026-01-31T00:45:22Z,330000,False,,,0,,MISS S. Sharpe Free Throw 1 of 1,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
34,PT09M48.00S,2026-01-31T00:45:22.8Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,3,2,2026-01-31T00:45:22Z,340000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,33.0,,,1.0,1.0,0.0,,,,,,,,
35,PT09M29.00S,2026-01-31T00:45:40.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,94.1688567674113,50.0,1610612752,5,2,2026-01-31T00:45:51Z,350000,False,0.0,2.0,1,right,J. Hart driving finger roll Layup (3 PTS) (M. Bridges 1 AST),"[1628404, 1628969]",1610612752.0,NYK,driving finger roll,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,Made,,3.0,0.23,,,,M. Bridges,1628969.0,1.0,,,,,
37,PT09M15.00S,2026-01-31T00:45:55.5Z,1,REGULAR,3pt,Jump Shot,[],1641739,8.623521681997373,3.6764705882352944,1610612757,5,2,2026-01-31T00:46:01Z,370000,False,232.0,29.0,1,left,MISS T. Camara 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,23.34,,,,,,,,,,,
38,PT09M12.00S,2026-01-31T00:45:58.5Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,5,2,2026-01-31T00:46:01Z,380000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,,,,,,,37.0,,,1.0,1.0,0.0,,,,,,,,
39,PT09M02.00S,2026-01-31T00:46:07.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628404,88.12417871222075,48.77450980392157,1610612752,5,2,2026-01-31T00:46:10Z,390000,False,-6.0,59.0,1,right,MISS J. Hart driving floating Shot,[1628404],1610612752.0,NYK,driving floating,,,Hart,J. Hart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,5.94,,,,,,,,,,,
40,PT08M59.00S,2026-01-31T00:46:10.9Z,1,REGULAR,rebound,defensive,[],201950,,,1610612757,5,2,2026-01-31T00:46:10Z,400000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,39.0,,,1.0,1.0,0.0,,,,,,,,
41,PT08M47.00S,2026-01-31T00:46:22.6Z,1,REGULAR,3pt,Jump Shot,[],1631101,32.670827858081466,50.245098039215684,1610612757,5,2,2026-01-31T00:58:16Z,410000,False,-1.0,255.0,1,left,MISS S. Sharpe 25' step back 3PT,[1631101],1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,25.46,,,,,,,,,,,
42,PT08M44.00S,2026-01-31T00:46:25.6Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,5,2,2026-01-31T00:46:26Z,420000,False,,,0,,K. Towns REBOUND (Off:0 Def:3),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,,,,,,,41.0,,,3.0,3.0,0.0,,,,,,,,
43,PT08M36.00S,2026-01-31T00:46:33.4Z,1,REGULAR,3pt,Jump Shot,[],1628384,70.90998685939553,72.54901960784314,1610612752,8,2,2026-01-31T00:46:37Z,430000,False,113.0,221.0,1,right,O. Anunoby 24' 3PT  (5 PTS) (M. Bridges 2 AST),"[1628384, 1628969]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,,,,,,Made,,5.0,24.8,,,,M. Bridges,1628969.0,2.0,,,,,
360,PT08M21.00S,2026-01-31T00:46:45.1Z,1,REGULAR,turnover,out-of-bounds,[],1630166,,,1610612757,8,2,2026-01-31T01:59:36Z,460000,False,,,0,,D. Avdija lost ball out-of-bounds TURNOVER (1 TO),[1630166],1610612757.0,POR,lost ball,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,,,,
49,PT08M16.00S,2026-01-31T00:47:08.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628404,75.3777923784494,79.16666666666666,1610612752,8,2,2026-01-31T01:58:16Z,490000,False,146.0,179.0,1,right,MISS J. Hart 23' pullup Shot,[1628404],1610612752.0,NYK,pullup,,,Hart,J. Hart,,,,,Mid-Range,16-24 Right Center,,,,,,Missed,,,23.08,,,,,,,,,,,
50,PT08M13.00S,2026-01-31T00:47:11.1Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,8,2,2026-01-31T00:47:12Z,500000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:2),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Right Center,,,,,,,49.0,,,2.0,2.0,0.0,,,,,,,,
51,PT08M02.00S,2026-01-31T00:47:20.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,11.514454664914586,50.245098039215684,1610612757,8,2,2026-01-31T01:26:37Z,510000,False,-1.0,56.0,1,left,MISS J. Holiday driving Layup - blocked,"[201950, 1626157]",1610612757.0,POR,driving,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,5.57,,,,,,,,Towns,1626157.0,,
52,PT08M02.00S,2026-01-31T00:47:20.3Z,1,REGULAR,block,,[],1626157,,,1610612757,8,2,2026-01-31T00:47:22Z,520000,False,,,0,,K. Towns BLOCK (1 BLK),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
53,PT08M01.00S,2026-01-31T00:47:21.3Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,8,2,2026-01-31T00:47:24Z,530000,False,,,0,,D. Clingan REBOUND (Off:3 Def:0),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,51.0,,,3.0,0.0,3.0,,,,,,,,
54,PT08M01.00S,2026-01-31T00:47:24.3Z,1,REGULAR,turnover,out-of-bounds,[],1642270,,,1610612757,8,2,2026-01-31T00:47:31Z,540000,False,,,0,,D. Clingan bad pass out-of-bounds TURNOVER (1 TO),[1642270],1610612757.0,POR,bad pass,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,1629183.0,,,,,,,,,,,,,,,1.0,,,,
56,PT08M01.00S,2026-01-31T00:47:44.1Z,1,REGULAR,substitution,out,[],1630166,,,1610612752,8,2,2026-01-31T00:48:04Z,545000,False,,,0,,SUB out: D. Avdija,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT08M01.00S,2026-01-31T00:47:44.1Z,1,REGULAR,substitution,out,[],1642270,,,1610612752,8,2,2026-01-31T00:48:04Z,547500,False,,,0,,SUB out: D. Clingan,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT08M01.00S,2026-01-31T00:47:44.1Z,1,REGULAR,substitution,in,[],1629057,,,1610612752,8,2,2026-01-31T00:48:04Z,548750,False,,,0,,SUB in: R. Williams III,[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT08M01.00S,2026-01-31T00:47:44.1Z,1,REGULAR,substitution,in,[],203924,,,1610612752,8,2,2026-01-31T00:48:04Z,549375,False,,,0,,SUB in: J. Grant,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M50.00S,2026-01-31T00:48:04.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628969,80.3712220762155,59.068627450980394,1610612752,8,2,2026-01-31T00:48:07Z,550000,False,45.0,132.0,1,right,MISS M. Bridges 13' pullup Shot,[1628969],1610612752.0,NYK,pullup,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,13.96,,,,,,,,,,,
60,PT07M48.00S,2026-01-31T00:48:06.1Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612752,8,2,2026-01-31T00:48:06Z,560000,False,,,0,,K. Towns REBOUND (Off:1 Def:3),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,55.0,,,4.0,3.0,1.0,,,,,,,,
61,PT07M47.00S,2026-01-31T00:48:06.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626157,91.27792378449409,51.9607843137255,1610612752,8,2,2026-01-31T01:26:56Z,570000,False,10.0,29.0,1,right,MISS K. Towns driving floating Shot,[1626157],1610612752.0,NYK,driving floating,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,3.11,,,,,,,,,,,
62,PT07M44.00S,2026-01-31T00:48:09.9Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612757,8,2,2026-01-31T00:48:11Z,580000,False,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,61.0,,,1.0,1.0,0.0,,,,,,,,
63,PT07M38.00S,2026-01-31T00:48:15.9Z,1,REGULAR,3pt,Jump Shot,[],1631101,5.469776609724048,95.58823529411765,1610612757,8,5,2026-01-31T00:48:19Z,590000,False,-228.0,-1.0,1,left,S. Sharpe 3PT  (5 PTS) (J. Holiday 1 AST),"[1631101, 201950]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Left Corner 3,24+ Left,,,,,,Made,,5.0,22.79,,,,J. Holiday,201950.0,1.0,,,,,
65,PT07M13.00S,2026-01-31T00:48:42.9Z,1,REGULAR,turnover,out-of-bounds,[],1628404,,,1610612752,8,5,2026-01-31T00:48:48Z,610000,False,,,0,,J. Hart bad pass out-of-bounds TURNOVER (1 TO),[1628404],1610612752.0,NYK,bad pass,,,Hart,J. Hart,,,,,In The Paint (Non-RA),0-8 Center,1629183.0,,,,,,,,,,,,,,,1.0,,,,
66,PT07M07.00S,2026-01-31T00:48:56.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201950,32.670827858081466,43.13725490196079,1610612757,8,5,2026-01-31T00:49:00Z,620000,False,34.0,255.0,1,left,MISS J. Holiday 25' pullup 3PT,[201950],1610612757.0,POR,pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,25.69,,,,,,,,,,,
67,PT07M04.00S,2026-01-31T00:48:59.3Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,8,5,2026-01-31T00:49:00Z,630000,False,,,0,,K. Towns REBOUND (Off:1 Def:4),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,,,,,,,66.0,,,5.0,4.0,1.0,,,,,,,,
68,PT06M59.00S,2026-01-31T00:49:04.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628404,93.9060446780552,51.9607843137255,1610612752,10,5,2026-01-31T00:49:08Z,640000,False,10.0,5.0,1,right,J. Hart running Layup (5 PTS),[1628404],1610612752.0,NYK,running,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,Made,,5.0,1.09,,,,,,,,,,,
69,PT06M50.00S,2026-01-31T00:49:13.1Z,1,REGULAR,3pt,Jump Shot,[],203924,6.389618922470433,3.1862745098039214,1610612757,10,8,2026-01-31T00:49:17Z,650000,False,234.0,8.0,1,left,J. Grant 3PT  (3 PTS) (S. Sharpe 1 AST),"[203924, 1631101]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Right Corner 3,24+ Right,,,,,,Made,,3.0,23.42,,,,S. Sharpe,1631101.0,1.0,,,,,
71,PT06M25.00S,2026-01-31T00:49:38.5Z,1,REGULAR,turnover,bad pass,[],1628384,,,1610612752,10,8,2026-01-31T00:49:41Z,670000,False,,,0,,O. Anunoby bad pass TURNOVER (1 TO),"[1628384, 1629057]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,1.0,,,Williams III,1629057.0
72,PT06M25.00S,2026-01-31T00:49:38.5Z,1,REGULAR,steal,,[],1629057,,,1610612757,10,8,2026-01-31T00:49:39Z,680000,False,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
73,PT06M19.00S,2026-01-31T00:49:45.2Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203924,28.991458607095925,16.666666666666664,1610612757,10,8,2026-01-31T01:05:13Z,690000,False,167.0,220.0,1,left,MISS J. Grant 27' running 3PT,[203924],1610612757.0,POR,running,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,27.6,,,,,,,,,,,
74,PT06M16.00S,2026-01-31T00:49:48.2Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,10,8,2026-01-31T00:49:49Z,700000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,,,,,73.0,,,1.0,1.0,0.0,,,,,,,,
75,PT06M10.00S,2026-01-31T00:49:53.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628384,94.95729303547962,52.20588235294118,1610612752,10,8,2026-01-31T03:30:31Z,710000,False,11.0,-5.0,1,right,MISS O. Anunoby running Layup,[1628384],1610612752.0,NYK,running,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,1.21,,,,,,,,,,,
76,PT06M07.00S,2026-01-31T00:49:56.3Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612752,10,8,2026-01-31T00:50:00Z,720000,False,,,0,,K. Towns REBOUND (Off:2 Def:4),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,,75.0,,,6.0,4.0,2.0,,,,,,,,
77,PT06M07.00S,2026-01-31T00:49:57.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1626157,94.40999984741211,50.0,1610612752,12,8,2026-01-31T03:30:34Z,730000,False,0.0,0.0,1,right,K. Towns tip Layup (2 PTS),[1626157],1610612752.0,NYK,tip,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,0.0,,,,,,,,,,,
78,PT05M51.00S,2026-01-31T00:50:11.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,6.652431011826544,47.30392156862745,1610612757,12,10,2026-01-31T00:50:15Z,740000,False,13.0,10.0,1,left,R. Williams III Layup (2 PTS) (J. Grant 1 AST),"[1629057, 203924]",1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,1.68,,,,J. Grant,203924.0,1.0,,,,,
81,PT05M39.00S,2026-01-31T00:50:29.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,12,10,2026-01-31T00:50:29Z,770000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M39.00S,2026-01-31T00:50:29.4Z,1,REGULAR,substitution,out,[],1628384,,,1610612752,12,10,2026-01-31T00:53:37Z,780000,False,,,0,,SUB out: O. Anunoby,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M39.00S,2026-01-31T00:50:29.4Z,1,REGULAR,substitution,out,[],1628969,,,1610612752,12,10,2026-01-31T00:53:37Z,790000,False,,,0,,SUB out: M. Bridges,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M39.00S,2026-01-31T00:50:29.4Z,1,REGULAR,substitution,out,[],1626157,,,1610612752,12,10,2026-01-31T00:53:37Z,800000,False,,,0,,SUB out: K. Towns,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
