actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
49,PT07M25.00S,2025-12-21T23:17:06.2Z,1,REGULAR,substitution,in,[],1631170,,,1610612752,7,8,2025-12-21T23:17:12Z,490000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M25.00S,2025-12-21T23:17:28.0Z,1,REGULAR,foul,technical,['1freethrow'],1626157,,,1610612752,7,8,2025-12-21T23:17:35Z,500000,False,,,0,,K. Towns technical FOUL (1 Tech),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,101283.0,,,,,,0.0,1.0,,
51,PT07M25.00S,2025-12-21T23:17:48.9Z,1,REGULAR,freethrow,1 of 1,[],1626181,,,1610612752,7,8,2025-12-21T23:17:48Z,510000,False,,,0,,MISS N. Powell technical Free Throw 1 of 1,[1626181],1610612748.0,MIA,technical,,,Powell,N. Powell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
52,PT07M25.00S,2025-12-21T23:17:48.9Z,1,REGULAR,rebound,defensive,"['deadball', 'team']",0,,,1610612752,7,8,2025-12-21T23:17:48Z,520000,False,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,
53,PT07M15.00S,2025-12-21T23:18:18.9Z,1,REGULAR,2pt,Jump Shot,[],1628969,89.70105124835742,24.754901960784316,1610612752,9,8,2025-12-21T23:18:21Z,530000,False,-126.0,44.0,1,right,M. Bridges 13' turnaround fadeaway Jump Shot (4 PTS),[1628969],1610612752.0,NYK,turnaround fadeaway,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Left,13.37,Made,,,,,4.0,,,,,,,,,,,,,
54,PT06M57.00S,2025-12-21T23:18:37.2Z,1,REGULAR,3pt,Jump Shot,[],1642276,7.046649145860711,2.696078431372549,1610612748,9,11,2025-12-21T23:18:40Z,540000,False,237.0,14.0,1,left,K. Ware 3PT  (5 PTS) (N. Powell 1 AST),"[1642276, 1626181]",1610612748.0,MIA,,,,Ware,K. Ware,,,,,Right Corner 3,24+ Right,23.69,Made,,,,,5.0,N. Powell,1626181.0,1.0,,,,,,,,,,
56,PT06M42.00S,2025-12-21T23:18:51.7Z,1,REGULAR,turnover,bad pass,[],1628969,,,1610612752,9,11,2025-12-21T23:18:56Z,560000,False,,,0,,M. Bridges bad pass TURNOVER (1 TO),"[1628969, 1626181]",1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,,,Powell,1626181.0,,,,
57,PT06M42.00S,2025-12-21T23:18:51.7Z,1,REGULAR,steal,,[],1626181,,,1610612748,9,11,2025-12-21T23:18:53Z,570000,False,,,0,,N. Powell STEAL (1 STL),[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
58,PT06M36.00S,2025-12-21T23:18:58.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631170,5.995400788436268,49.50980392156863,1610612748,9,13,2025-12-21T23:19:03Z,580000,False,2.0,4.0,1,left,J. Jaquez Jr. running Layup (2 PTS) (D. Mitchell 2 AST),"[1631170, 1630558]",1610612748.0,MIA,running,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,0.46,Made,,,,,2.0,D. Mitchell,1630558.0,2.0,,,,,,,,,,
60,PT06M36.00S,2025-12-21T23:19:01.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,9,13,2025-12-21T23:19:01Z,600000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M36.00S,2025-12-21T23:19:01.9Z,1,REGULAR,substitution,out,[],1628384,,,1610612752,9,13,2025-12-21T23:21:53Z,610000,False,,,0,,SUB out: O. Anunoby,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M36.00S,2025-12-21T23:19:01.9Z,1,REGULAR,substitution,in,[],203903,,,1610612752,9,13,2025-12-21T23:21:53Z,620000,False,,,0,,SUB in: J. Clarkson,[203903],1610612752.0,NYK,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M17.00S,2025-12-21T23:22:30.4Z,1,REGULAR,foul,offensive,[],1626157,,,1610612752,9,13,2025-12-21T23:22:35Z,630000,False,,,0,,K. Towns offensive FOUL (1 PF),"[1626157, 203952]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Left,,,,,,,,,,,1627963.0,,,,,,1.0,1.0,Wiggins,203952.0
65,PT06M17.00S,2025-12-21T23:22:30.4Z,1,REGULAR,turnover,offensive foul,[],1626157,,,1610612752,9,13,2025-12-21T23:22:30Z,650000,False,,,0,,K. Towns offensive foul TURNOVER (1 TO),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Left,,,,,,,,,,,1627963.0,1.0,,,,,,,,
66,PT06M02.00S,2025-12-21T23:22:51.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642276,31.488173455978973,62.254901960784316,1610612748,9,16,2025-12-21T23:22:54Z,660000,False,-61.0,243.0,1,left,K. Ware 25' 3PT  (8 PTS) (A. Wiggins 2 AST),"[1642276, 203952]",1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Center,25.11,Made,,,,,8.0,A. Wiggins,203952.0,2.0,,,,,,,,,,
68,PT05M41.00S,2025-12-21T23:23:11.2Z,1,REGULAR,2pt,Jump Shot,[],1628973,92.9862023653088,22.794117647058822,1610612752,9,16,2025-12-21T23:27:47Z,680000,False,-136.0,13.0,1,right,MISS J. Brunson 13' pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Left,13.67,Missed,,,,,,,,,,,,,,,,,,
69,PT05M39.00S,2025-12-21T23:23:13.2Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,9,16,2025-12-21T23:23:14Z,690000,False,,,0,,K. Ware REBOUND (Off:0 Def:2),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Mid-Range,8-16 Left,,,68.0,2.0,2.0,0.0,,,,,,,,,,,,,,
70,PT05M31.00S,2025-12-21T23:23:22.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642276,6.652431011826544,48.28431372549019,1610612748,9,18,2025-12-21T23:23:25Z,700000,False,9.0,10.0,1,left,K. Ware alley-oop Layup (10 PTS) (D. Mitchell 3 AST),"[1642276, 1630558]",1610612748.0,MIA,alley-oop,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,1.32,Made,,,,,10.0,D. Mitchell,1630558.0,3.0,,,,,,,,,,
72,PT05M14.00S,2025-12-21T23:23:39.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,87.20433639947439,59.068627450980394,1610612752,11,18,2025-12-21T23:23:41Z,720000,False,45.0,68.0,1,right,J. Brunson 8' driving floating Jump Shot (4 PTS),[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Right,8.15,Made,,,,,4.0,,,,,,,,,,,,,
73,PT05M01.00S,2025-12-21T23:23:52.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631170,9.280551905387648,50.73529411764706,1610612748,11,20,2025-12-21T23:28:31Z,730000,False,-4.0,35.0,1,left,J. Jaquez Jr. driving finger roll Layup (4 PTS),[1631170],1610612748.0,MIA,driving finger roll,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,3.49,Made,,,,,4.0,,,,,,,,,,,,,
74,PT04M52.00S,2025-12-21T23:24:01.5Z,1,REGULAR,3pt,Jump Shot,[],1628973,74.98357424441524,87.74509803921569,1610612752,14,20,2025-12-21T23:24:04Z,740000,False,189.0,183.0,1,right,J. Brunson 26' 3PT pullup (7 PTS),[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,26.27,Made,,,,,7.0,,,,,,,,,,,,,
75,PT04M43.00S,2025-12-21T23:24:10.1Z,1,REGULAR,3pt,Jump Shot,[],1642276,33.952036793692514,68.87254901960785,1610612748,14,20,2025-12-21T23:29:26Z,750000,False,-94.0,267.0,1,left,MISS K. Ware 28' 3PT,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Left Center,28.28,Missed,,,,,,,,,,,,,,,,,,
76,PT04M41.00S,2025-12-21T23:24:12.1Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,14,20,2025-12-21T23:24:14Z,760000,False,,,0,,J. Hart REBOUND (Off:0 Def:4),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Mid-Range,24+ Left Center,,,75.0,4.0,4.0,0.0,,,,,,,,,,,,,,
77,PT04M32.00S,2025-12-21T23:24:24.7Z,1,REGULAR,turnover,out-of-bounds,[],1626157,,,1610612752,14,20,2025-12-21T23:24:30Z,770000,False,,,0,,K. Towns lost ball out-of-bounds TURNOVER (2 TO),[1626157],1610612752.0,NYK,lost ball,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202007.0,2.0,,,,,,,,
78,PT04M32.00S,2025-12-21T23:24:24.8Z,1,REGULAR,substitution,out,[],1626157,,,1610612748,14,20,2025-12-21T23:24:33Z,780000,False,,,0,,SUB out: K. Towns,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M32.00S,2025-12-21T23:24:24.8Z,1,REGULAR,substitution,in,[],1629011,,,1610612748,14,20,2025-12-21T23:24:33Z,790000,False,,,0,,SUB in: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M32.00S,2025-12-21T23:24:24.8Z,1,REGULAR,substitution,out,[],1626181,,,1610612748,14,20,2025-12-21T23:24:43Z,800000,False,,,0,,SUB out: N. Powell,[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M32.00S,2025-12-21T23:24:24.8Z,1,REGULAR,substitution,in,[],1631323,,,1610612748,14,20,2025-12-21T23:24:43Z,810000,False,,,0,,SUB in: S. Fontecchio,[1631323],1610612748.0,MIA,,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M22.00S,2025-12-21T23:25:07.9Z,1,REGULAR,turnover,bad pass,[],1630558,,,1610612748,14,20,2025-12-21T23:25:11Z,820000,False,,,0,,D. Mitchell bad pass TURNOVER (1 TO),"[1630558, 1629011]",1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1.0,,,Robinson,1629011.0,,,,
83,PT04M22.00S,2025-12-21T23:25:07.9Z,1,REGULAR,steal,,[],1629011,,,1610612752,14,20,2025-12-21T23:25:10Z,830000,False,,,0,,M. Robinson STEAL (1 STL),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
84,PT04M13.00S,2025-12-21T23:25:16.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628969,81.8166885676741,48.529411764705884,1610612752,14,20,2025-12-21T23:25:20Z,840000,False,-7.0,118.0,1,right,MISS M. Bridges 11' fadeaway Shot,[1628969],1610612752.0,NYK,fadeaway,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,11.86,Missed,,,,,,,,,,,,,,,,,,
