actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
88,PT05M32.00S,2026-02-20T00:57:55.3Z,1,REGULAR,freethrow,1 of 1,[],202699,,,1610612765,15,14,2026-02-20T00:57:56Z,840000,False,,,0,,MISS T. Harris Free Throw 1 of 1,[202699],1610612765.0,DET,,,,,,,,,,Missed,,Harris,T. Harris,,,,,,,,,,,,,,,,,,
90,PT05M30.00S,2026-02-20T00:57:57.3Z,1,REGULAR,rebound,defensive,[],1642885,,,1610612752,15,14,2026-02-20T00:57:56Z,850000,False,,,0,,M. Diawara REBOUND (Off:0 Def:1),[1642885],1610612752.0,NYK,,,,,,,,,,,,Diawara,M. Diawara,,,,88.0,1.0,1.0,0.0,,,,,,,,,,,
91,PT05M13.00S,2026-02-20T00:58:12.9Z,1,REGULAR,3pt,Jump Shot,[],1628973,70.90998685939553,24.264705882352942,1610612752,15,14,2026-02-20T00:58:16Z,860000,False,-129.0,221.0,1,right,MISS J. Brunson 25' 3PT,[1628973],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Left Center,25.57,Missed,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,
92,PT05M11.00S,2026-02-20T00:58:14.9Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,15,14,2026-02-20T00:58:16Z,870000,False,,,0,,T. Harris REBOUND (Off:0 Def:3),[202699],1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,,,,Harris,T. Harris,,,,91.0,3.0,3.0,0.0,,,,,,,,,,,
93,PT05M05.00S,2026-02-20T00:58:20.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630595,10.33180026281209,95.83333333333334,1610612765,15,17,2026-02-20T00:58:24Z,880000,False,-229.0,45.0,1,left,C. Cunningham 3PT running (11 PTS) (T. Harris 1 AST),"[1630595, 202699]",1610612765.0,DET,running,,,,,,Left Corner 3,24+ Left,23.35,Made,11.0,Cunningham,C. Cunningham,T. Harris,202699.0,1.0,,,,,,,,,,,,,,,
95,PT04M50.00S,2026-02-20T00:58:36.0Z,1,REGULAR,3pt,Jump Shot,[],1629013,74.45795006570303,13.725490196078432,1610612752,15,17,2026-02-20T00:58:39Z,900000,False,-181.0,188.0,1,right,MISS L. Shamet 26' 3PT,[1629013],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Left Center,26.1,Missed,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,
96,PT04M47.00S,2026-02-20T00:58:39.0Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612765,15,17,2026-02-20T00:58:39Z,910000,False,,,0,,P. Reed REBOUND (Off:1 Def:3),[1630194],1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,,,,Reed,P. Reed,,,,95.0,4.0,3.0,1.0,,,,,,,,,,,
97,PT04M41.00S,2026-02-20T00:58:49.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630194,7.5722733245729295,47.30392156862745,1610612765,15,19,2026-02-20T00:58:52Z,920000,False,13.0,19.0,1,left,P. Reed Layup (4 PTS) (C. Cunningham 1 AST),"[1630194, 1630595]",1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,2.31,Made,4.0,Reed,P. Reed,C. Cunningham,1630595.0,1.0,,,,,,,,,,,,,,,
99,PT04M41.00S,2026-02-20T00:58:51.2Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1628973,,,1610612765,15,19,2026-02-20T00:59:05Z,940000,False,,,0,,J. Brunson shooting personal FOUL (1 PF) (Reed 1 FT),"[1628973, 1630194]",1610612752.0,NYK,shooting,,,,,,Restricted Area,0-8 Center,,,,Brunson,J. Brunson,,,,,,,,2004.0,,,,1.0,0.0,Reed,1630194.0,,,
101,PT04M41.00S,2026-02-20T00:58:51.2Z,1,REGULAR,substitution,out,[],1629130,,,1610612765,15,19,2026-02-20T00:59:21Z,960000,False,,,0,,SUB out: D. Robinson,[1629130],1610612765.0,DET,,,,,,,,,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,
102,PT04M41.00S,2026-02-20T00:58:51.2Z,1,REGULAR,substitution,out,[],202699,,,1610612765,15,19,2026-02-20T00:59:21Z,970000,False,,,0,,SUB out: T. Harris,[202699],1610612765.0,DET,,,,,,,,,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,
103,PT04M41.00S,2026-02-20T00:58:51.2Z,1,REGULAR,substitution,in,[],1641842,,,1610612765,15,19,2026-02-20T00:59:21Z,980000,False,,,0,,SUB in: R. Holland II,[1641842],1610612765.0,DET,,,,,,,,,,,,Holland II,R. Holland II,,,,,,,,,,,,,,,,,,
104,PT04M41.00S,2026-02-20T00:58:51.2Z,1,REGULAR,substitution,in,[],1642450,,,1610612765,15,19,2026-02-20T00:59:21Z,990000,False,,,0,,SUB in: D. Jenkins,[1642450],1610612765.0,DET,,,,,,,,,,,,Jenkins,D. Jenkins,,,,,,,,,,,,,,,,,,
105,PT04M41.00S,2026-02-20T00:59:30.6Z,1,REGULAR,freethrow,1 of 1,[],1630194,,,1610612765,15,20,2026-02-20T00:59:30Z,1000000,False,,,0,,P. Reed Free Throw 1 of 1 (5 PTS),[1630194],1610612765.0,DET,,,,,,,,,,Made,5.0,Reed,P. Reed,,,,,,,,,,,,,,,,,,
107,PT04M26.00S,2026-02-20T00:59:47.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,88.25558475689881,49.26470588235294,1610612752,17,20,2026-02-20T00:59:51Z,1020000,False,-4.0,58.0,1,right,J. Brunson driving floating Jump Shot (7 PTS) (J. Hart 3 AST),"[1628973, 1628404]",1610612752.0,NYK,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,5.8,Made,7.0,Brunson,J. Brunson,J. Hart,1628404.0,3.0,,,,,,,,,,,,,,,
109,PT04M05.00S,2026-02-20T01:00:06.8Z,1,REGULAR,3pt,Jump Shot,[],1630595,28.991458607095925,76.22549019607843,1610612765,17,23,2026-02-20T01:00:09Z,1040000,False,-131.0,220.0,1,left,C. Cunningham 25' 3PT  (14 PTS) (D. Jenkins 1 AST),"[1630595, 1642450]",1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,25.61,Made,14.0,Cunningham,C. Cunningham,D. Jenkins,1642450.0,1.0,,,,,,,,,,,,,,,
111,PT03M50.00S,2026-02-20T01:00:22.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629011,93.38042049934296,49.50980392156863,1610612752,19,23,2026-02-20T01:00:26Z,1060000,False,-2.0,10.0,1,right,M. Robinson cutting DUNK (2 PTS) (M. Diawara 1 AST),"[1629011, 1642885]",1610612752.0,NYK,cutting,,,,,,Restricted Area,0-8 Center,1.0,Made,2.0,Robinson,M. Robinson,M. Diawara,1642885.0,1.0,,,,,,,,,,,,,,,
113,PT03M40.00S,2026-02-20T01:00:35.6Z,1,REGULAR,foul,offensive,[],1642450,,,1610612765,19,23,2026-02-20T01:00:43Z,1080000,False,,,0,,D. Jenkins offensive FOUL (1 PF),"[1642450, 1642885]",1610612765.0,DET,,,,,,,Above the Break 3,24+ Center,,,,Jenkins,D. Jenkins,,,,,,,,1627539.0,,,,1.0,0.0,Diawara,1642885.0,,,
115,PT03M40.00S,2026-02-20T01:00:35.6Z,1,REGULAR,turnover,offensive foul,[],1642450,,,1610612765,19,23,2026-02-20T01:00:35Z,1100000,False,,,0,,D. Jenkins offensive foul TURNOVER (1 TO),[1642450],1610612765.0,DET,,,,,,,Above the Break 3,24+ Center,,,,Jenkins,D. Jenkins,,,,,,,,1627539.0,1.0,,,,,,,,,
117,PT03M40.00S,2026-02-20T01:00:52.0Z,1,REGULAR,substitution,out,[],1641709,,,1610612752,19,23,2026-02-20T01:01:14Z,1105000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,,,,,,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,
118,PT03M40.00S,2026-02-20T01:00:52.0Z,1,REGULAR,substitution,out,[],1630194,,,1610612752,19,23,2026-02-20T01:01:14Z,1107500,False,,,0,,SUB out: P. Reed,[1630194],1610612765.0,DET,,,,,,,,,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,
119,PT03M40.00S,2026-02-20T01:00:52.0Z,1,REGULAR,substitution,in,[],1629750,,,1610612752,19,23,2026-02-20T01:01:14Z,1108750,False,,,0,,SUB in: J. Green,[1629750],1610612765.0,DET,,,,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,
120,PT03M40.00S,2026-02-20T01:00:52.0Z,1,REGULAR,substitution,in,[],1642449,,,1610612752,19,23,2026-02-20T01:01:14Z,1109375,False,,,0,,SUB in: T. Smith,[1642449],1610612765.0,DET,,,,,,,,,,,,Smith,T. Smith,,,,,,,,,,,,,,,,,,
116,PT03M31.00S,2026-02-20T01:01:08.4Z,1,REGULAR,foul,personal,['2freethrow'],1642450,,,1610612752,19,23,2026-02-20T01:01:20Z,1110000,False,,,0,,D. Jenkins shooting personal FOUL (2 PF) (Shamet 2 FT),"[1642450, 1629013]",1610612765.0,DET,shooting,,,,,,Mid-Range,8-16 Right,,,,Jenkins,D. Jenkins,,,,,,,,2004.0,,,,2.0,0.0,Shamet,1629013.0,,,
123,PT03M31.00S,2026-02-20T01:01:22.9Z,1,REGULAR,substitution,out,[],1628404,,,1610612752,19,23,2026-02-20T01:01:52Z,1125000,False,,,0,,SUB out: J. Hart,[1628404],1610612752.0,NYK,,,,,,,,,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,
124,PT03M31.00S,2026-02-20T01:01:22.9Z,1,REGULAR,substitution,out,[],1642885,,,1610612752,19,23,2026-02-20T01:01:52Z,1127500,False,,,0,,SUB out: M. Diawara,[1642885],1610612752.0,NYK,,,,,,,,,,,,Diawara,M. Diawara,,,,,,,,,,,,,,,,,,
125,PT03M31.00S,2026-02-20T01:01:22.9Z,1,REGULAR,substitution,in,[],1628384,,,1610612752,19,23,2026-02-20T01:01:52Z,1128750,False,,,0,,SUB in: O. Anunoby,[1628384],1610612752.0,NYK,,,,,,,,,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,
126,PT03M31.00S,2026-02-20T01:01:22.9Z,1,REGULAR,substitution,in,[],1630631,,,1610612752,19,23,2026-02-20T01:01:52Z,1129375,False,,,0,,SUB in: J. Alvarado,[1630631],1610612752.0,NYK,,,,,,,,,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,
122,PT03M31.00S,2026-02-20T01:01:37.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629013,,,1610612752,20,23,2026-02-20T01:02:09Z,1130000,False,,,0,,L. Shamet Free Throw 1 of 2 (1 PTS),[1629013],1610612752.0,NYK,,,,,,,,,,Made,1.0,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,
127,PT03M31.00S,2026-02-20T01:01:37.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629013,,,1610612752,20,23,2026-02-20T01:02:09Z,1140000,False,,,0,,MISS L. Shamet Free Throw 2 of 2,[1629013],1610612752.0,NYK,,,,,,,,,,Missed,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,
128,PT03M28.00S,2026-02-20T01:01:40.5Z,1,REGULAR,rebound,defensive,[],1641842,,,1610612765,20,23,2026-02-20T01:02:09Z,1150000,False,,,0,,R. Holland II REBOUND (Off:0 Def:1),[1641842],1610612765.0,DET,,,,,,,,,,,,Holland II,R. Holland II,,,,127.0,1.0,1.0,0.0,,,,,,,,,,,
129,PT03M12.00S,2026-02-20T01:02:24.6Z,1,REGULAR,2pt,Jump Shot,[],1630595,8.09789750328515,79.90196078431373,1610612765,20,23,2026-02-20T01:02:28Z,1160000,False,-150.0,24.0,1,left,MISS C. Cunningham 15' step back Shot,[1630595],1610612765.0,DET,step back,,,,,,Mid-Range,8-16 Left,15.14,Missed,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
130,PT03M09.00S,2026-02-20T01:02:27.6Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,20,23,2026-02-20T01:02:28Z,1170000,False,,,0,,J. Brunson REBOUND (Off:0 Def:4),[1628973],1610612752.0,NYK,,,,,,,Mid-Range,8-16 Left,,,,Brunson,J. Brunson,,,,129.0,4.0,4.0,0.0,,,,,,,,,,,
131,PT02M48.00S,2026-02-20T01:02:48.7Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612752,20,23,2026-02-20T01:02:51Z,1180000,False,,,0,,J. Brunson bad pass TURNOVER (2 TO),"[1628973, 1630595]",1610612752.0,NYK,,,,,,,Above the Break 3,24+ Right Center,,,,Brunson,J. Brunson,,,,,,,,,2.0,,,,,,,Cunningham,1630595.0,
132,PT02M48.00S,2026-02-20T01:02:48.7Z,1,REGULAR,steal,,[],1630595,,,1610612765,20,23,2026-02-20T01:02:50Z,1190000,False,,,0,,C. Cunningham STEAL (1 STL),[1630595],1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
133,PT02M42.00S,2026-02-20T01:02:55.1Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,20,23,2026-02-20T01:02:57Z,1200000,False,,,0,,C. Cunningham bad pass TURNOVER (1 TO),"[1630595, 1628973]",1610612765.0,DET,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Cunningham,C. Cunningham,,,,,,,,,1.0,,,,,,,Brunson,1628973.0,
134,PT02M42.00S,2026-02-20T01:02:55.1Z,1,REGULAR,steal,,[],1628973,,,1610612752,20,23,2026-02-20T01:02:56Z,1210000,False,,,0,,J. Brunson STEAL (1 STL),[1628973],1610612752.0,NYK,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,
135,PT02M37.00S,2026-02-20T01:02:59.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630631,93.24901445466492,46.32352941176471,1610612752,22,23,2026-02-20T01:03:04Z,1220000,False,-18.0,11.0,1,right,J. Alvarado running finger roll Layup (2 PTS) (L. Shamet 2 AST),"[1630631, 1629013]",1610612752.0,NYK,running finger roll,,,,,,Restricted Area,0-8 Center,2.14,Made,2.0,Alvarado,J. Alvarado,L. Shamet,1629013.0,2.0,,,,,,,,,,,,,,,
137,PT02M21.00S,2026-02-20T01:03:15.4Z,1,REGULAR,3pt,Jump Shot,[],1629750,10.85742444152431,2.696078431372549,1610612765,22,26,2026-02-20T01:03:19Z,1240000,False,237.0,50.0,1,left,J. Green 24' 3PT  (3 PTS) (C. Cunningham 2 AST),"[1629750, 1630595]",1610612765.0,DET,,,,,,,Right Corner 3,24+ Right,24.16,Made,3.0,Green,J. Green,C. Cunningham,1630595.0,2.0,,,,,,,,,,,,,,,
139,PT01M59.00S,2026-02-20T01:03:38.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,85.62746386333771,47.549019607843135,1610612752,22,26,2026-02-20T01:03:59Z,1260000,False,-12.0,83.0,1,right,MISS J. Brunson 8' driving floating Shot,[1628973],1610612752.0,NYK,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,8.35,Missed,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,
140,PT01M58.00S,2026-02-20T01:03:39.1Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,22,26,2026-02-20T01:03:44Z,1270000,False,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Robinson,M. Robinson,,,,139.0,1.0,0.0,1.0,,,,,,,,,,,
141,PT01M58.00S,2026-02-20T01:03:42.2Z,1,REGULAR,foul,personal,['2freethrow'],1642449,,,1610612752,22,26,2026-02-20T01:03:52Z,1280000,False,,,0,,T. Smith shooting personal FOUL (1 PF) (Robinson 2 FT),"[1642449, 1629011]",1610612765.0,DET,shooting,,,,,,Restricted Area,0-8 Center,,,,Smith,T. Smith,,,,,,,,1627539.0,,,,1.0,0.0,Robinson,1629011.0,,,
143,PT01M58.00S,2026-02-20T01:03:54.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,22,26,2026-02-20T01:03:54Z,1300000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M58.00S,2026-02-20T01:03:55.0Z,1,REGULAR,substitution,out,[],1630595,,,1610612752,22,26,2026-02-20T01:07:21Z,1310000,False,,,0,,SUB out: C. Cunningham,[1630595],1610612765.0,DET,,,,,,,,,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
145,PT01M58.00S,2026-02-20T01:03:55.0Z,1,REGULAR,substitution,in,[],1627747,,,1610612752,22,26,2026-02-20T01:07:21Z,1320000,False,,,0,,SUB in: C. LeVert,[1627747],1610612765.0,DET,,,,,,,,,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,
146,PT01M58.00S,2026-02-20T01:07:41.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629011,,,1610612752,22,26,2026-02-20T01:08:01Z,1330000,False,,,0,,MISS M. Robinson Free Throw 1 of 2,[1629011],1610612752.0,NYK,,,,,,,,,,Missed,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,
147,PT01M58.00S,2026-02-20T01:07:41.9Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612752,22,26,2026-02-20T01:08:01Z,1340000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,146.0,,,,,,,,,,,,,,
148,PT01M58.00S,2026-02-20T01:07:41.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629011,,,1610612752,22,26,2026-02-20T01:08:01Z,1350000,False,,,0,,MISS M. Robinson Free Throw 2 of 2,[1629011],1610612752.0,NYK,,,,,,,,,,Missed,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,
149,PT01M55.00S,2026-02-20T01:07:44.9Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612765,22,26,2026-02-20T01:08:01Z,1360000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612765.0,DET,,,,,,,,,,,,Green,J. Green,,,,148.0,1.0,1.0,0.0,,,,,,,,,,,
150,PT01M48.00S,2026-02-20T01:08:11.8Z,1,REGULAR,foul,offensive,[],1642450,,,1610612765,22,26,2026-02-20T01:08:17Z,1370000,False,,,0,,D. Jenkins charge offensive FOUL (3 PF),"[1642450, 1629013]",1610612765.0,DET,charge,,,,,,Restricted Area,0-8 Center,,,,Jenkins,D. Jenkins,,,,,,,,1155.0,,,,3.0,0.0,Shamet,1629013.0,,,
152,PT01M48.00S,2026-02-20T01:08:11.8Z,1,REGULAR,turnover,offensive foul,[],1642450,,,1610612765,22,26,2026-02-20T01:08:11Z,1390000,False,,,0,,D. Jenkins offensive foul TURNOVER (2 TO),[1642450],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,,,,Jenkins,D. Jenkins,,,,,,,,1155.0,2.0,,,,,,,,,
153,PT01M33.00S,2026-02-20T01:08:43.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628973,86.28449408672799,34.068627450980394,1610612752,24,26,2026-02-20T01:08:47Z,1400000,False,-80.0,76.0,1,right,J. Brunson 11' turnaround fadeaway Jump Shot (9 PTS),[1628973],1610612752.0,NYK,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Left,11.04,Made,9.0,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,
154,PT01M13.00S,2026-02-20T01:09:04.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642449,6.652431011826544,48.529411764705884,1610612765,24,28,2026-02-20T01:09:07Z,1410000,False,7.0,10.0,1,left,T. Smith DUNK (2 PTS) (C. LeVert 1 AST),"[1642449, 1627747]",1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,1.24,Made,2.0,Smith,T. Smith,C. LeVert,1627747.0,1.0,,,,,,,,,,,,,,,
156,PT00M47.80S,2026-02-20T01:09:34.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1642449,,,1610612752,24,28,2026-02-20T01:09:42Z,1430000,False,,,0,,T. Smith shooting personal FOUL (2 PF) (Robinson 2 FT),"[1642449, 1629011]",1610612765.0,DET,shooting,,,,,,Restricted Area,0-8 Center,,,,Smith,T. Smith,,,,,,,,1627539.0,,,,2.0,0.0,Robinson,1629011.0,,,
158,PT00M47.80S,2026-02-20T01:10:10.4Z,1,REGULAR,freethrow,1 of 2,[],1629011,,,1610612752,25,28,2026-02-20T01:10:10Z,1450000,False,,,0,,M. Robinson Free Throw 1 of 2 (3 PTS),[1629011],1610612752.0,NYK,,,,,,,,,,Made,3.0,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,
159,PT00M47.80S,2026-02-20T01:10:28.8Z,1,REGULAR,freethrow,2 of 2,[],1629011,,,1610612752,26,28,2026-02-20T01:10:28Z,1460000,False,,,0,,M. Robinson Free Throw 2 of 2 (4 PTS),[1629011],1610612752.0,NYK,,,,,,,,,,Made,4.0,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,
160,PT00M30.60S,2026-02-20T01:10:49.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642450,7.178055190538765,55.88235294117647,1610612765,26,28,2026-02-20T01:10:53Z,1470000,False,-29.0,15.0,1,left,MISS D. Jenkins driving Layup - blocked,"[1642450, 1628384]",1610612765.0,DET,driving,,,,,,Restricted Area,0-8 Center,3.3,Missed,,Jenkins,D. Jenkins,,,,,,,,,,Anunoby,1628384.0,,,,,,,
161,PT00M30.60S,2026-02-20T01:10:49.7Z,1,REGULAR,block,,[],1628384,,,1610612765,26,28,2026-02-20T01:10:52Z,1480000,False,,,0,,O. Anunoby BLOCK (2 BLK),[1628384],1610612752.0,NYK,,,,,,,Restricted Area,0-8 Center,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,
162,PT00M27.60S,2026-02-20T01:10:52.7Z,1,REGULAR,rebound,defensive,[],1629013,,,1610612752,26,28,2026-02-20T01:10:53Z,1490000,False,,,0,,L. Shamet REBOUND (Off:0 Def:1),[1629013],1610612752.0,NYK,,,,,,,Restricted Area,0-8 Center,,,,Shamet,L. Shamet,,,,160.0,1.0,1.0,0.0,,,,,,,,,,,
163,PT00M26.40S,2026-02-20T01:10:58.8Z,1,REGULAR,foul,offensive,['inpenalty'],1630631,,,1610612752,26,28,2026-02-20T01:11:08Z,1500000,False,,,0,,J. Alvarado charge offensive FOUL (1 PF),"[1630631, 1641842]",1610612752.0,NYK,charge,,,,,,Restricted Area,0-8 Center,,,,Alvarado,J. Alvarado,,,,,,,,2004.0,,,,1.0,0.0,Holland II,1641842.0,,,
165,PT00M26.40S,2026-02-20T01:10:58.8Z,1,REGULAR,turnover,offensive foul,[],1630631,,,1610612752,26,28,2026-02-20T01:10:58Z,1520000,False,,,0,,J. Alvarado offensive foul TURNOVER (1 TO),[1630631],1610612752.0,NYK,,,,,,,Restricted Area,0-8 Center,,,,Alvarado,J. Alvarado,,,,,,,,2004.0,1.0,,,,,,,,,
166,PT00M26.40S,2026-02-20T01:10:58.9Z,1,REGULAR,substitution,out,[],1628973,,,1610612765,26,28,2026-02-20T01:11:36Z,1530000,False,,,0,,SUB out: J. Brunson,[1628973],1610612752.0,NYK,,,,,,,,,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,
167,PT00M26.40S,2026-02-20T01:10:58.9Z,1,REGULAR,substitution,out,[],1641842,,,1610612765,26,28,2026-02-20T01:11:36Z,1540000,False,,,0,,SUB out: R. Holland II,[1641842],1610612765.0,DET,,,,,,,,,,,,Holland II,R. Holland II,,,,,,,,,,,,,,,,,,
168,PT00M26.40S,2026-02-20T01:10:58.9Z,1,REGULAR,substitution,out,[],1642450,,,1610612765,26,28,2026-02-20T01:11:36Z,1550000,False,,,0,,SUB out: D. Jenkins,[1642450],1610612765.0,DET,,,,,,,,,,,,Jenkins,D. Jenkins,,,,,,,,,,,,,,,,,,
169,PT00M26.40S,2026-02-20T01:10:58.9Z,1,REGULAR,substitution,in,[],1631110,,,1610612765,26,28,2026-02-20T01:11:36Z,1560000,False,,,0,,SUB in: J. Sochan,[1631110],1610612752.0,NYK,,,,,,,,,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,
170,PT00M26.40S,2026-02-20T01:10:58.9Z,1,REGULAR,substitution,in,[],1629130,,,1610612765,26,28,2026-02-20T01:11:36Z,1570000,False,,,0,,SUB in: D. Robinson,[1629130],1610612765.0,DET,,,,,,,,,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,
171,PT00M26.40S,2026-02-20T01:10:58.9Z,1,REGULAR,substitution,in,[],1630595,,,1610612765,26,28,2026-02-20T01:11:36Z,1580000,False,,,0,,SUB in: C. Cunningham,[1630595],1610612765.0,DET,,,,,,,,,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
172,PT00M05.00S,2026-02-20T01:12:03.7Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,26,28,2026-02-20T01:12:06Z,1590000,False,,,0,,C. Cunningham bad pass TURNOVER (2 TO),"[1630595, 1629011]",1610612765.0,DET,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Cunningham,C. Cunningham,,,,,,,,,2.0,,,,,,,Robinson,1629011.0,
173,PT00M05.00S,2026-02-20T01:12:03.7Z,1,REGULAR,steal,,[],1629011,,,1610612752,26,28,2026-02-20T01:12:05Z,1600000,False,,,0,,M. Robinson STEAL (1 STL),[1629011],1610612752.0,NYK,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,
174,PT00M00.30S,2026-02-20T01:12:08.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628384,88.25558475689881,94.36274509803921,1610612752,26,28,2026-02-20T01:54:51Z,1610000,False,222.0,58.0,1,right,MISS O. Anunoby 3PT,[1628384],1610612752.0,NYK,,,,,,,Right Corner 3,24+ Right,22.92,Missed,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,
175,PT00M00.10S,2026-02-20T01:12:08.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,26,28,2026-02-20T01:12:22Z,1620000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,Right Corner 3,24+ Right,,,,,,,,,174.0,,,,,,,,,,,,,,
176,PT00M00.00S,2026-02-20T01:12:13.1Z,1,REGULAR,period,end,[],0,,,1610612752,26,28,2026-02-20T01:12:13Z,1630000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2026-02-20T01:13:04.0Z,2,REGULAR,substitution,out,['startperiod'],1629013,,,1610612752,26,28,2026-02-20T01:15:40Z,1640000,False,,,0,,SUB out: L. Shamet,[1629013],1610612752.0,NYK,,,,,,,,,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,
