actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
30,PT09M04.00S,2026-03-22T23:44:46.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,89.43823915900131,37.254901960784316,1610612752,8,5,2026-03-23T00:32:15Z,290000,False,-64.0,47.0,1,right,MISS J. Brunson 7' driving floating Shot,[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,7.9,Missed,,,,,,,,,,,,,,,,,,
31,PT09M03.00S,2026-03-22T23:44:47.2Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612752,8,5,2026-03-23T00:32:15Z,300000,False,,,0,,K. Towns REBOUND (Off:1 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,30.0,2.0,1.0,1.0,,,,
32,PT09M02.00S,2026-03-22T23:44:50.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626157,94.40999984741211,50.0,1610612752,10,5,2026-03-23T00:32:20Z,310000,False,0.0,0.0,1,right,K. Towns tip Layup (2 PTS),[1626157],1610612752.0,NYK,tip,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
33,PT08M52.00S,2026-03-22T23:44:57.7Z,1,REGULAR,foul,personal,['3freethrow'],1628969,,,1610612764,10,5,2026-03-22T23:45:12Z,320000,False,,,0,,M. Bridges shooting personal FOUL (1 PF) (Carrington 3 FT),"[1628969, 1642267]",1610612752.0,NYK,shooting,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,1627964.0,1.0,0.0,Carrington,1642267.0,,,,,,,,,,,,
35,PT08M52.00S,2026-03-22T23:45:23.5Z,1,REGULAR,freethrow,1 of 3,[],1642267,,,1610612764,10,6,2026-03-22T23:45:23Z,340000,False,,,0,,B. Carrington Free Throw 1 of 3 (1 PTS),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
36,PT08M52.00S,2026-03-22T23:45:35.2Z,1,REGULAR,freethrow,2 of 3,[],1642267,,,1610612764,10,6,2026-03-22T23:45:35Z,350000,False,,,0,,MISS B. Carrington Free Throw 2 of 3,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
37,PT08M52.00S,2026-03-22T23:45:35.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,10,6,2026-03-22T23:45:35Z,360000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,
38,PT08M52.00S,2026-03-22T23:45:50.0Z,1,REGULAR,freethrow,3 of 3,[],1642267,,,1610612764,10,7,2026-03-22T23:45:50Z,370000,False,,,0,,B. Carrington Free Throw 3 of 3 (2 PTS),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
39,PT08M39.00S,2026-03-22T23:46:04.8Z,1,REGULAR,3pt,Jump Shot,[],1626157,68.80749014454665,67.64705882352942,1610612752,10,7,2026-03-22T23:46:08Z,380000,False,88.0,241.0,1,right,MISS K. Towns 25' 3PT,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,25.64,Missed,,,,,,,,,,,,,,,,,,
40,PT08M36.00S,2026-03-22T23:46:07.8Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,10,7,2026-03-22T23:46:08Z,390000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:2),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,39.0,2.0,2.0,0.0,,,,
41,PT08M29.00S,2026-03-22T23:46:14.6Z,1,REGULAR,3pt,Jump Shot,[],1642364,28.86005256241787,23.03921568627451,1610612764,10,7,2026-03-22T23:46:23Z,400000,False,135.0,219.0,1,left,MISS J. Watkins 25' 3PT,[1642364],1610612764.0,WAS,,,,Watkins,J. Watkins,,,,,Above the Break 3,24+ Right Center,25.7,Missed,,,,,,,,,,,,,,,,,,
42,PT08M26.00S,2026-03-22T23:46:17.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,10,7,2026-03-22T23:46:23Z,410000,False,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,41.0,,,,,,,
44,PT08M14.00S,2026-03-22T23:46:32.0Z,1,REGULAR,2pt,Jump Shot,[],1626157,71.30420499342969,48.77450980392157,1610612752,10,7,2026-03-22T23:46:36Z,430000,False,-6.0,217.0,1,right,MISS K. Towns 21' Jump Shot,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Center,21.73,Missed,,,,,,,,,,,,,,,,,,
45,PT08M13.00S,2026-03-22T23:46:33.0Z,1,REGULAR,rebound,defensive,[],1642364,,,1610612764,10,7,2026-03-22T23:46:36Z,440000,False,,,0,,J. Watkins REBOUND (Off:1 Def:1),[1642364],1610612764.0,WAS,,,,Watkins,J. Watkins,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,44.0,2.0,1.0,1.0,,,,
46,PT08M04.00S,2026-03-22T23:46:42.8Z,1,REGULAR,3pt,Jump Shot,[],1642860,26.231931668856767,17.401960784313726,1610612764,10,7,2026-03-22T23:46:48Z,450000,False,163.0,194.0,1,left,MISS W. Riley 25' step back 3PT,[1642860],1610612764.0,WAS,step back,,,Riley,W. Riley,,,,,Above the Break 3,24+ Right Center,25.35,Missed,,,,,,,,,,,,,,,,,,
47,PT08M02.00S,2026-03-22T23:46:45.8Z,1,REGULAR,rebound,offensive,[],1641774,,,1610612764,10,7,2026-03-22T23:46:45Z,460000,False,,,0,,T. Vukcevic REBOUND (Off:1 Def:0),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,46.0,1.0,0.0,1.0,,,,
48,PT08M00.00S,2026-03-22T23:46:47.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641774,10.726018396846255,54.90196078431373,1610612764,10,9,2026-03-22T23:46:50Z,470000,False,-25.0,48.0,1,left,T. Vukcevic fadeaway Jump Shot (5 PTS),[1641774],1610612764.0,WAS,fadeaway,,,Vukcevic,T. Vukcevic,,,,,In The Paint (Non-RA),0-8 Center,5.42,Made,5.0,,,,,,,,,,,,,,,,,
49,PT07M51.00S,2026-03-22T23:46:55.6Z,1,REGULAR,3pt,Jump Shot,[],1628973,71.43561103810775,24.509803921568626,1610612752,13,9,2026-03-22T23:46:58Z,480000,False,-127.0,216.0,1,right,J. Brunson 25' 3PT pullup (7 PTS),[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,25.08,Made,7.0,,,,,,,,,,,,,,,,,
50,PT07M38.00S,2026-03-22T23:47:07.9Z,1,REGULAR,2pt,Jump Shot,[],1642267,21.23850197109067,54.65686274509803,1610612764,13,11,2026-03-22T23:47:11Z,490000,False,-23.0,147.0,1,left,B. Carrington 14' pullup Jump Shot (4 PTS),[1642267],1610612764.0,WAS,pullup,,,Carrington,B. Carrington,,,,,Mid-Range,8-16 Center,14.89,Made,4.0,,,,,,,,,,,,,,,,,
51,PT07M20.00S,2026-03-22T23:47:26.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628404,87.07293035479631,43.38235294117647,1610612752,15,11,2026-03-22T23:47:29Z,500000,False,-33.0,69.0,1,right,J. Hart 7' driving floating Jump Shot (2 PTS) (J. Brunson 1 AST),"[1628404, 1628973]",1610612752.0,NYK,driving floating,,,Hart,J. Hart,,,,,In The Paint (Non-RA),0-8 Center,7.65,Made,2.0,,,,,,,J. Brunson,1628973.0,1.0,,,,,,,,
53,PT07M00.00S,2026-03-22T23:47:50.0Z,1,REGULAR,foul,personal,[],1628973,,,1610612764,15,11,2026-03-22T23:47:55Z,520000,False,,,0,,J. Brunson personal FOUL (1 PF),"[1628973, 1642267]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Left Center,,,,202037.0,1.0,0.0,Carrington,1642267.0,,,,,,,,,,,,
55,PT06M51.00S,2026-03-22T23:48:13.7Z,1,REGULAR,3pt,Jump Shot,[],1641731,26.231931668856767,15.686274509803921,1610612764,15,11,2026-03-22T23:48:18Z,540000,False,172.0,194.0,1,left,MISS B. Coulibaly 25' 3PT,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Right Center,25.91,Missed,,,,,,,,,,,,,,,,,,
56,PT06M48.00S,2026-03-22T23:48:16.7Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,15,11,2026-03-22T23:48:18Z,550000,False,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,55.0,2.0,2.0,0.0,,,,
57,PT06M41.00S,2026-03-22T23:48:30.3Z,1,REGULAR,foul,personal,['2freethrow'],1641774,,,1610612752,15,11,2026-03-22T23:48:36Z,560000,False,,,0,,T. Vukcevic shooting personal FOUL (1 PF) (Towns 2 FT),"[1641774, 1626157]",1610612764.0,WAS,shooting,,,Vukcevic,T. Vukcevic,,,,,In The Paint (Non-RA),0-8 Center,,,,200834.0,1.0,0.0,Towns,1626157.0,,,,,,,,,,,,
59,PT06M41.00S,2026-03-22T23:48:39.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,15,11,2026-03-22T23:51:49Z,580000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M41.00S,2026-03-22T23:52:27.2Z,1,REGULAR,freethrow,1 of 2,[],1626157,,,1610612752,16,11,2026-03-22T23:52:27Z,600000,False,,,0,,K. Towns Free Throw 1 of 2 (3 PTS),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
62,PT06M41.00S,2026-03-22T23:52:47.0Z,1,REGULAR,freethrow,2 of 2,[],1626157,,,1610612752,17,11,2026-03-22T23:52:47Z,610000,False,,,0,,K. Towns Free Throw 2 of 2 (4 PTS),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
63,PT06M23.00S,2026-03-22T23:53:07.6Z,1,REGULAR,turnover,bad pass,[],1641731,,,1610612764,17,11,2026-03-22T23:53:10Z,620000,False,,,0,,B. Coulibaly bad pass TURNOVER (2 TO),"[1641731, 1628404]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,2.0,,,,,,,,Hart,1628404.0,,
64,PT06M23.00S,2026-03-22T23:53:07.6Z,1,REGULAR,steal,,[],1628404,,,1610612752,17,11,2026-03-22T23:53:08Z,630000,False,,,0,,J. Hart STEAL (1 STL),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
65,PT06M16.00S,2026-03-22T23:53:15.6Z,1,REGULAR,foul,personal,['2freethrow'],1641774,,,1610612752,17,11,2026-03-22T23:53:26Z,640000,False,,,0,,T. Vukcevic shooting personal FOUL (2 PF) (Brunson 2 FT),"[1641774, 1628973]",1610612764.0,WAS,shooting,,,Vukcevic,T. Vukcevic,,,,,Restricted Area,0-8 Center,,,,200834.0,2.0,0.0,Brunson,1628973.0,,,,,,,,,,,,
67,PT06M16.00S,2026-03-22T23:53:51.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628973,,,1610612752,18,11,2026-03-22T23:53:51Z,660000,False,,,0,,J. Brunson Free Throw 1 of 2 (8 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
68,PT06M16.00S,2026-03-22T23:53:51.5Z,1,REGULAR,substitution,out,[],1628384,,,1610612752,18,11,2026-03-22T23:54:15Z,670000,False,,,0,,SUB out: O. Anunoby,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M16.00S,2026-03-22T23:53:51.5Z,1,REGULAR,substitution,out,[],1626157,,,1610612752,18,11,2026-03-22T23:54:15Z,680000,False,,,0,,SUB out: K. Towns,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M16.00S,2026-03-22T23:53:51.5Z,1,REGULAR,substitution,out,[],1642860,,,1610612752,18,11,2026-03-22T23:54:15Z,690000,False,,,0,,SUB out: W. Riley,[1642860],1610612764.0,WAS,,,,Riley,W. Riley,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M16.00S,2026-03-22T23:53:51.5Z,1,REGULAR,substitution,out,[],1641774,,,1610612752,18,11,2026-03-22T23:54:15Z,700000,False,,,0,,SUB out: T. Vukcevic,[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M16.00S,2026-03-22T23:53:51.5Z,1,REGULAR,substitution,in,[],1629011,,,1610612752,18,11,2026-03-22T23:54:15Z,710000,False,,,0,,SUB in: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M16.00S,2026-03-22T23:53:51.5Z,1,REGULAR,substitution,in,[],203903,,,1610612752,18,11,2026-03-22T23:54:15Z,720000,False,,,0,,SUB in: J. Clarkson,[203903],1610612752.0,NYK,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M16.00S,2026-03-22T23:53:51.5Z,1,REGULAR,substitution,in,[],1630264,,,1610612752,18,11,2026-03-22T23:54:15Z,730000,False,,,0,,SUB in: A. Gill,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M16.00S,2026-03-22T23:53:51.5Z,1,REGULAR,substitution,in,[],1630536,,,1610612752,18,11,2026-03-22T23:54:15Z,740000,False,,,0,,SUB in: S. Cooper,[1630536],1610612764.0,WAS,,,,Cooper,S. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M16.00S,2026-03-22T23:54:33.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628973,,,1610612752,19,11,2026-03-22T23:54:33Z,750000,False,,,0,,J. Brunson Free Throw 2 of 2 (9 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
77,PT06M04.00S,2026-03-22T23:54:50.4Z,1,REGULAR,foul,technical,['1freethrow'],1628969,,,1610612764,19,11,2026-03-22T23:55:04Z,760000,False,,,0,,M. Bridges defensive-3-second technical FOUL (1 Tech),[1628969],1610612752.0,NYK,defensive-3-second,,,Bridges,M. Bridges,,,,,,,,,,200834.0,1.0,1.0,,,,,,,,,,,,,,
78,PT06M04.00S,2026-03-22T23:55:07.3Z,1,REGULAR,freethrow,1 of 1,[],1642267,,,1610612764,19,12,2026-03-22T23:55:07Z,770000,False,,,0,,B. Carrington technical Free Throw 1 of 1 (5 PTS),[1642267],1610612764.0,WAS,technical,,,Carrington,B. Carrington,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
79,PT06M01.00S,2026-03-22T23:55:27.4Z,1,REGULAR,foul,personal,[],1628973,,,1610612764,19,12,2026-03-22T23:55:32Z,780000,False,,,0,,J. Brunson personal FOUL (2 PF),"[1628973, 1641731]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Center,,,,200834.0,2.0,0.0,Coulibaly,1641731.0,,,,,,,,,,,,
81,PT05M50.00S,2026-03-22T23:55:54.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641731,11.908672798948752,46.81372549019608,1610612764,19,14,2026-03-22T23:56:01Z,800000,False,16.0,59.0,1,left,B. Coulibaly 6' driving floating Jump Shot (2 PTS) (S. Cooper 1 AST),"[1641731, 1630536]",1610612764.0,WAS,driving floating,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,6.15,Made,2.0,,,,,,,S. Cooper,1630536.0,1.0,,,,,,,,
83,PT05M38.00S,2026-03-22T23:56:07.3Z,1,REGULAR,3pt,Jump Shot,[],1628973,73.01248357424441,81.12745098039215,1610612752,22,14,2026-03-22T23:56:11Z,820000,False,156.0,201.0,1,right,J. Brunson 25' 3PT step back (12 PTS),[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,25.43,Made,12.0,,,,,,,,,,,,,,,,,
84,PT05M30.00S,2026-03-22T23:56:14.3Z,1,REGULAR,3pt,Jump Shot,[],1642267,29.6484888304862,14.950980392156863,1610612764,22,14,2026-03-22T23:56:19Z,830000,False,175.0,226.0,1,left,MISS B. Carrington 28' pullup 3PT,[1642267],1610612764.0,WAS,pullup,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Right Center,28.61,Missed,,,,,,,,,,,,,,,,,,
85,PT05M27.00S,2026-03-22T23:56:17.3Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,22,14,2026-03-22T23:56:19Z,840000,False,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,84.0,1.0,1.0,0.0,,,,
86,PT05M20.00S,2026-03-22T23:56:25.0Z,1,REGULAR,turnover,bad pass,[],203903,,,1610612752,22,14,2026-03-22T23:56:27Z,850000,False,,,0,,J. Clarkson bad pass TURNOVER (1 TO),"[203903, 1642267]",1610612752.0,NYK,,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,,,,,Carrington,1642267.0,,
