actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
20,PT10M30.00S,2024-01-11T00:13:04.5Z,1,REGULAR,3pt,Jump Shot,[],201950,68.80749014454665,22.794117647058822,1610612738,3,0,2024-01-11T00:13:10Z,200000,False,-136.0,241.0,1,right,MISS J. Holiday 27' step back 3PT,[201950],1610612738.0,BOS,step back,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,,,,,,,27.65,Missed,,,,,,,,,,,,
21,PT10M28.00S,2024-01-11T00:13:06.5Z,1,REGULAR,rebound,defensive,[],203937,,,1610612750,3,0,2024-01-11T00:13:10Z,210000,False,,,0,,K. Anderson REBOUND (Off:1 Def:1),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,20.0,2.0,1.0,1.0,,,,,,,,
22,PT10M20.00S,2024-01-11T00:13:15.2Z,1,REGULAR,2pt,Hook,[],203937,11.908672798948752,33.82352941176471,1610612750,3,2,2024-01-11T00:13:20Z,220000,False,81.0,59.0,1,left,K. Anderson 10' driving Hook (2 PTS),[203937],1610612750.0,MIN,driving,,,Anderson,K. Anderson,,,,,Mid-Range,8-16 Right,,,,,,,10.04,Made,,,,,2.0,,,,,,,
23,PT10M03.00S,2024-01-11T00:13:30.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,73.9323258869908,81.61764705882352,1610612738,6,2,2024-01-11T00:13:36Z,230000,False,158.0,193.0,1,right,J. Brown 24' 3PT  (3 PTS) (J. Holiday 1 AST),"[1627759, 201950]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,,,,24.91,Made,,,,,3.0,J. Holiday,201950.0,1.0,,,,
25,PT09M45.00S,2024-01-11T00:13:48.9Z,1,REGULAR,3pt,Jump Shot,[],1629638,14.011169513797633,96.81372549019608,1610612750,6,2,2024-01-11T00:13:54Z,250000,False,-234.0,79.0,1,left,MISS N. Alexander-Walker 24' 3PT,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,Left Corner 3,24+ Left,,,,,,,24.71,Missed,,,,,,,,,,,,
26,PT09M43.00S,2024-01-11T00:13:50.9Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,6,2,2024-01-11T00:13:54Z,260000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,
27,PT09M39.00S,2024-01-11T00:13:56.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1628401,79.71419185282524,34.068627450980394,1610612738,6,2,2024-01-11T00:14:09Z,270000,False,-80.0,138.0,1,right,MISS D. White 15' running pullup Shot,[1628401],1610612738.0,BOS,running pullup,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,15.95,Missed,,,,,,,,,,,,
28,PT09M35.00S,2024-01-11T00:14:00.0Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,6,2,2024-01-11T00:14:09Z,280000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,
29,PT09M21.00S,2024-01-11T00:14:13.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,15.456636005256241,35.53921568627451,1610612750,6,2,2024-01-11T00:14:18Z,290000,False,72.0,93.0,1,left,MISS A. Edwards 11' turnaround bank Shot,[1630162],1610612750.0,MIN,turnaround bank,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,11.76,Missed,,,,,,,,,,,,
30,PT09M19.00S,2024-01-11T00:14:15.2Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,6,2,2024-01-11T00:14:18Z,300000,False,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,
31,PT09M11.00S,2024-01-11T00:14:23.1Z,1,REGULAR,foul,personal,['2freethrow'],1629638,,,1610612738,6,2,2024-01-11T00:14:32Z,310000,False,,,0,,N. Alexander-Walker shooting personal FOUL (1 PF) (Tatum 2 FT),"[1629638, 1628369]",1610612750.0,MIN,shooting,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,2004.0,,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,
33,PT09M11.00S,2024-01-11T00:14:52.6Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,7,2,2024-01-11T00:14:52Z,330000,False,,,0,,J. Tatum Free Throw 1 of 2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,Made,,,,,4.0,,,,,,,
34,PT09M11.00S,2024-01-11T00:15:07.8Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,8,2,2024-01-11T00:15:07Z,340000,False,,,0,,J. Tatum Free Throw 2 of 2 (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,Made,,,,,5.0,,,,,,,
35,PT08M54.00S,2024-01-11T00:15:29.5Z,1,REGULAR,foul,personal,['2freethrow'],201950,,,1610612750,8,2,2024-01-11T00:15:38Z,350000,False,,,0,,J. Holiday shooting personal FOUL (2 PF) (Towns 2 FT),"[201950, 1626157]",1610612738.0,BOS,shooting,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Right,2004.0,,2.0,0.0,Towns,1626157.0,,,,,,,,,,,,,,
37,PT08M54.00S,2024-01-11T00:15:59.8Z,1,REGULAR,freethrow,1 of 2,[],1626157,,,1610612750,8,3,2024-01-11T00:15:59Z,370000,False,,,0,,K. Towns Free Throw 1 of 2 (1 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,Made,,,,,1.0,,,,,,,
38,PT08M54.00S,2024-01-11T00:16:19.2Z,1,REGULAR,freethrow,2 of 2,[],1626157,,,1610612750,8,4,2024-01-11T00:16:19Z,380000,False,,,0,,K. Towns Free Throw 2 of 2 (2 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,Made,,,,,2.0,,,,,,,
39,PT08M40.00S,2024-01-11T00:16:33.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,79.58278580814718,6.862745098039216,1610612738,11,4,2024-01-11T00:16:39Z,390000,False,-216.0,139.0,1,right,J. Brown 25' 3PT  (6 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,,25.68,Made,,,,,6.0,A. Horford,201143.0,1.0,,,,
41,PT08M17.00S,2024-01-11T00:16:57.2Z,1,REGULAR,3pt,Jump Shot,[],1630183,31.61957950065703,73.77450980392157,1610612750,11,4,2024-01-11T00:17:03Z,410000,False,-119.0,245.0,1,left,MISS J. McDaniels 27' 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,,,,,,,27.21,Missed,,,,,,,,,,,,
42,PT08M14.00S,2024-01-11T00:17:00.2Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,11,4,2024-01-11T00:17:10Z,420000,False,,,0,,J. Holiday REBOUND (Off:0 Def:2),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,
43,PT08M06.00S,2024-01-11T00:17:07.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,74.58935611038108,84.80392156862744,1610612738,11,4,2024-01-11T00:17:12Z,430000,False,174.0,186.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,,,,25.5,Missed,,,,,,,,,,,,
44,PT08M06.00S,2024-01-11T00:17:07.2Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,11,4,2024-01-11T00:17:12Z,440000,False,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,
45,PT07M50.00S,2024-01-11T00:17:24.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203937,14.4053876478318,40.68627450980392,1610612750,11,4,2024-01-11T00:17:30Z,450000,False,47.0,83.0,1,left,MISS K. Anderson 9' driving Hook,[203937],1610612750.0,MIN,driving,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,9.51,Missed,,,,,,,,,,,,
46,PT07M48.00S,2024-01-11T00:17:26.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,11,4,2024-01-11T00:17:37Z,460000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,
47,PT07M40.00S,2024-01-11T00:17:34.6Z,1,REGULAR,2pt,Jump Shot,[],1628369,79.84559789750328,33.82352941176471,1610612738,11,4,2024-01-11T00:17:48Z,470000,False,-81.0,137.0,1,right,MISS J. Tatum 15' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,,,,,,,15.91,Missed,,,,,,,,,,,,
48,PT07M36.00S,2024-01-11T00:17:38.6Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,11,4,2024-01-11T00:18:02Z,480000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,
49,PT07M35.00S,2024-01-11T00:17:42.1Z,1,REGULAR,turnover,discontinued dribble,[],1630183,,,1610612750,11,4,2024-01-11T00:17:55Z,490000,False,,,0,,J. McDaniels discontinued dribble TURNOVER (1 TO),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,2004.0,1.0,,,,,,,,,,,,,,,,,,
50,PT07M35.00S,2024-01-11T00:17:54.9Z,1,REGULAR,substitution,out,[],203937,,,1610612738,11,4,2024-01-11T00:18:12Z,500000,False,,,0,,SUB out: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M35.00S,2024-01-11T00:17:54.9Z,1,REGULAR,substitution,in,[],1629675,,,1610612738,11,4,2024-01-11T00:19:08Z,515000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M29.00S,2024-01-11T00:18:14.3Z,1,REGULAR,foul,personal,['2freethrow'],1629675,,,1610612738,11,4,2024-01-11T00:18:28Z,520000,False,,,0,,N. Reid shooting personal FOUL (1 PF) (Brown 2 FT),"[1629675, 1627759]",1610612750.0,MIN,shooting,,,Reid,N. Reid,,,,,Mid-Range,16-24 Right,2004.0,,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,
54,PT07M29.00S,2024-01-11T00:18:40.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627759,,,1610612738,12,4,2024-01-11T00:18:40Z,540000,False,,,0,,J. Brown Free Throw 1 of 2 (7 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,Made,,,,,7.0,,,,,,,
55,PT07M29.00S,2024-01-11T00:18:41.7Z,1,REGULAR,substitution,out,[],201950,,,1610612738,12,4,2024-01-11T00:18:45Z,550000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M29.00S,2024-01-11T00:18:41.7Z,1,REGULAR,substitution,in,[],1630573,,,1610612738,12,4,2024-01-11T00:18:45Z,560000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M29.00S,2024-01-11T00:18:54.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627759,,,1610612738,13,4,2024-01-11T00:18:54Z,570000,False,,,0,,J. Brown Free Throw 2 of 2 (8 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,Made,,,,,8.0,,,,,,,
59,PT07M08.00S,2024-01-11T00:19:18.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,9.149145860709593,56.127450980392155,1610612750,13,6,2024-01-11T00:22:58Z,580000,False,-31.0,34.0,1,left,K. Towns reverse Layup (4 PTS),[1626157],1610612750.0,MIN,reverse,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,4.54,Made,,,,,4.0,,,,,,,
61,PT07M08.00S,2024-01-11T00:19:27.6Z,1,REGULAR,foul,personal,['1freethrow'],1630573,,,1610612750,13,6,2024-01-11T00:19:33Z,600000,False,,,0,,S. Hauser shooting personal FOUL (1 PF) (Towns 1 FT),"[1630573, 1626157]",1610612738.0,BOS,shooting,,,Hauser,S. Hauser,,,,,Restricted Area,0-8 Center,1155.0,,1.0,0.0,Towns,1626157.0,,,,,,,,,,,,,,
63,PT07M08.00S,2024-01-11T00:19:50.9Z,1,REGULAR,freethrow,1 of 1,[],1626157,,,1610612750,13,7,2024-01-11T00:19:50Z,620000,False,,,0,,K. Towns Free Throw 1 of 1 (5 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,Made,,,,,5.0,,,,,,,
64,PT06M51.00S,2024-01-11T00:20:09.6Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.15045992115637,69.11764705882352,1610612738,13,7,2024-01-11T00:20:14Z,630000,False,96.0,247.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,26.48,Missed,,,,,,,,,,,,
65,PT06M48.00S,2024-01-11T00:20:12.6Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,13,7,2024-01-11T00:20:14Z,640000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,
66,PT06M33.00S,2024-01-11T00:20:26.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,12.171484888304862,34.068627450980394,1610612750,13,9,2024-01-11T00:20:32Z,650000,False,80.0,62.0,1,left,J. McDaniels 10' fadeaway bank Jump Shot (2 PTS),[1630183],1610612750.0,MIN,fadeaway bank,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,10.09,Made,,,,,2.0,,,,,,,
67,PT06M11.00S,2024-01-11T00:20:49.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,83.26215505913272,48.77450980392157,1610612738,13,9,2024-01-11T00:21:27Z,660000,False,-6.0,105.0,1,right,MISS A. Horford 10' turnaround Hook,[201143],1610612738.0,BOS,turnaround,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,10.5,Missed,,,,,,,,,,,,
68,PT06M09.00S,2024-01-11T00:20:51.1Z,1,REGULAR,rebound,defensive,[],1629675,,,1610612750,13,9,2024-01-11T00:20:53Z,670000,False,,,0,,N. Reid REBOUND (Off:0 Def:1),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,67.0,1.0,1.0,0.0,,,,,,,,
69,PT06M00.00S,2024-01-11T00:21:00.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629638,14.536793692509855,61.029411764705884,1610612750,13,9,2024-01-11T00:21:16Z,680000,False,-55.0,84.0,1,left,MISS N. Alexander-Walker 10' floating Shot,[1629638],1610612750.0,MIN,floating,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,10.05,Missed,,,,,,,,,,,,
70,PT05M58.00S,2024-01-11T00:21:02.5Z,1,REGULAR,rebound,offensive,[],1629675,,,1610612750,13,9,2024-01-11T00:21:16Z,690000,False,,,0,,N. Reid REBOUND (Off:1 Def:1),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,69.0,2.0,1.0,1.0,,,,,,,,
71,PT05M58.00S,2024-01-11T00:21:05.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629675,5.590000152587891,50.0,1610612750,13,11,2024-01-11T00:21:05Z,700000,False,0.0,0.0,1,left,N. Reid tip Layup (2 PTS),[1629675],1610612750.0,MIN,tip,,,Reid,N. Reid,,,,,Mid-Range,8-16 Left,,,,,,,0.0,Made,,,,,2.0,,,,,,,
72,PT05M58.00S,2024-01-11T00:21:07.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,13,11,2024-01-11T00:21:07Z,710000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M58.00S,2024-01-11T00:23:28.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,13,11,2024-01-11T00:23:56Z,720000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M58.00S,2024-01-11T00:23:28.2Z,1,REGULAR,substitution,out,[],1629638,,,1610612738,13,11,2024-01-11T00:23:56Z,730000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M58.00S,2024-01-11T00:23:28.2Z,1,REGULAR,substitution,in,[],1628436,,,1610612738,13,11,2024-01-11T00:23:56Z,740000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M58.00S,2024-01-11T00:23:28.2Z,1,REGULAR,substitution,in,[],1629162,,,1610612738,13,11,2024-01-11T00:23:56Z,750000,False,,,0,,SUB in: J. McLaughlin,[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M41.00S,2024-01-11T00:24:27.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628436,94.03745072273325,56.127450980392155,1610612738,15,11,2024-01-11T00:24:38Z,760000,False,31.0,4.0,1,right,L. Kornet finger roll Layup (2 PTS) (A. Horford 2 AST),"[1628436, 201143]",1610612738.0,BOS,finger roll,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,,,,,,,3.08,Made,,,,,2.0,A. Horford,201143.0,2.0,,,,
79,PT05M23.00S,2024-01-11T00:24:44.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,11.300919842312746,59.82689950980392,1610612750,15,13,2024-01-11T00:24:52Z,780000,False,-49.0,54.0,1,left,A. Edwards 7' driving Layup (2 PTS) (K. Towns 1 AST),"[1630162, 1626157]",1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,7.28,Made,,,,,2.0,K. Towns,1626157.0,1.0,,,,
80,PT05M11.00S,2024-01-11T00:24:57.1Z,1,REGULAR,3pt,Jump Shot,[],201143,85.75886990801577,97.30392156862744,1610612738,18,13,2024-01-11T00:25:00Z,790000,False,237.0,81.0,1,right,A. Horford 25' 3PT  (3 PTS) (D. White 2 AST),"[201143, 1628401]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Right Corner 3,24+ Right,,,,,,,25.01,Made,,,,,3.0,D. White,1628401.0,2.0,,,,
83,PT04M52.00S,2024-01-11T00:25:16.3Z,1,REGULAR,3pt,Jump Shot,[],1629675,10.33180026281209,96.56862745098039,1610612750,18,13,2024-01-11T00:25:20Z,810000,False,-233.0,45.0,1,left,MISS N. Reid 3PT,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Left Corner 3,24+ Left,,,,,,,23.7,Missed,,,,,,,,,,,,
84,PT04M49.00S,2024-01-11T00:25:19.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,18,13,2024-01-11T00:25:20Z,820000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,,,,,,,,,83.0,1.0,1.0,0.0,,,,,,,,
85,PT04M44.00S,2024-01-11T00:25:23.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628401,70.77858081471747,78.18627450980392,1610612738,18,13,2024-01-11T00:25:52Z,830000,False,141.0,222.0,1,right,MISS D. White 26' running 3PT,[1628401],1610612738.0,BOS,running,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,26.31,Missed,,,,,,,,,,,,
