actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
16,PT10M39.00S,2024-04-03T23:45:10.8Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,2,2,2024-04-03T23:45:16Z,160000,False,,,0,,C. Holmgren REBOUND (Off:1 Def:1),[1631096],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,,,Holmgren,C. Holmgren,15.0,2.0,1.0,1.0,,,,,,,,,,,,,,
17,PT10M25.00S,2024-04-03T23:45:24.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631096,15.982260183968464,39.705882352941174,1610612760,2,2,2024-04-03T23:46:44Z,170000,False,51.0,98.0,1,left,MISS C. Holmgren 11' driving floating Shot - blocked,"[1631096, 1628401]",1610612760.0,OKC,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,11.04,Missed,Holmgren,C. Holmgren,,,,,,,,,,,White,1628401.0,,,,,,
31,PT10M25.00S,2024-04-03T23:45:24.8Z,1,REGULAR,block,,[],1628401,,,1610612760,2,2,2024-04-03T23:46:59Z,175000,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),8-16 Center,,,White,D. White,,,,,,,,,,,,,,,,,,
18,PT10M23.00S,2024-04-03T23:45:26.8Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,2,2,2024-04-03T23:45:37Z,180000,False,,,0,,K. Porzingis REBOUND (Off:1 Def:1),[204001],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),8-16 Center,,,Porzingis,K. Porzingis,17.0,2.0,1.0,1.0,,,,,,,,,,,,,,
19,PT10M15.00S,2024-04-03T23:45:36.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,91.14651773981603,39.21568627450981,1610612738,2,2,2024-04-03T23:47:27Z,190000,False,-54.0,31.0,1,right,MISS J. Tatum 6' driving floating bank Shot,[1628369],1610612738.0,BOS,driving floating bank,,,,,,In The Paint (Non-RA),0-8 Center,6.2,Missed,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,
20,PT10M14.00S,2024-04-03T23:45:37.0Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,2,2,2024-04-03T23:45:44Z,200000,False,,,0,,J. Tatum REBOUND (Off:1 Def:0),[1628369],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),0-8 Center,,,Tatum,J. Tatum,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,
21,PT10M14.00S,2024-04-03T23:45:40.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628369,94.40999984741211,50.0,1610612738,4,2,2024-04-03T23:46:00Z,210000,False,0.0,0.0,1,right,J. Tatum tip Layup (2 PTS),[1628369],1610612738.0,BOS,tip,,,,,,Restricted Area,0-8 Center,0.0,Made,Tatum,J. Tatum,,,,,,,,,,2.0,,,,,,,,
23,PT09M54.00S,2024-04-03T23:46:00.0Z,1,REGULAR,turnover,out-of-bounds,[],1630598,,,1610612760,4,2,2024-04-03T23:46:14Z,230000,False,,,0,,A. Wiggins bad pass out-of-bounds TURNOVER (1 TO),[1630598],1610612760.0,OKC,bad pass,,,,,,Mid-Range,8-16 Right,,,Wiggins,A. Wiggins,,,,,1627963.0,,,,,,,,1.0,,,,,
24,PT09M49.00S,2024-04-03T23:46:07.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628369,82.60512483574244,24.264705882352942,1610612738,4,2,2024-04-03T23:48:31Z,240000,False,-129.0,111.0,1,right,MISS J. Tatum 17' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,,,,Mid-Range,16-24 Left Center,17.0,Missed,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,
25,PT09M46.00S,2024-04-03T23:46:10.7Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,4,2,2024-04-03T23:48:31Z,250000,False,,,0,,C. Holmgren REBOUND (Off:1 Def:2),[1631096],1610612760.0,OKC,,,,,,,Mid-Range,16-24 Left Center,,,Holmgren,C. Holmgren,24.0,3.0,2.0,1.0,,,,,,,,,,,,,,
26,PT09M40.00S,2024-04-03T23:46:14.2Z,1,REGULAR,3pt,Jump Shot,[],1631096,28.991458607095925,18.627450980392158,1610612760,4,2,2024-04-03T23:48:49Z,260000,False,157.0,220.0,1,left,MISS C. Holmgren 27' 3PT,[1631096],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,27.02,Missed,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,
27,PT09M37.00S,2024-04-03T23:46:17.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,4,2,2024-04-03T23:46:23Z,270000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,,Brown,J. Brown,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT09M28.00S,2024-04-03T23:46:26.7Z,1,REGULAR,3pt,Jump Shot,[],204001,70.77858081471747,71.32352941176471,1610612738,7,2,2024-04-03T23:46:32Z,280000,False,107.0,222.0,1,right,K. Porzingis 24' 3PT  (5 PTS) (J. Brown 1 AST),"[204001, 1627759]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,24.64,Made,Porzingis,K. Porzingis,,,,,,,,,,5.0,,,,J. Brown,1627759.0,1.0,,
30,PT09M11.00S,2024-04-03T23:46:45.0Z,1,REGULAR,turnover,out-of-bounds,[],1630598,,,1610612760,7,2,2024-04-03T23:46:52Z,300000,False,,,0,,A. Wiggins lost ball out-of-bounds TURNOVER (2 TO),[1630598],1610612760.0,OKC,lost ball,,,,,,Above the Break 3,24+ Right Center,,,Wiggins,A. Wiggins,,,,,2534.0,,,,,,,,2.0,,,,,
32,PT09M00.00S,2024-04-03T23:47:03.5Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,7,2,2024-04-03T23:47:06Z,310000,False,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 1630598]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,,Brown,J. Brown,,,,,,,,,,,,,1.0,,,,Wiggins,1630598.0
33,PT09M00.00S,2024-04-03T23:47:03.5Z,1,REGULAR,steal,,[],1630598,,,1610612760,7,2,2024-04-03T23:47:05Z,320000,False,,,0,,A. Wiggins STEAL (1 STL),[1630598],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,
34,PT08M57.00S,2024-04-03T23:47:07.2Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641717,6.044678055190539,48.89705882352941,1610612760,7,4,2024-04-03T23:47:16Z,330000,False,6.0,4.0,1,left,C. Wallace running DUNK (2 PTS) (J. Giddey 1 AST),"[1641717, 1630581]",1610612760.0,OKC,running,,,,,,Restricted Area,0-8 Center,0.7,Made,Wallace,C. Wallace,,,,,,,,,,2.0,,,,J. Giddey,1630581.0,1.0,,
36,PT08M46.00S,2024-04-03T23:47:17.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,76.42904073587385,87.99019607843137,1610612738,7,4,2024-04-03T23:49:39Z,350000,False,190.0,169.0,1,right,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,,,,Above the Break 3,24+ Right Center,25.44,Missed,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,
37,PT08M45.00S,2024-04-03T23:47:18.1Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,7,4,2024-04-03T23:47:24Z,360000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[1630598],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,,,Wiggins,A. Wiggins,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT08M36.00S,2024-04-03T23:47:27.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,6.176084099868594,46.200980392156865,1610612760,7,6,2024-04-03T23:47:36Z,370000,False,19.0,6.0,1,left,J. Giddey driving finger roll Layup (2 PTS),[1630581],1610612760.0,OKC,driving finger roll,,,,,,Restricted Area,0-8 Center,1.98,Made,Giddey,J. Giddey,,,,,,,,,,2.0,,,,,,,,
39,PT08M17.00S,2024-04-03T23:47:45.5Z,1,REGULAR,3pt,Jump Shot,[],1628401,67.36202365308804,36.76470588235294,1610612738,7,6,2024-04-03T23:47:52Z,380000,False,-66.0,254.0,1,right,MISS D. White 26' 3PT,[1628401],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,26.28,Missed,White,D. White,,,,,,,,,,,,,,,,,,
40,PT08M16.00S,2024-04-03T23:47:46.5Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,7,6,2024-04-03T23:47:52Z,390000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Center,,,Dort,L. Dort,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT08M08.00S,2024-04-03T23:47:55.0Z,1,REGULAR,3pt,Jump Shot,[],1629652,26.363337713534822,84.31372549019608,1610612760,7,6,2024-04-03T23:48:08Z,400000,False,-172.0,195.0,1,left,MISS L. Dort 26' pullup 3PT,[1629652],1610612760.0,OKC,pullup,,,,,,Above the Break 3,24+ Left Center,26.0,Missed,Dort,L. Dort,,,,,,,,,,,,,,,,,,
42,PT08M06.00S,2024-04-03T23:47:57.0Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,7,6,2024-04-03T23:48:08Z,410000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,,Holiday,J. Holiday,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT07M58.00S,2024-04-03T23:48:05.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628369,93.38042049934296,50.0,1610612738,9,6,2024-04-03T23:51:23Z,420000,False,0.0,10.0,1,right,J. Tatum running Layup (4 PTS) (J. Holiday 1 AST),"[1628369, 201950]",1610612738.0,BOS,running,,,,,,Restricted Area,0-8 Center,0.97,Made,Tatum,J. Tatum,,,,,,,,,,4.0,,,,J. Holiday,201950.0,1.0,,
45,PT07M42.00S,2024-04-03T23:48:21.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630598,17.69053876478318,42.15686274509804,1610612760,9,8,2024-04-03T23:48:26Z,440000,False,39.0,114.0,1,left,A. Wiggins 12' turnaround fadeaway Jump Shot (2 PTS),[1630598],1610612760.0,OKC,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,12.04,Made,Wiggins,A. Wiggins,,,,,,,,,,2.0,,,,,,,,
46,PT07M23.00S,2024-04-03T23:48:40.4Z,1,REGULAR,3pt,Jump Shot,[],204001,72.61826544021025,81.37254901960785,1610612738,12,8,2024-04-03T23:48:44Z,450000,False,157.0,205.0,1,right,K. Porzingis 25' 3PT  (8 PTS) (J. Tatum 1 AST),"[204001, 1628369]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,25.81,Made,Porzingis,K. Porzingis,,,,,,,,,,8.0,,,,J. Tatum,1628369.0,1.0,,
48,PT07M06.00S,2024-04-03T23:48:57.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,10.726018396846255,36.029411764705884,1610612760,12,10,2024-04-03T23:49:01Z,470000,False,70.0,48.0,1,left,J. Giddey 8' driving floating bank Jump Shot (4 PTS),[1630581],1610612760.0,OKC,driving floating bank,,,,,,In The Paint (Non-RA),8-16 Right,8.5,Made,Giddey,J. Giddey,,,,,,,,,,4.0,,,,,,,,
49,PT06M52.00S,2024-04-03T23:49:10.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.06636005256242,49.01960784313725,1610612738,14,10,2024-04-03T23:49:15Z,480000,False,-5.0,22.0,1,right,J. Brown driving finger roll Layup (2 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,driving finger roll,,,,,,Restricted Area,0-8 Center,2.26,Made,Brown,J. Brown,,,,,,,,,,2.0,,,,D. White,1628401.0,1.0,,
51,PT06M33.00S,2024-04-03T23:49:30.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,6.83311432325887,56.885723039215684,1610612760,14,12,2024-04-03T23:49:35Z,500000,False,-34.0,12.0,1,left,A. Wiggins driving Layup (4 PTS) (C. Wallace 1 AST),"[1630598, 1641717]",1610612760.0,OKC,driving,,,,,,Restricted Area,0-8 Center,3.63,Made,Wiggins,A. Wiggins,,,,,,,,,,4.0,,,,C. Wallace,1641717.0,1.0,,
53,PT06M24.00S,2024-04-03T23:49:46.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,14,12,2024-04-03T23:49:46Z,520000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M24.00S,2024-04-03T23:52:46.7Z,1,REGULAR,substitution,out,[],201950,,,1610612738,14,12,2024-04-03T23:53:19Z,530000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,,,,,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,
55,PT06M24.00S,2024-04-03T23:52:46.7Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,14,12,2024-04-03T23:53:19Z,540000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,,,,,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,
56,PT06M24.00S,2024-04-03T23:52:46.7Z,1,REGULAR,substitution,out,[],1629652,,,1610612738,14,12,2024-04-03T23:53:19Z,550000,False,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,,,,,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,
57,PT06M24.00S,2024-04-03T23:52:46.7Z,1,REGULAR,substitution,out,[],1631096,,,1610612738,14,12,2024-04-03T23:53:19Z,560000,False,,,0,,SUB out: C. Holmgren,[1631096],1610612760.0,OKC,,,,,,,,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,
58,PT06M24.00S,2024-04-03T23:52:46.7Z,1,REGULAR,substitution,out,[],1630598,,,1610612738,14,12,2024-04-03T23:53:19Z,570000,False,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,,,,,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,
59,PT06M24.00S,2024-04-03T23:52:46.7Z,1,REGULAR,substitution,in,[],1630573,,,1610612738,14,12,2024-04-03T23:53:19Z,580000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,,,,,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,
60,PT06M24.00S,2024-04-03T23:52:46.7Z,1,REGULAR,substitution,in,[],201143,,,1610612738,14,12,2024-04-03T23:53:19Z,590000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,,,,,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,
61,PT06M24.00S,2024-04-03T23:52:46.7Z,1,REGULAR,substitution,in,[],1631119,,,1610612738,14,12,2024-04-03T23:53:19Z,600000,False,,,0,,SUB in: J. Williams,[1631119],1610612760.0,OKC,,,,,,,,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,
62,PT06M24.00S,2024-04-03T23:52:46.7Z,1,REGULAR,substitution,in,[],1630198,,,1610612738,14,12,2024-04-03T23:53:19Z,610000,False,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,,,,,,,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,
63,PT06M24.00S,2024-04-03T23:52:46.7Z,1,REGULAR,substitution,in,[],1629026,,,1610612738,14,12,2024-04-03T23:53:19Z,620000,False,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,,,,,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,
64,PT06M14.00S,2024-04-03T23:53:33.4Z,1,REGULAR,2pt,Jump Shot,[],204001,79.58278580814718,50.98039215686274,1610612738,14,12,2024-04-03T23:53:40Z,630000,False,5.0,139.0,1,right,MISS K. Porzingis 13' Jump Shot,[204001],1610612738.0,BOS,,,,,,,Mid-Range,8-16 Center,13.95,Missed,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,
65,PT06M13.00S,2024-04-03T23:53:34.4Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,14,12,2024-04-03T23:53:40Z,640000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631119],1610612760.0,OKC,,,,,,,Mid-Range,8-16 Center,,,Williams,J. Williams,64.0,1.0,1.0,0.0,,,,,,,,,,,,,,
66,PT06M05.00S,2024-04-03T23:53:42.1Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630581,6.83311432325887,44.78017769607843,1610612760,14,12,2024-04-03T23:54:46Z,650000,False,26.0,12.0,1,left,MISS J. Giddey driving floating bank Shot,[1630581],1610612760.0,OKC,driving floating bank,,,,,,Restricted Area,0-8 Center,2.86,Missed,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,
68,PT06M03.00S,2024-04-03T23:53:44.1Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,14,12,2024-04-03T23:53:50Z,660000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,,White,D. White,66.0,1.0,1.0,0.0,,,,,,,,,,,,,,
69,PT05M56.00S,2024-04-03T23:53:50.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,78.66294349540078,89.4607843137255,1610612738,14,12,2024-04-03T23:53:58Z,670000,False,197.0,148.0,1,right,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,24.67,Missed,Brown,J. Brown,,,,,,,,,,,,,,,,,,
70,PT05M54.00S,2024-04-03T23:53:52.4Z,1,REGULAR,rebound,defensive,[],1630198,,,1610612760,14,12,2024-04-03T23:53:58Z,680000,False,,,0,,I. Joe REBOUND (Off:0 Def:1),[1630198],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,,,Joe,I. Joe,69.0,1.0,1.0,0.0,,,,,,,,,,,,,,
71,PT05M45.00S,2024-04-03T23:54:02.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,6.964520367936925,44.9984681372549,1610612760,14,14,2024-04-03T23:54:07Z,690000,False,25.0,13.0,1,left,J. Giddey driving Layup (6 PTS) (J. Williams 1 AST),"[1630581, 1631119]",1610612760.0,OKC,driving,,,,,,Restricted Area,0-8 Center,2.82,Made,Giddey,J. Giddey,,,,,,,,,,6.0,,,,J. Williams,1631119.0,1.0,,
73,PT05M29.00S,2024-04-03T23:54:17.7Z,1,REGULAR,3pt,Jump Shot,[],1630573,73.40670170827858,16.911764705882355,1610612738,17,14,2024-04-03T23:54:25Z,710000,False,-165.0,197.0,1,right,S. Hauser 25' 3PT  (3 PTS) (D. White 2 AST),"[1630573, 1628401]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,25.76,Made,Hauser,S. Hauser,,,,,,,,,,3.0,,,,D. White,1628401.0,2.0,,
75,PT05M09.00S,2024-04-03T23:54:39.3Z,1,REGULAR,foul,personal,['2freethrow'],204001,,,1610612760,17,14,2024-04-03T23:54:48Z,730000,False,,,0,,K. Porzingis shooting personal FOUL (1 PF) (Williams 2 FT),"[204001, 1631119]",1610612738.0,BOS,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Porzingis,K. Porzingis,,,,,2882.0,1.0,0.0,Williams,1631119.0,,,,,,,,,
77,PT05M09.00S,2024-04-03T23:55:01.9Z,1,REGULAR,freethrow,1 of 2,[],1631119,,,1610612760,17,15,2024-04-03T23:55:01Z,750000,False,,,0,,J. Williams Free Throw 1 of 2 (1 PTS),[1631119],1610612760.0,OKC,,,,,,,,,,Made,Williams,J. Williams,,,,,,,,,,1.0,,,,,,,,
78,PT05M09.00S,2024-04-03T23:55:02.9Z,1,REGULAR,substitution,out,[],204001,,,1610612760,17,15,2024-04-03T23:55:08Z,760000,False,,,0,,SUB out: K. Porzingis,[204001],1610612738.0,BOS,,,,,,,,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,
79,PT05M09.00S,2024-04-03T23:55:02.9Z,1,REGULAR,substitution,in,[],1630202,,,1610612760,17,15,2024-04-03T23:55:08Z,770000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,,,,,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,
80,PT05M09.00S,2024-04-03T23:55:23.6Z,1,REGULAR,freethrow,2 of 2,[],1631119,,,1610612760,17,16,2024-04-03T23:55:23Z,780000,False,,,0,,J. Williams Free Throw 2 of 2 (2 PTS),[1631119],1610612760.0,OKC,,,,,,,,,,Made,Williams,J. Williams,,,,,,,,,,2.0,,,,,,,,
81,PT05M07.00S,2024-04-03T23:55:31.9Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,17,16,2024-04-03T23:55:45Z,790000,False,,,0,,J. Brown bad pass TURNOVER (2 TO),"[1627759, 1641717]",1610612738.0,BOS,,,,,,,Mid-Range,8-16 Left,,,Brown,J. Brown,,,,,,,,,,,,,2.0,,,,Wallace,1641717.0
82,PT05M07.00S,2024-04-03T23:55:31.9Z,1,REGULAR,steal,,[],1641717,,,1610612760,17,16,2024-04-03T23:55:34Z,800000,False,,,0,,C. Wallace STEAL (1 STL),[1641717],1610612760.0,OKC,,,,,,,Mid-Range,8-16 Left,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,
83,PT05M03.00S,2024-04-03T23:55:36.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629026,32.14520367936925,77.94117647058823,1610612760,17,16,2024-04-03T23:56:14Z,810000,False,-140.0,250.0,1,left,MISS K. Williams 28' 3PT,[1629026],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,28.61,Missed,Williams,K. Williams,,,,,,,,,,,,,,,,,,
