actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
27,PT09M34.00S,2023-12-17T20:15:23.0Z,1,REGULAR,rebound,offensive,[],201950,,,1610612738,0,4,2023-12-17T20:15:24Z,270000,False,,,0,,J. Holiday REBOUND (Off:1 Def:0),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,,,26.0,1.0,0.0,1.0,,,,,,,,,,,,,,
28,PT09M34.00S,2023-12-17T20:15:22.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201950,94.40999984741211,50.0,1610612738,2,4,2023-12-17T20:15:27Z,280000,False,0.0,0.0,1,right,J. Holiday tip Layup (2 PTS),[201950],1610612738.0,BOS,tip,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,2.0,,,,,,,,,,,
29,PT09M13.00S,2023-12-17T20:15:43.1Z,1,REGULAR,3pt,Jump Shot,[],1630591,8.886333771353483,3.9215686274509802,1610612753,2,4,2023-12-17T20:15:47Z,290000,False,230.0,31.0,1,left,MISS J. Suggs 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Right Corner 3,24+ Right,23.25,Missed,,,,,,,,,,,,,,,,,,
30,PT09M11.00S,2023-12-17T20:15:45.1Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,2,4,2023-12-17T20:15:47Z,300000,False,,,0,,J. Holiday REBOUND (Off:1 Def:1),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,,,29.0,2.0,1.0,1.0,,,,,,,,,,,,,,
31,PT09M07.00S,2023-12-17T20:15:50.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628369,93.24901445466492,53.92156862745098,1610612738,2,4,2023-12-17T20:15:57Z,310000,False,20.0,11.0,1,right,MISS J. Tatum running Layup,[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,2.25,Missed,,,,,,,,,,,,,,,,,,
32,PT09M05.00S,2023-12-17T20:15:52.7Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,2,4,2023-12-17T20:15:57Z,320000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT08M53.00S,2023-12-17T20:16:03.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,19.92444152431012,38.48039215686275,1610612753,2,6,2023-12-17T20:16:09Z,330000,False,58.0,135.0,1,left,P. Banchero 14' pullup Jump Shot (4 PTS),[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,14.66,Made,,,,,,,4.0,,,,,,,,,,,
34,PT08M41.00S,2023-12-17T20:16:15.9Z,1,REGULAR,2pt,Jump Shot,[],204001,78.26872536136662,34.55882352941176,1610612738,2,6,2023-12-17T20:16:20Z,340000,False,-77.0,152.0,1,right,MISS K. Porzingis 17' fadeaway Shot,[204001],1610612738.0,BOS,fadeaway,,,Porzingis,K. Porzingis,,,,,Mid-Range,16-24 Left Center,17.03,Missed,,,,,,,,,,,,,,,,,,
35,PT08M39.00S,2023-12-17T20:16:17.9Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,2,6,2023-12-17T20:16:20Z,350000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,16-24 Left Center,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
36,PT08M27.00S,2023-12-17T20:16:29.8Z,1,REGULAR,2pt,Jump Shot,[],1631094,14.14257555847569,87.99019607843137,1610612753,2,6,2023-12-17T20:18:39Z,360000,False,-190.0,80.0,1,left,MISS P. Banchero 20' pullup Shot,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Left,20.63,Missed,,,,,,,,,,,,,,,,,,
37,PT08M24.00S,2023-12-17T20:16:32.8Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,2,6,2023-12-17T20:16:55Z,370000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,16-24 Left,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,,
38,PT08M21.00S,2023-12-17T20:16:38.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628369,88.25558475689881,58.333333333333336,1610612738,2,6,2023-12-17T20:20:16Z,380000,False,42.0,58.0,1,right,MISS J. Tatum 7' running Layup,[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,7.14,Missed,,,,,,,,,,,,,,,,,,
39,PT08M20.00S,2023-12-17T20:16:39.2Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,2,6,2023-12-17T20:20:16Z,390000,False,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,38.0,2.0,1.0,1.0,,,,,,,,,,,,,,
40,PT08M20.00S,2023-12-17T20:16:40.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628369,94.40999984741211,50.0,1610612738,2,6,2023-12-17T20:20:35Z,400000,False,0.0,0.0,1,right,MISS J. Tatum putback Layup,[1628369],1610612738.0,BOS,putback,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
41,PT08M18.00S,2023-12-17T20:16:42.5Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,2,6,2023-12-17T20:20:35Z,410000,False,,,0,,J. Tatum REBOUND (Off:2 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,40.0,3.0,1.0,2.0,,,,,,,,,,,,,,
42,PT08M17.00S,2023-12-17T20:16:42.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628369,94.40999984741211,50.0,1610612738,4,6,2023-12-17T20:21:57Z,420000,False,0.0,0.0,1,right,J. Tatum putback Layup (2 PTS),[1628369],1610612738.0,BOS,putback,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,2.0,,,,,,,,,,,
43,PT08M17.00S,2023-12-17T20:16:48.4Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612753,4,6,2023-12-17T20:17:06Z,430000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,202027.0,,,,,,,,,,
44,PT07M56.00S,2023-12-17T20:17:18.8Z,1,REGULAR,3pt,Jump Shot,[],1641710,8.360709592641262,97.30392156862744,1610612753,4,9,2023-12-17T20:17:25Z,440000,False,-237.0,26.0,1,left,A. Black 3PT  (3 PTS) (F. Wagner 2 AST),"[1641710, 1630532]",1610612753.0,ORL,,,,Black,A. Black,,,,,Left Corner 3,24+ Left,23.79,Made,,,,,,,3.0,,,,,F. Wagner,1630532.0,2.0,,,,
46,PT07M43.00S,2023-12-17T20:17:32.0Z,1,REGULAR,2pt,Jump Shot,[],1627759,87.51642575558475,24.241727941176478,1610612738,4,9,2023-12-17T20:23:42Z,460000,False,-129.0,65.0,1,right,MISS J. Brown 14' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,14.42,Missed,,,,,,,,,,,,,,,,,,
47,PT07M41.00S,2023-12-17T20:17:34.0Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,4,9,2023-12-17T20:17:38Z,470000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Left Corner 3,24+ Left,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,
48,PT07M35.00S,2023-12-17T20:17:39.2Z,1,REGULAR,2pt,Layup,['fastbreak'],1630591,12.040078843626807,67.8921568627451,1610612753,4,9,2023-12-17T20:17:49Z,480000,False,-89.0,61.0,1,left,MISS J. Suggs 10' running Layup,[1630591],1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Left,10.81,Missed,,,,,,,,,,,,,,,,,,
49,PT07M33.00S,2023-12-17T20:17:41.2Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,4,9,2023-12-17T20:17:49Z,490000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:3),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Left,,,48.0,3.0,3.0,0.0,,,,,,,,,,,,,,
50,PT07M28.00S,2023-12-17T20:17:46.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,93.77463863337714,58.333333333333336,1610612738,4,9,2023-12-17T20:17:55Z,500000,False,42.0,6.0,1,right,MISS J. Brown running Layup,[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,4.21,Missed,,,,,,,,,,,,,,,,,,
51,PT07M28.00S,2023-12-17T20:17:46.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,4,9,2023-12-17T20:17:55Z,510000,False,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Restricted Area,0-8 Center,,,50.0,,,,,,,,,,,,,,,,,
53,PT07M12.00S,2023-12-17T20:18:15.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,10.726018396846255,59.80392156862745,1610612753,4,11,2023-12-17T20:18:19Z,530000,False,-49.0,48.0,1,left,F. Wagner 6' driving Layup (2 PTS),[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,6.88,Made,,,,,,,2.0,,,,,,,,,,,
54,PT06M52.00S,2023-12-17T20:18:34.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],204001,93.64323258869908,49.754901960784316,1610612738,6,11,2023-12-17T20:18:40Z,540000,False,-1.0,7.0,1,right,K. Porzingis cutting DUNK (2 PTS) (D. White 1 AST),"[204001, 1628401]",1610612738.0,BOS,cutting,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,0.74,Made,,,,,,,2.0,,,,,D. White,1628401.0,1.0,,,,
56,PT06M40.00S,2023-12-17T20:18:46.0Z,1,REGULAR,2pt,Jump Shot,[],1631094,15.193823915900131,24.754901960784316,1610612753,6,13,2023-12-17T20:26:56Z,560000,False,126.0,90.0,1,left,P. Banchero 15' driving floating Jump Shot (6 PTS) (A. Black 1 AST),"[1631094, 1641710]",1610612753.0,ORL,driving floating,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Right,15.52,Made,,,,,,,6.0,,,,,A. Black,1641710.0,1.0,,,,
57,PT06M31.00S,2023-12-17T20:18:55.5Z,1,REGULAR,3pt,Jump Shot,[],1628401,71.17279894875165,18.137254901960784,1610612738,6,13,2023-12-17T20:27:35Z,570000,False,-159.0,218.0,1,right,MISS D. White 27' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Left Center,27.04,Missed,,,,,,,,,,,,,,,,,,
58,PT06M31.00S,2023-12-17T20:18:55.5Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,6,13,2023-12-17T20:19:00Z,580000,False,,,0,,P. Banchero REBOUND (Off:0 Def:3),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,57.0,3.0,3.0,0.0,,,,,,,,,,,,,,
59,PT06M14.00S,2023-12-17T20:19:16.2Z,1,REGULAR,foul,personal,[],1628369,,,1610612753,6,13,2023-12-17T20:19:21Z,590000,False,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 1630532]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,202027.0,,,,,,,1.0,0.0,Wagner,1630532.0
61,PT06M14.00S,2023-12-17T20:19:22.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,6,13,2023-12-17T20:19:22Z,610000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M14.00S,2023-12-17T20:21:39.6Z,1,REGULAR,substitution,out,[],1628369,,,1610612753,6,13,2023-12-17T20:22:05Z,620000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M14.00S,2023-12-17T20:21:39.6Z,1,REGULAR,substitution,out,[],1630532,,,1610612753,6,13,2023-12-17T20:22:05Z,630000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M14.00S,2023-12-17T20:21:39.6Z,1,REGULAR,substitution,in,[],201143,,,1610612753,6,13,2023-12-17T20:22:05Z,640000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M14.00S,2023-12-17T20:21:39.6Z,1,REGULAR,substitution,in,[],1631216,,,1610612753,6,13,2023-12-17T20:22:05Z,650000,False,,,0,,SUB in: C. Houstan,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M03.00S,2023-12-17T20:22:28.8Z,1,REGULAR,3pt,Jump Shot,[],1630591,27.151773981603156,84.06862745098039,1610612753,6,13,2023-12-17T20:22:35Z,660000,False,-170.0,203.0,1,left,MISS J. Suggs 26' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,26.47,Missed,,,,,,,,,,,,,,,,,,
67,PT05M59.00S,2023-12-17T20:22:32.3Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,6,13,2023-12-17T20:22:32Z,670000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:4),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,,,66.0,4.0,4.0,0.0,,,,,,,,,,,,,,
68,PT05M54.00S,2023-12-17T20:22:37.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201143,93.38042049934296,52.450980392156865,1610612738,6,13,2023-12-17T20:22:45Z,680000,False,12.0,10.0,1,right,MISS A. Horford cutting Layup - blocked,"[201143, 1629048]",1610612738.0,BOS,cutting,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,1.57,Missed,,,,,Bitadze,1629048.0,,,,,,,,,,,,
123,PT05M54.00S,2023-12-17T20:22:37.5Z,1,REGULAR,block,,[],1629048,,,1610612738,6,13,2023-12-17T20:31:57Z,685000,False,,,0,,G. Bitadze BLOCK (2 BLK),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
69,PT05M53.00S,2023-12-17T20:22:38.5Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,6,13,2023-12-17T20:22:45Z,690000,False,,,0,,P. Banchero REBOUND (Off:0 Def:4),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,68.0,4.0,4.0,0.0,,,,,,,,,,,,,,
70,PT05M48.00S,2023-12-17T20:22:43.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631216,28.33442838370565,81.61764705882352,1610612753,6,16,2023-12-17T20:33:08Z,700000,False,-158.0,214.0,1,left,C. Houstan 26' 3PT running (3 PTS) (P. Banchero 1 AST),"[1631216, 1631094]",1610612753.0,ORL,running,,,Houstan,C. Houstan,,,,,Above the Break 3,24+ Left Center,26.59,Made,,,,,,,3.0,,,,,P. Banchero,1631094.0,1.0,,,,
72,PT05M37.00S,2023-12-17T20:22:57.8Z,1,REGULAR,foul,personal,[],1641710,,,1610612738,6,16,2023-12-17T20:23:07Z,720000,False,,,0,,A. Black personal FOUL (1 PF),"[1641710, 201950]",1610612753.0,ORL,,,,Black,A. Black,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,202027.0,,,,,,,1.0,0.0,Holiday,201950.0
74,PT05M30.00S,2023-12-17T20:23:21.2Z,1,REGULAR,3pt,Jump Shot,[],204001,69.59592641261499,75.0,1610612738,9,16,2023-12-17T20:23:26Z,740000,False,125.0,233.0,1,right,K. Porzingis 26' 3PT  (5 PTS) (D. White 2 AST),"[204001, 1628401]",1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Right Center,26.47,Made,,,,,,,5.0,,,,,D. White,1628401.0,2.0,,,,
76,PT05M11.00S,2023-12-17T20:23:39.3Z,1,REGULAR,3pt,Jump Shot,[],1631094,34.37910643889619,30.88235294117647,1610612753,9,16,2023-12-17T20:23:45Z,760000,False,96.0,271.0,1,left,MISS P. Banchero 28' pullup 3PT,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,28.71,Missed,,,,,,,,,,,,,,,,,,
77,PT05M08.00S,2023-12-17T20:23:42.3Z,1,REGULAR,rebound,offensive,[],1631216,,,1610612753,9,16,2023-12-17T20:23:45Z,770000,False,,,0,,C. Houstan REBOUND (Off:1 Def:0),[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Above the Break 3,24+ Right Center,,,76.0,1.0,0.0,1.0,,,,,,,,,,,,,,
78,PT04M57.00S,2023-12-17T20:23:53.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629048,9.543363994743759,62.254901960784316,1610612753,9,16,2023-12-17T20:23:57Z,780000,False,-61.0,37.0,1,left,MISS G. Bitadze 7' Layup - blocked,"[1629048, 1628401]",1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,7.17,Missed,,,,,White,1628401.0,,,,,,,,,,,,
79,PT04M57.00S,2023-12-17T20:23:53.8Z,1,REGULAR,block,,[],1628401,,,1610612753,9,16,2023-12-17T20:23:55Z,790000,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
