actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,playerName,playerNameI,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M39.00S,2023-12-02T00:45:11.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201976,11.383048620236531,63.48039215686274,1610612755,5,6,2023-12-02T00:47:12Z,160000,False,-67.0,55.0,1,left,P. Beverley 8' floating Jump Shot (2 PTS),[201976],1610612755.0,PHI,floating,,,,,,In The Paint (Non-RA),8-16 Left,,Beverley,P. Beverley,,,8.67,Made,2.0,,,,,,,,,,,,,,
18,PT10M28.00S,2023-12-02T00:45:22.2Z,1,REGULAR,turnover,bad pass,[],201950,,,1610612738,5,6,2023-12-02T00:45:25Z,170000,False,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[201950, 202699]",1610612738.0,BOS,,,,,,,Mid-Range,16-24 Right Center,1.0,Holiday,J. Holiday,Harris,202699.0,,,,,,,,,,,,,,,,,
19,PT10M28.00S,2023-12-02T00:45:22.2Z,1,REGULAR,steal,,[],202699,,,1610612755,5,6,2023-12-02T00:45:24Z,180000,False,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Right Center,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,
20,PT10M23.00S,2023-12-02T00:45:27.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202699,7.966491458607096,52.69607843137255,1610612755,5,8,2023-12-02T00:45:31Z,190000,False,-13.0,22.0,1,left,T. Harris running Layup (4 PTS),[202699],1610612755.0,PHI,running,,,,,,Restricted Area,0-8 Center,,Harris,T. Harris,,,2.62,Made,4.0,,,,,,,,,,,,,,
21,PT10M07.00S,2023-12-02T00:45:42.9Z,1,REGULAR,3pt,Jump Shot,[],201143,89.17542706964521,2.696078431372549,1610612738,8,8,2023-12-02T00:45:47Z,200000,False,-237.0,49.0,1,right,A. Horford 24' 3PT  (6 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,,,,,,,Left Corner 3,24+ Left,,Horford,A. Horford,,,24.16,Made,6.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,
23,PT09M56.00S,2023-12-02T00:45:54.3Z,1,REGULAR,3pt,Jump Shot,[],1629001,33.85348226018397,50.0,1610612755,8,8,2023-12-02T00:45:59Z,220000,False,0.0,266.0,1,left,MISS D. Melton 26' 3PT,[1629001],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,,Melton,D. Melton,,,26.57,Missed,,,,,,,,,,,,,,,
24,PT09M55.00S,2023-12-02T00:45:55.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,8,8,2023-12-02T00:45:59Z,230000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,Tatum,J. Tatum,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,
25,PT09M46.00S,2023-12-02T00:46:03.9Z,1,REGULAR,3pt,Jump Shot,[],201950,91.80354796320631,2.450980392156863,1610612738,11,8,2023-12-02T00:46:07Z,240000,False,-238.0,25.0,1,right,J. Holiday 3PT  (3 PTS) (A. Horford 1 AST),"[201950, 201143]",1610612738.0,BOS,,,,,,,Left Corner 3,24+ Left,,Holiday,J. Holiday,,,23.9,Made,3.0,A. Horford,201143.0,1.0,,,,,,,,,,,
27,PT09M33.00S,2023-12-02T00:46:17.2Z,1,REGULAR,3pt,Jump Shot,[],1630194,35.03613666228647,52.69607843137255,1610612755,11,11,2023-12-02T00:46:21Z,260000,False,-13.0,277.0,1,left,P. Reed 27' 3PT  (3 PTS) (P. Beverley 1 AST),"[1630194, 201976]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,,Reed,P. Reed,,,27.71,Made,3.0,P. Beverley,201976.0,1.0,,,,,,,,,,,
29,PT09M20.00S,2023-12-02T00:46:30.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.01511169513797,45.34313725490196,1610612738,11,11,2023-12-02T00:46:38Z,280000,False,-23.0,32.0,1,right,MISS J. Brown driving Layup - blocked,"[1627759, 202694]",1610612738.0,BOS,driving,,,,,,Restricted Area,0-8 Center,,Brown,J. Brown,,,3.96,Missed,,,,,,,,,Morris Sr.,202694.0,,,,,
30,PT09M20.00S,2023-12-02T00:46:30.0Z,1,REGULAR,block,,[],202694,,,1610612738,11,11,2023-12-02T00:46:33Z,290000,False,,,0,,M. Morris Sr. BLOCK (1 BLK),[202694],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,
31,PT09M19.00S,2023-12-02T00:46:31.0Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612755,11,11,2023-12-02T00:47:02Z,300000,False,,,0,,P. Reed REBOUND (Off:0 Def:1),[1630194],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,Reed,P. Reed,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,
32,PT09M12.00S,2023-12-02T00:46:38.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202694,9.017739816031538,45.83333333333333,1610612755,11,11,2023-12-02T00:46:50Z,310000,False,21.0,32.0,1,left,MISS M. Morris Sr. running Layup,[202694],1610612755.0,PHI,running,,,,,,Restricted Area,0-8 Center,,Morris Sr.,M. Morris Sr.,,,3.84,Missed,,,,,,,,,,,,,,,
34,PT09M11.00S,2023-12-02T00:46:39.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,11,11,2023-12-02T00:46:50Z,330000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,Horford,A. Horford,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,
35,PT09M06.00S,2023-12-02T00:46:44.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,67.88764783180025,25.49019607843137,1610612738,11,11,2023-12-02T00:46:56Z,340000,False,-123.0,249.0,1,right,MISS J. Tatum 27' running pullup 3PT,[1628369],1610612738.0,BOS,running pullup,,,,,,Above the Break 3,24+ Left Center,,Tatum,J. Tatum,,,27.79,Missed,,,,,,,,,,,,,,,
36,PT09M05.00S,2023-12-02T00:46:45.3Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,11,11,2023-12-02T00:46:56Z,350000,False,,,0,,A. Horford REBOUND (Off:1 Def:1),[201143],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,Horford,A. Horford,,,,,,,,,35.0,2.0,1.0,1.0,,,,,,,
37,PT08M57.00S,2023-12-02T00:46:52.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,92.59198423127464,52.450980392156865,1610612738,13,11,2023-12-02T00:46:59Z,360000,False,12.0,17.0,1,right,J. Tatum driving reverse Layup (2 PTS),[1628369],1610612738.0,BOS,driving reverse,,,,,,Restricted Area,0-8 Center,,Tatum,J. Tatum,,,2.11,Made,2.0,,,,,,,,,,,,,,
38,PT08M40.00S,2023-12-02T00:47:12.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630194,9.149145860709593,54.166666666666664,1610612755,13,13,2023-12-02T00:47:20Z,370000,False,-21.0,34.0,1,left,P. Reed driving Layup (5 PTS),[1630194],1610612755.0,PHI,driving,,,,,,Restricted Area,0-8 Center,,Reed,P. Reed,,,3.94,Made,5.0,,,,,,,,,,,,,,
39,PT08M40.00S,2023-12-02T00:47:20.0Z,1,REGULAR,foul,personal,['1freethrow'],201143,,,1610612755,13,13,2023-12-02T00:47:27Z,380000,False,,,0,,A. Horford shooting personal FOUL (1 PF) (Reed 1 FT),"[201143, 1630194]",1610612738.0,BOS,shooting,,,,,,Restricted Area,0-8 Center,,Horford,A. Horford,,,,,,,,,,,,,,,1627963.0,1.0,0.0,Reed,1630194.0
41,PT08M40.00S,2023-12-02T00:47:40.0Z,1,REGULAR,freethrow,1 of 1,[],1630194,,,1610612755,13,14,2023-12-02T00:47:40Z,400000,False,,,0,,P. Reed Free Throw 1 of 1 (6 PTS),[1630194],1610612755.0,PHI,,,,,,,,,,Reed,P. Reed,,,,Made,6.0,,,,,,,,,,,,,,
42,PT08M29.00S,2023-12-02T00:47:53.0Z,1,REGULAR,3pt,Jump Shot,[],201950,70.77858081471747,19.607843137254903,1610612738,16,14,2023-12-02T00:47:57Z,410000,False,-152.0,222.0,1,right,J. Holiday 26' 3PT  (6 PTS) (J. Tatum 2 AST),"[201950, 1628369]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,Holiday,J. Holiday,,,26.92,Made,6.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,
44,PT08M10.00S,2023-12-02T00:48:11.2Z,1,REGULAR,3pt,Jump Shot,[],1629001,11.908672798948752,3.6764705882352944,1610612755,16,14,2023-12-02T00:48:18Z,430000,False,232.0,59.0,1,left,MISS D. Melton 3PT,[1629001],1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,,Melton,D. Melton,,,23.91,Missed,,,,,,,,,,,,,,,
45,PT08M08.00S,2023-12-02T00:48:13.2Z,1,REGULAR,rebound,offensive,[],202699,,,1610612755,16,14,2023-12-02T00:48:18Z,440000,False,,,0,,T. Harris REBOUND (Off:1 Def:0),[202699],1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,,Harris,T. Harris,,,,,,,,,44.0,1.0,0.0,1.0,,,,,,,
46,PT08M06.00S,2023-12-02T00:48:15.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202699,8.09789750328515,45.09803921568628,1610612755,16,16,2023-12-02T00:48:22Z,450000,False,25.0,24.0,1,left,T. Harris putback Layup (6 PTS),[202699],1610612755.0,PHI,putback,,,,,,Restricted Area,0-8 Center,,Harris,T. Harris,,,3.4,Made,6.0,,,,,,,,,,,,,,
47,PT07M51.00S,2023-12-02T00:48:30.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.9862023653088,47.05882352941176,1610612738,18,16,2023-12-02T00:48:33Z,460000,False,-15.0,13.0,1,right,J. Tatum driving Layup (4 PTS),[1628369],1610612738.0,BOS,driving,,,,,,Restricted Area,0-8 Center,,Tatum,J. Tatum,,,1.99,Made,4.0,,,,,,,,,,,,,,
48,PT07M31.00S,2023-12-02T00:48:50.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201976,8.229303547963205,46.81372549019608,1610612755,18,18,2023-12-02T00:48:54Z,470000,False,16.0,25.0,1,left,P. Beverley driving Layup (4 PTS),[201976],1610612755.0,PHI,driving,,,,,,Restricted Area,0-8 Center,,Beverley,P. Beverley,,,2.95,Made,4.0,,,,,,,,,,,,,,
49,PT07M31.00S,2023-12-02T00:48:55.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,18,18,2023-12-02T00:48:55Z,480000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M31.00S,2023-12-02T00:51:19.2Z,1,REGULAR,substitution,out,[],201976,,,1610612738,18,18,2023-12-02T00:52:00Z,490000,False,,,0,,SUB out: P. Beverley,[201976],1610612755.0,PHI,,,,,,,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,
51,PT07M31.00S,2023-12-02T00:51:19.2Z,1,REGULAR,substitution,in,[],1627788,,,1610612738,18,18,2023-12-02T00:52:00Z,500000,False,,,0,,SUB in: F. Korkmaz,[1627788],1610612755.0,PHI,,,,,,,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,
52,PT07M20.00S,2023-12-02T00:52:26.3Z,1,REGULAR,3pt,Jump Shot,[],201143,94.30026281208936,97.30392156862744,1610612738,18,18,2023-12-02T00:52:31Z,510000,False,237.0,1.0,1,right,MISS A. Horford 3PT,[201143],1610612738.0,BOS,,,,,,,Right Corner 3,24+ Right,,Horford,A. Horford,,,23.65,Missed,,,,,,,,,,,,,,,
53,PT07M19.00S,2023-12-02T00:52:27.3Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612755,18,18,2023-12-02T00:52:31Z,520000,False,,,0,,P. Reed REBOUND (Off:0 Def:2),[1630194],1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,,Reed,P. Reed,,,,,,,,,52.0,2.0,2.0,0.0,,,,,,,
54,PT07M06.00S,2023-12-02T00:52:40.0Z,1,REGULAR,2pt,Jump Shot,[],202699,23.209592641261498,66.42156862745098,1610612755,18,18,2023-12-02T00:52:44Z,530000,False,-82.0,166.0,1,left,MISS T. Harris 18' Jump Shot,[202699],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Left Center,,Harris,T. Harris,,,18.49,Missed,,,,,,,,,,,,,,,
55,PT07M05.00S,2023-12-02T00:52:41.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,18,18,2023-12-02T00:52:44Z,540000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,,,,Mid-Range,16-24 Left Center,,Tatum,J. Tatum,,,,,,,,,54.0,2.0,2.0,0.0,,,,,,,
56,PT07M01.00S,2023-12-02T00:52:46.6Z,1,REGULAR,foul,personal,['2freethrow'],1630194,,,1610612738,18,18,2023-12-02T00:52:56Z,550000,False,,,0,,P. Reed shooting personal FOUL (1 PF) (Tatum 2 FT),"[1630194, 1628369]",1610612755.0,PHI,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,Reed,P. Reed,,,,,,,,,,,,,,,1627963.0,1.0,0.0,Tatum,1628369.0
58,PT07M01.00S,2023-12-02T00:53:11.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628369,,,1610612738,19,18,2023-12-02T00:53:29Z,570000,False,,,0,,J. Tatum Free Throw 1 of 2 (5 PTS),[1628369],1610612738.0,BOS,,,,,,,,,,Tatum,J. Tatum,,,,Made,5.0,,,,,,,,,,,,,,
59,PT07M01.00S,2023-12-02T00:53:11.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628369,,,1610612738,19,18,2023-12-02T00:53:29Z,580000,False,,,0,,MISS J. Tatum Free Throw 2 of 2,[1628369],1610612738.0,BOS,,,,,,,,,,Tatum,J. Tatum,,,,Missed,,,,,,,,,,,,,,,
60,PT07M01.00S,2023-12-02T00:53:11.0Z,1,REGULAR,rebound,defensive,[],202694,,,1610612755,19,18,2023-12-02T00:53:29Z,590000,False,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612755.0,PHI,,,,,,,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,59.0,1.0,1.0,0.0,,,,,,,
61,PT06M49.00S,2023-12-02T00:53:34.2Z,1,REGULAR,turnover,bad pass,[],1629001,,,1610612755,19,18,2023-12-02T00:53:38Z,600000,False,,,0,,D. Melton bad pass TURNOVER (1 TO),"[1629001, 1627759]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,1.0,Melton,D. Melton,Brown,1627759.0,,,,,,,,,,,,,,,,,
62,PT06M49.00S,2023-12-02T00:53:34.2Z,1,REGULAR,steal,,[],1627759,,,1610612738,19,18,2023-12-02T00:53:36Z,610000,False,,,0,,J. Brown STEAL (2 STL),[1627759],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,
63,PT06M45.00S,2023-12-02T00:53:37.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,92.72339027595268,46.81372549019608,1610612738,21,18,2023-12-02T00:53:42Z,620000,False,-16.0,16.0,1,right,J. Brown running finger roll Layup (4 PTS),[1627759],1610612738.0,BOS,running finger roll,,,,,,Restricted Area,0-8 Center,,Brown,J. Brown,,,2.25,Made,4.0,,,,,,,,,,,,,,
64,PT06M38.00S,2023-12-02T00:53:45.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,12.828515111695138,45.588235294117645,1610612755,21,18,2023-12-02T00:53:50Z,630000,False,22.0,68.0,1,left,MISS T. Harris 7' driving Layup - blocked,"[202699, 201143]",1610612755.0,PHI,driving,,,,,,In The Paint (Non-RA),0-8 Center,,Harris,T. Harris,,,7.16,Missed,,,,,,,,,Horford,201143.0,,,,,
85,PT06M38.00S,2023-12-02T00:53:45.0Z,1,REGULAR,block,,[],201143,,,1610612755,21,18,2023-12-02T00:56:28Z,635000,False,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),0-8 Center,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,
65,PT06M37.00S,2023-12-02T00:53:46.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,21,18,2023-12-02T00:53:50Z,640000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),0-8 Center,,Tatum,J. Tatum,,,,,,,,,64.0,3.0,3.0,0.0,,,,,,,
66,PT06M29.00S,2023-12-02T00:53:56.3Z,1,REGULAR,foul,personal,['2freethrow'],1630194,,,1610612738,21,18,2023-12-02T00:54:16Z,650000,False,,,0,,P. Reed shooting personal FOUL (2 PF) (Tatum 2 FT),"[1630194, 1628369]",1610612755.0,PHI,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,Reed,P. Reed,,,,,,,,,,,,,,,202007.0,2.0,0.0,Tatum,1628369.0
68,PT06M29.00S,2023-12-02T00:54:29.1Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,21,18,2023-12-02T00:54:29Z,670000,False,,,0,,MISS J. Tatum Free Throw 1 of 2,[1628369],1610612738.0,BOS,,,,,,,,,,Tatum,J. Tatum,,,,Missed,,,,,,,,,,,,,,,
69,PT06M29.00S,2023-12-02T00:54:29.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,21,18,2023-12-02T00:54:29Z,680000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,
70,PT06M29.00S,2023-12-02T00:54:30.3Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,21,18,2023-12-02T00:54:42Z,690000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,,,,,,,White,D. White,,,,,,,,,,,,,,,,,,,
71,PT06M29.00S,2023-12-02T00:54:30.3Z,1,REGULAR,substitution,out,[],202699,,,1610612738,21,18,2023-12-02T00:54:42Z,700000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,,,,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,
72,PT06M29.00S,2023-12-02T00:54:30.3Z,1,REGULAR,substitution,in,[],1630573,,,1610612738,21,18,2023-12-02T00:54:42Z,710000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,,,,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,
73,PT06M29.00S,2023-12-02T00:54:30.3Z,1,REGULAR,substitution,in,[],203496,,,1610612738,21,18,2023-12-02T00:54:42Z,720000,False,,,0,,SUB in: R. Covington,[203496],1610612755.0,PHI,,,,,,,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,
74,PT06M29.00S,2023-12-02T00:54:49.9Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,22,18,2023-12-02T00:54:49Z,730000,False,,,0,,J. Tatum Free Throw 2 of 2 (6 PTS),[1628369],1610612738.0,BOS,,,,,,,,,,Tatum,J. Tatum,,,,Made,6.0,,,,,,,,,,,,,,
75,PT06M06.00S,2023-12-02T00:55:14.3Z,1,REGULAR,2pt,Jump Shot,[],202694,23.078186596583443,26.47058823529412,1610612755,22,18,2023-12-02T00:55:20Z,740000,False,118.0,164.0,1,left,MISS M. Morris Sr. 20' fadeaway Shot,[202694],1610612755.0,PHI,fadeaway,,,,,,Mid-Range,16-24 Right Center,,Morris Sr.,M. Morris Sr.,,,20.21,Missed,,,,,,,,,,,,,,,
76,PT06M04.00S,2023-12-02T00:55:16.3Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,22,18,2023-12-02T00:55:20Z,750000,False,,,0,,A. Horford REBOUND (Off:1 Def:2),[201143],1610612738.0,BOS,,,,,,,Mid-Range,16-24 Right Center,,Horford,A. Horford,,,,,,,,,75.0,3.0,2.0,1.0,,,,,,,
77,PT05M59.00S,2023-12-02T00:55:28.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628369,91.40932982917214,53.431372549019606,1610612738,24,18,2023-12-02T00:55:43Z,760000,False,17.0,28.0,1,right,J. Tatum running Layup (8 PTS),[1628369],1610612738.0,BOS,running,,,,,,Restricted Area,0-8 Center,,Tatum,J. Tatum,,,3.31,Made,8.0,,,,,,,,,,,,,,
78,PT05M59.00S,2023-12-02T00:55:34.7Z,1,REGULAR,foul,personal,['1freethrow'],1629001,,,1610612738,24,18,2023-12-02T00:55:43Z,770000,False,,,0,,D. Melton shooting personal FOUL (1 PF) (Tatum 1 FT),"[1629001, 1628369]",1610612755.0,PHI,shooting,,,,,,Restricted Area,0-8 Center,,Melton,D. Melton,,,,,,,,,,,,,,,1662.0,1.0,0.0,Tatum,1628369.0
80,PT05M59.00S,2023-12-02T00:55:49.8Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,25,18,2023-12-02T00:55:49Z,790000,False,,,0,,J. Tatum Free Throw 1 of 1 (9 PTS),[1628369],1610612738.0,BOS,,,,,,,,,,Tatum,J. Tatum,,,,Made,9.0,,,,,,,,,,,,,,
81,PT05M46.00S,2023-12-02T00:56:04.3Z,1,REGULAR,3pt,Jump Shot,[],1629001,35.167542706964525,42.15686274509804,1610612755,25,18,2023-12-02T00:57:13Z,800000,False,39.0,278.0,1,left,MISS D. Melton 28' step back 3PT,[1629001],1610612755.0,PHI,step back,,,,,,Above the Break 3,24+ Center,,Melton,D. Melton,,,28.08,Missed,,,,,,,,,,,,,,,
82,PT05M45.00S,2023-12-02T00:56:05.3Z,1,REGULAR,rebound,offensive,[],1629001,,,1610612755,25,18,2023-12-02T00:56:11Z,810000,False,,,0,,D. Melton REBOUND (Off:1 Def:0),[1629001],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,,Melton,D. Melton,,,,,,,,,81.0,1.0,0.0,1.0,,,,,,,
