actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,turnoverTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
88,PT05M14.00S,2024-02-04T23:24:19.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628379,81.553876478318,92.40196078431373,1610612763,22,11,2024-02-04T23:26:27Z,870000,False,212.0,121.0,1,right,MISS L. Kennard 24' running 3PT,[1628379],1610612763.0,MEM,running,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,24.41,,,,,,,,,,
89,PT05M13.00S,2024-02-04T23:24:20.9Z,1,REGULAR,rebound,offensive,[],1641787,,,1610612763,22,11,2024-02-04T23:24:34Z,880000,False,,,0,,T. Evbuomwan REBOUND (Off:2 Def:3),[1641787],1610612763.0,MEM,,,,Evbuomwan,T. Evbuomwan,,,,,Above the Break 3,24+ Right Center,,,,,,,88.0,,,,5.0,3.0,2.0,,,,,,,
90,PT05M13.00S,2024-02-04T23:24:24.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641787,92.72339027595268,43.38235294117647,1610612763,22,11,2024-02-04T23:26:41Z,890000,False,-33.0,16.0,1,right,MISS T. Evbuomwan putback Layup,[1641787],1610612763.0,MEM,putback,,,Evbuomwan,T. Evbuomwan,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,3.67,,,,,,,,,,
91,PT05M12.00S,2024-02-04T23:24:25.2Z,1,REGULAR,rebound,offensive,[],1641787,,,1610612763,22,11,2024-02-04T23:24:52Z,900000,False,,,0,,T. Evbuomwan REBOUND (Off:3 Def:3),[1641787],1610612763.0,MEM,,,,Evbuomwan,T. Evbuomwan,,,,,Restricted Area,0-8 Center,,,,,,,90.0,,,,6.0,3.0,3.0,,,,,,,
92,PT05M10.00S,2024-02-04T23:24:26.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641787,92.59198423127464,43.872549019607845,1610612763,22,11,2024-02-04T23:27:08Z,910000,False,-31.0,17.0,1,right,MISS T. Evbuomwan putback Layup - blocked,"[1641787, 204001]",1610612763.0,MEM,putback,,,Evbuomwan,T. Evbuomwan,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,3.51,,,,,,,,,Porzingis,204001.0
93,PT05M10.00S,2024-02-04T23:24:26.2Z,1,REGULAR,block,,[],204001,,,1610612763,22,11,2024-02-04T23:24:28Z,920000,False,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
94,PT05M09.00S,2024-02-04T23:24:27.2Z,1,REGULAR,rebound,offensive,[],1631223,,,1610612763,22,11,2024-02-04T23:25:19Z,930000,False,,,0,,D. Roddy REBOUND (Off:1 Def:1),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,,,,,,,92.0,,,,2.0,1.0,1.0,,,,,,,
95,PT05M06.00S,2024-02-04T23:24:29.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631223,93.38042049934296,49.754901960784316,1610612763,22,13,2024-02-04T23:25:32Z,940000,False,-1.0,10.0,1,right,D. Roddy putback Layup (6 PTS),[1631223],1610612763.0,MEM,putback,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,,,,,,Made,,6.0,,0.98,,,,,,,,,,
96,PT04M51.00S,2024-02-04T23:24:41.7Z,1,REGULAR,3pt,Jump Shot,[],1630573,28.991458607095925,82.1078431372549,1610612738,22,13,2024-02-04T23:25:34Z,950000,False,-161.0,220.0,1,left,MISS S. Hauser 27' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,27.23,,,,,,,,,,
97,PT04M51.00S,2024-02-04T23:24:41.7Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,22,13,2024-02-04T23:25:34Z,960000,False,,,0,,J. Tatum REBOUND (Off:1 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,96.0,,,,5.0,4.0,1.0,,,,,,,
98,PT04M46.00S,2024-02-04T23:24:47.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628369,8.229303547963205,50.0,1610612738,24,13,2024-02-04T23:25:38Z,970000,False,0.0,25.0,1,left,J. Tatum driving DUNK (6 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,Made,,6.0,,2.49,,,,,,,,,,
100,PT04M34.00S,2024-02-04T23:25:04.8Z,1,REGULAR,substitution,out,[],201143,,,1610612763,24,13,2024-02-04T23:25:11Z,990000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M34.00S,2024-02-04T23:25:04.8Z,1,REGULAR,substitution,out,[],1631367,,,1610612763,24,13,2024-02-04T23:25:11Z,1000000,False,,,0,,SUB out: J. Gilyard,[1631367],1610612763.0,MEM,,,,Gilyard,J. Gilyard,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M34.00S,2024-02-04T23:25:04.8Z,1,REGULAR,substitution,out,[],1628379,,,1610612763,24,13,2024-02-04T23:25:11Z,1010000,False,,,0,,SUB out: L. Kennard,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M34.00S,2024-02-04T23:25:04.8Z,1,REGULAR,substitution,in,[],1628436,,,1610612763,24,13,2024-02-04T23:25:11Z,1020000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M34.00S,2024-02-04T23:25:04.8Z,1,REGULAR,substitution,in,[],1630590,,,1610612763,24,13,2024-02-04T23:25:11Z,1030000,False,,,0,,SUB in: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M34.00S,2024-02-04T23:25:04.8Z,1,REGULAR,substitution,in,[],1630562,,,1610612763,24,13,2024-02-04T23:25:11Z,1040000,False,,,0,,SUB in: M. Hurt,[1630562],1610612763.0,MEM,,,,Hurt,M. Hurt,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M25.00S,2024-02-04T23:25:29.1Z,1,REGULAR,3pt,Jump Shot,[],1641787,85.75886990801577,94.6078431372549,1610612763,24,13,2024-02-04T23:25:40Z,1050000,False,223.0,81.0,1,right,MISS T. Evbuomwan 3PT,[1641787],1610612763.0,MEM,,,,Evbuomwan,T. Evbuomwan,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,23.74,,,,,,,,,,
107,PT04M25.00S,2024-02-04T23:25:29.1Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,24,13,2024-02-04T23:25:40Z,1060000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Right Corner 3,24+ Right,,,,,,,106.0,,,,1.0,1.0,0.0,,,,,,,
108,PT04M11.00S,2024-02-04T23:25:42.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,10.068988173455978,39.950980392156865,1610612738,24,13,2024-02-04T23:29:33Z,1070000,False,50.0,42.0,1,left,MISS J. Tatum 6' cutting Layup - blocked,"[1628369, 1630562]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,6.55,,,,,,,,,Hurt,1630562.0
109,PT04M11.00S,2024-02-04T23:25:42.3Z,1,REGULAR,block,,[],1630562,,,1610612738,24,13,2024-02-04T23:25:45Z,1080000,False,,,0,,M. Hurt BLOCK (1 BLK),[1630562],1610612763.0,MEM,,,,Hurt,M. Hurt,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
110,PT04M09.00S,2024-02-04T23:25:44.3Z,1,REGULAR,rebound,defensive,[],1630590,,,1610612763,24,13,2024-02-04T23:25:53Z,1090000,False,,,0,,S. Pippen Jr. REBOUND (Off:0 Def:1),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,108.0,,,,1.0,1.0,0.0,,,,,,,
111,PT04M09.00S,2024-02-04T23:25:49.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641713,69.99014454664915,73.77450980392157,1610612763,24,13,2024-02-04T23:29:53Z,1100000,False,119.0,230.0,1,right,MISS G. Jackson 25' running 3PT,[1641713],1610612763.0,MEM,running,,,Jackson,G. Jackson,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,25.86,,,,,,,,,,
112,PT04M08.00S,2024-02-04T23:25:50.5Z,1,REGULAR,rebound,offensive,[],1630562,,,1610612763,24,13,2024-02-04T23:29:21Z,1110000,False,,,0,,M. Hurt REBOUND (Off:1 Def:0),[1630562],1610612763.0,MEM,,,,Hurt,M. Hurt,,,,,Above the Break 3,24+ Right Center,,,,,,,111.0,,,,1.0,0.0,1.0,,,,,,,
130,PT04M08.00S,2024-02-04T23:25:52.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630562,93.77463863337714,52.20588235294118,1610612763,24,13,2024-02-04T23:29:02Z,1115000,False,11.0,6.0,1,right,MISS M. Hurt tip Layup,[1630562],1610612763.0,MEM,tip,,,Hurt,M. Hurt,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,1.25,,,,,,,,,,
131,PT04M06.00S,2024-02-04T23:25:54.7Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,24,13,2024-02-04T23:29:15Z,1117500,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,,,,,,,130.0,,,,1.0,1.0,0.0,,,,,,,
113,PT03M57.00S,2024-02-04T23:25:55.9Z,1,REGULAR,3pt,Jump Shot,[],1628369,33.98488830486202,54.166666666666664,1610612738,24,13,2024-02-04T23:30:44Z,1120000,False,-21.0,267.0,1,left,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,26.78,,,,,,,,,,
114,PT03M54.00S,2024-02-04T23:25:58.9Z,1,REGULAR,rebound,offensive,[],1628436,,,1610612738,24,13,2024-02-04T23:30:44Z,1130000,False,,,0,,L. Kornet REBOUND (Off:1 Def:0),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Above the Break 3,24+ Center,,,,,,,113.0,,,,1.0,0.0,1.0,,,,,,,
115,PT03M44.00S,2024-02-04T23:26:09.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,8.886333771353483,56.61764705882353,1610612738,24,13,2024-02-04T23:26:13Z,1140000,False,-33.0,31.0,1,left,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,4.53,,,,,,,,,,
116,PT03M42.00S,2024-02-04T23:26:11.7Z,1,REGULAR,rebound,defensive,[],1631223,,,1610612763,24,13,2024-02-04T23:26:13Z,1150000,False,,,0,,D. Roddy REBOUND (Off:1 Def:2),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,115.0,,,,3.0,2.0,1.0,,,,,,,
117,PT03M37.00S,2024-02-04T23:26:15.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641713,92.46057818659659,44.6078431372549,1610612763,24,13,2024-02-04T23:26:22Z,1160000,False,-27.0,18.0,1,right,MISS G. Jackson running Layup - blocked,"[1641713, 1628401]",1610612763.0,MEM,running,,,Jackson,G. Jackson,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,3.27,,,,,,,,,White,1628401.0
121,PT03M37.00S,2024-02-04T23:26:15.7Z,1,REGULAR,block,,[],1628401,,,1610612763,24,13,2024-02-04T23:32:31Z,1165000,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
118,PT03M36.00S,2024-02-04T23:26:16.7Z,1,REGULAR,rebound,offensive,[],1641787,,,1610612763,24,13,2024-02-04T23:26:28Z,1170000,False,,,0,,T. Evbuomwan REBOUND (Off:4 Def:3),[1641787],1610612763.0,MEM,,,,Evbuomwan,T. Evbuomwan,,,,,Restricted Area,0-8 Center,,,,,,,117.0,,,,7.0,3.0,4.0,,,,,,,
119,PT03M35.00S,2024-02-04T23:26:18.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630590,69.33311432325887,74.26470588235294,1610612763,24,16,2024-02-04T23:26:25Z,1180000,False,121.0,236.0,1,right,S. Pippen Jr. 26' 3PT  (3 PTS) (T. Evbuomwan 1 AST),"[1630590, 1641787]",1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,Made,,3.0,,26.52,,,,T. Evbuomwan,1641787.0,1.0,,,,
122,PT03M22.00S,2024-02-04T23:26:31.1Z,1,REGULAR,3pt,Jump Shot,[],204001,26.49474375821288,90.19607843137256,1610612738,24,16,2024-02-04T23:26:35Z,1200000,False,-201.0,197.0,1,left,MISS K. Porzingis 28' 3PT,[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,28.12,,,,,,,,,,
123,PT03M20.00S,2024-02-04T23:26:33.1Z,1,REGULAR,rebound,defensive,[],1641713,,,1610612763,24,16,2024-02-04T23:26:35Z,1210000,False,,,0,,G. Jackson REBOUND (Off:1 Def:1),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Above the Break 3,24+ Left Center,,,,,,,122.0,,,,2.0,1.0,1.0,,,,,,,
124,PT03M07.00S,2024-02-04T23:26:46.9Z,1,REGULAR,3pt,Jump Shot,[],1630562,75.64060446780552,87.99019607843137,1610612763,24,16,2024-02-04T23:26:52Z,1220000,False,190.0,176.0,1,right,MISS M. Hurt 25' 3PT,[1630562],1610612763.0,MEM,,,,Hurt,M. Hurt,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,25.93,,,,,,,,,,
125,PT03M05.00S,2024-02-04T23:26:48.9Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,24,16,2024-02-04T23:26:52Z,1230000,False,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,124.0,,,,2.0,2.0,0.0,,,,,,,
126,PT02M57.00S,2024-02-04T23:26:56.4Z,1,REGULAR,3pt,Jump Shot,[],1628401,32.40801576872536,73.0392156862745,1610612738,24,16,2024-02-04T23:27:02Z,1240000,False,-115.0,252.0,1,left,MISS D. White 27' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,27.72,,,,,,,,,,
127,PT02M55.00S,2024-02-04T23:26:58.4Z,1,REGULAR,rebound,defensive,[],1630590,,,1610612763,24,16,2024-02-04T23:27:02Z,1250000,False,,,0,,S. Pippen Jr. REBOUND (Off:0 Def:2),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,126.0,,,,2.0,2.0,0.0,,,,,,,
128,PT02M51.00S,2024-02-04T23:27:06.4Z,1,REGULAR,turnover,out-of-bounds,[],1641713,,,1610612763,24,16,2024-02-04T23:27:12Z,1260000,False,,,0,,G. Jackson step out-of-bounds TURNOVER (2 TO),[1641713],1610612763.0,MEM,step,,,Jackson,G. Jackson,,,,,Right Corner 3,24+ Right,202053.0,,,,,,,,2.0,,,,,,,,,,,
129,PT02M51.00S,2024-02-04T23:27:15.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,24,16,2024-02-04T23:27:15Z,1270000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M51.00S,2024-02-04T23:29:44.7Z,1,REGULAR,substitution,out,[],204001,,,1610612738,24,16,2024-02-04T23:29:56Z,1280000,False,,,0,,SUB out: K. Porzingis,[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M51.00S,2024-02-04T23:29:44.7Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,24,16,2024-02-04T23:29:56Z,1290000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M51.00S,2024-02-04T23:29:44.7Z,1,REGULAR,substitution,in,[],201950,,,1610612738,24,16,2024-02-04T23:29:56Z,1300000,False,,,0,,SUB in: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M51.00S,2024-02-04T23:29:44.7Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,24,16,2024-02-04T23:29:56Z,1310000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M40.00S,2024-02-04T23:30:10.6Z,1,REGULAR,turnover,bad pass,[],201950,,,1610612738,24,16,2024-02-04T23:30:21Z,1320000,False,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[201950, 1630590]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,,,,,,,,,1.0,,,,,,,,Pippen Jr.,1630590.0,,
137,PT02M40.00S,2024-02-04T23:30:10.6Z,1,REGULAR,steal,,[],1630590,,,1610612763,24,16,2024-02-04T23:30:12Z,1330000,False,,,0,,S. Pippen Jr. STEAL (1 STL),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
138,PT02M28.00S,2024-02-04T23:30:22.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641713,92.32917214191852,48.28431372549019,1610612763,24,18,2024-02-04T23:30:27Z,1340000,False,-9.0,20.0,1,right,G. Jackson driving Layup (5 PTS),[1641713],1610612763.0,MEM,driving,,,Jackson,G. Jackson,,,,,Restricted Area,0-8 Center,,,,,,Made,,5.0,,2.14,,,,,,,,,,
139,PT02M12.00S,2024-02-04T23:30:38.5Z,1,REGULAR,2pt,Jump Shot,[],201950,8.623521681997373,74.01960784313727,1610612738,24,18,2024-02-04T23:30:46Z,1350000,False,-120.0,29.0,1,left,MISS J. Holiday 12' turnaround Shot,[201950],1610612738.0,BOS,turnaround,,,Holiday,J. Holiday,,,,,Mid-Range,8-16 Left,,,,,,Missed,,,,12.35,,,,,,,,,,
140,PT02M11.00S,2024-02-04T23:30:39.5Z,1,REGULAR,rebound,defensive,[],1631223,,,1610612763,24,18,2024-02-04T23:30:46Z,1360000,False,,,0,,D. Roddy REBOUND (Off:1 Def:3),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Mid-Range,8-16 Left,,,,,,,139.0,,,,4.0,3.0,1.0,,,,,,,
141,PT01M57.00S,2024-02-04T23:30:53.7Z,1,REGULAR,2pt,Jump Shot,[],1630562,93.42969776609723,8.356311274509803,1610612763,24,20,2024-02-04T23:31:01Z,1370000,False,-208.0,9.0,1,right,M. Hurt 20' Jump Shot (2 PTS) (S. Pippen Jr. 1 AST),"[1630562, 1630590]",1610612763.0,MEM,,,,Hurt,M. Hurt,,,,,Mid-Range,16-24 Left,,,,,,Made,,2.0,,20.84,,,,S. Pippen Jr.,1630590.0,1.0,,,,
143,PT01M37.00S,2024-02-04T23:31:13.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,10.726018396846255,3.1862745098039214,1610612738,27,20,2024-02-04T23:31:19Z,1390000,False,234.0,48.0,1,left,J. Tatum 3PT  (9 PTS) (S. Hauser 1 AST),"[1628369, 1630573]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Right Corner 3,24+ Right,,,,,,Made,,9.0,,23.9,,,,S. Hauser,1630573.0,1.0,,,,
145,PT01M19.00S,2024-02-04T23:31:30.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641787,91.93495400788436,45.34313725490196,1610612763,27,20,2024-02-04T23:31:34Z,1410000,False,-23.0,23.0,1,right,MISS T. Evbuomwan driving Layup,[1641787],1610612763.0,MEM,driving,,,Evbuomwan,T. Evbuomwan,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,3.3,,,,,,,,,,
146,PT01M17.00S,2024-02-04T23:31:32.9Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,27,20,2024-02-04T23:31:34Z,1420000,False,,,0,,J. Holiday REBOUND (Off:0 Def:2),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,,145.0,,,,2.0,2.0,0.0,,,,,,,
147,PT01M07.00S,2024-02-04T23:31:45.0Z,1,REGULAR,foul,personal,['2freethrow'],1630590,,,1610612738,27,20,2024-02-04T23:31:57Z,1430000,False,,,0,,S. Pippen Jr. shooting personal FOUL (1 PF) (Tatum 2 FT),"[1630590, 1628369]",1610612763.0,MEM,shooting,,,Pippen Jr.,S. Pippen Jr.,,,,,Mid-Range,8-16 Right,2003.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
149,PT01M07.00S,2024-02-04T23:32:08.3Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,28,20,2024-02-04T23:32:08Z,1450000,False,,,0,,J. Tatum Free Throw 1 of 2 (10 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,Made,,10.0,,,,,,,,,,,,
150,PT01M07.00S,2024-02-04T23:32:09.5Z,1,REGULAR,substitution,out,[],1631223,,,1610612738,28,20,2024-02-04T23:32:14Z,1460000,False,,,0,,SUB out: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT01M07.00S,2024-02-04T23:32:09.5Z,1,REGULAR,substitution,in,[],1631367,,,1610612738,28,20,2024-02-04T23:32:14Z,1470000,False,,,0,,SUB in: J. Gilyard,[1631367],1610612763.0,MEM,,,,Gilyard,J. Gilyard,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT01M07.00S,2024-02-04T23:32:27.2Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,29,20,2024-02-04T23:32:27Z,1480000,False,,,0,,J. Tatum Free Throw 2 of 2 (11 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,Made,,11.0,,,,,,,,,,,,
153,PT00M47.60S,2024-02-04T23:32:48.0Z,1,REGULAR,3pt,Jump Shot,[],1631367,89.04402102496715,96.81372549019608,1610612763,29,20,2024-02-04T23:32:53Z,1490000,False,234.0,50.0,1,right,MISS J. Gilyard 3PT,[1631367],1610612763.0,MEM,,,,Gilyard,J. Gilyard,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,23.95,,,,,,,,,,
154,PT00M45.20S,2024-02-04T23:32:50.4Z,1,REGULAR,rebound,offensive,[],1641787,,,1610612763,29,20,2024-02-04T23:32:53Z,1500000,False,,,0,,T. Evbuomwan REBOUND (Off:5 Def:3),[1641787],1610612763.0,MEM,,,,Evbuomwan,T. Evbuomwan,,,,,Right Corner 3,24+ Right,,,,,,,153.0,,,,8.0,3.0,5.0,,,,,,,
155,PT00M41.30S,2024-02-04T23:32:55.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630590,87.33574244415243,43.872549019607845,1610612763,29,20,2024-02-04T23:37:48Z,1510000,False,-31.0,67.0,1,right,MISS S. Pippen Jr. 7' driving floating Shot,[1630590],1610612763.0,MEM,driving floating,,,Pippen Jr.,S. Pippen Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,7.32,,,,,,,,,,
156,PT00M38.30S,2024-02-04T23:32:58.0Z,1,REGULAR,rebound,offensive,[],1641787,,,1610612763,29,20,2024-02-04T23:33:02Z,1520000,False,,,0,,T. Evbuomwan REBOUND (Off:6 Def:3),[1641787],1610612763.0,MEM,,,,Evbuomwan,T. Evbuomwan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,155.0,,,,9.0,3.0,6.0,,,,,,,
157,PT00M35.70S,2024-02-04T23:33:00.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641713,62.63140604467805,18.137254901960784,1610612763,29,20,2024-02-04T23:33:07Z,1530000,False,-159.0,299.0,1,right,MISS G. Jackson 33' 3PT,[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,33.86,,,,,,,,,,
158,PT00M33.80S,2024-02-04T23:33:02.4Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,29,20,2024-02-04T23:33:07Z,1540000,False,,,0,,S. Hauser REBOUND (Off:0 Def:2),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,,,,,,,157.0,,,,2.0,2.0,0.0,,,,,,,
159,PT00M18.20S,2024-02-04T23:33:18.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,31.09395532194481,27.205882352941174,1610612738,29,20,2024-02-04T23:33:26Z,1550000,False,114.0,240.0,1,left,MISS J. Tatum 26' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,26.55,,,,,,,,,,
160,PT00M16.20S,2024-02-04T23:33:20.0Z,1,REGULAR,rebound,defensive,[],1630590,,,1610612763,29,20,2024-02-04T23:33:26Z,1560000,False,,,0,,S. Pippen Jr. REBOUND (Off:0 Def:3),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,159.0,,,,3.0,3.0,0.0,,,,,,,
161,PT00M07.60S,2024-02-04T23:33:30.6Z,1,REGULAR,foul,personal,[],201950,,,1610612763,29,20,2024-02-04T23:33:47Z,1570000,False,,,0,,J. Holiday take personal FOUL (1 PF),"[201950, 1630590]",1610612738.0,BOS,take,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,1162.0,1.0,0.0,Pippen Jr.,1630590.0,,,,,,,,,,,,,,,
