actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
18,PT10M18.00S,2023-12-09T00:42:27.8Z,1,REGULAR,3pt,Jump Shot,[],204001,67.49342969776609,18.137254901960784,1610612738,8,5,2023-12-09T00:42:31Z,180000,False,-159.0,253.0,1,right,K. Porzingis 29' 3PT  (8 PTS) (J. Brown 1 AST),"[204001, 1627759]",1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,29.91,Made,,8.0,,,,J. Brown,1627759.0,1.0,,,,,,,,,,
20,PT09M51.00S,2023-12-09T00:42:55.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629011,6.438896189224705,45.653339460784316,1610612752,8,7,2023-12-09T00:46:23Z,200000,False,22.0,8.0,1,left,M. Robinson cutting DUNK (2 PTS) (R. Barrett 2 AST),"[1629011, 1629628]",1610612752.0,NYK,cutting,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,2.31,Made,,2.0,,,,R. Barrett,1629628.0,2.0,,,,,,,,,,
22,PT09M41.00S,2023-12-09T00:43:05.6Z,1,REGULAR,3pt,Jump Shot,[],1628401,93.11760840998686,95.58823529411765,1610612738,11,7,2023-12-09T00:43:09Z,220000,False,228.0,12.0,1,right,D. White 3PT  (3 PTS) (J. Holiday 1 AST),"[1628401, 201950]",1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,22.82,Made,,3.0,,,,J. Holiday,201950.0,1.0,,,,,,,,,,
24,PT09M33.00S,2023-12-09T00:43:18.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,11,7,2023-12-09T00:43:18Z,240000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M26.00S,2023-12-09T00:46:15.3Z,1,REGULAR,2pt,Jump Shot,[],1628973,12.614980289093298,74.5327818627451,1610612752,11,9,2023-12-09T00:46:42Z,250000,False,-123.0,66.0,1,left,J. Brunson 13' pullup Jump Shot (2 PTS) (M. Robinson 1 AST),"[1628973, 1629011]",1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Left,13.94,Made,,2.0,,,,M. Robinson,1629011.0,1.0,,,,,,,,,,
27,PT09M12.00S,2023-12-09T00:46:36.8Z,1,REGULAR,foul,technical,['1freethrow'],203944,,,1610612738,11,9,2023-12-09T00:46:45Z,270000,False,,,0,,J. Randle defensive-3-second technical FOUL (1 Tech),[203944],1610612752.0,NYK,defensive-3-second,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1151.0,0.0,1.0,,,,,,,
28,PT09M12.00S,2023-12-09T00:46:51.5Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,11,9,2023-12-09T00:46:51Z,280000,False,,,0,,MISS J. Tatum technical Free Throw 1 of 1,[1628369],1610612738.0,BOS,technical,,,Tatum,J. Tatum,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
29,PT09M12.00S,2023-12-09T00:46:51.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,11,9,2023-12-09T00:46:51Z,290000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,
30,PT09M05.00S,2023-12-09T00:47:10.0Z,1,REGULAR,turnover,lost ball,[],201950,,,1610612738,11,9,2023-12-09T00:47:14Z,300000,False,,,0,,J. Holiday lost ball TURNOVER (1 TO),"[201950, 1629628]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,1.0,Barrett,1629628.0,,,,
31,PT09M05.00S,2023-12-09T00:47:10.0Z,1,REGULAR,steal,,[],1629628,,,1610612752,11,9,2023-12-09T00:47:11Z,310000,False,,,0,,R. Barrett STEAL (1 STL),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
32,PT08M58.00S,2023-12-09T00:47:17.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629628,7.095926412614981,53.18244485294118,1610612752,11,9,2023-12-09T00:47:29Z,320000,False,-16.0,14.0,1,left,MISS R. Barrett running Layup,[1629628],1610612752.0,NYK,running,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,2.13,Missed,,,,,,,,,,,,,,,,,,
33,PT08M57.00S,2023-12-09T00:47:18.0Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,11,9,2023-12-09T00:47:29Z,330000,False,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,32.0,,1.0,0.0,1.0,,,,,,,,,,,,,
34,PT08M57.00S,2023-12-09T00:47:21.4Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1629011,5.590000152587891,50.0,1610612752,11,11,2023-12-09T00:47:35Z,340000,False,0.0,0.0,1,left,M. Robinson tip DUNK (4 PTS),[1629011],1610612752.0,NYK,tip,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,0.0,Made,,4.0,,,,,,,,,,,,,,,,
35,PT08M41.00S,2023-12-09T00:47:34.5Z,1,REGULAR,turnover,bad pass,[],204001,,,1610612738,11,11,2023-12-09T00:47:37Z,350000,False,,,0,,K. Porzingis bad pass TURNOVER (1 TO),"[204001, 1629011]",1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1.0,Robinson,1629011.0,,,,
36,PT08M41.00S,2023-12-09T00:47:34.5Z,1,REGULAR,steal,,[],1629011,,,1610612752,11,11,2023-12-09T00:47:36Z,360000,False,,,0,,M. Robinson STEAL (1 STL),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
37,PT08M37.00S,2023-12-09T00:47:43.4Z,1,REGULAR,foul,offensive,[],203944,,,1610612752,11,11,2023-12-09T00:47:49Z,370000,False,,,0,,J. Randle charge offensive FOUL (1 PF),"[203944, 201950]",1610612752.0,NYK,charge,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,200834.0,1.0,1.0,,,,Holiday,201950.0,,
39,PT08M37.00S,2023-12-09T00:47:43.4Z,1,REGULAR,turnover,offensive foul,[],203944,,,1610612752,11,11,2023-12-09T00:47:43Z,390000,False,,,0,,J. Randle offensive foul TURNOVER (1 TO),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,200834.0,,,1.0,,,,,,
40,PT08M28.00S,2023-12-09T00:48:01.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,74.45795006570303,80.88235294117648,1610612738,14,11,2023-12-09T00:48:05Z,400000,False,154.0,188.0,1,right,J. Brown 24' 3PT  (3 PTS) (J. Tatum 2 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,24.3,Made,,3.0,,,,J. Tatum,1628369.0,2.0,,,,,,,,,,
42,PT08M13.00S,2023-12-09T00:48:16.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,19.92444152431012,42.40196078431372,1610612752,14,13,2023-12-09T00:48:33Z,420000,False,38.0,135.0,1,left,J. Randle 14' turnaround Jump Shot (4 PTS),[203944],1610612752.0,NYK,turnaround,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,14.01,Made,,4.0,,,,,,,,,,,,,,,,
43,PT08M01.00S,2023-12-09T00:48:27.8Z,1,REGULAR,3pt,Jump Shot,[],1628401,74.06373193166885,15.931372549019606,1610612738,17,13,2023-12-09T00:48:49Z,430000,False,-170.0,191.0,1,right,D. White 25' 3PT pullup (6 PTS),[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Left Center,25.61,Made,,6.0,,,,,,,,,,,,,,,,
44,PT07M46.00S,2023-12-09T00:48:43.3Z,1,REGULAR,turnover,lost ball,[],203944,,,1610612752,17,13,2023-12-09T00:48:51Z,440000,False,,,0,,J. Randle lost ball TURNOVER (2 TO),"[203944, 1628401]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,2.0,White,1628401.0,,,,
45,PT07M46.00S,2023-12-09T00:48:43.3Z,1,REGULAR,steal,,[],1628401,,,1610612738,17,13,2023-12-09T00:48:45Z,450000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
46,PT07M41.00S,2023-12-09T00:48:48.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627759,92.32917214191852,47.05882352941176,1610612738,17,13,2023-12-09T00:49:43Z,460000,False,-15.0,20.0,1,right,MISS J. Brown running reverse Layup,[1627759],1610612738.0,BOS,running reverse,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
47,PT07M40.00S,2023-12-09T00:48:49.9Z,1,REGULAR,rebound,offensive,[],204001,,,1610612738,17,13,2023-12-09T00:49:01Z,470000,False,,,0,,K. Porzingis REBOUND (Off:1 Def:0),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,,,46.0,,1.0,0.0,1.0,,,,,,,,,,,,,
48,PT07M40.00S,2023-12-09T00:48:52.7Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",204001,94.40999984741211,50.0,1610612738,19,13,2023-12-09T00:49:22Z,480000,False,0.0,0.0,1,right,K. Porzingis tip DUNK (10 PTS),[204001],1610612738.0,BOS,tip,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,0.0,Made,,10.0,,,,,,,,,,,,,,,,
49,PT07M31.00S,2023-12-09T00:48:58.6Z,1,REGULAR,3pt,Jump Shot,[],1628973,32.14520367936925,22.794117647058822,1610612752,19,13,2023-12-09T00:49:06Z,490000,False,136.0,250.0,1,left,MISS J. Brunson 28' 3PT,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,28.43,Missed,,,,,,,,,,,,,,,,,,
50,PT07M31.00S,2023-12-09T00:48:58.6Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,19,13,2023-12-09T00:49:06Z,500000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,,,49.0,,1.0,1.0,0.0,,,,,,,,,,,,,
51,PT07M20.00S,2023-12-09T00:49:09.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,92.06636005256242,45.588235294117645,1610612738,21,13,2023-12-09T00:49:19Z,510000,False,-22.0,22.0,1,right,J. Holiday driving Layup (2 PTS),[201950],1610612738.0,BOS,driving,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,3.13,Made,,2.0,,,,,,,,,,,,,,,,
52,PT07M08.00S,2023-12-09T00:49:26.9Z,1,REGULAR,foul,personal,[],201950,,,1610612752,21,13,2023-12-09T00:49:53Z,520000,False,,,0,,J. Holiday personal FOUL (1 PF),"[201950, 1628973]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1151.0,1.0,0.0,,,,Brunson,1628973.0,,
54,PT07M02.00S,2023-12-09T00:49:49.0Z,1,REGULAR,3pt,Jump Shot,[],1629628,27.414586070959263,11.519607843137255,1610612752,21,13,2023-12-09T00:50:00Z,540000,False,192.0,205.0,1,left,MISS R. Barrett 28' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,28.13,Missed,,,,,,,,,,,,,,,,,,
55,PT07M01.00S,2023-12-09T00:49:50.0Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,21,13,2023-12-09T00:50:00Z,550000,False,,,0,,M. Robinson REBOUND (Off:2 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Above the Break 3,24+ Right Center,,,54.0,,2.0,0.0,2.0,,,,,,,,,,,,,
56,PT07M01.00S,2023-12-09T00:49:54.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629011,5.590000152587891,50.0,1610612752,21,15,2023-12-09T00:51:04Z,560000,False,0.0,0.0,1,left,M. Robinson tip Layup (6 PTS),[1629011],1610612752.0,NYK,tip,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,0.0,Made,,6.0,,,,,,,,,,,,,,,,
57,PT06M52.00S,2023-12-09T00:49:58.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,71.56701708278581,75.49019607843137,1610612738,21,15,2023-12-09T00:51:31Z,570000,False,127.0,215.0,1,right,MISS J. Brown 24' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,24.98,Missed,,,,,,,,,,,,,,,,,,
58,PT06M51.00S,2023-12-09T00:49:59.3Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,21,15,2023-12-09T00:50:07Z,580000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,57.0,,1.0,1.0,0.0,,,,,,,,,,,,,
59,PT06M36.00S,2023-12-09T00:50:14.6Z,1,REGULAR,3pt,Jump Shot,[],1628978,33.98488830486202,24.264705882352942,1610612752,21,15,2023-12-09T00:50:21Z,590000,False,129.0,267.0,1,left,MISS D. DiVincenzo 29' 3PT,[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,29.64,Missed,,,,,,,,,,,,,,,,,,
60,PT06M35.00S,2023-12-09T00:50:15.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,21,15,2023-12-09T00:50:21Z,600000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,59.0,,1.0,1.0,0.0,,,,,,,,,,,,,
61,PT06M25.00S,2023-12-09T00:50:25.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,90.62089356110381,43.38235294117647,1610612738,21,15,2023-12-09T00:50:39Z,610000,False,-33.0,36.0,1,right,MISS D. White driving Layup,[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,4.87,Missed,,,,,,,,,,,,,,,,,,
62,PT06M24.00S,2023-12-09T00:50:26.2Z,1,REGULAR,rebound,offensive,[],1628401,,,1610612738,21,15,2023-12-09T00:50:39Z,620000,False,,,0,,D. White REBOUND (Off:1 Def:0),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,61.0,,1.0,0.0,1.0,,,,,,,,,,,,,
63,PT06M20.00S,2023-12-09T00:50:30.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627759,89.30683311432325,96.81372549019608,1610612738,21,15,2023-12-09T00:50:45Z,630000,False,234.0,48.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Right Corner 3,24+ Right,23.9,Missed,,,,,,,,,,,,,,,,,,
64,PT06M19.00S,2023-12-09T00:50:31.6Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,21,15,2023-12-09T00:50:45Z,640000,False,,,0,,M. Robinson REBOUND (Off:2 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Right Corner 3,24+ Right,,,63.0,,3.0,1.0,2.0,,,,,,,,,,,,,
66,PT06M13.00S,2023-12-09T00:50:39.1Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612752,21,15,2023-12-09T00:50:49Z,650000,False,,,0,,J. Tatum shooting personal FOUL (1 PF) (Barrett 2 FT),"[1628369, 1629628]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,200834.0,1.0,0.0,,,,Barrett,1629628.0,,
68,PT06M13.00S,2023-12-09T00:51:10.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629628,,,1610612752,21,16,2023-12-09T00:51:10Z,670000,False,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,Made,,1.0,,,,,,,,,,,,,,,,
69,PT06M13.00S,2023-12-09T00:51:11.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612752,21,16,2023-12-09T00:51:24Z,680000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M13.00S,2023-12-09T00:51:11.2Z,1,REGULAR,substitution,out,[],201950,,,1610612752,21,16,2023-12-09T00:51:24Z,690000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M13.00S,2023-12-09T00:51:11.2Z,1,REGULAR,substitution,in,[],1630573,,,1610612752,21,16,2023-12-09T00:51:24Z,700000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M13.00S,2023-12-09T00:51:11.2Z,1,REGULAR,substitution,in,[],201143,,,1610612752,21,16,2023-12-09T00:51:24Z,710000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M13.00S,2023-12-09T00:51:10.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629628,,,1610612752,21,17,2023-12-09T00:54:26Z,720000,False,,,0,,R. Barrett Free Throw 2 of 2 (2 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,Made,,2.0,,,,,,,,,,,,,,,,
74,PT05M51.00S,2023-12-09T00:51:59.5Z,1,REGULAR,3pt,Jump Shot,[],1628401,66.96780551905388,57.84313725490197,1610612738,21,17,2023-12-09T00:55:33Z,730000,False,39.0,258.0,1,right,MISS D. White 26' step back 3PT,[1628401],1610612738.0,BOS,step back,,,White,D. White,,,,,Above the Break 3,24+ Center,26.1,Missed,,,,,,,,,,,,,,,,,,
75,PT05M49.00S,2023-12-09T00:52:01.5Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,21,17,2023-12-09T00:52:06Z,740000,False,,,0,,M. Robinson REBOUND (Off:2 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Above the Break 3,24+ Center,,,74.0,,4.0,2.0,2.0,,,,,,,,,,,,,
76,PT05M42.00S,2023-12-09T00:52:08.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629628,7.835085413929041,54.90196078431373,1610612752,21,19,2023-12-09T00:52:13Z,750000,False,-25.0,21.0,1,left,R. Barrett running Layup (4 PTS) (J. Brunson 1 AST),"[1629628, 1628973]",1610612752.0,NYK,running,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,3.23,Made,,4.0,,,,J. Brunson,1628973.0,1.0,,,,,,,,,,
78,PT05M28.00S,2023-12-09T00:52:21.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,89.43823915900131,36.76470588235294,1610612738,23,19,2023-12-09T00:52:32Z,770000,False,-66.0,47.0,1,right,D. White 8' driving bank Jump Shot (8 PTS) (J. Brown 2 AST),"[1628401, 1627759]",1610612738.0,BOS,driving bank,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,8.11,Made,,8.0,,,,J. Brown,1627759.0,2.0,,,,,,,,,,
80,PT05M12.00S,2023-12-09T00:52:41.3Z,1,REGULAR,foul,personal,['2freethrow'],1630573,,,1610612752,23,19,2023-12-09T00:52:49Z,790000,False,,,0,,S. Hauser shooting personal FOUL (1 PF) (Randle 2 FT),"[1630573, 203944]",1610612738.0,BOS,shooting,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1151.0,1.0,0.0,,,,Randle,203944.0,,
82,PT05M12.00S,2023-12-09T00:53:10.5Z,1,REGULAR,freethrow,1 of 2,[],203944,,,1610612752,23,20,2023-12-09T00:53:10Z,810000,False,,,0,,J. Randle Free Throw 1 of 2 (5 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,Made,,5.0,,,,,,,,,,,,,,,,
83,PT05M12.00S,2023-12-09T00:53:11.1Z,1,REGULAR,substitution,out,[],204001,,,1610612752,23,20,2023-12-09T00:53:24Z,820000,False,,,0,,SUB out: K. Porzingis,[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M12.00S,2023-12-09T00:53:11.1Z,1,REGULAR,substitution,out,[],1629628,,,1610612752,23,20,2023-12-09T00:53:24Z,830000,False,,,0,,SUB out: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M12.00S,2023-12-09T00:53:11.1Z,1,REGULAR,substitution,in,[],1630202,,,1610612752,23,20,2023-12-09T00:53:24Z,840000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M12.00S,2023-12-09T00:53:11.1Z,1,REGULAR,substitution,in,[],1628404,,,1610612752,23,20,2023-12-09T00:53:24Z,850000,False,,,0,,SUB in: J. Hart,[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,,
