actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
64,PT10M38.00S,2023-11-12T00:12:59.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,80.76544021024968,51.71568627450981,1610612761,0,3,2023-11-12T00:22:54Z,165000,False,9.0,128.0,1,right,MISS P. Siakam 12' turnaround Shot - blocked,"[1627783, 201950]",1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,12.86,Missed,,,,,,,,,,,,,Holiday,201950.0,,,,
65,PT10M38.00S,2023-11-12T00:12:59.8Z,1,REGULAR,block,,[],201950,,,1610612761,0,3,2023-11-12T00:22:54Z,167500,False,,,0,,J. Holiday BLOCK (1 BLK),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
66,PT10M34.00S,2023-11-12T00:13:03.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,0,3,2023-11-12T00:22:54Z,168750,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,64.0,,,,,,,,,,,,,
18,PT10M30.00S,2023-11-12T00:13:25.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203471,83.78777923784494,41.911764705882355,1610612761,0,3,2023-11-12T00:22:54Z,180000,False,-40.0,100.0,1,right,MISS D. Schroder 10' driving floating Shot,[203471],1610612761.0,TOR,driving floating,,,Schroder,D. Schroder,,,,,In The Paint (Non-RA),8-16 Center,10.78,Missed,,,,,,,,,,,,,,,,,,
19,PT10M27.00S,2023-11-12T00:13:28.7Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,0,3,2023-11-12T00:13:44Z,190000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT10M22.00S,2023-11-12T00:13:33.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,22.815374507227332,93.62745098039215,1610612738,0,3,2023-11-12T00:13:49Z,200000,False,-218.0,162.0,1,left,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,27.17,Missed,,,,,,,,,,,,,,,,,,
21,PT10M19.00S,2023-11-12T00:13:36.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,0,3,2023-11-12T00:13:49Z,210000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,
22,PT10M14.00S,2023-11-12T00:13:41.2Z,1,REGULAR,2pt,Jump Shot,[],1627783,79.188567674113,35.53921568627451,1610612761,0,5,2023-11-12T00:16:51Z,220000,False,-72.0,143.0,1,right,P. Siakam 16' pullup Jump Shot (2 PTS),[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Center,16.03,Made,2.0,,,,,,,,,,,,,,,,,
23,PT10M04.00S,2023-11-12T00:13:59.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],204001,9.149145860709593,52.69607843137255,1610612738,2,5,2023-11-12T00:14:24Z,230000,False,-13.0,34.0,1,left,K. Porzingis cutting DUNK (2 PTS) (J. Holiday 1 AST),"[204001, 201950]",1610612738.0,BOS,cutting,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,3.61,Made,2.0,J. Holiday,201950.0,1.0,,,,,,,,,,,,,,
24,PT10M04.00S,2023-11-12T00:14:09.0Z,1,REGULAR,foul,personal,['1freethrow'],1627751,,,1610612738,2,5,2023-11-12T00:14:16Z,240000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Porzingis 1 FT),"[1627751, 204001]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1198.0,1.0,0.0,,,,Porzingis,204001.0,,
27,PT10M04.00S,2023-11-12T00:14:33.8Z,1,REGULAR,freethrow,1 of 1,[],204001,,,1610612738,2,5,2023-11-12T00:14:46Z,260000,False,,,0,,MISS K. Porzingis Free Throw 1 of 1,[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
28,PT10M04.00S,2023-11-12T00:14:33.8Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,2,5,2023-11-12T00:14:46Z,270000,False,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,
29,PT09M47.00S,2023-11-12T00:14:48.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.64323258869908,55.14705882352941,1610612761,2,7,2023-11-12T00:14:59Z,280000,False,26.0,7.0,1,right,J. Poeltl driving Layup (4 PTS) (O. Anunoby 1 AST),"[1627751, 1628384]",1610612761.0,TOR,driving,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,2.67,Made,4.0,O. Anunoby,1628384.0,1.0,,,,,,,,,,,,,,
31,PT09M35.00S,2023-11-12T00:15:00.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,10.512483574244415,56.885723039215684,1610612738,4,7,2023-11-12T00:17:11Z,300000,False,-34.0,46.0,1,left,J. Brown driving Layup (2 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,5.77,Made,2.0,,,,,,,,,,,,,,,,,
33,PT09M22.00S,2023-11-12T00:15:32.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,90.22667542706965,61.76470588235294,1610612761,4,7,2023-11-12T00:16:08Z,320000,False,59.0,39.0,1,right,MISS P. Siakam 7' fadeaway Shot,[1627783],1610612761.0,TOR,fadeaway,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,7.08,Missed,,,,,,,,,,,,,,,,,,
34,PT09M18.00S,2023-11-12T00:15:36.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,4,7,2023-11-12T00:15:44Z,330000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,33.0,,,,,,,,,,,,,
36,PT09M04.00S,2023-11-12T00:16:02.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],204001,9.411957950065702,52.20588235294118,1610612738,6,7,2023-11-12T00:16:16Z,350000,False,-11.0,36.0,1,left,K. Porzingis DUNK (4 PTS) (D. White 1 AST),"[204001, 1628401]",1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,3.76,Made,4.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,
38,PT08M46.00S,2023-11-12T00:16:19.7Z,1,REGULAR,3pt,Jump Shot,[],1630567,71.04139290407359,21.323529411764707,1610612761,6,10,2023-11-12T00:16:25Z,370000,False,-143.0,220.0,1,right,S. Barnes 26' 3PT  (3 PTS) (D. Schroder 1 AST),"[1630567, 203471]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,26.24,Made,3.0,D. Schroder,203471.0,1.0,,,,,,,,,,,,,,
40,PT08M35.00S,2023-11-12T00:16:31.5Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,6,10,2023-11-12T00:16:39Z,390000,False,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 1630567]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,1.0,,,,,Barnes,1630567.0
41,PT08M35.00S,2023-11-12T00:16:31.5Z,1,REGULAR,steal,,[],1630567,,,1610612761,6,10,2023-11-12T00:16:33Z,400000,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
42,PT08M32.00S,2023-11-12T00:16:35.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627783,93.24901445466492,50.49019607843137,1610612761,6,12,2023-11-12T00:19:50Z,410000,False,2.0,11.0,1,right,P. Siakam running Layup (4 PTS) (S. Barnes 1 AST),"[1627783, 1630567]",1610612761.0,TOR,running,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,1.13,Made,4.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,,,
44,PT08M32.00S,2023-11-12T00:16:40.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,6,12,2023-11-12T00:16:40Z,430000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M24.00S,2023-11-12T00:19:38.9Z,1,REGULAR,3pt,Jump Shot,[],1628401,30.831143232588698,81.61764705882352,1610612738,6,12,2023-11-12T00:19:46Z,440000,False,-158.0,237.0,1,left,MISS D. White 28' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,28.51,Missed,,,,,,,,,,,,,,,,,,
49,PT08M21.00S,2023-11-12T00:19:41.9Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,6,12,2023-11-12T00:19:46Z,450000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,
50,PT08M04.00S,2023-11-12T00:19:58.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628384,80.3712220762155,35.049019607843135,1610612761,6,12,2023-11-12T00:20:07Z,460000,False,-75.0,132.0,1,right,MISS O. Anunoby 15' pullup Shot,[1628384],1610612761.0,TOR,pullup,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,15.17,Missed,,,,,,,,,,,,,,,,,,
51,PT08M01.00S,2023-11-12T00:20:01.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,12,2023-11-12T00:20:07Z,470000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,
52,PT07M49.00S,2023-11-12T00:20:14.3Z,1,REGULAR,3pt,Jump Shot,[],204001,35.29894875164258,29.65686274509804,1610612738,9,12,2023-11-12T00:20:21Z,480000,False,102.0,279.0,1,left,K. Porzingis 29' 3PT  (7 PTS) (J. Holiday 2 AST),"[204001, 201950]",1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Right Center,29.72,Made,7.0,J. Holiday,201950.0,2.0,,,,,,,,,,,,,,
54,PT07M33.00S,2023-11-12T00:20:29.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,90.88370565045992,55.88235294117647,1610612761,9,12,2023-11-12T00:20:36Z,500000,False,29.0,33.0,1,right,MISS J. Poeltl turnaround Hook,[1627751],1610612761.0,TOR,turnaround,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,4.43,Missed,,,,,,,,,,,,,,,,,,
55,PT07M29.00S,2023-11-12T00:20:33.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,9,12,2023-11-12T00:20:36Z,510000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,54.0,2.0,2.0,0.0,,,,,,,,,,
56,PT07M16.00S,2023-11-12T00:20:46.2Z,1,REGULAR,2pt,Jump Shot,[],201950,23.866622864651774,50.98039215686274,1610612738,11,12,2023-11-12T00:20:54Z,520000,False,-5.0,172.0,1,left,J. Holiday 17' pullup Jump Shot (2 PTS) (K. Porzingis 1 AST),"[201950, 204001]",1610612738.0,BOS,pullup,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Center,17.19,Made,2.0,K. Porzingis,204001.0,1.0,,,,,,,,,,,,,,
57,PT07M05.00S,2023-11-12T00:20:56.7Z,1,REGULAR,3pt,Jump Shot,[],1627783,72.27332457293035,79.43474264705883,1610612761,11,12,2023-11-12T00:21:04Z,530000,False,147.0,208.0,1,right,MISS P. Siakam 25' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,25.49,Missed,,,,,,,,,,,,,,,,,,
58,PT07M02.00S,2023-11-12T00:20:59.7Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,11,12,2023-11-12T00:21:04Z,540000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,
60,PT06M54.00S,2023-11-12T00:21:10.8Z,1,REGULAR,foul,personal,['2freethrow'],203471,,,1610612738,11,12,2023-11-12T00:21:23Z,550000,False,,,0,,D. Schroder shooting personal FOUL (1 PF) (Brown 2 FT),"[203471, 1627759]",1610612761.0,TOR,shooting,,,Schroder,D. Schroder,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1162.0,1.0,0.0,,,,Brown,1627759.0,,
63,PT06M54.00S,2023-11-12T00:22:37.7Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,12,12,2023-11-12T00:23:09Z,580000,False,,,0,,J. Brown Free Throw 1 of 2 (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
67,PT06M54.00S,2023-11-12T00:22:37.7Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,12,12,2023-11-12T00:23:09Z,590000,False,,,0,,MISS J. Brown Free Throw 2 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
68,PT06M54.00S,2023-11-12T00:22:37.7Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,12,12,2023-11-12T00:23:09Z,600000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:2),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,67.0,2.0,2.0,0.0,,,,,,,,,,
69,PT06M35.00S,2023-11-12T00:23:13.1Z,1,REGULAR,3pt,Jump Shot,[],203471,68.01905387647832,21.813725490196077,1610612761,12,12,2023-11-12T00:23:19Z,610000,False,-141.0,248.0,1,right,MISS D. Schroder 28' 3PT,[203471],1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,Above the Break 3,24+ Left Center,28.53,Missed,,,,,,,,,,,,,,,,,,
70,PT06M32.00S,2023-11-12T00:23:16.1Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,12,12,2023-11-12T00:23:19Z,620000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,,,,,,,69.0,1.0,1.0,0.0,,,,,,,,,,
71,PT06M23.00S,2023-11-12T00:23:25.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,30.436925098554536,19.852941176470587,1610612738,15,12,2023-11-12T00:23:32Z,630000,False,151.0,234.0,1,left,J. Brown 27' 3PT  (6 PTS) (D. White 2 AST),"[1627759, 1628401]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,27.8,Made,6.0,D. White,1628401.0,2.0,,,,,,,,,,,,,,
73,PT06M11.00S,2023-11-12T00:23:36.9Z,1,REGULAR,3pt,Jump Shot,[],1630567,67.73570959264126,54.741115196078425,1610612761,15,12,2023-11-12T00:23:47Z,650000,False,24.0,251.0,1,right,MISS S. Barnes 25' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,25.19,Missed,,,,,,,,,,,,,,,,,,
74,PT06M08.00S,2023-11-12T00:23:39.9Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,15,12,2023-11-12T00:23:47Z,660000,False,,,0,,P. Siakam REBOUND (Off:1 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,,,,,,,73.0,3.0,2.0,1.0,,,,,,,,,,
75,PT06M04.00S,2023-11-12T00:23:45.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627783,92.59198423127464,46.32352941176471,1610612761,15,14,2023-11-12T00:23:54Z,670000,False,-18.0,17.0,1,right,P. Siakam cutting Layup (6 PTS) (J. Poeltl 1 AST),"[1627783, 1627751]",1610612761.0,TOR,cutting,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,2.51,Made,6.0,J. Poeltl,1627751.0,1.0,,,,,,,,,,,,,,
77,PT05M51.00S,2023-11-12T00:23:59.1Z,1,REGULAR,turnover,out-of-bounds,[],201950,,,1610612738,15,14,2023-11-12T00:24:19Z,690000,False,,,0,,J. Holiday bad pass out-of-bounds TURNOVER (1 TO),[201950],1610612738.0,BOS,bad pass,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1162.0,,,1.0,,,,,,
78,PT05M51.00S,2023-11-12T00:24:03.6Z,1,REGULAR,substitution,out,[],1628369,,,1610612761,15,14,2023-11-12T00:24:17Z,700000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M51.00S,2023-11-12T00:24:03.6Z,1,REGULAR,substitution,out,[],201950,,,1610612761,15,14,2023-11-12T00:24:17Z,710000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M51.00S,2023-11-12T00:24:03.6Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,15,14,2023-11-12T00:24:17Z,720000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M51.00S,2023-11-12T00:24:03.6Z,1,REGULAR,substitution,in,[],1630573,,,1610612761,15,14,2023-11-12T00:24:17Z,730000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M51.00S,2023-11-12T00:24:03.6Z,1,REGULAR,substitution,in,[],201143,,,1610612761,15,14,2023-11-12T00:24:17Z,740000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M51.00S,2023-11-12T00:24:03.6Z,1,REGULAR,substitution,in,[],203490,,,1610612761,15,14,2023-11-12T00:24:17Z,750000,False,,,0,,SUB in: O. Porter Jr.,[203490],1610612761.0,TOR,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M40.00S,2023-11-12T00:24:33.1Z,1,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612761,15,14,2023-11-12T00:24:39Z,760000,False,,,0,,D. White shooting personal FOUL (1 PF) (Siakam 2 FT),"[1628401, 1627783]",1610612738.0,BOS,shooting,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1162.0,1.0,0.0,,,,Siakam,1627783.0,,
86,PT05M40.00S,2023-11-12T00:24:57.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627783,,,1610612761,15,15,2023-11-12T00:24:57Z,780000,False,,,0,,P. Siakam Free Throw 1 of 2 (7 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
87,PT05M40.00S,2023-11-12T00:25:18.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627783,,,1610612761,15,16,2023-11-12T00:25:18Z,790000,False,,,0,,P. Siakam Free Throw 2 of 2 (8 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
88,PT05M20.00S,2023-11-12T00:25:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,9.280551905387648,49.26470588235294,1610612738,17,16,2023-11-12T00:25:49Z,800000,False,4.0,35.0,1,left,D. White driving Layup (2 PTS),[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,Restricted Area,0-8 Center,3.49,Made,2.0,,,,,,,,,,,,,,,,,
89,PT05M07.00S,2023-11-12T00:25:54.5Z,1,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612761,17,16,2023-11-12T00:26:01Z,810000,False,,,0,,D. White shooting personal FOUL (2 PF) (Schroder 2 FT),"[1628401, 203471]",1610612738.0,BOS,shooting,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1162.0,2.0,0.0,,,,Schroder,203471.0,,
91,PT05M07.00S,2023-11-12T00:26:21.9Z,1,REGULAR,freethrow,1 of 2,[],203471,,,1610612761,17,17,2023-11-12T00:26:21Z,830000,False,,,0,,D. Schroder Free Throw 1 of 2 (2 PTS),[203471],1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
92,PT05M07.00S,2023-11-12T00:26:23.0Z,1,REGULAR,substitution,out,[],1628401,,,1610612761,17,17,2023-11-12T00:26:25Z,840000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
