actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
16,PT10M40.00S,2025-03-15T22:12:41.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,2,2,2025-03-15T22:12:45Z,160000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Center,,,15.0,,,,,,,,,,,,,,,,,
18,PT10M18.00S,2025-03-15T22:13:15.3Z,1,REGULAR,3pt,Jump Shot,[],1630553,82.21090670170827,94.36274509803921,1610612751,5,2,2025-03-15T22:13:41Z,180000,False,222.0,115.0,1,right,K. Johnson 24' 3PT pullup (3 PTS) (D. Sharpe 1 AST),"[1630553, 1630549]",1610612751.0,BKN,pullup,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,24.97,Made,,,,,3.0,,D. Sharpe,1630549.0,1.0,,,,,,,,,
20,PT09M59.00S,2025-03-15T22:13:33.9Z,1,REGULAR,3pt,Jump Shot,[],201950,6.783837056504599,4.901960784313726,1610612738,5,2,2025-03-15T22:13:38Z,200000,False,225.0,11.0,1,left,MISS J. Holiday 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,22.58,Missed,,,,,,,,,,,,,,,,,,
21,PT09M57.00S,2025-03-15T22:13:35.9Z,1,REGULAR,rebound,defensive,[],1630549,,,1610612751,5,2,2025-03-15T22:13:38Z,210000,False,,,0,,D. Sharpe REBOUND (Off:0 Def:1),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Right Corner 3,24+ Right,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT09M51.00S,2025-03-15T22:13:41.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630553,93.77463863337714,47.794117647058826,1610612751,5,2,2025-03-15T22:14:47Z,220000,False,-11.0,6.0,1,right,MISS K. Johnson running Layup - blocked,"[1630553, 1627759]",1610612751.0,BKN,running,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,1.25,Missed,,,,,,,,,,Brown,1627759.0,,,,,,,
23,PT09M51.00S,2025-03-15T22:13:41.6Z,1,REGULAR,block,,[],1627759,,,1610612751,5,2,2025-03-15T22:13:44Z,230000,False,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT09M48.00S,2025-03-15T22:13:44.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,2,2025-03-15T22:13:45Z,240000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M45.00S,2025-03-15T22:13:47.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",201950,9.543363994743759,46.07843137254902,1610612738,5,4,2025-03-15T22:20:51Z,250000,False,20.0,37.0,1,left,J. Holiday driving floating Jump Shot (2 PTS) (J. Tatum 1 AST),"[201950, 1628369]",1610612738.0,BOS,driving floating,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,4.2,Made,,,,,2.0,,J. Tatum,1628369.0,1.0,,,,,,,,,
27,PT09M29.00S,2025-03-15T22:14:04.7Z,1,REGULAR,turnover,bad pass,[],1630533,,,1610612751,5,4,2025-03-15T22:14:13Z,270000,False,,,0,,Z. Williams bad pass TURNOVER (1 TO),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,1.0,,,,,,
29,PT09M29.00S,2025-03-15T22:14:10.9Z,1,REGULAR,foul,personal,[],1630549,,,1610612738,5,4,2025-03-15T22:14:24Z,290000,False,,,0,,D. Sharpe loose ball personal FOUL (1 PF),"[1630549, 204001]",1610612751.0,BKN,loose ball,,,Sharpe,D. Sharpe,,,,,Above the Break 3,24+ Left Center,,,,,,,,1630886.0,,,,,,,1.0,0.0,Porziņģis,204001.0,,
31,PT09M14.00S,2025-03-15T22:14:39.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],204001,35.43035479632063,46.81372549019608,1610612738,5,4,2025-03-15T22:14:46Z,310000,False,16.0,281.0,1,left,MISS K. Porziņģis 28' 3PT,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Center,28.1,Missed,,,,,,,,,,,,,,,,,,
32,PT09M10.00S,2025-03-15T22:14:43.6Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,5,4,2025-03-15T22:14:46Z,320000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Center,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT09M02.00S,2025-03-15T22:14:51.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630549,88.91261498028909,40.931372549019606,1610612751,5,4,2025-03-15T22:14:55Z,330000,False,-45.0,52.0,1,right,MISS D. Sharpe 6' turnaround Hook,[1630549],1610612751.0,BKN,turnaround,,,Sharpe,D. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,6.87,Missed,,,,,,,,,,,,,,,,,,
34,PT09M00.00S,2025-03-15T22:14:53.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,4,2025-03-15T22:14:55Z,340000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,,
35,PT08M38.00S,2025-03-15T22:15:15.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,17.95335085413929,40.68627450980392,1610612738,5,6,2025-03-15T22:15:20Z,350000,False,47.0,116.0,1,left,J. Holiday 12' pullup Jump Shot (4 PTS) (J. Brown 1 AST),"[201950, 1627759]",1610612738.0,BOS,pullup,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,12.53,Made,,,,,4.0,,J. Brown,1627759.0,1.0,,,,,,,,,
37,PT08M22.00S,2025-03-15T22:15:31.1Z,1,REGULAR,3pt,Jump Shot,[],1626156,74.19513797634691,18.38235294117647,1610612751,5,6,2025-03-15T22:15:35Z,370000,False,-158.0,190.0,1,right,MISS D. Russell 24' 3PT,[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,24.73,Missed,,,,,,,,,,,,,,,,,,
38,PT08M19.00S,2025-03-15T22:15:34.1Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,5,6,2025-03-15T22:15:35Z,380000,False,,,0,,K. Porziņģis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Left Center,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,
39,PT08M09.00S,2025-03-15T22:15:44.3Z,1,REGULAR,3pt,Jump Shot,[],201950,7.046649145860711,4.166666666666666,1610612738,5,6,2025-03-15T22:15:49Z,390000,False,229.0,14.0,1,left,MISS J. Holiday 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,22.96,Missed,,,,,,,,,,,,,,,,,,
40,PT08M05.00S,2025-03-15T22:15:48.3Z,1,REGULAR,rebound,defensive,[],1630553,,,1610612751,5,6,2025-03-15T22:15:49Z,400000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Right Corner 3,24+ Right,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT08M01.00S,2025-03-15T22:15:52.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630549,93.64323258869908,50.73529411764706,1610612751,7,6,2025-03-15T22:15:59Z,410000,False,4.0,7.0,1,right,D. Sharpe running finger roll Layup (2 PTS) (D. Russell 1 AST),"[1630549, 1626156]",1610612751.0,BKN,running finger roll,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,0.82,Made,,,,,2.0,,D. Russell,1626156.0,1.0,,,,,,,,,
43,PT07M40.00S,2025-03-15T22:16:13.1Z,1,REGULAR,3pt,Jump Shot,[],201950,32.670827858081466,38.970588235294116,1610612738,7,6,2025-03-15T22:16:17Z,430000,False,55.0,255.0,1,left,MISS J. Holiday 26' 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,26.05,Missed,,,,,,,,,,,,,,,,,,
44,PT07M37.00S,2025-03-15T22:16:16.1Z,1,REGULAR,rebound,defensive,[],1630553,,,1610612751,7,6,2025-03-15T22:16:17Z,440000,False,,,0,,K. Johnson REBOUND (Off:0 Def:2),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Center,,,43.0,2.0,2.0,0.0,,,,,,,,,,,,,,
45,PT07M30.00S,2025-03-15T22:16:23.1Z,1,REGULAR,3pt,Jump Shot,[],1629661,66.44218134034165,38.23529411764706,1610612751,7,6,2025-03-15T22:17:32Z,450000,False,-59.0,263.0,1,right,MISS C. Johnson 26' 3PT,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Center,26.94,Missed,,,,,,,,,,,,,,,,,,
46,PT07M27.00S,2025-03-15T22:16:26.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,6,2025-03-15T22:16:27Z,460000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,45.0,3.0,3.0,0.0,,,,,,,,,,,,,,
47,PT07M13.00S,2025-03-15T22:16:40.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,7.178055190538765,55.63725490196079,1610612738,7,8,2025-03-15T22:16:44Z,470000,False,-28.0,15.0,1,left,J. Tatum driving Layup (2 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,3.19,Made,,,,,2.0,,,,,,,,,,,,,
48,PT07M00.00S,2025-03-15T22:16:53.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629661,93.51182654402102,50.98039215686274,1610612751,9,8,2025-03-15T22:16:59Z,480000,False,5.0,8.0,1,right,C. Johnson cutting Layup (2 PTS) (D. Russell 2 AST),"[1629661, 1626156]",1610612751.0,BKN,cutting,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,0.98,Made,,,,,2.0,,D. Russell,1626156.0,2.0,,,,,,,,,
51,PT06M49.00S,2025-03-15T22:17:14.0Z,1,REGULAR,2pt,Jump Shot,[],1628369,12.828515111695138,70.34313725490196,1610612738,9,10,2025-03-15T22:17:18Z,510000,False,-102.0,68.0,1,left,J. Tatum 12' turnaround Jump Shot (4 PTS) (J. Holiday 2 AST),"[1628369, 201950]",1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,12.24,Made,,,,,4.0,,J. Holiday,201950.0,2.0,,,,,,,,,
53,PT06M27.00S,2025-03-15T22:17:34.6Z,1,REGULAR,3pt,Jump Shot,[],1629661,70.38436268068331,25.245098039215684,1610612751,9,10,2025-03-15T22:17:38Z,530000,False,-124.0,226.0,1,right,MISS C. Johnson 25' 3PT,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,25.76,Missed,,,,,,,,,,,,,,,,,,
54,PT06M24.00S,2025-03-15T22:17:37.6Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,9,10,2025-03-15T22:17:38Z,540000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,,
55,PT06M17.00S,2025-03-15T22:17:46.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],204001,8.492115637319317,49.50980392156863,1610612738,9,12,2025-03-15T22:17:52Z,550000,False,2.0,27.0,1,left,K. Porziņģis driving DUNK (4 PTS) (J. Holiday 3 AST),"[204001, 201950]",1610612738.0,BOS,driving,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,2.74,Made,,,,,4.0,,J. Holiday,201950.0,3.0,,,,,,,,,
57,PT06M17.00S,2025-03-15T22:17:50.2Z,1,REGULAR,foul,personal,['1freethrow'],1630549,,,1610612738,9,12,2025-03-15T22:18:03Z,570000,False,,,0,,D. Sharpe shooting personal FOUL (2 PF) (Porziņģis 1 FT),"[1630549, 204001]",1610612751.0,BKN,shooting,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,,1630886.0,,,,,,,2.0,0.0,Porziņģis,204001.0,,
59,PT06M17.00S,2025-03-15T22:18:01.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,9,12,2025-03-15T22:18:01Z,590000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M17.00S,2025-03-15T22:18:06.4Z,1,REGULAR,substitution,out,[],1630533,,,1610612738,9,12,2025-03-15T22:20:50Z,600000,False,,,0,,SUB out: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M17.00S,2025-03-15T22:18:06.4Z,1,REGULAR,substitution,in,[],1630592,,,1610612738,9,12,2025-03-15T22:20:50Z,610000,False,,,0,,SUB in: J. Wilson,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M17.00S,2025-03-15T22:21:10.1Z,1,REGULAR,freethrow,1 of 1,[],204001,,,1610612738,9,12,2025-03-15T22:21:12Z,620000,False,,,0,,MISS K. Porziņģis Free Throw 1 of 1,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
63,PT06M15.00S,2025-03-15T22:21:12.1Z,1,REGULAR,rebound,defensive,[],1630549,,,1610612751,9,12,2025-03-15T22:21:12Z,630000,False,,,0,,D. Sharpe REBOUND (Off:0 Def:2),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,62.0,2.0,2.0,0.0,,,,,,,,,,,,,,
64,PT05M55.00S,2025-03-15T22:21:30.7Z,1,REGULAR,3pt,Jump Shot,[],1630553,87.86136662286465,97.05882352941177,1610612751,9,12,2025-03-15T22:21:36Z,640000,False,235.0,62.0,1,right,MISS K. Johnson 24' 3PT,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Right Corner 3,24+ Right,24.32,Missed,,,,,,,,,,,,,,,,,,
65,PT05M52.00S,2025-03-15T22:21:33.7Z,1,REGULAR,rebound,offensive,[],1630549,,,1610612751,9,12,2025-03-15T22:21:36Z,650000,False,,,0,,D. Sharpe REBOUND (Off:1 Def:2),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Right Corner 3,24+ Right,,,64.0,3.0,2.0,1.0,,,,,,,,,,,,,,
66,PT05M51.00S,2025-03-15T22:21:35.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630549,93.11760840998686,52.69607843137255,1610612751,9,12,2025-03-15T22:21:41Z,660000,False,13.0,12.0,1,right,MISS D. Sharpe putback Layup - blocked,"[1630549, 204001]",1610612751.0,BKN,putback,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,1.82,Missed,,,,,,,,,,Porziņģis,204001.0,,,,,,,
104,PT05M51.00S,2025-03-15T22:21:35.0Z,1,REGULAR,block,,[],204001,,,1610612751,9,12,2025-03-15T22:26:41Z,665000,False,,,0,,K. Porziņģis BLOCK (1 BLK),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
67,PT05M48.00S,2025-03-15T22:21:38.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,9,12,2025-03-15T22:21:41Z,670000,False,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,66.0,4.0,4.0,0.0,,,,,,,,,,,,,,
68,PT05M35.00S,2025-03-15T22:21:51.2Z,1,REGULAR,3pt,Jump Shot,[],1630573,12.171484888304862,3.431372549019608,1610612738,9,15,2025-03-15T22:21:55Z,680000,False,233.0,62.0,1,left,S. Hauser 24' 3PT  (3 PTS) (J. Tatum 2 AST),"[1630573, 1628369]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Right Corner 3,24+ Right,24.09,Made,,,,,3.0,,J. Tatum,1628369.0,2.0,,,,,,,,,
70,PT05M23.00S,2025-03-15T22:22:05.7Z,1,REGULAR,foul,personal,['2freethrow'],201950,,,1610612751,9,15,2025-03-15T22:30:10Z,700000,False,,,0,,J. Holiday shooting personal FOUL (1 PF) (Russell 2 FT),"[201950, 1626156]",1610612738.0,BOS,shooting,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1630886.0,,,,,,,1.0,0.0,Russell,1626156.0,,
72,PT05M23.00S,2025-03-15T22:22:39.5Z,1,REGULAR,freethrow,1 of 2,[],1626156,,,1610612751,10,15,2025-03-15T22:26:31Z,720000,False,,,0,,D. Russell Free Throw 1 of 2 (3 PTS),[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
73,PT05M23.00S,2025-03-15T22:22:40.5Z,1,REGULAR,substitution,out,[],201950,,,1610612751,10,15,2025-03-15T22:22:53Z,730000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M23.00S,2025-03-15T22:22:40.5Z,1,REGULAR,substitution,out,[],1627759,,,1610612751,10,15,2025-03-15T22:22:53Z,740000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M23.00S,2025-03-15T22:22:40.5Z,1,REGULAR,substitution,out,[],204001,,,1610612751,10,15,2025-03-15T22:22:53Z,750000,False,,,0,,SUB out: K. Porziņģis,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M23.00S,2025-03-15T22:22:40.5Z,1,REGULAR,substitution,in,[],1630202,,,1610612751,10,15,2025-03-15T22:22:53Z,760000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M23.00S,2025-03-15T22:22:40.5Z,1,REGULAR,substitution,in,[],1628436,,,1610612751,10,15,2025-03-15T22:22:53Z,770000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M23.00S,2025-03-15T22:22:40.5Z,1,REGULAR,substitution,in,[],1631248,,,1610612751,10,15,2025-03-15T22:22:53Z,780000,False,,,0,,SUB in: B. Scheierman,[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M23.00S,2025-03-15T22:22:39.5Z,1,REGULAR,freethrow,2 of 2,[],1626156,,,1610612751,11,15,2025-03-15T22:26:31Z,790000,False,,,0,,D. Russell Free Throw 2 of 2 (4 PTS),[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
80,PT05M08.00S,2025-03-15T22:23:12.7Z,1,REGULAR,turnover,out-of-bounds,[],1630202,,,1610612738,11,15,2025-03-15T22:23:18Z,800000,False,,,0,,P. Pritchard lost ball out-of-bounds TURNOVER (1 TO),[1630202],1610612738.0,BOS,lost ball,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,,,,,,,,202026.0,,,,,,1.0,,,,,,
81,PT04M55.00S,2025-03-15T22:23:34.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629661,83.39356110381078,58.82352941176471,1610612751,13,15,2025-03-15T22:27:44Z,810000,False,44.0,104.0,1,right,C. Johnson 11' driving floating Jump Shot (4 PTS) (D. Sharpe 2 AST),"[1629661, 1630549]",1610612751.0,BKN,driving floating,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),8-16 Center,11.26,Made,,,,,4.0,,D. Sharpe,1630549.0,2.0,,,,,,,,,
83,PT04M33.00S,2025-03-15T22:23:57.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,6.1268068331143235,48.28431372549019,1610612738,13,17,2025-03-15T22:24:04Z,830000,False,9.0,5.0,1,left,J. Tatum driving Layup (6 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.0,Made,,,,,6.0,,,,,,,,,,,,,
84,PT04M33.00S,2025-03-15T22:24:00.7Z,1,REGULAR,foul,personal,['1freethrow'],1626156,,,1610612738,13,17,2025-03-15T22:24:28Z,840000,False,,,0,,D. Russell shooting personal FOUL (1 PF) (Tatum 1 FT),"[1626156, 1628369]",1610612751.0,BKN,shooting,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,,,,,1630886.0,,,,,,,1.0,0.0,Tatum,1628369.0,,
86,PT04M33.00S,2025-03-15T22:24:09.8Z,1,REGULAR,substitution,out,[],1626156,,,1610612738,13,17,2025-03-15T22:24:27Z,860000,False,,,0,,SUB out: D. Russell,[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
