actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
16,PT10M41.00S,2025-01-07T00:44:53.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631213,10.988830486202366,47.549019607843135,1610612751,2,4,2025-01-07T00:45:17Z,160000,False,12.0,51.0,1,left,T. Martin floating Jump Shot (2 PTS) (N. Claxton 1 AST),"[1631213, 1629651]",1610612751.0,BKN,,Martin,T. Martin,floating,In The Paint (Non-RA),0-8 Center,5.23,Made,,,,,,,,,2.0,,N. Claxton,1629651.0,1.0,,,,
17,PT10M26.00S,2025-01-07T00:45:09.4Z,1,REGULAR,foul,personal,[],1629651,,,1610612754,2,4,2025-01-07T00:45:28Z,170000,False,,,0,,N. Claxton personal FOUL (1 PF),"[1629651, 1626167]",1610612751.0,BKN,203591.0,Claxton,N. Claxton,,Above the Break 3,24+ Right Center,,,,,,,1.0,0.0,Turner,1626167.0,,,,,,,,,
20,PT10M12.00S,2025-01-07T00:45:44.7Z,1,REGULAR,3pt,Jump Shot,[],1627783,67.09921156373193,35.049019607843135,1610612754,2,4,2025-01-07T00:45:49Z,190000,False,-75.0,257.0,1,right,MISS P. Siakam 26' 3PT,[1627783],1610612754.0,IND,,Siakam,P. Siakam,,Above the Break 3,24+ Center,26.75,Missed,,,,,,,,,,,,,,,,,
21,PT10M09.00S,2025-01-07T00:45:47.7Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,2,4,2025-01-07T00:45:49Z,200000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,Claxton,N. Claxton,,Above the Break 3,24+ Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
22,PT10M03.00S,2025-01-07T00:45:54.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629651,5.995400788436268,46.32352941176471,1610612751,2,4,2025-01-07T00:46:18Z,210000,False,18.0,4.0,1,left,MISS N. Claxton running Layup,[1629651],1610612751.0,BKN,,Claxton,N. Claxton,running,Restricted Area,0-8 Center,1.88,Missed,,,,,,,,,,,,,,,,,
23,PT10M00.00S,2025-01-07T00:45:57.0Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,2,4,2025-01-07T00:46:07Z,220000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,Siakam,P. Siakam,,Restricted Area,0-8 Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT09M54.00S,2025-01-07T00:46:03.9Z,1,REGULAR,3pt,Jump Shot,[],1630169,59.609067017082786,51.225490196078425,1610612754,2,7,2025-01-07T00:46:27Z,230000,False,6.0,327.0,1,right,T. Haliburton 32' 3PT pullup (3 PTS),[1630169],1610612754.0,IND,,Haliburton,T. Haliburton,pullup,Above the Break 3,24+ Center,32.73,Made,,,,,,,,,3.0,,,,,,,,
25,PT09M38.00S,2025-01-07T00:46:18.5Z,1,REGULAR,3pt,Jump Shot,[],1641730,27.283180026281208,21.323529411764707,1610612751,2,7,2025-01-07T00:46:30Z,240000,False,143.0,204.0,1,left,MISS N. Clowney 24' 3PT,[1641730],1610612751.0,BKN,,Clowney,N. Clowney,,Above the Break 3,24+ Right Center,24.94,Missed,,,,,,,,,,,,,,,,,
26,PT09M38.00S,2025-01-07T00:46:18.5Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,2,7,2025-01-07T00:46:30Z,250000,False,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,Claxton,N. Claxton,,Above the Break 3,24+ Right Center,,,25.0,2.0,1.0,1.0,,,,,,,,,,,,,
27,PT09M27.00S,2025-01-07T00:46:30.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630553,19.92444152431012,7.598039215686274,1610612751,5,7,2025-01-07T00:46:54Z,260000,False,212.0,135.0,1,left,K. Johnson 25' 3PT  (3 PTS),[1630553],1610612751.0,BKN,,Johnson,K. Johnson,,Above the Break 3,24+ Right Center,25.12,Made,,,,,,,,,3.0,,,,,,,,
29,PT09M05.00S,2025-01-07T00:46:52.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,93.51182654402102,49.754901960784316,1610612754,5,9,2025-01-07T00:46:57Z,280000,False,-1.0,8.0,1,right,M. Turner cutting Layup (2 PTS) (A. Nembhard 1 AST),"[1626167, 1629614]",1610612754.0,IND,,Turner,M. Turner,cutting,Restricted Area,0-8 Center,0.86,Made,,,,,,,,,2.0,,A. Nembhard,1629614.0,1.0,,,,
31,PT08M47.00S,2025-01-07T00:47:10.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630553,7.835085413929041,53.67647058823529,1610612751,5,9,2025-01-07T00:47:34Z,300000,False,-18.0,21.0,1,left,MISS K. Johnson driving Layup,[1630553],1610612751.0,BKN,,Johnson,K. Johnson,driving,Restricted Area,0-8 Center,2.8,Missed,,,,,,,,,,,,,,,,,
32,PT08M47.00S,2025-01-07T00:47:10.1Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,5,9,2025-01-07T00:47:34Z,310000,False,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612754.0,IND,,Siakam,P. Siakam,,Restricted Area,0-8 Center,,,31.0,2.0,2.0,0.0,,,,,,,,,,,,,
33,PT08M41.00S,2025-01-07T00:47:15.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630169,75.24638633377135,13.725490196078432,1610612754,5,9,2025-01-07T00:47:40Z,320000,False,-181.0,180.0,1,right,MISS T. Haliburton 25' running 3PT,[1630169],1610612754.0,IND,,Haliburton,T. Haliburton,running,Above the Break 3,24+ Left Center,25.57,Missed,,,,,,,,,,,,,,,,,
34,PT08M38.00S,2025-01-07T00:47:18.1Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,5,9,2025-01-07T00:47:40Z,330000,False,,,0,,N. Claxton REBOUND (Off:1 Def:2),[1629651],1610612751.0,BKN,,Claxton,N. Claxton,,Above the Break 3,24+ Left Center,,,33.0,3.0,2.0,1.0,,,,,,,,,,,,,
35,PT08M17.00S,2025-01-07T00:47:39.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630553,11.514454664914586,48.28431372549019,1610612751,5,9,2025-01-07T00:47:45Z,340000,False,9.0,56.0,1,left,MISS K. Johnson Hook,[1630553],1610612751.0,BKN,,Johnson,K. Johnson,,In The Paint (Non-RA),0-8 Center,5.64,Missed,,,,,,,,,,,,,,,,,
36,PT08M14.00S,2025-01-07T00:47:42.9Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,5,9,2025-01-07T00:47:45Z,350000,False,,,0,,P. Siakam REBOUND (Off:0 Def:3),[1627783],1610612754.0,IND,,Siakam,P. Siakam,,In The Paint (Non-RA),0-8 Center,,,35.0,3.0,3.0,0.0,,,,,,,,,,,,,
38,PT08M02.00S,2025-01-07T00:48:11.3Z,1,REGULAR,turnover,traveling,[],1631097,,,1610612754,5,9,2025-01-07T00:48:16Z,370000,False,,,0,,B. Mathurin traveling TURNOVER (1 TO),[1631097],1610612754.0,IND,203591.0,Mathurin,B. Mathurin,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,,,,,,,
39,PT07M46.00S,2025-01-07T00:48:39.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631213,25.04927726675427,83.82352941176471,1610612751,8,9,2025-01-07T00:48:46Z,380000,False,-169.0,183.0,1,left,T. Martin 24' 3PT  (5 PTS) (Z. Williams 1 AST),"[1631213, 1630533]",1610612751.0,BKN,,Martin,T. Martin,,Above the Break 3,24+ Left Center,24.92,Made,,,,,,,,,5.0,,Z. Williams,1630533.0,1.0,,,,
41,PT07M28.00S,2025-01-07T00:48:56.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,91.5407358738502,40.68627450980392,1610612754,8,9,2025-01-07T00:49:08Z,400000,False,-47.0,27.0,1,right,MISS P. Siakam driving Layup - blocked,"[1627783, 1630533]",1610612754.0,IND,,Siakam,P. Siakam,driving,In The Paint (Non-RA),0-8 Center,5.39,Missed,,,,,,,,,,,,,,Williams,1630533.0,,
42,PT07M28.00S,2025-01-07T00:48:56.8Z,1,REGULAR,block,,[],1630533,,,1610612754,8,9,2025-01-07T00:49:08Z,410000,False,,,0,,Z. Williams BLOCK (1 BLK),[1630533],1610612751.0,BKN,,Williams,Z. Williams,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
43,PT07M22.00S,2025-01-07T00:49:02.8Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,8,9,2025-01-07T00:49:08Z,420000,False,,,0,,M. Turner REBOUND (Off:1 Def:0),[1626167],1610612754.0,IND,,Turner,M. Turner,,In The Paint (Non-RA),0-8 Center,,,41.0,1.0,0.0,1.0,,,,,,,,,,,,,
44,PT07M22.00S,2025-01-07T00:49:03.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626167,94.40999984741211,50.0,1610612754,8,9,2025-01-07T00:49:31Z,430000,False,0.0,0.0,1,right,MISS M. Turner putback Layup,[1626167],1610612754.0,IND,,Turner,M. Turner,putback,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,
45,PT07M22.00S,2025-01-07T00:49:03.0Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612751,8,9,2025-01-07T00:49:16Z,440000,False,,,0,,Z. Williams REBOUND (Off:0 Def:1),[1630533],1610612751.0,BKN,,Williams,Z. Williams,,Restricted Area,0-8 Center,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,
46,PT07M20.00S,2025-01-07T00:49:05.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630533,23.73521681997372,11.76470588235294,1610612751,8,9,2025-01-07T00:50:44Z,450000,False,191.0,171.0,1,left,MISS Z. Williams 25' running 3PT,[1630533],1610612751.0,BKN,,Williams,Z. Williams,running,Above the Break 3,24+ Right Center,25.62,Missed,,,,,,,,,,,,,,,,,
47,PT07M19.00S,2025-01-07T00:49:06.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,8,9,2025-01-07T00:49:22Z,460000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,Above the Break 3,24+ Right Center,,,46.0,,,,,,,,,,,,,,,,
49,PT07M19.00S,2025-01-07T00:49:12.7Z,1,REGULAR,substitution,out,[],1630553,,,1610612754,8,9,2025-01-07T00:49:24Z,480000,False,,,0,,SUB out: K. Johnson,[1630553],1610612751.0,BKN,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,
50,PT07M19.00S,2025-01-07T00:49:12.7Z,1,REGULAR,substitution,in,[],1630592,,,1610612754,8,9,2025-01-07T00:49:24Z,490000,False,,,0,,SUB in: J. Wilson,[1630592],1610612751.0,BKN,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,
51,PT07M07.00S,2025-01-07T00:49:38.4Z,1,REGULAR,3pt,Jump Shot,[],1631097,93.11760840998686,94.6078431372549,1610612754,8,9,2025-01-07T00:49:50Z,500000,False,223.0,12.0,1,right,MISS B. Mathurin 3PT,[1631097],1610612754.0,IND,,Mathurin,B. Mathurin,,Right Corner 3,24+ Right,22.33,Missed,,,,,,,,,,,,,,,,,
52,PT07M04.00S,2025-01-07T00:49:41.4Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,8,9,2025-01-07T00:49:50Z,510000,False,,,0,,N. Claxton REBOUND (Off:1 Def:3),[1629651],1610612751.0,BKN,,Claxton,N. Claxton,,Right Corner 3,24+ Right,,,51.0,4.0,3.0,1.0,,,,,,,,,,,,,
53,PT06M59.00S,2025-01-07T00:49:46.7Z,1,REGULAR,3pt,Jump Shot,[],1641730,27.020367936925098,77.69607843137256,1610612751,8,9,2025-01-07T00:54:28Z,520000,False,-138.0,201.0,1,left,MISS N. Clowney 24' 3PT,[1641730],1610612751.0,BKN,,Clowney,N. Clowney,,Above the Break 3,24+ Left Center,24.45,Missed,,,,,,,,,,,,,,,,,
54,PT06M59.00S,2025-01-07T00:49:46.7Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,8,9,2025-01-07T00:49:54Z,530000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:2),[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,,Above the Break 3,24+ Left Center,,,53.0,2.0,2.0,0.0,,,,,,,,,,,,,
55,PT06M48.00S,2025-01-07T00:49:57.1Z,1,REGULAR,3pt,Jump Shot,[],1629614,73.40670170827858,17.401960784313726,1610612754,8,9,2025-01-07T00:50:02Z,540000,False,-163.0,197.0,1,right,MISS A. Nembhard 25' 3PT,[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,,Above the Break 3,24+ Left Center,25.61,Missed,,,,,,,,,,,,,,,,,
56,PT06M44.00S,2025-01-07T00:50:01.1Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612751,8,9,2025-01-07T00:50:02Z,550000,False,,,0,,Z. Williams REBOUND (Off:0 Def:2),[1630533],1610612751.0,BKN,,Williams,Z. Williams,,Above the Break 3,24+ Left Center,,,55.0,2.0,2.0,0.0,,,,,,,,,,,,,
57,PT06M41.00S,2025-01-07T00:50:08.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,8,9,2025-01-07T00:50:08Z,560000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M41.00S,2025-01-07T00:50:09.7Z,1,REGULAR,substitution,out,[],1627783,,,1610612751,8,9,2025-01-07T00:52:44Z,570000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,
59,PT06M41.00S,2025-01-07T00:50:09.7Z,1,REGULAR,substitution,in,[],1630167,,,1610612751,8,9,2025-01-07T00:52:44Z,580000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,
60,PT06M23.00S,2025-01-07T00:53:23.7Z,1,REGULAR,3pt,Jump Shot,[],1641730,25.04927726675427,83.82352941176471,1610612751,8,9,2025-01-07T00:53:29Z,590000,False,-169.0,183.0,1,left,MISS N. Clowney 24' 3PT,[1641730],1610612751.0,BKN,,Clowney,N. Clowney,,Above the Break 3,24+ Left Center,24.92,Missed,,,,,,,,,,,,,,,,,
61,PT06M19.00S,2025-01-07T00:53:26.5Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,8,9,2025-01-07T00:53:26Z,600000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,Mathurin,B. Mathurin,,Above the Break 3,24+ Left Center,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,,
62,PT06M17.00S,2025-01-07T00:53:29.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631097,93.11760840998686,56.127450980392155,1610612754,8,11,2025-01-07T00:53:59Z,610000,False,31.0,12.0,1,right,B. Mathurin running finger roll Layup (2 PTS),[1631097],1610612754.0,IND,,Mathurin,B. Mathurin,running finger roll,Restricted Area,0-8 Center,3.29,Made,,,,,,,,,2.0,,,,,,,,
63,PT06M03.00S,2025-01-07T00:53:42.8Z,1,REGULAR,3pt,Jump Shot,[],1630592,27.677398160315374,77.45098039215686,1610612751,8,11,2025-01-07T00:53:54Z,620000,False,-137.0,208.0,1,left,MISS J. Wilson 24' 3PT,[1630592],1610612751.0,BKN,,Wilson,J. Wilson,,Above the Break 3,24+ Left Center,24.9,Missed,,,,,,,,,,,,,,,,,
64,PT06M03.00S,2025-01-07T00:53:42.8Z,1,REGULAR,rebound,offensive,[],1631213,,,1610612751,8,11,2025-01-07T00:53:54Z,630000,False,,,0,,T. Martin REBOUND (Off:1 Def:0),[1631213],1610612751.0,BKN,,Martin,T. Martin,,Above the Break 3,24+ Left Center,,,63.0,1.0,0.0,1.0,,,,,,,,,,,,,
65,PT06M01.00S,2025-01-07T00:53:48.6Z,1,REGULAR,foul,personal,['2freethrow'],1630169,,,1610612751,8,11,2025-01-07T00:53:56Z,640000,False,,,0,,T. Haliburton shooting personal FOUL (1 PF) (Martin 2 FT),"[1630169, 1631213]",1610612754.0,IND,1627541.0,Haliburton,T. Haliburton,shooting,Restricted Area,0-8 Center,,,,,,,1.0,0.0,Martin,1631213.0,,,,,,,,,
67,PT06M01.00S,2025-01-07T00:54:12.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1631213,,,1610612751,9,11,2025-01-07T00:54:34Z,660000,False,,,0,,T. Martin Free Throw 1 of 2 (6 PTS),[1631213],1610612751.0,BKN,,Martin,T. Martin,,,,,Made,,,,,,,,,6.0,,,,,,,,
68,PT06M01.00S,2025-01-07T00:54:12.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1631213,,,1610612751,9,11,2025-01-07T00:54:34Z,670000,False,,,0,,MISS T. Martin Free Throw 2 of 2,[1631213],1610612751.0,BKN,,Martin,T. Martin,,,,,Missed,,,,,,,,,,,,,,,,,
69,PT05M58.00S,2025-01-07T00:54:15.0Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612754,9,11,2025-01-07T00:54:34Z,680000,False,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612754.0,IND,,Toppin,O. Toppin,,,,,,68.0,1.0,1.0,0.0,,,,,,,,,,,,,
70,PT05M36.00S,2025-01-07T00:54:55.1Z,1,REGULAR,2pt,Jump Shot,[],1631097,72.22404730617609,61.76470588235294,1610612754,9,11,2025-01-07T00:55:00Z,690000,False,59.0,209.0,1,right,MISS B. Mathurin 21' step back Shot,[1631097],1610612754.0,IND,,Mathurin,B. Mathurin,step back,Mid-Range,16-24 Center,21.67,Missed,,,,,,,,,,,,,,,,,
71,PT05M31.00S,2025-01-07T00:54:59.7Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,9,11,2025-01-07T00:54:59Z,700000,False,,,0,,M. Turner REBOUND (Off:2 Def:0),[1626167],1610612754.0,IND,,Turner,M. Turner,,Mid-Range,16-24 Center,,,70.0,2.0,0.0,2.0,,,,,,,,,,,,,
72,PT05M31.00S,2025-01-07T00:54:59.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626167,94.40999984741211,50.0,1610612754,9,13,2025-01-07T00:55:03Z,710000,False,0.0,0.0,1,right,M. Turner putback Layup (4 PTS),[1626167],1610612754.0,IND,,Turner,M. Turner,putback,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,4.0,,,,,,,,
73,PT05M11.00S,2025-01-07T00:55:19.5Z,1,REGULAR,3pt,Jump Shot,[],1630533,30.831143232588698,35.53921568627451,1610612751,12,13,2025-01-07T00:55:42Z,720000,False,72.0,237.0,1,left,Z. Williams 24' 3PT  (3 PTS) (T. Martin 1 AST),"[1630533, 1631213]",1610612751.0,BKN,,Williams,Z. Williams,,Above the Break 3,24+ Center,24.81,Made,,,,,,,,,3.0,,T. Martin,1631213.0,1.0,,,,
75,PT04M58.00S,2025-01-07T00:55:32.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630167,79.97700394218134,48.77450980392157,1610612754,12,13,2025-01-07T00:55:55Z,740000,False,-6.0,136.0,1,right,MISS O. Toppin 13' pullup Shot,[1630167],1610612754.0,IND,,Toppin,O. Toppin,pullup,In The Paint (Non-RA),8-16 Center,13.58,Missed,,,,,,,,,,,,,,,,,
76,PT04M58.00S,2025-01-07T00:55:32.2Z,1,REGULAR,rebound,defensive,[],1631213,,,1610612751,12,13,2025-01-07T00:55:55Z,750000,False,,,0,,T. Martin REBOUND (Off:1 Def:1),[1631213],1610612751.0,BKN,,Martin,T. Martin,,In The Paint (Non-RA),8-16 Center,,,75.0,2.0,1.0,1.0,,,,,,,,,,,,,
77,PT04M48.00S,2025-01-07T00:55:45.0Z,1,REGULAR,foul,personal,[],1629614,,,1610612751,12,13,2025-01-07T00:56:29Z,760000,False,,,0,,A. Nembhard personal FOUL (1 PF),"[1629614, 1629651]",1610612754.0,IND,2002.0,Nembhard,A. Nembhard,,Restricted Area,0-8 Center,,,,,,,1.0,0.0,Claxton,1629651.0,,,,,,,,,
79,PT04M48.00S,2025-01-07T00:55:59.4Z,1,REGULAR,substitution,out,[],1630533,,,1610612751,12,13,2025-01-07T00:56:24Z,780000,False,,,0,,SUB out: Z. Williams,[1630533],1610612751.0,BKN,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,
80,PT04M48.00S,2025-01-07T00:55:59.4Z,1,REGULAR,substitution,out,[],1631213,,,1610612751,12,13,2025-01-07T00:56:24Z,790000,False,,,0,,SUB out: T. Martin,[1631213],1610612751.0,BKN,,Martin,T. Martin,,,,,,,,,,,,,,,,,,,,,,
81,PT04M48.00S,2025-01-07T00:55:59.4Z,1,REGULAR,substitution,out,[],1629651,,,1610612751,12,13,2025-01-07T00:56:24Z,800000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,
82,PT04M48.00S,2025-01-07T00:55:59.4Z,1,REGULAR,substitution,out,[],1631097,,,1610612751,12,13,2025-01-07T00:56:24Z,810000,False,,,0,,SUB out: B. Mathurin,[1631097],1610612754.0,IND,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,
83,PT04M48.00S,2025-01-07T00:55:59.4Z,1,REGULAR,substitution,out,[],1629614,,,1610612751,12,13,2025-01-07T00:56:24Z,820000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,
84,PT04M48.00S,2025-01-07T00:55:59.4Z,1,REGULAR,substitution,in,[],1630549,,,1610612751,12,13,2025-01-07T00:56:24Z,830000,False,,,0,,SUB in: D. Sharpe,[1630549],1610612751.0,BKN,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,
85,PT04M48.00S,2025-01-07T00:55:59.4Z,1,REGULAR,substitution,in,[],1641787,,,1610612751,12,13,2025-01-07T00:56:24Z,840000,False,,,0,,SUB in: T. Evbuomwan,[1641787],1610612751.0,BKN,,Evbuomwan,T. Evbuomwan,,,,,,,,,,,,,,,,,,,,,,
86,PT04M48.00S,2025-01-07T00:55:59.4Z,1,REGULAR,substitution,in,[],1641736,,,1610612751,12,13,2025-01-07T00:56:24Z,850000,False,,,0,,SUB in: R. Beekman,[1641736],1610612751.0,BKN,,Beekman,R. Beekman,,,,,,,,,,,,,,,,,,,,,,
87,PT04M48.00S,2025-01-07T00:55:59.4Z,1,REGULAR,substitution,in,[],204456,,,1610612751,12,13,2025-01-07T00:56:24Z,860000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,
