actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
16,PT11M09.00S,2025-02-08T00:42:31.5Z,1,REGULAR,3pt,Jump Shot,[],1629130,5.732588699080158,4.166666666666666,1610612748,0,3,2025-02-08T00:43:29Z,160000,False,229.0,1.0,1,left,D. Robinson 3PT  (3 PTS) (K. Ware 1 AST),"[1629130, 1642276]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Right Corner 3,24+ Right,,,,,,22.92,Made,,,,,,,3.0,K. Ware,1642276.0,1.0,,,
18,PT10M43.00S,2025-02-08T00:42:58.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,93.16688567674113,57.885263480392155,1610612751,0,3,2025-02-08T00:44:21Z,180000,False,39.0,12.0,1,right,MISS N. Claxton Hook - blocked,"[1629651, 1628389]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,4.11,Missed,Adebayo,1628389.0,,,,,,,,,,,
55,PT10M43.00S,2025-02-08T00:42:58.8Z,1,REGULAR,block,,[],1628389,,,1610612751,0,3,2025-02-08T00:50:11Z,185000,False,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M41.00S,2025-02-08T00:43:00.8Z,1,REGULAR,rebound,offensive,[],1630533,,,1610612751,0,3,2025-02-08T00:44:21Z,190000,False,,,0,,Z. Williams REBOUND (Off:1 Def:1),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,18.0,2.0,1.0,1.0,,,,,,,
20,PT10M37.00S,2025-02-08T00:43:05.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630553,74.85216819973719,86.76470588235294,1610612751,0,3,2025-02-08T00:45:20Z,200000,False,184.0,184.0,1,right,MISS K. Johnson 26' 3PT,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,26.0,Missed,,,,,,,,,,,,,
21,PT10M33.00S,2025-02-08T00:43:09.9Z,1,REGULAR,rebound,defensive,[],1629312,,,1610612748,0,3,2025-02-08T00:45:20Z,210000,False,,,0,,H. Highsmith REBOUND (Off:0 Def:1),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,
22,PT10M26.00S,2025-02-08T00:43:15.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628389,6.5703022339027655,58.96522671568628,1610612748,0,5,2025-02-08T00:45:47Z,220000,False,-45.0,9.0,1,left,B. Adebayo running alley-oop DUNK (2 PTS) (T. Herro 1 AST),"[1628389, 1629639]",1610612748.0,MIA,running alley-oop,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.58,Made,,,,,,,2.0,T. Herro,1629639.0,1.0,,,
24,PT10M12.00S,2025-02-08T00:43:28.7Z,1,REGULAR,3pt,Jump Shot,[],1629661,93.51182654402102,96.32352941176471,1610612751,3,5,2025-02-08T00:45:56Z,240000,False,232.0,8.0,1,right,C. Johnson 3PT  (3 PTS) (D. Russell 1 AST),"[1629661, 1626156]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Right Corner 3,24+ Right,,,,,,23.18,Made,,,,,,,3.0,D. Russell,1626156.0,1.0,,,
26,PT09M51.00S,2025-02-08T00:43:50.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642276,6.438896189224707,55.778952205882355,1610612748,3,7,2025-02-08T00:46:12Z,260000,False,-29.0,8.0,1,left,K. Ware alley-oop DUNK (2 PTS) (T. Herro 2 AST),"[1642276, 1629639]",1610612748.0,MIA,alley-oop,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,,,3.0,Made,,,,,,,2.0,T. Herro,1629639.0,2.0,,,
28,PT09M30.00S,2025-02-08T00:44:10.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,87.3850197109067,46.790747549019606,1610612751,5,7,2025-02-08T00:46:27Z,280000,False,-16.0,66.0,1,right,D. Russell 6' driving finger roll Layup (2 PTS),[1626156],1610612751.0,BKN,driving finger roll,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.8,Made,,,,,,,2.0,,,,,,
29,PT09M18.00S,2025-02-08T00:44:23.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628389,11.95795006570303,55.572150735294116,1610612748,5,9,2025-02-08T01:26:37Z,290000,False,-28.0,60.0,1,left,B. Adebayo 6' running alley-oop DUNK (4 PTS) (T. Herro 3 AST),"[1628389, 1629639]",1610612748.0,MIA,running alley-oop,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.61,Made,,,,,,,4.0,T. Herro,1629639.0,3.0,,,
31,PT09M02.00S,2025-02-08T00:44:40.0Z,1,REGULAR,turnover,lost ball,[],1629661,,,1610612751,5,9,2025-02-08T00:47:30Z,310000,False,,,0,,C. Johnson lost ball TURNOVER (1 TO),"[1629661, 1629312]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,1.0,Highsmith,1629312.0
32,PT09M02.00S,2025-02-08T00:44:40.0Z,1,REGULAR,steal,,[],1629312,,,1610612748,5,9,2025-02-08T00:44:41Z,320000,False,,,0,,H. Highsmith STEAL (1 STL),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
33,PT08M52.00S,2025-02-08T00:44:49.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629130,10.77529566360053,59.1030943627451,1610612748,5,11,2025-02-08T00:47:48Z,330000,False,-46.0,49.0,1,left,D. Robinson 6' driving Layup (5 PTS) (T. Herro 4 AST),"[1629130, 1629639]",1610612748.0,MIA,driving,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.67,Made,,,,,,,5.0,T. Herro,1629639.0,4.0,,,
35,PT08M37.00S,2025-02-08T00:45:04.6Z,1,REGULAR,foul,personal,[],1629130,,,1610612751,5,11,2025-02-08T00:48:17Z,350000,False,,,0,,D. Robinson personal FOUL (1 PF),"[1629130, 1626156]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,1628172.0,1.0,0.0,Russell,1626156.0,,,,,,,,,,,,,,,
38,PT08M27.00S,2025-02-08T00:45:50.4Z,1,REGULAR,turnover,lost ball,[],1626156,,,1610612751,5,11,2025-02-08T00:48:52Z,380000,False,,,0,,D. Russell lost ball TURNOVER (1 TO),"[1626156, 1629312]",1610612751.0,BKN,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Highsmith,1629312.0
39,PT08M27.00S,2025-02-08T00:45:50.4Z,1,REGULAR,steal,,[],1629312,,,1610612748,5,11,2025-02-08T00:45:51Z,390000,False,,,0,,H. Highsmith STEAL (2 STL),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
74,PT08M16.00S,2025-02-08T00:45:58.3Z,1,REGULAR,turnover,lost ball,[],1629639,,,1610612748,5,11,2025-02-08T00:52:07Z,410000,False,,,0,,T. Herro lost ball TURNOVER (1 TO),"[1629639, 1626156]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Russell,1626156.0
75,PT08M16.00S,2025-02-08T00:45:58.3Z,1,REGULAR,steal,,[],1626156,,,1610612751,5,11,2025-02-08T00:52:07Z,420000,False,,,0,,D. Russell STEAL (1 STL),[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
43,PT08M12.00S,2025-02-08T00:46:06.2Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1626156,65.25952693823915,49.01960784313725,1610612751,5,11,2025-02-08T00:52:07Z,430000,False,-5.0,274.0,1,right,MISS D. Russell 27' running 3PT,[1626156],1610612751.0,BKN,running,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,,,,,,27.41,Missed,,,,,,,,,,,,,
44,PT08M09.00S,2025-02-08T00:46:09.2Z,1,REGULAR,rebound,offensive,[],1629661,,,1610612751,5,11,2025-02-08T00:51:08Z,440000,False,,,0,,C. Johnson REBOUND (Off:1 Def:0),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Center,,,,,,,,,,43.0,1.0,0.0,1.0,,,,,,,
45,PT07M58.00S,2025-02-08T00:46:20.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance', 'fromturnover']",1629651,89.22470433639947,57.494638480392155,1610612751,5,11,2025-02-08T00:52:07Z,450000,False,37.0,49.0,1,right,MISS N. Claxton 6' cutting Layup - blocked,"[1629651, 1642276]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.15,Missed,Ware,1642276.0,,,,,,,,,,,
46,PT07M58.00S,2025-02-08T00:46:20.0Z,1,REGULAR,block,,[],1642276,,,1610612751,5,11,2025-02-08T00:46:21Z,460000,False,,,0,,K. Ware BLOCK (1 BLK),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
47,PT07M56.00S,2025-02-08T00:46:22.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,5,11,2025-02-08T00:51:34Z,470000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,45.0,,,,,,,,,,
49,PT07M54.00S,2025-02-08T00:46:40.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629651,83.70565045992116,61.73789828431372,1610612751,5,11,2025-02-08T00:53:31Z,490000,False,59.0,101.0,1,right,MISS N. Claxton 11' floating Shot,[1629651],1610612751.0,BKN,floating,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,11.66,Missed,,,,,,,,,,,,,
50,PT07M51.00S,2025-02-08T00:46:43.1Z,1,REGULAR,rebound,offensive,[],1630553,,,1610612751,5,11,2025-02-08T00:53:31Z,500000,False,,,0,,K. Johnson REBOUND (Off:1 Def:0),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,49.0,1.0,0.0,1.0,,,,,,,
51,PT07M50.00S,2025-02-08T00:46:44.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630533,85.15111695137976,96.05545343137256,1610612751,5,11,2025-02-08T00:54:00Z,510000,False,230.0,87.0,1,right,MISS Z. Williams 24' 3PT,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Right Corner 3,24+ Right,,,,,,24.62,Missed,,,,,,,,,,,,,
52,PT07M48.00S,2025-02-08T00:46:46.3Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,5,11,2025-02-08T00:54:00Z,520000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Right Corner 3,24+ Right,,,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,
53,PT07M38.00S,2025-02-08T00:46:53.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,16.557161629434958,40.66329656862745,1610612748,5,13,2025-02-08T00:54:19Z,530000,False,47.0,103.0,1,left,B. Adebayo 11' turnaround Jump Shot (6 PTS),[1628389],1610612748.0,MIA,turnaround,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,11.32,Made,,,,,,,6.0,,,,,,
54,PT07M30.00S,2025-02-08T00:47:06.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,5,13,2025-02-08T00:47:06Z,540000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M17.00S,2025-02-08T00:50:36.6Z,1,REGULAR,3pt,Jump Shot,[],1626156,66.96780551905388,30.88235294117647,1610612751,5,13,2025-02-08T00:54:34Z,550000,False,-96.0,258.0,1,right,MISS D. Russell 27' 3PT,[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,,,,,,27.51,Missed,,,,,,,,,,,,,
57,PT07M15.00S,2025-02-08T00:50:38.6Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,5,13,2025-02-08T00:54:34Z,560000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,56.0,2.0,2.0,0.0,,,,,,,
58,PT07M08.00S,2025-02-08T00:50:44.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629639,27.677398160315374,12.745098039215685,1610612748,5,16,2025-02-08T00:50:50Z,570000,False,186.0,208.0,1,left,T. Herro 27' 3PT running (3 PTS) (B. Adebayo 1 AST),"[1629639, 1628389]",1610612748.0,MIA,running,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,,,,,,27.9,Made,,,,,,,3.0,B. Adebayo,1628389.0,1.0,,,
60,PT06M57.00S,2025-02-08T00:50:57.1Z,1,REGULAR,3pt,Jump Shot,[],1629661,65.48948751642575,32.35294117647058,1610612751,5,16,2025-02-08T00:55:34Z,590000,False,-88.0,272.0,1,right,MISS C. Johnson 28' pullup 3PT,[1629661],1610612751.0,BKN,pullup,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,28.58,Missed,,,,,,,,,,,,,
61,PT06M55.00S,2025-02-08T00:50:59.1Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,5,16,2025-02-08T00:55:34Z,600000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,60.0,1.0,0.0,1.0,,,,,,,
62,PT06M52.00S,2025-02-08T00:51:01.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629651,93.64323258869908,52.94117647058824,1610612751,7,16,2025-02-08T00:55:44Z,610000,False,15.0,7.0,1,right,N. Claxton putback Layup (2 PTS),[1629651],1610612751.0,BKN,putback,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,1.64,Made,,,,,,,2.0,,,,,,
63,PT06M38.00S,2025-02-08T00:51:18.5Z,1,REGULAR,violation,kicked ball,[],1630533,,,1610612748,7,16,2025-02-08T00:51:25Z,620000,False,,,0,,Z. Williams kicked ball VIOLATION,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,202007.0,,,,,,,,,,,,,,,,,,,
64,PT06M38.00S,2025-02-08T00:51:21.4Z,1,REGULAR,substitution,out,[],1630553,,,1610612748,7,16,2025-02-08T00:51:30Z,630000,False,,,0,,SUB out: K. Johnson,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M38.00S,2025-02-08T00:51:21.4Z,1,REGULAR,substitution,out,[],1626156,,,1610612748,7,16,2025-02-08T00:51:30Z,640000,False,,,0,,SUB out: D. Russell,[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M38.00S,2025-02-08T00:51:21.4Z,1,REGULAR,substitution,in,[],1630592,,,1610612748,7,16,2025-02-08T00:51:30Z,650000,False,,,0,,SUB in: J. Wilson,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M38.00S,2025-02-08T00:51:21.4Z,1,REGULAR,substitution,in,[],1630570,,,1610612748,7,16,2025-02-08T00:51:30Z,660000,False,,,0,,SUB in: T. Watford,[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M28.00S,2025-02-08T00:51:49.8Z,1,REGULAR,3pt,Jump Shot,[],1629312,33.295006570302235,62.99019607843137,1610612748,7,16,2025-02-08T00:56:26Z,670000,False,-65.0,260.0,1,left,MISS H. Highsmith 26' 3PT,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Center,,,,,,26.85,Missed,,,,,,,,,,,,,
69,PT06M26.00S,2025-02-08T00:51:51.8Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,7,16,2025-02-08T00:56:26Z,680000,False,,,0,,K. Ware REBOUND (Off:2 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Center,,,,,,,,,,68.0,3.0,1.0,2.0,,,,,,,
70,PT06M25.00S,2025-02-08T00:51:53.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642276,6.258212877792378,60.29411764705882,1610612748,7,16,2025-02-08T00:56:42Z,690000,False,-51.0,6.0,1,left,MISS K. Ware putback Layup,[1642276],1610612748.0,MIA,putback,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.19,Missed,,,,,,,,,,,,,
71,PT06M23.00S,2025-02-08T00:51:55.5Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612751,7,16,2025-02-08T00:56:42Z,700000,False,,,0,,T. Watford REBOUND (Off:0 Def:1),[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,
72,PT06M14.00S,2025-02-08T00:52:04.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629661,81.34034165571616,53.2015931372549,1610612751,7,16,2025-02-08T00:57:04Z,710000,False,16.0,123.0,1,right,MISS C. Johnson 12' pullup Shot,[1629661],1610612751.0,BKN,pullup,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,12.39,Missed,,,,,,,,,,,,,
73,PT06M12.00S,2025-02-08T00:52:06.4Z,1,REGULAR,rebound,offensive,[],1629661,,,1610612751,7,16,2025-02-08T00:57:04Z,720000,False,,,0,,C. Johnson REBOUND (Off:2 Def:0),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,72.0,2.0,0.0,2.0,,,,,,,
76,PT06M04.00S,2025-02-08T00:52:12.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630533,75.50919842312747,8.823529411764707,1610612751,10,16,2025-02-08T00:52:16Z,730000,False,-206.0,178.0,1,right,Z. Williams 27' 3PT  (3 PTS) (T. Watford 1 AST),"[1630533, 1630570]",1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,27.2,Made,,,,,,,3.0,T. Watford,1630570.0,1.0,,,
78,PT05M48.00S,2025-02-08T00:52:30.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,12.220762155059134,59.325214460784316,1610612748,10,16,2025-02-08T00:57:35Z,750000,False,-47.0,62.0,1,left,MISS T. Herro 7' driving finger roll Layup,[1629639],1610612748.0,MIA,driving finger roll,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,7.79,Missed,,,,,,,,,,,,,
79,PT05M46.00S,2025-02-08T00:52:32.9Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612751,10,16,2025-02-08T00:57:35Z,760000,False,,,0,,Z. Williams REBOUND (Off:1 Def:2),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,78.0,3.0,2.0,1.0,,,,,,,
80,PT05M40.00S,2025-02-08T00:52:37.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630570,93.51182654402102,45.09803921568628,1610612751,12,16,2025-02-08T00:57:47Z,770000,False,-25.0,8.0,1,right,T. Watford running reverse Layup (2 PTS) (Z. Williams 1 AST),"[1630570, 1630533]",1610612751.0,BKN,running reverse,,,Watford,T. Watford,,,,,Restricted Area,0-8 Center,,,,,,2.59,Made,,,,,,,2.0,Z. Williams,1630533.0,1.0,,,
82,PT05M10.00S,2025-02-08T00:53:06.4Z,1,REGULAR,2pt,Jump Shot,[],1629639,11.563731931668855,29.143688725490193,1610612748,12,18,2025-02-08T00:58:04Z,790000,False,104.0,56.0,1,left,T. Herro 11' pullup bank Jump Shot (5 PTS),[1629639],1610612748.0,MIA,pullup bank,,,Herro,T. Herro,,,,,Mid-Range,8-16 Right,,,,,,11.85,Made,,,,,,,5.0,,,,,,
83,PT04M44.00S,2025-02-08T00:53:33.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630592,80.946123521682,62.04427083333333,1610612751,14,18,2025-02-08T00:58:28Z,800000,False,60.0,127.0,1,right,J. Wilson 14' driving floating Jump Shot (2 PTS),[1630592],1610612751.0,BKN,driving floating,,,Wilson,J. Wilson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,14.02,Made,,,,,,,2.0,,,,,,
84,PT04M22.00S,2025-02-08T00:53:55.7Z,1,REGULAR,3pt,Jump Shot,[],1642276,5.995400788436268,94.6078431372549,1610612748,14,18,2025-02-08T00:58:55Z,810000,False,-223.0,4.0,1,left,MISS K. Ware 3PT,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Left Corner 3,24+ Left,,,,,,22.3,Missed,,,,,,,,,,,,,
85,PT04M20.00S,2025-02-08T00:53:57.7Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612751,14,18,2025-02-08T00:58:55Z,820000,False,,,0,,T. Watford REBOUND (Off:0 Def:2),[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,Left Corner 3,24+ Left,,,,,,,,,,84.0,2.0,2.0,0.0,,,,,,,
