actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
32,PT09M22.00S,2025-01-22T00:40:03.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626157,4.812746386333772,49.01960784313725,1610612752,2,10,2025-01-22T00:40:08Z,320000,False,5.0,-7.0,1,left,K. Towns alley-oop DUNK (2 PTS) (J. Hart 2 AST),"[1626157, 1628404]",1610612752.0,NYK,alley-oop,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,0.88,Made,2.0,J. Hart,1628404.0,2.0,,,,,,,,,,,,
34,PT09M09.00S,2025-01-22T00:40:15.9Z,1,REGULAR,3pt,Jump Shot,[],1629661,67.36202365308804,66.91176470588235,1610612751,5,10,2025-01-22T00:40:22Z,340000,False,85.0,254.0,1,right,C. Johnson 26' 3PT  (5 PTS) (D. Russell 2 AST),"[1629661, 1626156]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,,,26.8,Made,5.0,D. Russell,1626156.0,2.0,,,,,,,,,,,,
36,PT08M51.00S,2025-01-22T00:40:38.1Z,1,REGULAR,foul,personal,[],1626156,,,1610612752,5,10,2025-01-22T00:40:49Z,360000,False,,,0,,D. Russell personal FOUL (1 PF),"[1626156, 1628969]",1610612751.0,BKN,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,202901.0,,,,,,,,,,,,,,1.0,0.0,Bridges,1628969.0,,
38,PT08M42.00S,2025-01-22T00:41:06.7Z,1,REGULAR,3pt,Jump Shot,[],1626157,34.510512483574246,57.107843137254896,1610612752,5,10,2025-01-22T00:41:11Z,380000,False,-36.0,272.0,1,left,MISS K. Towns 27' 3PT,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,,,27.42,Missed,,,,,,,,,,,,,,,,
39,PT08M39.00S,2025-01-22T00:41:09.7Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,5,10,2025-01-22T00:41:11Z,390000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,
40,PT08M33.00S,2025-01-22T00:41:15.8Z,1,REGULAR,3pt,Jump Shot,[],1629661,66.96780551905388,36.029411764705884,1610612751,5,10,2025-01-22T00:41:20Z,400000,False,-70.0,258.0,1,right,MISS C. Johnson 26' 3PT,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Center,,,26.73,Missed,,,,,,,,,,,,,,,,
41,PT08M30.00S,2025-01-22T00:41:18.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,5,10,2025-01-22T00:41:20Z,410000,False,,,0,,K. Towns REBOUND (Off:0 Def:3),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,,,,,,,,,,,40.0,3.0,3.0,0.0,,,,,,
42,PT08M22.00S,2025-01-22T00:41:26.7Z,1,REGULAR,2pt,Jump Shot,[],1628973,17.296320630749015,29.166666666666668,1610612752,5,10,2025-01-22T00:41:31Z,420000,False,104.0,110.0,1,left,MISS J. Brunson 15' turnaround fadeaway Shot,[1628973],1610612752.0,NYK,turnaround fadeaway,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Right,,,15.16,Missed,,,,,,,,,,,,,,,,
43,PT08M18.00S,2025-01-22T00:41:30.7Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,5,10,2025-01-22T00:41:31Z,430000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Right,,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,
44,PT08M13.00S,2025-01-22T00:41:35.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641730,88.78120893561103,3.6764705882352944,1610612751,5,10,2025-01-22T00:43:26Z,440000,False,-232.0,53.0,1,right,MISS N. Clowney running 3PT,[1641730],1610612751.0,BKN,running,,,Clowney,N. Clowney,,,,,Left Corner 3,24+ Left,,,23.76,Missed,,,,,,,,,,,,,,,,
