actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
19,PT10M28.00S,2025-04-03T23:43:40.6Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,3,3,2025-04-03T23:43:43Z,190000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1630183],1610612750.0,MIN,,,,,,,Above the Break 3,24+ Right Center,,,McDaniels,J. McDaniels,18.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
20,PT10M24.00S,2025-04-03T23:43:44.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203944,67.36202365308804,41.42156862745098,1610612750,3,3,2025-04-03T23:43:49Z,200000,False,-43.0,254.0,1,right,MISS J. Randle 25' 3PT,[203944],1610612750.0,MIN,,,,,,,Above the Break 3,24+ Center,25.79,Missed,Randle,J. Randle,,,,,,,,,,,,,,,,,,,
21,PT10M20.00S,2025-04-03T23:43:48.6Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,3,3,2025-04-03T23:43:49Z,210000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,,,,Above the Break 3,24+ Center,,,Claxton,N. Claxton,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
22,PT10M17.00S,2025-04-03T23:43:52.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626156,30.831143232588698,26.47058823529412,1610612751,3,3,2025-04-03T23:44:23Z,220000,False,118.0,237.0,1,left,MISS D. Russell 26' running 3PT,[1626156],1610612751.0,BKN,running,,,,,,Above the Break 3,24+ Right Center,26.48,Missed,Russell,D. Russell,,,,,,,,,,,,,,,,,,,
23,PT10M15.00S,2025-04-03T23:43:54.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,3,3,2025-04-03T23:43:59Z,230000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,Above the Break 3,24+ Right Center,,,,,22.0,,,,,,,,,,,,,,,,,,
25,PT10M05.00S,2025-04-03T23:44:13.8Z,1,REGULAR,foul,personal,['2freethrow'],1641721,,,1610612750,3,3,2025-04-03T23:44:25Z,250000,False,,,0,,M. Lewis shooting personal FOUL (1 PF) (Edwards 2 FT),"[1641721, 1630162]",1610612751.0,BKN,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,Lewis,M. Lewis,,,,,,,,,,,,1626300.0,1.0,0.0,Edwards,1630162.0,,,
27,PT10M05.00S,2025-04-03T23:44:42.7Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,3,3,2025-04-03T23:45:00Z,270000,False,,,0,,MISS A. Edwards Free Throw 1 of 2,[1630162],1610612750.0,MIN,,,,,,,,,,Missed,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,
28,PT10M05.00S,2025-04-03T23:44:42.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612750,3,3,2025-04-03T23:45:00Z,280000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,
29,PT10M05.00S,2025-04-03T23:44:42.7Z,1,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,3,3,2025-04-03T23:45:00Z,290000,False,,,0,,MISS A. Edwards Free Throw 2 of 2,[1630162],1610612750.0,MIN,,,,,,,,,,Missed,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,
30,PT10M04.00S,2025-04-03T23:44:43.7Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,3,3,2025-04-04T00:02:26Z,300000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,,,,,,,,Claxton,N. Claxton,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
31,PT09M49.00S,2025-04-03T23:45:11.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,6.521024967148489,49.754901960784316,1610612751,5,3,2025-04-03T23:45:16Z,310000,False,1.0,9.0,1,left,N. Claxton alley-oop DUNK (2 PTS) (T. Watford 2 AST),"[1629651, 1630570]",1610612751.0,BKN,alley-oop,,,,,,Restricted Area,0-8 Center,0.89,Made,Claxton,N. Claxton,,,,,2.0,T. Watford,1630570.0,2.0,,,,,,,,,,,
33,PT09M34.00S,2025-04-03T23:45:26.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201144,94.30026281208936,54.65686274509803,1610612750,5,3,2025-04-03T23:45:32Z,330000,False,23.0,1.0,1,right,MISS M. Conley driving reverse Layup,[201144],1610612750.0,MIN,driving reverse,,,,,,Restricted Area,0-8 Center,2.33,Missed,Conley,M. Conley,,,,,,,,,,,,,,,,,,,
34,PT09M34.00S,2025-04-03T23:45:29.4Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,5,3,2025-04-03T23:45:29Z,340000,False,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612750.0,MIN,,,,,,,Restricted Area,0-8 Center,,,Gobert,R. Gobert,33.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
35,PT09M34.00S,2025-04-03T23:45:29.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203497,94.40999984741211,50.0,1610612750,5,3,2025-04-03T23:46:07Z,350000,False,0.0,0.0,1,right,MISS R. Gobert tip Layup,[203497],1610612750.0,MIN,tip,,,,,,Restricted Area,0-8 Center,0.0,Missed,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,
36,PT09M34.00S,2025-04-03T23:45:29.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,5,3,2025-04-03T23:46:07Z,360000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,Restricted Area,0-8 Center,,,,,35.0,,,,,,,,,,,,,,,,,,
38,PT09M25.00S,2025-04-03T23:45:57.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630162,68.67608409986859,32.84313725490196,1610612750,5,3,2025-04-03T23:46:02Z,380000,False,-86.0,242.0,1,right,MISS A. Edwards 25' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,,,,Above the Break 3,24+ Left Center,25.67,Missed,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,
39,PT09M22.00S,2025-04-03T23:46:00.7Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,5,3,2025-04-03T23:46:02Z,390000,False,,,0,,N. Claxton REBOUND (Off:0 Def:3),[1629651],1610612751.0,BKN,,,,,,,Above the Break 3,24+ Left Center,,,Claxton,N. Claxton,38.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
40,PT09M08.00S,2025-04-03T23:46:15.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,18.74178712220762,42.15686274509804,1610612751,5,3,2025-04-04T00:08:50Z,400000,False,39.0,124.0,1,left,MISS D. Russell 12' step back Shot,[1626156],1610612751.0,BKN,step back,,,,,,In The Paint (Non-RA),8-16 Center,12.98,Missed,Russell,D. Russell,,,,,,,,,,,,,,,,,,,
41,PT09M05.00S,2025-04-03T23:46:18.1Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,5,3,2025-04-03T23:46:19Z,410000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,,,,In The Paint (Non-RA),8-16 Center,,,Edwards,A. Edwards,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
42,PT08M56.00S,2025-04-03T23:46:26.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,90.09526938239159,40.931372549019606,1610612750,5,3,2025-04-03T23:46:43Z,420000,False,-45.0,41.0,1,right,MISS J. Randle 6' driving bank Shot,[203944],1610612750.0,MIN,driving bank,,,,,,In The Paint (Non-RA),0-8 Center,6.08,Missed,Randle,J. Randle,,,,,,,,,,,,,,,,,,,
43,PT08M54.00S,2025-04-03T23:46:28.1Z,1,REGULAR,rebound,defensive,[],1641721,,,1610612751,5,3,2025-04-03T23:46:43Z,430000,False,,,0,,M. Lewis REBOUND (Off:0 Def:1),[1641721],1610612751.0,BKN,,,,,,,In The Paint (Non-RA),0-8 Center,,,Lewis,M. Lewis,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
44,PT08M50.00S,2025-04-03T23:46:32.8Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629651,4.812746386333772,47.794117647058826,1610612751,7,3,2025-04-03T23:47:12Z,440000,False,11.0,-7.0,1,left,N. Claxton running alley-oop DUNK (4 PTS) (K. Johnson 1 AST),"[1629651, 1630553]",1610612751.0,BKN,running alley-oop,,,,,,Restricted Area,0-8 Center,1.32,Made,Claxton,N. Claxton,,,,,4.0,K. Johnson,1630553.0,1.0,,,,,,,,,,,
46,PT08M33.00S,2025-04-03T23:46:50.0Z,1,REGULAR,2pt,Jump Shot,[],203944,81.8166885676741,32.1078431372549,1610612750,7,3,2025-04-03T23:46:54Z,460000,False,-89.0,118.0,1,right,MISS J. Randle 14' driving floating Shot,[203944],1610612750.0,MIN,driving floating,,,,,,Mid-Range,8-16 Left,14.84,Missed,Randle,J. Randle,,,,,,,,,,,,,,,,,,,
47,PT08M28.00S,2025-04-03T23:46:55.0Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,7,3,2025-04-03T23:46:54Z,470000,False,,,0,,R. Gobert REBOUND (Off:2 Def:0),[203497],1610612750.0,MIN,,,,,,,Mid-Range,8-16 Left,,,Gobert,R. Gobert,46.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
48,PT08M28.00S,2025-04-03T23:46:54.2Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",203497,94.40999984741211,50.0,1610612750,7,5,2025-04-03T23:47:56Z,480000,False,0.0,0.0,1,right,R. Gobert putback DUNK (2 PTS),[203497],1610612750.0,MIN,putback,,,,,,Restricted Area,0-8 Center,0.0,Made,Gobert,R. Gobert,,,,,2.0,,,,,,,,,,,,,,
49,PT08M21.00S,2025-04-03T23:47:01.3Z,1,REGULAR,3pt,Jump Shot,[],1641721,4.418528252299605,95.58823529411765,1610612751,7,5,2025-04-03T23:47:07Z,490000,False,-228.0,-11.0,1,left,MISS M. Lewis 3PT,[1641721],1610612751.0,BKN,,,,,,,Left Corner 3,24+ Left,22.82,Missed,Lewis,M. Lewis,,,,,,,,,,,,,,,,,,,
50,PT08M17.00S,2025-04-03T23:47:05.3Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,7,5,2025-04-03T23:47:07Z,500000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,,,,Left Corner 3,24+ Left,,,Randle,J. Randle,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
51,PT08M13.00S,2025-04-03T23:47:10.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201144,95.87713534822602,96.81372549019608,1610612750,7,5,2025-04-03T23:49:14Z,510000,False,234.0,-14.0,1,right,MISS M. Conley running 3PT,[201144],1610612750.0,MIN,running,,,,,,Right Corner 3,24+ Right,23.45,Missed,Conley,M. Conley,,,,,,,,,,,,,,,,,,,
52,PT08M10.00S,2025-04-03T23:47:13.2Z,1,REGULAR,rebound,offensive,[],203944,,,1610612750,7,5,2025-04-03T23:47:13Z,520000,False,,,0,,J. Randle REBOUND (Off:1 Def:1),[203944],1610612750.0,MIN,,,,,,,Right Corner 3,24+ Right,,,Randle,J. Randle,51.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
53,PT08M07.00S,2025-04-03T23:47:16.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203497,90.62089356110381,39.950980392156865,1610612750,7,7,2025-04-03T23:47:24Z,530000,False,-50.0,36.0,1,right,R. Gobert 6' Layup (4 PTS) (J. Randle 1 AST),"[203497, 203944]",1610612750.0,MIN,,,,,,,In The Paint (Non-RA),0-8 Center,6.16,Made,Gobert,R. Gobert,,,,,4.0,J. Randle,203944.0,1.0,,,,,,,,,,,
55,PT07M39.00S,2025-04-03T23:47:44.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641721,11.12023653088042,54.65686274509803,1610612751,7,7,2025-04-03T23:47:51Z,550000,False,-23.0,52.0,1,left,MISS M. Lewis driving Layup,[1641721],1610612751.0,BKN,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.7,Missed,Lewis,M. Lewis,,,,,,,,,,,,,,,,,,,
56,PT07M35.00S,2025-04-03T23:47:48.4Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,7,7,2025-04-03T23:47:51Z,560000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:1),[1630183],1610612750.0,MIN,,,,,,,In The Paint (Non-RA),0-8 Center,,,McDaniels,J. McDaniels,55.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
57,PT07M33.00S,2025-04-03T23:47:51.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630162,92.06636005256242,47.549019607843135,1610612750,7,9,2025-04-03T23:47:56Z,570000,False,-12.0,22.0,1,right,A. Edwards running Layup (2 PTS) (M. Conley 2 AST),"[1630162, 201144]",1610612750.0,MIN,running,,,,,,Restricted Area,0-8 Center,2.53,Made,Edwards,A. Edwards,,,,,2.0,M. Conley,201144.0,2.0,,,,,,,,,,,
59,PT07M33.00S,2025-04-03T23:47:55.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,7,9,2025-04-03T23:47:55Z,590000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M12.00S,2025-04-03T23:51:08.2Z,1,REGULAR,turnover,out-of-bounds,[],1626156,,,1610612751,7,9,2025-04-03T23:51:12Z,600000,False,,,0,,D. Russell bad pass out-of-bounds TURNOVER (2 TO),[1626156],1610612751.0,BKN,bad pass,,,,,,Above the Break 3,24+ Right Center,,,Russell,D. Russell,,,,,,,,,2.0,,,202037.0,,,,,,,
61,PT06M52.00S,2025-04-03T23:51:34.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630183,68.15045992115637,66.17647058823529,1610612750,7,9,2025-04-03T23:51:42Z,610000,False,81.0,247.0,1,right,MISS J. McDaniels 25' 3PT,[1630183],1610612750.0,MIN,,,,,,,Above the Break 3,24+ Center,25.98,Missed,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,
62,PT06M51.00S,2025-04-03T23:51:35.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,7,9,2025-04-03T23:51:42Z,620000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,Above the Break 3,24+ Center,,,,,61.0,,,,,,,,,,,,,,,,,,
63,PT06M51.00S,2025-04-03T23:51:41.6Z,1,REGULAR,foul,personal,[],203944,,,1610612751,7,9,2025-04-03T23:51:52Z,630000,False,,,0,,J. Randle loose ball personal FOUL (1 PF),"[203944, 1626156]",1610612750.0,MIN,loose ball,,,,,,Restricted Area,0-8 Center,,,Randle,J. Randle,,,,,,,,,,,,202037.0,1.0,0.0,Russell,1626156.0,,,
65,PT06M39.00S,2025-04-03T23:52:05.0Z,1,REGULAR,3pt,Jump Shot,[],1626156,29.25427069645204,74.01960784313727,1610612751,7,9,2025-04-03T23:52:10Z,650000,False,-120.0,222.0,1,left,MISS D. Russell 25' 3PT,[1626156],1610612751.0,BKN,,,,,,,Above the Break 3,24+ Left Center,25.28,Missed,Russell,D. Russell,,,,,,,,,,,,,,,,,,,
66,PT06M36.00S,2025-04-03T23:52:08.0Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,7,9,2025-04-03T23:52:10Z,660000,False,,,0,,J. Randle REBOUND (Off:1 Def:2),[203944],1610612750.0,MIN,,,,,,,Above the Break 3,24+ Left Center,,,Randle,J. Randle,65.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
67,PT06M30.00S,2025-04-03T23:52:14.2Z,1,REGULAR,2pt,Jump Shot,[],1630162,94.1688567674113,24.509803921568626,1610612750,7,11,2025-04-03T23:52:34Z,670000,False,-127.0,2.0,1,right,A. Edwards 12' pullup Jump Shot (4 PTS),[1630162],1610612750.0,MIN,pullup,,,,,,Mid-Range,8-16 Left,12.75,Made,Edwards,A. Edwards,,,,,4.0,,,,,,,,,,,,,,
68,PT06M30.00S,2025-04-03T23:52:20.4Z,1,REGULAR,foul,personal,['1freethrow'],1630553,,,1610612750,7,11,2025-04-03T23:52:40Z,680000,False,,,0,,K. Johnson shooting personal FOUL (1 PF) (Edwards 1 FT),"[1630553, 1630162]",1610612751.0,BKN,shooting,,,,,,Mid-Range,8-16 Left,,,Johnson,K. Johnson,,,,,,,,,,,,202037.0,1.0,0.0,Edwards,1630162.0,,,
70,PT06M30.00S,2025-04-03T23:52:30.2Z,1,REGULAR,substitution,out,[],203944,,,1610612750,7,11,2025-04-03T23:52:39Z,700000,False,,,0,,SUB out: J. Randle,[203944],1610612750.0,MIN,,,,,,,,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,
71,PT06M30.00S,2025-04-03T23:52:30.2Z,1,REGULAR,substitution,out,[],201144,,,1610612750,7,11,2025-04-03T23:52:39Z,710000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,,,,,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,
72,PT06M30.00S,2025-04-03T23:52:30.2Z,1,REGULAR,substitution,in,[],1628978,,,1610612750,7,11,2025-04-03T23:52:39Z,720000,False,,,0,,SUB in: D. DiVincenzo,[1628978],1610612750.0,MIN,,,,,,,,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,
73,PT06M30.00S,2025-04-03T23:52:30.2Z,1,REGULAR,substitution,in,[],1629675,,,1610612750,7,11,2025-04-03T23:52:39Z,730000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,,,,,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,
74,PT06M30.00S,2025-04-03T23:52:43.2Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612750,7,11,2025-04-03T23:52:46Z,740000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,202037.0,,,,,,,
75,PT06M30.00S,2025-04-03T23:52:56.1Z,1,REGULAR,freethrow,1 of 1,[],1630162,,,1610612750,7,12,2025-04-03T23:52:56Z,750000,False,,,0,,A. Edwards Free Throw 1 of 1 (5 PTS),[1630162],1610612750.0,MIN,,,,,,,,,,Made,Edwards,A. Edwards,,,,,5.0,,,,,,,,,,,,,,
76,PT06M12.00S,2025-04-03T23:53:16.3Z,1,REGULAR,2pt,Jump Shot,[],1629651,15.456636005256241,70.34313725490196,1610612751,9,12,2025-04-03T23:53:38Z,760000,False,-102.0,93.0,1,left,N. Claxton 13' turnaround fadeaway Jump Shot (6 PTS) (T. Watford 3 AST),"[1629651, 1630570]",1610612751.0,BKN,turnaround fadeaway,,,,,,Mid-Range,8-16 Left,13.77,Made,Claxton,N. Claxton,,,,,6.0,T. Watford,1630570.0,3.0,,,,,,,,,,,
77,PT05M55.00S,2025-04-03T23:53:35.0Z,1,REGULAR,turnover,out-of-bounds,[],1628978,,,1610612750,9,12,2025-04-03T23:53:57Z,770000,False,,,0,,D. DiVincenzo bad pass out-of-bounds TURNOVER (1 TO),[1628978],1610612750.0,MIN,bad pass,,,,,,Left Corner 3,24+ Left,,,DiVincenzo,D. DiVincenzo,,,,,,,,,1.0,,,1626300.0,,,,,,,
78,PT05M55.00S,2025-04-03T23:53:38.5Z,1,REGULAR,substitution,out,[],1626156,,,1610612751,9,12,2025-04-03T23:53:53Z,780000,False,,,0,,SUB out: D. Russell,[1626156],1610612751.0,BKN,,,,,,,,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,
79,PT05M55.00S,2025-04-03T23:53:38.5Z,1,REGULAR,substitution,out,[],1630570,,,1610612751,9,12,2025-04-03T23:53:53Z,790000,False,,,0,,SUB out: T. Watford,[1630570],1610612751.0,BKN,,,,,,,,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,
80,PT05M55.00S,2025-04-03T23:53:38.5Z,1,REGULAR,substitution,out,[],1629651,,,1610612751,9,12,2025-04-03T23:53:53Z,800000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,,,,,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,
81,PT05M55.00S,2025-04-03T23:53:38.5Z,1,REGULAR,substitution,out,[],1630553,,,1610612751,9,12,2025-04-03T23:53:53Z,810000,False,,,0,,SUB out: K. Johnson,[1630553],1610612751.0,BKN,,,,,,,,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,
82,PT05M55.00S,2025-04-03T23:53:38.5Z,1,REGULAR,substitution,in,[],1631166,,,1610612751,9,12,2025-04-03T23:53:53Z,820000,False,,,0,,SUB in: D. Timme,[1631166],1610612751.0,BKN,,,,,,,,,,,Timme,D. Timme,,,,,,,,,,,,,,,,,,,
83,PT05M55.00S,2025-04-03T23:53:38.5Z,1,REGULAR,substitution,in,[],1641787,,,1610612751,9,12,2025-04-03T23:53:53Z,830000,False,,,0,,SUB in: T. Evbuomwan,[1641787],1610612751.0,BKN,,,,,,,,,,,Evbuomwan,T. Evbuomwan,,,,,,,,,,,,,,,,,,,
84,PT05M55.00S,2025-04-03T23:53:38.5Z,1,REGULAR,substitution,in,[],1641727,,,1610612751,9,12,2025-04-03T23:53:53Z,840000,False,,,0,,SUB in: D. Whitehead,[1641727],1610612751.0,BKN,,,,,,,,,,,Whitehead,D. Whitehead,,,,,,,,,,,,,,,,,,,
85,PT05M55.00S,2025-04-03T23:53:38.5Z,1,REGULAR,substitution,in,[],1641736,,,1610612751,9,12,2025-04-03T23:53:53Z,850000,False,,,0,,SUB in: R. Beekman,[1641736],1610612751.0,BKN,,,,,,,,,,,Beekman,R. Beekman,,,,,,,,,,,,,,,,,,,
87,PT05M37.00S,2025-04-03T23:54:10.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641721,3.4986859395532193,95.34313725490196,1610612751,9,12,2025-04-03T23:54:33Z,860000,False,-227.0,-20.0,1,left,MISS M. Lewis 3PT,[1641721],1610612751.0,BKN,,,,,,,Left Corner 3,24+ Left,22.75,Missed,Lewis,M. Lewis,,,,,,,,,,,,,,,,,,,
