actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
25,PT09M18.00S,2025-03-01T00:44:22.3Z,1,REGULAR,2pt,Jump Shot,[],1629014,72.22404730617609,46.32352941176471,1610612757,9,9,2025-03-01T00:44:27Z,250000,False,-18.0,209.0,1,right,A. Simons 20' pullup Jump Shot (4 PTS),[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,Mid-Range,16-24 Center,,,20.94,Made,4.0,,,,,,,,,,,,,,,
26,PT08M50.00S,2025-03-01T00:44:50.8Z,1,REGULAR,2pt,Jump Shot,[],1630533,22.946780551905388,48.77450980392157,1610612751,11,9,2025-03-01T00:44:56Z,260000,False,6.0,163.0,1,left,Z. Williams 16' pullup Jump Shot (5 PTS) (N. Claxton 3 AST),"[1630533, 1629651]",1610612751.0,BKN,pullup,,,Williams,Z. Williams,,,,,Mid-Range,16-24 Center,,,16.33,Made,5.0,N. Claxton,1629651.0,3.0,,,,,,,,,,,,
28,PT08M36.00S,2025-03-01T00:45:04.6Z,1,REGULAR,2pt,Jump Shot,[],1631101,76.82325886990802,47.30392156862745,1610612757,11,11,2025-03-01T00:45:12Z,280000,False,-13.0,165.0,1,right,S. Sharpe 16' pullup Jump Shot (4 PTS),[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Center,,,16.6,Made,4.0,,,,,,,,,,,,,,,
29,PT08M14.00S,2025-03-01T00:45:26.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,5.732588699080158,46.81372549019608,1610612751,11,11,2025-03-01T00:45:47Z,290000,False,16.0,1.0,1,left,MISS N. Claxton alley-oop Layup,[1629651],1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,1.6,Missed,,,,,,,,,,,,,,,,
30,PT08M14.00S,2025-03-01T00:45:26.7Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,11,11,2025-03-01T00:45:47Z,300000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,
31,PT08M01.00S,2025-03-01T00:45:39.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631101,94.03745072273325,51.71568627450981,1610612757,11,13,2025-03-01T00:46:03Z,310000,False,9.0,4.0,1,right,S. Sharpe driving finger roll Layup (6 PTS) (A. Simons 1 AST),"[1631101, 1629014]",1610612757.0,POR,driving finger roll,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,0.93,Made,6.0,A. Simons,1629014.0,1.0,,,,,,,,,,,,
33,PT08M00.00S,2025-03-01T00:45:44.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,11,13,2025-03-01T00:45:44Z,330000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M00.00S,2025-03-01T00:45:52.8Z,1,REGULAR,substitution,out,[],1630560,,,1610612751,11,13,2025-03-01T00:48:26Z,340000,False,,,0,,SUB out: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M00.00S,2025-03-01T00:45:52.8Z,1,REGULAR,substitution,out,[],1629014,,,1610612751,11,13,2025-03-01T00:48:26Z,350000,False,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M00.00S,2025-03-01T00:45:52.8Z,1,REGULAR,substitution,in,[],1630553,,,1610612751,11,13,2025-03-01T00:48:26Z,360000,False,,,0,,SUB in: K. Johnson,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M00.00S,2025-03-01T00:45:52.8Z,1,REGULAR,substitution,in,[],1630703,,,1610612751,11,13,2025-03-01T00:48:26Z,370000,False,,,0,,SUB in: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT07M51.00S,2025-03-01T00:48:52.6Z,1,REGULAR,turnover,out-of-bounds,[],1630553,,,1610612751,11,13,2025-03-01T00:48:58Z,380000,False,,,0,,K. Johnson bad pass out-of-bounds TURNOVER (1 TO),[1630553],1610612751.0,BKN,bad pass,,,Johnson,K. Johnson,,,,,Right Corner 3,24+ Right,202035.0,1.0,,,,,,,,,,,,,,,,,,
39,PT07M40.00S,2025-03-01T00:49:07.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631101,79.84559789750328,63.970588235294116,1610612757,11,15,2025-03-01T00:49:32Z,390000,False,70.0,137.0,1,right,S. Sharpe 15' pullup Jump Shot (8 PTS),[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),8-16 Center,,,15.38,Made,8.0,,,,,,,,,,,,,,,
40,PT07M36.00S,2025-03-01T00:49:16.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,11,15,2025-03-01T00:49:16Z,400000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT07M27.00S,2025-03-01T00:52:23.6Z,1,REGULAR,foul,personal,[],1630703,,,1610612751,11,15,2025-03-01T00:54:02Z,410000,False,,,0,,S. Henderson personal FOUL (1 PF),"[1630703, 1630165]",1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Center,202035.0,,,,,,,,,,,,,,1.0,0.0,Hayes,1630165.0,,
43,PT07M23.00S,2025-03-01T00:52:57.9Z,1,REGULAR,3pt,Jump Shot,[],1630533,6.521024967148489,3.9215686274509802,1610612751,11,15,2025-03-01T00:53:03Z,430000,False,230.0,9.0,1,left,MISS Z. Williams 3PT,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Right Corner 3,24+ Right,,,23.06,Missed,,,,,,,,,,,,,,,,
44,PT07M22.00S,2025-03-01T00:52:58.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,11,15,2025-03-01T00:53:20Z,440000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,,,43.0,,,,,,,,,
46,PT07M21.00S,2025-03-01T00:53:19.5Z,1,REGULAR,foul,personal,[],1629651,,,1610612757,11,15,2025-03-01T00:53:24Z,460000,False,,,0,,N. Claxton loose ball personal FOUL (1 PF),"[1629651, 1642270]",1610612751.0,BKN,loose ball,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1179.0,,,,,,,,,,,,,,1.0,0.0,Clingan,1642270.0,,
48,PT07M09.00S,2025-03-01T00:53:34.1Z,1,REGULAR,foul,personal,['2freethrow'],1629661,,,1610612757,11,15,2025-03-01T00:53:42Z,480000,False,,,0,,C. Johnson shooting personal FOUL (1 PF) (Camara 2 FT),"[1629661, 1641739]",1610612751.0,BKN,shooting,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,202035.0,,,,,,,,,,,,,,1.0,0.0,Camara,1641739.0,,
50,PT07M09.00S,2025-03-01T00:54:00.9Z,1,REGULAR,freethrow,1 of 2,[],1641739,,,1610612757,11,15,2025-03-01T00:54:00Z,500000,False,,,0,,MISS T. Camara Free Throw 1 of 2,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
51,PT07M09.00S,2025-03-01T00:54:00.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,11,15,2025-03-01T00:54:00Z,510000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,
52,PT07M09.00S,2025-03-01T00:54:02.4Z,1,REGULAR,substitution,out,[],1630165,,,1610612757,11,15,2025-03-01T00:54:08Z,520000,False,,,0,,SUB out: K. Hayes,[1630165],1610612751.0,BKN,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M09.00S,2025-03-01T00:54:02.4Z,1,REGULAR,substitution,out,[],1630533,,,1610612757,11,15,2025-03-01T00:54:08Z,530000,False,,,0,,SUB out: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M09.00S,2025-03-01T00:54:02.4Z,1,REGULAR,substitution,in,[],1630592,,,1610612757,11,15,2025-03-01T00:54:08Z,540000,False,,,0,,SUB in: J. Wilson,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M09.00S,2025-03-01T00:54:02.4Z,1,REGULAR,substitution,in,[],1631213,,,1610612757,11,15,2025-03-01T00:54:08Z,550000,False,,,0,,SUB in: T. Martin,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M09.00S,2025-03-01T00:54:24.7Z,1,REGULAR,freethrow,2 of 2,[],1641739,,,1610612757,11,16,2025-03-01T00:54:24Z,560000,False,,,0,,T. Camara Free Throw 2 of 2 (4 PTS),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
57,PT06M46.00S,2025-03-01T00:54:49.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,7.440867279894875,57.35294117647059,1610612751,11,16,2025-03-01T00:54:57Z,570000,False,-37.0,17.0,1,left,MISS N. Claxton driving Layup,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,4.07,Missed,,,,,,,,,,,,,,,,
58,PT06M46.00S,2025-03-01T00:54:49.0Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,11,16,2025-03-01T00:54:57Z,580000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,
59,PT06M46.00S,2025-03-01T00:54:54.5Z,1,REGULAR,turnover,out-of-bounds,[],1631101,,,1610612757,11,16,2025-03-01T00:55:00Z,590000,False,,,0,,S. Sharpe lost ball out-of-bounds TURNOVER (1 TO),[1631101],1610612757.0,POR,lost ball,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,202035.0,1.0,,,,,,,,,,,,,,,,,,
60,PT06M38.00S,2025-03-01T00:55:15.7Z,1,REGULAR,turnover,bad pass,[],1629661,,,1610612751,11,16,2025-03-01T00:55:21Z,600000,False,,,0,,C. Johnson bad pass TURNOVER (1 TO),"[1629661, 1641739]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,Camara,1641739.0,,,,,,,,,,
61,PT06M38.00S,2025-03-01T00:55:15.7Z,1,REGULAR,steal,,[],1641739,,,1610612757,11,16,2025-03-01T00:55:18Z,610000,False,,,0,,T. Camara STEAL (1 STL),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
62,PT06M33.00S,2025-03-01T00:55:21.0Z,1,REGULAR,turnover,bad pass,[],1631200,,,1610612757,11,16,2025-03-01T00:55:25Z,620000,False,,,0,,K. Murray bad pass TURNOVER (1 TO),"[1631200, 1630592]",1610612757.0,POR,,,,Murray,K. Murray,,,,,Mid-Range,16-24 Left,,1.0,,,,,,,Wilson,1630592.0,,,,,,,,,,
63,PT06M33.00S,2025-03-01T00:55:21.0Z,1,REGULAR,steal,,[],1630592,,,1610612751,11,16,2025-03-01T00:55:24Z,630000,False,,,0,,J. Wilson STEAL (1 STL),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
64,PT06M12.00S,2025-03-01T00:55:42.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629651,18.74178712220762,49.754901960784316,1610612751,13,16,2025-03-01T00:55:47Z,640000,False,1.0,124.0,1,left,N. Claxton 12' Jump Shot (4 PTS) (C. Johnson 1 AST),"[1629651, 1629661]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,12.37,Made,4.0,C. Johnson,1629661.0,1.0,,,,,,,,,,,,
66,PT05M59.00S,2025-03-01T00:55:54.2Z,1,REGULAR,3pt,Jump Shot,[],1631101,73.80091984231275,80.3921568627451,1610612757,13,19,2025-03-01T00:55:59Z,660000,False,152.0,194.0,1,right,S. Sharpe 24' 3PT  (11 PTS) (S. Henderson 1 AST),"[1631101, 1630703]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,,,24.63,Made,11.0,S. Henderson,1630703.0,1.0,,,,,,,,,,,,
68,PT05M46.00S,2025-03-01T00:56:07.3Z,1,REGULAR,3pt,Jump Shot,[],1630553,21.895532194480946,10.53921568627451,1610612751,16,19,2025-03-01T00:56:11Z,680000,False,197.0,153.0,1,left,K. Johnson 24' 3PT  (3 PTS) (C. Johnson 2 AST),"[1630553, 1629661]",1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,24.99,Made,3.0,C. Johnson,1629661.0,2.0,,,,,,,,,,,,
70,PT05M32.00S,2025-03-01T00:56:21.0Z,1,REGULAR,3pt,Jump Shot,[],1641739,95.48291721419186,3.1862745098039214,1610612757,16,22,2025-03-01T00:56:25Z,700000,False,-234.0,-10.0,1,right,T. Camara 3PT  (7 PTS) (S. Henderson 2 AST),"[1641739, 1630703]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Left Corner 3,24+ Left,,,23.43,Made,7.0,S. Henderson,1630703.0,2.0,,,,,,,,,,,,
72,PT05M07.00S,2025-03-01T00:56:48.3Z,1,REGULAR,turnover,out-of-bounds,[],1629661,,,1610612751,16,22,2025-03-01T00:57:15Z,720000,False,,,0,,C. Johnson bad pass out-of-bounds TURNOVER (2 TO),[1629661],1610612751.0,BKN,bad pass,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,202035.0,2.0,,,,,,,,,,,,,,,,,,
73,PT05M07.00S,2025-03-01T00:56:50.5Z,1,REGULAR,substitution,out,[],1629661,,,1610612757,16,22,2025-03-01T00:57:13Z,730000,False,,,0,,SUB out: C. Johnson,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M07.00S,2025-03-01T00:56:50.5Z,1,REGULAR,substitution,out,[],1629651,,,1610612757,16,22,2025-03-01T00:57:13Z,740000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M07.00S,2025-03-01T00:56:50.5Z,1,REGULAR,substitution,out,[],1642270,,,1610612757,16,22,2025-03-01T00:57:13Z,750000,False,,,0,,SUB out: D. Clingan,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M07.00S,2025-03-01T00:56:50.5Z,1,REGULAR,substitution,in,[],1630549,,,1610612757,16,22,2025-03-01T00:57:13Z,760000,False,,,0,,SUB in: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M07.00S,2025-03-01T00:56:50.5Z,1,REGULAR,substitution,in,[],1630570,,,1610612757,16,22,2025-03-01T00:57:13Z,770000,False,,,0,,SUB in: T. Watford,[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M07.00S,2025-03-01T00:56:50.5Z,1,REGULAR,substitution,in,[],1631133,,,1610612757,16,22,2025-03-01T00:57:13Z,780000,False,,,0,,SUB in: J. Walker,[1631133],1610612757.0,POR,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M57.00S,2025-03-01T00:57:25.4Z,1,REGULAR,turnover,bad pass,[],1631101,,,1610612757,16,22,2025-03-01T00:57:29Z,790000,False,,,0,,S. Sharpe bad pass TURNOVER (2 TO),"[1631101, 1631213]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,,2.0,,,,,,,Martin,1631213.0,,,,,,,,,,
80,PT04M57.00S,2025-03-01T00:57:25.4Z,1,REGULAR,steal,,[],1631213,,,1610612751,16,22,2025-03-01T00:57:27Z,800000,False,,,0,,T. Martin STEAL (1 STL),[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
81,PT04M53.00S,2025-03-01T00:57:29.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631213,5.732588699080158,43.13725490196079,1610612751,18,22,2025-03-01T00:57:36Z,810000,False,34.0,1.0,1,left,T. Martin running Layup (2 PTS),[1631213],1610612751.0,BKN,running,,,Martin,T. Martin,,,,,Restricted Area,0-8 Center,,,3.43,Made,2.0,,,,,,,,,,,,,,,
82,PT04M41.00S,2025-03-01T00:57:41.5Z,1,REGULAR,3pt,Jump Shot,[],1641739,73.80091984231275,16.42156862745098,1610612757,18,25,2025-03-01T00:57:45Z,820000,False,-168.0,194.0,1,right,T. Camara 25' 3PT  (10 PTS) (S. Henderson 3 AST),"[1641739, 1630703]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,,,25.64,Made,10.0,S. Henderson,1630703.0,3.0,,,,,,,,,,,,
84,PT04M20.00S,2025-03-01T00:58:14.1Z,1,REGULAR,violation,kicked ball,[],1641739,,,1610612751,18,25,2025-03-01T00:58:23Z,840000,False,,,0,,T. Camara kicked ball VIOLATION,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,1179.0,,,,,,,,,,,,,,,,,,,
85,PT04M20.00S,2025-03-01T00:58:17.0Z,1,REGULAR,substitution,out,[],1631200,,,1610612751,18,25,2025-03-01T00:58:26Z,850000,False,,,0,,SUB out: K. Murray,[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M20.00S,2025-03-01T00:58:17.0Z,1,REGULAR,substitution,in,[],1629014,,,1610612751,18,25,2025-03-01T00:58:26Z,860000,False,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M15.00S,2025-03-01T00:58:42.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630549,8.886333771353483,49.754901960784316,1610612751,18,25,2025-03-01T01:00:07Z,870000,False,1.0,31.0,1,left,MISS D. Sharpe driving Layup,[1630549],1610612751.0,BKN,driving,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,,,3.1,Missed,,,,,,,,,,,,,,,,
88,PT04M14.00S,2025-03-01T00:58:43.1Z,1,REGULAR,rebound,offensive,[],1630549,,,1610612751,18,25,2025-03-01T00:59:23Z,880000,False,,,0,,D. Sharpe REBOUND (Off:1 Def:0),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,,,,,87.0,1.0,0.0,1.0,,,,,,
