actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT10M44.00S,2025-01-23T00:42:24.4Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,0,0,2025-01-23T00:43:22Z,150000,False,,,0,,N. Clowney REBOUND (Off:0 Def:1),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Right Corner 3,24+ Right,,,14.0,,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M29.00S,2025-01-23T00:42:39.1Z,1,REGULAR,3pt,Jump Shot,[],1630592,6.258212877792378,4.6568627450980395,1610612751,0,0,2025-01-23T00:43:37Z,160000,False,227.0,6.0,1,left,MISS J. Wilson 3PT,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Right Corner 3,24+ Right,22.68,Missed,,,,,,,,,,,,,,,,,,
17,PT10M27.00S,2025-01-23T00:42:41.1Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612756,0,0,2025-01-23T00:43:37Z,170000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1626145],1610612756.0,PHX,,,,Jones,T. Jones,,,,,Right Corner 3,24+ Right,,,16.0,,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M10.00S,2025-01-23T00:42:57.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642346,87.12220762155059,50.79656862745098,1610612756,0,2,2025-01-23T00:43:53Z,180000,False,4.0,69.0,1,right,R. Dunn 6' floating Jump Shot (2 PTS) (T. Jones 1 AST),"[1642346, 1626145]",1610612756.0,PHX,floating,,,Dunn,R. Dunn,,,,,In The Paint (Non-RA),0-8 Center,6.87,Made,,,,,,2.0,T. Jones,1626145.0,1.0,,,,,,,,,
20,PT09M56.00S,2025-01-23T00:43:11.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630553,13.272010512483575,50.8578431372549,1610612751,2,2,2025-01-23T00:44:10Z,200000,False,-4.0,72.0,1,left,K. Johnson 7' driving finger roll Layup (2 PTS),[1630553],1610612751.0,BKN,driving finger roll,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,7.24,Made,,,,,,2.0,,,,,,,,,,,,
21,PT09M46.00S,2025-01-23T00:43:21.0Z,1,REGULAR,2pt,Jump Shot,[],1626164,88.30486202365309,71.47288602941177,1610612756,2,4,2025-01-23T00:44:29Z,210000,False,107.0,57.0,1,right,D. Booker 12' fadeaway Jump Shot (2 PTS),[1626164],1610612756.0,PHX,fadeaway,,,Booker,D. Booker,,,,,Mid-Range,8-16 Right,12.18,Made,,,,,,2.0,,,,,,,,,,,,
22,PT09M26.00S,2025-01-23T00:43:41.8Z,1,REGULAR,2pt,Jump Shot,[],1630553,6.701708278580824,92.62408088235294,1610612751,2,4,2025-01-23T00:45:01Z,220000,False,-213.0,10.0,1,left,MISS K. Johnson 21' step back Shot - blocked,"[1630553, 201142]",1610612751.0,BKN,step back,,,Johnson,K. Johnson,,,,,Mid-Range,16-24 Left,21.34,Missed,,,,,,,,,,Durant,201142.0,,,,,,,
23,PT09M26.00S,2025-01-23T00:43:41.8Z,1,REGULAR,block,,[],201142,,,1610612751,2,4,2025-01-23T00:43:45Z,230000,False,,,0,,K. Durant BLOCK (1 BLK),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
24,PT09M25.00S,2025-01-23T00:43:42.8Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,2,4,2025-01-23T00:45:01Z,240000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Left,,,22.0,,1.0,1.0,0.0,,,,,,,,,,,,,
25,PT09M15.00S,2025-01-23T00:43:52.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,91.72141918528253,42.86917892156863,1610612756,2,6,2025-01-23T00:45:24Z,250000,False,-36.0,25.0,1,right,D. Booker driving Layup (4 PTS) (T. Jones 2 AST),"[1626164, 1626145]",1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,4.38,Made,,,,,,4.0,T. Jones,1626145.0,2.0,,,,,,,,,
28,PT08M49.00S,2025-01-23T00:44:35.6Z,1,REGULAR,2pt,Jump Shot,[],1629651,24.31011826544021,65.15012254901961,1610612751,2,6,2025-01-23T00:46:02Z,280000,False,-76.0,176.0,1,left,MISS N. Claxton 19' step back Shot,[1629651],1610612751.0,BKN,step back,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Left Center,19.16,Missed,,,,,,,,,,,,,,,,,,
29,PT08M47.00S,2025-01-23T00:44:37.6Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,2,6,2025-01-23T00:46:02Z,290000,False,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Left Center,,,28.0,,2.0,2.0,0.0,,,,,,,,,,,,,
30,PT08M43.00S,2025-01-23T00:44:41.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626164,71.30420499342969,21.07843137254902,1610612756,2,6,2025-01-23T00:46:36Z,300000,False,-145.0,217.0,1,right,MISS D. Booker 26' running pullup 3PT,[1626164],1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,26.09,Missed,,,,,,,,,,,,,,,,,,
31,PT08M39.00S,2025-01-23T00:44:45.6Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,2,6,2025-01-23T00:46:36Z,310000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,30.0,,2.0,2.0,0.0,,,,,,,,,,,,,
32,PT08M35.00S,2025-01-23T00:44:51.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629651,11.038107752956634,55.06280637254902,1610612751,2,6,2025-01-23T00:47:03Z,320000,False,-25.0,51.0,1,left,MISS N. Claxton running Layup,[1629651],1610612751.0,BKN,running,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,5.72,Missed,,,,,,,,,,,,,,,,,,
33,PT08M33.00S,2025-01-23T00:44:53.3Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612756,2,6,2025-01-23T00:47:03Z,330000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,32.0,,1.0,1.0,0.0,,,,,,,,,,,,,
34,PT08M18.00S,2025-01-23T00:45:06.4Z,1,REGULAR,3pt,Jump Shot,[],1642346,74.3511826544021,84.53584558823529,1610612756,2,6,2025-01-23T00:47:20Z,340000,False,173.0,189.0,1,right,MISS R. Dunn 25' 3PT,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Right Center,25.57,Missed,,,,,,,,,,,,,,,,,,
35,PT08M15.00S,2025-01-23T00:45:09.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,2,6,2025-01-23T00:47:20Z,350000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Right Center,,,34.0,,,,,,,,,,,,,,,,,
37,PT08M01.00S,2025-01-23T00:45:41.3Z,1,REGULAR,turnover,bad pass,[],1630553,,,1610612751,2,6,2025-01-23T00:47:38Z,370000,False,,,0,,K. Johnson bad pass TURNOVER (1 TO),"[1630553, 1642346]",1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,1.0,Dunn,1642346.0,,,,
38,PT08M01.00S,2025-01-23T00:45:41.3Z,1,REGULAR,steal,,[],1642346,,,1610612756,2,6,2025-01-23T00:45:43Z,380000,False,,,0,,R. Dunn STEAL (1 STL),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
39,PT07M48.00S,2025-01-23T00:45:54.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201142,82.26018396846254,24.486825980392155,1610612756,2,6,2025-01-23T00:48:02Z,390000,False,-128.0,114.0,1,right,MISS K. Durant 17' pullup Shot,[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Mid-Range,16-24 Left Center,17.13,Missed,,,,,,,,,,,,,,,,,,
40,PT07M45.00S,2025-01-23T00:45:57.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,2,6,2025-01-23T00:48:02Z,400000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Mid-Range,16-24 Left Center,,,39.0,,,,,,,,,,,,,,,,,
41,PT07M45.00S,2025-01-23T00:46:01.3Z,1,REGULAR,foul,personal,[],1630208,,,1610612751,2,6,2025-01-23T00:48:16Z,410000,False,,,0,,N. Richards loose ball personal FOUL (1 PF),"[1630208, 1641730]",1610612756.0,PHX,loose ball,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,1627962.0,,,,,,,,,,,,,1.0,0.0,Clowney,1641730.0
43,PT07M37.00S,2025-01-23T00:46:24.6Z,1,REGULAR,3pt,Jump Shot,[],1631213,31.192509855453352,79.65686274509804,1610612751,2,6,2025-01-23T00:48:35Z,430000,False,-148.0,241.0,1,left,MISS T. Martin 28' 3PT,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Left Center,28.27,Missed,,,,,,,,,,,,,,,,,,
44,PT07M34.00S,2025-01-23T00:46:27.6Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612756,2,6,2025-01-23T00:48:35Z,440000,False,,,0,,N. Richards REBOUND (Off:0 Def:2),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Left Center,,,43.0,,2.0,2.0,0.0,,,,,,,,,,,,,
45,PT07M15.00S,2025-01-23T00:46:45.0Z,1,REGULAR,3pt,Jump Shot,[],1626145,65.19793035479631,34.29074754901961,1610612756,2,9,2025-01-23T00:48:57Z,450000,False,-79.0,275.0,1,right,T. Jones 28' 3PT  (3 PTS) (D. Booker 1 AST),"[1626145, 1626164]",1610612756.0,PHX,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,28.56,Made,,,,,,3.0,D. Booker,1626164.0,1.0,,,,,,,,,
47,PT07M13.00S,2025-01-23T00:46:51.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,2,9,2025-01-23T00:46:51Z,470000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M13.00S,2025-01-23T00:46:53.0Z,1,REGULAR,substitution,out,[],1630553,,,1610612751,2,9,2025-01-23T00:49:46Z,480000,False,,,0,,SUB out: K. Johnson,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M13.00S,2025-01-23T00:46:53.0Z,1,REGULAR,substitution,in,[],1641787,,,1610612751,2,9,2025-01-23T00:49:46Z,490000,False,,,0,,SUB in: T. Evbuomwan,[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT06M55.00S,2025-01-23T00:50:12.3Z,1,REGULAR,3pt,Jump Shot,[],1641730,6.438896189224707,96.54564950980392,1610612751,2,9,2025-01-23T00:50:40Z,500000,False,-233.0,8.0,1,left,MISS N. Clowney 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Left Corner 3,24+ Left,23.28,Missed,,,,,,,,,,,,,,,,,,
51,PT06M52.00S,2025-01-23T00:50:15.3Z,1,REGULAR,rebound,offensive,[],1641730,,,1610612751,2,9,2025-01-23T00:50:40Z,510000,False,,,0,,N. Clowney REBOUND (Off:1 Def:1),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Left Corner 3,24+ Left,,,50.0,,2.0,1.0,1.0,,,,,,,,,,,,,
52,PT06M49.00S,2025-01-23T00:50:17.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630592,23.12746386333771,10.026041666666657,1610612751,2,9,2025-01-23T00:50:57Z,520000,False,200.0,165.0,1,left,MISS J. Wilson 25' 3PT,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Above the Break 3,24+ Right Center,25.91,Missed,,,,,,,,,,,,,,,,,,
53,PT06M47.00S,2025-01-23T00:50:19.7Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612756,2,9,2025-01-23T00:50:57Z,530000,False,,,0,,N. Richards REBOUND (Off:0 Def:3),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Right Center,,,52.0,,3.0,3.0,0.0,,,,,,,,,,,,,
54,PT06M42.00S,2025-01-23T00:50:26.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201142,94.61235216819973,41.2185968137255,1610612756,2,9,2025-01-23T00:51:20Z,540000,False,-44.0,-2.0,1,right,MISS K. Durant running alley-oop Layup,[201142],1610612756.0,PHX,running alley-oop,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,4.39,Missed,,,,,,,,,,,,,,,,,,
55,PT06M41.00S,2025-01-23T00:50:27.0Z,1,REGULAR,rebound,offensive,[],201142,,,1610612756,2,9,2025-01-23T00:51:20Z,550000,False,,,0,,K. Durant REBOUND (Off:1 Def:2),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,54.0,,3.0,2.0,1.0,,,,,,,,,,,,,
56,PT06M39.00S,2025-01-23T00:50:30.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201142,93.95532194480946,69.2670036764706,1610612756,2,11,2025-01-23T01:43:50Z,560000,False,96.0,4.0,1,right,K. Durant 9' fadeaway Jump Shot (2 PTS),[201142],1610612756.0,PHX,fadeaway,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,9.64,Made,,,,,,2.0,,,,,,,,,,,,
57,PT06M29.00S,2025-01-23T00:50:38.8Z,1,REGULAR,turnover,bad pass,[],1641730,,,1610612751,2,11,2025-01-23T00:52:54Z,570000,False,,,0,,N. Clowney bad pass TURNOVER (1 TO),"[1641730, 1626164]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1.0,Booker,1626164.0,,,,
58,PT06M29.00S,2025-01-23T00:50:38.8Z,1,REGULAR,steal,,[],1626164,,,1610612756,2,11,2025-01-23T00:50:40Z,580000,False,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
59,PT06M21.00S,2025-01-23T00:50:45.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,71.40275952693824,78.18627450980392,1610612756,2,11,2025-01-23T00:53:14Z,590000,False,141.0,216.0,1,right,MISS D. Booker 25' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,25.81,Missed,,,,,,,,,,,,,,,,,,
60,PT06M19.00S,2025-01-23T00:50:47.8Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612756,2,11,2025-01-23T00:53:14Z,600000,False,,,0,,N. Richards REBOUND (Off:1 Def:3),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Right Center,,,59.0,,4.0,3.0,1.0,,,,,,,,,,,,,
61,PT06M17.00S,2025-01-23T00:50:50.9Z,1,REGULAR,turnover,lost ball,[],1630208,,,1610612756,2,11,2025-01-23T00:53:58Z,610000,False,,,0,,N. Richards lost ball TURNOVER (1 TO),"[1630208, 1641730]",1610612756.0,PHX,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,1.0,Clowney,1641730.0,,,,
62,PT06M17.00S,2025-01-23T00:50:50.9Z,1,REGULAR,steal,,[],1641730,,,1610612751,2,11,2025-01-23T00:56:23Z,620000,False,,,0,,N. Clowney STEAL (1 STL),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
63,PT06M03.00S,2025-01-23T00:51:03.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631213,25.88699080157687,87.47702205882354,1610612751,2,11,2025-01-23T00:54:20Z,630000,False,-187.0,191.0,1,left,MISS T. Martin 26' 3PT,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Left Center,26.74,Missed,,,,,,,,,,,,,,,,,,
64,PT06M01.00S,2025-01-23T00:51:05.9Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,2,11,2025-01-23T00:54:20Z,640000,False,,,0,,K. Durant REBOUND (Off:1 Def:3),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,63.0,,4.0,3.0,1.0,,,,,,,,,,,,,
65,PT05M46.00S,2025-01-23T00:51:21.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642346,87.46714848883047,51.470588235294116,1610612756,2,11,2025-01-23T00:55:13Z,650000,False,7.0,65.0,1,right,MISS R. Dunn 6' floating Shot,[1642346],1610612756.0,PHX,floating,,,Dunn,R. Dunn,,,,,In The Paint (Non-RA),0-8 Center,6.57,Missed,,,,,,,,,,,,,,,,,,
66,PT05M44.00S,2025-01-23T00:51:23.0Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612756,2,11,2025-01-23T00:55:13Z,660000,False,,,0,,N. Richards REBOUND (Off:2 Def:3),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,65.0,,5.0,3.0,2.0,,,,,,,,,,,,,
67,PT05M39.00S,2025-01-23T00:51:26.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201142,67.09921156373193,46.568627450980394,1610612756,2,14,2025-01-23T00:51:30Z,670000,False,-17.0,257.0,1,right,K. Durant 25' 3PT  (5 PTS) (D. Booker 2 AST),"[201142, 1626164]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,25.74,Made,,,,,,5.0,D. Booker,1626164.0,2.0,,,,,,,,,
69,PT05M14.00S,2025-01-23T00:51:53.7Z,1,REGULAR,foul,personal,['2freethrow'],1630208,,,1610612751,2,14,2025-01-23T00:52:08Z,690000,False,,,0,,N. Richards shooting personal FOUL (2 PF) (Evbuomwan 2 FT),"[1630208, 1641787]",1610612756.0,PHX,shooting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,1830.0,,,,,,,,,,,,,2.0,0.0,Evbuomwan,1641787.0
71,PT05M14.00S,2025-01-23T00:52:37.6Z,1,REGULAR,freethrow,1 of 2,[],1641787,,,1610612751,3,14,2025-01-23T00:53:35Z,710000,False,,,0,,T. Evbuomwan Free Throw 1 of 2 (1 PTS),[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,,,,Made,,,,,,1.0,,,,,,,,,,,,
72,PT05M14.00S,2025-01-23T00:52:38.4Z,1,REGULAR,substitution,out,[],1629651,,,1610612751,3,14,2025-01-23T00:52:49Z,720000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M14.00S,2025-01-23T00:52:38.4Z,1,REGULAR,substitution,out,[],1642346,,,1610612751,3,14,2025-01-23T00:52:49Z,730000,False,,,0,,SUB out: R. Dunn,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M14.00S,2025-01-23T00:52:38.4Z,1,REGULAR,substitution,out,[],1630208,,,1610612751,3,14,2025-01-23T00:52:49Z,740000,False,,,0,,SUB out: N. Richards,[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M14.00S,2025-01-23T00:52:38.4Z,1,REGULAR,substitution,in,[],1630549,,,1610612751,3,14,2025-01-23T00:52:49Z,750000,False,,,0,,SUB in: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M14.00S,2025-01-23T00:52:38.4Z,1,REGULAR,substitution,in,[],1628960,,,1610612751,3,14,2025-01-23T00:52:49Z,760000,False,,,0,,SUB in: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M14.00S,2025-01-23T00:52:38.4Z,1,REGULAR,substitution,in,[],203486,,,1610612751,3,14,2025-01-23T00:52:49Z,770000,False,,,0,,SUB in: M. Plumlee,[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M14.00S,2025-01-23T00:52:37.6Z,1,REGULAR,violation,lane,[],203486,,,1610612751,3,14,2025-01-23T00:53:35Z,775000,False,,,0,,M. Plumlee lane VIOLATION,[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M14.00S,2025-01-23T00:52:37.6Z,1,REGULAR,freethrow,2 of 2,[],1641787,,,1610612751,4,14,2025-01-23T00:53:35Z,780000,False,,,0,,T. Evbuomwan Free Throw 2 of 2 (2 PTS),[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,,,,Made,,,,,,2.0,,,,,,,,,,,,
80,PT05M01.00S,2025-01-23T00:53:42.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201142,86.46517739816032,55.415134803921575,1610612756,4,16,2025-01-23T00:56:44Z,790000,False,27.0,75.0,1,right,K. Durant 7' turnaround Hook (7 PTS) (G. Allen 1 AST),"[201142, 1628960]",1610612756.0,PHX,turnaround,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,7.95,Made,,,,,,7.0,G. Allen,1628960.0,1.0,,,,,,,,,
