actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
21,PT10M24.00S,2024-11-20T00:43:48.2Z,1,REGULAR,3pt,Jump Shot,[],1629661,69.59592641261499,71.81372549019608,1610612751,2,8,2024-11-20T00:43:53Z,210000,False,109.0,233.0,1,right,MISS C. Johnson 25' 3PT,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,25.75,Missed,,,,,,,,,,,,,
22,PT10M20.00S,2024-11-20T00:43:52.2Z,1,REGULAR,rebound,defensive,[],1630182,,,1610612766,2,8,2024-11-20T00:43:53Z,220000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,
23,PT10M12.00S,2024-11-20T00:44:03.2Z,1,REGULAR,foul,personal,[],1627827,,,1610612766,2,8,2024-11-20T00:44:16Z,230000,False,,,0,,D. Finney-Smith personal FOUL (1 PF),"[1627827, 1630163]",1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),8-16 Left,1626301.0,1.0,0.0,Ball,1630163.0,,,,,,,,,,,,,,,
25,PT10M09.00S,2024-11-20T00:44:21.4Z,1,REGULAR,3pt,Jump Shot,[],1641706,29.25427069645204,72.54901960784314,1610612766,2,11,2024-11-20T00:44:26Z,250000,False,-113.0,222.0,1,left,B. Miller 24' 3PT  (3 PTS) (J. Green 1 AST),"[1641706, 1630182]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,,,,,,24.94,Made,3.0,J. Green,1630182.0,1.0,,,,,,,,,
27,PT10M08.00S,2024-11-20T00:44:26.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,2,11,2024-11-20T00:44:26Z,270000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M53.00S,2024-11-20T00:47:38.8Z,1,REGULAR,3pt,Jump Shot,[],1627827,66.96780551905388,45.09803921568628,1610612751,5,11,2024-11-20T00:47:43Z,280000,False,-25.0,258.0,1,right,D. Finney-Smith 25' 3PT  (3 PTS) (D. Schröder 2 AST),"[1627827, 203471]",1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Center,,,,,,25.92,Made,3.0,D. Schröder,203471.0,2.0,,,,,,,,,
30,PT09M39.00S,2024-11-20T00:47:53.4Z,1,REGULAR,3pt,Jump Shot,[],1630163,24.52365308804205,85.04901960784314,1610612766,5,14,2024-11-20T00:48:00Z,300000,False,-175.0,178.0,1,left,L. Ball 24' 3PT  (3 PTS) (B. Miller 2 AST),"[1630163, 1641706]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,,,,,,24.98,Made,3.0,B. Miller,1641706.0,2.0,,,,,,,,,
32,PT09M13.00S,2024-11-20T00:48:19.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627732,87.86136662286465,39.46078431372549,1610612751,5,14,2024-11-20T00:48:24Z,320000,False,-53.0,62.0,1,right,MISS B. Simmons 8' Hook,[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),8-16 Left,,,,,,8.11,Missed,,,,,,,,,,,,,
33,PT09M13.00S,2024-11-20T00:48:19.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,5,14,2024-11-20T00:48:24Z,330000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,32.0,,,,,
35,PT08M57.00S,2024-11-20T00:48:41.5Z,1,REGULAR,3pt,Jump Shot,[],1641706,32.14520367936925,50.245098039215684,1610612766,5,17,2024-11-20T00:48:47Z,350000,False,-1.0,250.0,1,left,B. Miller 24' 3PT  (6 PTS) (L. Ball 2 AST),"[1641706, 1630163]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,,,,,,24.97,Made,6.0,L. Ball,1630163.0,2.0,,,,,,,,,
37,PT08M38.00S,2024-11-20T00:49:00.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,83.65637319316689,44.6078431372549,1610612751,5,17,2024-11-20T00:49:35Z,370000,False,-27.0,101.0,1,right,MISS D. Schröder 10' driving floating Shot,[203471],1610612751.0,BKN,driving floating,,,Schröder,D. Schröder,,,,,In The Paint (Non-RA),8-16 Center,,,,,,10.46,Missed,,,,,,,,,,,,,
38,PT08M34.00S,2024-11-20T00:49:04.1Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612766,5,17,2024-11-20T00:49:05Z,380000,False,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,
39,PT08M32.00S,2024-11-20T00:49:10.7Z,1,REGULAR,turnover,double dribble,[],1641706,,,1610612766,5,17,2024-11-20T00:50:26Z,390000,False,,,0,,B. Miller double dribble TURNOVER (1 TO),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Mid-Range,8-16 Right,202058.0,,,,,,,,,,,1.0,,,,,,,,
40,PT08M32.00S,2024-11-20T00:49:14.3Z,1,REGULAR,substitution,out,[],1630592,,,1610612751,5,17,2024-11-20T00:49:22Z,400000,False,,,0,,SUB out: J. Wilson,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M32.00S,2024-11-20T00:49:14.3Z,1,REGULAR,substitution,in,[],1630533,,,1610612751,5,17,2024-11-20T00:49:22Z,410000,False,,,0,,SUB in: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M20.00S,2024-11-20T00:49:39.3Z,1,REGULAR,foul,personal,[],1630163,,,1610612751,5,17,2024-11-20T00:49:44Z,420000,False,,,0,,L. Ball personal FOUL (1 PF),"[1630163, 1629661]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Mid-Range,8-16 Right,202058.0,1.0,0.0,Johnson,1629661.0,,,,,,,,,,,,,,,
44,PT08M15.00S,2024-11-20T00:50:10.6Z,1,REGULAR,foul,offensive,[],1629661,,,1610612751,5,17,2024-11-20T00:50:23Z,440000,False,,,0,,C. Johnson charge offensive FOUL (1 PF),"[1629661, 1629684]",1610612751.0,BKN,charge,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,1629183.0,1.0,0.0,Williams,1629684.0,,,,,,,,,,,,,,,
46,PT08M15.00S,2024-11-20T00:50:10.6Z,1,REGULAR,turnover,offensive foul,[],1629661,,,1610612751,5,17,2024-11-20T00:50:10Z,460000,False,,,0,,C. Johnson offensive foul TURNOVER (2 TO),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,1629183.0,,,,,,,,,,,2.0,,,,,,,,
47,PT08M02.00S,2024-11-20T00:50:45.8Z,1,REGULAR,turnover,traveling,[],1630163,,,1610612766,5,17,2024-11-20T00:50:52Z,470000,False,,,0,,L. Ball traveling TURNOVER (1 TO),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Mid-Range,16-24 Left Center,1629183.0,,,,,,,,,,,1.0,,,,,,,,
48,PT07M50.00S,2024-11-20T00:51:16.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629661,93.77463863337714,52.94117647058824,1610612751,7,17,2024-11-20T00:51:21Z,480000,False,15.0,6.0,1,right,C. Johnson driving Layup (2 PTS) (D. Schröder 3 AST),"[1629661, 203471]",1610612751.0,BKN,driving,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,,,,1.59,Made,2.0,D. Schröder,203471.0,3.0,,,,,,,,,
50,PT07M29.00S,2024-11-20T00:51:36.4Z,1,REGULAR,3pt,Jump Shot,[],1630163,28.991458607095925,78.43137254901961,1610612766,7,17,2024-11-20T00:51:41Z,500000,False,-142.0,220.0,1,left,MISS L. Ball 26' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,,,,,,26.2,Missed,,,,,,,,,,,,,
51,PT07M26.00S,2024-11-20T00:51:39.4Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,7,17,2024-11-20T00:51:41Z,510000,False,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,50.0,1.0,1.0,0.0,,
52,PT07M23.00S,2024-11-20T00:51:46.9Z,1,REGULAR,turnover,out-of-bounds,[],1629661,,,1610612751,7,17,2024-11-20T00:51:52Z,520000,False,,,0,,C. Johnson lost ball out-of-bounds TURNOVER (3 TO),[1629661],1610612751.0,BKN,lost ball,,,Johnson,C. Johnson,,,,,Mid-Range,8-16 Left,1626301.0,,,,,,,,,,,3.0,,,,,,,,
53,PT07M17.00S,2024-11-20T00:51:55.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641706,5.863994743758213,50.73529411764706,1610612766,7,19,2024-11-20T00:52:02Z,530000,False,-4.0,3.0,1,left,B. Miller running alley-oop DUNK (8 PTS) (L. Ball 3 AST),"[1641706, 1630163]",1610612766.0,CHA,running alley-oop,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,,,,,,0.45,Made,8.0,L. Ball,1630163.0,3.0,,,,,,,,,
55,PT07M07.00S,2024-11-20T00:52:04.7Z,1,REGULAR,3pt,Jump Shot,[],203471,68.15045992115637,59.31372549019608,1610612751,7,19,2024-11-20T00:52:09Z,550000,False,47.0,247.0,1,right,MISS D. Schröder 25' pullup 3PT,[203471],1610612751.0,BKN,pullup,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Center,,,,,,25.13,Missed,,,,,,,,,,,,,
56,PT07M04.00S,2024-11-20T00:52:07.7Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,7,19,2024-11-20T00:52:09Z,560000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,55.0,1.0,1.0,0.0,,
57,PT06M55.00S,2024-11-20T00:52:17.1Z,1,REGULAR,3pt,Jump Shot,[],1628970,3.3672798948751645,96.32352941176471,1610612766,7,22,2024-11-20T00:52:21Z,570000,False,-232.0,-21.0,1,left,M. Bridges 3PT  (8 PTS) (B. Miller 3 AST),"[1628970, 1641706]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,,,,23.25,Made,8.0,B. Miller,1641706.0,3.0,,,,,,,,,
59,PT06M42.00S,2024-11-20T00:52:30.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630533,93.64323258869908,44.6078431372549,1610612751,9,22,2024-11-20T00:52:33Z,590000,False,-27.0,7.0,1,right,Z. Williams driving Layup (2 PTS) (C. Johnson 1 AST),"[1630533, 1629661]",1610612751.0,BKN,driving,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,,,,,,2.8,Made,2.0,C. Johnson,1629661.0,1.0,,,,,,,,,
61,PT06M20.00S,2024-11-20T00:52:54.8Z,1,REGULAR,foul,personal,['2freethrow'],1627827,,,1610612766,9,22,2024-11-20T00:53:09Z,610000,False,,,0,,D. Finney-Smith shooting personal FOUL (2 PF) (Ball 2 FT),"[1627827, 1630163]",1610612751.0,BKN,shooting,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,1629183.0,2.0,0.0,Ball,1630163.0,,,,,,,,,,,,,,,
63,PT06M20.00S,2024-11-20T00:53:25.7Z,1,REGULAR,freethrow,1 of 2,[],1630163,,,1610612766,9,23,2024-11-20T00:53:25Z,630000,False,,,0,,L. Ball Free Throw 1 of 2 (4 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,
64,PT06M20.00S,2024-11-20T00:53:26.3Z,1,REGULAR,substitution,out,[],203471,,,1610612766,9,23,2024-11-20T00:53:32Z,640000,False,,,0,,SUB out: D. Schröder,[203471],1610612751.0,BKN,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M20.00S,2024-11-20T00:53:26.3Z,1,REGULAR,substitution,out,[],1629684,,,1610612766,9,23,2024-11-20T00:53:32Z,650000,False,,,0,,SUB out: G. Williams,[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M20.00S,2024-11-20T00:53:26.3Z,1,REGULAR,substitution,in,[],1630570,,,1610612766,9,23,2024-11-20T00:53:32Z,660000,False,,,0,,SUB in: T. Watford,[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M20.00S,2024-11-20T00:53:26.3Z,1,REGULAR,substitution,in,[],1631217,,,1610612766,9,23,2024-11-20T00:53:32Z,670000,False,,,0,,SUB in: M. Diabaté,[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M20.00S,2024-11-20T00:53:26.3Z,1,REGULAR,substitution,out,[],1627827,,,1610612766,9,23,2024-11-20T00:53:48Z,680000,False,,,0,,SUB out: D. Finney-Smith,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M20.00S,2024-11-20T00:53:26.3Z,1,REGULAR,substitution,in,[],1641730,,,1610612766,9,23,2024-11-20T00:53:48Z,690000,False,,,0,,SUB in: N. Clowney,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M20.00S,2024-11-20T00:54:02.8Z,1,REGULAR,freethrow,2 of 2,[],1630163,,,1610612766,9,24,2024-11-20T00:54:02Z,700000,False,,,0,,L. Ball Free Throw 2 of 2 (5 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,Made,5.0,,,,,,,,,,,,
71,PT05M59.00S,2024-11-20T00:54:25.1Z,1,REGULAR,3pt,Jump Shot,[],1629661,79.05716162943496,94.6078431372549,1610612751,12,24,2024-11-20T00:54:44Z,710000,False,223.0,144.0,1,right,C. Johnson 26' 3PT  (5 PTS) (Z. Williams 1 AST),"[1629661, 1630533]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,26.57,Made,5.0,Z. Williams,1630533.0,1.0,,,,,,,,,
73,PT05M44.00S,2024-11-20T00:54:42.2Z,1,REGULAR,foul,offensive,[],1630182,,,1610612766,12,24,2024-11-20T00:54:51Z,730000,False,,,0,,J. Green offensive FOUL (1 PF),"[1630182, 1630533]",1610612766.0,CHA,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,1629183.0,1.0,0.0,Williams,1630533.0,,,,,,,,,,,,,,,
75,PT05M44.00S,2024-11-20T00:54:42.2Z,1,REGULAR,turnover,offensive foul,[],1630182,,,1610612766,12,24,2024-11-20T00:54:42Z,750000,False,,,0,,J. Green offensive foul TURNOVER (1 TO),[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,1629183.0,,,,,,,,,,,1.0,,,,,,,,
76,PT05M44.00S,2024-11-20T00:54:51.9Z,1,REGULAR,substitution,out,[],1630182,,,1610612751,12,24,2024-11-20T00:54:58Z,760000,False,,,0,,SUB out: J. Green,[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M44.00S,2024-11-20T00:54:51.9Z,1,REGULAR,substitution,in,[],1628998,,,1610612751,12,24,2024-11-20T00:54:58Z,770000,False,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M27.00S,2024-11-20T00:55:22.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629661,97.19119579500656,95.58823529411765,1610612751,15,24,2024-11-20T00:55:27Z,780000,False,228.0,-26.0,1,right,C. Johnson 3PT  (8 PTS) (Z. Williams 2 AST),"[1629661, 1630533]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Right Corner 3,24+ Right,,,,,,22.94,Made,8.0,Z. Williams,1630533.0,2.0,,,,,,,,,
80,PT05M10.00S,2024-11-20T00:55:39.0Z,1,REGULAR,3pt,Jump Shot,[],1641706,28.465834428383708,22.058823529411764,1610612766,15,24,2024-11-20T00:55:46Z,800000,False,140.0,215.0,1,left,MISS B. Miller 25' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,,,,,,25.65,Missed,,,,,,,,,,,,,
81,PT05M04.00S,2024-11-20T00:55:45.0Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612751,15,24,2024-11-20T00:55:46Z,810000,False,,,0,,T. Watford REBOUND (Off:0 Def:1),[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,80.0,1.0,1.0,0.0,,
83,PT04M52.00S,2024-11-20T00:56:19.0Z,1,REGULAR,turnover,out-of-bounds,[],1627732,,,1610612751,15,24,2024-11-20T00:56:28Z,830000,False,,,0,,B. Simmons bad pass out-of-bounds TURNOVER (1 TO),[1627732],1610612751.0,BKN,bad pass,,,Simmons,B. Simmons,,,,,Mid-Range,8-16 Left,1629183.0,,,,,,,,,,,1.0,,,,,,,,
84,PT04M52.00S,2024-11-20T00:56:21.7Z,1,REGULAR,substitution,out,[],1627732,,,1610612766,15,24,2024-11-20T00:56:26Z,840000,False,,,0,,SUB out: B. Simmons,[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M52.00S,2024-11-20T00:56:21.7Z,1,REGULAR,substitution,in,[],1630553,,,1610612766,15,24,2024-11-20T00:56:26Z,850000,False,,,0,,SUB in: K. Johnson,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M52.00S,2024-11-20T00:56:30.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,15,24,2024-11-20T00:56:30Z,860000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M52.00S,2024-11-20T00:56:31.3Z,1,REGULAR,substitution,out,[],1628970,,,1610612766,15,24,2024-11-20T00:59:30Z,870000,False,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M52.00S,2024-11-20T00:56:31.3Z,1,REGULAR,substitution,in,[],1642275,,,1610612766,15,24,2024-11-20T00:59:30Z,880000,False,,,0,,SUB in: T. Salaün,[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M50.00S,2024-11-20T00:59:46.0Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612766,15,24,2024-11-20T01:00:50Z,890000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612766.0,CHA,,,,,,,,,,,,202058.0,,,,,,,,,,,,,,,,,,,
90,PT04M38.00S,2024-11-20T01:00:04.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630570,,,1610612766,15,24,2024-11-20T01:00:17Z,900000,False,,,0,,T. Watford personal FOUL (1 PF) (Salaün 2 FT),"[1630570, 1642275]",1610612751.0,BKN,,,,Watford,T. Watford,,,,,Mid-Range,16-24 Right Center,1626301.0,1.0,0.0,Salaün,1642275.0,,,,,,,,,,,,,,,
92,PT04M38.00S,2024-11-20T01:00:29.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1642275,,,1610612766,15,25,2024-11-20T01:00:56Z,920000,False,,,0,,T. Salaün Free Throw 1 of 2 (1 PTS),[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
93,PT04M38.00S,2024-11-20T01:00:35.2Z,1,REGULAR,substitution,out,[],1641706,,,1610612766,15,25,2024-11-20T01:00:42Z,930000,False,,,0,,SUB out: B. Miller,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M38.00S,2024-11-20T01:00:35.2Z,1,REGULAR,substitution,in,[],203552,,,1610612766,15,25,2024-11-20T01:00:42Z,940000,False,,,0,,SUB in: S. Curry,[203552],1610612766.0,CHA,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M38.00S,2024-11-20T01:00:29.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1642275,,,1610612766,15,25,2024-11-20T01:00:56Z,950000,False,,,0,,MISS T. Salaün Free Throw 2 of 2,[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
96,PT04M35.00S,2024-11-20T01:00:32.6Z,1,REGULAR,rebound,offensive,[],1628998,,,1610612766,15,25,2024-11-20T01:00:56Z,960000,False,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,95.0,1.0,0.0,1.0,,
