actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
17,PT11M11.00S,2025-03-16T22:12:30.1Z,1,REGULAR,3pt,Jump Shot,[],1642258,21.50131406044678,88.97058823529412,1610612737,2,3,2025-03-16T22:12:33Z,170000,False,-195.0,150.0,1,left,Z. Risacher 24' 3PT  (3 PTS) (T. Young 1 AST),"[1642258, 1629027]",1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Made,,,,,24.57,3.0,T. Young,1629027.0,1.0,,
19,PT10M53.00S,2025-03-16T22:12:47.6Z,1,REGULAR,3pt,Jump Shot,[],1630553,67.23061760840999,54.65686274509803,1610612751,5,3,2025-03-16T22:12:51Z,190000,False,23.0,256.0,1,right,K. Johnson 25' 3PT  (3 PTS) (N. Claxton 1 AST),"[1630553, 1629651]",1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Center,,,,,,,,,Made,,,,,25.66,3.0,N. Claxton,1629651.0,1.0,,
21,PT10M28.00S,2025-03-16T22:13:12.6Z,1,REGULAR,2pt,Jump Shot,[],1629027,3.235873850197109,84.06862745098039,1610612737,5,3,2025-03-16T22:13:30Z,210000,False,-170.0,-22.0,1,left,MISS T. Young 17' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,Mid-Range,16-24 Left,,,,,,,,,Missed,,,,,17.17,,,,,,
22,PT10M26.00S,2025-03-16T22:13:14.6Z,1,REGULAR,rebound,defensive,[],1630553,,,1610612751,5,3,2025-03-16T22:13:16Z,220000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Mid-Range,16-24 Left,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,
23,PT10M20.00S,2025-03-16T22:13:20.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630592,71.69842312746385,17.401960784313726,1610612751,8,3,2025-03-16T22:13:24Z,230000,False,-163.0,214.0,1,right,J. Wilson 26' 3PT running (3 PTS) (T. Martin 1 AST),"[1630592, 1631213]",1610612751.0,BKN,running,,,Wilson,J. Wilson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Made,,,,,26.86,3.0,T. Martin,1631213.0,1.0,,
25,PT10M10.00S,2025-03-16T22:13:31.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,7.046649145860711,42.40196078431372,1610612737,8,5,2025-03-16T22:13:35Z,250000,False,38.0,14.0,1,left,T. Young driving Layup (2 PTS),[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,,,,,4.04,2.0,,,,,
26,PT09M52.00S,2025-03-16T22:13:49.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630553,93.24901445466492,45.588235294117645,1610612751,8,5,2025-03-16T22:13:53Z,260000,False,-22.0,11.0,1,right,MISS K. Johnson driving Layup - blocked,"[1630553, 1631243]",1610612751.0,BKN,driving,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,Missed,,,,,2.47,,,,,Gueye,1631243.0
27,PT09M52.00S,2025-03-16T22:13:49.3Z,1,REGULAR,block,,[],1631243,,,1610612751,8,5,2025-03-16T22:13:51Z,270000,False,,,0,,M. Gueye BLOCK (1 BLK),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M49.00S,2025-03-16T22:13:52.3Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,8,5,2025-03-16T22:13:53Z,280000,False,,,0,,Z. Risacher REBOUND (Off:0 Def:1),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,
29,PT09M45.00S,2025-03-16T22:13:55.4Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,8,5,2025-03-16T22:13:58Z,290000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1629651]",1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,1.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,
30,PT09M45.00S,2025-03-16T22:13:55.4Z,1,REGULAR,steal,,[],1629651,,,1610612751,8,5,2025-03-16T22:13:57Z,300000,False,,,0,,N. Claxton STEAL (1 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
31,PT09M37.00S,2025-03-16T22:14:03.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629661,70.64717477003943,81.86274509803921,1610612751,11,5,2025-03-16T22:14:07Z,310000,False,159.0,223.0,1,right,C. Johnson 27' 3PT  (3 PTS) (K. Johnson 1 AST),"[1629661, 1630553]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,Made,,,,,27.44,3.0,K. Johnson,1630553.0,1.0,,
33,PT09M26.00S,2025-03-16T22:14:15.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,5.995400788436268,56.127450980392155,1610612737,11,7,2025-03-16T22:14:18Z,330000,False,-31.0,4.0,1,left,T. Young driving Layup (4 PTS),[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,,,,,3.08,4.0,,,,,
34,PT09M03.00S,2025-03-16T22:14:40.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630592,88.38699080157687,50.49019607843137,1610612751,13,7,2025-03-16T22:14:46Z,340000,False,2.0,57.0,1,right,J. Wilson driving floating Jump Shot (5 PTS) (N. Claxton 2 AST),"[1630592, 1629651]",1610612751.0,BKN,driving floating,,,Wilson,J. Wilson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Made,,,,,5.68,5.0,N. Claxton,1629651.0,2.0,,
35,PT09M03.00S,2025-03-16T22:14:43.0Z,1,REGULAR,foul,personal,['1freethrow'],1629027,,,1610612751,13,7,2025-03-16T22:14:48Z,350000,False,,,0,,T. Young shooting personal FOUL (1 PF) (Wilson 1 FT),"[1629027, 1630592]",1610612737.0,ATL,shooting,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,,,204058.0,1.0,0.0,Wilson,1630592.0,,,,,,,,,,,,
38,PT09M03.00S,2025-03-16T22:15:12.9Z,1,REGULAR,freethrow,1 of 1,[],1630592,,,1610612751,14,7,2025-03-16T22:15:12Z,370000,False,,,0,,J. Wilson Free Throw 1 of 1 (6 PTS),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,Made,,,,,,6.0,,,,,
39,PT08M56.00S,2025-03-16T22:15:25.1Z,1,REGULAR,turnover,out-of-bounds,[],1630700,,,1610612737,14,7,2025-03-16T22:16:54Z,380000,False,,,0,,D. Daniels lost ball out-of-bounds TURNOVER (1 TO),[1630700],1610612737.0,ATL,lost ball,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,1.0,,,1627962.0,,,,,,,,,,,,,,,,
40,PT08M46.00S,2025-03-16T22:15:37.5Z,1,REGULAR,turnover,lost ball,[],1630553,,,1610612751,14,7,2025-03-16T22:15:42Z,390000,False,,,0,,K. Johnson lost ball TURNOVER (2 TO),"[1630553, 1630700]",1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Center,2.0,Daniels,1630700.0,,,,,,,,,,,,,,,,,
41,PT08M46.00S,2025-03-16T22:15:37.5Z,1,REGULAR,steal,,[],1630700,,,1610612737,14,7,2025-03-16T22:15:38Z,400000,False,,,0,,D. Daniels STEAL (2 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
42,PT08M42.00S,2025-03-16T22:15:40.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642258,5.863994743758213,52.450980392156865,1610612737,14,9,2025-03-16T22:15:46Z,410000,False,-12.0,3.0,1,left,Z. Risacher running Layup (5 PTS) (D. Daniels 1 AST),"[1642258, 1630700]",1610612737.0,ATL,running,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,,,,,1.26,5.0,D. Daniels,1630700.0,1.0,,
44,PT08M24.00S,2025-03-16T22:15:59.6Z,1,REGULAR,turnover,bad pass,[],1629661,,,1610612751,14,9,2025-03-16T22:16:04Z,430000,False,,,0,,C. Johnson bad pass TURNOVER (1 TO),"[1629661, 1630700]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),8-16 Center,1.0,Daniels,1630700.0,,,,,,,,,,,,,,,,,
45,PT08M24.00S,2025-03-16T22:15:59.6Z,1,REGULAR,steal,,[],1630700,,,1610612737,14,9,2025-03-16T22:16:02Z,440000,False,,,0,,D. Daniels STEAL (3 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
46,PT08M19.00S,2025-03-16T22:16:04.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1642258,32.14520367936925,28.921568627450984,1610612737,14,9,2025-03-16T22:18:13Z,450000,False,105.0,250.0,1,left,MISS Z. Risacher 27' running 3PT,[1642258],1610612737.0,ATL,running,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Right Center,,,,,,,,,Missed,,,,,27.1,,,,,,
47,PT08M19.00S,2025-03-16T22:16:04.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,14,9,2025-03-16T22:17:18Z,460000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,46.0,,,,,,,,,,
49,PT08M04.00S,2025-03-16T22:16:30.2Z,1,REGULAR,3pt,Jump Shot,[],1629661,65.1281208935611,46.568627450980394,1610612751,14,9,2025-03-16T22:16:34Z,480000,False,-17.0,275.0,1,right,MISS C. Johnson 27' pullup 3PT,[1629661],1610612751.0,BKN,pullup,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Center,,,,,,,,,Missed,,,,,27.58,,,,,,
50,PT08M01.00S,2025-03-16T22:16:33.2Z,1,REGULAR,rebound,offensive,[],1630592,,,1610612751,14,9,2025-03-16T22:16:34Z,490000,False,,,0,,J. Wilson REBOUND (Off:1 Def:0),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Above the Break 3,24+ Center,,,,,,,,,,49.0,1.0,0.0,1.0,,,,,,,
51,PT07M57.00S,2025-03-16T22:16:37.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630553,90.48948751642575,3.431372549019608,1610612751,14,9,2025-03-16T22:16:41Z,500000,False,-233.0,37.0,1,right,MISS K. Johnson pullup 3PT,[1630553],1610612751.0,BKN,pullup,,,Johnson,K. Johnson,,,,,Left Corner 3,24+ Left,,,,,,,,,Missed,,,,,23.57,,,,,,
52,PT07M53.00S,2025-03-16T22:16:41.2Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,14,9,2025-03-16T22:16:41Z,510000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Left Corner 3,24+ Left,,,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,
53,PT07M48.00S,2025-03-16T22:16:48.6Z,1,REGULAR,foul,personal,['2freethrow'],1631213,,,1610612737,14,9,2025-03-16T22:17:01Z,520000,False,,,0,,T. Martin shooting personal FOUL (1 PF) (Okongwu 2 FT),"[1631213, 1630168]",1610612751.0,BKN,shooting,,,Martin,T. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,204058.0,1.0,0.0,Okongwu,1630168.0,,,,,,,,,,,,
55,PT07M48.00S,2025-03-16T22:17:20.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630168,,,1610612737,14,10,2025-03-16T22:19:18Z,540000,False,,,0,,O. Okongwu Free Throw 1 of 2 (1 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,Made,,,,,,1.0,,,,,
56,PT07M48.00S,2025-03-16T22:17:20.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630168,,,1610612737,14,11,2025-03-16T22:19:18Z,550000,False,,,0,,O. Okongwu Free Throw 2 of 2 (2 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,Made,,,,,,2.0,,,,,
57,PT07M25.00S,2025-03-16T22:17:58.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631213,93.38042049934296,61.76470588235294,1610612751,14,11,2025-03-16T22:18:01Z,560000,False,59.0,10.0,1,right,MISS T. Martin driving Layup - blocked,"[1631213, 1631243]",1610612751.0,BKN,driving,,,Martin,T. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Missed,,,,,5.96,,,,,Gueye,1631243.0
62,PT07M25.00S,2025-03-16T22:17:58.2Z,1,REGULAR,block,,[],1631243,,,1610612751,14,11,2025-03-16T22:20:50Z,565000,False,,,0,,M. Gueye BLOCK (2 BLK),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
58,PT07M23.00S,2025-03-16T22:18:00.2Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,14,11,2025-03-16T22:18:01Z,570000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,57.0,2.0,2.0,0.0,,,,,,,
59,PT07M13.00S,2025-03-16T22:18:10.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631243,6.652431011826544,48.28431372549019,1610612737,14,13,2025-03-16T22:18:14Z,580000,False,9.0,10.0,1,left,M. Gueye cutting DUNK (2 PTS) (T. Young 2 AST),"[1631243, 1629027]",1610612737.0,ATL,cutting,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,,,,,1.32,2.0,T. Young,1629027.0,2.0,,
61,PT07M12.00S,2025-03-16T22:18:13.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,14,13,2025-03-16T22:18:13Z,600000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M12.00S,2025-03-16T22:20:41.7Z,1,REGULAR,substitution,out,[],1630553,,,1610612751,14,13,2025-03-16T22:21:09Z,610000,False,,,0,,SUB out: K. Johnson,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M12.00S,2025-03-16T22:20:41.7Z,1,REGULAR,substitution,in,[],1630570,,,1610612751,14,13,2025-03-16T22:21:09Z,620000,False,,,0,,SUB in: T. Watford,[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M00.00S,2025-03-16T22:21:31.0Z,1,REGULAR,3pt,Jump Shot,[],1629661,87.59855453350855,94.36274509803921,1610612751,17,13,2025-03-16T22:21:36Z,630000,False,222.0,64.0,1,right,C. Johnson 3PT  (6 PTS) (J. Wilson 1 AST),"[1629661, 1630592]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Right Corner 3,24+ Right,,,,,,,,,Made,,,,,23.09,6.0,J. Wilson,1630592.0,1.0,,
67,PT06M46.00S,2025-03-16T22:21:45.3Z,1,REGULAR,3pt,Jump Shot,[],1642258,4.5499342969776615,94.36274509803921,1610612737,17,13,2025-03-16T22:21:50Z,650000,False,-222.0,-10.0,1,left,MISS Z. Risacher 3PT,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Left Corner 3,24+ Left,,,,,,,,,Missed,,,,,22.2,,,,,,
68,PT06M43.00S,2025-03-16T22:21:49.0Z,1,REGULAR,rebound,offensive,[],1631243,,,1610612737,17,13,2025-03-16T22:21:49Z,660000,False,,,0,,M. Gueye REBOUND (Off:1 Def:0),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Left Corner 3,24+ Left,,,,,,,,,,67.0,1.0,0.0,1.0,,,,,,,
69,PT06M41.00S,2025-03-16T22:21:50.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629027,4.681340341655716,94.6078431372549,1610612737,17,16,2025-03-16T22:21:53Z,670000,False,-223.0,-8.0,1,left,T. Young 3PT  (7 PTS) (M. Gueye 1 AST),"[1629027, 1631243]",1610612737.0,ATL,,,,Young,T. Young,,,,,Left Corner 3,24+ Left,,,,,,,,,Made,,,,,22.32,7.0,M. Gueye,1631243.0,1.0,,
71,PT06M16.00S,2025-03-16T22:22:16.6Z,1,REGULAR,3pt,Jump Shot,[],1631213,77.61169513797634,7.107843137254902,1610612751,17,16,2025-03-16T22:22:43Z,690000,False,-214.0,158.0,1,right,MISS T. Martin 26' 3PT,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Missed,,,,,26.64,,,,,,
72,PT06M15.00S,2025-03-16T22:22:17.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,17,16,2025-03-16T22:22:43Z,700000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,71.0,,,,,,,,,,
73,PT06M15.00S,2025-03-16T22:22:21.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612751,17,16,2025-03-16T22:22:37Z,710000,False,,,0,,BKN shot clock Team TURNOVER,[],1610612751.0,BKN,,,,,,,,,,Mid-Range,16-24 Left,,,,1627526.0,,,,,,,,,,,,,,,,
74,PT06M15.00S,2025-03-16T22:22:23.1Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,17,16,2025-03-16T22:22:30Z,720000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M15.00S,2025-03-16T22:22:23.1Z,1,REGULAR,substitution,in,[],1630249,,,1610612737,17,16,2025-03-16T22:22:30Z,730000,False,,,0,,SUB in: V. Krejčí,[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M06.00S,2025-03-16T22:22:46.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631243,21.76412614980289,91.42156862745098,1610612737,17,16,2025-03-16T22:23:13Z,740000,False,-207.0,152.0,1,left,MISS M. Gueye 25' 3PT,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Missed,,,,,25.7,,,,,,
77,PT06M04.00S,2025-03-16T22:22:48.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,17,16,2025-03-16T22:22:50Z,750000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,76.0,,,,,,,,,,
79,PT05M40.00S,2025-03-16T22:23:18.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631213,81.02825229960578,55.14705882352941,1610612751,19,16,2025-03-16T22:23:24Z,770000,False,26.0,126.0,1,right,T. Martin 12' pullup Jump Shot (2 PTS) (J. Wilson 2 AST),"[1631213, 1630592]",1610612751.0,BKN,pullup,,,Martin,T. Martin,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,Made,,,,,12.84,2.0,J. Wilson,1630592.0,2.0,,
81,PT05M28.00S,2025-03-16T22:23:31.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630168,13.61695137976347,57.107843137254896,1610612737,19,18,2025-03-16T22:24:04Z,790000,False,-36.0,75.0,1,left,O. Okongwu 8' turnaround Hook (4 PTS) (D. Daniels 2 AST),"[1630168, 1630700]",1610612737.0,ATL,turnaround,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,Made,,,,,8.34,4.0,D. Daniels,1630700.0,2.0,,
83,PT05M09.00S,2025-03-16T22:23:50.0Z,1,REGULAR,3pt,Jump Shot,[],1631213,77.61169513797634,91.42156862745098,1610612751,19,18,2025-03-16T22:23:54Z,810000,False,207.0,158.0,1,right,MISS T. Martin 26' 3PT,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Right Center,,,,,,,,,Missed,,,,,26.05,,,,,,
84,PT05M06.00S,2025-03-16T22:23:53.0Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,19,18,2025-03-16T22:23:54Z,820000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:3),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,83.0,3.0,3.0,0.0,,,,,,,
85,PT04M59.00S,2025-03-16T22:24:00.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,15.982260183968464,59.31372549019608,1610612737,19,18,2025-03-16T22:24:05Z,830000,False,-47.0,98.0,1,left,MISS D. Daniels 10' floating Shot,[1630700],1610612737.0,ATL,floating,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,Missed,,,,,10.82,,,,,,
86,PT04M56.00S,2025-03-16T22:24:03.8Z,1,REGULAR,rebound,defensive,[],1631213,,,1610612751,19,18,2025-03-16T22:24:05Z,840000,False,,,0,,T. Martin REBOUND (Off:0 Def:2),[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,85.0,2.0,2.0,0.0,,,,,,,
87,PT04M45.00S,2025-03-16T22:24:14.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630570,92.06636005256242,45.83333333333333,1610612751,21,18,2025-03-16T22:24:17Z,850000,False,-21.0,22.0,1,right,T. Watford driving Layup (2 PTS),[1630570],1610612751.0,BKN,driving,,,Watford,T. Watford,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,,,,,3.03,2.0,,,,,
