actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId
25,PT09M45.00S,2024-01-03T03:13:26.9Z,1,REGULAR,3pt,Jump Shot,[],1626179,4.944152431011826,97.30392156862744,1610612766,4,6,2024-01-03T03:13:30Z,250000,False,-237.0,-6.0,1,left,MISS T. Rozier 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,,,,23.66,Missed,,,,,,,,,,,,,,,
26,PT09M43.00S,2024-01-03T03:13:28.9Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,4,6,2024-01-03T03:13:30Z,260000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Left Corner 3,24+ Left,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,
27,PT09M34.00S,2024-01-03T03:13:37.5Z,1,REGULAR,2pt,Jump Shot,[],1628368,78.79434954007884,68.87254901960785,1610612758,4,6,2024-01-03T03:15:27Z,270000,False,94.0,147.0,1,right,MISS D. Fox 17' fadeaway Shot,[1628368],1610612758.0,SAC,fadeaway,,,Fox,D. Fox,,,,,Mid-Range,16-24 Right Center,,,,17.45,Missed,,,,,,,,,,,,,,,
28,PT09M32.00S,2024-01-03T03:13:40.2Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,4,6,2024-01-03T03:13:40Z,280000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Right Center,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,
30,PT09M19.00S,2024-01-03T03:13:52.6Z,1,REGULAR,3pt,Jump Shot,[],1628970,32.013797634691194,46.568627450980394,1610612766,4,6,2024-01-03T03:13:58Z,290000,False,17.0,248.0,1,left,MISS M. Bridges 24' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,,,,24.9,Missed,,,,,,,,,,,,,,,
31,PT09M16.00S,2024-01-03T03:13:55.6Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,4,6,2024-01-03T03:13:58Z,300000,False,,,0,,D. Fox REBOUND (Off:0 Def:2),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,
32,PT09M08.00S,2024-01-03T03:14:04.3Z,1,REGULAR,3pt,Jump Shot,[],1631099,93.64323258869908,4.6568627450980395,1610612758,7,6,2024-01-03T03:14:08Z,310000,False,-227.0,7.0,1,right,K. Murray 3PT  (3 PTS) (H. Barnes 1 AST),"[1631099, 203084]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Left Corner 3,24+ Left,,,,22.68,Made,,,,,,,3.0,,,,H. Barnes,203084.0,1.0,,
34,PT08M57.00S,2024-01-03T03:14:19.9Z,1,REGULAR,foul,personal,[],1630537,,,1610612766,7,6,2024-01-03T03:16:22Z,330000,False,,,0,,C. Duarte personal FOUL (1 PF),"[1630537, 1630208]",1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,204059.0,1.0,0.0,,,,Richards,1630208.0
36,PT08M54.00S,2024-01-03T03:14:41.2Z,1,REGULAR,foul,offensive,[],1630208,,,1610612766,7,6,2024-01-03T03:14:57Z,350000,False,,,0,,N. Richards offensive FOUL (2 PF),"[1630208, 1630537]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,204059.0,2.0,0.0,,,,Duarte,1630537.0
38,PT08M54.00S,2024-01-03T03:14:41.2Z,1,REGULAR,turnover,offensive foul,[],1630208,,,1610612766,7,6,2024-01-03T03:14:41Z,370000,False,,,0,,N. Richards offensive foul TURNOVER (2 TO),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Center,2.0,,,,,,,,,,,,204059.0,,,,,,,
39,PT08M54.00S,2024-01-03T03:14:55.3Z,1,REGULAR,substitution,out,[],1630208,,,1610612758,7,6,2024-01-03T03:15:00Z,380000,False,,,0,,SUB out: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M54.00S,2024-01-03T03:14:55.3Z,1,REGULAR,substitution,in,[],1641877,,,1610612758,7,6,2024-01-03T03:15:00Z,390000,False,,,0,,SUB in: N. Mensah,[1641877],1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M33.00S,2024-01-03T03:15:27.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627734,66.83639947437582,42.40196078431372,1610612758,10,6,2024-01-03T03:15:37Z,400000,False,-38.0,259.0,1,right,D. Sabonis 26' 3PT  (5 PTS) (D. Fox 1 AST),"[1627734, 1628368]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,,26.2,Made,,,,,,,5.0,,,,D. Fox,1628368.0,1.0,,
43,PT08M23.00S,2024-01-03T03:15:39.7Z,1,REGULAR,foul,personal,[],1628368,,,1610612766,10,6,2024-01-03T03:15:54Z,420000,False,,,0,,D. Fox personal FOUL (1 PF),"[1628368, 1631121]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,204059.0,1.0,0.0,,,,McGowens,1631121.0
45,PT08M09.00S,2024-01-03T03:16:07.1Z,1,REGULAR,2pt,Jump Shot,[],1628998,5.863994743758213,30.14705882352941,1610612766,10,6,2024-01-03T03:16:11Z,440000,False,99.0,3.0,1,left,MISS C. Martin 9' pullup Shot,[1628998],1610612766.0,CHA,pullup,,,Martin,C. Martin,,,,,Mid-Range,8-16 Right,,,,9.93,Missed,,,,,,,,,,,,,,,
46,PT08M07.00S,2024-01-03T03:16:09.1Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,10,6,2024-01-03T03:16:11Z,450000,False,,,0,,D. Fox REBOUND (Off:0 Def:3),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Mid-Range,8-16 Right,,,,,,,,45.0,3.0,3.0,0.0,,,,,,,,,
47,PT08M07.00S,2024-01-03T03:16:11.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630537,92.06636005256242,46.81372549019608,1610612758,10,6,2024-01-03T03:16:24Z,460000,False,-16.0,22.0,1,right,MISS C. Duarte running Layup - blocked,"[1630537, 1626179]",1610612758.0,SAC,running,,,Duarte,C. Duarte,,,,,Restricted Area,0-8 Center,,,,2.72,Missed,Rozier,1626179.0,,,,,,,,,,,,,
48,PT08M07.00S,2024-01-03T03:16:11.6Z,1,REGULAR,block,,[],1626179,,,1610612758,10,6,2024-01-03T03:16:14Z,470000,False,,,0,,T. Rozier BLOCK (2 BLK),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
49,PT08M07.00S,2024-01-03T03:16:11.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,10,6,2024-01-03T03:16:24Z,480000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,47.0,,,,,,,,,,,,
51,PT07M58.00S,2024-01-03T03:16:33.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630537,89.56964520367937,97.05882352941177,1610612758,13,6,2024-01-03T03:16:49Z,500000,False,235.0,46.0,1,right,C. Duarte 3PT  (5 PTS) (D. Fox 2 AST),"[1630537, 1628368]",1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,Right Corner 3,24+ Right,,,,23.97,Made,,,,,,,5.0,,,,D. Fox,1628368.0,2.0,,
53,PT07M58.00S,2024-01-03T03:16:38.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,13,6,2024-01-03T03:16:38Z,520000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M42.00S,2024-01-03T03:19:45.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,6.1268068331143235,58.08823529411765,1610612766,13,6,2024-01-03T03:19:53Z,530000,False,-40.0,5.0,1,left,MISS M. Bridges turnaround Shot,[1628970],1610612766.0,CHA,turnaround,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,4.07,Missed,,,,,,,,,,,,,,,
55,PT07M40.00S,2024-01-03T03:19:47.9Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,13,6,2024-01-03T03:19:53Z,540000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,
56,PT07M31.00S,2024-01-03T03:19:57.0Z,1,REGULAR,2pt,Jump Shot,[],1631099,78.40013140604468,66.17647058823529,1610612758,13,6,2024-01-03T03:20:03Z,550000,False,81.0,151.0,1,right,MISS K. Murray 17' pullup Shot,[1631099],1610612758.0,SAC,pullup,,,Murray,K. Murray,,,,,Mid-Range,16-24 Right Center,,,,17.09,Missed,,,,,,,,,,,,,,,
57,PT07M27.00S,2024-01-03T03:20:01.0Z,1,REGULAR,rebound,defensive,[],1641877,,,1610612766,13,6,2024-01-03T03:22:18Z,560000,False,,,0,,N. Mensah REBOUND (Off:0 Def:1),[1641877],1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,Mid-Range,16-24 Right Center,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,
60,PT07M19.00S,2024-01-03T03:20:08.6Z,1,REGULAR,2pt,Jump Shot,[],1626179,21.107095926412615,26.225490196078432,1610612766,13,8,2024-01-03T03:22:06Z,590000,False,119.0,146.0,1,left,T. Rozier 18' step back Jump Shot (3 PTS),[1626179],1610612766.0,CHA,step back,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Right Center,,,,18.82,Made,,,,,,,3.0,,,,,,,,
61,PT07M04.00S,2024-01-03T03:20:24.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,91.80354796320631,46.81372549019608,1610612758,15,8,2024-01-03T03:20:29Z,600000,False,-16.0,25.0,1,right,D. Sabonis cutting Layup (7 PTS) (C. Duarte 2 AST),"[1627734, 1630537]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,2.92,Made,,,,,,,7.0,,,,C. Duarte,1630537.0,2.0,,
63,PT06M58.00S,2024-01-03T03:20:33.3Z,1,REGULAR,foul,offensive,[],1641877,,,1610612766,15,8,2024-01-03T03:20:43Z,620000,False,,,0,,N. Mensah offensive FOUL (1 PF),"[1641877, 1630537]",1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,1627524.0,1.0,0.0,,,,Duarte,1630537.0
65,PT06M58.00S,2024-01-03T03:20:33.3Z,1,REGULAR,turnover,offensive foul,[],1641877,,,1610612766,15,8,2024-01-03T03:20:33Z,640000,False,,,0,,N. Mensah offensive foul TURNOVER (1 TO),[1641877],1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,Mid-Range,16-24 Right Center,1.0,,,,,,,,,,,,1627524.0,,,,,,,
66,PT06M43.00S,2024-01-03T03:21:01.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630537,90.48948751642575,40.68627450980392,1610612758,15,8,2024-01-03T03:21:10Z,650000,False,-47.0,37.0,1,right,MISS C. Duarte turnaround fadeaway Shot,[1630537],1610612758.0,SAC,turnaround fadeaway,,,Duarte,C. Duarte,,,,,In The Paint (Non-RA),0-8 Center,,,,5.94,Missed,,,,,,,,,,,,,,,
67,PT06M42.00S,2024-01-03T03:21:03.5Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,15,8,2024-01-03T03:21:03Z,660000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,66.0,2.0,1.0,1.0,,,,,,,,,
68,PT06M40.00S,2024-01-03T03:21:05.2Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612758,15,8,2024-01-03T03:21:12Z,670000,False,,,0,,D. Sabonis lost ball TURNOVER (1 TO),"[1627734, 1641877]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.0,Mensah,1641877.0,,,,,,,,,,,,,,,,,
69,PT06M40.00S,2024-01-03T03:21:05.2Z,1,REGULAR,steal,,[],1641877,,,1610612766,15,8,2024-01-03T03:27:48Z,680000,False,,,0,,N. Mensah STEAL (1 STL),[1641877],1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
70,PT06M34.00S,2024-01-03T03:21:12.3Z,1,REGULAR,turnover,out-of-bounds,[],1628998,,,1610612766,15,8,2024-01-03T03:28:00Z,690000,False,,,0,,C. Martin bad pass out-of-bounds TURNOVER (1 TO),[1628998],1610612766.0,CHA,bad pass,,,Martin,C. Martin,,,,,Left Corner 3,24+ Left,1.0,,,,,,,,,,,,1628953.0,,,,,,,
71,PT06M19.00S,2024-01-03T03:21:46.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628368,80.6340341655716,64.95098039215686,1610612758,15,8,2024-01-03T03:25:04Z,700000,False,75.0,130.0,1,right,MISS D. Fox 14' fadeaway Shot,[1628368],1610612758.0,SAC,fadeaway,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Right,,,,14.96,Missed,,,,,,,,,,,,,,,
72,PT06M18.00S,2024-01-03T03:21:47.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,15,8,2024-01-03T03:24:30Z,710000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,71.0,,,,,,,,,,,,
74,PT06M18.00S,2024-01-03T03:21:51.2Z,1,REGULAR,substitution,out,[],1630537,,,1610612766,15,8,2024-01-03T03:21:55Z,730000,False,,,0,,SUB out: C. Duarte,[1630537],1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M18.00S,2024-01-03T03:21:51.2Z,1,REGULAR,substitution,in,[],1630558,,,1610612766,15,8,2024-01-03T03:21:55Z,740000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M06.00S,2024-01-03T03:22:13.7Z,1,REGULAR,3pt,Jump Shot,[],1626179,24.392247043363994,14.215686274509803,1610612766,15,8,2024-01-03T03:25:28Z,750000,False,179.0,177.0,1,left,MISS T. Rozier 25' pullup 3PT,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,,,,25.15,Missed,,,,,,,,,,,,,,,
77,PT06M04.00S,2024-01-03T03:22:15.7Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,15,8,2024-01-03T03:22:21Z,760000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Right Center,,,,,,,,76.0,3.0,2.0,1.0,,,,,,,,,
78,PT05M57.00S,2024-01-03T03:22:22.5Z,1,REGULAR,3pt,Jump Shot,[],203084,74.72076215505913,86.51960784313727,1610612758,18,8,2024-01-03T03:22:27Z,770000,False,183.0,185.0,1,right,H. Barnes 26' 3PT  (3 PTS) (D. Fox 3 AST),"[203084, 1628368]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,,,,26.0,Made,,,,,,,3.0,,,,D. Fox,1628368.0,3.0,,
80,PT05M37.00S,2024-01-03T03:22:42.6Z,1,REGULAR,3pt,Jump Shot,[],1628998,30.699737187910642,40.19607843137255,1610612766,18,8,2024-01-03T03:26:12Z,790000,False,49.0,236.0,1,left,MISS C. Martin 24' step back 3PT,[1628998],1610612766.0,CHA,step back,,,Martin,C. Martin,,,,,Above the Break 3,24+ Center,,,,24.11,Missed,,,,,,,,,,,,,,,
81,PT05M30.00S,2024-01-03T03:22:49.6Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,18,8,2024-01-03T03:22:50Z,800000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,,,,,,80.0,4.0,3.0,1.0,,,,,,,,,
82,PT05M27.00S,2024-01-03T03:22:52.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631099,93.9060446780552,46.81372549019608,1610612758,18,8,2024-01-03T03:23:01Z,810000,False,-16.0,5.0,1,right,MISS K. Murray running Layup - blocked,"[1631099, 1641877]",1610612758.0,SAC,running,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,1.66,Missed,Mensah,1641877.0,,,,,,,,,,,,,
83,PT05M27.00S,2024-01-03T03:22:52.8Z,1,REGULAR,block,,[],1641877,,,1610612758,18,8,2024-01-03T03:22:55Z,820000,False,,,0,,N. Mensah BLOCK (1 BLK),[1641877],1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
84,PT05M24.00S,2024-01-03T03:22:55.8Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,18,8,2024-01-03T03:23:01Z,830000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,,,82.0,1.0,1.0,0.0,,,,,,,,,
85,PT05M12.00S,2024-01-03T03:23:08.0Z,1,REGULAR,3pt,Jump Shot,[],1631121,28.597240473061763,75.0,1610612766,18,8,2024-01-03T03:23:14Z,840000,False,-125.0,216.0,1,left,MISS B. McGowens 24' 3PT,[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,Above the Break 3,24+ Left Center,,,,24.98,Missed,,,,,,,,,,,,,,,
86,PT05M11.00S,2024-01-03T03:23:09.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,18,8,2024-01-03T03:23:14Z,850000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,85.0,,,,,,,,,,,,
88,PT05M11.00S,2024-01-03T03:23:14.2Z,1,REGULAR,substitution,out,[],1628368,,,1610612758,18,8,2024-01-03T03:23:25Z,870000,False,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
