actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
24,PT09M57.00S,2024-03-30T02:12:35.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,92.59198423127464,45.09803921568628,1610612742,9,4,2024-03-30T02:12:40Z,240000,False,-25.0,17.0,1,right,D. Gafford alley-oop DUNK (2 PTS) (L. Doncic 1 AST),"[1629655, 1629029]",1610612742.0,DAL,alley-oop,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,2.99,Made,2.0,,,,L. Doncic,1629029.0,1.0,,,,,,,,,,,
27,PT09M42.00S,2024-03-30T02:13:34.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,7.703679369250986,59.31372549019608,1610612758,9,4,2024-03-30T02:13:38Z,270000,False,-47.0,20.0,1,left,MISS D. Sabonis cutting Layup,[1627734],1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,5.07,Missed,,,,,,,,,,,,,,,,,,
28,PT09M40.00S,2024-03-30T02:13:36.3Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,9,4,2024-03-30T02:13:38Z,280000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,
29,PT09M29.00S,2024-03-30T02:13:47.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,85.10183968462549,49.50980392156863,1610612742,9,4,2024-03-30T02:13:52Z,290000,False,-2.0,88.0,1,right,MISS P. Washington 8' floating Shot,[1629023],1610612742.0,DAL,floating,,,Washington,P. Washington,,,,,In The Paint (Non-RA),8-16 Center,8.75,Missed,,,,,,,,,,,,,,,,,,
30,PT09M25.00S,2024-03-30T02:13:51.6Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,9,4,2024-03-30T02:13:52Z,300000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,
31,PT09M16.00S,2024-03-30T02:14:00.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627734,9.411957950065702,54.65686274509803,1610612758,11,4,2024-03-30T02:14:05Z,310000,False,-23.0,36.0,1,left,D. Sabonis Hook (2 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,4.29,Made,2.0,,,,,,,,,,,,,,,,,
32,PT08M57.00S,2024-03-30T02:14:18.5Z,1,REGULAR,3pt,Jump Shot,[],1627884,67.23061760840999,43.872549019607845,1610612742,11,7,2024-03-30T02:14:23Z,320000,False,-31.0,256.0,1,right,D. Jones Jr. 25' 3PT  (3 PTS) (L. Doncic 2 AST),"[1627884, 1629029]",1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,Above the Break 3,24+ Center,25.73,Made,3.0,,,,L. Doncic,1629029.0,2.0,,,,,,,,,,,
34,PT08M37.00S,2024-03-30T02:14:39.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,11.12023653088042,55.14705882352941,1610612758,11,7,2024-03-30T02:15:47Z,340000,False,-26.0,52.0,1,left,MISS H. Barnes pullup Shot,[203084],1610612758.0,SAC,pullup,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,5.8,Missed,,,,,,,,,,,,,,,,,,
40,PT08M37.00S,2024-03-30T02:14:39.6Z,1,REGULAR,rebound,offensive,[],203084,,,1610612758,11,7,2024-03-30T02:15:47Z,342500,False,,,0,,H. Barnes REBOUND (Off:1 Def:0),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,34.0,1.0,0.0,1.0,,,,,,
39,PT08M35.00S,2024-03-30T02:14:46.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203084,5.206964520367937,47.549019607843135,1610612758,13,7,2024-03-30T02:16:26Z,345000,False,12.0,-4.0,1,left,H. Barnes tip Layup (6 PTS),[203084],1610612758.0,SAC,tip,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,1.28,Made,6.0,,,,,,,,,,,,,,,,,
35,PT08M22.00S,2024-03-30T02:14:53.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,91.67214191852825,58.333333333333336,1610612742,13,9,2024-03-30T02:17:56Z,350000,False,42.0,26.0,1,right,L. Doncic driving Layup (2 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,4.9,Made,2.0,,,,,,,,,,,,,,,,,
36,PT08M18.00S,2024-03-30T02:15:02.1Z,1,REGULAR,foul,personal,[],202681,,,1610612758,13,9,2024-03-30T02:15:12Z,360000,False,,,0,,K. Irving personal FOUL (1 PF),"[202681, 203084]",1610612742.0,DAL,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1662.0,,,,,1.0,0.0,Barnes,203084.0,,
38,PT08M09.00S,2024-03-30T02:15:34.3Z,1,REGULAR,3pt,Jump Shot,[],203084,32.802233902759525,52.20588235294118,1610612758,16,9,2024-03-30T02:15:51Z,380000,False,-11.0,256.0,1,left,H. Barnes 25' 3PT  (9 PTS) (D. Sabonis 3 AST),"[203084, 1627734]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Center,25.6,Made,9.0,,,,D. Sabonis,1627734.0,3.0,,,,,,,,,,,
41,PT07M51.00S,2024-03-30T02:15:51.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202681,87.46714848883047,49.50980392156863,1610612742,16,11,2024-03-30T02:15:57Z,390000,False,-2.0,65.0,1,right,K. Irving 6' driving Hook (4 PTS),[202681],1610612742.0,DAL,driving,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,6.53,Made,4.0,,,,,,,,,,,,,,,,,
43,PT07M37.00S,2024-03-30T02:16:05.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,9.806176084099869,50.0,1610612758,18,11,2024-03-30T02:16:09Z,400000,False,0.0,40.0,1,left,D. Sabonis Layup (4 PTS) (D. Fox 1 AST),"[1627734, 1628368]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,3.97,Made,4.0,,,,D. Fox,1628368.0,1.0,,,,,,,,,,,
45,PT07M29.00S,2024-03-30T02:16:13.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,91.93495400788436,56.61764705882353,1610612742,18,13,2024-03-30T02:16:17Z,420000,False,33.0,23.0,1,right,K. Irving Layup (6 PTS) (L. Doncic 3 AST),"[202681, 1629029]",1610612742.0,DAL,,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,4.05,Made,6.0,,,,L. Doncic,1629029.0,3.0,,,,,,,,,,,
47,PT07M19.00S,2024-03-30T02:16:23.7Z,1,REGULAR,3pt,Jump Shot,[],1628368,27.020367936925098,16.42156862745098,1610612758,18,13,2024-03-30T02:19:35Z,440000,False,168.0,201.0,1,left,MISS D. Fox 26' step back 3PT,[1628368],1610612758.0,SAC,step back,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,26.23,Missed,,,,,,,,,,,,,,,,,,
48,PT07M18.00S,2024-03-30T02:16:24.7Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,18,13,2024-03-30T02:24:37Z,450000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,
54,PT07M08.00S,2024-03-30T02:17:04.9Z,1,REGULAR,substitution,out,[],1627884,,,1610612742,18,13,2024-03-30T02:20:02Z,490000,False,,,0,,SUB out: D. Jones Jr.,[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M08.00S,2024-03-30T02:17:04.9Z,1,REGULAR,substitution,out,[],1629655,,,1610612742,18,13,2024-03-30T02:20:02Z,500000,False,,,0,,SUB out: D. Gafford,[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M08.00S,2024-03-30T02:17:04.9Z,1,REGULAR,substitution,in,[],1641726,,,1610612742,18,13,2024-03-30T02:20:02Z,510000,False,,,0,,SUB in: D. Lively II,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M08.00S,2024-03-30T02:17:04.9Z,1,REGULAR,substitution,in,[],203957,,,1610612742,18,13,2024-03-30T02:20:02Z,520000,False,,,0,,SUB in: D. Exum,[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M56.00S,2024-03-30T02:17:12.8Z,1,REGULAR,3pt,Jump Shot,[],1629023,79.05716162943496,6.127450980392156,1610612742,18,13,2024-03-30T02:24:43Z,530000,False,-219.0,144.0,1,right,MISS P. Washington 26' 3PT,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,26.27,Missed,,,,,,,,,,,,,,,,,,
59,PT06M49.00S,2024-03-30T02:17:19.1Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,18,13,2024-03-30T02:17:19Z,540000,False,,,0,,H. Barnes REBOUND (Off:1 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,58.0,2.0,1.0,1.0,,,,,,
60,PT06M39.00S,2024-03-30T02:17:29.3Z,1,REGULAR,3pt,Jump Shot,[],1631165,32.013797634691194,47.30392156862745,1610612758,21,13,2024-03-30T02:17:34Z,550000,False,13.0,248.0,1,left,K. Ellis 24' 3PT  (6 PTS) (D. Sabonis 4 AST),"[1631165, 1627734]",1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Center,24.88,Made,6.0,,,,D. Sabonis,1627734.0,4.0,,,,,,,,,,,
62,PT06M39.00S,2024-03-30T02:17:37.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,21,13,2024-03-30T02:17:37Z,570000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M21.00S,2024-03-30T02:20:43.0Z,1,REGULAR,2pt,Jump Shot,[],1629029,87.59855453350855,83.33333333333334,1610612742,21,13,2024-03-30T02:20:51Z,580000,False,167.0,64.0,1,right,MISS L. Doncic 17' Jump Shot,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Right,17.86,Missed,,,,,,,,,,,,,,,,,,
66,PT06M17.00S,2024-03-30T02:20:46.9Z,1,REGULAR,rebound,defensive,[],1631165,,,1610612758,21,13,2024-03-30T02:20:46Z,590000,False,,,0,,K. Ellis REBOUND (Off:0 Def:1),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Mid-Range,16-24 Right,,,,,,,,,,,65.0,1.0,1.0,0.0,,,,,,
67,PT06M02.00S,2024-03-30T02:21:01.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631165,9.149145860709593,54.65686274509803,1610612758,23,13,2024-03-30T02:21:06Z,600000,False,-23.0,34.0,1,left,K. Ellis bank Jump Shot (8 PTS),[1631165],1610612758.0,SAC,bank,,,Ellis,K. Ellis,,,,,Restricted Area,0-8 Center,4.08,Made,8.0,,,,,,,,,,,,,,,,,
68,PT05M51.00S,2024-03-30T02:21:12.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,86.02168199737189,65.68627450980392,1610612742,23,13,2024-03-30T02:25:55Z,610000,False,78.0,79.0,1,right,MISS K. Irving 11' fadeaway Shot,[202681],1610612742.0,DAL,fadeaway,,,Irving,K. Irving,,,,,In The Paint (Non-RA),8-16 Right,11.12,Missed,,,,,,,,,,,,,,,,,,
69,PT05M48.00S,2024-03-30T02:21:15.7Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,23,13,2024-03-30T02:21:25Z,620000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,68.0,1.0,1.0,0.0,,,,,,
70,PT05M43.00S,2024-03-30T02:21:20.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627734,5.863994743758213,44.6078431372549,1610612758,23,13,2024-03-30T02:26:35Z,630000,False,27.0,3.0,1,left,MISS D. Sabonis running Layup,[1627734],1610612758.0,SAC,running,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,2.71,Missed,,,,,,,,,,,,,,,,,,
71,PT05M41.00S,2024-03-30T02:21:22.4Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,23,13,2024-03-30T02:21:46Z,640000,False,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,70.0,2.0,2.0,0.0,,,,,,
72,PT05M40.00S,2024-03-30T02:21:26.8Z,1,REGULAR,foul,personal,['2freethrow'],1631099,,,1610612742,23,13,2024-03-30T02:21:42Z,650000,False,,,0,,K. Murray shooting personal FOUL (1 PF) (Washington 2 FT),"[1631099, 1629023]",1610612758.0,SAC,shooting,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,202035.0,,,,,1.0,0.0,Washington,1629023.0,,
74,PT05M40.00S,2024-03-30T02:21:52.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629023,,,1610612742,23,13,2024-03-30T02:21:52Z,670000,False,,,0,,MISS P. Washington Free Throw 1 of 2,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
75,PT05M40.00S,2024-03-30T02:21:52.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,23,13,2024-03-30T02:21:52Z,680000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,
76,PT05M40.00S,2024-03-30T02:21:54.6Z,1,REGULAR,substitution,out,[],1628368,,,1610612742,23,13,2024-03-30T02:22:09Z,690000,False,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M40.00S,2024-03-30T02:21:54.6Z,1,REGULAR,substitution,out,[],1631165,,,1610612742,23,13,2024-03-30T02:22:09Z,700000,False,,,0,,SUB out: K. Ellis,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M40.00S,2024-03-30T02:21:54.6Z,1,REGULAR,substitution,out,[],202681,,,1610612742,23,13,2024-03-30T02:22:09Z,710000,False,,,0,,SUB out: K. Irving,[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M40.00S,2024-03-30T02:21:54.6Z,1,REGULAR,substitution,in,[],1628370,,,1610612742,23,13,2024-03-30T02:22:09Z,720000,False,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M40.00S,2024-03-30T02:21:54.6Z,1,REGULAR,substitution,in,[],1630558,,,1610612742,23,13,2024-03-30T02:22:09Z,730000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M40.00S,2024-03-30T02:21:54.6Z,1,REGULAR,substitution,in,[],203501,,,1610612742,23,13,2024-03-30T02:22:09Z,740000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M40.00S,2024-03-30T02:22:17.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629023,,,1610612742,23,14,2024-03-30T02:22:17Z,750000,False,,,0,,P. Washington Free Throw 2 of 2 (1 PTS),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
83,PT05M18.00S,2024-03-30T02:22:40.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,6.1268068331143235,54.166666666666664,1610612758,25,14,2024-03-30T02:23:38Z,760000,False,-21.0,5.0,1,left,H. Barnes driving reverse Layup (11 PTS),[203084],1610612758.0,SAC,driving reverse,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,2.14,Made,11.0,,,,,,,,,,,,,,,,,
84,PT05M02.00S,2024-03-30T02:22:56.0Z,1,REGULAR,3pt,Jump Shot,[],1629023,88.78120893561103,95.09803921568627,1610612742,25,14,2024-03-30T02:23:19Z,770000,False,225.0,53.0,1,right,MISS P. Washington 3PT,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Right Corner 3,24+ Right,23.16,Missed,,,,,,,,,,,,,,,,,,
85,PT05M02.00S,2024-03-30T02:22:56.0Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,25,14,2024-03-30T02:23:19Z,780000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Right Corner 3,24+ Right,,,,,,,,,,,84.0,2.0,2.0,0.0,,,,,,
86,PT04M56.00S,2024-03-30T02:23:02.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628370,19.92444152431012,7.8431372549019605,1610612758,25,14,2024-03-30T02:23:26Z,790000,False,211.0,135.0,1,left,MISS M. Monk 25' running 3PT,[1628370],1610612758.0,SAC,running,,,Monk,M. Monk,,,,,Above the Break 3,24+ Right Center,25.02,Missed,,,,,,,,,,,,,,,,,,
87,PT04M50.00S,2024-03-30T02:23:08.8Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,25,14,2024-03-30T02:23:26Z,800000,False,,,0,,P. Washington REBOUND (Off:0 Def:2),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,86.0,2.0,2.0,0.0,,,,,,
88,PT04M34.00S,2024-03-30T02:23:23.8Z,1,REGULAR,2pt,Jump Shot,[],203501,81.553876478318,77.94117647058823,1610612742,25,14,2024-03-30T02:23:30Z,810000,False,140.0,121.0,1,right,MISS T. Hardaway Jr. 18' pullup Shot,[203501],1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Right Center,18.48,Missed,,,,,,,,,,,,,,,,,,
89,PT04M34.00S,2024-03-30T02:23:23.8Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612758,25,14,2024-03-30T02:23:30Z,820000,False,,,0,,M. Monk REBOUND (Off:0 Def:1),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,88.0,1.0,1.0,0.0,,,,,,
90,PT04M30.00S,2024-03-30T02:23:32.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628370,5.206964520367937,57.35294117647059,1610612758,27,14,2024-03-30T02:28:13Z,830000,False,-37.0,-4.0,1,left,M. Monk running Layup (2 PTS),[1628370],1610612758.0,SAC,running,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,3.7,Made,2.0,,,,,,,,,,,,,,,,,
91,PT04M30.00S,2024-03-30T02:23:35.6Z,1,REGULAR,foul,personal,['1freethrow'],203957,,,1610612758,27,14,2024-03-30T02:23:48Z,840000,False,,,0,,D. Exum shooting personal FOUL (1 PF) (Monk 1 FT),"[203957, 1628370]",1610612742.0,DAL,shooting,,,Exum,D. Exum,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627962.0,,,,,1.0,0.0,Monk,1628370.0,,
