actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT10M56.00S,2023-10-30T01:11:18.6Z,1,REGULAR,3pt,Jump Shot,[],1627752,73.01248357424441,19.607843137254903,1610612747,2,0,2023-10-30T01:11:26Z,150000,False,-152.0,201.0,1,right,MISS T. Prince 25' 3PT,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,,,,25.22,Missed,,,,,,,,,,,,,,,
16,PT10M51.00S,2023-10-30T01:11:23.6Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,2,0,2023-10-30T01:11:26Z,160000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M48.00S,2023-10-30T01:11:27.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627734,6.652431011826544,52.94117647058824,1610612758,4,0,2023-10-30T01:11:35Z,170000,False,-15.0,10.0,1,left,D. Sabonis running Layup (2 PTS),[1627734],1610612758.0,SAC,running,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,1.78,Made,2.0,,,,,,,,,,,,,,
19,PT10M34.00S,2023-10-30T01:11:41.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203076,88.38699080157687,46.81372549019608,1610612747,4,0,2023-10-30T01:11:46Z,190000,False,-16.0,57.0,1,right,MISS A. Davis Hook,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,5.89,Missed,,,,,,,,,,,,,,,
20,PT10M32.00S,2023-10-30T01:11:43.4Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,4,0,2023-10-30T01:11:46Z,200000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,
21,PT10M26.00S,2023-10-30T01:11:49.2Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612758,4,0,2023-10-30T01:11:53Z,210000,False,,,0,,D. Sabonis lost ball TURNOVER (1 TO),"[1627734, 203076]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,1.0,Davis,203076.0,,,,,,,,,,,,,,,,,
22,PT10M26.00S,2023-10-30T01:11:49.2Z,1,REGULAR,steal,,[],203076,,,1610612747,4,0,2023-10-30T01:11:51Z,220000,False,,,0,,A. Davis STEAL (1 STL),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M21.00S,2023-10-30T01:11:54.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627752,68.80749014454665,69.11764705882352,1610612747,4,3,2023-10-30T01:12:01Z,230000,False,96.0,241.0,1,right,T. Prince 25' 3PT running (3 PTS) (D. Russell 1 AST),"[1627752, 1626156]",1610612747.0,LAL,running,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,,,,25.9,Made,3.0,,,,,,,D. Russell,1626156.0,1.0,,,,,
25,PT10M08.00S,2023-10-30T01:12:06.7Z,1,REGULAR,3pt,Jump Shot,[],1628368,32.40801576872536,55.14705882352941,1610612758,7,3,2023-10-30T01:12:13Z,250000,False,-26.0,252.0,1,left,D. Fox 25' 3PT  (5 PTS) (K. Huerter 1 AST),"[1628368, 1628989]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,,,,25.34,Made,5.0,,,,,,,K. Huerter,1628989.0,1.0,,,,,
28,PT09M55.00S,2023-10-30T01:12:31.6Z,1,REGULAR,3pt,Jump Shot,[],2544,73.66951379763469,85.5392156862745,1610612747,7,6,2023-10-30T01:12:36Z,280000,False,178.0,195.0,1,right,L. James 26' 3PT  (3 PTS) (D. Russell 2 AST),"[2544, 1626156]",1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,,,,26.38,Made,3.0,,,,,,,D. Russell,1626156.0,2.0,,,,,
30,PT09M41.00S,2023-10-30T01:12:48.7Z,1,REGULAR,foul,personal,['2freethrow'],1627752,,,1610612758,7,6,2023-10-30T01:12:59Z,300000,False,,,0,,T. Prince shooting personal FOUL (1 PF) (Fox 2 FT),"[1627752, 1628368]",1610612747.0,LAL,shooting,,,Prince,T. Prince,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Fox,1628368.0
32,PT09M41.00S,2023-10-30T01:13:19.5Z,1,REGULAR,freethrow,1 of 2,[],1628368,,,1610612758,8,6,2023-10-30T01:13:42Z,320000,False,,,0,,D. Fox Free Throw 1 of 2 (6 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
33,PT09M41.00S,2023-10-30T01:13:19.5Z,1,REGULAR,freethrow,2 of 2,[],1628368,,,1610612758,8,6,2023-10-30T01:13:42Z,330000,False,,,0,,MISS D. Fox Free Throw 2 of 2,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
34,PT09M38.00S,2023-10-30T01:13:22.5Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,8,6,2023-10-30T01:13:42Z,340000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,
35,PT09M27.00S,2023-10-30T01:13:51.9Z,1,REGULAR,2pt,Jump Shot,[],2544,70.77858081471747,52.450980392156865,1610612747,8,6,2023-10-30T01:14:00Z,350000,False,12.0,222.0,1,right,MISS L. James 22' pullup Shot,[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,Mid-Range,16-24 Center,,,,22.25,Missed,,,,,,,,,,,,,,,
36,PT09M23.00S,2023-10-30T01:13:55.9Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612758,8,6,2023-10-30T01:14:00Z,360000,False,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Mid-Range,16-24 Center,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,
37,PT09M18.00S,2023-10-30T01:14:01.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631099,7.178055190538765,43.13725490196079,1610612758,8,6,2023-10-30T01:14:12Z,370000,False,34.0,15.0,1,left,MISS K. Murray turnaround Shot - blocked,"[1631099, 203076]",1610612758.0,SAC,turnaround,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,3.74,Missed,,,,,,Davis,203076.0,,,,,,,,
38,PT09M18.00S,2023-10-30T01:14:01.1Z,1,REGULAR,block,,[],203076,,,1610612758,8,6,2023-10-30T01:14:03Z,380000,False,,,0,,A. Davis BLOCK (2 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
39,PT09M18.00S,2023-10-30T01:14:01.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,8,6,2023-10-30T01:14:12Z,390000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,37.0,,,,,,,,,,,,,
41,PT09M08.00S,2023-10-30T01:14:24.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628368,5.863994743758213,46.568627450980394,1610612758,10,6,2023-10-30T01:14:35Z,410000,False,17.0,3.0,1,left,D. Fox finger roll Layup (8 PTS),[1628368],1610612758.0,SAC,finger roll,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,,1.74,Made,8.0,,,,,,,,,,,,,,
42,PT08M56.00S,2023-10-30T01:14:36.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,89.56964520367937,50.49019607843137,1610612747,10,6,2023-10-30T01:14:42Z,420000,False,2.0,46.0,1,right,MISS D. Russell floating Shot,[1626156],1610612747.0,LAL,floating,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,,,,4.56,Missed,,,,,,,,,,,,,,,
43,PT08M55.00S,2023-10-30T01:14:37.7Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,10,6,2023-10-30T01:14:37Z,430000,False,,,0,,A. Davis REBOUND (Off:1 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,42.0,2.0,1.0,1.0,,,,,,,,,,
44,PT08M53.00S,2023-10-30T01:14:39.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203076,93.77463863337714,47.549019607843135,1610612747,10,8,2023-10-30T01:16:44Z,440000,False,-12.0,6.0,1,right,A. Davis putback Layup (2 PTS),[203076],1610612747.0,LAL,putback,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,1.37,Made,2.0,,,,,,,,,,,,,,
45,PT08M44.00S,2023-10-30T01:14:48.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.1268068331143235,49.50980392156863,1610612758,12,8,2023-10-30T01:14:57Z,450000,False,2.0,5.0,1,left,D. Sabonis cutting Layup (4 PTS) (K. Murray 1 AST),"[1627734, 1631099]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,0.57,Made,4.0,,,,,,,K. Murray,1631099.0,1.0,,,,,
47,PT08M28.00S,2023-10-30T01:15:03.2Z,1,REGULAR,3pt,Jump Shot,[],1627752,72.35545335085413,18.137254901960784,1610612747,12,8,2023-10-30T01:15:08Z,470000,False,-159.0,207.0,1,right,MISS T. Prince 26' 3PT,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,,,,26.15,Missed,,,,,,,,,,,,,,,
48,PT08M25.00S,2023-10-30T01:15:06.2Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,12,8,2023-10-30T01:15:08Z,480000,False,,,0,,D. Fox REBOUND (Off:0 Def:2),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,
49,PT08M19.00S,2023-10-30T01:15:12.7Z,1,REGULAR,3pt,Jump Shot,[],1627734,29.911300919842315,24.264705882352942,1610612758,15,8,2023-10-30T01:15:17Z,490000,False,129.0,229.0,1,left,D. Sabonis 26' 3PT  (7 PTS) (K. Murray 2 AST),"[1627734, 1631099]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Right Center,,,,26.24,Made,7.0,,,,,,,K. Murray,1631099.0,2.0,,,,,
51,PT08M01.00S,2023-10-30T01:15:30.6Z,1,REGULAR,3pt,Jump Shot,[],1630559,71.82982917214193,76.22549019607843,1610612747,15,8,2023-10-30T01:15:34Z,510000,False,131.0,212.0,1,right,MISS A. Reaves 24' 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,,,,24.95,Missed,,,,,,,,,,,,,,,
52,PT07M58.00S,2023-10-30T01:15:33.6Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,15,8,2023-10-30T01:15:34Z,520000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Right Center,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,
53,PT07M50.00S,2023-10-30T01:15:41.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,11.908672798948752,46.07843137254902,1610612758,15,8,2023-10-30T01:15:45Z,530000,False,20.0,59.0,1,left,MISS K. Huerter 6' floating Shot,[1628989],1610612758.0,SAC,floating,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,,,,6.26,Missed,,,,,,,,,,,,,,,
54,PT07M48.00S,2023-10-30T01:15:43.5Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,15,8,2023-10-30T01:15:45Z,540000,False,,,0,,A. Davis REBOUND (Off:1 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,53.0,3.0,2.0,1.0,,,,,,,,,,
55,PT07M46.00S,2023-10-30T01:15:49.1Z,1,REGULAR,foul,personal,['2freethrow'],1631099,,,1610612747,15,8,2023-10-30T01:15:56Z,550000,False,,,0,,K. Murray shooting personal FOUL (1 PF) (James 2 FT),"[1631099, 2544]",1610612758.0,SAC,shooting,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1204.0,1.0,0.0,James,2544.0
57,PT07M46.00S,2023-10-30T01:16:14.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],2544,,,1610612747,15,8,2023-10-30T01:16:14Z,570000,False,,,0,,MISS L. James Free Throw 1 of 2,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
58,PT07M46.00S,2023-10-30T01:16:14.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,15,8,2023-10-30T01:16:14Z,580000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,
59,PT07M46.00S,2023-10-30T01:16:29.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],2544,,,1610612747,15,9,2023-10-30T01:16:29Z,590000,False,,,0,,L. James Free Throw 2 of 2 (4 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
60,PT07M37.00S,2023-10-30T01:16:47.7Z,1,REGULAR,3pt,Jump Shot,[],1628368,30.699737187910642,68.38235294117648,1610612758,15,9,2023-10-30T01:16:52Z,600000,False,-92.0,236.0,1,left,MISS D. Fox 25' pullup 3PT,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,,,,25.34,Missed,,,,,,,,,,,,,,,
61,PT07M34.00S,2023-10-30T01:16:50.7Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,15,9,2023-10-30T01:16:52Z,610000,False,,,0,,A. Davis REBOUND (Off:1 Def:3),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,,,,,60.0,4.0,3.0,1.0,,,,,,,,,,
62,PT07M29.00S,2023-10-30T01:16:55.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,87.33574244415243,46.81372549019608,1610612747,15,9,2023-10-30T01:17:04Z,620000,False,-16.0,67.0,1,right,MISS A. Davis 6' driving Layup - blocked,"[203076, 203084]",1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,6.84,Missed,,,,,,Barnes,203084.0,,,,,,,,
63,PT07M29.00S,2023-10-30T01:16:55.3Z,1,REGULAR,block,,[],203084,,,1610612747,15,9,2023-10-30T01:16:57Z,630000,False,,,0,,H. Barnes BLOCK (1 BLK),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
64,PT07M29.00S,2023-10-30T01:16:55.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,15,9,2023-10-30T01:17:04Z,640000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,62.0,,,,,,,,,,,,,
65,PT07M24.00S,2023-10-30T01:17:06.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,6.915243101182654,46.32352941176471,1610612758,17,9,2023-10-30T01:17:17Z,650000,False,18.0,13.0,1,left,H. Barnes driving bank Jump Shot (2 PTS) (K. Huerter 2 AST),"[203084, 1628989]",1610612758.0,SAC,driving bank,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,,,,2.22,Made,2.0,,,,,,,K. Huerter,1628989.0,2.0,,,,,
66,PT07M24.00S,2023-10-30T01:17:12.5Z,1,REGULAR,foul,personal,['1freethrow'],1630559,,,1610612758,17,9,2023-10-30T01:17:24Z,660000,False,,,0,,A. Reaves shooting personal FOUL (1 PF) (Barnes 1 FT),"[1630559, 203084]",1610612747.0,LAL,shooting,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Barnes,203084.0
68,PT07M24.00S,2023-10-30T01:17:31.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,17,9,2023-10-30T01:17:42Z,680000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M24.00S,2023-10-30T01:20:28.0Z,1,REGULAR,freethrow,1 of 1,[],203084,,,1610612758,18,9,2023-10-30T01:20:28Z,690000,False,,,0,,H. Barnes Free Throw 1 of 1 (3 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
71,PT07M11.00S,2023-10-30T01:20:42.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,85.62746386333771,58.333333333333336,1610612747,18,11,2023-10-30T01:21:21Z,700000,False,42.0,83.0,1,right,A. Davis 9' floating Jump Shot (4 PTS) (T. Prince 1 AST),"[203076, 1627752]",1610612747.0,LAL,floating,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,9.25,Made,4.0,,,,,,,T. Prince,1627752.0,1.0,,,,,
74,PT06M55.00S,2023-10-30T01:20:58.4Z,1,REGULAR,3pt,Jump Shot,[],1631099,32.933639947437584,53.18627450980392,1610612758,18,11,2023-10-30T01:21:06Z,720000,False,-16.0,257.0,1,left,MISS K. Murray 25' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Center,,,,25.76,Missed,,,,,,,,,,,,,,,
75,PT06M52.00S,2023-10-30T01:21:01.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,18,11,2023-10-30T01:21:06Z,730000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,74.0,,,,,,,,,,,,,
77,PT06M37.00S,2023-10-30T01:21:23.4Z,1,REGULAR,foul,personal,['2freethrow'],1627734,,,1610612747,18,11,2023-10-30T01:21:35Z,750000,False,,,0,,D. Sabonis shooting personal FOUL (1 PF) (Davis 2 FT),"[1627734, 203076]",1610612758.0,SAC,shooting,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Davis,203076.0
79,PT06M37.00S,2023-10-30T01:21:52.4Z,1,REGULAR,freethrow,1 of 2,[],203076,,,1610612747,18,12,2023-10-30T01:22:25Z,770000,False,,,0,,A. Davis Free Throw 1 of 2 (5 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
80,PT06M37.00S,2023-10-30T01:21:53.5Z,1,REGULAR,substitution,out,[],1626156,,,1610612747,18,12,2023-10-30T01:22:20Z,780000,False,,,0,,SUB out: D. Russell,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M37.00S,2023-10-30T01:21:53.5Z,1,REGULAR,substitution,out,[],2544,,,1610612747,18,12,2023-10-30T01:22:20Z,790000,False,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M37.00S,2023-10-30T01:21:53.5Z,1,REGULAR,substitution,in,[],1629060,,,1610612747,18,12,2023-10-30T01:22:20Z,800000,False,,,0,,SUB in: R. Hachimura,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M37.00S,2023-10-30T01:21:53.5Z,1,REGULAR,substitution,in,[],1629216,,,1610612747,18,12,2023-10-30T01:22:20Z,810000,False,,,0,,SUB in: G. Vincent,[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M37.00S,2023-10-30T01:21:52.4Z,1,REGULAR,freethrow,2 of 2,[],203076,,,1610612747,18,12,2023-10-30T01:22:25Z,820000,False,,,0,,MISS A. Davis Free Throw 2 of 2,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
85,PT06M34.00S,2023-10-30T01:21:55.4Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,18,12,2023-10-30T01:22:25Z,830000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,84.0,2.0,2.0,0.0,,,,,,,,,,
86,PT06M26.00S,2023-10-30T01:22:30.8Z,1,REGULAR,turnover,bad pass,[],1628368,,,1610612758,18,12,2023-10-30T01:22:35Z,840000,False,,,0,,D. Fox bad pass TURNOVER (1 TO),"[1628368, 203076]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,1.0,Davis,203076.0,,,,,,,,,,,,,,,,,
87,PT06M26.00S,2023-10-30T01:22:30.8Z,1,REGULAR,steal,,[],203076,,,1610612747,18,12,2023-10-30T01:22:32Z,850000,False,,,0,,A. Davis STEAL (2 STL),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
88,PT06M22.00S,2023-10-30T01:22:35.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627752,72.88107752956637,82.59803921568627,1610612747,18,15,2023-10-30T01:22:41Z,860000,False,163.0,202.0,1,right,T. Prince 25' 3PT running (6 PTS) (A. Davis 1 AST),"[1627752, 203076]",1610612747.0,LAL,running,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,,,,25.99,Made,6.0,,,,,,,A. Davis,203076.0,1.0,,,,,
