actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
83,PT05M07.00S,2024-02-13T01:28:18.7Z,1,REGULAR,3pt,Jump Shot,[],202704,94.30026281208936,3.431372549019608,1610612743,16,11,2024-02-13T01:28:23Z,830000,False,-233.0,1.0,1,right,R. Jackson 3PT  (3 PTS) (N. Jokic 1 AST),"[202704, 203999]",1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Left Corner 3,24+ Left,23.28,Made,,,,,,,3.0,N. Jokic,203999.0,1.0,,,,,,,,
85,PT04M53.00S,2024-02-13T01:28:31.2Z,1,REGULAR,3pt,Jump Shot,[],203081,35.43035479632063,49.50980392156863,1610612749,16,11,2024-02-13T01:28:37Z,850000,False,2.0,281.0,1,left,MISS D. Lillard 28' pullup 3PT,[203081],1610612749.0,MIL,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,28.05,Missed,,,,,,,,,,,,,,,,,,
86,PT04M51.00S,2024-02-13T01:28:33.2Z,1,REGULAR,rebound,defensive,[],202704,,,1610612743,16,11,2024-02-13T01:28:37Z,860000,False,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Center,,,85.0,1.0,1.0,0.0,,,,,,,,,,,,,,
87,PT04M41.00S,2024-02-13T01:28:44.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203999,91.5407358738502,51.470588235294116,1610612743,16,13,2024-02-13T01:28:48Z,870000,False,7.0,27.0,1,right,N. Jokic cutting DUNK (7 PTS) (R. Jackson 1 AST),"[203999, 202704]",1610612743.0,DEN,cutting,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,2.8,Made,,,,,,,7.0,R. Jackson,202704.0,1.0,,,,,,,,
89,PT04M30.00S,2024-02-13T01:28:55.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,9.411957950065702,48.77450980392157,1610612749,16,13,2024-02-13T01:29:05Z,890000,False,6.0,36.0,1,left,MISS D. Lillard driving reverse Layup,[203081],1610612749.0,MIL,driving reverse,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,3.65,Missed,,,,,,,,,,,,,,,,,,
90,PT04M27.00S,2024-02-13T01:28:58.9Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,16,13,2024-02-13T01:29:05Z,900000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,89.0,1.0,1.0,0.0,,,,,,,,,,,,,,
91,PT04M09.00S,2024-02-13T01:29:20.8Z,1,REGULAR,turnover,backcourt,[],203932,,,1610612743,16,13,2024-02-13T01:29:43Z,910000,False,,,0,,A. Gordon backcourt TURNOVER (1 TO),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,1162.0,1.0,,,,,,
92,PT04M09.00S,2024-02-13T01:29:31.0Z,1,REGULAR,foul,technical,['1freethrow'],203081,,,1610612749,16,13,2024-02-13T01:29:40Z,920000,False,,,0,,D. Lillard technical FOUL (1 Tech),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,204058.0,,1.0,1.0,,,,
93,PT04M09.00S,2024-02-13T01:29:43.5Z,1,REGULAR,freethrow,1 of 1,[],203484,,,1610612749,16,14,2024-02-13T01:29:43Z,930000,False,,,0,,K. Caldwell-Pope technical Free Throw 1 of 1 (1 PTS),[203484],1610612743.0,DEN,technical,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
94,PT04M09.00S,2024-02-13T01:29:49.6Z,1,REGULAR,substitution,out,[],1629008,,,1610612749,16,14,2024-02-13T01:29:54Z,940000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
