actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
17,PT10M29.00S,2024-01-02T01:13:49.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,88.51839684625493,42.40196078431372,1610612754,5,0,2024-01-02T01:13:55Z,170000,False,-38.0,55.0,1,right,MISS T. Haliburton 6' driving floating bank Shot,[1630169],1610612754.0,IND,driving floating bank,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,6.72,Missed,,,,,,,,,,,,,,,,,,
18,PT10M26.00S,2024-01-02T01:13:52.4Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,5,0,2024-01-02T01:13:52Z,180000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,17.0,3.0,3.0,0.0,,,,,,,,,,,,,
19,PT10M21.00S,2024-01-02T01:13:57.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,10.33180026281209,50.245098039215684,1610612749,5,0,2024-01-02T01:14:09Z,190000,False,-1.0,45.0,1,left,MISS G. Antetokounmpo driving Layup,[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,4.46,Missed,,,,,,,,,,,,,,,,,,
21,PT10M15.00S,2024-01-02T01:14:03.7Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,5,0,2024-01-02T01:14:09Z,210000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
22,PT10M14.00S,2024-01-02T01:14:03.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629614,92.32917214191852,52.20588235294118,1610612754,5,2,2024-01-02T01:14:16Z,220000,False,11.0,20.0,1,right,A. Nembhard running Layup (2 PTS) (T. Haliburton 1 AST),"[1629614, 1630169]",1610612754.0,IND,running,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,2.25,Made,2.0,,,,,T. Haliburton,1630169.0,1.0,,,,,,,,,,
24,PT10M06.00S,2024-01-02T01:14:17.1Z,1,REGULAR,foul,personal,[],1626167,,,1610612749,5,2,2024-01-02T01:14:27Z,240000,False,,,0,,M. Turner personal FOUL (1 PF),"[1626167, 203507]",1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202007.0,1.0,0.0,Antetokounmpo,203507.0,,,,,
26,PT09M57.00S,2024-01-02T01:14:41.2Z,1,REGULAR,2pt,Jump Shot,[],203114,23.73521681997372,65.68627450980392,1610612749,7,2,2024-01-02T01:15:59Z,260000,False,-78.0,171.0,1,left,K. Middleton 18' step back Jump Shot (2 PTS) (G. Antetokounmpo 2 AST),"[203114, 203507]",1610612749.0,MIL,step back,,,Middleton,K. Middleton,,,,,Mid-Range,16-24 Left Center,18.78,Made,2.0,,,,,G. Antetokounmpo,203507.0,2.0,,,,,,,,,,
27,PT09M44.00S,2024-01-02T01:14:54.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630188,88.25558475689881,55.392156862745104,1610612754,7,4,2024-01-02T01:14:59Z,270000,False,27.0,58.0,1,right,J. Smith 6' turnaround Hook (2 PTS) (T. Haliburton 2 AST),"[1630188, 1630169]",1610612754.0,IND,turnaround,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,6.39,Made,2.0,,,,,T. Haliburton,1630169.0,2.0,,,,,,,,,,
29,PT09M33.00S,2024-01-02T01:15:05.2Z,1,REGULAR,3pt,Jump Shot,[],203081,36.08738501971091,45.588235294117645,1610612749,7,4,2024-01-02T01:15:13Z,290000,False,22.0,287.0,1,left,MISS D. Lillard 28' pullup 3PT,[203081],1610612749.0,MIL,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,28.76,Missed,,,,,,,,,,,,,,,,,,
30,PT09M33.00S,2024-01-02T01:15:05.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,7,4,2024-01-02T01:15:13Z,300000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Above the Break 3,24+ Center,,,,29.0,,,,,,,,,,,,,,,,
32,PT09M15.00S,2024-01-02T01:15:31.2Z,1,REGULAR,3pt,Jump Shot,[],1630169,69.46452036793693,74.26470588235294,1610612754,7,4,2024-01-02T01:15:36Z,320000,False,121.0,235.0,1,right,MISS T. Haliburton 26' step back 3PT,[1630169],1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,26.4,Missed,,,,,,,,,,,,,,,,,,
33,PT09M12.00S,2024-01-02T01:15:34.2Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,7,4,2024-01-02T01:15:36Z,330000,False,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,
57,PT09M08.00S,2024-01-02T01:15:36.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,9.806176084099869,41.42156862745098,1610612749,7,4,2024-01-02T02:38:11Z,335000,False,43.0,40.0,1,left,MISS G. Antetokounmpo Layup,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,5.85,Missed,,,,,,,,,,,,,,,,,,
58,PT09M08.00S,2024-01-02T01:15:36.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,7,4,2024-01-02T02:38:11Z,337500,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,57.0,,,,,,,,,,,,,,,,
34,PT09M08.00S,2024-01-02T01:15:41.2Z,1,REGULAR,turnover,traveling,[],203507,,,1610612749,7,4,2024-01-02T02:22:54Z,340000,False,,,0,,G. Antetokounmpo traveling TURNOVER (1 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627962.0,,,,,1.0,,,,
35,PT09M00.00S,2024-01-02T01:15:59.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630188,93.11760840998686,50.73529411764706,1610612754,7,4,2024-01-02T01:16:04Z,350000,False,4.0,12.0,1,right,MISS J. Smith cutting Layup,[1630188],1610612754.0,IND,cutting,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,1.27,Missed,,,,,,,,,,,,,,,,,,
36,PT08M57.00S,2024-01-02T01:16:02.9Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,7,4,2024-01-02T01:16:04Z,360000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,
37,PT08M42.00S,2024-01-02T01:16:16.9Z,1,REGULAR,3pt,Jump Shot,[],1627736,29.38567674113009,80.63725490196079,1610612749,7,4,2024-01-02T01:17:39Z,370000,False,-153.0,224.0,1,left,MISS M. Beasley 27' pullup 3PT,[1627736],1610612749.0,MIL,pullup,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,27.11,Missed,,,,,,,,,,,,,,,,,,
38,PT08M39.00S,2024-01-02T01:16:19.9Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,7,4,2024-01-02T01:16:21Z,380000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:2),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,,,,37.0,2.0,2.0,0.0,,,,,,,,,,,,,
39,PT08M23.00S,2024-01-02T01:16:36.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630188,91.5407358738502,40.19607843137255,1610612754,7,4,2024-01-02T01:18:43Z,390000,False,-49.0,27.0,1,right,MISS J. Smith driving bank Hook - blocked,"[1630188, 201572]",1610612754.0,IND,driving bank,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,5.59,Missed,,,,,,,,,,,,,,,Lopez,201572.0,,
40,PT08M23.00S,2024-01-02T01:16:36.3Z,1,REGULAR,block,,[],201572,,,1610612754,7,4,2024-01-02T01:16:40Z,400000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT08M18.00S,2024-01-02T01:16:41.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,7,4,2024-01-02T01:16:44Z,410000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:4),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,39.0,4.0,4.0,0.0,,,,,,,,,,,,,
42,PT08M16.00S,2024-01-02T01:16:44.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203507,7.046649145860711,50.73529411764706,1610612749,9,4,2024-01-02T01:22:04Z,420000,False,-4.0,14.0,1,left,G. Antetokounmpo running Layup (2 PTS),[203507],1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.42,Made,2.0,,,,,,,,,,,,,,,,,
43,PT08M06.00S,2024-01-02T01:16:56.0Z,1,REGULAR,turnover,backcourt,[],1629614,,,1610612754,9,4,2024-01-02T01:17:09Z,430000,False,,,0,,A. Nembhard backcourt TURNOVER (1 TO),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,,,,,,,,,,,2005.0,,,,,1.0,,,,
44,PT07M50.00S,2024-01-02T01:17:26.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627736,31.225361366622867,28.676470588235293,1610612749,12,4,2024-01-02T01:17:33Z,440000,False,107.0,241.0,1,left,M. Beasley 26' 3PT  (3 PTS) (G. Antetokounmpo 3 AST),"[1627736, 203507]",1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,26.35,Made,3.0,,,,,G. Antetokounmpo,203507.0,3.0,,,,,,,,,,
46,PT07M34.00S,2024-01-02T01:17:42.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,84.70762155059133,49.50980392156863,1610612754,12,4,2024-01-02T01:17:50Z,460000,False,-2.0,91.0,1,right,MISS A. Nembhard 9' floating Shot,[1629614],1610612754.0,IND,floating,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,9.12,Missed,,,,,,,,,,,,,,,,,,
47,PT07M31.00S,2024-01-02T01:17:45.4Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,12,4,2024-01-02T01:17:50Z,470000,False,,,0,,D. Lillard REBOUND (Off:0 Def:2),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),8-16 Center,,,,46.0,2.0,2.0,0.0,,,,,,,,,,,,,
48,PT07M26.00S,2024-01-02T01:17:51.0Z,1,REGULAR,3pt,Jump Shot,[],201572,29.25427069645204,72.79411764705883,1610612749,12,4,2024-01-02T01:18:01Z,480000,False,-114.0,222.0,1,left,MISS B. Lopez 25' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,25.0,Missed,,,,,,,,,,,,,,,,,,
49,PT07M22.00S,2024-01-02T01:17:54.2Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,12,4,2024-01-02T01:17:54Z,490000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:2),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,,
50,PT07M19.00S,2024-01-02T01:17:57.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630174,70.51576872536137,72.54901960784314,1610612754,12,4,2024-01-02T01:18:05Z,500000,False,113.0,225.0,1,right,MISS A. Nesmith 25' running pullup 3PT,[1630174],1610612754.0,IND,running pullup,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,25.14,Missed,,,,,,,,,,,,,,,,,,
51,PT07M19.00S,2024-01-02T01:17:57.0Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612749,12,4,2024-01-02T01:18:05Z,510000,False,,,0,,M. Beasley REBOUND (Off:0 Def:1),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,
52,PT06M58.00S,2024-01-02T01:18:20.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,7.30946123521682,48.77450980392157,1610612749,14,4,2024-01-02T01:18:27Z,520000,False,6.0,16.0,1,left,G. Antetokounmpo cutting finger roll Layup (4 PTS) (D. Lillard 1 AST),"[203507, 203081]",1610612749.0,MIL,cutting finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.73,Made,4.0,,,,,D. Lillard,203081.0,1.0,,,,,,,,,,
54,PT06M58.00S,2024-01-02T01:18:26.0Z,1,REGULAR,foul,personal,['1freethrow'],1630174,,,1610612749,14,4,2024-01-02T01:18:38Z,540000,False,,,0,,A. Nesmith shooting personal FOUL (1 PF) (Antetokounmpo 1 FT),"[1630174, 203507]",1610612754.0,IND,shooting,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2005.0,1.0,0.0,Antetokounmpo,203507.0,,,,,
56,PT06M58.00S,2024-01-02T01:18:42.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,14,4,2024-01-02T01:18:43Z,560000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M58.00S,2024-01-02T01:21:53.2Z,1,REGULAR,freethrow,1 of 1,[],203507,,,1610612749,15,4,2024-01-02T01:21:53Z,570000,False,,,0,,G. Antetokounmpo Free Throw 1 of 1 (5 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
60,PT06M41.00S,2024-01-02T01:22:12.1Z,1,REGULAR,turnover,bad pass,[],1629614,,,1610612754,15,4,2024-01-02T01:22:18Z,580000,False,,,0,,A. Nembhard bad pass TURNOVER (2 TO),"[1629614, 203507]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,2.0,,,Antetokounmpo,203507.0
61,PT06M41.00S,2024-01-02T01:22:12.1Z,1,REGULAR,steal,,[],203507,,,1610612749,15,4,2024-01-02T01:22:15Z,590000,False,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
62,PT06M36.00S,2024-01-02T01:22:16.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203507,7.835085413929041,52.20588235294118,1610612749,17,4,2024-01-02T01:22:24Z,600000,False,-11.0,21.0,1,left,G. Antetokounmpo running DUNK (7 PTS),[203507],1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.38,Made,7.0,,,,,,,,,,,,,,,,,
63,PT06M17.00S,2024-01-02T01:22:39.3Z,1,REGULAR,foul,personal,['2freethrow'],203114,,,1610612754,17,4,2024-01-02T01:22:51Z,610000,False,,,0,,K. Middleton shooting personal FOUL (1 PF) (Nesmith 2 FT),"[203114, 1630174]",1610612749.0,MIL,shooting,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627962.0,1.0,0.0,Nesmith,1630174.0,,,,,
65,PT06M17.00S,2024-01-02T01:23:01.4Z,1,REGULAR,freethrow,1 of 2,[],1630174,,,1610612754,17,5,2024-01-02T01:23:29Z,630000,False,,,0,,A. Nesmith Free Throw 1 of 2 (1 PTS),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
66,PT06M17.00S,2024-01-02T01:23:03.1Z,1,REGULAR,substitution,out,[],203114,,,1610612754,17,5,2024-01-02T01:23:19Z,640000,False,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M17.00S,2024-01-02T01:23:03.1Z,1,REGULAR,substitution,out,[],203507,,,1610612754,17,5,2024-01-02T01:23:19Z,650000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M17.00S,2024-01-02T01:23:03.1Z,1,REGULAR,substitution,out,[],1629614,,,1610612754,17,5,2024-01-02T01:23:19Z,660000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M17.00S,2024-01-02T01:23:03.1Z,1,REGULAR,substitution,out,[],1630188,,,1610612754,17,5,2024-01-02T01:23:19Z,670000,False,,,0,,SUB out: J. Smith,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M17.00S,2024-01-02T01:23:03.1Z,1,REGULAR,substitution,in,[],1626171,,,1610612754,17,5,2024-01-02T01:23:19Z,680000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M17.00S,2024-01-02T01:23:03.1Z,1,REGULAR,substitution,in,[],1626192,,,1610612754,17,5,2024-01-02T01:23:19Z,690000,False,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M17.00S,2024-01-02T01:23:03.1Z,1,REGULAR,substitution,in,[],1631097,,,1610612754,17,5,2024-01-02T01:23:19Z,700000,False,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M17.00S,2024-01-02T01:23:03.1Z,1,REGULAR,substitution,in,[],1627741,,,1610612754,17,5,2024-01-02T01:23:19Z,710000,False,,,0,,SUB in: B. Hield,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M17.00S,2024-01-02T01:23:01.4Z,1,REGULAR,freethrow,2 of 2,[],1630174,,,1610612754,17,5,2024-01-02T01:23:29Z,720000,False,,,0,,MISS A. Nesmith Free Throw 2 of 2,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
75,PT06M13.00S,2024-01-02T01:23:05.4Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612749,17,5,2024-01-02T01:23:29Z,730000,False,,,0,,M. Beasley REBOUND (Off:0 Def:2),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,,,,,,74.0,2.0,2.0,0.0,,,,,,,,,,,,,
76,PT06M00.00S,2024-01-02T01:23:41.6Z,1,REGULAR,2pt,Hook,[],1626171,10.33180026281209,31.372549019607842,1610612749,17,5,2024-01-02T01:23:47Z,740000,False,93.0,45.0,1,left,MISS B. Portis 10' turnaround Hook,[1626171],1610612749.0,MIL,turnaround,,,Portis,B. Portis,,,,,Mid-Range,8-16 Right,10.32,Missed,,,,,,,,,,,,,,,,,,
77,PT05M57.00S,2024-01-02T01:23:44.6Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,17,5,2024-01-02T01:23:47Z,750000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,8-16 Right,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,
78,PT05M50.00S,2024-01-02T01:23:51.7Z,1,REGULAR,3pt,Jump Shot,[],1626167,71.69842312746385,78.18627450980392,1610612754,17,5,2024-01-02T01:24:00Z,760000,False,141.0,214.0,1,right,MISS M. Turner 25' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,25.58,Missed,,,,,,,,,,,,,,,,,,
79,PT05M47.00S,2024-01-02T01:23:54.7Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,17,5,2024-01-02T01:24:00Z,770000,False,,,0,,D. Lillard REBOUND (Off:0 Def:3),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,,,,78.0,3.0,3.0,0.0,,,,,,,,,,,,,
80,PT05M44.00S,2024-01-02T01:24:00.8Z,1,REGULAR,foul,personal,[],1626167,,,1610612749,17,5,2024-01-02T01:24:26Z,780000,False,,,0,,M. Turner personal FOUL (2 PF),"[1626167, 203081]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,202007.0,2.0,0.0,Lillard,203081.0,,,,,
82,PT05M44.00S,2024-01-02T01:24:10.2Z,1,REGULAR,substitution,out,[],1630174,,,1610612749,17,5,2024-01-02T01:24:20Z,800000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M44.00S,2024-01-02T01:24:10.2Z,1,REGULAR,substitution,out,[],1626167,,,1610612749,17,5,2024-01-02T01:24:20Z,810000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
