actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
16,PT10M44.00S,2023-11-25T01:12:27.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,3,5,2023-11-25T01:13:09Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,
18,PT10M37.00S,2023-11-25T01:13:22.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203114,88.5676741130092,62.52297794117647,1610612749,5,5,2023-11-25T01:13:44Z,180000,False,63.0,55.0,1,right,K. Middleton 8' fadeaway Jump Shot (2 PTS) (D. Lillard 1 AST),"[203114, 203081]",1610612749.0,MIL,fadeaway,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Right,8.33,Made,2.0,,,,,,,,,,D. Lillard,203081.0,1.0,,,,,
20,PT10M26.00S,2023-11-25T01:13:34.2Z,1,REGULAR,2pt,Jump Shot,[],1629673,20.45006570302234,47.794117647058826,1610612764,5,5,2023-11-25T01:13:38Z,200000,False,11.0,140.0,1,left,MISS J. Poole 14' driving floating Shot,[1629673],1610612764.0,WAS,driving floating,,,Poole,J. Poole,,,,,Mid-Range,8-16 Center,14.01,Missed,,,,,,,,,,,,,,,,,,
21,PT10M23.00S,2023-11-25T01:13:37.2Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612749,5,5,2023-11-25T01:13:38Z,210000,False,,,0,,M. Beasley REBOUND (Off:0 Def:1),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Mid-Range,8-16 Center,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
22,PT10M15.00S,2023-11-25T01:13:47.7Z,1,REGULAR,turnover,out-of-bounds,[],201572,,,1610612749,5,5,2023-11-25T01:13:55Z,220000,False,,,0,,B. Lopez lost ball out-of-bounds TURNOVER (1 TO),[201572],1610612749.0,MIL,lost ball,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1627961.0,,,,,,,,1.0,,,,
23,PT10M06.00S,2023-11-25T01:14:05.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626145,35.29894875164258,42.15686274509804,1610612764,5,5,2023-11-25T01:14:10Z,230000,False,39.0,279.0,1,left,MISS T. Jones 28' 3PT,[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,28.2,Missed,,,,,,,,,,,,,,,,,,
24,PT10M03.00S,2023-11-25T01:14:08.4Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,5,5,2023-11-25T01:14:10Z,240000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,,,,23.0,2.0,1.0,1.0,,,,,,,,,,,,,
25,PT09M57.00S,2023-11-25T01:14:15.0Z,1,REGULAR,3pt,Jump Shot,[],203114,67.36202365308804,71.81372549019608,1610612749,5,5,2023-11-25T01:14:38Z,250000,False,109.0,254.0,1,right,MISS K. Middleton 27' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Right Center,27.67,Missed,,,,,,,,,,,,,,,,,,
26,PT09M54.00S,2023-11-25T01:14:18.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,5,5,2023-11-25T01:14:38Z,260000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Right Center,,,,25.0,,,,,,,,,,,,,,,,
28,PT09M46.00S,2023-11-25T01:14:38.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,6.915243101182654,48.03921568627451,1610612764,5,7,2023-11-25T01:14:47Z,280000,False,10.0,13.0,1,left,J. Poole driving finger roll Layup (2 PTS) (D. Gafford 1 AST),"[1629673, 1629655]",1610612764.0,WAS,driving finger roll,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,1.59,Made,2.0,,,,,,,,,,D. Gafford,1629655.0,1.0,,,,,
30,PT09M46.00S,2023-11-25T01:14:41.7Z,1,REGULAR,foul,personal,['1freethrow'],201572,,,1610612764,5,7,2023-11-25T01:14:55Z,300000,False,,,0,,B. Lopez shooting personal FOUL (1 PF) (Poole 1 FT),"[201572, 1629673]",1610612749.0,MIL,shooting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,200833.0,1.0,0.0,Poole,1629673.0,,,,,,,,
32,PT09M46.00S,2023-11-25T01:15:02.4Z,1,REGULAR,freethrow,1 of 1,[],1629673,,,1610612764,5,8,2023-11-25T01:15:02Z,320000,False,,,0,,J. Poole Free Throw 1 of 1 (3 PTS),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
33,PT09M34.00S,2023-11-25T01:15:14.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203114,91.14651773981603,50.98039215686274,1610612749,7,8,2023-11-25T01:15:19Z,330000,False,5.0,31.0,1,right,K. Middleton driving finger roll Layup (4 PTS) (D. Lillard 2 AST),"[203114, 203081]",1610612749.0,MIL,driving finger roll,,,Middleton,K. Middleton,,,,,Restricted Area,0-8 Center,3.11,Made,4.0,,,,,,,,,,D. Lillard,203081.0,2.0,,,,,
35,PT09M11.00S,2023-11-25T01:15:37.8Z,1,REGULAR,3pt,Jump Shot,[],1629673,7.835085413929041,5.392156862745098,1610612764,7,8,2023-11-25T01:15:42Z,350000,False,223.0,21.0,1,left,MISS J. Poole 3PT,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Right Corner 3,24+ Right,22.4,Missed,,,,,,,,,,,,,,,,,,
36,PT09M07.00S,2023-11-25T01:15:41.5Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,7,8,2023-11-25T01:15:41Z,360000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Right Corner 3,24+ Right,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,
37,PT08M59.00S,2023-11-25T01:15:48.8Z,1,REGULAR,3pt,Jump Shot,[],1627736,78.53153745072274,5.637254901960785,1610612749,10,8,2023-11-25T01:15:54Z,370000,False,-222.0,149.0,1,right,M. Beasley 26' 3PT  (3 PTS) (D. Lillard 3 AST),"[1627736, 203081]",1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,26.74,Made,3.0,,,,,,,,,,D. Lillard,203081.0,3.0,,,,,
39,PT08M44.00S,2023-11-25T01:16:04.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,15.062417871222076,62.745098039215684,1610612764,10,10,2023-11-25T01:16:10Z,390000,False,-64.0,89.0,1,left,K. Kuzma 10' pullup Jump Shot (5 PTS),[1628398],1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Left,10.95,Made,5.0,,,,,,,,,,,,,,,,,
40,PT08M28.00S,2023-11-25T01:16:24.2Z,1,REGULAR,turnover,lost ball,[],203114,,,1610612749,10,10,2023-11-25T01:16:37Z,400000,False,,,0,,K. Middleton lost ball TURNOVER (1 TO),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,1.0,,,,
41,PT08M28.00S,2023-11-25T01:16:31.2Z,1,REGULAR,foul,personal,[],203114,,,1610612764,10,10,2023-11-25T01:16:40Z,410000,False,,,0,,K. Middleton loose ball personal FOUL (1 PF),"[203114, 1629673]",1610612749.0,MIL,loose ball,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,2882.0,1.0,0.0,Poole,1629673.0,,,,,,,,
43,PT08M19.00S,2023-11-25T01:16:52.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629673,8.754927726675426,42.15686274509804,1610612764,10,10,2023-11-25T01:16:59Z,430000,False,39.0,30.0,1,left,MISS J. Poole driving finger roll Layup,[1629673],1610612764.0,WAS,driving finger roll,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,4.92,Missed,,,,,,,,,,,,,,,,,,
44,PT08M17.00S,2023-11-25T01:16:54.6Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,10,10,2023-11-25T01:16:54Z,440000,False,,,0,,D. Gafford REBOUND (Off:1 Def:0),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,,43.0,1.0,0.0,1.0,,,,,,,,,,,,,
45,PT08M14.00S,2023-11-25T01:16:56.8Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1630166,27.802644546649148,66.68964460784314,1610612764,10,10,2023-11-25T01:19:47Z,450000,False,-83.0,209.0,1,left,MISS D. Avdija 22' Jump Shot,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Mid-Range,16-24 Left Center,22.48,Missed,,,,,,,,,,,,,,,,,,
46,PT08M12.00S,2023-11-25T01:16:58.8Z,1,REGULAR,rebound,offensive,[],1629673,,,1610612764,10,10,2023-11-25T01:16:58Z,460000,False,,,0,,J. Poole REBOUND (Off:1 Def:0),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,,,,45.0,1.0,0.0,1.0,,,,,,,,,,,,,
47,PT08M04.00S,2023-11-25T01:17:06.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629655,12.434296977660972,50.73529411764706,1610612764,10,10,2023-11-25T01:17:13Z,470000,False,-4.0,64.0,1,left,MISS D. Gafford 6' floating Shot,[1629655],1610612764.0,WAS,floating,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,6.45,Missed,,,,,,,,,,,,,,,,,,
48,PT08M01.00S,2023-11-25T01:17:09.4Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,10,10,2023-11-25T01:17:13Z,480000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,47.0,3.0,2.0,1.0,,,,,,,,,,,,,
49,PT07M48.00S,2023-11-25T01:17:22.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,92.59198423127464,51.470588235294116,1610612749,12,10,2023-11-25T01:17:27Z,490000,False,7.0,17.0,1,right,G. Antetokounmpo driving finger roll Layup (3 PTS) (D. Lillard 4 AST),"[203507, 203081]",1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.86,Made,3.0,,,,,,,,,,D. Lillard,203081.0,4.0,,,,,
51,PT07M35.00S,2023-11-25T01:17:36.2Z,1,REGULAR,3pt,Jump Shot,[],1628398,27.94021024967148,78.43137254901961,1610612764,12,13,2023-11-25T01:17:42Z,510000,False,-142.0,210.0,1,left,K. Kuzma 25' 3PT  (8 PTS) (J. Poole 1 AST),"[1628398, 1629673]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,25.37,Made,8.0,,,,,,,,,,J. Poole,1629673.0,1.0,,,,,
53,PT07M19.00S,2023-11-25T01:17:51.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203507,85.10183968462549,45.83333333333333,1610612749,12,13,2023-11-25T01:17:56Z,530000,False,-21.0,88.0,1,right,MISS G. Antetokounmpo 8' turnaround Hook,[203507],1610612749.0,MIL,turnaround,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,8.99,Missed,,,,,,,,,,,,,,,,,,
54,PT07M16.00S,2023-11-25T01:17:54.8Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,12,13,2023-11-25T01:17:56Z,540000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Center,,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,
55,PT07M08.00S,2023-11-25T01:18:02.9Z,1,REGULAR,3pt,Jump Shot,[],1629673,25.443495400788436,15.196078431372548,1610612764,12,16,2023-11-25T01:18:07Z,550000,False,174.0,187.0,1,left,J. Poole 25' 3PT  (6 PTS) (D. Avdija 1 AST),"[1629673, 1630166]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,25.52,Made,6.0,,,,,,,,,,D. Avdija,1630166.0,1.0,,,,,
57,PT07M06.00S,2023-11-25T01:18:15.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,12,16,2023-11-25T01:18:15Z,570000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M06.00S,2023-11-25T01:20:16.7Z,1,REGULAR,substitution,out,[],203507,,,1610612749,12,16,2023-11-25T01:20:52Z,580000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M06.00S,2023-11-25T01:20:16.7Z,1,REGULAR,substitution,out,[],203114,,,1610612749,12,16,2023-11-25T01:20:52Z,590000,False,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M06.00S,2023-11-25T01:20:16.7Z,1,REGULAR,substitution,in,[],1626171,,,1610612749,12,16,2023-11-25T01:20:52Z,600000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M06.00S,2023-11-25T01:20:16.7Z,1,REGULAR,substitution,in,[],1626192,,,1610612749,12,16,2023-11-25T01:20:52Z,610000,False,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M51.00S,2023-11-25T01:21:22.9Z,1,REGULAR,2pt,Jump Shot,[],203081,77.21747700394218,67.15686274509804,1610612749,12,16,2023-11-25T02:10:47Z,620000,False,86.0,162.0,1,right,MISS D. Lillard 18' step back Shot,[203081],1610612749.0,MIL,step back,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Right Center,18.31,Missed,,,,,,,,,,,,,,,,,,
63,PT06M47.00S,2023-11-25T01:21:26.9Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,12,16,2023-11-25T02:10:47Z,630000,False,,,0,,B. Portis REBOUND (Off:1 Def:0),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,16-24 Right Center,,,,62.0,1.0,0.0,1.0,,,,,,,,,,,,,
65,PT06M39.00S,2023-11-25T01:21:47.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627736,84.05059132720105,3.6764705882352944,1610612749,12,16,2023-11-25T01:21:52Z,650000,False,-232.0,97.0,1,right,MISS M. Beasley 25' 3PT,[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,25.12,Missed,,,,,,,,,,,,,,,,,,
66,PT06M36.00S,2023-11-25T01:21:50.7Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,12,16,2023-11-25T01:21:52Z,660000,False,,,0,,D. Gafford REBOUND (Off:1 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Left Center,,,,65.0,2.0,1.0,1.0,,,,,,,,,,,,,
67,PT06M26.00S,2023-11-25T01:22:00.2Z,1,REGULAR,3pt,Jump Shot,[],1629673,30.042706964520367,74.01960784313727,1610612764,12,16,2023-11-25T01:22:06Z,670000,False,-120.0,230.0,1,left,MISS J. Poole 25' 3PT,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,25.94,Missed,,,,,,,,,,,,,,,,,,
68,PT06M23.00S,2023-11-25T01:22:03.2Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,12,16,2023-11-25T01:22:06Z,680000,False,,,0,,P. Connaughton REBOUND (Off:0 Def:1),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Above the Break 3,24+ Left Center,,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,,
69,PT06M18.00S,2023-11-25T01:22:12.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203081,90.62089356110381,35.294117647058826,1610612749,14,16,2023-11-25T01:22:56Z,690000,False,-74.0,36.0,1,right,D. Lillard 8' driving floating bank Jump Shot (4 PTS),[203081],1610612749.0,MIL,driving floating bank,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),8-16 Left,8.17,Made,4.0,,,,,,,,,,,,,,,,,
70,PT06M18.00S,2023-11-25T01:22:16.3Z,1,REGULAR,foul,personal,['1freethrow'],1630166,,,1610612749,14,16,2023-11-25T01:22:55Z,700000,False,,,0,,D. Avdija shooting personal FOUL (1 PF) (Lillard 1 FT),"[1630166, 203081]",1610612764.0,WAS,shooting,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1627961.0,1.0,0.0,Lillard,203081.0,,,,,,,,
72,PT06M18.00S,2023-11-25T01:22:38.7Z,1,REGULAR,substitution,out,[],1627736,,,1610612749,14,16,2023-11-25T01:22:52Z,720000,False,,,0,,SUB out: M. Beasley,[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M18.00S,2023-11-25T01:22:38.7Z,1,REGULAR,substitution,out,[],1630166,,,1610612749,14,16,2023-11-25T01:22:52Z,730000,False,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M18.00S,2023-11-25T01:22:38.7Z,1,REGULAR,substitution,in,[],1630699,,,1610612749,14,16,2023-11-25T01:22:52Z,740000,False,,,0,,SUB in: M. Beauchamp,[1630699],1610612749.0,MIL,,,,Beauchamp,M. Beauchamp,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M18.00S,2023-11-25T01:22:38.7Z,1,REGULAR,substitution,in,[],1631098,,,1610612749,14,16,2023-11-25T01:22:52Z,750000,False,,,0,,SUB in: J. Davis,[1631098],1610612764.0,WAS,,,,Davis,J. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M18.00S,2023-11-25T01:22:59.7Z,1,REGULAR,freethrow,1 of 1,[],203081,,,1610612749,15,16,2023-11-25T01:22:59Z,760000,False,,,0,,D. Lillard Free Throw 1 of 1 (5 PTS),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
77,PT06M05.00S,2023-11-25T01:23:01.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631098,8.623521681997373,52.20588235294118,1610612764,15,16,2023-11-25T01:23:07Z,770000,False,-11.0,29.0,1,left,MISS J. Davis driving Layup - blocked,"[1631098, 201572]",1610612764.0,WAS,driving,,,Davis,J. Davis,,,,,Restricted Area,0-8 Center,3.06,Missed,,,,,,,,,,,,,,,Lopez,201572.0,,
78,PT06M05.00S,2023-11-25T01:23:01.6Z,1,REGULAR,block,,[],201572,,,1610612764,15,16,2023-11-25T01:23:04Z,780000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
79,PT06M02.00S,2023-11-25T01:23:04.6Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,15,16,2023-11-25T01:23:07Z,790000,False,,,0,,P. Connaughton REBOUND (Off:0 Def:2),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Restricted Area,0-8 Center,,,,77.0,2.0,2.0,0.0,,,,,,,,,,,,,
80,PT05M55.00S,2023-11-25T01:23:11.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201572,91.01511169513797,51.225490196078425,1610612749,17,16,2023-11-25T01:23:15Z,800000,False,6.0,32.0,1,right,B. Lopez cutting DUNK (2 PTS) (B. Portis 1 AST),"[201572, 1626171]",1610612749.0,MIL,cutting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,3.26,Made,2.0,,,,,,,,,,B. Portis,1626171.0,1.0,,,,,
82,PT05M37.00S,2023-11-25T01:23:32.9Z,1,REGULAR,foul,personal,['2freethrow'],1626192,,,1610612764,17,16,2023-11-25T01:23:42Z,820000,False,,,0,,P. Connaughton shooting personal FOUL (1 PF) (Gafford 2 FT),"[1626192, 1629655]",1610612749.0,MIL,shooting,,,Connaughton,P. Connaughton,,,,,Restricted Area,0-8 Center,,,,,,,,200833.0,1.0,0.0,Gafford,1629655.0,,,,,,,,
84,PT05M37.00S,2023-11-25T01:23:59.9Z,1,REGULAR,freethrow,1 of 2,[],1629655,,,1610612764,17,17,2023-11-25T01:24:22Z,840000,False,,,0,,D. Gafford Free Throw 1 of 2 (1 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
85,PT05M37.00S,2023-11-25T01:24:03.6Z,1,REGULAR,substitution,out,[],1629673,,,1610612764,17,17,2023-11-25T01:24:08Z,850000,False,,,0,,SUB out: J. Poole,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M37.00S,2023-11-25T01:24:03.6Z,1,REGULAR,substitution,in,[],1630557,,,1610612764,17,17,2023-11-25T01:24:08Z,860000,False,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
