actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,shotActionNumber,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId
43,PT09M08.00S,2024-01-27T01:17:43.0Z,1,REGULAR,foul,personal,['2freethrow'],203114,,,1610612739,6,0,2024-01-27T01:18:07Z,420000,False,,,0,,K. Middleton shooting personal FOUL (1 PF) (Strus 2 FT),"[203114, 1629622]",1610612749.0,MIL,shooting,,,Middleton,K. Middleton,,,,,Restricted Area,0-8 Center,2003.0,1.0,0.0,,,,,,,,,,,,,,,,Strus,1629622.0
45,PT09M08.00S,2024-01-27T01:18:13.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629622,,,1610612739,6,1,2024-01-27T01:18:13Z,440000,False,,,0,,M. Strus Free Throw 1 of 2 (1 PTS),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,,,,,,Made,,,,,,,,,,,1.0,,,,,
46,PT09M08.00S,2024-01-27T01:18:27.8Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1629622,,,1610612739,6,2,2024-01-27T01:18:27Z,450000,False,,,0,,M. Strus Free Throw 2 of 2 (2 PTS),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,,,,,,Made,,,,,,,,,,,2.0,,,,,
47,PT08M56.00S,2024-01-27T01:18:39.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,8.886333771353483,51.225490196078425,1610612749,8,2,2024-01-27T01:18:44Z,460000,False,-6.0,31.0,1,left,D. Lillard driving reverse Layup (2 PTS),[203081],1610612749.0,MIL,driving reverse,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,,,,Made,,3.16,,,,,,,,,2.0,,,,,
48,PT08M45.00S,2024-01-27T01:18:52.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,88.91261498028909,58.57843137254902,1610612739,8,2,2024-01-27T01:18:57Z,470000,False,43.0,52.0,1,right,MISS J. Allen 6' Hook,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,Missed,,6.72,,,,,,,,,,,,,,
49,PT08M42.00S,2024-01-27T01:18:55.3Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,8,2,2024-01-27T01:18:57Z,480000,False,,,0,,B. Lopez REBOUND (Off:0 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,48.0,,2.0,2.0,0.0,,,,,,,,,,,
50,PT08M32.00S,2024-01-27T01:19:04.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,9.280551905387648,52.450980392156865,1610612749,8,2,2024-01-27T01:19:12Z,490000,False,-12.0,35.0,1,left,MISS B. Lopez driving Layup,[201572],1610612749.0,MIL,driving,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,Missed,,3.68,,,,,,,,,,,,,,
51,PT08M29.00S,2024-01-27T01:19:07.7Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,8,2,2024-01-27T01:19:12Z,500000,False,,,0,,D. Wade REBOUND (Off:0 Def:2),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Restricted Area,0-8 Center,,,,,50.0,,2.0,2.0,0.0,,,,,,,,,,,
52,PT08M25.00S,2024-01-27T01:19:11.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628378,93.38042049934296,51.225490196078425,1610612739,8,4,2024-01-27T01:19:35Z,510000,False,6.0,10.0,1,right,D. Mitchell running Layup (2 PTS),[1628378],1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,Made,,1.15,,,,,,,,,2.0,,,,,
53,PT08M15.00S,2024-01-27T01:19:21.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,7.703679369250986,49.50980392156863,1610612749,10,4,2024-01-27T01:19:28Z,520000,False,2.0,20.0,1,left,G. Antetokounmpo alley-oop DUNK (3 PTS) (K. Middleton 1 AST),"[203507, 203114]",1610612749.0,MIL,alley-oop,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,Made,,2.01,,,,,,,,,3.0,K. Middleton,203114.0,1.0,,
55,PT08M00.00S,2024-01-27T01:19:38.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,92.32917214191852,59.068627450980394,1610612739,10,4,2024-01-27T01:20:13Z,540000,False,45.0,20.0,1,right,MISS I. Okoro driving Layup - blocked,"[1630171, 201572]",1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,In The Paint (Non-RA),0-8 Center,,,,Missed,,4.94,,,,,,,Lopez,201572.0,,,,,,
67,PT08M00.00S,2024-01-27T01:19:38.9Z,1,REGULAR,block,,[],201572,,,1610612739,10,4,2024-01-27T01:23:34Z,545000,False,,,0,,B. Lopez BLOCK (2 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
56,PT07M59.00S,2024-01-27T01:19:39.9Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,10,4,2024-01-27T01:20:13Z,550000,False,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,55.0,,1.0,0.0,1.0,,,,,,,,,,,
57,PT07M59.00S,2024-01-27T01:19:44.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628386,94.40999984741211,50.0,1610612739,10,6,2024-01-27T01:20:20Z,560000,False,0.0,0.0,1,right,J. Allen tip Layup (2 PTS),[1628386],1610612739.0,CLE,tip,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,Made,,0.0,,,,,,,,,2.0,,,,,
58,PT07M42.00S,2024-01-27T01:19:53.9Z,1,REGULAR,3pt,Jump Shot,[],203081,32.802233902759525,34.55882352941176,1610612749,10,6,2024-01-27T01:20:01Z,570000,False,77.0,256.0,1,left,MISS D. Lillard 26' step back 3PT,[203081],1610612749.0,MIL,step back,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,,,,Missed,,26.72,,,,,,,,,,,,,,
59,PT07M39.00S,2024-01-27T01:19:57.8Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,10,6,2024-01-27T01:19:57Z,580000,False,,,0,,B. Lopez REBOUND (Off:1 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Center,,,,,58.0,,3.0,2.0,1.0,,,,,,,,,,,
60,PT07M35.00S,2024-01-27T01:20:05.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201572,7.835085413929041,51.225490196078425,1610612749,10,6,2024-01-27T01:21:10Z,590000,False,-6.0,21.0,1,left,MISS B. Lopez driving Layup,[201572],1610612749.0,MIL,driving,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,Missed,,2.2,,,,,,,,,,,,,,
61,PT07M33.00S,2024-01-27T01:20:07.3Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,10,6,2024-01-27T01:21:10Z,600000,False,,,0,,D. Wade REBOUND (Off:0 Def:3),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Restricted Area,0-8 Center,,,,,60.0,,3.0,3.0,0.0,,,,,,,,,,,
62,PT07M26.00S,2024-01-27T01:20:10.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628378,68.67608409986859,61.029411764705884,1610612739,10,9,2024-01-27T01:20:18Z,610000,False,55.0,242.0,1,right,D. Mitchell 24' 3PT running pullup (5 PTS),[1628378],1610612739.0,CLE,running pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,,Made,,24.81,,,,,,,,,5.0,,,,,
63,PT07M02.00S,2024-01-27T01:20:34.1Z,1,REGULAR,3pt,Jump Shot,[],203114,31.488173455978973,73.2843137254902,1610612749,10,9,2024-01-27T01:20:38Z,620000,False,-116.0,243.0,1,left,MISS K. Middleton 26' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,,,,Missed,,26.99,,,,,,,,,,,,,,
64,PT06M59.00S,2024-01-27T01:20:37.1Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,10,9,2024-01-27T01:20:38Z,630000,False,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Left Center,,,,,63.0,,2.0,1.0,1.0,,,,,,,,,,,
65,PT06M56.00S,2024-01-27T01:20:40.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628378,64.47109067017082,45.83333333333333,1610612739,10,12,2024-01-27T01:20:47Z,640000,False,-21.0,281.0,1,right,D. Mitchell 28' 3PT running pullup (8 PTS),[1628378],1610612739.0,CLE,running pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,,Made,,28.23,,,,,,,,,8.0,,,,,
66,PT06M55.00S,2024-01-27T01:20:47.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,10,12,2024-01-27T01:20:47Z,650000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M55.00S,2024-01-27T01:23:24.9Z,1,REGULAR,substitution,out,[],203507,,,1610612749,10,12,2024-01-27T01:23:48Z,660000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M55.00S,2024-01-27T01:23:24.9Z,1,REGULAR,substitution,in,[],1626171,,,1610612749,10,12,2024-01-27T01:23:48Z,670000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M42.00S,2024-01-27T01:23:57.5Z,1,REGULAR,2pt,Jump Shot,[],203081,5.732588699080158,77.20588235294117,1610612749,10,12,2024-01-27T01:24:40Z,680000,False,-136.0,1.0,1,left,MISS D. Lillard 13' step back Shot,[203081],1610612749.0,MIL,step back,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Left,,,,Missed,,13.6,,,,,,,,,,,,,,
71,PT06M39.00S,2024-01-27T01:24:00.5Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612739,10,12,2024-01-27T01:24:00Z,690000,False,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Mid-Range,8-16 Left,,,,,70.0,,1.0,1.0,0.0,,,,,,,,,,,
72,PT06M29.00S,2024-01-27T01:24:10.7Z,1,REGULAR,3pt,Jump Shot,[],1629622,78.40013140604468,6.372549019607843,1610612739,10,15,2024-01-27T01:24:16Z,700000,False,-218.0,151.0,1,right,M. Strus 26' 3PT  (5 PTS) (D. Mitchell 1 AST),"[1629622, 1628378]",1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Left Center,,,,Made,,26.5,,,,,,,,,5.0,D. Mitchell,1628378.0,1.0,,
74,PT06M13.00S,2024-01-27T01:24:32.2Z,1,REGULAR,foul,personal,[],1628378,,,1610612749,10,15,2024-01-27T01:24:42Z,720000,False,,,0,,D. Mitchell personal FOUL (1 PF),"[1628378, 1627736]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Center,2003.0,1.0,0.0,,,,,,,,,,,,,,,,Beasley,1627736.0
76,PT06M13.00S,2024-01-27T01:24:46.0Z,1,REGULAR,substitution,out,[],1628386,,,1610612749,10,15,2024-01-27T01:24:53Z,740000,False,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M13.00S,2024-01-27T01:24:46.0Z,1,REGULAR,substitution,in,[],1627745,,,1610612749,10,15,2024-01-27T01:24:53Z,750000,False,,,0,,SUB in: D. Jones,[1627745],1610612739.0,CLE,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M03.00S,2024-01-27T01:25:09.2Z,1,REGULAR,turnover,bad pass,[],1627736,,,1610612749,10,15,2024-01-27T01:25:14Z,760000,False,,,0,,M. Beasley bad pass TURNOVER (1 TO),"[1627736, 1629622]",1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,1.0,Strus,1629622.0,,,,,,,,
79,PT06M03.00S,2024-01-27T01:25:09.2Z,1,REGULAR,steal,,[],1629622,,,1610612739,10,15,2024-01-27T01:25:12Z,770000,False,,,0,,M. Strus STEAL (2 STL),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
80,PT05M46.00S,2024-01-27T01:25:27.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630171,86.41590013140605,64.95098039215686,1610612739,10,15,2024-01-27T01:26:34Z,780000,False,75.0,75.0,1,right,MISS I. Okoro 10' driving floating Shot,[1630171],1610612739.0,CLE,driving floating,,,Okoro,I. Okoro,,,,,In The Paint (Non-RA),8-16 Right,,,,Missed,,10.61,,,,,,,,,,,,,,
81,PT05M45.00S,2024-01-27T01:25:28.3Z,1,REGULAR,rebound,offensive,[],1627745,,,1610612739,10,15,2024-01-27T01:26:34Z,790000,False,,,0,,D. Jones REBOUND (Off:1 Def:0),[1627745],1610612739.0,CLE,,,,Jones,D. Jones,,,,,In The Paint (Non-RA),8-16 Right,,,,,80.0,,1.0,0.0,1.0,,,,,,,,,,,
