actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
16,PT10M52.00S,2023-12-18T00:12:11.3Z,1,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,0,1,2023-12-18T00:12:11Z,160000,False,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
17,PT10M52.00S,2023-12-18T00:12:22.1Z,1,REGULAR,freethrow,2 of 2,[],1630224,,,1610612745,0,2,2023-12-18T00:12:22Z,170000,False,,,0,,J. Green Free Throw 2 of 2 (2 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
18,PT10M32.00S,2023-12-18T00:12:46.7Z,1,REGULAR,foul,personal,[],1631095,,,1610612749,0,2,2023-12-18T00:12:56Z,180000,False,,,0,,J. Smith Jr. personal FOUL (1 PF),"[1631095, 203081]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,201245.0,,1.0,0.0,Lillard,203081.0,,,,,,,,
20,PT10M19.00S,2023-12-18T00:13:12.8Z,1,REGULAR,3pt,Jump Shot,[],1641748,11.645860709592641,4.166666666666666,1610612749,0,2,2023-12-18T00:13:18Z,200000,False,229.0,57.0,1,left,MISS A. Jackson Jr. 3PT,[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Right Corner 3,24+ Right,23.62,Missed,,,,,,,,,,,,,,,,,,
21,PT10M15.00S,2023-12-18T00:13:16.8Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,2,2023-12-18T00:13:18Z,210000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Right Corner 3,24+ Right,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M05.00S,2023-12-18T00:13:27.9Z,1,REGULAR,turnover,lost ball,[],1630224,,,1610612745,0,2,2023-12-18T00:13:36Z,220000,False,,,0,,J. Green lost ball TURNOVER (1 TO),"[1630224, 203081]",1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,,,,,,Lillard,203081.0,,,,,
23,PT10M05.00S,2023-12-18T00:13:27.9Z,1,REGULAR,steal,,[],203081,,,1610612749,0,2,2023-12-18T00:13:32Z,230000,False,,,0,,D. Lillard STEAL (1 STL),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
24,PT09M56.00S,2023-12-18T00:13:35.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203114,7.966491458607096,53.92156862745098,1610612749,2,2,2023-12-18T00:13:40Z,240000,False,-20.0,22.0,1,left,K. Middleton driving reverse Layup (2 PTS) (D. Lillard 1 AST),"[203114, 203081]",1610612749.0,MIL,driving reverse,,,Middleton,K. Middleton,,,,,Restricted Area,0-8 Center,2.98,Made,,,,,,,,,,,2.0,,,D. Lillard,203081.0,1.0,,
26,PT09M39.00S,2023-12-18T00:13:52.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,88.64980289093299,49.01960784313725,1610612745,2,4,2023-12-18T00:13:58Z,260000,False,-5.0,54.0,1,right,A. Sengun turnaround Hook (2 PTS),[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,5.44,Made,,,,,,,,,,,2.0,,,,,,,
27,PT09M25.00S,2023-12-18T00:14:09.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,7.5722733245729295,49.50980392156863,1610612749,2,4,2023-12-18T00:22:43Z,270000,False,2.0,19.0,1,left,MISS B. Lopez Layup,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,1.89,Missed,,,,,,,,,,,,,,,,,,
28,PT09M24.00S,2023-12-18T00:14:10.4Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,2,4,2023-12-18T00:22:43Z,280000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:0),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,27.0,1.0,0.0,1.0,,,,,,,,,,,,,,
67,PT09M23.00S,2023-12-18T00:14:13.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203507,6.258212877792378,48.03921568627451,1610612749,2,4,2023-12-18T00:23:19Z,295000,False,10.0,6.0,1,left,MISS G. Antetokounmpo putback Layup - blocked,"[203507, 1631095]",1610612749.0,MIL,putback,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.17,Missed,,,,,,,,,,,,,,,,,Smith Jr.,1631095.0
68,PT09M23.00S,2023-12-18T00:14:13.1Z,1,REGULAR,block,,[],1631095,,,1610612749,2,4,2023-12-18T00:23:19Z,302500,False,,,0,,J. Smith Jr. BLOCK (1 BLK),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
69,PT09M21.00S,2023-12-18T00:14:15.1Z,1,REGULAR,rebound,offensive,[],1641748,,,1610612749,2,4,2023-12-18T00:23:19Z,306250,False,,,0,,A. Jackson Jr. REBOUND (Off:1 Def:0),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,67.0,1.0,0.0,1.0,,,,,,,,,,,,,,
31,PT09M16.00S,2023-12-18T00:14:16.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203081,25.18068331143233,89.70588235294117,1610612749,5,4,2023-12-18T00:23:19Z,310000,False,-199.0,184.0,1,left,D. Lillard 27' 3PT  (3 PTS) (A. Jackson Jr. 1 AST),"[203081, 1641748]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,27.08,Made,,,,,,,,,,,3.0,,,A. Jackson Jr.,1641748.0,1.0,,
33,PT09M15.00S,2023-12-18T00:14:46.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,5,4,2023-12-18T00:14:46Z,330000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M58.00S,2023-12-18T00:17:53.7Z,1,REGULAR,2pt,Jump Shot,[],1627832,81.02825229960578,75.73529411764706,1610612745,5,6,2023-12-18T00:17:58Z,340000,False,129.0,126.0,1,right,F. VanVleet 18' pullup Jump Shot (2 PTS),[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Right Center,18.0,Made,,,,,,,,,,,2.0,,,,,,,
35,PT08M43.00S,2023-12-18T00:18:13.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,10.726018396846255,44.11764705882353,1610612749,5,6,2023-12-18T00:19:00Z,350000,False,29.0,48.0,1,left,MISS B. Lopez cutting Layup,[201572],1610612749.0,MIL,cutting,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,5.65,Missed,,,,,,,,,,,,,,,,,,
36,PT08M42.00S,2023-12-18T00:18:14.5Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,5,6,2023-12-18T00:19:00Z,360000,False,,,0,,G. Antetokounmpo REBOUND (Off:2 Def:0),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,35.0,2.0,0.0,2.0,,,,,,,,,,,,,,
37,PT08M40.00S,2023-12-18T00:18:18.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203507,5.590000152587891,50.0,1610612749,7,6,2023-12-18T00:19:51Z,370000,False,0.0,0.0,1,left,G. Antetokounmpo tip Layup (2 PTS),[203507],1610612749.0,MIL,tip,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,,2.0,,,,,,,
38,PT08M26.00S,2023-12-18T00:18:26.3Z,1,REGULAR,2pt,Jump Shot,[],1627832,78.79434954007884,57.35294117647059,1610612745,7,6,2023-12-18T00:18:31Z,380000,False,37.0,147.0,1,right,MISS F. VanVleet 15' pullup Shot,[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Mid-Range,8-16 Center,15.13,Missed,,,,,,,,,,,,,,,,,,
39,PT08M22.00S,2023-12-18T00:18:30.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,7,6,2023-12-18T00:18:31Z,390000,False,,,0,,G. Antetokounmpo REBOUND (Off:2 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Center,,,38.0,3.0,1.0,2.0,,,,,,,,,,,,,,
40,PT08M20.00S,2023-12-18T00:18:35.3Z,1,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612749,7,6,2023-12-18T00:18:47Z,400000,False,,,0,,J. Smith Jr. shooting personal FOUL (2 PF) (Antetokounmpo 2 FT),"[1631095, 203507]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1627529.0,,2.0,0.0,Antetokounmpo,203507.0,,,,,,,,
42,PT08M20.00S,2023-12-18T00:19:19.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203507,,,1610612749,8,6,2023-12-18T00:19:53Z,420000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (3 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,,,,,3.0,,,,,,,
43,PT08M20.00S,2023-12-18T00:19:23.9Z,1,REGULAR,substitution,out,[],1631095,,,1610612749,8,6,2023-12-18T00:19:28Z,430000,False,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M20.00S,2023-12-18T00:19:23.9Z,1,REGULAR,substitution,in,[],1631106,,,1610612749,8,6,2023-12-18T00:19:28Z,440000,False,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M20.00S,2023-12-18T00:19:19.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203507,,,1610612749,8,6,2023-12-18T00:19:53Z,450000,False,,,0,,MISS G. Antetokounmpo Free Throw 2 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
46,PT08M17.00S,2023-12-18T00:19:22.2Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,8,6,2023-12-18T00:19:53Z,460000,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,
47,PT08M10.00S,2023-12-18T00:19:58.1Z,1,REGULAR,3pt,Jump Shot,[],1630578,67.23061760840999,43.38235294117647,1610612745,8,6,2023-12-18T00:20:04Z,470000,False,-33.0,256.0,1,right,MISS A. Sengun 25' 3PT,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Center,25.76,Missed,,,,,,,,,,,,,,,,,,
48,PT08M06.00S,2023-12-18T00:20:02.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,8,6,2023-12-18T00:20:04Z,480000,False,,,0,,G. Antetokounmpo REBOUND (Off:2 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,,,47.0,4.0,2.0,2.0,,,,,,,,,,,,,,
49,PT07M58.00S,2023-12-18T00:20:10.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,8.229303547963205,52.450980392156865,1610612749,10,6,2023-12-18T00:20:15Z,490000,False,-12.0,25.0,1,left,B. Lopez cutting finger roll Layup (2 PTS) (D. Lillard 2 AST),"[201572, 203081]",1610612749.0,MIL,cutting finger roll,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,2.78,Made,,,,,,,,,,,2.0,,,D. Lillard,203081.0,2.0,,
51,PT07M51.00S,2023-12-18T00:20:20.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,81.2910643889619,46.568627450980394,1610612745,10,8,2023-12-18T00:20:24Z,510000,False,-17.0,123.0,1,right,A. Sengun 12' floating Jump Shot (4 PTS) (J. Green 1 AST),"[1630578, 1630224]",1610612745.0,HOU,floating,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,12.46,Made,,,,,,,,,,,4.0,,,J. Green,1630224.0,1.0,,
53,PT07M36.00S,2023-12-18T00:20:36.9Z,1,REGULAR,3pt,Jump Shot,[],203081,42.526281208935615,48.28431372549019,1610612749,10,8,2023-12-18T00:20:41Z,530000,False,9.0,347.0,1,left,MISS D. Lillard 34' 3PT,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,34.73,Missed,,,,,,,,,,,,,,,,,,
54,PT07M33.00S,2023-12-18T00:20:40.4Z,1,REGULAR,rebound,defensive,[],1631106,,,1610612745,10,8,2023-12-18T00:20:40Z,540000,False,,,0,,T. Eason REBOUND (Off:0 Def:1),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Above the Break 3,24+ Center,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,,
55,PT07M26.00S,2023-12-18T00:20:46.9Z,1,REGULAR,2pt,Jump Shot,[],1630224,78.40013140604468,45.83333333333333,1610612745,10,8,2023-12-18T00:20:51Z,550000,False,-21.0,151.0,1,right,MISS J. Green 15' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Mid-Range,8-16 Center,15.19,Missed,,,,,,,,,,,,,,,,,,
56,PT07M23.00S,2023-12-18T00:20:49.9Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,10,8,2023-12-18T00:20:51Z,560000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Center,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,
57,PT07M12.00S,2023-12-18T00:21:01.4Z,1,REGULAR,3pt,Jump Shot,[],201572,35.8245729303548,56.61764705882353,1610612749,10,8,2023-12-18T00:21:09Z,570000,False,-33.0,284.0,1,left,MISS B. Lopez 28' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Center,28.62,Missed,,,,,,,,,,,,,,,,,,
58,PT07M10.00S,2023-12-18T00:21:04.1Z,1,REGULAR,rebound,offensive,[],1641748,,,1610612749,10,8,2023-12-18T00:21:04Z,580000,False,,,0,,A. Jackson Jr. REBOUND (Off:2 Def:0),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Above the Break 3,24+ Center,,,57.0,2.0,0.0,2.0,,,,,,,,,,,,,,
59,PT07M06.00S,2023-12-18T00:21:07.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203114,31.35676741130092,68.87254901960785,1610612749,10,8,2023-12-18T00:21:12Z,590000,False,-94.0,242.0,1,left,MISS K. Middleton 26' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,26.0,Missed,,,,,,,,,,,,,,,,,,
60,PT07M02.00S,2023-12-18T00:21:11.7Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,10,8,2023-12-18T00:21:12Z,600000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,59.0,2.0,2.0,0.0,,,,,,,,,,,,,,
61,PT06M56.00S,2023-12-18T00:21:17.2Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628415,88.64980289093299,27.941176470588236,1610612745,10,10,2023-12-18T00:23:00Z,610000,False,-110.0,54.0,1,right,D. Brooks 12' fadeaway Jump Shot (2 PTS),[1628415],1610612745.0,HOU,fadeaway,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Left,12.29,Made,,,,,,,,,,,2.0,,,,,,,
62,PT06M40.00S,2023-12-18T00:21:33.8Z,1,REGULAR,turnover,bad pass,[],203507,,,1610612749,10,10,2023-12-18T00:21:40Z,620000,False,,,0,,G. Antetokounmpo bad pass TURNOVER (2 TO),"[203507, 1631106]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,,2.0,,,,,,Eason,1631106.0,,,,,
63,PT06M40.00S,2023-12-18T00:21:33.8Z,1,REGULAR,steal,,[],1631106,,,1610612745,10,10,2023-12-18T00:21:36Z,630000,False,,,0,,T. Eason STEAL (1 STL),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
64,PT06M36.00S,2023-12-18T00:21:39.2Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1631106,71.82982917214193,77.94117647058823,1610612745,10,13,2023-12-18T00:22:49Z,640000,False,140.0,212.0,1,right,T. Eason 25' 3PT running (3 PTS) (J. Green 2 AST),"[1631106, 1630224]",1610612745.0,HOU,running,,,Eason,T. Eason,,,,,Above the Break 3,24+ Right Center,25.41,Made,,,,,,,,,,,3.0,,,J. Green,1630224.0,2.0,,
66,PT06M35.00S,2023-12-18T00:21:47.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,10,13,2023-12-18T00:21:47Z,660000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M35.00S,2023-12-18T00:24:29.1Z,1,REGULAR,substitution,out,[],203507,,,1610612749,10,13,2023-12-18T00:24:50Z,670000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M35.00S,2023-12-18T00:24:29.1Z,1,REGULAR,substitution,in,[],1626171,,,1610612749,10,13,2023-12-18T00:24:50Z,680000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M20.00S,2023-12-18T00:25:03.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,7.752956636005257,48.713235294117645,1610612749,12,13,2023-12-18T00:25:14Z,690000,False,6.0,20.0,1,left,B. Lopez cutting Layup (4 PTS) (A. Jackson Jr. 2 AST),"[201572, 1641748]",1610612749.0,MIL,cutting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,2.14,Made,,,,,,,,,,,4.0,,,A. Jackson Jr.,1641748.0,2.0,,
74,PT06M20.00S,2023-12-18T00:25:07.6Z,1,REGULAR,foul,personal,['1freethrow'],1631106,,,1610612749,12,13,2023-12-18T00:25:25Z,710000,False,,,0,,T. Eason shooting personal FOUL (1 PF) (Lopez 1 FT),"[1631106, 201572]",1610612745.0,HOU,shooting,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,,,,,201245.0,,1.0,0.0,Lopez,201572.0,,,,,,,,
76,PT06M20.00S,2023-12-18T00:25:19.5Z,1,REGULAR,substitution,out,[],203114,,,1610612749,12,13,2023-12-18T00:25:24Z,730000,False,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M20.00S,2023-12-18T00:25:19.5Z,1,REGULAR,substitution,in,[],1630699,,,1610612749,12,13,2023-12-18T00:25:24Z,740000,False,,,0,,SUB in: M. Beauchamp,[1630699],1610612749.0,MIL,,,,Beauchamp,M. Beauchamp,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M20.00S,2023-12-18T00:25:36.1Z,1,REGULAR,freethrow,1 of 1,[],201572,,,1610612749,13,13,2023-12-18T00:25:36Z,750000,False,,,0,,B. Lopez Free Throw 1 of 1 (5 PTS),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,Made,,,,,,,,,,,5.0,,,,,,,
79,PT06M03.00S,2023-12-18T00:25:54.1Z,1,REGULAR,turnover,bad pass,[],1627832,,,1610612745,13,13,2023-12-18T00:25:58Z,760000,False,,,0,,F. VanVleet bad pass TURNOVER (1 TO),"[1627832, 203081]",1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,,,,,,Lillard,203081.0,,,,,
80,PT06M03.00S,2023-12-18T00:25:54.1Z,1,REGULAR,steal,,[],203081,,,1610612749,13,13,2023-12-18T00:25:57Z,770000,False,,,0,,D. Lillard STEAL (2 STL),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
81,PT05M58.00S,2023-12-18T00:25:58.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641748,6.521024967148489,49.01960784313725,1610612749,15,13,2023-12-18T00:26:05Z,780000,False,5.0,9.0,1,left,A. Jackson Jr. running alley-oop DUNK (2 PTS) (D. Lillard 3 AST),"[1641748, 203081]",1610612749.0,MIL,running alley-oop,,,Jackson Jr.,A. Jackson Jr.,,,,,Restricted Area,0-8 Center,1.01,Made,,,,,,,,,,,2.0,,,D. Lillard,203081.0,3.0,,
