actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
16,PT10M41.00S,2024-03-31T22:11:53.1Z,1,REGULAR,rebound,offensive,[],1628963,,,1610612764,0,0,2024-03-31T22:11:54Z,160000,False,,,0,,M. Bagley III REBOUND (Off:2 Def:0),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,,,15.0,2.0,0.0,2.0,,,,,,,,,,,,,,
17,PT10M41.00S,2024-03-31T22:11:53.3Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1628963,94.40999984741211,50.0,1610612764,2,0,2024-03-31T22:12:43Z,170000,False,0.0,0.0,1,right,M. Bagley III tip DUNK (2 PTS),[1628963],1610612764.0,WAS,tip,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,2.0,,,,,,,,,,
18,PT10M32.00S,2024-03-31T22:12:02.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,7.440867279894875,48.28431372549019,1610612748,2,2,2024-03-31T22:12:52Z,180000,False,9.0,17.0,1,left,J. Butler driving floating Jump Shot (2 PTS),[202710],1610612748.0,MIA,driving floating,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,1.94,Made,,,,,,,,2.0,,,,,,,,,,
19,PT10M13.00S,2024-03-31T22:12:21.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630557,94.69448094612353,42.8921568627451,1610612764,4,2,2024-03-31T22:12:25Z,190000,False,-36.0,-3.0,1,right,C. Kispert driving Layup (2 PTS),[1630557],1610612764.0,WAS,driving,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,3.56,Made,,,,,,,,2.0,,,,,,,,,,
20,PT09M59.00S,2024-03-31T22:12:36.0Z,1,REGULAR,2pt,Jump Shot,[],1626179,12.171484888304862,84.06862745098039,1610612748,4,4,2024-03-31T22:12:41Z,200000,False,-170.0,62.0,1,left,T. Rozier 18' step back Jump Shot (2 PTS),[1626179],1610612748.0,MIA,step back,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Left,18.12,Made,,,,,,,,2.0,,,,,,,,,,
22,PT09M43.00S,2024-03-31T22:12:51.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,94.03745072273325,42.64705882352941,1610612764,4,4,2024-03-31T22:13:44Z,220000,False,-37.0,4.0,1,right,MISS D. Avdija driving finger roll Layup - blocked,"[1630166, 1631107]",1610612764.0,WAS,driving finger roll,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,3.7,Missed,,,,,,,,,Jovic,1631107.0,,,,,,,,
23,PT09M43.00S,2024-03-31T22:12:51.2Z,1,REGULAR,block,,[],1631107,,,1610612764,4,4,2024-03-31T22:12:53Z,230000,False,,,0,,N. Jovic BLOCK (1 BLK),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT09M40.00S,2024-03-31T22:12:54.2Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,4,4,2024-03-31T22:12:55Z,240000,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M38.00S,2024-03-31T22:12:56.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629130,22.421156373193167,93.87254901960785,1610612748,4,4,2024-03-31T22:14:13Z,250000,False,-219.0,158.0,1,left,MISS D. Robinson 27' running 3PT,[1629130],1610612748.0,MIA,running,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,27.05,Missed,,,,,,,,,,,,,,,,,,
26,PT09M34.00S,2024-03-31T22:13:00.3Z,1,REGULAR,rebound,offensive,[],1629130,,,1610612748,4,4,2024-03-31T22:13:00Z,260000,False,,,0,,D. Robinson REBOUND (Off:1 Def:0),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
27,PT09M22.00S,2024-03-31T22:13:12.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629130,25.969119579500656,85.7843137254902,1610612748,4,4,2024-03-31T22:14:28Z,270000,False,-179.0,192.0,1,left,MISS D. Robinson 26' pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,26.21,Missed,,,,,,,,,,,,,,,,,,
28,PT09M19.00S,2024-03-31T22:13:15.5Z,1,REGULAR,rebound,defensive,[],1631116,,,1610612764,4,4,2024-03-31T22:13:16Z,280000,False,,,0,,P. Baldwin Jr. REBOUND (Off:0 Def:2),[1631116],1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Above the Break 3,24+ Left Center,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,,
29,PT09M10.00S,2024-03-31T22:13:24.6Z,1,REGULAR,3pt,Jump Shot,[],1629673,70.38436268068331,11.27450980392157,1610612764,7,4,2024-03-31T22:13:35Z,290000,False,-194.0,226.0,1,right,J. Poole 29' 3PT pullup (3 PTS),[1629673],1610612764.0,WAS,pullup,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,29.75,Made,,,,,,,,3.0,,,,,,,,,,
31,PT08M46.00S,2024-03-31T22:13:48.1Z,1,REGULAR,3pt,Jump Shot,[],1628389,35.03613666228647,45.34313725490196,1610612748,7,4,2024-03-31T22:13:55Z,310000,False,23.0,277.0,1,left,MISS B. Adebayo 27' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,27.78,Missed,,,,,,,,,,,,,,,,,,
32,PT08M42.00S,2024-03-31T22:13:52.1Z,1,REGULAR,rebound,offensive,[],1631107,,,1610612748,7,4,2024-03-31T22:13:55Z,320000,False,,,0,,N. Jovic REBOUND (Off:1 Def:0),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Center,,,31.0,1.0,0.0,1.0,,,,,,,,,,,,,,
33,PT08M41.00S,2024-03-31T22:13:53.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1631107,12.302890932982917,49.754901960784316,1610612748,7,6,2024-03-31T22:13:57Z,330000,False,1.0,63.0,1,left,N. Jovic 6' floating Jump Shot (2 PTS),[1631107],1610612748.0,MIA,floating,,,Jovic,N. Jovic,,,,,In The Paint (Non-RA),0-8 Center,6.31,Made,,,,,,,,2.0,,,,,,,,,,
34,PT08M30.00S,2024-03-31T22:14:04.3Z,1,REGULAR,3pt,Jump Shot,[],1629673,66.5735873850197,43.13725490196079,1610612764,7,6,2024-03-31T22:15:39Z,340000,False,-34.0,262.0,1,right,MISS J. Poole 26' pullup 3PT,[1629673],1610612764.0,WAS,pullup,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,26.39,Missed,,,,,,,,,,,,,,,,,,
35,PT08M27.00S,2024-03-31T22:14:07.3Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,7,6,2024-03-31T22:14:08Z,350000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
36,PT08M15.00S,2024-03-31T22:14:20.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,8.360709592641262,43.13725490196079,1610612748,7,8,2024-03-31T22:14:25Z,360000,False,34.0,26.0,1,left,T. Rozier driving bank Jump Shot (4 PTS),[1626179],1610612748.0,MIA,driving bank,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,4.31,Made,,,,,,,,4.0,,,,,,,,,,
37,PT08M03.00S,2024-03-31T22:14:31.6Z,1,REGULAR,3pt,Jump Shot,[],1630166,69.59592641261499,69.36274509803921,1610612764,10,8,2024-03-31T22:14:35Z,370000,False,97.0,233.0,1,right,D. Avdija 25' 3PT step back (3 PTS) (J. Poole 1 AST),"[1630166, 1629673]",1610612764.0,WAS,step back,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,25.26,Made,,,,,,,,3.0,,,J. Poole,1629673.0,1.0,,,,,
38,PT07M57.00S,2024-03-31T22:14:39.3Z,1,REGULAR,foul,personal,['2freethrow'],1631116,,,1610612748,10,8,2024-03-31T22:14:44Z,380000,False,,,0,,P. Baldwin Jr. shooting personal FOUL (1 PF) (Jovic 2 FT),"[1631116, 1631107]",1610612764.0,WAS,shooting,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,203593.0,1.0,0.0,Jovic,1631107.0
40,PT07M57.00S,2024-03-31T22:15:07.8Z,1,REGULAR,freethrow,1 of 2,[],1631107,,,1610612748,10,9,2024-03-31T22:15:07Z,400000,False,,,0,,N. Jovic Free Throw 1 of 2 (3 PTS),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,,,Made,,,,,,,,3.0,,,,,,,,,,
41,PT07M57.00S,2024-03-31T22:15:27.1Z,1,REGULAR,freethrow,2 of 2,[],1631107,,,1610612748,10,10,2024-03-31T22:15:27Z,410000,False,,,0,,N. Jovic Free Throw 2 of 2 (4 PTS),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,,,Made,,,,,,,,4.0,,,,,,,,,,
43,PT07M47.00S,2024-03-31T22:15:38.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628963,93.9060446780552,52.20588235294118,1610612764,12,10,2024-03-31T22:15:42Z,420000,False,11.0,5.0,1,right,M. Bagley III cutting DUNK (4 PTS) (J. Poole 2 AST),"[1628963, 1629673]",1610612764.0,WAS,cutting,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,1.2,Made,,,,,,,,4.0,,,J. Poole,1629673.0,2.0,,,,,
46,PT07M36.00S,2024-03-31T22:15:58.7Z,1,REGULAR,3pt,Jump Shot,[],1631107,18.347568988173457,4.6568627450980395,1610612748,12,10,2024-03-31T22:16:02Z,450000,False,227.0,120.0,1,left,MISS N. Jovic 25' 3PT,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Right Center,25.65,Missed,,,,,,,,,,,,,,,,,,
47,PT07M33.00S,2024-03-31T22:16:01.7Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612764,12,10,2024-03-31T22:16:02Z,460000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,
48,PT07M29.00S,2024-03-31T22:16:05.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630557,80.1084099868594,4.6568627450980395,1610612764,12,10,2024-03-31T22:17:36Z,470000,False,-227.0,134.0,1,right,MISS C. Kispert 26' running 3PT - blocked,"[1630557, 1629130]",1610612764.0,WAS,running,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,26.36,Missed,,,,,,,,,Robinson,1629130.0,,,,,,,,
49,PT07M29.00S,2024-03-31T22:16:05.8Z,1,REGULAR,block,,[],1629130,,,1610612764,12,10,2024-03-31T22:16:08Z,480000,False,,,0,,D. Robinson BLOCK (1 BLK),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
50,PT07M25.00S,2024-03-31T22:16:09.8Z,1,REGULAR,rebound,defensive,[],1631107,,,1610612748,12,10,2024-03-31T22:16:10Z,490000,False,,,0,,N. Jovic REBOUND (Off:1 Def:1),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Left Center,,,48.0,2.0,1.0,1.0,,,,,,,,,,,,,,
51,PT07M23.00S,2024-03-31T22:16:11.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626179,19.92444152431012,93.62745098039215,1610612748,12,10,2024-03-31T22:17:31Z,500000,False,-218.0,135.0,1,left,MISS T. Rozier 25' running 3PT,[1626179],1610612748.0,MIA,running,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,25.64,Missed,,,,,,,,,,,,,,,,,,
52,PT07M19.00S,2024-03-31T22:16:15.3Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,12,10,2024-03-31T22:16:15Z,510000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,,,
53,PT07M09.00S,2024-03-31T22:16:25.0Z,1,REGULAR,3pt,Jump Shot,[],1631116,79.31997371879106,5.392156862745098,1610612764,12,10,2024-03-31T22:16:29Z,520000,False,-223.0,142.0,1,right,MISS P. Baldwin Jr. 26' 3PT,[1631116],1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Above the Break 3,24+ Left Center,26.43,Missed,,,,,,,,,,,,,,,,,,
54,PT07M06.00S,2024-03-31T22:16:28.0Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612748,12,10,2024-03-31T22:16:29Z,530000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,,
55,PT07M01.00S,2024-03-31T22:16:33.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626179,7.178055190538765,44.6078431372549,1610612748,12,12,2024-03-31T22:18:51Z,540000,False,27.0,15.0,1,left,T. Rozier running finger roll Layup (6 PTS),[1626179],1610612748.0,MIA,running finger roll,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,3.09,Made,,,,,,,,6.0,,,,,,,,,,
56,PT06M50.00S,2024-03-31T22:16:49.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,90.09526938239159,57.107843137254896,1610612764,12,12,2024-03-31T22:16:56Z,550000,False,36.0,41.0,1,right,MISS D. Avdija driving Layup - blocked,"[1630166, 1626179]",1610612764.0,WAS,driving,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,5.39,Missed,,,,,,,,,Rozier,1626179.0,,,,,,,,
57,PT06M50.00S,2024-03-31T22:16:49.5Z,1,REGULAR,block,,[],1626179,,,1610612764,12,12,2024-03-31T22:16:52Z,560000,False,,,0,,T. Rozier BLOCK (1 BLK),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
58,PT06M50.00S,2024-03-31T22:16:49.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,12,12,2024-03-31T22:16:56Z,570000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,56.0,,,,,,,,,,,,,,,,,
59,PT06M50.00S,2024-03-31T22:16:55.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,12,12,2024-03-31T22:16:55Z,580000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M50.00S,2024-03-31T22:16:57.7Z,1,REGULAR,substitution,out,[],1630166,,,1610612764,12,12,2024-03-31T22:19:33Z,590000,False,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M50.00S,2024-03-31T22:16:57.7Z,1,REGULAR,substitution,out,[],1628963,,,1610612764,12,12,2024-03-31T22:19:33Z,600000,False,,,0,,SUB out: M. Bagley III,[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M50.00S,2024-03-31T22:16:57.7Z,1,REGULAR,substitution,in,[],1631098,,,1610612764,12,12,2024-03-31T22:19:33Z,610000,False,,,0,,SUB in: J. Davis,[1631098],1610612764.0,WAS,,,,Davis,J. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M50.00S,2024-03-31T22:16:57.7Z,1,REGULAR,substitution,in,[],1630264,,,1610612764,12,12,2024-03-31T22:19:33Z,620000,False,,,0,,SUB in: A. Gill,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M40.00S,2024-03-31T22:20:04.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629673,78.9257555847569,92.40196078431373,1610612764,15,12,2024-03-31T22:20:20Z,630000,False,212.0,146.0,1,right,J. Poole 25' 3PT  (6 PTS) (C. Kispert 1 AST),"[1629673, 1630557]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,25.72,Made,,,,,,,,6.0,,,C. Kispert,1630557.0,1.0,,,,,
66,PT06M24.00S,2024-03-31T22:20:23.5Z,1,REGULAR,foul,personal,[],1629673,,,1610612748,15,12,2024-03-31T22:20:28Z,650000,False,,,0,,J. Poole personal FOUL (1 PF),"[1629673, 202710]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,202901.0,1.0,0.0,Butler,202710.0
68,PT06M15.00S,2024-03-31T22:20:57.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,10.85742444152431,50.245098039215684,1610612748,15,12,2024-03-31T22:21:19Z,670000,False,-1.0,50.0,1,left,MISS T. Rozier driving floating Shot,[1626179],1610612748.0,MIA,driving floating,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,4.96,Missed,,,,,,,,,,,,,,,,,,
69,PT06M13.00S,2024-03-31T22:20:59.8Z,1,REGULAR,rebound,defensive,[],1631098,,,1610612764,15,12,2024-03-31T22:21:04Z,680000,False,,,0,,J. Davis REBOUND (Off:0 Def:1),[1631098],1610612764.0,WAS,,,,Davis,J. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,68.0,1.0,1.0,0.0,,,,,,,,,,,,,,
72,PT06M08.00S,2024-03-31T22:21:17.1Z,1,REGULAR,foul,personal,[],1626179,,,1610612764,15,12,2024-03-31T23:25:57Z,710000,False,,,0,,T. Rozier loose ball personal FOUL (1 PF),"[1626179, 1631098]",1610612748.0,MIA,loose ball,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1626300.0,1.0,0.0,Davis,1631098.0
75,PT06M02.00S,2024-03-31T22:21:37.0Z,1,REGULAR,3pt,Jump Shot,[],1629673,66.70499342969777,58.08823529411765,1610612764,15,12,2024-03-31T22:26:22Z,740000,False,40.0,260.0,1,right,MISS J. Poole 26' 3PT,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,26.36,Missed,,,,,,,,,,,,,,,,,,
76,PT05M58.00S,2024-03-31T22:21:41.0Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,15,12,2024-03-31T22:21:42Z,750000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,75.0,2.0,2.0,0.0,,,,,,,,,,,,,,
77,PT05M52.00S,2024-03-31T22:21:46.6Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,15,12,2024-03-31T22:21:53Z,760000,False,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 1630557]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Kispert,1630557.0,,,,,,,,,,,
78,PT05M52.00S,2024-03-31T22:21:46.6Z,1,REGULAR,steal,,[],1630557,,,1610612764,15,12,2024-03-31T22:21:49Z,770000,False,,,0,,C. Kispert STEAL (1 STL),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
79,PT05M48.00S,2024-03-31T22:21:51.3Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1631116,78.0059132720105,8.333333333333332,1610612764,15,12,2024-03-31T22:22:30Z,780000,False,-208.0,154.0,1,right,MISS P. Baldwin Jr. 25' running pullup 3PT,[1631116],1610612764.0,WAS,running pullup,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Above the Break 3,24+ Left Center,25.92,Missed,,,,,,,,,,,,,,,,,,
80,PT05M45.00S,2024-03-31T22:21:54.3Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,15,12,2024-03-31T22:21:58Z,790000,False,,,0,,D. Robinson REBOUND (Off:1 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,,79.0,2.0,1.0,1.0,,,,,,,,,,,,,,
81,PT05M28.00S,2024-03-31T22:22:10.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,6.783837056504599,47.05882352941176,1610612748,15,14,2024-03-31T22:22:14Z,800000,False,15.0,11.0,1,left,J. Butler cutting Layup (4 PTS) (N. Jovic 1 AST),"[202710, 1631107]",1610612748.0,MIA,cutting,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,1.85,Made,,,,,,,,4.0,,,N. Jovic,1631107.0,1.0,,,,,
83,PT05M09.00S,2024-03-31T22:22:29.5Z,1,REGULAR,3pt,Jump Shot,[],1631116,72.61826544021025,16.176470588235293,1610612764,15,14,2024-03-31T22:22:33Z,820000,False,-169.0,205.0,1,right,MISS P. Baldwin Jr. 26' 3PT,[1631116],1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Above the Break 3,24+ Left Center,26.57,Missed,,,,,,,,,,,,,,,,,,
