actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
18,PT11M03.00S,2024-04-12T23:16:21.2Z,1,REGULAR,3pt,Jump Shot,[],1630557,7.440867279894875,4.6568627450980395,1610612764,4,0,2024-04-12T23:16:24Z,180000,False,227.0,17.0,1,left,MISS C. Kispert 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,22.74,,,,,,,,,,,
19,PT11M01.00S,2024-04-12T23:16:23.2Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,4,0,2024-04-12T23:16:24Z,190000,False,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Right Corner 3,24+ Right,,,,,,,18.0,,,1.0,1.0,0.0,,,,,,,,
20,PT10M42.00S,2024-04-12T23:16:42.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641931,93.77463863337714,58.333333333333336,1610612741,4,2,2024-04-12T23:16:46Z,200000,False,42.0,6.0,1,right,O. Bitim driving Layup (2 PTS) (C. White 1 AST),"[1641931, 1629632]",1610612741.0,CHI,driving,,,Bitim,O. Bitim,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,4.21,,,,C. White,1629632.0,1.0,,,,,
22,PT10M37.00S,2024-04-12T23:16:49.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641774,5.732588699080158,53.92156862745098,1610612764,6,2,2024-04-12T23:16:59Z,220000,False,-20.0,1.0,1,left,T. Vukcevic driving Layup (6 PTS) (C. Kispert 1 AST),"[1641774, 1630557]",1610612764.0,WAS,driving,,,Vukcevic,T. Vukcevic,,,,,Restricted Area,0-8 Center,,,,,,Made,,6.0,1.96,,,,C. Kispert,1630557.0,1.0,,,,,
24,PT10M37.00S,2024-04-12T23:16:52.1Z,1,REGULAR,foul,personal,['1freethrow'],1629750,,,1610612764,6,2,2024-04-12T23:16:58Z,240000,False,,,0,,J. Green shooting personal FOUL (2 PF) (Vukcevic 1 FT),"[1629750, 1641774]",1610612741.0,CHI,shooting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,201245.0,2.0,0.0,Vukcevic,1641774.0,,,,,,,,,,,,,,,
26,PT10M37.00S,2024-04-12T23:17:23.4Z,1,REGULAR,freethrow,1 of 1,[],1641774,,,1610612764,7,2,2024-04-12T23:17:23Z,260000,False,,,0,,T. Vukcevic Free Throw 1 of 1 (7 PTS),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,,Made,,7.0,,,,,,,,,,,,
27,PT10M17.00S,2024-04-12T23:17:45.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628470,86.67871222076215,49.26470588235294,1610612741,7,2,2024-04-12T23:17:49Z,270000,False,-4.0,73.0,1,right,MISS T. Craig 7' floating Shot,[1628470],1610612741.0,CHI,floating,,,Craig,T. Craig,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,7.28,,,,,,,,,,,
28,PT10M15.00S,2024-04-12T23:17:47.4Z,1,REGULAR,rebound,defensive,[],1631116,,,1610612764,7,2,2024-04-12T23:17:49Z,280000,False,,,0,,P. Baldwin Jr. REBOUND (Off:0 Def:2),[1631116],1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,27.0,,,2.0,2.0,0.0,,,,,,,,
29,PT10M12.00S,2024-04-12T23:17:52.3Z,1,REGULAR,foul,personal,['2freethrow'],1631207,,,1610612764,7,2,2024-04-12T23:17:59Z,290000,False,,,0,,D. Terry shooting personal FOUL (1 PF) (Vukcevic 2 FT),"[1631207, 1641774]",1610612741.0,CHI,shooting,,,Terry,D. Terry,,,,,In The Paint (Non-RA),0-8 Center,202026.0,1.0,0.0,Vukcevic,1641774.0,,,,,,,,,,,,,,,
31,PT10M12.00S,2024-04-12T23:18:16.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641774,,,1610612764,8,2,2024-04-12T23:18:32Z,310000,False,,,0,,T. Vukcevic Free Throw 1 of 2 (8 PTS),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,,Made,,8.0,,,,,,,,,,,,
32,PT10M12.00S,2024-04-12T23:18:16.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641774,,,1610612764,9,2,2024-04-12T23:18:32Z,320000,False,,,0,,T. Vukcevic Free Throw 2 of 2 (9 PTS),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,,Made,,9.0,,,,,,,,,,,,
33,PT10M04.00S,2024-04-12T23:18:39.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,91.14651773981603,57.84313725490197,1610612741,9,2,2024-04-12T23:18:45Z,330000,False,39.0,31.0,1,right,MISS C. White driving Layup - blocked,"[1629632, 1641774]",1610612741.0,CHI,driving,,,White,C. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,4.98,,,,,,,Vukcevic,1641774.0,,,
34,PT10M04.00S,2024-04-12T23:18:39.6Z,1,REGULAR,block,,[],1641774,,,1610612741,9,2,2024-04-12T23:19:00Z,340000,False,,,0,,T. Vukcevic BLOCK (1 BLK),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT10M00.00S,2024-04-12T23:18:43.6Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,9,2,2024-04-12T23:18:45Z,350000,False,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,33.0,,,1.0,1.0,0.0,,,,,,,,
36,PT09M58.00S,2024-04-12T23:18:45.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631098,5.601182654402102,56.61764705882353,1610612764,11,2,2024-04-12T23:19:41Z,360000,False,-33.0,0.0,1,left,J. Davis running Layup (2 PTS) (D. Avdija 2 AST),"[1631098, 1630166]",1610612764.0,WAS,running,,,Davis,J. Davis,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,3.31,,,,D. Avdija,1630166.0,2.0,,,,,
38,PT09M43.00S,2024-04-12T23:19:00.7Z,1,REGULAR,3pt,Jump Shot,[],1641931,66.96780551905388,75.73529411764706,1610612741,11,2,2024-04-12T23:19:04Z,380000,False,129.0,258.0,1,right,MISS O. Bitim 28' 3PT,[1641931],1610612741.0,CHI,,,,Bitim,O. Bitim,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,28.83,,,,,,,,,,,
39,PT09M39.00S,2024-04-12T23:19:04.7Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,11,2,2024-04-12T23:19:04Z,390000,False,,,0,,D. Avdija REBOUND (Off:0 Def:2),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,,,,,,,38.0,,,2.0,2.0,0.0,,,,,,,,
40,PT09M33.00S,2024-04-12T23:19:09.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631116,16.113666228646515,3.1862745098039214,1610612764,11,2,2024-04-12T23:20:39Z,400000,False,234.0,99.0,1,left,MISS P. Baldwin Jr. 25' running 3PT,[1631116],1610612764.0,WAS,running,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,25.42,,,,,,,,,,,
41,PT09M30.00S,2024-04-12T23:19:12.7Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612741,11,2,2024-04-12T23:19:16Z,410000,False,,,0,,T. Craig REBOUND (Off:0 Def:1),[1628470],1610612741.0,CHI,,,,Craig,T. Craig,,,,,Above the Break 3,24+ Right Center,,,,,,,40.0,,,1.0,1.0,0.0,,,,,,,,
42,PT09M23.00S,2024-04-12T23:19:20.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,92.85479632063075,37.745098039215684,1610612741,11,2,2024-04-12T23:19:25Z,420000,False,-61.0,15.0,1,right,MISS C. White 6' driving Layup,[1629632],1610612741.0,CHI,driving,,,White,C. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,6.3,,,,,,,,,,,
43,PT09M20.00S,2024-04-12T23:19:23.9Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,11,2,2024-04-12T23:19:25Z,430000,False,,,0,,D. Avdija REBOUND (Off:0 Def:3),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,42.0,,,3.0,3.0,0.0,,,,,,,,
44,PT09M16.00S,2024-04-12T23:19:27.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630166,5.601182654402102,47.549019607843135,1610612764,13,2,2024-04-12T23:21:04Z,440000,False,12.0,0.0,1,left,D. Avdija running Layup (2 PTS),[1630166],1610612764.0,WAS,running,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,1.23,,,,,,,,,,,
45,PT09M02.00S,2024-04-12T23:19:40.7Z,1,REGULAR,3pt,Jump Shot,[],1631207,94.95729303547962,96.07843137254902,1610612741,13,5,2024-04-12T23:19:46Z,450000,False,230.0,-5.0,1,right,D. Terry 3PT  (3 PTS) (C. White 2 AST),"[1631207, 1629632]",1610612741.0,CHI,,,,Terry,D. Terry,,,,,Right Corner 3,24+ Right,,,,,,Made,,3.0,23.05,,,,C. White,1629632.0,2.0,,,,,
47,PT08M48.00S,2024-04-12T23:19:54.9Z,1,REGULAR,3pt,Jump Shot,[],1631098,31.488173455978973,32.59803921568628,1610612764,16,5,2024-04-12T23:20:00Z,470000,False,87.0,243.0,1,left,J. Davis 25' 3PT  (5 PTS) (C. Kispert 2 AST),"[1631098, 1630557]",1610612764.0,WAS,,,,Davis,J. Davis,,,,,Above the Break 3,24+ Right Center,,,,,,Made,,5.0,25.86,,,,C. Kispert,1630557.0,2.0,,,,,
49,PT08M47.00S,2024-04-12T23:19:59.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,16,5,2024-04-12T23:19:59Z,490000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M30.00S,2024-04-12T23:23:06.4Z,1,REGULAR,3pt,Jump Shot,[],1629750,95.6143232588699,0.7352941176470588,1610612741,16,5,2024-04-12T23:23:10Z,500000,False,-246.0,-11.0,1,right,MISS J. Green 24' 3PT,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,24.66,,,,,,,,,,,
51,PT08M26.00S,2024-04-12T23:23:10.4Z,1,REGULAR,rebound,defensive,[],1631116,,,1610612764,16,5,2024-04-12T23:23:10Z,510000,False,,,0,,P. Baldwin Jr. REBOUND (Off:0 Def:3),[1631116],1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Left Corner 3,24+ Left,,,,,,,50.0,,,3.0,3.0,0.0,,,,,,,,
52,PT08M16.00S,2024-04-12T23:23:20.1Z,1,REGULAR,turnover,lost ball,[],1630557,,,1610612764,16,5,2024-04-12T23:23:28Z,520000,False,,,0,,C. Kispert lost ball TURNOVER (1 TO),"[1630557, 1631207]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,1.0,Terry,1631207.0
53,PT08M16.00S,2024-04-12T23:23:20.1Z,1,REGULAR,steal,,[],1631207,,,1610612741,16,5,2024-04-12T23:23:22Z,530000,False,,,0,,D. Terry STEAL (1 STL),[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
54,PT08M13.00S,2024-04-12T23:23:23.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629750,94.95729303547962,52.450980392156865,1610612741,16,7,2024-04-12T23:23:46Z,540000,False,12.0,-5.0,1,right,J. Green running DUNK (2 PTS) (D. Terry 1 AST),"[1629750, 1631207]",1610612741.0,CHI,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,1.33,,,,D. Terry,1631207.0,1.0,,,,,
56,PT07M50.00S,2024-04-12T23:23:46.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630166,7.440867279894875,60.5392156862745,1610612764,16,7,2024-04-12T23:23:51Z,560000,False,-53.0,17.0,1,left,MISS D. Avdija floating Shot,[1630166],1610612764.0,WAS,floating,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,5.55,,,,,,,,,,,
57,PT07M50.00S,2024-04-12T23:23:46.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,16,7,2024-04-12T23:23:51Z,570000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,56.0,,,,,,,,,,,,,
59,PT07M34.00S,2024-04-12T23:24:09.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628470,91.27792378449409,50.245098039215684,1610612741,16,7,2024-04-12T23:24:14Z,590000,False,1.0,29.0,1,right,MISS T. Craig cutting Layup,[1628470],1610612741.0,CHI,cutting,,,Craig,T. Craig,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,2.95,,,,,,,,,,,
60,PT07M31.00S,2024-04-12T23:24:12.5Z,1,REGULAR,rebound,defensive,[],1631116,,,1610612764,16,7,2024-04-12T23:24:14Z,600000,False,,,0,,P. Baldwin Jr. REBOUND (Off:0 Def:4),[1631116],1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Restricted Area,0-8 Center,,,,,,,59.0,,,4.0,4.0,0.0,,,,,,,,
61,PT07M27.00S,2024-04-12T23:24:15.6Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1641774,8.229303547963205,25.0,1610612764,18,7,2024-04-12T23:24:45Z,610000,False,125.0,25.0,1,left,T. Vukcevic 12' running pullup Jump Shot (11 PTS) (P. Baldwin Jr. 1 AST),"[1641774, 1631116]",1610612764.0,WAS,running pullup,,,Vukcevic,T. Vukcevic,,,,,Mid-Range,8-16 Right,,,,,,Made,,11.0,12.75,,,,P. Baldwin Jr.,1631116.0,1.0,,,,,
63,PT07M18.00S,2024-04-12T23:24:26.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631207,93.64323258869908,55.392156862745104,1610612741,18,9,2024-04-12T23:24:36Z,630000,False,27.0,7.0,1,right,D. Terry driving DUNK (5 PTS),[1631207],1610612741.0,CHI,driving,,,Terry,D. Terry,,,,,Restricted Area,0-8 Center,,,,,,Made,,5.0,2.8,,,,,,,,,,,
64,PT07M18.00S,2024-04-12T23:24:28.6Z,1,REGULAR,foul,personal,['1freethrow'],1631098,,,1610612741,18,9,2024-04-12T23:24:35Z,640000,False,,,0,,J. Davis shooting personal FOUL (1 PF) (Terry 1 FT),"[1631098, 1631207]",1610612764.0,WAS,shooting,,,Davis,J. Davis,,,,,Restricted Area,0-8 Center,201245.0,1.0,0.0,Terry,1631207.0,,,,,,,,,,,,,,,
66,PT07M18.00S,2024-04-12T23:24:36.4Z,1,REGULAR,substitution,out,[],1641774,,,1610612741,18,9,2024-04-12T23:24:45Z,660000,False,,,0,,SUB out: T. Vukcevic,[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M18.00S,2024-04-12T23:24:36.4Z,1,REGULAR,substitution,out,[],1629632,,,1610612741,18,9,2024-04-12T23:24:45Z,670000,False,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M18.00S,2024-04-12T23:24:36.4Z,1,REGULAR,substitution,in,[],1630264,,,1610612741,18,9,2024-04-12T23:24:45Z,680000,False,,,0,,SUB in: A. Gill,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M18.00S,2024-04-12T23:24:36.4Z,1,REGULAR,substitution,in,[],1628975,,,1610612741,18,9,2024-04-12T23:24:45Z,690000,False,,,0,,SUB in: J. Carter,[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M18.00S,2024-04-12T23:24:59.2Z,1,REGULAR,freethrow,1 of 1,[],1631207,,,1610612741,18,10,2024-04-12T23:24:59Z,700000,False,,,0,,D. Terry Free Throw 1 of 1 (6 PTS),[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,,,,,,,,Made,,6.0,,,,,,,,,,,,
71,PT07M07.00S,2024-04-12T23:25:11.5Z,1,REGULAR,3pt,Jump Shot,[],1630166,33.98488830486202,62.99019607843137,1610612764,21,10,2024-04-12T23:25:16Z,710000,False,-65.0,267.0,1,left,D. Avdija 27' 3PT step back (5 PTS),[1630166],1610612764.0,WAS,step back,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,,,,,,Made,,5.0,27.48,,,,,,,,,,,
72,PT06M46.00S,2024-04-12T23:25:32.2Z,1,REGULAR,2pt,Jump Shot,[],1628975,76.82325886990802,61.76470588235294,1610612741,21,12,2024-04-12T23:25:36Z,720000,False,59.0,165.0,1,right,J. Carter 17' pullup Jump Shot (2 PTS) (D. Terry 2 AST),"[1628975, 1631207]",1610612741.0,CHI,pullup,,,Carter,J. Carter,,,,,Mid-Range,16-24 Right Center,,,,,,Made,,2.0,17.55,,,,D. Terry,1631207.0,2.0,,,,,
73,PT06M32.00S,2024-04-12T23:25:45.6Z,1,REGULAR,3pt,Jump Shot,[],1631098,3.235873850197109,97.30392156862744,1610612764,24,12,2024-04-12T23:25:49Z,730000,False,-237.0,-22.0,1,left,J. Davis 3PT  (8 PTS) (A. Gill 1 AST),"[1631098, 1630264]",1610612764.0,WAS,,,,Davis,J. Davis,,,,,Left Corner 3,24+ Left,,,,,,Made,,8.0,23.75,,,,A. Gill,1630264.0,1.0,,,,,
75,PT06M13.00S,2024-04-12T23:26:05.7Z,1,REGULAR,turnover,lost ball,[],1641931,,,1610612741,24,12,2024-04-12T23:26:09Z,750000,False,,,0,,O. Bitim lost ball TURNOVER (1 TO),"[1641931, 1631098]",1610612741.0,CHI,,,,Bitim,O. Bitim,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,1.0,Davis,1631098.0
76,PT06M13.00S,2024-04-12T23:26:05.7Z,1,REGULAR,steal,,[],1631098,,,1610612764,24,12,2024-04-12T23:26:08Z,760000,False,,,0,,J. Davis STEAL (1 STL),[1631098],1610612764.0,WAS,,,,Davis,J. Davis,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
77,PT06M06.00S,2024-04-12T23:26:11.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630166,7.5722733245729295,47.549019607843135,1610612764,24,12,2024-04-12T23:26:24Z,770000,False,12.0,19.0,1,left,MISS D. Avdija running Layup - blocked,"[1630166, 1631207]",1610612764.0,WAS,running,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,2.24,,,,,,,Terry,1631207.0,,,
99,PT06M06.00S,2024-04-12T23:26:11.8Z,1,REGULAR,block,,[],1631207,,,1610612764,24,12,2024-04-12T23:29:41Z,775000,False,,,0,,D. Terry BLOCK (1 BLK),[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
78,PT06M06.00S,2024-04-12T23:26:11.8Z,1,REGULAR,rebound,defensive,[],1631207,,,1610612741,24,12,2024-04-12T23:26:24Z,780000,False,,,0,,D. Terry REBOUND (Off:0 Def:1),[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,Restricted Area,0-8 Center,,,,,,,77.0,,,1.0,1.0,0.0,,,,,,,,
79,PT06M00.00S,2024-04-12T23:26:17.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629750,93.51182654402102,53.18627450980392,1610612741,24,14,2024-04-12T23:26:40Z,790000,False,16.0,8.0,1,right,J. Green running Layup (4 PTS) (D. Terry 3 AST),"[1629750, 1631207]",1610612741.0,CHI,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,Made,,4.0,1.8,,,,D. Terry,1631207.0,3.0,,,,,
81,PT05M47.00S,2024-04-12T23:26:31.5Z,1,REGULAR,3pt,Jump Shot,[],1631116,29.517082785808146,12.745098039215685,1610612764,27,14,2024-04-12T23:26:38Z,810000,False,186.0,225.0,1,left,P. Baldwin Jr. 29' 3PT  (3 PTS) (D. Avdija 3 AST),"[1631116, 1630166]",1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,Made,,3.0,29.21,,,,D. Avdija,1630166.0,3.0,,,,,
83,PT05M36.00S,2024-04-12T23:26:44.1Z,1,REGULAR,foul,personal,['2freethrow'],1630557,,,1610612741,27,14,2024-04-12T23:26:50Z,830000,False,,,0,,C. Kispert shooting personal FOUL (1 PF) (Terry 2 FT),"[1630557, 1631207]",1610612764.0,WAS,shooting,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),0-8 Center,202026.0,1.0,0.0,Terry,1631207.0,,,,,,,,,,,,,,,
85,PT05M36.00S,2024-04-12T23:27:08.6Z,1,REGULAR,freethrow,1 of 2,[],1631207,,,1610612741,27,14,2024-04-12T23:27:33Z,850000,False,,,0,,MISS D. Terry Free Throw 1 of 2,[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
