actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
16,PT11M18.00S,2024-03-21T23:11:43.5Z,1,REGULAR,freethrow,1 of 2,[],1630557,,,1610612764,1,0,2024-03-21T23:11:43Z,160000,False,,,0,,C. Kispert Free Throw 1 of 2 (1 PTS),[1630557],1610612764.0,WAS,,,,,,,,,,Made,Kispert,C. Kispert,,,,,,,,,,,,1.0,,,,,,
18,PT11M18.00S,2024-03-21T23:11:58.9Z,1,REGULAR,freethrow,2 of 2,[],1630557,,,1610612764,2,0,2024-03-21T23:11:58Z,170000,False,,,0,,C. Kispert Free Throw 2 of 2 (2 PTS),[1630557],1610612764.0,WAS,,,,,,,,,,Made,Kispert,C. Kispert,,,,,,,,,,,,2.0,,,,,,
19,PT10M57.00S,2024-03-21T23:12:21.5Z,1,REGULAR,2pt,Jump Shot,[],1631099,22.683968462549277,74.75490196078431,1610612758,2,2,2024-03-21T23:12:27Z,180000,False,-124.0,161.0,1,left,K. Murray 20' step back Jump Shot (2 PTS),[1631099],1610612758.0,SAC,step back,,,,,,Mid-Range,16-24 Left Center,20.29,Made,Murray,K. Murray,,,,,,,,,,,,2.0,,,,,,
20,PT10M38.00S,2024-03-21T23:12:40.5Z,1,REGULAR,3pt,Jump Shot,[],1629673,67.62483574244416,69.36274509803921,1610612764,5,2,2024-03-21T23:12:45Z,190000,False,97.0,252.0,1,right,J. Poole 26' 3PT  (3 PTS) (K. Kuzma 1 AST),"[1629673, 1628398]",1610612764.0,WAS,,,,,,,Above the Break 3,24+ Right Center,26.98,Made,Poole,J. Poole,,,,,,,,,,,,3.0,K. Kuzma,1628398.0,1.0,,,
22,PT10M28.00S,2024-03-21T23:12:51.1Z,1,REGULAR,3pt,Jump Shot,[],1628368,30.831143232588698,73.77450980392157,1610612758,5,2,2024-03-21T23:12:55Z,210000,False,-119.0,237.0,1,left,MISS D. Fox 26' pullup 3PT,[1628368],1610612758.0,SAC,pullup,,,,,,Above the Break 3,24+ Left Center,26.54,Missed,Fox,D. Fox,,,,,,,,,,,,,,,,,,
23,PT10M25.00S,2024-03-21T23:12:54.1Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612764,5,2,2024-03-21T23:12:55Z,220000,False,,,0,,R. Holmes REBOUND (Off:1 Def:1),[1626158],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Left Center,,,Holmes,R. Holmes,22.0,2.0,1.0,1.0,,,,,,,,,,,,,,
24,PT10M17.00S,2024-03-21T23:13:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626158,91.01511169513797,51.470588235294116,1610612764,5,2,2024-03-21T23:13:08Z,230000,False,7.0,32.0,1,right,MISS R. Holmes cutting Layup,[1626158],1610612764.0,WAS,cutting,,,,,,Restricted Area,0-8 Center,3.28,Missed,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,
25,PT10M16.00S,2024-03-21T23:13:07.7Z,1,REGULAR,rebound,offensive,[],1626158,,,1610612764,5,2,2024-03-21T23:13:07Z,240000,False,,,0,,R. Holmes REBOUND (Off:2 Def:1),[1626158],1610612764.0,WAS,,,,,,,Restricted Area,0-8 Center,,,Holmes,R. Holmes,24.0,3.0,1.0,2.0,,,,,,,,,,,,,,
26,PT10M16.00S,2024-03-21T23:13:07.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626158,94.40999984741211,50.0,1610612764,5,2,2024-03-21T23:13:11Z,250000,False,0.0,0.0,1,right,MISS R. Holmes tip Layup,[1626158],1610612764.0,WAS,tip,,,,,,Restricted Area,0-8 Center,0.0,Missed,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,
27,PT10M16.00S,2024-03-21T23:13:07.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,5,2,2024-03-21T23:15:12Z,260000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,Restricted Area,0-8 Center,,,,,26.0,,,,,,,,,,,,,,,,,
29,PT10M16.00S,2024-03-21T23:13:24.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,5,2,2024-03-21T23:15:12Z,280000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT10M02.00S,2024-03-21T23:16:33.7Z,1,REGULAR,2pt,Jump Shot,[],203084,7.440867279894875,77.20588235294117,1610612758,5,2,2024-03-21T23:16:41Z,300000,False,-136.0,17.0,1,left,MISS H. Barnes 13' turnaround fadeaway Shot,[203084],1610612758.0,SAC,turnaround fadeaway,,,,,,Mid-Range,8-16 Left,13.71,Missed,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,
32,PT09M58.00S,2024-03-21T23:16:37.7Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,5,2,2024-03-21T23:19:15Z,310000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,,,,Mid-Range,8-16 Left,,,Kuzma,K. Kuzma,31.0,2.0,2.0,0.0,,,,,,,,,,,,,,
33,PT09M47.00S,2024-03-21T23:16:48.6Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612764,5,2,2024-03-21T23:16:54Z,320000,False,,,0,,J. Poole bad pass TURNOVER (1 TO),"[1629673, 1631165]",1610612764.0,WAS,,,,,,,Above the Break 3,24+ Center,,,Poole,J. Poole,,,,,,,,,,,,,,,,1.0,Ellis,1631165.0
34,PT09M47.00S,2024-03-21T23:16:48.6Z,1,REGULAR,steal,,[],1631165,,,1610612758,5,2,2024-03-21T23:16:50Z,330000,False,,,0,,K. Ellis STEAL (1 STL),[1631165],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Center,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,
35,PT09M44.00S,2024-03-21T23:16:54.5Z,1,REGULAR,foul,personal,['2freethrow'],1629673,,,1610612758,5,2,2024-03-21T23:21:01Z,340000,False,,,0,,J. Poole shooting personal FOUL (1 PF) (Barnes 2 FT),"[1629673, 203084]",1610612764.0,WAS,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Poole,J. Poole,,,,,,,1193.0,1.0,0.0,Barnes,203084.0,,,,,,,
37,PT09M44.00S,2024-03-21T23:17:18.9Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203084,,,1610612758,5,3,2024-03-21T23:21:14Z,360000,False,,,0,,H. Barnes Free Throw 1 of 2 (1 PTS),[203084],1610612758.0,SAC,,,,,,,,,,Made,Barnes,H. Barnes,,,,,,,,,,,,1.0,,,,,,
38,PT09M44.00S,2024-03-21T23:17:18.9Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",203084,,,1610612758,5,3,2024-03-21T23:21:14Z,370000,False,,,0,,MISS H. Barnes Free Throw 2 of 2,[203084],1610612758.0,SAC,,,,,,,,,,Missed,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,
39,PT09M40.00S,2024-03-21T23:17:22.9Z,1,REGULAR,rebound,offensive,[],1631099,,,1610612758,5,3,2024-03-21T23:21:14Z,380000,False,,,0,,K. Murray REBOUND (Off:1 Def:0),[1631099],1610612758.0,SAC,,,,,,,,,,,Murray,K. Murray,38.0,1.0,0.0,1.0,,,,,,,,,,,,,,
40,PT09M29.00S,2024-03-21T23:17:50.4Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1631099,17.69053876478318,18.627450980392158,1610612758,5,5,2024-03-21T23:19:58Z,390000,False,157.0,114.0,1,left,K. Murray 19' pullup Jump Shot (4 PTS) (D. Fox 1 AST),"[1631099, 1628368]",1610612758.0,SAC,pullup,,,,,,Mid-Range,16-24 Right,19.38,Made,Murray,K. Murray,,,,,,,,,,,,4.0,D. Fox,1628368.0,1.0,,,
45,PT09M11.00S,2024-03-21T23:18:07.9Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612764,5,5,2024-03-21T23:18:17Z,410000,False,,,0,,J. Poole bad pass TURNOVER (2 TO),"[1629673, 1628368]",1610612764.0,WAS,,,,,,,Above the Break 3,24+ Left Center,,,Poole,J. Poole,,,,,,,,,,,,,,,,2.0,Fox,1628368.0
46,PT09M11.00S,2024-03-21T23:18:07.9Z,1,REGULAR,steal,,[],1628368,,,1610612758,5,5,2024-03-21T23:18:10Z,420000,False,,,0,,D. Fox STEAL (1 STL),[1628368],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Left Center,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,
47,PT09M08.00S,2024-03-21T23:18:11.1Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631165,7.440867279894875,50.73529411764706,1610612758,5,7,2024-03-21T23:20:19Z,430000,False,-4.0,17.0,1,left,K. Ellis running alley-oop DUNK (2 PTS) (D. Fox 2 AST),"[1631165, 1628368]",1610612758.0,SAC,running alley-oop,,,,,,Restricted Area,0-8 Center,1.78,Made,Ellis,K. Ellis,,,,,,,,,,,,2.0,D. Fox,1628368.0,2.0,,,
49,PT08M54.00S,2024-03-21T23:18:24.7Z,1,REGULAR,turnover,lost ball,[],1630557,,,1610612764,5,7,2024-03-21T23:20:39Z,450000,False,,,0,,C. Kispert lost ball TURNOVER (1 TO),"[1630557, 1628368]",1610612764.0,WAS,,,,,,,Above the Break 3,24+ Center,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,1.0,Fox,1628368.0
50,PT08M54.00S,2024-03-21T23:18:24.7Z,1,REGULAR,steal,,[],1628368,,,1610612758,5,7,2024-03-21T23:18:26Z,460000,False,,,0,,D. Fox STEAL (2 STL),[1628368],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Center,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,
51,PT08M48.00S,2024-03-21T23:18:30.0Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628368,22.158344283837057,8.57843137254902,1610612758,5,7,2024-03-21T23:21:21Z,470000,False,207.0,156.0,1,left,MISS D. Fox 25' running pullup 3PT,[1628368],1610612758.0,SAC,running pullup,,,,,,Above the Break 3,24+ Right Center,25.92,Missed,Fox,D. Fox,,,,,,,,,,,,,,,,,,
52,PT08M46.00S,2024-03-21T23:18:32.0Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,5,7,2024-03-21T23:18:34Z,480000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Right Center,,,Avdija,D. Avdija,51.0,1.0,1.0,0.0,,,,,,,,,,,,,,
53,PT08M39.00S,2024-03-21T23:18:40.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626158,94.43166885676742,45.34313725490196,1610612764,7,7,2024-03-21T23:21:47Z,490000,False,-23.0,0.0,1,right,R. Holmes DUNK (2 PTS) (D. Avdija 1 AST),"[1626158, 1630166]",1610612764.0,WAS,,,,,,,Restricted Area,0-8 Center,2.33,Made,Holmes,R. Holmes,,,,,,,,,,,,2.0,D. Avdija,1630166.0,1.0,,,
55,PT08M27.00S,2024-03-21T23:18:51.4Z,1,REGULAR,2pt,Jump Shot,[],1631099,19.398817345597898,26.715686274509803,1610612758,7,9,2024-03-21T23:22:12Z,510000,False,116.0,130.0,1,left,K. Murray 17' pullup Jump Shot (6 PTS) (D. Sabonis 1 AST),"[1631099, 1627734]",1610612758.0,SAC,pullup,,,,,,Mid-Range,16-24 Right Center,17.43,Made,Murray,K. Murray,,,,,,,,,,,,6.0,D. Sabonis,1627734.0,1.0,,,
56,PT08M10.00S,2024-03-21T23:19:10.8Z,1,REGULAR,foul,personal,[],1627734,,,1610612764,7,9,2024-03-21T23:19:13Z,520000,False,,,0,,D. Sabonis personal FOUL (1 PF),"[1627734, 1630557]",1610612758.0,SAC,,,,,,,Above the Break 3,24+ Center,,,Sabonis,D. Sabonis,,,,,,,2882.0,1.0,0.0,Kispert,1630557.0,,,,,,,
58,PT07M59.00S,2024-03-21T23:19:42.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,95.22010512483574,44.6078431372549,1610612764,9,9,2024-03-21T23:19:49Z,540000,False,-27.0,-8.0,1,right,K. Kuzma driving finger roll Layup (2 PTS),[1628398],1610612764.0,WAS,driving finger roll,,,,,,Restricted Area,0-8 Center,2.8,Made,Kuzma,K. Kuzma,,,,,,,,,,,,2.0,,,,,,
59,PT07M40.00S,2024-03-21T23:20:01.6Z,1,REGULAR,3pt,Jump Shot,[],1631165,18.74178712220762,95.34313725490196,1610612758,9,9,2024-03-21T23:20:07Z,550000,False,-227.0,124.0,1,left,MISS K. Ellis 25' step back 3PT,[1631165],1610612758.0,SAC,step back,,,,,,Above the Break 3,24+ Left Center,25.83,Missed,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,
60,PT07M38.00S,2024-03-21T23:20:03.6Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,9,9,2024-03-21T23:24:05Z,560000,False,,,0,,D. Avdija REBOUND (Off:0 Def:2),[1630166],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Left Center,,,Avdija,D. Avdija,59.0,2.0,2.0,0.0,,,,,,,,,,,,,,
93,PT07M36.00S,2024-03-21T23:20:05.1Z,1,REGULAR,turnover,lost ball,[],1630166,,,1610612764,9,9,2024-03-21T23:24:29Z,565000,False,,,0,,D. Avdija lost ball TURNOVER (1 TO),"[1630166, 1628368]",1610612764.0,WAS,,,,,,,In The Paint (Non-RA),8-16 Left,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,1.0,Fox,1628368.0
94,PT07M36.00S,2024-03-21T23:20:05.1Z,1,REGULAR,steal,,[],1628368,,,1610612758,9,9,2024-03-21T23:24:29Z,567500,False,,,0,,D. Fox STEAL (3 STL),[1628368],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),8-16 Left,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,
61,PT07M33.00S,2024-03-21T23:20:08.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203084,25.969119579500656,15.196078431372548,1610612758,9,9,2024-03-21T23:25:27Z,570000,False,174.0,192.0,1,left,MISS H. Barnes 25' pullup 3PT,[203084],1610612758.0,SAC,pullup,,,,,,Above the Break 3,24+ Right Center,25.88,Missed,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,
62,PT07M27.00S,2024-03-21T23:20:14.7Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612764,9,9,2024-03-21T23:20:17Z,580000,False,,,0,,R. Holmes REBOUND (Off:2 Def:2),[1626158],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Right Center,,,Holmes,R. Holmes,61.0,4.0,2.0,2.0,,,,,,,,,,,,,,
63,PT07M17.00S,2024-03-21T23:20:24.2Z,1,REGULAR,3pt,Jump Shot,[],1630166,94.43166885676742,95.09803921568627,1610612764,12,9,2024-03-21T23:20:30Z,590000,False,225.0,0.0,1,right,D. Avdija 3PT  (3 PTS) (K. Kuzma 2 AST),"[1630166, 1628398]",1610612764.0,WAS,,,,,,,Right Corner 3,24+ Right,22.55,Made,Avdija,D. Avdija,,,,,,,,,,,,3.0,K. Kuzma,1628398.0,2.0,,,
64,PT07M05.00S,2024-03-21T23:20:39.7Z,1,REGULAR,foul,personal,['2freethrow'],1626158,,,1610612758,12,9,2024-03-21T23:21:01Z,600000,False,,,0,,R. Holmes shooting personal FOUL (1 PF) (Barnes 2 FT),"[1626158, 203084]",1610612764.0,WAS,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Holmes,R. Holmes,,,,,,,2882.0,1.0,0.0,Barnes,203084.0,,,,,,,
66,PT07M05.00S,2024-03-21T23:21:06.8Z,1,REGULAR,freethrow,1 of 2,[],203084,,,1610612758,12,10,2024-03-21T23:21:06Z,620000,False,,,0,,H. Barnes Free Throw 1 of 2 (2 PTS),[203084],1610612758.0,SAC,,,,,,,,,,Made,Barnes,H. Barnes,,,,,,,,,,,,2.0,,,,,,
67,PT07M05.00S,2024-03-21T23:21:26.1Z,1,REGULAR,freethrow,2 of 2,[],203084,,,1610612758,12,11,2024-03-21T23:21:26Z,630000,False,,,0,,H. Barnes Free Throw 2 of 2 (3 PTS),[203084],1610612758.0,SAC,,,,,,,,,,Made,Barnes,H. Barnes,,,,,,,,,,,,3.0,,,,,,
68,PT06M50.00S,2024-03-21T23:21:40.0Z,1,REGULAR,3pt,Jump Shot,[],1629673,69.07030223390277,27.941176470588236,1610612764,12,11,2024-03-21T23:21:45Z,640000,False,-110.0,238.0,1,right,MISS J. Poole 26' step back 3PT,[1629673],1610612764.0,WAS,step back,,,,,,Above the Break 3,24+ Left Center,26.25,Missed,Poole,J. Poole,,,,,,,,,,,,,,,,,,
69,PT06M47.00S,2024-03-21T23:21:43.0Z,1,REGULAR,rebound,offensive,[],1626158,,,1610612764,12,11,2024-03-21T23:21:45Z,650000,False,,,0,,R. Holmes REBOUND (Off:3 Def:2),[1626158],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Left Center,,,Holmes,R. Holmes,68.0,5.0,2.0,3.0,,,,,,,,,,,,,,
71,PT06M40.00S,2024-03-21T23:21:50.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630166,93.38042049934296,54.65686274509803,1610612764,14,11,2024-03-21T23:22:01Z,660000,False,23.0,10.0,1,right,D. Avdija driving Layup (5 PTS),[1630166],1610612764.0,WAS,driving,,,,,,Restricted Area,0-8 Center,2.52,Made,Avdija,D. Avdija,,,,,,,,,,,,5.0,,,,,,
72,PT06M25.00S,2024-03-21T23:22:04.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631099,19.530223390275953,42.40196078431372,1610612758,14,13,2024-03-21T23:22:10Z,670000,False,38.0,131.0,1,left,K. Murray 13' pullup Jump Shot (8 PTS),[1631099],1610612758.0,SAC,pullup,,,,,,In The Paint (Non-RA),8-16 Center,13.65,Made,Murray,K. Murray,,,,,,,,,,,,8.0,,,,,,
73,PT06M12.00S,2024-03-21T23:22:18.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626158,93.51182654402102,58.82352941176471,1610612764,14,13,2024-03-21T23:22:23Z,680000,False,44.0,8.0,1,right,MISS R. Holmes driving Layup,[1626158],1610612764.0,WAS,driving,,,,,,In The Paint (Non-RA),0-8 Center,4.49,Missed,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,
74,PT06M10.00S,2024-03-21T23:22:20.2Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,14,13,2024-03-21T23:22:23Z,690000,False,,,0,,K. Murray REBOUND (Off:1 Def:1),[1631099],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Murray,K. Murray,73.0,2.0,1.0,1.0,,,,,,,,,,,,,,
75,PT06M05.00S,2024-03-21T23:22:24.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628368,8.360709592641262,5.637254901960785,1610612758,14,13,2024-03-21T23:26:50Z,700000,False,222.0,26.0,1,left,MISS D. Fox running 3PT,[1628368],1610612758.0,SAC,running,,,,,,Right Corner 3,24+ Right,22.33,Missed,Fox,D. Fox,,,,,,,,,,,,,,,,,,
76,PT06M02.00S,2024-03-21T23:22:28.5Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612764,14,13,2024-03-21T23:22:28Z,710000,False,,,0,,R. Holmes REBOUND (Off:3 Def:3),[1626158],1610612764.0,WAS,,,,,,,Right Corner 3,24+ Right,,,Holmes,R. Holmes,75.0,6.0,3.0,3.0,,,,,,,,,,,,,,
78,PT05M52.00S,2024-03-21T23:22:42.2Z,1,REGULAR,foul,personal,['2freethrow'],1631099,,,1610612764,14,13,2024-03-21T23:22:47Z,720000,False,,,0,,K. Murray shooting personal FOUL (1 PF) (Kuzma 2 FT),"[1631099, 1628398]",1610612758.0,SAC,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Murray,K. Murray,,,,,,,1193.0,1.0,0.0,Kuzma,1628398.0,,,,,,,
80,PT05M52.00S,2024-03-21T23:23:11.0Z,1,REGULAR,freethrow,1 of 2,[],1628398,,,1610612764,15,13,2024-03-21T23:23:11Z,740000,False,,,0,,K. Kuzma Free Throw 1 of 2 (3 PTS),[1628398],1610612764.0,WAS,,,,,,,,,,Made,Kuzma,K. Kuzma,,,,,,,,,,,,3.0,,,,,,
81,PT05M52.00S,2024-03-21T23:23:11.8Z,1,REGULAR,substitution,out,[],1630166,,,1610612764,15,13,2024-03-21T23:23:24Z,750000,False,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,,,,,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,
82,PT05M52.00S,2024-03-21T23:23:11.8Z,1,REGULAR,substitution,out,[],203084,,,1610612764,15,13,2024-03-21T23:23:24Z,760000,False,,,0,,SUB out: H. Barnes,[203084],1610612758.0,SAC,,,,,,,,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,
83,PT05M52.00S,2024-03-21T23:23:11.8Z,1,REGULAR,substitution,out,[],1628368,,,1610612764,15,13,2024-03-21T23:23:24Z,770000,False,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,,,,,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,
84,PT05M52.00S,2024-03-21T23:23:11.8Z,1,REGULAR,substitution,in,[],1631098,,,1610612764,15,13,2024-03-21T23:23:24Z,780000,False,,,0,,SUB in: J. Davis,[1631098],1610612764.0,WAS,,,,,,,,,,,Davis,J. Davis,,,,,,,,,,,,,,,,,,
85,PT05M52.00S,2024-03-21T23:23:11.8Z,1,REGULAR,substitution,in,[],1630558,,,1610612764,15,13,2024-03-21T23:23:24Z,790000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
86,PT05M52.00S,2024-03-21T23:23:11.8Z,1,REGULAR,substitution,in,[],1628370,,,1610612764,15,13,2024-03-21T23:23:24Z,800000,False,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,,,,,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,
