actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
120,PT01M46.00S,2023-12-27T00:30:21.0Z,1,REGULAR,3pt,Jump Shot,[],1628398,81.68528252299606,96.81372549019608,1610612764,21,26,2023-12-27T00:31:43Z,1200000,False,234.0,120.0,1,right,MISS K. Kuzma 26' step back 3PT,[1628398],1610612764.0,WAS,step back,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,26.29,Missed,,,,,,,,,,,,,,,,,,
121,PT01M42.00S,2023-12-27T00:30:25.0Z,1,REGULAR,rebound,offensive,[],1641731,,,1610612764,21,26,2023-12-27T00:30:31Z,1210000,False,,,0,,B. Coulibaly REBOUND (Off:1 Def:1),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Right Center,,,,,,,120.0,2.0,1.0,1.0,,,,,,,,,,
122,PT01M38.00S,2023-12-27T00:30:28.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630557,90.3580814717477,48.03921568627451,1610612764,23,26,2023-12-27T00:32:07Z,1220000,False,-10.0,38.0,1,right,C. Kispert driving floating bank Jump Shot (4 PTS) (B. Coulibaly 1 AST),"[1630557, 1641731]",1610612764.0,WAS,driving floating bank,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,3.93,Made,4.0,B. Coulibaly,1641731.0,1.0,,,,,,,,,,,,,,
124,PT01M28.00S,2023-12-27T00:30:39.8Z,1,REGULAR,3pt,Jump Shot,[],1631094,32.276609724047304,73.52941176470588,1610612753,23,26,2023-12-27T00:32:39Z,1240000,False,-118.0,251.0,1,left,MISS P. Banchero 27' pullup 3PT,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,27.71,Missed,,,,,,,,,,,,,,,,,,
125,PT01M24.00S,2023-12-27T00:30:43.8Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,23,26,2023-12-27T00:30:46Z,1250000,False,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,,,,,,,124.0,1.0,1.0,0.0,,,,,,,,,,
126,PT01M19.00S,2023-12-27T00:30:48.9Z,1,REGULAR,3pt,Jump Shot,[],201568,66.70499342969777,33.088235294117645,1610612764,26,26,2023-12-27T00:30:58Z,1260000,False,-85.0,260.0,1,right,D. Gallinari 27' 3PT  (3 PTS) (D. Wright 1 AST),"[201568, 1626153]",1610612764.0,WAS,,,,Gallinari,D. Gallinari,,,,,Above the Break 3,24+ Center,27.39,Made,3.0,D. Wright,1626153.0,1.0,,,,,,,,,,,,,,
128,PT01M16.00S,2023-12-27T00:30:55.1Z,1,REGULAR,timeout,full,['team'],0,,,1610612753,26,26,2023-12-27T00:30:55Z,1280000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M16.00S,2023-12-27T00:32:01.7Z,1,REGULAR,substitution,out,[],1628398,,,1610612753,26,26,2023-12-27T00:32:18Z,1290000,False,,,0,,SUB out: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT01M16.00S,2023-12-27T00:32:01.7Z,1,REGULAR,substitution,out,[],1630591,,,1610612753,26,26,2023-12-27T00:32:18Z,1300000,False,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT01M16.00S,2023-12-27T00:32:01.7Z,1,REGULAR,substitution,out,[],1631094,,,1610612753,26,26,2023-12-27T00:32:18Z,1310000,False,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
