actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
19,PT10M42.00S,2024-01-15T20:15:02.2Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,3,0,2024-01-15T20:15:03Z,190000,False,,,0,,J. Duren REBOUND (Off:0 Def:2),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Right Corner 3,24+ Right,,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,
20,PT10M35.00S,2024-01-15T20:15:08.6Z,1,REGULAR,3pt,Jump Shot,[],1630165,31.32391590013141,64.4607843137255,1610612765,3,0,2024-01-15T20:15:16Z,200000,False,-72.0,242.0,1,left,MISS K. Hayes 25' 3PT,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,,25.25,,,,,,,
21,PT10M33.00S,2024-01-15T20:15:10.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,3,0,2024-01-15T20:15:16Z,210000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,20.0,,,,,,,,,,,,
23,PT10M18.00S,2024-01-15T20:15:39.8Z,1,REGULAR,turnover,out-of-bounds,[],1630166,,,1610612764,3,0,2024-01-15T20:15:50Z,230000,False,,,0,,D. Avdija lost ball out-of-bounds TURNOVER (1 TO),[1630166],1610612764.0,WAS,lost ball,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,1626301.0,,,,,,,,,,,1.0,,,,,,,,
24,PT10M10.00S,2024-01-15T20:15:49.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631093,31.32391590013141,68.87254901960785,1610612765,3,3,2024-01-15T20:17:03Z,240000,False,-94.0,242.0,1,left,J. Ivey 25' 3PT  (3 PTS) (J. Duren 1 AST),"[1631093, 1631105]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,,,,,,25.97,J. Duren,1631105.0,1.0,,,,
27,PT09M49.00S,2024-01-15T20:16:26.4Z,1,REGULAR,3pt,Jump Shot,[],1626145,74.03088042049934,15.931372549019613,1610612764,3,3,2024-01-15T20:16:32Z,260000,False,-170.0,192.0,1,right,MISS T. Jones 25' pullup 3PT,[1626145],1610612764.0,WAS,pullup,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,,25.63,,,,,,,
28,PT09M46.00S,2024-01-15T20:16:29.4Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,3,3,2024-01-15T20:16:32Z,270000,False,,,0,,J. Ivey REBOUND (Off:0 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,
29,PT09M40.00S,2024-01-15T20:16:35.8Z,1,REGULAR,2pt,Jump Shot,[],1631093,20.942838370565042,38.23529411764706,1610612765,3,5,2024-01-15T20:16:40Z,280000,False,59.0,144.0,1,left,J. Ivey 15' pullup Jump Shot (5 PTS),[1631093],1610612765.0,DET,pullup,,,Ivey,J. Ivey,,,,,Mid-Range,8-16 Center,,,,,,Made,5.0,,,,,,15.59,,,,,,,
30,PT09M14.00S,2024-01-15T20:17:01.0Z,1,REGULAR,2pt,Jump Shot,[],1626145,77.973061760841,66.91176470588235,1610612764,3,5,2024-01-15T20:17:05Z,290000,False,85.0,155.0,1,right,MISS T. Jones 17' pullup Shot,[1626145],1610612764.0,WAS,pullup,,,Jones,T. Jones,,,,,Mid-Range,16-24 Right Center,,,,,,Missed,,,,,,,17.62,,,,,,,
31,PT09M12.00S,2024-01-15T20:17:03.0Z,1,REGULAR,rebound,defensive,[],1630165,,,1610612765,3,5,2024-01-15T20:17:05Z,300000,False,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Mid-Range,16-24 Right Center,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,
32,PT09M02.00S,2024-01-15T20:17:14.3Z,1,REGULAR,3pt,Jump Shot,[],1631093,33.952036793692514,45.58823529411765,1610612765,3,8,2024-01-15T20:17:20Z,310000,False,22.0,267.0,1,left,J. Ivey 26' 3PT  (8 PTS) (K. Hayes 1 AST),"[1631093, 1630165]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Center,,,,,,Made,8.0,,,,,,26.75,K. Hayes,1630165.0,1.0,,,,
34,PT08M48.00S,2024-01-15T20:17:26.8Z,1,REGULAR,2pt,Jump Shot,[],1628398,76.65900131406045,27.941176470588232,1610612764,3,8,2024-01-15T20:17:31Z,330000,False,-110.0,167.0,1,right,MISS K. Kuzma 20' pullup Shot,[1628398],1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,Mid-Range,16-24 Left Center,,,,,,Missed,,,,,,,20.01,,,,,,,
35,PT08M45.00S,2024-01-15T20:17:29.8Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,3,8,2024-01-15T20:17:31Z,340000,False,,,0,,J. Duren REBOUND (Off:0 Def:3),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,16-24 Left Center,,,,,,,,34.0,3.0,3.0,0.0,,,,,,,,,
36,PT08M44.00S,2024-01-15T20:17:34.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631105,6.356767411300922,45.34313725490197,1610612765,3,10,2024-01-15T20:19:27Z,350000,False,23.0,7.0,1,left,J. Duren running Layup (2 PTS),[1631105],1610612765.0,DET,running,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,,2.44,,,,,,,
37,PT08M44.00S,2024-01-15T20:17:36.4Z,1,REGULAR,foul,personal,['1freethrow'],1629673,,,1610612765,3,10,2024-01-15T20:17:59Z,360000,False,,,0,,J. Poole shooting personal FOUL (1 PF) (Duren 1 FT),"[1629673, 1631105]",1610612764.0,WAS,shooting,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,1628484.0,1.0,0.0,Duren,1631105.0,,,,,,,,,,,,,,,
39,PT08M44.00S,2024-01-15T20:18:10.0Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1631105,,,1610612765,3,10,2024-01-15T20:18:12Z,380000,False,,,0,,MISS J. Duren Free Throw 1 of 1,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
40,PT08M41.00S,2024-01-15T20:18:13.0Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,3,10,2024-01-15T20:18:12Z,390000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,
41,PT08M30.00S,2024-01-15T20:18:23.1Z,1,REGULAR,2pt,Jump Shot,[],1629673,79.54993429697765,61.029411764705884,1610612764,3,10,2024-01-15T20:18:31Z,400000,False,55.0,140.0,1,right,MISS J. Poole 15' floating Shot,[1629673],1610612764.0,WAS,floating,,,Poole,J. Poole,,,,,Mid-Range,8-16 Center,,,,,,Missed,,,,,,,15.02,,,,,,,
42,PT08M28.00S,2024-01-15T20:18:25.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,3,10,2024-01-15T20:18:31Z,410000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Mid-Range,8-16 Center,,,,,,,,41.0,,,,,,,,,,,,
43,PT08M28.00S,2024-01-15T20:18:29.9Z,1,REGULAR,foul,personal,[],1631105,,,1610612764,3,10,2024-01-15T20:18:37Z,420000,False,,,0,,J. Duren loose ball personal FOUL (1 PF),"[1631105, 1629655]",1610612765.0,DET,loose ball,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,201246.0,1.0,0.0,Gafford,1629655.0,,,,,,,,,,,,,,,
45,PT08M28.00S,2024-01-15T20:18:50.0Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612764,3,10,2024-01-15T20:19:06Z,440000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612764.0,WAS,,,,,,,,,,,,201246.0,,,,,,,,,,,,,,,,,,,
46,PT08M19.00S,2024-01-15T20:19:05.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630166,85.06898817345598,44.36274509803921,1610612764,3,10,2024-01-15T20:19:09Z,450000,False,-28.0,88.0,1,right,MISS D. Avdija 9' turnaround Shot,[1630166],1610612764.0,WAS,turnaround,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,,9.23,,,,,,,
47,PT08M16.00S,2024-01-15T20:19:08.0Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,3,10,2024-01-15T20:19:09Z,460000,False,,,0,,J. Duren REBOUND (Off:0 Def:4),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,46.0,4.0,4.0,0.0,,,,,,,,,
48,PT08M08.00S,2024-01-15T20:19:18.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,7.013797634691201,58.33333333333333,1610612765,3,10,2024-01-15T20:21:12Z,470000,False,-42.0,13.0,1,left,MISS J. Ivey driving Layup - blocked,"[1631093, 1629655]",1610612765.0,DET,driving,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,,4.38,,,,Gafford,1629655.0,,
49,PT08M08.00S,2024-01-15T20:19:18.0Z,1,REGULAR,block,,[],1629655,,,1610612765,3,10,2024-01-15T20:19:20Z,480000,False,,,0,,D. Gafford BLOCK (1 BLK),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
50,PT08M06.00S,2024-01-15T20:19:20.0Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,3,10,2024-01-15T20:21:12Z,490000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,
51,PT07M59.00S,2024-01-15T20:19:24.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630166,92.69053876478318,48.774509803921575,1610612764,5,10,2024-01-15T20:19:33Z,500000,False,-6.0,16.0,1,right,D. Avdija running DUNK (5 PTS) (T. Jones 1 AST),"[1630166, 1626145]",1610612764.0,WAS,running,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,Made,5.0,,,,,,1.73,T. Jones,1626145.0,1.0,,,,
53,PT07M43.00S,2024-01-15T20:19:40.1Z,1,REGULAR,3pt,Jump Shot,[],1631093,22.651116951379763,13.480392156862735,1610612765,5,10,2024-01-15T20:19:45Z,520000,False,183.0,160.0,1,left,MISS J. Ivey 24' 3PT,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,,24.3,,,,,,,
54,PT07M40.00S,2024-01-15T20:19:43.1Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,5,10,2024-01-15T20:19:45Z,530000,False,,,0,,J. Duren REBOUND (Off:1 Def:4),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Right Center,,,,,,,,53.0,5.0,4.0,1.0,,,,,,,,,
55,PT07M38.00S,2024-01-15T20:19:45.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1631105,12.66425755584757,51.470588235294116,1610612765,5,12,2024-01-15T20:19:51Z,540000,False,-7.0,67.0,1,left,J. Duren 6' floating Jump Shot (4 PTS),[1631105],1610612765.0,DET,floating,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,4.0,,,,,,6.69,,,,,,,
56,PT07M13.00S,2024-01-15T20:20:10.0Z,1,REGULAR,3pt,Jump Shot,[],1630166,63.78120893561104,39.21568627450981,1610612764,8,12,2024-01-15T20:20:14Z,550000,False,-54.0,288.0,1,right,D. Avdija 29' 3PT  (8 PTS) (J. Poole 1 AST),"[1630166, 1629673]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,,,,,,Made,8.0,,,,,,29.3,J. Poole,1629673.0,1.0,,,,
58,PT06M54.00S,2024-01-15T20:20:30.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,5.436925098554539,48.0392156862745,1610612765,8,14,2024-01-15T20:20:37Z,570000,False,10.0,-1.0,1,left,I. Stewart driving Layup (2 PTS) (J. Duren 2 AST),"[1630191, 1631105]",1610612765.0,DET,driving,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,,0.99,J. Duren,1631105.0,2.0,,,,
60,PT06M54.00S,2024-01-15T20:20:35.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,8,14,2024-01-15T20:20:35Z,590000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M54.00S,2024-01-15T20:20:36.2Z,1,REGULAR,substitution,out,[],1630166,,,1610612764,8,14,2024-01-15T20:23:20Z,600000,False,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M54.00S,2024-01-15T20:20:36.2Z,1,REGULAR,substitution,in,[],1641731,,,1610612764,8,14,2024-01-15T20:23:20Z,610000,False,,,0,,SUB in: B. Coulibaly,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M37.00S,2024-01-15T20:23:47.2Z,1,REGULAR,3pt,Jump Shot,[],1626145,91.77069645203679,3.4313725490196134,1610612764,8,14,2024-01-15T20:23:52Z,620000,False,-233.0,25.0,1,right,MISS T. Jones 3PT,[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,,,,23.41,,,,,,,
64,PT06M33.00S,2024-01-15T20:23:51.2Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,8,14,2024-01-15T20:23:52Z,630000,False,,,0,,J. Duren REBOUND (Off:1 Def:5),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Left Corner 3,24+ Left,,,,,,,,63.0,6.0,5.0,1.0,,,,,,,,,
65,PT06M22.00S,2024-01-15T20:24:02.1Z,1,REGULAR,turnover,bad pass,[],1631093,,,1610612765,8,14,2024-01-15T20:24:07Z,640000,False,,,0,,J. Ivey bad pass TURNOVER (1 TO),"[1631093, 1628398]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,1.0,,,,,,,Kuzma,1628398.0
66,PT06M22.00S,2024-01-15T20:24:02.1Z,1,REGULAR,steal,,[],1628398,,,1610612764,8,14,2024-01-15T20:24:05Z,650000,False,,,0,,K. Kuzma STEAL (1 STL),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
67,PT06M17.00S,2024-01-15T20:24:06.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1626145,93.08475689881735,51.470588235294116,1610612764,10,14,2024-01-15T20:24:56Z,660000,False,7.0,13.0,1,right,T. Jones running Layup (2 PTS) (K. Kuzma 1 AST),"[1626145, 1628398]",1610612764.0,WAS,running,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,,1.45,K. Kuzma,1628398.0,1.0,,,,
69,PT06M07.00S,2024-01-15T20:24:20.9Z,1,REGULAR,foul,offensive,[],1631105,,,1610612765,10,14,2024-01-15T20:24:31Z,680000,False,,,0,,J. Duren offensive FOUL (2 PF),"[1631105, 1629655]",1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),8-16 Center,201246.0,2.0,0.0,Gafford,1629655.0,,,,,,,,,,,,,,,
71,PT06M07.00S,2024-01-15T20:24:20.9Z,1,REGULAR,turnover,offensive foul,[],1631105,,,1610612765,10,14,2024-01-15T20:24:31Z,700000,False,,,0,,J. Duren offensive foul TURNOVER (1 TO),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),8-16 Center,201246.0,,,,,,,,,,,1.0,,,,,,,,
72,PT06M07.00S,2024-01-15T20:24:32.6Z,1,REGULAR,substitution,out,[],1631105,,,1610612764,10,14,2024-01-15T20:24:40Z,710000,False,,,0,,SUB out: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M07.00S,2024-01-15T20:24:32.6Z,1,REGULAR,substitution,in,[],1630164,,,1610612764,10,14,2024-01-15T20:24:40Z,720000,False,,,0,,SUB in: J. Wiseman,[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M56.00S,2024-01-15T20:24:56.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629673,84.01773981603154,41.17647058823529,1610612764,12,14,2024-01-15T20:25:01Z,730000,False,-44.0,98.0,1,right,J. Poole 10' driving floating Jump Shot (2 PTS),[1629673],1610612764.0,WAS,driving floating,,,Poole,J. Poole,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,,,,,,10.72,,,,,,,
75,PT05M43.00S,2024-01-15T20:25:08.1Z,1,REGULAR,2pt,Jump Shot,[],1628995,15.55519053876479,71.32352941176471,1610612765,12,14,2024-01-15T20:25:13Z,740000,False,-107.0,94.0,1,left,MISS K. Knox II 14' pullup Shot,[1628995],1610612765.0,DET,pullup,,,Knox II,K. Knox II,,,,,Mid-Range,8-16 Left,,,,,,Missed,,,,,,,14.19,,,,,,,
76,PT05M40.00S,2024-01-15T20:25:11.1Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612764,12,14,2024-01-15T20:25:13Z,750000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,Mid-Range,8-16 Left,,,,,,,,75.0,1.0,1.0,0.0,,,,,,,,,
77,PT05M37.00S,2024-01-15T20:25:14.9Z,1,REGULAR,3pt,Jump Shot,[],1629673,67.32917214191853,26.960784313725497,1610612764,12,14,2024-01-15T20:25:29Z,760000,False,-115.0,255.0,1,right,MISS J. Poole 27' 3PT,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,,27.94,,,,,,,
78,PT05M34.00S,2024-01-15T20:25:18.7Z,1,REGULAR,rebound,offensive,[],1641731,,,1610612764,12,14,2024-01-15T20:25:18Z,770000,False,,,0,,B. Coulibaly REBOUND (Off:1 Def:0),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Left Center,,,,,,,,77.0,1.0,0.0,1.0,,,,,,,,,
79,PT05M31.00S,2024-01-15T20:25:21.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626145,94.00459921156373,4.166666666666657,1610612764,15,14,2024-01-15T20:25:31Z,780000,False,-229.0,4.0,1,right,T. Jones 3PT  (5 PTS) (D. Gafford 1 AST),"[1626145, 1629655]",1610612764.0,WAS,,,,Jones,T. Jones,,,,,Left Corner 3,24+ Left,,,,,,Made,5.0,,,,,,22.92,D. Gafford,1629655.0,1.0,,,,
81,PT05M18.00S,2024-01-15T20:25:34.0Z,1,REGULAR,3pt,Jump Shot,[],1630191,26.593298291721425,85.04901960784314,1610612765,15,14,2024-01-15T20:25:49Z,800000,False,-175.0,197.0,1,left,MISS I. Stewart 26' 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,,26.4,,,,,,,
82,PT05M16.00S,2024-01-15T20:25:36.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,15,14,2024-01-15T20:25:49Z,810000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,81.0,,,,,,,,,,,,
83,PT05M16.00S,2024-01-15T20:25:43.3Z,1,REGULAR,foul,personal,[],1630164,,,1610612764,15,14,2024-01-15T20:25:47Z,820000,False,,,0,,J. Wiseman loose ball personal FOUL (1 PF),"[1630164, 1629655]",1610612765.0,DET,loose ball,,,Wiseman,J. Wiseman,,,,,Above the Break 3,24+ Left Center,201246.0,1.0,0.0,Gafford,1629655.0,,,,,,,,,,,,,,,
85,PT05M16.00S,2024-01-15T20:25:48.8Z,1,REGULAR,substitution,out,[],1630165,,,1610612764,15,14,2024-01-15T20:25:59Z,840000,False,,,0,,SUB out: K. Hayes,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M16.00S,2024-01-15T20:25:48.8Z,1,REGULAR,substitution,in,[],202692,,,1610612764,15,14,2024-01-15T20:25:59Z,850000,False,,,0,,SUB in: A. Burks,[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,,
