actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
26,PT10M11.00S,2022-01-01T23:43:35.0Z,1,REGULAR,steal,,[],1630529,,,1610612740,3,0,2022-01-01T23:43:37Z,260000,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M05.00S,2022-01-01T23:43:39.9Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",202066,23.99802890932983,85.29411764705883,1610612740,3,0,2022-01-01T23:44:16Z,270000,-176.0,173.0,1,left,MISS G. Temple 24' running 3PT,[202066],1610612740.0,NOP,running,,,Temple,G. Temple,,,,,24.72,Missed,,,,,,,,,,,,,,,,,,
28,PT10M00.00S,2022-01-01T23:43:44.9Z,1,REGULAR,rebound,offensive,[],1626195,,,1610612740,3,0,2022-01-01T23:43:52Z,280000,,,0,,W. Hernangomez REBOUND (Off:2 Def:0),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,27.0,2.0,0.0,2.0,,,,,,,,,,,,,,
29,PT10M00.00S,2022-01-01T23:43:45.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626195,5.590000152587891,50.0,1610612740,3,2,2022-01-01T23:43:45Z,290000,0.0,0.0,1,left,W. Hernangomez tip Layup (2 PTS),[1626195],1610612740.0,NOP,tip,,,Hernangomez,W. Hernangomez,,,,,0.0,Made,,,,,,,,2.0,,,,,,,,,,
30,PT09M50.00S,2022-01-01T23:43:55.3Z,1,REGULAR,turnover,bad pass,[],201950,,,1610612749,3,2,2022-01-01T23:44:04Z,300000,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[201950, 1630529]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,1.0,Jones,1630529.0,,,,,,,,,,,
31,PT09M50.00S,2022-01-01T23:43:55.3Z,1,REGULAR,steal,,[],1630529,,,1610612740,3,2,2022-01-01T23:43:57Z,310000,,,0,,H. Jones STEAL (2 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M42.00S,2022-01-01T23:44:03.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202066,16.770696452036795,94.85294117647058,1610612740,3,5,2022-01-01T23:44:10Z,320000,-224.0,105.0,1,left,G. Temple 24' 3PT  (3 PTS) (D. Graham 1 AST),"[202066, 1628984]",1610612740.0,NOP,,,,Temple,G. Temple,,,,,24.77,Made,,,,,,,,3.0,D. Graham,1628984.0,1.0,,,,,,,
34,PT09M23.00S,2022-01-01T23:44:22.0Z,1,REGULAR,2pt,Jump Shot,[],1626171,83.919185282523,32.35294117647059,1610612749,3,5,2022-01-01T23:52:18Z,340000,-88.0,99.0,1,right,MISS B. Portis 13' turnaround fadeaway Shot,[1626171],1610612749.0,MIL,turnaround fadeaway,,,Portis,B. Portis,,,,,13.24,Missed,,,,,,,,,,,,,,,,,,
35,PT09M20.00S,2022-01-01T23:44:25.0Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612740,3,5,2022-01-01T23:52:18Z,350000,,,0,,D. Graham REBOUND (Off:0 Def:2),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,,
36,PT09M17.00S,2022-01-01T23:44:30.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628404,9.937582128777924,49.50980392156863,1610612740,3,5,2022-01-01T23:44:38Z,360000,2.0,41.0,1,left,MISS J. Hart running Layup - blocked,"[1628404, 201950]",1610612740.0,NOP,running,,,Hart,J. Hart,,,,,4.1,Missed,,,,,,,,,,,,Holiday,201950.0,,,,,
37,PT09M17.00S,2022-01-01T23:44:30.0Z,1,REGULAR,block,,[],201950,,,1610612740,3,5,2022-01-01T23:44:33Z,370000,,,0,,J. Holiday BLOCK (1 BLK),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M17.00S,2022-01-01T23:44:30.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,3,5,2022-01-01T23:44:38Z,380000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,
39,PT09M17.00S,2022-01-01T23:44:35.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,3,5,2022-01-01T23:44:35Z,390000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M07.00S,2022-01-01T23:44:55.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202066,16.90210249671485,20.098039215686274,1610612740,3,5,2022-01-01T23:44:59Z,400000,150.0,106.0,1,left,MISS G. Temple 18' pullup Shot,[202066],1610612740.0,NOP,pullup,,,Temple,G. Temple,,,,,18.35,Missed,,,,,,,,,,,,,,,,,,
41,PT09M04.00S,2022-01-01T23:44:58.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,3,5,2022-01-01T23:44:59Z,410000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,40.0,3.0,3.0,0.0,,,,,,,,,,,,,,
42,PT08M57.00S,2022-01-01T23:45:04.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,92.32917214191852,53.431372549019606,1610612749,5,5,2022-01-01T23:45:08Z,420000,17.0,20.0,1,right,G. Antetokounmpo driving finger roll Layup (2 PTS),[203507],1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,2.61,Made,,,,,,,,2.0,,,,,,,,,,
43,PT08M41.00S,2022-01-01T23:45:20.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626195,13.222733245729303,47.794117647058826,1610612740,5,5,2022-01-01T23:45:25Z,430000,11.0,72.0,1,left,MISS W. Hernangomez 7' turnaround Hook,[1626195],1610612740.0,NOP,turnaround,,,Hernangomez,W. Hernangomez,,,,,7.26,Missed,,,,,,,,,,,,,,,,,,
44,PT08M38.00S,2022-01-01T23:45:23.8Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,5,5,2022-01-01T23:45:25Z,440000,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,,,,,,,
45,PT08M30.00S,2022-01-01T23:45:31.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,91.27792378449409,53.92156862745098,1610612749,7,5,2022-01-01T23:45:37Z,450000,20.0,29.0,1,right,G. Allen cutting Layup (5 PTS) (J. Holiday 1 AST),"[1628960, 201950]",1610612749.0,MIL,cutting,,,Allen,G. Allen,,,,,3.54,Made,,,,,,,,5.0,J. Holiday,201950.0,1.0,,,,,,,
47,PT08M02.00S,2022-01-01T23:45:59.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202066,16.770696452036795,47.05882352941176,1610612740,7,5,2022-01-01T23:46:10Z,470000,15.0,105.0,1,left,MISS G. Temple 10' fadeaway Shot,[202066],1610612740.0,NOP,fadeaway,,,Temple,G. Temple,,,,,10.61,Missed,,,,,,,,,,,,,,,,,,
48,PT07M59.00S,2022-01-01T23:46:02.7Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,7,5,2022-01-01T23:46:10Z,480000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,,
49,PT07M58.00S,2022-01-01T23:46:06.9Z,1,REGULAR,foul,personal,['2freethrow'],1630529,,,1610612749,7,5,2022-01-01T23:46:26Z,490000,,,0,,H. Jones shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1630529, 203507]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,200834.0,1.0,0.0,Antetokounmpo,203507.0
51,PT07M58.00S,2022-01-01T23:46:51.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203507,,,1610612749,8,5,2022-01-01T23:46:51Z,510000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (3 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,,,,,,3.0,,,,,,,,,,
52,PT07M58.00S,2022-01-01T23:46:51.9Z,1,REGULAR,substitution,out,[],1626195,,,1610612749,8,5,2022-01-01T23:46:59Z,520000,,,0,,SUB out: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M58.00S,2022-01-01T23:46:51.9Z,1,REGULAR,substitution,in,[],1629637,,,1610612749,8,5,2022-01-01T23:46:59Z,530000,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M58.00S,2022-01-01T23:47:18.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203507,,,1610612749,9,5,2022-01-01T23:47:18Z,540000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (4 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,,,,,,4.0,,,,,,,,,,
55,PT07M43.00S,2022-01-01T23:47:33.5Z,1,REGULAR,3pt,Jump Shot,[],1628404,33.722076215505915,29.901960784313726,1610612740,9,5,2022-01-01T23:47:38Z,550000,100.0,264.0,1,left,MISS J. Hart 28' 3PT,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,28.29,Missed,,,,,,,,,,,,,,,,,,
56,PT07M39.00S,2022-01-01T23:47:37.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,9,5,2022-01-01T23:47:38Z,560000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:4),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,55.0,4.0,4.0,0.0,,,,,,,,,,,,,,
57,PT07M27.00S,2022-01-01T23:47:48.9Z,1,REGULAR,3pt,Jump Shot,[],1628960,74.45795006570303,82.1078431372549,1610612749,9,5,2022-01-01T23:47:55Z,570000,161.0,188.0,1,right,MISS G. Allen 24' 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,24.69,Missed,,,,,,,,,,,,,,,,,,
58,PT07M25.00S,2022-01-01T23:47:51.5Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,9,5,2022-01-01T23:47:51Z,580000,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,,,
59,PT07M25.00S,2022-01-01T23:47:54.8Z,1,REGULAR,foul,personal,[],203507,,,1610612740,9,5,2022-01-02T00:52:30Z,590000,,,0,,G. Antetokounmpo take personal FOUL (1 PF),"[203507, 1628404]",1610612749.0,MIL,take,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,202053.0,1.0,0.0,Hart,1628404.0
61,PT07M12.00S,2022-01-01T23:48:20.5Z,1,REGULAR,3pt,Jump Shot,[],1630529,30.17411300919842,20.833333333333336,1610612740,9,5,2022-01-01T23:48:25Z,610000,146.0,231.0,1,left,MISS H. Jones 27' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,27.32,Missed,,,,,,,,,,,,,,,,,,
62,PT07M09.00S,2022-01-01T23:48:23.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,9,5,2022-01-01T23:48:25Z,620000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:5),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,61.0,5.0,5.0,0.0,,,,,,,,,,,,,,
63,PT07M04.00S,2022-01-01T23:48:31.1Z,1,REGULAR,turnover,out-of-bounds,[],203507,,,1610612749,9,5,2022-01-01T23:48:38Z,630000,,,0,,G. Antetokounmpo bad pass out-of-bounds TURNOVER (1 TO),[203507],1610612749.0,MIL,bad pass,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,1.0,,,,,,,,,202053.0,,,,
64,PT06M45.00S,2022-01-01T23:48:58.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202066,8.229303547963205,1.9607843137254901,1610612740,9,8,2022-01-01T23:49:03Z,640000,240.0,25.0,1,left,G. Temple 24' 3PT  (6 PTS) (J. Hart 1 AST),"[202066, 1628404]",1610612740.0,NOP,,,,Temple,G. Temple,,,,,24.15,Made,,,,,,,,6.0,J. Hart,1628404.0,1.0,,,,,,,
66,PT06M29.00S,2022-01-01T23:49:14.0Z,1,REGULAR,3pt,Jump Shot,[],1626171,94.56307490144546,95.34313725490196,1610612749,9,8,2022-01-01T23:49:21Z,660000,227.0,-1.0,1,right,MISS B. Portis 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,22.67,Missed,,,,,,,,,,,,,,,,,,
67,PT06M27.00S,2022-01-01T23:49:16.0Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,9,8,2022-01-01T23:49:21Z,670000,,,0,,J. Hart REBOUND (Off:0 Def:3),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,66.0,3.0,3.0,0.0,,,,,,,,,,,,,,
68,PT06M23.00S,2022-01-01T23:49:20.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1628404,12.565703022339028,46.07843137254902,1610612740,9,8,2022-01-01T23:49:38Z,680000,20.0,66.0,1,left,MISS J. Hart 6' running pullup Shot - blocked,"[1628404, 1628960]",1610612740.0,NOP,running pullup,,,Hart,J. Hart,,,,,6.85,Missed,,,,,,,,,,,,Allen,1628960.0,,,,,
69,PT06M23.00S,2022-01-01T23:49:20.5Z,1,REGULAR,block,,[],1628960,,,1610612740,9,8,2022-01-01T23:49:22Z,690000,,,0,,G. Allen BLOCK (1 BLK),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M20.00S,2022-01-01T23:49:23.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,9,8,2022-01-01T23:49:38Z,700000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:6),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,68.0,6.0,6.0,0.0,,,,,,,,,,,,,,
71,PT06M20.00S,2022-01-01T23:49:32.1Z,1,REGULAR,foul,personal,['2freethrow'],1628984,,,1610612749,9,8,2022-01-01T23:49:52Z,710000,,,0,,D. Graham shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1628984, 203507]",1610612740.0,NOP,shooting,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,202053.0,1.0,0.0,Antetokounmpo,203507.0
75,PT06M20.00S,2022-01-01T23:49:48.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,9,8,2022-01-01T23:49:48Z,730000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M20.00S,2022-01-01T23:51:53.7Z,1,REGULAR,substitution,out,[],1626171,,,1610612749,9,8,2022-01-01T23:52:20Z,740000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M20.00S,2022-01-01T23:51:53.7Z,1,REGULAR,substitution,out,[],1626192,,,1610612749,9,8,2022-01-01T23:52:20Z,750000,,,0,,SUB out: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M20.00S,2022-01-01T23:51:53.7Z,1,REGULAR,substitution,in,[],202326,,,1610612749,9,8,2022-01-01T23:52:20Z,760000,,,0,,SUB in: D. Cousins,[202326],1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M20.00S,2022-01-01T23:51:53.7Z,1,REGULAR,substitution,in,[],202083,,,1610612749,9,8,2022-01-01T23:52:20Z,770000,,,0,,SUB in: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M20.00S,2022-01-01T23:52:43.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203507,,,1610612749,10,8,2022-01-01T23:52:43Z,780000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (5 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,,,,,,5.0,,,,,,,,,,
81,PT06M20.00S,2022-01-01T23:52:43.6Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203507,,,1610612749,10,8,2022-01-01T23:53:07Z,790000,,,0,,MISS G. Antetokounmpo Free Throw 2 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Missed,,,,,,,,,,,,,,,,,,
82,PT06M18.00S,2022-01-01T23:52:45.6Z,1,REGULAR,rebound,defensive,[],202066,,,1610612740,10,8,2022-01-01T23:53:07Z,800000,,,0,,G. Temple REBOUND (Off:0 Def:1),[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,,,,,,
83,PT06M07.00S,2022-01-01T23:53:17.5Z,1,REGULAR,3pt,Jump Shot,[],1628404,9.017739816031538,96.56862745098039,1610612740,10,8,2022-01-01T23:53:22Z,810000,-233.0,32.0,1,left,MISS J. Hart 3PT,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,23.5,Missed,,,,,,,,,,,,,,,,,,
84,PT06M04.00S,2022-01-01T23:53:20.5Z,1,REGULAR,rebound,defensive,[],202326,,,1610612749,10,8,2022-01-01T23:53:22Z,820000,,,0,,D. Cousins REBOUND (Off:0 Def:1),[202326],1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,,,83.0,1.0,1.0,0.0,,,,,,,,,,,,,,
