actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
43,PT08M07.00S,2022-04-02T00:16:27.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628975,92.9862023653088,50.73529411764706,1610612749,12,12,2022-04-02T00:16:32Z,430000,4.0,13.0,1,right,J. Carter driving reverse Layup (2 PTS),[1628975],1610612749.0,MIL,driving reverse,,,Carter,J. Carter,,,,,1.39,Made,2.0,,,,,,,,,,,,,,,,,
44,PT07M46.00S,2022-04-02T00:16:49.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203496,8.09789750328515,46.07843137254902,1610612746,12,14,2022-04-02T00:16:57Z,440000,20.0,24.0,1,left,R. Covington turnaround bank Jump Shot (5 PTS) (I. Zubac 2 AST),"[203496, 1627826]",1610612746.0,LAC,turnaround bank,,,Covington,R. Covington,,,,,3.07,Made,5.0,I. Zubac,1627826.0,2.0,,,,,,,,,,,,,,
46,PT07M33.00S,2022-04-02T00:17:02.1Z,1,REGULAR,3pt,Jump Shot,[],1626192,68.67608409986859,26.715686274509803,1610612749,12,14,2022-04-02T00:17:09Z,460000,-116.0,242.0,1,right,MISS P. Connaughton 26' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,26.84,Missed,,,,,,,,,,,,,,,,,,
47,PT07M31.00S,2022-04-02T00:17:05.1Z,1,REGULAR,rebound,offensive,[],1630572,,,1610612749,12,14,2022-04-02T00:17:05Z,470000,,,0,,S. Mamukelashvili REBOUND (Off:1 Def:0),[1630572],1610612749.0,MIL,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,46.0,1.0,0.0,1.0,,,,,
48,PT07M31.00S,2022-04-02T00:17:08.1Z,1,REGULAR,turnover,out-of-bounds,[],1629670,,,1610612749,12,14,2022-04-02T00:17:17Z,480000,,,0,,J. Nwora step out-of-bounds TURNOVER (1 TO),[1629670],1610612749.0,MIL,step,,,Nwora,J. Nwora,,,,,,,,,,,1363.0,,,,,,,,,1.0,,,,
49,PT07M11.00S,2022-04-02T00:17:35.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627826,6.915243101182654,49.50980392156863,1610612746,12,16,2022-04-02T00:17:40Z,490000,2.0,13.0,1,left,I. Zubac Layup (2 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,1.27,Made,2.0,,,,,,,,,,,,,,,,,
50,PT06M58.00S,2022-04-02T00:17:48.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626171,89.17542706964521,47.794117647058826,1610612749,14,16,2022-04-02T00:18:27Z,500000,-11.0,49.0,1,right,B. Portis floating Jump Shot (8 PTS) (J. Carter 3 AST),"[1626171, 1628975]",1610612749.0,MIL,floating,,,Portis,B. Portis,,,,,5.05,Made,8.0,J. Carter,1628975.0,3.0,,,,,,,,,,,,,,
52,PT06M58.00S,2022-04-02T00:17:56.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,14,16,2022-04-02T00:17:56Z,520000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M58.00S,2022-04-02T00:20:31.8Z,1,REGULAR,substitution,out,[],1626192,,,1610612746,14,16,2022-04-02T00:21:02Z,530000,,,0,,SUB out: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M58.00S,2022-04-02T00:20:31.8Z,1,REGULAR,substitution,in,[],201588,,,1610612746,14,16,2022-04-02T00:21:02Z,540000,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M39.00S,2022-04-02T00:21:16.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629611,17.559132720105126,47.794117647058826,1610612746,14,18,2022-04-02T00:21:22Z,550000,11.0,113.0,1,left,T. Mann 11' fadeaway Jump Shot (2 PTS),[1629611],1610612746.0,LAC,fadeaway,,,Mann,T. Mann,,,,,11.31,Made,2.0,,,,,,,,,,,,,,,,,
56,PT06M23.00S,2022-04-02T00:21:32.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201588,80.1084099868594,36.51960784313725,1610612749,14,18,2022-04-02T00:22:12Z,560000,-67.0,134.0,1,right,MISS G. Hill 15' driving floating Shot,[201588],1610612749.0,MIL,driving floating,,,Hill,G. Hill,,,,,15.04,Missed,,,,,,,,,,,,,,,,,,
57,PT06M20.00S,2022-04-02T00:21:35.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,14,18,2022-04-02T00:21:37Z,570000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,56.0,1.0,1.0,0.0,,,,,
58,PT06M08.00S,2022-04-02T00:21:47.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,10.988830486202366,47.30392156862745,1610612746,14,18,2022-04-02T00:21:51Z,580000,13.0,51.0,1,left,MISS I. Zubac Layup,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,5.26,Missed,,,,,,,,,,,,,,,,,,
59,PT06M06.00S,2022-04-02T00:21:49.3Z,1,REGULAR,rebound,defensive,[],201588,,,1610612749,14,18,2022-04-02T00:21:49Z,590000,,,0,,G. Hill REBOUND (Off:0 Def:1),[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,58.0,1.0,1.0,0.0,,,,,
60,PT05M57.00S,2022-04-02T00:21:58.3Z,1,REGULAR,3pt,Jump Shot,[],1629670,94.69448094612353,95.09803921568627,1610612749,17,18,2022-04-02T00:22:02Z,600000,225.0,-3.0,1,right,J. Nwora 3PT  (5 PTS) (S. Mamukelashvili 1 AST),"[1629670, 1630572]",1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,22.55,Made,5.0,S. Mamukelashvili,1630572.0,1.0,,,,,,,,,,,,,,
62,PT05M47.00S,2022-04-02T00:22:08.4Z,1,REGULAR,3pt,Jump Shot,[],203496,29.911300919842315,22.794117647058822,1610612746,17,21,2022-04-02T00:22:13Z,620000,136.0,229.0,1,left,R. Covington 26' 3PT pullup (8 PTS),[203496],1610612746.0,LAC,pullup,,,Covington,R. Covington,,,,,26.61,Made,8.0,,,,,,,,,,,,,,,,,
63,PT05M31.00S,2022-04-02T00:22:24.2Z,1,REGULAR,3pt,Jump Shot,[],1630572,68.54467805519053,28.676470588235293,1610612749,20,21,2022-04-02T00:22:31Z,630000,-107.0,243.0,1,right,S. Mamukelashvili 26' 3PT  (3 PTS) (J. Carter 4 AST),"[1630572, 1628975]",1610612749.0,MIL,,,,Mamukelashvili,S. Mamukelashvili,,,,,26.55,Made,3.0,J. Carter,1628975.0,4.0,,,,,,,,,,,,,,
65,PT05M13.00S,2022-04-02T00:22:41.9Z,1,REGULAR,3pt,Jump Shot,[],1629599,7.966491458607096,4.411764705882353,1610612746,20,21,2022-04-02T00:23:00Z,650000,228.0,22.0,1,left,MISS A. Coffey 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,22.9,Missed,,,,,,,,,,,,,,,,,,
66,PT05M12.00S,2022-04-02T00:22:42.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,20,21,2022-04-02T00:23:00Z,660000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,
67,PT05M12.00S,2022-04-02T00:22:50.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,20,21,2022-04-02T00:22:51Z,670000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M12.00S,2022-04-02T00:22:52.7Z,1,REGULAR,substitution,out,[],1628975,,,1610612746,20,21,2022-04-02T00:22:58Z,680000,,,0,,SUB out: J. Carter,[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M12.00S,2022-04-02T00:22:52.7Z,1,REGULAR,substitution,in,[],1629623,,,1610612746,20,21,2022-04-02T00:22:58Z,690000,,,0,,SUB in: L. Wigginton,[1629623],1610612749.0,MIL,,,,Wigginton,L. Wigginton,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M07.00S,2022-04-02T00:23:09.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203496,21.632720105124836,5.88235294117647,1610612746,20,21,2022-04-02T00:23:14Z,700000,221.0,151.0,1,left,MISS R. Covington 26' 3PT,[203496],1610612746.0,LAC,,,,Covington,R. Covington,,,,,26.72,Missed,,,,,,,,,,,,,,,,,,
71,PT05M04.00S,2022-04-02T00:23:12.9Z,1,REGULAR,rebound,defensive,[],201588,,,1610612749,20,21,2022-04-02T00:23:14Z,710000,,,0,,G. Hill REBOUND (Off:0 Def:2),[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,70.0,2.0,2.0,0.0,,,,,
72,PT04M55.00S,2022-04-02T00:23:21.3Z,1,REGULAR,3pt,Jump Shot,[],1626171,66.83639947437582,48.529411764705884,1610612749,20,21,2022-04-02T00:23:28Z,720000,-7.0,259.0,1,right,MISS B. Portis 25' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,25.93,Missed,,,,,,,,,,,,,,,,,,
73,PT04M52.00S,2022-04-02T00:23:24.3Z,1,REGULAR,rebound,defensive,[],203496,,,1610612746,20,21,2022-04-02T00:23:28Z,730000,,,0,,R. Covington REBOUND (Off:0 Def:2),[203496],1610612746.0,LAC,,,,Covington,R. Covington,,,,,,,,,,,,,,,,72.0,2.0,2.0,0.0,,,,,
74,PT04M46.00S,2022-04-02T00:23:31.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203496,10.463206307490145,42.64705882352941,1610612746,20,21,2022-04-02T00:23:36Z,740000,37.0,46.0,1,left,MISS R. Covington driving Layup - blocked,"[203496, 1630572]",1610612746.0,LAC,driving,,,Covington,R. Covington,,,,,5.88,Missed,,,,,,,,,,,,,,,Mamukelashvili,1630572.0,,
75,PT04M46.00S,2022-04-02T00:23:31.2Z,1,REGULAR,block,,[],1630572,,,1610612746,20,21,2022-04-02T00:23:34Z,750000,,,0,,S. Mamukelashvili BLOCK (1 BLK),[1630572],1610612749.0,MIL,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M46.00S,2022-04-02T00:23:31.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,20,21,2022-04-02T00:23:36Z,760000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,
77,PT04M46.00S,2022-04-02T00:23:38.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,20,21,2022-04-02T00:23:38Z,770000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M46.00S,2022-04-02T00:23:39.6Z,1,REGULAR,substitution,out,[],1626171,,,1610612746,20,21,2022-04-02T00:23:46Z,780000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M46.00S,2022-04-02T00:23:39.6Z,1,REGULAR,substitution,in,[],203648,,,1610612746,20,21,2022-04-02T00:23:46Z,790000,,,0,,SUB in: T. Antetokounmpo,[203648],1610612749.0,MIL,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M42.00S,2022-04-02T00:23:54.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628379,7.835085413929041,41.911764705882355,1610612746,20,23,2022-04-02T00:23:59Z,800000,40.0,21.0,1,left,L. Kennard driving Layup (5 PTS) (R. Covington 1 AST),"[1628379, 203496]",1610612746.0,LAC,driving,,,Kennard,L. Kennard,,,,,4.56,Made,5.0,R. Covington,203496.0,1.0,,,,,,,,,,,,,,
82,PT04M24.00S,2022-04-02T00:24:12.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629670,92.9862023653088,51.470588235294116,1610612749,22,23,2022-04-02T00:24:17Z,820000,7.0,13.0,1,right,J. Nwora driving floating Jump Shot (7 PTS) (G. Hill 1 AST),"[1629670, 201588]",1610612749.0,MIL,driving floating,,,Nwora,J. Nwora,,,,,1.53,Made,7.0,G. Hill,201588.0,1.0,,,,,,,,,,,,,,
84,PT04M09.00S,2022-04-02T00:24:34.2Z,1,REGULAR,3pt,Jump Shot,[],1628379,30.56833114323259,75.0,1610612746,22,23,2022-04-02T00:24:46Z,840000,-125.0,235.0,1,left,MISS L. Kennard 26' pullup 3PT,[1628379],1610612746.0,LAC,pullup,,,Kennard,L. Kennard,,,,,26.6,Missed,,,,,,,,,,,,,,,,,,
85,PT04M09.00S,2022-04-02T00:24:34.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,22,23,2022-04-02T00:24:38Z,850000,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,
86,PT04M09.00S,2022-04-02T00:24:39.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,22,23,2022-04-02T00:24:39Z,860000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M09.00S,2022-04-02T00:24:43.0Z,1,REGULAR,substitution,out,[],1627826,,,1610612749,22,23,2022-04-02T00:24:48Z,870000,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M09.00S,2022-04-02T00:24:43.0Z,1,REGULAR,substitution,in,[],1628392,,,1610612749,22,23,2022-04-02T00:24:48Z,880000,,,0,,SUB in: I. Hartenstein,[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,
89,PT03M51.00S,2022-04-02T00:25:05.1Z,1,REGULAR,3pt,Jump Shot,[],1629670,67.36202365308804,27.205882352941174,1610612749,25,23,2022-04-02T00:25:10Z,890000,-114.0,254.0,1,right,J. Nwora 27' 3PT  (10 PTS),[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,27.87,Made,10.0,,,,,,,,,,,,,,,,,
90,PT03M32.00S,2022-04-02T00:25:27.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,25,23,2022-04-02T00:25:27Z,900000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M30.00S,2022-04-02T00:25:49.7Z,1,REGULAR,foul,personal,[],1629623,,,1610612746,25,23,2022-04-02T00:26:00Z,910000,,,0,,L. Wigginton personal FOUL (1 PF),"[1629623, 1629611]",1610612749.0,MIL,,,,Wigginton,L. Wigginton,,,,,,,,,,,1363.0,1.0,0.0,Mann,1629611.0,,,,,,,,,
93,PT03M21.00S,2022-04-02T00:26:17.0Z,1,REGULAR,turnover,out-of-bounds,[],203496,,,1610612746,25,23,2022-04-02T00:26:24Z,930000,,,0,,R. Covington bad pass out-of-bounds TURNOVER (1 TO),[203496],1610612746.0,LAC,bad pass,,,Covington,R. Covington,,,,,,,,,,,2002.0,,,,,,,,,1.0,,,,
94,PT03M02.00S,2022-04-02T00:26:41.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629623,93.24901445466492,50.0,1610612749,27,23,2022-04-02T00:26:48Z,940000,0.0,11.0,1,right,L. Wigginton cutting Layup (2 PTS) (S. Mamukelashvili 2 AST),"[1629623, 1630572]",1610612749.0,MIL,cutting,,,Wigginton,L. Wigginton,,,,,1.1,Made,2.0,S. Mamukelashvili,1630572.0,2.0,,,,,,,,,,,,,,
