actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
19,PT11M00.00S,2022-01-20T01:12:41.9Z,1,REGULAR,3pt,Jump Shot,[],1626171,68.15045992115637,69.36274509803921,1610612749,2,3,2022-01-20T01:12:46Z,180000,97.0,247.0,1,right,MISS B. Portis 26' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M57.00S,2022-01-20T01:12:44.9Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,2,3,2022-01-20T01:31:22Z,190000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,19.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
21,PT10M46.00S,2022-01-20T01:12:55.6Z,1,REGULAR,3pt,Jump Shot,[],1629630,32.933639947437584,29.166666666666668,1610612763,2,6,2022-01-20T01:13:01Z,200000,104.0,257.0,1,left,J. Morant 27' 3PT  (3 PTS) (J. Konchar 1 AST),"[1629630, 1629723]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,27.74,Made,,,3.0,J. Konchar,1629723.0,1.0,,,,,,,,,,,,,
23,PT10M30.00S,2022-01-20T01:13:12.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,90.3580814717477,47.30392156862745,1610612749,2,6,2022-01-20T01:13:19Z,220000,-13.0,38.0,1,right,MISS G. Antetokounmpo cutting Layup - blocked,"[203507, 1628991]",1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,4.04,Missed,,,,,,,,,,,,,,Jackson Jr.,1628991.0,,,,
24,PT10M30.00S,2022-01-20T01:13:12.0Z,1,REGULAR,block,,[],1628991,,,1610612749,2,6,2022-01-20T01:13:15Z,230000,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M27.00S,2022-01-20T01:13:15.0Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,2,6,2022-01-20T01:13:19Z,240000,,,0,,J. Konchar REBOUND (Off:0 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,23.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
26,PT10M26.00S,2022-01-20T01:13:21.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630533,10.463206307490145,47.794117647058826,1610612763,2,8,2022-01-20T01:14:31Z,250000,11.0,46.0,1,left,Z. Williams running alley-oop DUNK (5 PTS) (J. Morant 2 AST),"[1630533, 1629630]",1610612763.0,MEM,running alley-oop,,,Williams,Z. Williams,,,,,4.72,Made,,,5.0,J. Morant,1629630.0,2.0,,,,,,,,,,,,,
28,PT10M07.00S,2022-01-20T01:13:35.6Z,1,REGULAR,3pt,Jump Shot,[],203114,66.3107752956636,37.5,1610612749,2,8,2022-01-20T01:13:41Z,270000,-62.0,264.0,1,right,MISS K. Middleton 27' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,27.15,Missed,,,,,,,,,,,,,,,,,,,
29,PT10M04.00S,2022-01-20T01:13:38.6Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,2,8,2022-01-20T01:13:41Z,280000,,,0,,J. Konchar REBOUND (Off:0 Def:2),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,28.0,,,,,,,,,,2.0,2.0,0.0,,,,,,
30,PT09M59.00S,2022-01-20T01:13:52.0Z,1,REGULAR,3pt,Jump Shot,[],1629723,30.56833114323259,22.30392156862745,1610612763,2,8,2022-01-20T01:16:08Z,290000,138.0,235.0,1,left,MISS J. Konchar 27' 3PT,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,27.26,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M55.00S,2022-01-20T01:13:56.0Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,8,2022-01-20T01:16:08Z,300000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,30.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
32,PT09M48.00S,2022-01-20T01:13:59.7Z,1,REGULAR,turnover,out-of-bounds,[],203507,,,1610612749,2,8,2022-01-20T01:14:10Z,310000,,,0,,G. Antetokounmpo bad pass out-of-bounds TURNOVER (1 TO),[203507],1610612749.0,MIL,bad pass,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,202035.0,,,,,,,,,,,,,,1.0,,,
33,PT09M39.00S,2022-01-20T01:14:16.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628991,29.122864651773984,74.50980392156863,1610612763,2,8,2022-01-20T01:14:22Z,320000,-123.0,221.0,1,left,MISS J. Jackson Jr. 25' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,25.29,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M34.00S,2022-01-20T01:14:21.2Z,1,REGULAR,rebound,offensive,[],1629723,,,1610612763,2,8,2022-01-20T01:14:21Z,330000,,,0,,J. Konchar REBOUND (Off:1 Def:2),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,33.0,,,,,,,,,,3.0,2.0,1.0,,,,,,
35,PT09M34.00S,2022-01-20T01:14:21.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629723,5.590000152587891,50.0,1610612763,2,10,2022-01-20T01:14:21Z,340000,0.0,0.0,1,left,J. Konchar tip Layup (2 PTS),[1629723],1610612763.0,MEM,tip,,,Konchar,J. Konchar,,,,,0.0,Made,,,2.0,,,,,,,,,,,,,,,,
36,PT09M14.00S,2022-01-20T01:14:42.2Z,1,REGULAR,2pt,Jump Shot,[],203507,79.45137976346912,33.82352941176471,1610612749,2,10,2022-01-20T01:14:46Z,350000,-81.0,141.0,1,right,MISS G. Antetokounmpo 16' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,16.23,Missed,,,,,,,,,,,,,,,,,,,
37,PT09M10.00S,2022-01-20T01:14:46.2Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,2,10,2022-01-20T01:14:46Z,360000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,36.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
38,PT09M06.00S,2022-01-20T01:14:49.7Z,1,REGULAR,turnover,bad pass,[],203500,,,1610612763,2,10,2022-01-20T01:14:55Z,370000,,,0,,S. Adams bad pass TURNOVER (1 TO),"[203500, 1626171]",1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,1.0,Portis,1626171.0,
39,PT09M06.00S,2022-01-20T01:14:49.7Z,1,REGULAR,steal,,[],1626171,,,1610612749,2,10,2022-01-20T01:14:53Z,380000,,,0,,B. Portis STEAL (1 STL),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M01.00S,2022-01-20T01:14:54.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628960,93.24901445466492,51.225490196078425,1610612749,4,10,2022-01-20T01:15:01Z,390000,6.0,11.0,1,right,G. Allen running DUNK (2 PTS) (B. Portis 1 AST),"[1628960, 1626171]",1610612749.0,MIL,running,,,Allen,G. Allen,,,,,1.26,Made,,,2.0,B. Portis,1626171.0,1.0,,,,,,,,,,,,,
42,PT08M54.00S,2022-01-20T01:15:00.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629723,15.850854139290407,35.78431372549019,1610612763,4,10,2022-01-20T01:15:06Z,410000,71.0,96.0,1,left,MISS J. Konchar 11' driving floating bank Shot,[1629723],1610612763.0,MEM,driving floating bank,,,Konchar,J. Konchar,,,,,11.99,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M52.00S,2022-01-20T01:15:02.8Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,4,10,2022-01-20T01:15:06Z,420000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,42.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
44,PT08M48.00S,2022-01-20T01:15:11.6Z,1,REGULAR,foul,personal,['2freethrow'],203500,,,1610612749,4,10,2022-01-20T01:15:22Z,430000,,,0,,S. Adams shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[203500, 203507]",1610612763.0,MEM,shooting,,,Adams,S. Adams,,,,,,,,202035.0,,,,,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,
46,PT08M48.00S,2022-01-20T01:15:49.7Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,5,10,2022-01-20T01:15:49Z,450000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,1.0,,,,,,,,,,,,,,,,
47,PT08M48.00S,2022-01-20T01:16:14.8Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,6,10,2022-01-20T01:16:14Z,460000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (2 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,2.0,,,,,,,,,,,,,,,,
48,PT08M30.00S,2022-01-20T01:16:33.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,16.90210249671485,38.23529411764706,1610612763,6,10,2022-01-20T01:16:39Z,470000,59.0,106.0,1,left,MISS J. Morant 12' driving floating bank Shot,[1629630],1610612763.0,MEM,driving floating bank,,,Morant,J. Morant,,,,,12.16,Missed,,,,,,,,,,,,,,,,,,,
49,PT08M28.00S,2022-01-20T01:16:35.6Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,6,10,2022-01-20T01:16:39Z,480000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,48.0,,,,,,,,,,2.0,2.0,0.0,,,,,,
50,PT08M17.00S,2022-01-20T01:16:47.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626171,88.38699080157687,65.68627450980392,1610612749,8,10,2022-01-20T01:16:52Z,490000,78.0,57.0,1,right,B. Portis 9' turnaround bank Hook (2 PTS),[1626171],1610612749.0,MIL,turnaround bank,,,Portis,B. Portis,,,,,9.68,Made,,,2.0,,,,,,,,,,,,,,,,
51,PT08M01.00S,2022-01-20T01:17:03.9Z,1,REGULAR,3pt,Jump Shot,[],1629630,32.53942181340342,68.38235294117648,1610612763,8,10,2022-01-20T01:17:10Z,500000,-92.0,253.0,1,left,MISS J. Morant 26' 3PT,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,26.95,Missed,,,,,,,,,,,,,,,,,,,
52,PT07M58.00S,2022-01-20T01:17:06.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,8,10,2022-01-20T01:17:10Z,510000,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,
53,PT07M58.00S,2022-01-20T01:17:11.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,8,10,2022-01-20T01:17:11Z,520000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M41.00S,2022-01-20T01:17:32.3Z,1,REGULAR,3pt,Jump Shot,[],1626171,95.74572930354796,95.09803921568627,1610612749,11,10,2022-01-20T01:17:37Z,530000,225.0,-13.0,1,right,B. Portis 3PT  (5 PTS) (G. Antetokounmpo 2 AST),"[1626171, 203507]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,22.58,Made,,,5.0,G. Antetokounmpo,203507.0,2.0,,,,,,,,,,,,,
56,PT07M41.00S,2022-01-20T01:17:42.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,11,10,2022-01-20T01:17:42Z,550000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M30.00S,2022-01-20T01:20:47.3Z,1,REGULAR,foul,personal,['2freethrow'],203114,,,1610612763,11,10,2022-01-20T01:21:08Z,560000,,,0,,K. Middleton shooting personal FOUL (1 PF) (Adams 2 FT),"[203114, 203500]",1610612749.0,MIL,shooting,,,Middleton,K. Middleton,,,,,,,,101283.0,,,,,1.0,0.0,Adams,203500.0,,,,,,,,,
59,PT07M30.00S,2022-01-20T01:21:09.6Z,1,REGULAR,freethrow,1 of 2,[],203500,,,1610612763,11,10,2022-01-20T01:21:33Z,580000,,,0,,MISS S. Adams Free Throw 1 of 2,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Missed,,,,,,,,,,,,,,,,,,,
60,PT07M30.00S,2022-01-20T01:21:09.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612763,11,10,2022-01-20T01:21:33Z,590000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,
61,PT07M30.00S,2022-01-20T01:21:09.6Z,1,REGULAR,freethrow,2 of 2,[],203500,,,1610612763,11,10,2022-01-20T01:21:33Z,600000,,,0,,MISS S. Adams Free Throw 2 of 2,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Missed,,,,,,,,,,,,,,,,,,,
62,PT07M28.00S,2022-01-20T01:21:11.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,11,10,2022-01-20T01:21:33Z,610000,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,
63,PT07M27.00S,2022-01-20T01:21:33.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,11,10,2022-01-20T01:21:33Z,620000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M11.00S,2022-01-20T01:21:56.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,90.62089356110381,50.98039215686274,1610612749,11,10,2022-01-20T01:22:20Z,630000,5.0,36.0,1,right,MISS G. Antetokounmpo Layup - blocked,"[203507, 1629723]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,3.6,Missed,,,,,,,,,,,,,,Konchar,1629723.0,,,,
65,PT07M11.00S,2022-01-20T01:21:56.0Z,1,REGULAR,block,,[],1629723,,,1610612749,11,10,2022-01-20T01:22:13Z,640000,,,0,,J. Konchar BLOCK (1 BLK),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M07.00S,2022-01-20T01:22:00.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,11,10,2022-01-20T01:22:20Z,650000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,
67,PT07M07.00S,2022-01-20T01:22:18.5Z,1,REGULAR,turnover,out-of-bounds,[],1626171,,,1610612749,11,10,2022-01-20T01:22:28Z,660000,,,0,,B. Portis step out-of-bounds TURNOVER (1 TO),[1626171],1610612749.0,MIL,step,,,Portis,B. Portis,,,,,,,,101283.0,,,,,,,,,,,,,,1.0,,,
68,PT06M51.00S,2022-01-20T01:22:41.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628991,17.0335085413929,47.549019607843135,1610612763,11,10,2022-01-20T01:22:46Z,670000,12.0,108.0,1,left,MISS J. Jackson Jr. 10' floating Shot,[1628991],1610612763.0,MEM,floating,,,Jackson Jr.,J. Jackson Jr.,,,,,10.83,Missed,,,,,,,,,,,,,,,,,,,
69,PT06M48.00S,2022-01-20T01:22:44.1Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,11,10,2022-01-20T01:22:46Z,680000,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,68.0,,,,,,,,,,2.0,2.0,0.0,,,,,,
70,PT06M36.00S,2022-01-20T01:22:55.8Z,1,REGULAR,3pt,Jump Shot,[],203507,68.41327201051249,23.03921568627451,1610612749,14,10,2022-01-20T01:23:01Z,690000,-135.0,244.0,1,right,G. Antetokounmpo 27' 3PT  (5 PTS) (K. Middleton 1 AST),"[203507, 203114]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,27.91,Made,,,5.0,K. Middleton,203114.0,1.0,,,,,,,,,,,,,
72,PT06M26.00S,2022-01-20T01:23:05.9Z,1,REGULAR,3pt,Jump Shot,[],1629630,33.85348226018397,38.72549019607843,1610612763,14,13,2022-01-20T01:23:12Z,710000,56.0,266.0,1,left,J. Morant 27' 3PT step back (6 PTS),[1629630],1610612763.0,MEM,step back,,,Morant,J. Morant,,,,,27.16,Made,,,6.0,,,,,,,,,,,,,,,,
73,PT06M15.00S,2022-01-20T01:23:20.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,92.46057818659659,49.50980392156863,1610612749,16,13,2022-01-20T01:23:25Z,720000,-2.0,18.0,1,right,G. Antetokounmpo driving Layup (7 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,1.86,Made,,,7.0,,,,,,,,,,,,,,,,
74,PT06M15.00S,2022-01-20T01:23:23.3Z,1,REGULAR,foul,personal,['1freethrow'],1628991,,,1610612749,16,13,2022-01-20T01:23:33Z,730000,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Antetokounmpo 1 FT),"[1628991, 203507]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,101283.0,,,,,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,
76,PT06M15.00S,2022-01-20T01:23:35.5Z,1,REGULAR,substitution,out,[],1626171,,,1610612749,16,13,2022-01-20T01:24:30Z,750000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M15.00S,2022-01-20T01:23:35.5Z,1,REGULAR,substitution,out,[],1629723,,,1610612749,16,13,2022-01-20T01:24:30Z,760000,,,0,,SUB out: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M15.00S,2022-01-20T01:23:35.5Z,1,REGULAR,substitution,in,[],1626192,,,1610612749,16,13,2022-01-20T01:24:30Z,770000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M15.00S,2022-01-20T01:23:35.5Z,1,REGULAR,substitution,in,[],1629001,,,1610612749,16,13,2022-01-20T01:24:30Z,780000,,,0,,SUB in: D. Melton,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M15.00S,2022-01-20T01:24:10.3Z,1,REGULAR,freethrow,1 of 1,[],203507,,,1610612749,17,13,2022-01-20T01:24:10Z,790000,,,0,,G. Antetokounmpo Free Throw 1 of 1 (8 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,8.0,,,,,,,,,,,,,,,,
81,PT06M05.00S,2022-01-20T01:24:27.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,14.668199737187912,47.30392156862745,1610612763,17,13,2022-01-20T01:24:36Z,800000,13.0,85.0,1,left,MISS J. Jackson Jr. 8' turnaround Hook,[1628991],1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,8.65,Missed,,,,,,,,,,,,,,,,,,,
82,PT06M03.00S,2022-01-20T01:24:30.1Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,17,13,2022-01-20T01:24:30Z,810000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,81.0,,,,,,,,,,1.0,0.0,1.0,,,,,,
83,PT06M00.00S,2022-01-20T01:24:32.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630533,6.389618922470433,50.245098039215684,1610612763,17,15,2022-01-20T01:24:40Z,820000,-1.0,8.0,1,left,Z. Williams cutting DUNK (7 PTS) (S. Adams 1 AST),"[1630533, 203500]",1610612763.0,MEM,cutting,,,Williams,Z. Williams,,,,,0.77,Made,,,7.0,S. Adams,203500.0,1.0,,,,,,,,,,,,,
85,PT05M48.00S,2022-01-20T01:25:04.7Z,1,REGULAR,substitution,out,[],1628960,,,1610612749,17,15,2022-01-20T01:25:22Z,840000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M48.00S,2022-01-20T01:25:04.7Z,1,REGULAR,substitution,out,[],203114,,,1610612749,17,15,2022-01-20T01:25:22Z,850000,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M48.00S,2022-01-20T01:25:04.7Z,1,REGULAR,substitution,in,[],1626171,,,1610612749,17,15,2022-01-20T01:25:22Z,860000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M48.00S,2022-01-20T01:25:04.7Z,1,REGULAR,substitution,in,[],1628978,,,1610612749,17,15,2022-01-20T01:25:22Z,870000,,,0,,SUB in: D. DiVincenzo,[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M48.00S,2022-01-20T01:25:26.7Z,1,REGULAR,stoppage,court clean up,[],0,,,1610612749,17,15,2022-01-20T01:25:26Z,880000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M48.00S,2022-01-20T01:25:42.4Z,1,REGULAR,stoppage,blood rule,[],0,,,1610612749,17,15,2022-01-20T01:25:42Z,890000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
