actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
16,PT10M41.00S,2021-11-05T23:47:31.6Z,1,REGULAR,2pt,Layup,[],203648,13.87976346911958,32.1078431372549,1610612749,3,0,2021-11-05T23:49:07Z,160000,89.0,78.0,1,left,MISS T. Antetokounmpo 11' Layup,[203648],1610612749.0,MIL,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,11.87,Missed,,,,,,,,,,,,,,,
17,PT10M38.00S,2021-11-05T23:47:34.6Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,3,0,2021-11-05T23:49:07Z,170000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M25.00S,2021-11-05T23:47:47.9Z,1,REGULAR,3pt,Jump Shot,[],203944,68.9388961892247,24.019607843137255,1610612752,3,0,2021-11-05T23:47:56Z,180000,-130.0,239.0,1,right,MISS J. Randle 27' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,27.25,Missed,,,,,,,,,,,,,,,
19,PT10M22.00S,2021-11-05T23:47:50.9Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,3,0,2021-11-05T23:47:56Z,190000,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT10M16.00S,2021-11-05T23:47:57.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201588,29.77989487516426,19.11764705882353,1610612749,6,0,2021-11-05T23:48:06Z,200000,154.0,227.0,1,left,G. Hill 27' 3PT running (3 PTS) (G. Allen 1 AST),"[201588, 1628960]",1610612749.0,MIL,running,,,Hill,G. Hill,,,,,,,,27.49,Made,,,,,,3.0,G. Allen,1628960.0,1.0,,,,,,
22,PT10M05.00S,2021-11-05T23:48:07.8Z,1,REGULAR,3pt,Jump Shot,[],1629628,65.65374507227332,62.99019607843137,1610612752,6,0,2021-11-05T23:48:12Z,220000,65.0,270.0,1,right,MISS R. Barrett 27' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,27.81,Missed,,,,,,,,,,,,,,,
23,PT10M02.00S,2021-11-05T23:48:10.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,6,0,2021-11-05T23:48:12Z,230000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT09M58.00S,2021-11-05T23:48:15.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628960,19.66162943495401,93.38235294117648,1610612749,6,0,2021-11-05T23:48:21Z,240000,-217.0,132.0,1,left,MISS G. Allen 25' running 3PT,[1628960],1610612749.0,MIL,running,,,Allen,G. Allen,,,,,,,,25.41,Missed,,,,,,,,,,,,,,,
25,PT09M55.00S,2021-11-05T23:48:18.6Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,6,0,2021-11-05T23:48:21Z,250000,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,
26,PT09M40.00S,2021-11-05T23:48:33.1Z,1,REGULAR,3pt,Jump Shot,[],203944,69.20170827858082,25.735294117647058,1610612752,6,3,2021-11-05T23:48:39Z,260000,-121.0,237.0,1,right,J. Randle 26' 3PT pullup (3 PTS) (K. Walker 1 AST),"[203944, 202689]",1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,,,,26.62,Made,,,,,,3.0,K. Walker,202689.0,1.0,,,,,,
28,PT09M16.00S,2021-11-05T23:48:57.5Z,1,REGULAR,3pt,Jump Shot,[],1626192,29.38567674113009,73.52941176470588,1610612749,6,3,2021-11-05T23:49:02Z,280000,-118.0,224.0,1,left,MISS P. Connaughton 25' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,25.27,Missed,,,,,,,,,,,,,,,
29,PT09M13.00S,2021-11-05T23:49:00.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,6,3,2021-11-05T23:49:02Z,290000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,28.0,2.0,2.0,0.0,,,,,,,,,,,
30,PT09M06.00S,2021-11-05T23:49:07.4Z,1,REGULAR,3pt,Jump Shot,[],1629628,66.3107752956636,71.32352941176471,1610612752,6,6,2021-11-05T23:49:13Z,300000,107.0,264.0,1,right,R. Barrett 28' 3PT  (3 PTS) (J. Randle 1 AST),"[1629628, 203944]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,28.49,Made,,,,,,3.0,J. Randle,203944.0,1.0,,,,,,
32,PT08M50.00S,2021-11-05T23:49:22.8Z,1,REGULAR,3pt,Jump Shot,[],1628960,30.042706964520367,75.0,1610612749,9,6,2021-11-05T23:49:26Z,320000,-125.0,230.0,1,left,G. Allen 26' 3PT  (6 PTS) (G. Antetokounmpo 2 AST),"[1628960, 203507]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,26.17,Made,,,,,,6.0,G. Antetokounmpo,203507.0,2.0,,,,,,
35,PT08M36.00S,2021-11-05T23:49:37.0Z,1,REGULAR,turnover,bad pass,[],202689,,,1610612752,9,6,2021-11-05T23:49:41Z,340000,,,0,,K. Walker bad pass TURNOVER (1 TO),"[202689, 203507]",1610612752.0,NYK,,,,Walker,K. Walker,,,,,1.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,,,
36,PT08M36.00S,2021-11-05T23:49:37.0Z,1,REGULAR,steal,,[],203507,,,1610612749,9,6,2021-11-05T23:49:39Z,350000,,,0,,G. Antetokounmpo STEAL (2 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M33.00S,2021-11-05T23:49:43.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626192,7.703679369250986,96.32352941176471,1610612749,9,6,2021-11-06T00:02:09Z,360000,-232.0,20.0,1,left,MISS P. Connaughton 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,23.25,Missed,,,,,,,,,,,,,,,
38,PT08M32.00S,2021-11-05T23:49:44.6Z,1,REGULAR,rebound,offensive,[],1628960,,,1610612749,9,6,2021-11-06T00:02:09Z,370000,,,0,,G. Allen REBOUND (Off:1 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,37.0,2.0,1.0,1.0,,,,,,,,,,,
39,PT08M30.00S,2021-11-05T23:49:48.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1626192,7.178055190538765,98.2843137254902,1610612749,9,6,2021-11-06T00:02:25Z,380000,-241.0,15.0,1,left,MISS P. Connaughton 24' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,24.19,Missed,,,,,,,,,,,,,,,
40,PT08M29.00S,2021-11-05T23:49:49.2Z,1,REGULAR,rebound,offensive,[],203648,,,1610612749,9,6,2021-11-06T00:02:25Z,390000,,,0,,T. Antetokounmpo REBOUND (Off:1 Def:1),[203648],1610612749.0,MIL,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,39.0,2.0,1.0,1.0,,,,,,,,,,,
41,PT08M26.00S,2021-11-05T23:49:53.5Z,1,REGULAR,foul,personal,['2freethrow'],1629628,,,1610612749,9,6,2021-11-06T00:02:37Z,405000,,,0,,R. Barrett shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1629628, 203648]",1610612752.0,NYK,shooting,,,Barrett,R. Barrett,,,,,,,,,,,,,,2530.0,,,,,1.0,0.0,Antetokounmpo,203648.0,,
43,PT08M26.00S,2021-11-05T23:50:20.0Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",203648,,,1610612749,9,6,2021-11-06T00:02:37Z,420000,,,0,,MISS T. Antetokounmpo Free Throw 1 of 2,[203648],1610612749.0,MIL,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,Missed,,,,,,,,,,,,,,,
44,PT08M26.00S,2021-11-05T23:50:20.0Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612749,9,6,2021-11-06T00:01:23Z,430000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,
45,PT08M26.00S,2021-11-05T23:50:20.0Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",203648,,,1610612749,10,6,2021-11-06T00:02:37Z,440000,,,0,,T. Antetokounmpo Free Throw 2 of 2 (1 PTS),[203648],1610612749.0,MIL,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,Made,,,,,,1.0,,,,,,,,,
46,PT08M08.00S,2021-11-05T23:50:54.4Z,1,REGULAR,3pt,Jump Shot,[],203095,68.15045992115637,24.754901960784316,1610612752,10,6,2021-11-05T23:51:00Z,450000,-126.0,247.0,1,right,MISS E. Fournier 27' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,27.73,Missed,,,,,,,,,,,,,,,
47,PT08M05.00S,2021-11-05T23:50:57.4Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,10,6,2021-11-05T23:51:00Z,460000,,,0,,M. Robinson REBOUND (Off:1 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,46.0,2.0,1.0,1.0,,,,,,,,,,,
48,PT08M03.00S,2021-11-05T23:51:00.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203944,94.82588699080158,3.1862745098039214,1610612752,10,9,2021-11-05T23:51:06Z,470000,-234.0,-4.0,1,right,J. Randle 3PT  (6 PTS) (M. Robinson 1 AST),"[203944, 1629011]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,23.41,Made,,,,,,6.0,M. Robinson,1629011.0,1.0,,,,,,
50,PT07M49.00S,2021-11-05T23:51:16.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,10,9,2021-11-05T23:51:16Z,490000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M42.00S,2021-11-05T23:51:35.2Z,1,REGULAR,turnover,bad pass,[],203507,,,1610612749,10,9,2021-11-05T23:51:47Z,500000,,,0,,G. Antetokounmpo bad pass TURNOVER (1 TO),"[203507, 1629011]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,1.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,
52,PT07M42.00S,2021-11-05T23:51:35.2Z,1,REGULAR,steal,,[],1629011,,,1610612752,10,9,2021-11-05T23:55:44Z,510000,,,0,,M. Robinson STEAL (1 STL),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M38.00S,2021-11-05T23:51:40.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629628,89.83245729303549,55.392156862745104,1610612752,10,9,2021-11-05T23:51:55Z,520000,27.0,43.0,1,right,MISS R. Barrett running Layup - blocked,"[1629628, 1628960]",1610612752.0,NYK,running,,,Barrett,R. Barrett,,,,,,,,5.09,Missed,,,,,,,,,,,,,,Allen,1628960.0
56,PT07M38.00S,2021-11-05T23:51:40.1Z,1,REGULAR,block,,[],1628960,,,1610612752,10,9,2021-11-05T23:52:24Z,525000,,,0,,G. Allen BLOCK (1 BLK),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M38.00S,2021-11-05T23:51:40.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,10,9,2021-11-05T23:52:24Z,530000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,
55,PT07M38.00S,2021-11-05T23:52:08.4Z,1,REGULAR,turnover,backcourt,[],202689,,,1610612752,10,9,2021-11-05T23:52:43Z,540000,,,0,,K. Walker backcourt TURNOVER (2 TO),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,2.0,,,,,,,,,1199.0,,,,,,,,,,
57,PT07M38.00S,2021-11-05T23:52:25.2Z,1,REGULAR,substitution,out,[],203648,,,1610612749,10,9,2021-11-05T23:52:34Z,550000,,,0,,SUB out: T. Antetokounmpo,[203648],1610612749.0,MIL,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M38.00S,2021-11-05T23:52:25.2Z,1,REGULAR,substitution,in,[],1626171,,,1610612749,10,9,2021-11-05T23:52:34Z,560000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M26.00S,2021-11-05T23:52:46.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201588,8.229303547963205,3.6764705882352944,1610612749,13,9,2021-11-05T23:52:51Z,570000,232.0,25.0,1,left,G. Hill 3PT  (6 PTS) (G. Allen 2 AST),"[201588, 1628960]",1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,23.29,Made,,,,,,6.0,G. Allen,1628960.0,2.0,,,,,,
61,PT07M10.00S,2021-11-05T23:53:02.1Z,1,REGULAR,2pt,Jump Shot,[],203944,74.06373193166885,42.64705882352941,1610612752,13,9,2021-11-05T23:53:07Z,590000,-37.0,191.0,1,right,MISS J. Randle 19' pullup Shot,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,,,,19.48,Missed,,,,,,,,,,,,,,,
62,PT07M07.00S,2021-11-05T23:53:05.1Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,13,9,2021-11-05T23:53:07Z,600000,,,0,,G. Allen REBOUND (Off:1 Def:2),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,61.0,3.0,2.0,1.0,,,,,,,,,,,
63,PT06M54.00S,2021-11-05T23:53:19.1Z,1,REGULAR,3pt,Jump Shot,[],1626171,6.521024967148489,1.9607843137254901,1610612749,13,9,2021-11-05T23:53:24Z,610000,240.0,9.0,1,left,MISS B. Portis 24' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,24.04,Missed,,,,,,,,,,,,,,,
64,PT06M50.00S,2021-11-05T23:53:23.1Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,13,9,2021-11-05T23:53:24Z,620000,,,0,,J. Randle REBOUND (Off:0 Def:3),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,63.0,3.0,3.0,0.0,,,,,,,,,,,
65,PT06M42.00S,2021-11-05T23:53:29.7Z,1,REGULAR,3pt,Jump Shot,[],203095,96.27135348226018,96.32352941176471,1610612752,13,9,2021-11-05T23:53:34Z,630000,232.0,-17.0,1,right,MISS E. Fournier 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,23.23,Missed,,,,,,,,,,,,,,,
66,PT06M40.00S,2021-11-05T23:53:31.7Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,13,9,2021-11-05T23:53:34Z,640000,,,0,,G. Allen REBOUND (Off:1 Def:3),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,65.0,4.0,3.0,1.0,,,,,,,,,,,
67,PT06M36.00S,2021-11-05T23:53:36.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203507,8.09789750328515,47.794117647058826,1610612749,15,9,2021-11-05T23:53:42Z,650000,11.0,24.0,1,left,G. Antetokounmpo running Layup (2 PTS),[203507],1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,2.6,Made,,,,,,2.0,,,,,,,,,
68,PT06M29.00S,2021-11-05T23:53:47.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,15,9,2021-11-05T23:53:47Z,660000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M29.00S,2021-11-05T23:55:43.1Z,1,REGULAR,substitution,out,[],1626192,,,1610612752,15,9,2021-11-05T23:57:02Z,670000,,,0,,SUB out: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M29.00S,2021-11-05T23:55:43.1Z,1,REGULAR,substitution,in,[],201950,,,1610612752,15,9,2021-11-05T23:57:02Z,680000,,,0,,SUB in: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M20.00S,2021-11-05T23:57:24.2Z,1,REGULAR,turnover,bad pass,[],203095,,,1610612752,15,9,2021-11-05T23:57:29Z,690000,,,0,,E. Fournier bad pass TURNOVER (1 TO),"[203095, 1628960]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,1.0,Allen,1628960.0,,,,,,,,,,,,,,,,,
72,PT06M20.00S,2021-11-05T23:57:24.2Z,1,REGULAR,steal,,[],1628960,,,1610612749,15,9,2021-11-05T23:57:26Z,700000,,,0,,G. Allen STEAL (1 STL),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M15.00S,2021-11-05T23:57:28.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628960,9.280551905387648,50.0,1610612749,17,9,2021-11-05T23:57:38Z,710000,0.0,35.0,1,left,G. Allen running DUNK (8 PTS),[1628960],1610612749.0,MIL,running,,,Allen,G. Allen,,,,,,,,3.47,Made,,,,,,8.0,,,,,,,,,
74,PT05M56.00S,2021-11-05T23:57:50.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,17,9,2021-11-05T23:57:50Z,720000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M56.00S,2021-11-05T23:57:53.9Z,1,REGULAR,substitution,out,[],201588,,,1610612752,17,9,2021-11-05T23:57:58Z,730000,,,0,,SUB out: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M56.00S,2021-11-05T23:57:53.9Z,1,REGULAR,substitution,in,[],1629670,,,1610612752,17,9,2021-11-05T23:57:58Z,740000,,,0,,SUB in: J. Nwora,[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M50.00S,2021-11-05T23:58:11.2Z,1,REGULAR,3pt,Jump Shot,[],202689,68.67608409986859,25.98039215686275,1610612752,17,9,2021-11-05T23:58:16Z,750000,-120.0,242.0,1,right,MISS K. Walker 27' 3PT,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,27.01,Missed,,,,,,,,,,,,,,,
78,PT05M47.00S,2021-11-05T23:58:14.0Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,17,9,2021-11-05T23:58:14Z,760000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,77.0,2.0,2.0,0.0,,,,,,,,,,,
79,PT05M38.00S,2021-11-05T23:58:23.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,8.360709592641262,49.50980392156863,1610612749,19,9,2021-11-05T23:58:37Z,770000,2.0,26.0,1,left,J. Holiday driving floating Jump Shot (2 PTS) (G. Antetokounmpo 3 AST),"[201950, 203507]",1610612749.0,MIL,driving floating,,,Holiday,J. Holiday,,,,,,,,2.62,Made,,,,,,2.0,G. Antetokounmpo,203507.0,3.0,,,,,,
81,PT05M15.00S,2021-11-05T23:58:46.1Z,1,REGULAR,3pt,Jump Shot,[],202689,66.04796320630749,65.44117647058823,1610612752,19,9,2021-11-05T23:58:54Z,790000,77.0,267.0,1,right,MISS K. Walker 27' 3PT,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,27.76,Missed,,,,,,,,,,,,,,,
82,PT05M12.00S,2021-11-05T23:58:49.1Z,1,REGULAR,rebound,offensive,[],203944,,,1610612752,19,9,2021-11-05T23:58:54Z,800000,,,0,,J. Randle REBOUND (Off:1 Def:3),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,81.0,4.0,3.0,1.0,,,,,,,,,,,
83,PT05M10.00S,2021-11-05T23:58:50.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203944,76.03482260183968,9.803921568627452,1610612752,19,9,2021-11-05T23:58:57Z,810000,-201.0,173.0,1,right,MISS J. Randle 26' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,26.51,Missed,,,,,,,,,,,,,,,
84,PT05M10.00S,2021-11-05T23:58:50.9Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,19,9,2021-11-05T23:58:57Z,820000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,83.0,1.0,1.0,0.0,,,,,,,,,,,
85,PT04M51.00S,2021-11-05T23:59:09.9Z,1,REGULAR,3pt,Jump Shot,[],1628960,23.209592641261498,88.72549019607843,1610612749,22,9,2021-11-05T23:59:14Z,830000,-194.0,166.0,1,left,G. Allen 25' 3PT  (11 PTS) (J. Holiday 1 AST),"[1628960, 201950]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,25.48,Made,,,,,,11.0,J. Holiday,201950.0,1.0,,,,,,
87,PT04M44.00S,2021-11-05T23:59:22.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,22,9,2021-11-05T23:59:22Z,850000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M44.00S,2021-11-06T00:01:22.7Z,1,REGULAR,substitution,out,[],203507,,,1610612752,22,9,2021-11-06T00:02:21Z,860000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,
