actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
18,PT10M25.00S,2022-01-29T03:18:02.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629011,92.9862023653088,51.470588235294116,1610612752,5,4,2022-01-29T03:18:10Z,180000,7.0,13.0,1,right,M. Robinson putback DUNK (2 PTS),[1629011],1610612752.0,NYK,putback,,,Robinson,M. Robinson,,,,,,,,1.53,Made,2.0,,,,,,,,,,,,,,,
19,PT10M04.00S,2022-01-29T03:18:25.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,6.521024967148489,52.94117647058824,1610612749,7,4,2022-01-29T03:18:30Z,190000,-15.0,9.0,1,left,G. Antetokounmpo reverse DUNK (5 PTS) (J. Holiday 1 AST),"[203507, 201950]",1610612749.0,MIL,reverse,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,1.71,Made,5.0,J. Holiday,201950.0,1.0,,,,,,,,,,,,
21,PT09M52.00S,2022-01-29T03:18:37.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,86.81011826544021,62.745098039215684,1610612752,7,6,2022-01-29T03:18:41Z,210000,64.0,71.0,1,right,K. Walker 9' driving floating bank Jump Shot (2 PTS),[202689],1610612752.0,NYK,driving floating bank,,,Walker,K. Walker,,,,,,,,9.58,Made,2.0,,,,,,,,,,,,,,,
22,PT09M40.00S,2022-01-29T03:18:50.9Z,1,REGULAR,foul,personal,['2freethrow'],203095,,,1610612749,7,6,2022-01-29T03:19:04Z,220000,,,0,,E. Fournier shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[203095, 203507]",1610612752.0,NYK,shooting,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,2715.0,1.0,0.0,Antetokounmpo,203507.0,,,
24,PT09M40.00S,2022-01-29T03:19:29.4Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,8,6,2022-01-29T03:19:56Z,240000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (6 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
25,PT09M40.00S,2022-01-29T03:19:29.4Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,8,6,2022-01-29T03:19:56Z,250000,,,0,,MISS G. Antetokounmpo Free Throw 2 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,Missed,,,,,,,,,,,,,,,,
26,PT09M36.00S,2022-01-29T03:19:33.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,8,6,2022-01-29T03:19:56Z,260000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,
27,PT09M27.00S,2022-01-29T03:20:04.8Z,1,REGULAR,turnover,bad pass,[],202689,,,1610612752,8,6,2022-01-29T03:20:11Z,270000,,,0,,K. Walker bad pass TURNOVER (1 TO),"[202689, 203114]",1610612752.0,NYK,,,,Walker,K. Walker,,,,,1.0,Middleton,203114.0,,,,,,,,,,,,,,,,,,
28,PT09M27.00S,2022-01-29T03:20:04.8Z,1,REGULAR,steal,,[],203114,,,1610612749,8,6,2022-01-29T03:20:07Z,280000,,,0,,K. Middleton STEAL (1 STL),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M22.00S,2022-01-29T03:20:09.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201950,8.229303547963205,50.0,1610612749,10,6,2022-01-29T03:20:16Z,290000,0.0,25.0,1,left,J. Holiday running Layup (2 PTS) (K. Middleton 2 AST),"[201950, 203114]",1610612749.0,MIL,running,,,Holiday,J. Holiday,,,,,,,,2.49,Made,2.0,K. Middleton,203114.0,2.0,,,,,,,,,,,,
31,PT09M05.00S,2022-01-29T03:20:27.3Z,1,REGULAR,3pt,Jump Shot,[],202689,66.83639947437582,44.6078431372549,1610612752,10,6,2022-01-29T03:23:20Z,310000,-27.0,259.0,1,right,MISS K. Walker 26' pullup 3PT,[202689],1610612752.0,NYK,pullup,,,Walker,K. Walker,,,,,,,,26.06,Missed,,,,,,,,,,,,,,,,
32,PT09M02.00S,2022-01-29T03:20:29.6Z,1,REGULAR,rebound,offensive,[],1629628,,,1610612752,10,6,2022-01-29T03:20:29Z,320000,,,0,,R. Barrett REBOUND (Off:1 Def:0),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,31.0,1.0,0.0,1.0,,,,,,,,
33,PT09M00.00S,2022-01-29T03:20:31.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629628,78.92164914586071,92.12239583333333,1610612752,10,6,2022-01-29T03:23:27Z,330000,211.0,146.0,1,right,MISS R. Barrett 25' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,25.6,Missed,,,,,,,,,,,,,,,,
34,PT08M58.00S,2022-01-29T03:20:33.6Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,10,6,2022-01-29T03:20:35Z,340000,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,
35,PT08M52.00S,2022-01-29T03:20:42.3Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612749,10,6,2022-01-29T03:20:55Z,350000,,,0,,M. Robinson shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1629011, 203507]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,201245.0,1.0,0.0,Antetokounmpo,203507.0,,,
37,PT08M52.00S,2022-01-29T03:21:25.2Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,10,6,2022-01-29T03:21:25Z,370000,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,Missed,,,,,,,,,,,,,,,,
38,PT08M52.00S,2022-01-29T03:21:25.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,10,6,2022-01-29T03:21:25Z,380000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,
39,PT08M52.00S,2022-01-29T03:21:55.1Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,11,6,2022-01-29T03:21:55Z,390000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (7 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,Made,7.0,,,,,,,,,,,,,,,
40,PT08M36.00S,2022-01-29T03:22:11.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,92.59198423127464,45.83333333333333,1610612752,11,6,2022-01-29T03:22:16Z,400000,-21.0,17.0,1,right,MISS J. Randle driving Layup,[203944],1610612752.0,NYK,driving,,,Randle,J. Randle,,,,,,,,2.69,Missed,,,,,,,,,,,,,,,,
41,PT08M32.00S,2022-01-29T03:22:15.6Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,11,6,2022-01-29T03:22:15Z,410000,,,0,,M. Robinson REBOUND (Off:2 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,40.0,2.0,0.0,2.0,,,,,,,,
42,PT08M32.00S,2022-01-29T03:22:15.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629011,94.40999984741211,50.0,1610612752,11,8,2022-01-29T03:22:15Z,420000,0.0,0.0,1,right,M. Robinson tip Layup (4 PTS),[1629011],1610612752.0,NYK,tip,,,Robinson,M. Robinson,,,,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,
43,PT08M14.00S,2022-01-29T03:22:34.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203114,9.937582128777924,65.68627450980392,1610612749,13,8,2022-01-29T03:22:38Z,430000,-78.0,41.0,1,left,K. Middleton 8' driving floating bank Jump Shot (2 PTS),[203114],1610612749.0,MIL,driving floating bank,,,Middleton,K. Middleton,,,,,,,,8.84,Made,2.0,,,,,,,,,,,,,,,
44,PT07M56.00S,2022-01-29T03:22:54.5Z,1,REGULAR,foul,offensive,[],1629011,,,1610612752,13,8,2022-01-29T03:23:03Z,440000,,,0,,M. Robinson offensive FOUL (2 PF),"[1629011, 1628960]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,1193.0,2.0,0.0,Allen,1628960.0,,,
46,PT07M56.00S,2022-01-29T03:22:54.5Z,1,REGULAR,turnover,offensive foul,[],1629011,,,1610612752,13,8,2022-01-29T03:22:54Z,460000,,,0,,M. Robinson offensive foul TURNOVER (1 TO),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,1.0,,,,,,,,,,,,,1193.0,,,,,,,
47,PT07M56.00S,2022-01-29T03:23:07.7Z,1,REGULAR,substitution,out,[],1629011,,,1610612749,13,8,2022-01-29T03:23:13Z,470000,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M56.00S,2022-01-29T03:23:07.7Z,1,REGULAR,substitution,in,[],203457,,,1610612749,13,8,2022-01-29T03:23:13Z,480000,,,0,,SUB in: N. Noel,[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M45.00S,2022-01-29T03:23:33.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628960,8.492115637319317,96.32352941176471,1610612749,13,8,2022-01-29T03:23:41Z,490000,-232.0,27.0,1,left,MISS G. Allen 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,23.32,Missed,,,,,,,,,,,,,,,,
50,PT07M41.00S,2022-01-29T03:23:36.4Z,1,REGULAR,rebound,defensive,[],203457,,,1610612752,13,8,2022-01-29T03:23:36Z,500000,,,0,,N. Noel REBOUND (Off:0 Def:1),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,
51,PT07M38.00S,2022-01-29T03:23:40.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202689,92.85479632063075,51.71568627450981,1610612752,13,10,2022-01-29T03:23:46Z,510000,9.0,15.0,1,right,K. Walker running Layup (4 PTS),[202689],1610612752.0,NYK,running,,,Walker,K. Walker,,,,,,,,1.7,Made,4.0,,,,,,,,,,,,,,,
52,PT07M28.00S,2022-01-29T03:23:49.9Z,1,REGULAR,2pt,Jump Shot,[],203507,6.258212877792378,68.62745098039215,1610612749,15,10,2022-01-29T03:23:54Z,520000,-93.0,6.0,1,left,G. Antetokounmpo 9' turnaround fadeaway Jump Shot (9 PTS) (G. Allen 1 AST),"[203507, 1628960]",1610612749.0,MIL,turnaround fadeaway,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,9.33,Made,9.0,G. Allen,1628960.0,1.0,,,,,,,,,,,,
54,PT07M18.00S,2022-01-29T03:23:59.8Z,1,REGULAR,2pt,Jump Shot,[],202689,76.2976346911958,52.69607843137255,1610612752,15,12,2022-01-29T03:24:07Z,540000,13.0,170.0,1,right,K. Walker 17' pullup Jump Shot (6 PTS),[202689],1610612752.0,NYK,pullup,,,Walker,K. Walker,,,,,,,,17.08,Made,6.0,,,,,,,,,,,,,,,
55,PT07M07.00S,2022-01-29T03:24:11.7Z,1,REGULAR,3pt,Jump Shot,[],203114,27.54599211563732,82.84313725490196,1610612749,15,12,2022-01-29T03:24:16Z,550000,-164.0,206.0,1,left,MISS K. Middleton 26' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,26.37,Missed,,,,,,,,,,,,,,,,
56,PT07M04.00S,2022-01-29T03:24:14.7Z,1,REGULAR,rebound,defensive,[],202689,,,1610612752,15,12,2022-01-29T03:24:16Z,560000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,
57,PT06M57.00S,2022-01-29T03:24:23.0Z,1,REGULAR,foul,personal,['2freethrow'],203114,,,1610612752,15,12,2022-01-29T03:28:07Z,570000,,,0,,K. Middleton shooting personal FOUL (1 PF) (Barrett 2 FT),"[203114, 1629628]",1610612749.0,MIL,shooting,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,201245.0,1.0,0.0,Barrett,1629628.0,,,
59,PT06M57.00S,2022-01-29T03:24:37.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,15,12,2022-01-29T03:24:37Z,590000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M57.00S,2022-01-29T03:27:10.5Z,1,REGULAR,substitution,out,[],203507,,,1610612752,15,12,2022-01-29T03:27:51Z,600000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M57.00S,2022-01-29T03:27:10.5Z,1,REGULAR,substitution,in,[],1626192,,,1610612752,15,12,2022-01-29T03:27:51Z,610000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M57.00S,2022-01-29T03:28:11.3Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,15,13,2022-01-29T03:28:11Z,620000,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
64,PT06M57.00S,2022-01-29T03:28:23.2Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,15,14,2022-01-29T03:28:23Z,630000,,,0,,R. Barrett Free Throw 2 of 2 (2 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
65,PT06M40.00S,2022-01-29T03:28:40.8Z,1,REGULAR,3pt,Jump Shot,[],1628960,8.623521681997373,2.941176470588235,1610612749,18,14,2022-01-29T03:28:45Z,640000,235.0,29.0,1,left,G. Allen 3PT  (3 PTS) (J. Holiday 2 AST),"[1628960, 201950]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,23.7,Made,3.0,J. Holiday,201950.0,2.0,,,,,,,,,,,,
67,PT06M25.00S,2022-01-29T03:28:56.1Z,1,REGULAR,3pt,Jump Shot,[],203095,67.49342969776609,26.225490196078432,1610612752,18,17,2022-01-29T03:29:01Z,660000,-119.0,253.0,1,right,E. Fournier 27' 3PT  (5 PTS) (K. Walker 1 AST),"[203095, 202689]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,27.96,Made,5.0,K. Walker,202689.0,1.0,,,,,,,,,,,,
69,PT06M13.00S,2022-01-29T03:29:09.1Z,1,REGULAR,3pt,Jump Shot,[],203114,31.09395532194481,65.68627450980392,1610612749,18,17,2022-01-29T03:29:16Z,680000,-78.0,240.0,1,left,MISS K. Middleton 25' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,25.23,Missed,,,,,,,,,,,,,,,,
70,PT06M09.00S,2022-01-29T03:29:12.3Z,1,REGULAR,rebound,offensive,[],1626192,,,1610612749,18,17,2022-01-29T03:29:12Z,690000,,,0,,P. Connaughton REBOUND (Off:1 Def:0),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,69.0,1.0,0.0,1.0,,,,,,,,
71,PT06M07.00S,2022-01-29T03:29:14.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626171,30.17411300919842,25.49019607843137,1610612749,18,17,2022-01-29T03:29:19Z,700000,123.0,231.0,1,left,MISS B. Portis 26' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,26.16,Missed,,,,,,,,,,,,,,,,
72,PT06M07.00S,2022-01-29T03:29:14.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,18,17,2022-01-29T03:29:19Z,710000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,71.0,2.0,2.0,0.0,,,,,,,,
73,PT05M47.00S,2022-01-29T03:29:35.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,87.33574244415243,37.254901960784316,1610612752,18,17,2022-01-29T03:29:46Z,720000,-64.0,67.0,1,right,MISS R. Barrett 9' Jump Shot,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,9.21,Missed,,,,,,,,,,,,,,,,
74,PT05M44.00S,2022-01-29T03:29:38.4Z,1,REGULAR,rebound,offensive,[],203944,,,1610612752,18,17,2022-01-29T03:29:46Z,730000,,,0,,J. Randle REBOUND (Off:1 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,73.0,3.0,2.0,1.0,,,,,,,,
75,PT05M41.00S,2022-01-29T03:29:40.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629628,81.68528252299606,33.33333333333333,1610612752,18,17,2022-01-29T03:29:48Z,740000,-83.0,120.0,1,right,MISS R. Barrett 14' Jump Shot,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,14.58,Missed,,,,,,,,,,,,,,,,
76,PT05M38.00S,2022-01-29T03:29:42.8Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,18,17,2022-01-29T03:29:42Z,750000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,75.0,1.0,1.0,0.0,,,,,,,,
77,PT05M36.00S,2022-01-29T03:29:46.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201950,29.911300919842315,26.715686274509803,1610612749,21,17,2022-01-29T03:29:52Z,760000,116.0,229.0,1,left,J. Holiday 25' 3PT running pullup (5 PTS),[201950],1610612749.0,MIL,running pullup,,,Holiday,J. Holiday,,,,,,,,25.66,Made,5.0,,,,,,,,,,,,,,,
78,PT05M18.00S,2022-01-29T03:30:03.1Z,1,REGULAR,3pt,Jump Shot,[],203095,95.3515111695138,3.431372549019608,1610612752,21,20,2022-01-29T03:30:08Z,770000,-233.0,-9.0,1,right,E. Fournier 3PT  (8 PTS) (R. Barrett 1 AST),"[203095, 1629628]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,23.3,Made,8.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,
80,PT05M08.00S,2022-01-29T03:30:13.9Z,1,REGULAR,3pt,Jump Shot,[],1626171,33.98488830486202,46.81372549019608,1610612749,24,20,2022-01-29T03:30:18Z,790000,16.0,267.0,1,left,B. Portis 26' 3PT  (5 PTS) (J. Holiday 3 AST),"[1626171, 201950]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,26.75,Made,5.0,J. Holiday,201950.0,3.0,,,,,,,,,,,,
82,PT04M53.00S,2022-01-29T03:30:29.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,91.14651773981603,63.23529411764706,1610612752,24,20,2022-01-29T03:30:36Z,810000,66.0,31.0,1,right,MISS R. Barrett 7' driving Layup,[1629628],1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,,,,7.3,Missed,,,,,,,,,,,,,,,,
83,PT04M52.00S,2022-01-29T03:30:30.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,24,20,2022-01-29T03:30:36Z,820000,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,
84,PT04M52.00S,2022-01-29T03:30:36.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,24,20,2022-01-29T03:30:36Z,830000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M52.00S,2022-01-29T03:30:39.5Z,1,REGULAR,substitution,out,[],1628960,,,1610612749,24,20,2022-01-29T03:30:49Z,840000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M52.00S,2022-01-29T03:30:39.5Z,1,REGULAR,substitution,out,[],201950,,,1610612749,24,20,2022-01-29T03:30:49Z,850000,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M52.00S,2022-01-29T03:30:39.5Z,1,REGULAR,substitution,out,[],202689,,,1610612749,24,20,2022-01-29T03:30:49Z,860000,,,0,,SUB out: K. Walker,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M52.00S,2022-01-29T03:30:39.5Z,1,REGULAR,substitution,in,[],201588,,,1610612749,24,20,2022-01-29T03:30:49Z,870000,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M52.00S,2022-01-29T03:30:39.5Z,1,REGULAR,substitution,in,[],1628978,,,1610612749,24,20,2022-01-29T03:30:49Z,880000,,,0,,SUB in: D. DiVincenzo,[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,
