actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
40,PT10M33.00S,2021-11-21T01:13:36.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,1,0,2021-11-21T01:16:23Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M27.00S,2021-11-21T01:14:25.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203507,89.56964520367937,47.794117647058826,1610612749,3,0,2021-11-21T01:14:56Z,220000,-11.0,46.0,1,right,G. Antetokounmpo driving Hook (2 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,4.68,Made,,,,,,,,,,2.0,,,,,,,,,
23,PT10M19.00S,2021-11-21T01:14:34.3Z,1,REGULAR,3pt,Jump Shot,[],1630591,33.722076215505915,27.696078431372552,1610612753,3,3,2021-11-21T01:14:40Z,230000,112.0,264.0,1,left,J. Suggs 28' 3PT pullup (3 PTS),[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,28.7,Made,,,,,,,,,,3.0,,,,,,,,,
24,PT10M05.00S,2021-11-21T01:14:46.6Z,1,REGULAR,3pt,Jump Shot,[],201950,87.59855453350855,4.411764705882353,1610612749,6,3,2021-11-21T01:14:51Z,240000,-228.0,64.0,1,right,J. Holiday 3PT  (4 PTS) (K. Middleton 1 AST),"[201950, 203114]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,23.67,Made,,,,,,,,,,4.0,,K. Middleton,203114.0,1.0,,,,,
26,PT09M54.00S,2021-11-21T01:14:58.5Z,1,REGULAR,3pt,Jump Shot,[],1628976,34.90473061760841,55.63725490196079,1610612753,6,6,2021-11-21T01:15:03Z,260000,-28.0,276.0,1,left,W. Carter Jr. 27' 3PT  (3 PTS) (G. Harris 1 AST),"[1628976, 203914]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,27.7,Made,,,,,,,,,,3.0,,G. Harris,203914.0,1.0,,,,,
28,PT09M43.00S,2021-11-21T01:15:09.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,92.72339027595268,46.32352941176471,1610612749,6,6,2021-11-21T01:15:14Z,280000,-18.0,16.0,1,right,MISS G. Antetokounmpo alley-oop DUNK,[203507],1610612749.0,MIL,alley-oop,,,Antetokounmpo,G. Antetokounmpo,,,,,2.43,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M40.00S,2021-11-21T01:15:12.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,6,6,2021-11-21T01:15:14Z,290000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
30,PT09M36.00S,2021-11-21T01:15:16.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630532,7.440867279894875,96.07843137254902,1610612753,6,9,2021-11-21T01:15:23Z,300000,-230.0,17.0,1,left,F. Wagner 3PT running (3 PTS) (J. Suggs 1 AST),"[1630532, 1630591]",1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,23.11,Made,,,,,,,,,,3.0,,J. Suggs,1630591.0,1.0,,,,,
32,PT09M19.00S,2021-11-21T01:15:32.5Z,1,REGULAR,3pt,Jump Shot,[],1626171,65.78515111695138,49.26470588235294,1610612749,9,9,2021-11-21T01:15:38Z,320000,-4.0,269.0,1,right,B. Portis 26' 3PT  (3 PTS) (J. Holiday 1 AST),"[1626171, 201950]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,26.91,Made,,,,,,,,,,3.0,,J. Holiday,201950.0,1.0,,,,,
34,PT09M07.00S,2021-11-21T01:15:45.0Z,1,REGULAR,3pt,Jump Shot,[],1630591,29.6484888304862,75.49019607843137,1610612753,9,9,2021-11-21T01:15:51Z,340000,-127.0,226.0,1,left,MISS J. Suggs 25' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,25.97,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M05.00S,2021-11-21T01:15:47.0Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,9,9,2021-11-21T01:15:51Z,350000,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
36,PT08M58.00S,2021-11-21T01:15:53.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,93.51182654402102,51.9607843137255,1610612749,11,9,2021-11-21T01:16:00Z,360000,10.0,8.0,1,right,G. Antetokounmpo alley-oop Layup (4 PTS) (K. Middleton 2 AST),"[203507, 203114]",1610612749.0,MIL,alley-oop,,,Antetokounmpo,G. Antetokounmpo,,,,,1.3,Made,,,,,,,,,,4.0,,K. Middleton,203114.0,2.0,,,,,
38,PT08M44.00S,2021-11-21T01:16:08.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,9.149145860709593,42.40196078431372,1610612753,11,9,2021-11-21T01:16:15Z,380000,38.0,34.0,1,left,MISS F. Wagner driving floating Shot,[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,5.07,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M40.00S,2021-11-21T01:16:12.7Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,11,9,2021-11-21T01:16:15Z,390000,,,0,,B. Portis REBOUND (Off:0 Def:3),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,38.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
41,PT08M33.00S,2021-11-21T01:16:25.3Z,1,REGULAR,foul,personal,['2freethrow'],1630591,,,1610612749,11,9,2021-11-21T01:17:02Z,400000,,,0,,J. Suggs shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1630591, 203507]",1610612753.0,ORL,shooting,,,Suggs,J. Suggs,,,,,,,,,,,1626300.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,
43,PT08M33.00S,2021-11-21T01:17:03.7Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,11,9,2021-11-21T01:17:36Z,420000,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M33.00S,2021-11-21T01:17:03.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612749,11,9,2021-11-21T01:17:36Z,430000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,
45,PT08M33.00S,2021-11-21T01:17:03.7Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,11,9,2021-11-21T01:17:36Z,440000,,,0,,MISS G. Antetokounmpo Free Throw 2 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M29.00S,2021-11-21T01:17:07.7Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,11,9,2021-11-21T01:17:36Z,450000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
47,PT08M14.00S,2021-11-21T01:17:43.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203914,9.674770039421814,41.42156862745098,1610612753,11,9,2021-11-21T01:17:51Z,460000,43.0,38.0,1,left,MISS G. Harris Jump Shot,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,5.76,Missed,,,,,,,,,,,,,,,,,,,
49,PT08M14.00S,2021-11-21T01:17:43.9Z,1,REGULAR,rebound,offensive,[],203914,,,1610612753,11,9,2021-11-21T01:17:51Z,480000,,,0,,G. Harris REBOUND (Off:1 Def:0),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,47.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
50,PT08M14.00S,2021-11-21T01:17:49.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203914,7.440867279894875,47.549019607843135,1610612753,11,11,2021-11-21T01:17:57Z,490000,12.0,17.0,1,left,G. Harris putback Layup (2 PTS),[203914],1610612753.0,ORL,putback,,,Harris,G. Harris,,,,,2.13,Made,,,,,,,,,,2.0,,,,,,,,,
51,PT08M14.00S,2021-11-21T01:17:55.1Z,1,REGULAR,foul,personal,['1freethrow'],203114,,,1610612753,11,11,2021-11-21T01:18:05Z,500000,,,0,,K. Middleton shooting personal FOUL (1 PF) (Harris 1 FT),"[203114, 203914]",1610612749.0,MIL,shooting,,,Middleton,K. Middleton,,,,,,,,,,,203591.0,1.0,0.0,Harris,203914.0,,,,,,,,,,
53,PT08M14.00S,2021-11-21T01:18:10.0Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203914,,,1610612753,11,12,2021-11-21T01:18:10Z,520000,,,0,,G. Harris Free Throw 1 of 1 (3 PTS),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
54,PT07M57.00S,2021-11-21T01:18:27.5Z,1,REGULAR,3pt,Jump Shot,[],201950,72.61826544021025,91.42156862745098,1610612749,14,12,2021-11-21T01:18:33Z,530000,207.0,205.0,1,right,J. Holiday 29' 3PT  (7 PTS) (K. Middleton 3 AST),"[201950, 203114]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,29.13,Made,,,,,,,,,,7.0,,K. Middleton,203114.0,3.0,,,,,
56,PT07M48.00S,2021-11-21T01:18:36.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,10.463206307490145,50.245098039215684,1610612753,14,12,2021-11-21T01:18:41Z,550000,-1.0,46.0,1,left,MISS J. Suggs driving Layup,[1630591],1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,4.59,Missed,,,,,,,,,,,,,,,,,,,
57,PT07M45.00S,2021-11-21T01:18:39.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,14,12,2021-11-21T01:18:41Z,560000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
58,PT07M41.00S,2021-11-21T01:18:45.8Z,1,REGULAR,turnover,out-of-bounds,[],201950,,,1610612749,14,12,2021-11-21T01:19:12Z,570000,,,0,,J. Holiday bad pass out-of-bounds TURNOVER (1 TO),[201950],1610612749.0,MIL,bad pass,,,Holiday,J. Holiday,,,,,,,,,,,1626300.0,,,,,,1.0,,,,,,,,
59,PT07M41.00S,2021-11-21T01:18:53.6Z,1,REGULAR,substitution,out,[],203114,,,1610612753,14,12,2021-11-21T01:19:01Z,580000,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M41.00S,2021-11-21T01:18:53.6Z,1,REGULAR,substitution,out,[],1626171,,,1610612753,14,12,2021-11-21T01:19:01Z,590000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M41.00S,2021-11-21T01:18:53.6Z,1,REGULAR,substitution,in,[],1626192,,,1610612753,14,12,2021-11-21T01:19:01Z,600000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M41.00S,2021-11-21T01:18:53.6Z,1,REGULAR,substitution,in,[],201588,,,1610612753,14,12,2021-11-21T01:19:01Z,610000,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M24.00S,2021-11-21T01:19:20.7Z,1,REGULAR,turnover,lost ball,[],1630591,,,1610612753,14,12,2021-11-21T01:19:32Z,620000,,,0,,J. Suggs lost ball TURNOVER (2 TO),"[1630591, 201950]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,2.0,,,,Holiday,201950.0,,,
64,PT07M24.00S,2021-11-21T01:19:20.7Z,1,REGULAR,steal,,[],201950,,,1610612749,14,12,2021-11-21T01:19:23Z,630000,,,0,,J. Holiday STEAL (1 STL),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M20.00S,2021-11-21T01:19:26.0Z,1,REGULAR,foul,personal,['2freethrow'],1630591,,,1610612749,14,12,2021-11-21T01:19:39Z,640000,,,0,,J. Suggs shooting personal FOUL (2 PF) (Antetokounmpo 2 FT),"[1630591, 203507]",1610612753.0,ORL,shooting,,,Suggs,J. Suggs,,,,,,,,,,,203591.0,2.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,
67,PT07M20.00S,2021-11-21T01:20:00.3Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203507,,,1610612749,15,12,2021-11-21T01:20:00Z,660000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (5 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,,,,,,,,5.0,,,,,,,,,
68,PT07M20.00S,2021-11-21T01:20:24.2Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",203507,,,1610612749,16,12,2021-11-21T01:20:24Z,670000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (6 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,,,,,,,,6.0,,,,,,,,,
69,PT07M02.00S,2021-11-21T01:20:45.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628964,8.754927726675426,57.59803921568627,1610612753,16,12,2021-11-21T01:20:50Z,680000,-38.0,30.0,1,left,MISS M. Bamba driving Layup,[1628964],1610612753.0,ORL,driving,,,Bamba,M. Bamba,,,,,4.83,Missed,,,,,,,,,,,,,,,,,,,
70,PT06M59.00S,2021-11-21T01:20:48.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,16,12,2021-11-21T01:20:50Z,690000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,69.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
71,PT06M53.00S,2021-11-21T01:20:57.4Z,1,REGULAR,foul,personal,[],1628976,,,1610612749,16,12,2021-11-21T01:24:22Z,700000,,,0,,W. Carter Jr. personal FOUL (2 PF),"[1628976, 203507]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,1626300.0,2.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,
73,PT06M53.00S,2021-11-21T01:21:54.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,16,12,2021-11-21T01:21:54Z,720000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M53.00S,2021-11-21T01:23:39.9Z,1,REGULAR,substitution,out,[],1630532,,,1610612749,16,12,2021-11-21T01:24:02Z,730000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M53.00S,2021-11-21T01:23:39.9Z,1,REGULAR,substitution,in,[],203082,,,1610612749,16,12,2021-11-21T01:24:02Z,740000,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M41.00S,2021-11-21T01:24:27.3Z,1,REGULAR,turnover,bad pass,[],203507,,,1610612749,16,12,2021-11-21T01:24:32Z,750000,,,0,,G. Antetokounmpo bad pass TURNOVER (1 TO),"[203507, 1628964]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,1.0,,,,Bamba,1628964.0,,,
77,PT06M41.00S,2021-11-21T01:24:27.3Z,1,REGULAR,steal,,[],1628964,,,1610612753,16,12,2021-11-21T01:29:00Z,760000,,,0,,M. Bamba STEAL (1 STL),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M27.00S,2021-11-21T01:24:41.4Z,1,REGULAR,2pt,Hook,['fromturnover'],1628964,8.229303547963205,33.82352941176471,1610612753,16,14,2021-11-21T01:24:46Z,770000,81.0,25.0,1,left,M. Bamba 8' turnaround Hook (2 PTS),[1628964],1610612753.0,ORL,turnaround,,,Bamba,M. Bamba,,,,,8.46,Made,,,,,,,,,,2.0,,,,,,,,,
79,PT06M13.00S,2021-11-21T01:24:57.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628964,,,1610612749,16,14,2021-11-21T01:25:10Z,780000,,,0,,M. Bamba shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1628964, 203507]",1610612753.0,ORL,shooting,,,Bamba,M. Bamba,,,,,,,,,,,203591.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,
81,PT06M13.00S,2021-11-21T01:25:31.0Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,17,14,2021-11-21T01:25:30Z,800000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (7 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,,,,,,,,7.0,,,,,,,,,
82,PT06M13.00S,2021-11-21T01:25:33.5Z,1,REGULAR,substitution,out,[],1628976,,,1610612749,17,14,2021-11-21T01:25:37Z,810000,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M13.00S,2021-11-21T01:25:33.5Z,1,REGULAR,substitution,in,[],1629643,,,1610612749,17,14,2021-11-21T01:25:37Z,820000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M13.00S,2021-11-21T01:25:54.0Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,18,14,2021-11-21T01:25:54Z,830000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (8 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,,,,,,,,8.0,,,,,,,,,
85,PT06M03.00S,2021-11-21T01:26:03.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,19.004599211563733,47.05882352941176,1610612753,18,14,2021-11-21T01:26:08Z,840000,15.0,126.0,1,left,MISS J. Suggs 12' driving floating Shot,[1630591],1610612753.0,ORL,driving floating,,,Suggs,J. Suggs,,,,,12.7,Missed,,,,,,,,,,,,,,,,,,,
86,PT06M01.00S,2021-11-21T01:26:05.9Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,18,14,2021-11-21T01:26:08Z,850000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,85.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
87,PT05M54.00S,2021-11-21T01:26:13.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,90.75229960578186,46.568627450980394,1610612749,18,14,2021-11-21T01:26:21Z,860000,-17.0,34.0,1,right,MISS J. Holiday driving Layup,[201950],1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,3.85,Missed,,,,,,,,,,,,,,,,,,,
88,PT05M52.00S,2021-11-21T01:26:16.1Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,18,14,2021-11-21T01:26:16Z,870000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,87.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
89,PT05M50.00S,2021-11-21T01:26:22.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,18,14,2021-11-21T01:26:22Z,880000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M39.00S,2021-11-21T01:26:39.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628960,73.40670170827858,11.76470588235294,1610612749,21,14,2021-11-21T01:26:44Z,890000,-191.0,197.0,1,right,G. Allen 27' 3PT step back (3 PTS) (J. Holiday 2 AST),"[1628960, 201950]",1610612749.0,MIL,step back,,,Allen,G. Allen,,,,,27.49,Made,,,,,,,,,,3.0,,J. Holiday,201950.0,2.0,,,,,
92,PT05M26.00S,2021-11-21T01:26:51.8Z,1,REGULAR,2pt,Jump Shot,[],203914,23.209592641261498,48.28431372549019,1610612753,21,14,2021-11-21T01:26:58Z,910000,9.0,166.0,1,left,MISS G. Harris 16' pullup Shot,[203914],1610612753.0,ORL,pullup,,,Harris,G. Harris,,,,,16.59,Missed,,,,,,,,,,,,,,,,,,,
93,PT05M22.00S,2021-11-21T01:26:55.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,21,14,2021-11-21T01:26:55Z,920000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:4),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,92.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
