actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
16,PT10M59.00S,2021-12-19T02:12:37.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202326,6.1268068331143235,49.754901960784316,1610612749,4,3,2021-12-19T02:12:42Z,160000,1.0,5.0,1,left,D. Cousins putback Layup (2 PTS),[202326],1610612749.0,MIL,putback,,,,,,0.52,Made,Cousins,D. Cousins,,,,,,,,2.0,,,,,,,,,,,
17,PT10M48.00S,2021-12-19T02:12:48.8Z,1,REGULAR,3pt,Jump Shot,[],1629731,67.7562417871222,70.58823529411765,1610612739,4,3,2021-12-19T02:12:54Z,170000,103.0,251.0,1,right,MISS D. Wade 27' 3PT,[1629731],1610612739.0,CLE,,,,,,,27.09,Missed,Wade,D. Wade,,,,,,,,,,,,,,,,,,,
18,PT10M44.00S,2021-12-19T02:12:52.8Z,1,REGULAR,rebound,defensive,[],202326,,,1610612749,4,3,2021-12-19T02:12:54Z,180000,,,0,,D. Cousins REBOUND (Off:1 Def:1),[202326],1610612749.0,MIL,,,,,,,,,Cousins,D. Cousins,17.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
19,PT10M29.00S,2021-12-19T02:13:07.7Z,1,REGULAR,3pt,Jump Shot,[],1629670,33.065045992115635,64.70588235294117,1610612749,7,3,2021-12-19T02:13:11Z,190000,-74.0,258.0,1,left,J. Nwora 26' 3PT  (3 PTS),[1629670],1610612749.0,MIL,,,,,,,26.86,Made,Nwora,J. Nwora,,,,,,,,3.0,,,,,,,,,,,
20,PT10M11.00S,2021-12-19T02:13:25.4Z,1,REGULAR,3pt,Jump Shot,[],1629731,93.9060446780552,4.166666666666666,1610612739,7,3,2021-12-19T02:13:34Z,200000,-229.0,5.0,1,right,MISS D. Wade 3PT,[1629731],1610612739.0,CLE,,,,,,,22.93,Missed,Wade,D. Wade,,,,,,,,,,,,,,,,,,,
21,PT10M06.00S,2021-12-19T02:13:30.4Z,1,REGULAR,rebound,offensive,[],1630205,,,1610612739,7,3,2021-12-19T02:13:34Z,210000,,,0,,L. Stevens REBOUND (Off:1 Def:0),[1630205],1610612739.0,CLE,,,,,,,,,Stevens,L. Stevens,20.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
22,PT10M01.00S,2021-12-19T02:13:35.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629636,71.30420499342969,75.49019607843137,1610612739,7,6,2021-12-19T02:13:46Z,220000,127.0,217.0,1,right,D. Garland 25' 3PT  (6 PTS) (L. Stevens 1 AST),"[1629636, 1630205]",1610612739.0,CLE,,,,,,,25.19,Made,Garland,D. Garland,,,,,,,,6.0,L. Stevens,1630205.0,1.0,,,,,,,,
24,PT09M51.00S,2021-12-19T02:13:45.9Z,1,REGULAR,3pt,Jump Shot,[],202326,32.53942181340342,66.66666666666666,1610612749,7,6,2021-12-19T02:13:52Z,240000,-83.0,253.0,1,left,MISS D. Cousins 26' 3PT,[202326],1610612749.0,MIL,,,,,,,26.67,Missed,Cousins,D. Cousins,,,,,,,,,,,,,,,,,,,
25,PT09M48.00S,2021-12-19T02:13:48.9Z,1,REGULAR,rebound,defensive,[],1630205,,,1610612739,7,6,2021-12-19T02:13:52Z,250000,,,0,,L. Stevens REBOUND (Off:1 Def:1),[1630205],1610612739.0,CLE,,,,,,,,,Stevens,L. Stevens,24.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
26,PT09M42.00S,2021-12-19T02:13:54.3Z,1,REGULAR,3pt,Jump Shot,[],1628374,65.1281208935611,41.66666666666667,1610612739,7,6,2021-12-19T02:13:59Z,260000,-42.0,275.0,1,right,MISS L. Markkanen 27' 3PT,[1628374],1610612739.0,CLE,,,,,,,27.84,Missed,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,
27,PT09M40.00S,2021-12-19T02:13:56.3Z,1,REGULAR,rebound,defensive,[],1629670,,,1610612749,7,6,2021-12-19T02:13:59Z,270000,,,0,,J. Nwora REBOUND (Off:0 Def:1),[1629670],1610612749.0,MIL,,,,,,,,,Nwora,J. Nwora,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
28,PT09M24.00S,2021-12-19T02:14:17.8Z,1,REGULAR,foul,personal,[],1629731,,,1610612749,7,6,2021-12-19T02:14:26Z,280000,,,0,,D. Wade personal FOUL (1 PF),"[1629731, 202326]",1610612739.0,CLE,,,,,,,,,Wade,D. Wade,,,,,,,,,,,,202026.0,1.0,0.0,Cousins,202326.0,,,
30,PT09M13.00S,2021-12-19T02:14:43.8Z,1,REGULAR,3pt,Jump Shot,[],1629670,32.53942181340342,70.09803921568627,1610612749,10,6,2021-12-19T02:14:49Z,300000,-100.0,253.0,1,left,J. Nwora 27' 3PT step back (6 PTS),[1629670],1610612749.0,MIL,step back,,,,,,27.26,Made,Nwora,J. Nwora,,,,,,,,6.0,,,,,,,,,,,
31,PT09M12.00S,2021-12-19T02:14:52.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,10,6,2021-12-19T02:14:52Z,310000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT08M52.00S,2021-12-19T02:18:00.0Z,1,REGULAR,3pt,Jump Shot,[],1630205,71.04139290407359,15.931372549019606,1610612739,10,9,2021-12-19T02:18:05Z,320000,-170.0,220.0,1,right,L. Stevens 27' 3PT  (3 PTS) (J. Allen 1 AST),"[1630205, 1628386]",1610612739.0,CLE,,,,,,,27.8,Made,Stevens,L. Stevens,,,,,,,,3.0,J. Allen,1628386.0,1.0,,,,,,,,
34,PT08M43.00S,2021-12-19T02:18:12.6Z,1,REGULAR,foul,personal,[],1630205,,,1610612749,10,9,2021-12-19T02:18:36Z,340000,,,0,,L. Stevens personal FOUL (1 PF),"[1630205, 202326]",1610612739.0,CLE,,,,,,,,,Stevens,L. Stevens,,,,,,,,,,,,202026.0,1.0,0.0,Cousins,202326.0,,,
36,PT08M28.00S,2021-12-19T02:18:47.6Z,1,REGULAR,2pt,Jump Shot,[],202326,11.514454664914586,18.627450980392158,1610612749,10,9,2021-12-19T02:18:52Z,360000,157.0,56.0,1,left,MISS D. Cousins 16' Jump Shot,[202326],1610612749.0,MIL,,,,,,,16.65,Missed,Cousins,D. Cousins,,,,,,,,,,,,,,,,,,,
37,PT08M25.00S,2021-12-19T02:18:50.6Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,10,9,2021-12-19T02:18:52Z,370000,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,,,,,,Wade,D. Wade,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
38,PT08M16.00S,2021-12-19T02:18:59.5Z,1,REGULAR,turnover,bad pass,[],1629636,,,1610612739,10,9,2021-12-19T02:19:06Z,380000,,,0,,D. Garland bad pass TURNOVER (2 TO),"[1629636, 1630606]",1610612739.0,CLE,,,,,,,,,Garland,D. Garland,,,,,2.0,Smart,1630606.0,,,,,,,,,,,,
39,PT08M16.00S,2021-12-19T02:18:59.5Z,1,REGULAR,steal,,[],1630606,,,1610612749,10,9,2021-12-19T02:19:02Z,390000,,,0,,J. Smart STEAL (1 STL),[1630606],1610612749.0,MIL,,,,,,,,,Smart,J. Smart,,,,,,,,,,,,,,,,,,,
40,PT08M10.00S,2021-12-19T02:19:04.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630606,6.389618922470433,53.18627450980392,1610612749,12,9,2021-12-19T02:19:13Z,400000,-16.0,8.0,1,left,J. Smart running Layup (2 PTS),[1630606],1610612749.0,MIL,running,,,,,,1.76,Made,Smart,J. Smart,,,,,,,,2.0,,,,,,,,,,,
41,PT07M54.00S,2021-12-19T02:19:22.2Z,1,REGULAR,turnover,bad pass,[],1630205,,,1610612739,12,9,2021-12-19T02:19:30Z,410000,,,0,,L. Stevens bad pass TURNOVER (1 TO),"[1630205, 202326]",1610612739.0,CLE,,,,,,,,,Stevens,L. Stevens,,,,,1.0,Cousins,202326.0,,,,,,,,,,,,
42,PT07M54.00S,2021-12-19T02:19:22.2Z,1,REGULAR,steal,,[],202326,,,1610612749,12,9,2021-12-19T02:19:24Z,420000,,,0,,D. Cousins STEAL (2 STL),[202326],1610612749.0,MIL,,,,,,,,,Cousins,D. Cousins,,,,,,,,,,,,,,,,,,,
43,PT07M45.00S,2021-12-19T02:19:30.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629670,24.917871222076215,8.57843137254902,1610612749,12,9,2021-12-19T02:19:36Z,430000,207.0,182.0,1,left,MISS J. Nwora 27' running 3PT,[1629670],1610612749.0,MIL,running,,,,,,27.55,Missed,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,
44,PT07M42.00S,2021-12-19T02:19:33.2Z,1,REGULAR,rebound,defensive,[],1630205,,,1610612739,12,9,2021-12-19T02:19:36Z,440000,,,0,,L. Stevens REBOUND (Off:1 Def:2),[1630205],1610612739.0,CLE,,,,,,,,,Stevens,L. Stevens,43.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
45,PT07M28.00S,2021-12-19T02:19:47.4Z,1,REGULAR,3pt,Jump Shot,[],1630205,93.38042049934296,96.32352941176471,1610612739,12,9,2021-12-19T02:19:56Z,450000,232.0,10.0,1,right,MISS L. Stevens 3PT,[1630205],1610612739.0,CLE,,,,,,,23.18,Missed,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,
46,PT07M25.00S,2021-12-19T02:19:50.4Z,1,REGULAR,rebound,defensive,[],1629670,,,1610612749,12,9,2021-12-19T02:19:56Z,460000,,,0,,J. Nwora REBOUND (Off:0 Def:2),[1629670],1610612749.0,MIL,,,,,,,,,Nwora,J. Nwora,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
47,PT07M23.00S,2021-12-19T02:19:55.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629670,12.302890932982917,50.245098039215684,1610612749,12,9,2021-12-19T02:22:56Z,470000,-1.0,63.0,1,left,MISS J. Nwora 6' running Layup,[1629670],1610612749.0,MIL,running,,,,,,6.31,Missed,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,
48,PT07M22.00S,2021-12-19T02:19:56.0Z,1,REGULAR,rebound,offensive,[],202326,,,1610612749,12,9,2021-12-19T02:22:56Z,480000,,,0,,D. Cousins REBOUND (Off:2 Def:1),[202326],1610612749.0,MIL,,,,,,,,,Cousins,D. Cousins,47.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
49,PT07M22.00S,2021-12-19T02:19:59.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202326,5.590000152587891,50.0,1610612749,12,9,2021-12-19T02:28:33Z,490000,0.0,0.0,1,left,MISS D. Cousins tip Layup,[202326],1610612749.0,MIL,tip,,,,,,0.0,Missed,Cousins,D. Cousins,,,,,,,,,,,,,,,,,,,
50,PT07M20.00S,2021-12-19T02:20:01.7Z,1,REGULAR,rebound,offensive,[],1629670,,,1610612749,12,9,2021-12-19T02:28:33Z,500000,,,0,,J. Nwora REBOUND (Off:1 Def:2),[1629670],1610612749.0,MIL,,,,,,,,,Nwora,J. Nwora,49.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
51,PT07M18.00S,2021-12-19T02:20:09.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630572,28.203022339027594,25.49019607843137,1610612749,12,9,2021-12-19T02:27:54Z,510000,123.0,213.0,1,left,MISS S. Mamukelashvili 24' 3PT,[1630572],1610612749.0,MIL,,,,,,,24.54,Missed,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,
52,PT07M16.00S,2021-12-19T02:20:11.2Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,12,9,2021-12-19T02:29:43Z,520000,,,0,,D. Wade REBOUND (Off:0 Def:2),[1629731],1610612739.0,CLE,,,,,,,,,Wade,D. Wade,51.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
53,PT07M08.00S,2021-12-19T02:20:22.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629636,92.32917214191852,50.73529411764706,1610612739,12,11,2021-12-19T02:30:21Z,530000,4.0,20.0,1,right,D. Garland driving Layup (8 PTS),[1629636],1610612739.0,CLE,driving,,,,,,1.99,Made,Garland,D. Garland,,,,,,,,8.0,,,,,,,,,,,
54,PT06M49.00S,2021-12-19T02:20:29.1Z,1,REGULAR,3pt,Jump Shot,[],202326,31.488173455978973,33.088235294117645,1610612749,15,11,2021-12-19T02:30:45Z,540000,85.0,243.0,1,left,D. Cousins 25' 3PT  (5 PTS) (J. Nwora 1 AST),"[202326, 1629670]",1610612749.0,MIL,,,,,,,25.78,Made,Cousins,D. Cousins,,,,,,,,5.0,J. Nwora,1629670.0,1.0,,,,,,,,
56,PT06M31.00S,2021-12-19T02:20:50.2Z,1,REGULAR,foul,personal,[],202326,,,1610612739,15,11,2021-12-19T02:47:28Z,560000,,,0,,D. Cousins personal FOUL (1 PF),"[202326, 1628386]",1610612749.0,MIL,,,,,,,,,Cousins,D. Cousins,,,,,,,,,,,,101283.0,1.0,0.0,Allen,1628386.0,,,
58,PT06M31.00S,2021-12-19T02:21:00.4Z,1,REGULAR,substitution,out,[],201588,,,1610612739,15,11,2021-12-19T02:21:18Z,580000,,,0,,SUB out: G. Hill,[201588],1610612749.0,MIL,,,,,,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,
59,PT06M31.00S,2021-12-19T02:21:00.4Z,1,REGULAR,substitution,out,[],1628374,,,1610612739,15,11,2021-12-19T02:21:18Z,590000,,,0,,SUB out: L. Markkanen,[1628374],1610612739.0,CLE,,,,,,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,
60,PT06M31.00S,2021-12-19T02:21:00.4Z,1,REGULAR,substitution,out,[],1630205,,,1610612739,15,11,2021-12-19T02:21:18Z,600000,,,0,,SUB out: L. Stevens,[1630205],1610612739.0,CLE,,,,,,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,
61,PT06M31.00S,2021-12-19T02:21:00.4Z,1,REGULAR,substitution,out,[],1629731,,,1610612739,15,11,2021-12-19T02:21:18Z,610000,,,0,,SUB out: D. Wade,[1629731],1610612739.0,CLE,,,,,,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,
62,PT06M31.00S,2021-12-19T02:21:00.4Z,1,REGULAR,substitution,in,[],1626192,,,1610612739,15,11,2021-12-19T02:21:18Z,620000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,,,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,
63,PT06M31.00S,2021-12-19T02:21:00.4Z,1,REGULAR,substitution,in,[],1626224,,,1610612739,15,11,2021-12-19T02:21:18Z,630000,,,0,,SUB in: C. Osman,[1626224],1610612739.0,CLE,,,,,,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,
64,PT06M31.00S,2021-12-19T02:21:00.4Z,1,REGULAR,substitution,in,[],201567,,,1610612739,15,11,2021-12-19T02:21:18Z,640000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,,,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,
65,PT06M31.00S,2021-12-19T02:21:00.4Z,1,REGULAR,substitution,in,[],201937,,,1610612739,15,11,2021-12-19T02:21:18Z,650000,,,0,,SUB in: R. Rubio,[201937],1610612739.0,CLE,,,,,,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,
66,PT06M13.00S,2021-12-19T02:21:34.3Z,1,REGULAR,3pt,Jump Shot,[],201567,66.5735873850197,51.225490196078425,1610612739,15,14,2021-12-19T02:21:39Z,660000,6.0,262.0,1,right,K. Love 26' 3PT  (3 PTS) (R. Rubio 1 AST),"[201567, 201937]",1610612739.0,CLE,,,,,,,26.18,Made,Love,K. Love,,,,,,,,3.0,R. Rubio,201937.0,1.0,,,,,,,,
68,PT05M57.00S,2021-12-19T02:21:54.0Z,1,REGULAR,turnover,out-of-bounds,[],1629670,,,1610612749,15,14,2021-12-19T03:07:51Z,680000,,,0,,J. Nwora lost ball out-of-bounds TURNOVER (1 TO),[1629670],1610612749.0,MIL,lost ball,,,,,,,,Nwora,J. Nwora,,,,,1.0,,,,,,,202026.0,,,,,,,
69,PT05M50.00S,2021-12-19T02:22:03.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201567,93.77463863337714,2.941176470588235,1610612739,15,14,2021-12-19T02:32:22Z,690000,-235.0,6.0,1,right,MISS K. Love running 3PT,[201567],1610612739.0,CLE,running,,,,,,23.54,Missed,Love,K. Love,,,,,,,,,,,,,,,,,,,
70,PT05M49.00S,2021-12-19T02:22:06.0Z,1,REGULAR,rebound,offensive,[],1626224,,,1610612739,15,14,2021-12-19T02:22:06Z,700000,,,0,,C. Osman REBOUND (Off:1 Def:0),[1626224],1610612739.0,CLE,,,,,,,,,Osman,C. Osman,69.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
71,PT05M49.00S,2021-12-19T02:22:08.9Z,1,REGULAR,turnover,out-of-bounds,[],201937,,,1610612739,15,14,2021-12-19T02:22:41Z,710000,,,0,,R. Rubio step out-of-bounds TURNOVER (1 TO),[201937],1610612739.0,CLE,step,,,,,,,,Rubio,R. Rubio,,,,,1.0,,,,,,,202026.0,,,,,,,
72,PT05M49.00S,2021-12-19T02:22:14.8Z,1,REGULAR,substitution,out,[],202326,,,1610612749,15,14,2021-12-19T02:22:19Z,720000,,,0,,SUB out: D. Cousins,[202326],1610612749.0,MIL,,,,,,,,,Cousins,D. Cousins,,,,,,,,,,,,,,,,,,,
73,PT05M49.00S,2021-12-19T02:22:14.8Z,1,REGULAR,substitution,in,[],203648,,,1610612749,15,14,2021-12-19T02:22:19Z,730000,,,0,,SUB in: T. Antetokounmpo,[203648],1610612749.0,MIL,,,,,,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,,,,,,,,,,
74,PT05M35.00S,2021-12-19T02:22:40.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629670,12.171484888304862,35.049019607843135,1610612749,15,14,2021-12-19T02:33:18Z,740000,75.0,62.0,1,left,MISS J. Nwora 9' driving floating Shot,[1629670],1610612749.0,MIL,driving floating,,,,,,9.71,Missed,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,
75,PT05M33.00S,2021-12-19T02:22:42.1Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,15,14,2021-12-19T02:22:45Z,750000,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612739.0,CLE,,,,,,,,,Love,K. Love,74.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
76,PT05M27.00S,2021-12-19T02:22:47.8Z,1,REGULAR,2pt,Jump Shot,[],1629636,77.87450722733246,49.50980392156863,1610612739,15,16,2021-12-19T02:22:53Z,760000,-2.0,155.0,1,right,D. Garland 15' step back Jump Shot (10 PTS),[1629636],1610612739.0,CLE,step back,,,,,,15.55,Made,Garland,D. Garland,,,,,,,,10.0,,,,,,,,,,,
77,PT05M19.00S,2021-12-19T02:23:00.2Z,1,REGULAR,foul,personal,[],201937,,,1610612749,15,16,2021-12-19T02:23:11Z,770000,,,0,,R. Rubio personal FOUL (1 PF),"[201937, 1630606]",1610612739.0,CLE,,,,,,,,,Rubio,R. Rubio,,,,,,,,,,,,1627964.0,1.0,0.0,Smart,1630606.0,,,
79,PT05M12.00S,2021-12-19T02:23:22.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626192,8.229303547963205,46.81372549019608,1610612749,15,16,2021-12-19T02:23:28Z,790000,16.0,25.0,1,left,MISS P. Connaughton driving Layup,[1626192],1610612749.0,MIL,driving,,,,,,2.95,Missed,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,
80,PT05M10.00S,2021-12-19T02:23:24.4Z,1,REGULAR,rebound,offensive,[],203648,,,1610612749,15,16,2021-12-19T02:23:24Z,800000,,,0,,T. Antetokounmpo REBOUND (Off:1 Def:0),[203648],1610612749.0,MIL,,,,,,,,,Antetokounmpo,T. Antetokounmpo,79.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
81,PT05M08.00S,2021-12-19T02:23:26.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630572,28.86005256241787,17.647058823529413,1610612749,15,16,2021-12-19T02:26:01Z,810000,162.0,219.0,1,left,MISS S. Mamukelashvili 27' 3PT,[1630572],1610612749.0,MIL,,,,,,,27.21,Missed,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,
82,PT05M08.00S,2021-12-19T02:23:26.3Z,1,REGULAR,rebound,offensive,[],1626192,,,1610612749,15,16,2021-12-19T02:23:35Z,820000,,,0,,P. Connaughton REBOUND (Off:1 Def:0),[1626192],1610612749.0,MIL,,,,,,,,,Connaughton,P. Connaughton,81.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
83,PT05M03.00S,2021-12-19T02:23:30.8Z,1,REGULAR,turnover,bad pass,[],1626192,,,1610612749,15,16,2021-12-19T02:23:41Z,830000,,,0,,P. Connaughton bad pass TURNOVER (1 TO),"[1626192, 201937]",1610612749.0,MIL,,,,,,,,,Connaughton,P. Connaughton,,,,,1.0,Rubio,201937.0,,,,,,,,,,,,
84,PT05M03.00S,2021-12-19T02:23:30.8Z,1,REGULAR,steal,,[],201937,,,1610612739,15,16,2021-12-19T02:23:33Z,840000,,,0,,R. Rubio STEAL (1 STL),[201937],1610612739.0,CLE,,,,,,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,
85,PT04M58.00S,2021-12-19T02:23:34.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629636,92.59198423127464,52.20588235294118,1610612739,15,18,2021-12-19T02:35:35Z,850000,11.0,17.0,1,right,D. Garland running finger roll Layup (12 PTS) (R. Rubio 2 AST),"[1629636, 201937]",1610612739.0,CLE,running finger roll,,,,,,2.03,Made,Garland,D. Garland,,,,,,,,12.0,R. Rubio,201937.0,2.0,,,,,,,,
87,PT04M42.00S,2021-12-19T02:23:54.7Z,1,REGULAR,turnover,traveling,[],203648,,,1610612749,15,18,2021-12-19T02:24:02Z,870000,,,0,,T. Antetokounmpo traveling TURNOVER (1 TO),[203648],1610612749.0,MIL,,,,,,,,,Antetokounmpo,T. Antetokounmpo,,,,,1.0,,,,,,,202026.0,,,,,,,
