actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
33,PT08M38.00S,2021-11-18T00:49:29.4Z,1,REGULAR,block,,[],203507,,,1610612747,4,8,2021-11-18T00:49:32Z,330000,,,0,,G. Antetokounmpo BLOCK (1 BLK),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M34.00S,2021-11-18T00:49:33.4Z,1,REGULAR,rebound,offensive,[],1629659,,,1610612747,4,8,2021-11-18T00:49:43Z,340000,,,0,,T. Horton-Tucker REBOUND (Off:1 Def:0),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,32.0,1.0,0.0,1.0,,,,,,,,,,,,
35,PT08M33.00S,2021-11-18T00:49:35.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202340,89.83245729303549,94.85294117647058,1610612747,4,11,2021-11-18T00:49:46Z,350000,224.0,43.0,1,right,A. Bradley 3PT  (3 PTS) (R. Westbrook 2 AST),"[202340, 201566]",1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,22.84,Made,,,,,3.0,,,,,,R. Westbrook,201566.0,2.0,,,
38,PT08M08.00S,2021-11-18T00:49:58.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,7.30946123521682,51.9607843137255,1610612749,6,11,2021-11-18T00:51:31Z,370000,-10.0,16.0,1,left,G. Antetokounmpo cutting DUNK (6 PTS) (J. Holiday 1 AST),"[203507, 201950]",1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,1.89,Made,,,,,6.0,,,,,,J. Holiday,201950.0,1.0,,,
42,PT07M52.00S,2021-11-18T00:50:15.8Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612747,6,11,2021-11-18T00:50:22Z,410000,,,0,,R. Westbrook bad pass TURNOVER (2 TO),"[201566, 201950]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,2.0,Holiday,201950.0,,,,,,,,,,,,,,,,,,
43,PT07M52.00S,2021-11-18T00:50:15.8Z,1,REGULAR,steal,,[],201950,,,1610612749,6,11,2021-11-18T00:50:18Z,420000,,,0,,J. Holiday STEAL (1 STL),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M47.00S,2021-11-18T00:50:20.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203507,7.178055190538765,50.245098039215684,1610612749,8,11,2021-11-18T00:50:30Z,430000,-1.0,15.0,1,left,G. Antetokounmpo running Layup (8 PTS) (J. Holiday 2 AST),"[203507, 201950]",1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,1.5,Made,,,,,8.0,,,,,,J. Holiday,201950.0,2.0,,,
46,PT07M36.00S,2021-11-18T00:50:31.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,91.27792378449409,52.20588235294118,1610612747,8,13,2021-11-18T00:53:26Z,450000,11.0,29.0,1,right,R. Westbrook driving Layup (5 PTS),[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,,,,3.15,Made,,,,,5.0,,,,,,,,,,,
47,PT07M25.00S,2021-11-18T00:50:42.2Z,1,REGULAR,3pt,Jump Shot,[],1626171,7.046649145860711,94.6078431372549,1610612749,8,13,2021-11-18T00:50:53Z,460000,-223.0,14.0,1,left,MISS B. Portis 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,22.34,Missed,,,,,,,,,,,,,,,,
48,PT07M24.00S,2021-11-18T00:50:43.2Z,1,REGULAR,rebound,defensive,[],1629659,,,1610612747,8,13,2021-11-18T00:55:02Z,470000,,,0,,T. Horton-Tucker REBOUND (Off:1 Def:1),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,47.0,2.0,1.0,1.0,,,,,,,,,,,,
49,PT07M20.00S,2021-11-18T00:50:50.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,8,13,2021-11-18T00:50:50Z,480000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M20.00S,2021-11-18T00:50:54.2Z,1,REGULAR,substitution,out,[],203114,,,1610612747,8,13,2021-11-18T00:51:05Z,490000,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M20.00S,2021-11-18T00:50:54.2Z,1,REGULAR,substitution,out,[],203507,,,1610612747,8,13,2021-11-18T00:51:05Z,500000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M20.00S,2021-11-18T00:50:54.2Z,1,REGULAR,substitution,in,[],1628400,,,1610612747,8,13,2021-11-18T00:51:05Z,510000,,,0,,SUB in: S. Ojeleye,[1628400],1610612749.0,MIL,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M20.00S,2021-11-18T00:50:54.2Z,1,REGULAR,substitution,in,[],1626192,,,1610612747,8,13,2021-11-18T00:51:05Z,520000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M09.00S,2021-11-18T00:51:22.2Z,1,REGULAR,turnover,out-of-bounds,[],202340,,,1610612747,8,13,2021-11-18T00:52:08Z,530000,,,0,,A. Bradley bad pass out-of-bounds TURNOVER (1 TO),[202340],1610612747.0,LAL,bad pass,,,Bradley,A. Bradley,,,,,1.0,,,,,,,,,,2714.0,,,,,,,,,,
56,PT06M56.00S,2021-11-18T00:51:43.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1626171,9.543363994743759,51.9607843137255,1610612749,10,13,2021-11-18T00:52:42Z,540000,-10.0,37.0,1,left,B. Portis turnaround Hook (2 PTS) (J. Holiday 3 AST),"[1626171, 201950]",1610612749.0,MIL,turnaround,,,Portis,B. Portis,,,,,,,,3.85,Made,,,,,2.0,,,,,,J. Holiday,201950.0,3.0,,,
58,PT06M56.00S,2021-11-18T00:51:47.3Z,1,REGULAR,foul,personal,['1freethrow'],201566,,,1610612749,10,13,2021-11-18T00:55:22Z,560000,,,0,,R. Westbrook shooting personal FOUL (1 PF) (Portis 1 FT),"[201566, 1626171]",1610612747.0,LAL,shooting,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,1627961.0,1.0,0.0,Portis,1626171.0,,,,,,
60,PT06M56.00S,2021-11-18T00:52:17.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,10,13,2021-11-18T00:53:08Z,580000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M56.00S,2021-11-18T00:55:35.4Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1626171,,,1610612749,10,13,2021-11-18T00:55:38Z,590000,,,0,,MISS B. Portis Free Throw 1 of 1,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,Missed,,,,,,,,,,,,,,,,
63,PT06M53.00S,2021-11-18T00:55:38.4Z,1,REGULAR,rebound,defensive,[],2546,,,1610612747,10,13,2021-11-18T00:55:38Z,600000,,,0,,C. Anthony REBOUND (Off:0 Def:2),[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,62.0,2.0,2.0,0.0,,,,,,,,,,,,
64,PT06M42.00S,2021-11-18T00:55:48.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,94.03745072273325,50.73529411764706,1610612747,10,15,2021-11-18T00:55:55Z,610000,4.0,4.0,1,right,R. Westbrook driving Layup (7 PTS),[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,,,,0.51,Made,,,,,7.0,,,,,,,,,,,
65,PT06M28.00S,2021-11-18T00:56:01.9Z,1,REGULAR,turnover,bad pass,[],1626171,,,1610612749,10,15,2021-11-18T00:56:08Z,620000,,,0,,B. Portis bad pass TURNOVER (1 TO),"[1626171, 201566]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,1.0,Westbrook,201566.0,,,,,,,,,,,,,,,,,,
66,PT06M28.00S,2021-11-18T00:56:01.9Z,1,REGULAR,steal,,[],201566,,,1610612747,10,15,2021-11-18T00:56:04Z,630000,,,0,,R. Westbrook STEAL (1 STL),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M20.00S,2021-11-18T00:56:10.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629659,86.5473061760841,2.941176470588235,1610612747,10,18,2021-11-18T00:56:28Z,640000,-235.0,74.0,1,right,T. Horton-Tucker 24' 3PT step back (6 PTS) (R. Westbrook 3 AST),"[1629659, 201566]",1610612747.0,LAL,step back,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,24.67,Made,,,,,6.0,,,,,,R. Westbrook,201566.0,3.0,,,
104,PT06M12.00S,2021-11-18T00:56:22.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628400,9.247700394218143,42.40196078431373,1610612749,10,18,2021-11-18T01:01:55Z,670000,38.0,34.0,1,left,MISS S. Ojeleye turnaround Hook - blocked,"[1628400, 203076]",1610612749.0,MIL,turnaround,,,Ojeleye,S. Ojeleye,,,,,,,,5.13,Missed,,,,,,,,,,,,,,Davis,203076.0,
105,PT06M12.00S,2021-11-18T00:56:22.1Z,1,REGULAR,block,,[],203076,,,1610612749,10,18,2021-11-18T01:01:55Z,680000,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT06M11.00S,2021-11-18T00:56:23.1Z,1,REGULAR,rebound,offensive,[],1628400,,,1610612749,10,18,2021-11-18T01:01:55Z,685000,,,0,,S. Ojeleye REBOUND (Off:1 Def:0),[1628400],1610612749.0,MIL,,,,Ojeleye,S. Ojeleye,,,,,,,,,,104.0,1.0,0.0,1.0,,,,,,,,,,,,
72,PT05M58.00S,2021-11-18T00:56:34.3Z,1,REGULAR,turnover,traveling,[],1626171,,,1610612749,10,18,2021-11-18T00:56:57Z,690000,,,0,,B. Portis traveling TURNOVER (2 TO),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,2.0,,,,,,,,,,2714.0,,,,,,,,,,
73,PT05M58.00S,2021-11-18T00:56:40.1Z,1,REGULAR,substitution,out,[],1626171,,,1610612747,10,18,2021-11-18T00:56:47Z,700000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M58.00S,2021-11-18T00:56:40.1Z,1,REGULAR,substitution,in,[],203507,,,1610612747,10,18,2021-11-18T00:56:47Z,710000,,,0,,SUB in: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M46.00S,2021-11-18T00:57:05.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],2546,78.9257555847569,31.372549019607842,1610612747,10,20,2021-11-18T00:57:12Z,720000,-93.0,146.0,1,right,C. Anthony 17' pullup Jump Shot (2 PTS) (R. Westbrook 4 AST),"[2546, 201566]",1610612747.0,LAL,pullup,,,Anthony,C. Anthony,,,,,,,,17.28,Made,,,,,2.0,,,,,,R. Westbrook,201566.0,4.0,,,
77,PT05M31.00S,2021-11-18T00:57:20.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,8.623521681997373,53.431372549019606,1610612749,10,20,2021-11-18T00:57:25Z,740000,-17.0,29.0,1,left,MISS G. Antetokounmpo driving Layup - blocked,"[203507, 203076]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,3.34,Missed,,,,,,,,,,,,,,Davis,203076.0,
78,PT05M31.00S,2021-11-18T00:57:20.3Z,1,REGULAR,block,,[],203076,,,1610612749,10,20,2021-11-18T00:57:23Z,750000,,,0,,A. Davis BLOCK (2 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M27.00S,2021-11-18T00:57:24.3Z,1,REGULAR,rebound,defensive,[],2546,,,1610612747,10,20,2021-11-18T00:57:25Z,760000,,,0,,C. Anthony REBOUND (Off:0 Def:3),[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,77.0,3.0,3.0,0.0,,,,,,,,,,,,
80,PT05M27.00S,2021-11-18T00:57:27.0Z,1,REGULAR,turnover,out-of-bounds,[],2546,,,1610612747,10,20,2021-11-18T00:57:45Z,770000,,,0,,C. Anthony bad pass out-of-bounds TURNOVER (1 TO),[2546],1610612747.0,LAL,bad pass,,,Anthony,C. Anthony,,,,,1.0,,,,,,,,,,1627961.0,,,,,,,,,,
81,PT05M27.00S,2021-11-18T00:57:34.3Z,1,REGULAR,substitution,out,[],1629659,,,1610612749,10,20,2021-11-18T00:57:47Z,780000,,,0,,SUB out: T. Horton-Tucker,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M27.00S,2021-11-18T00:57:34.3Z,1,REGULAR,substitution,in,[],201961,,,1610612749,10,20,2021-11-18T00:57:47Z,790000,,,0,,SUB in: W. Ellington,[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M08.00S,2021-11-18T00:58:03.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628960,6.521024967148489,51.470588235294116,1610612749,12,20,2021-11-18T00:58:07Z,800000,-7.0,9.0,1,left,G. Allen driving Layup (2 PTS),[1628960],1610612749.0,MIL,driving,,,Allen,G. Allen,,,,,,,,1.15,Made,,,,,2.0,,,,,,,,,,,
84,PT05M00.00S,2021-11-18T00:58:11.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202340,91.67214191852825,51.470588235294116,1610612747,12,22,2021-11-18T00:58:18Z,810000,7.0,26.0,1,right,A. Bradley cutting Layup (5 PTS) (R. Westbrook 5 AST),"[202340, 201566]",1610612747.0,LAL,cutting,,,Bradley,A. Bradley,,,,,,,,2.68,Made,,,,,5.0,,,,,,R. Westbrook,201566.0,5.0,,,
86,PT04M51.00S,2021-11-18T00:58:25.6Z,1,REGULAR,violation,kicked ball,[],203076,,,1610612749,12,22,2021-11-18T00:58:36Z,830000,,,0,,A. Davis kicked ball VIOLATION,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,2714.0,,,,,,,,,,
88,PT04M51.00S,2021-11-18T00:58:32.1Z,1,REGULAR,substitution,in,[],201588,,,1610612749,12,22,2021-11-18T00:58:43Z,850000,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M51.00S,2021-11-18T00:58:32.1Z,1,REGULAR,substitution,out,[],1628960,,,1610612749,12,22,2021-11-18T00:59:56Z,855000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M43.00S,2021-11-18T00:59:04.3Z,1,REGULAR,3pt,Jump Shot,[],1626192,32.802233902759525,32.35294117647059,1610612749,15,22,2021-11-18T00:59:08Z,860000,88.0,256.0,1,left,P. Connaughton 27' 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[1626192, 203507]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,27.06,Made,,,,,3.0,,,,,,G. Antetokounmpo,203507.0,1.0,,,
91,PT04M29.00S,2021-11-18T00:59:18.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202340,87.59855453350855,58.57843137254902,1610612747,15,22,2021-11-18T00:59:31Z,880000,43.0,64.0,1,right,MISS A. Bradley 7' driving Layup,[202340],1610612747.0,LAL,driving,,,Bradley,A. Bradley,,,,,,,,7.71,Missed,,,,,,,,,,,,,,,,
92,PT04M29.00S,2021-11-18T00:59:18.0Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,15,22,2021-11-18T01:05:55Z,890000,,,0,,J. Holiday REBOUND (Off:0 Def:2),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,91.0,2.0,2.0,0.0,,,,,,,,,,,,
