actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
31,PT09M22.00S,2022-10-20T00:15:21.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1626162,5.469776609724048,51.71568627450981,1610612766,4,10,2022-10-20T00:15:34Z,300000,-9.0,-1.0,1,left,K. Oubre Jr. running Layup (4 PTS),[1626162],1610612766.0,CHA,running,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,0.87,Made,4.0,,,,,,,,,,,,,,,,,
32,PT09M22.00S,2022-10-20T00:15:24.9Z,1,REGULAR,foul,personal,['1freethrow'],1630200,,,1610612766,4,10,2022-10-20T00:15:39Z,310000,,,0,,T. Jones shooting personal FOUL (1 PF) (Oubre Jr. 1 FT),"[1630200, 1626162]",1610612759.0,SAS,shooting,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1628171.0,1.0,0.0,Oubre Jr.,1626162.0
34,PT09M22.00S,2022-10-20T00:15:51.0Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1626162,,,1610612766,4,10,2022-10-20T00:15:54Z,330000,,,0,,MISS K. Oubre Jr. Free Throw 1 of 1,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
35,PT09M19.00S,2022-10-20T00:15:54.0Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,4,10,2022-10-20T00:15:54Z,340000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,
36,PT09M06.00S,2022-10-20T00:16:08.2Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612759,4,10,2022-10-20T00:16:28Z,350000,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Johnson 2 FT),"[1626162, 1629640]",1610612766.0,CHA,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1193.0,1.0,0.0,Johnson,1629640.0
38,PT09M06.00S,2022-10-20T00:16:30.3Z,1,REGULAR,freethrow,1 of 2,[],1629640,,,1610612759,4,10,2022-10-20T00:16:30Z,370000,,,0,,MISS K. Johnson Free Throw 1 of 2,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
39,PT09M06.00S,2022-10-20T00:16:30.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,4,10,2022-10-20T00:16:30Z,380000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,
40,PT09M06.00S,2022-10-20T00:16:44.8Z,1,REGULAR,freethrow,2 of 2,[],1629640,,,1610612759,5,10,2022-10-20T00:16:44Z,390000,,,0,,K. Johnson Free Throw 2 of 2 (3 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
41,PT08M54.00S,2022-10-20T00:16:57.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,8.360709592641262,65.19607843137256,1610612766,5,12,2022-10-20T00:17:07Z,400000,-76.0,26.0,1,left,P. Washington 8' driving floating bank Jump Shot (2 PTS) (T. Rozier 2 AST),"[1629023, 1626179]",1610612766.0,CHA,driving floating bank,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,8.04,Made,2.0,T. Rozier,1626179.0,2.0,,,,,,,,,,,,,,
43,PT08M39.00S,2022-10-20T00:17:12.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,87.46714848883047,46.32352941176471,1610612759,7,12,2022-10-20T00:17:22Z,420000,-18.0,65.0,1,right,J. Poeltl 6' turnaround Jump Shot (2 PTS),[1627751],1610612759.0,SAS,turnaround,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,6.78,Made,2.0,,,,,,,,,,,,,,,,,
44,PT08M27.00S,2022-10-20T00:17:26.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,5.995400788436268,46.81372549019608,1610612766,7,12,2022-10-20T00:21:45Z,430000,16.0,4.0,1,left,MISS K. Oubre Jr. driving Layup,[1626162],1610612766.0,CHA,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,1.64,Missed,,,,,,,,,,,,,,,,,,
45,PT08M27.00S,2022-10-20T00:17:30.2Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,7,12,2022-10-20T00:17:30Z,440000,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,44.0,1.0,0.0,1.0,,,,,
46,PT08M27.00S,2022-10-20T00:17:30.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203486,5.590000152587891,50.0,1610612766,7,12,2022-10-20T00:17:30Z,450000,0.0,0.0,1,left,MISS M. Plumlee tip Layup,[203486],1610612766.0,CHA,tip,,,Plumlee,M. Plumlee,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
47,PT08M27.00S,2022-10-20T00:17:32.9Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,7,12,2022-10-20T00:17:32Z,460000,,,0,,M. Plumlee REBOUND (Off:2 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,46.0,2.0,0.0,2.0,,,,,
49,PT08M27.00S,2022-10-20T00:17:41.5Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612766,7,12,2022-10-20T00:17:51Z,480000,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Plumlee 2 FT),"[1627751, 203486]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1193.0,1.0,0.0,Plumlee,203486.0
51,PT08M27.00S,2022-10-20T00:17:53.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203486,,,1610612766,7,13,2022-10-20T00:17:53Z,500000,,,0,,M. Plumlee Free Throw 1 of 2 (3 PTS),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
52,PT08M27.00S,2022-10-20T00:18:06.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203486,,,1610612766,7,14,2022-10-20T00:18:06Z,510000,,,0,,M. Plumlee Free Throw 2 of 2 (4 PTS),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
53,PT08M12.00S,2022-10-20T00:18:22.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,94.69448094612353,43.872549019607845,1610612759,7,14,2022-10-20T00:24:37Z,520000,-31.0,-3.0,1,right,MISS K. Johnson driving Layup,[1629640],1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,3.07,Missed,,,,,,,,,,,,,,,,,,
54,PT08M06.00S,2022-10-20T00:18:28.9Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,7,14,2022-10-20T00:18:29Z,530000,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,53.0,2.0,1.0,1.0,,,,,
55,PT08M06.00S,2022-10-20T00:18:28.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627751,94.40999984741211,50.0,1610612759,7,14,2022-10-20T00:24:10Z,540000,0.0,0.0,1,right,MISS J. Poeltl putback Layup - blocked,"[1627751, 1629023]",1610612759.0,SAS,putback,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,Washington,1629023.0,,,,,,,,,
78,PT08M06.00S,2022-10-20T00:18:28.1Z,1,REGULAR,block,,[],1629023,,,1610612759,7,14,2022-10-20T00:24:10Z,545000,,,0,,P. Washington BLOCK (1 BLK),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
56,PT08M05.00S,2022-10-20T00:18:29.1Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,7,14,2022-10-20T00:24:10Z,550000,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,
57,PT08M03.00S,2022-10-20T00:18:30.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626162,6.783837056504599,53.18627450980392,1610612766,7,16,2022-10-20T00:19:26Z,560000,-16.0,11.0,1,left,K. Oubre Jr. driving Layup (6 PTS) (P. Washington 1 AST),"[1626162, 1629023]",1610612766.0,CHA,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,1.95,Made,6.0,P. Washington,1629023.0,1.0,,,,,,,,,,,,,,
58,PT07M51.00S,2022-10-20T00:18:43.3Z,1,REGULAR,3pt,Jump Shot,[],1630170,73.66951379763469,17.15686274509804,1610612759,7,16,2022-10-20T00:18:48Z,570000,-164.0,195.0,1,right,MISS D. Vassell 25' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,25.49,Missed,,,,,,,,,,,,,,,,,,
59,PT07M51.00S,2022-10-20T00:18:43.3Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,7,16,2022-10-20T00:18:48Z,580000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,58.0,1.0,1.0,0.0,,,,,
60,PT07M34.00S,2022-10-20T00:19:00.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,6.1268068331143235,57.107843137254896,1610612766,7,18,2022-10-20T00:25:54Z,590000,-36.0,5.0,1,left,T. Rozier driving floating bank Jump Shot (4 PTS),[1626179],1610612766.0,CHA,driving floating bank,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,3.59,Made,4.0,,,,,,,,,,,,,,,,,
61,PT07M34.00S,2022-10-20T00:19:09.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,7,18,2022-10-20T00:19:09Z,600000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M21.00S,2022-10-20T00:22:11.0Z,1,REGULAR,2pt,Jump Shot,[],1630200,87.72996057818659,29.166666666666668,1610612759,7,18,2022-10-20T00:22:18Z,610000,-104.0,63.0,1,right,MISS T. Jones 12' floating Shot,[1630200],1610612759.0,SAS,floating,,,Jones,T. Jones,,,,,Mid-Range,8-16 Left,12.17,Missed,,,,,,,,,,,,,,,,,,
65,PT07M16.00S,2022-10-20T00:22:15.3Z,1,REGULAR,rebound,offensive,[],1631110,,,1610612759,7,18,2022-10-20T00:22:15Z,620000,,,0,,J. Sochan REBOUND (Off:1 Def:2),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,64.0,3.0,2.0,1.0,,,,,
66,PT07M16.00S,2022-10-20T00:22:15.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631110,94.40999984741211,50.0,1610612759,9,18,2022-10-20T00:22:15Z,630000,0.0,0.0,1,right,J. Sochan tip Layup (2 PTS),[1631110],1610612759.0,SAS,tip,,,Sochan,J. Sochan,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
67,PT06M57.00S,2022-10-20T00:22:34.6Z,1,REGULAR,2pt,Jump Shot,[],1626179,25.57490144546649,50.245098039215684,1610612766,9,18,2022-10-20T00:22:39Z,640000,-1.0,188.0,1,left,MISS T. Rozier 18' pullup Shot,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Center,18.79,Missed,,,,,,,,,,,,,,,,,,
68,PT06M54.00S,2022-10-20T00:22:37.6Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,9,18,2022-10-20T00:22:39Z,650000,,,0,,J. Sochan REBOUND (Off:1 Def:3),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,67.0,4.0,3.0,1.0,,,,,
69,PT06M47.00S,2022-10-20T00:22:44.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629640,93.9060446780552,50.73529411764706,1610612759,11,18,2022-10-20T00:22:49Z,660000,4.0,5.0,1,right,K. Johnson driving DUNK (5 PTS),[1629640],1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,0.61,Made,5.0,,,,,,,,,,,,,,,,,
70,PT06M34.00S,2022-10-20T00:22:57.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,5.601182654402102,49.754901960784316,1610612766,11,20,2022-10-20T00:23:00Z,670000,1.0,0.0,1,left,K. Oubre Jr. Layup (8 PTS),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,0.12,Made,8.0,,,,,,,,,,,,,,,,,
71,PT06M21.00S,2022-10-20T00:23:10.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,89.17542706964521,54.166666666666664,1610612759,13,20,2022-10-20T00:23:16Z,680000,21.0,49.0,1,right,J. Poeltl floating Jump Shot (4 PTS) (J. Sochan 1 AST),"[1627751, 1631110]",1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,5.35,Made,4.0,J. Sochan,1631110.0,1.0,,,,,,,,,,,,,,
73,PT06M14.00S,2022-10-20T00:23:17.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629023,26.49474375821288,80.14705882352942,1610612766,13,23,2022-10-20T00:23:26Z,700000,-151.0,197.0,1,left,P. Washington 24' 3PT pullup (5 PTS),[1629023],1610612766.0,CHA,pullup,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,24.77,Made,5.0,,,,,,,,,,,,,,,,,
74,PT05M56.00S,2022-10-20T00:23:39.3Z,1,REGULAR,foul,personal,['2freethrow'],203486,,,1610612759,13,23,2022-10-20T00:23:53Z,710000,,,0,,M. Plumlee shooting personal FOUL (1 PF) (Vassell 2 FT),"[203486, 1630170]",1610612766.0,CHA,shooting,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1193.0,1.0,0.0,Vassell,1630170.0
76,PT05M56.00S,2022-10-20T00:24:04.5Z,1,REGULAR,freethrow,1 of 2,[],1630170,,,1610612759,13,23,2022-10-20T00:24:04Z,730000,,,0,,MISS D. Vassell Free Throw 1 of 2,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
77,PT05M56.00S,2022-10-20T00:24:04.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,13,23,2022-10-20T00:24:04Z,740000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,
79,PT05M56.00S,2022-10-20T00:24:05.4Z,1,REGULAR,substitution,out,[],1630200,,,1610612759,13,23,2022-10-20T00:24:22Z,750000,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M56.00S,2022-10-20T00:24:05.4Z,1,REGULAR,substitution,out,[],1629023,,,1610612759,13,23,2022-10-20T00:24:22Z,760000,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M56.00S,2022-10-20T00:24:05.4Z,1,REGULAR,substitution,in,[],1630563,,,1610612759,13,23,2022-10-20T00:24:22Z,770000,,,0,,SUB in: J. Primo,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M56.00S,2022-10-20T00:24:05.4Z,1,REGULAR,substitution,in,[],1629667,,,1610612759,13,23,2022-10-20T00:24:22Z,780000,,,0,,SUB in: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M56.00S,2022-10-20T00:24:26.0Z,1,REGULAR,freethrow,2 of 2,[],1630170,,,1610612759,14,23,2022-10-20T00:24:26Z,790000,,,0,,D. Vassell Free Throw 2 of 2 (1 PTS),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
84,PT05M31.00S,2022-10-20T00:24:50.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203486,5.601182654402102,64.2156862745098,1610612766,14,23,2022-10-20T00:24:59Z,800000,-71.0,0.0,1,left,MISS M. Plumlee 7' fadeaway Shot,[203486],1610612766.0,CHA,fadeaway,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),0-8 Center,7.11,Missed,,,,,,,,,,,,,,,,,,
