actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
37,PT09M05.00S,2023-04-08T20:15:07.1Z,1,REGULAR,block,,[],203497,,,1610612759,8,10,2023-04-08T20:15:09Z,370000,False,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
38,PT09M03.00S,2023-04-08T20:15:09.1Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,8,10,2023-04-08T20:15:11Z,380000,False,,,0,,R. Gobert REBOUND (Off:1 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,36.0,2.0,1.0,1.0,,,,,,,,,,,,,
39,PT08M57.00S,2023-04-08T20:15:15.7Z,1,REGULAR,3pt,Jump Shot,[],1630162,27.020367936925098,19.852941176470587,1610612750,8,10,2023-04-08T20:15:22Z,390000,False,151.0,201.0,1,left,MISS A. Edwards 25' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,25.16,Missed,,,,,,,,,,,,,,,,,,
40,PT08M54.00S,2023-04-08T20:15:18.7Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,8,10,2023-04-08T20:15:22Z,400000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:2),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,,
41,PT08M47.00S,2023-04-08T20:15:25.7Z,1,REGULAR,3pt,Jump Shot,[],1630577,72.61826544021025,21.568627450980394,1610612759,11,10,2023-04-08T20:15:30Z,410000,False,-142.0,205.0,1,right,J. Champagnie 24' 3PT  (3 PTS) (K. Bates-Diop 2 AST),"[1630577, 1628966]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,24.94,Made,3.0,,,,,K. Bates-Diop,1628966.0,2.0,,,,,,,,,,
43,PT08M29.00S,2023-04-08T20:15:44.0Z,1,REGULAR,3pt,Jump Shot,[],1630162,20.05584756898817,6.372549019607843,1610612750,11,13,2023-04-08T20:15:48Z,430000,False,218.0,136.0,1,left,A. Edwards 25' 3PT  (10 PTS) (R. Gobert 2 AST),"[1630162, 203497]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,25.7,Made,10.0,,,,,R. Gobert,203497.0,2.0,,,,,,,,,,
45,PT08M12.00S,2023-04-08T20:16:01.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630572,88.25558475689881,52.69607843137255,1610612759,13,13,2023-04-08T20:16:14Z,450000,False,13.0,58.0,1,right,S. Mamukelashvili Layup (4 PTS) (K. Bates-Diop 3 AST),"[1630572, 1628966]",1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,In The Paint (Non-RA),0-8 Center,5.95,Made,4.0,,,,,K. Bates-Diop,1628966.0,3.0,,,,,,,,,,
47,PT07M59.00S,2023-04-08T20:16:16.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,5.732588699080158,49.01960784313725,1610612750,13,15,2023-04-08T20:16:29Z,470000,False,5.0,1.0,1,left,R. Gobert driving Layup (2 PTS) (K. Towns 2 AST),"[203497, 1626157]",1610612750.0,MIN,driving,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.51,Made,2.0,,,,,K. Towns,1626157.0,2.0,,,,,,,,,,
49,PT07M59.00S,2023-04-08T20:16:19.9Z,1,REGULAR,foul,personal,['1freethrow'],1631103,,,1610612750,13,15,2023-04-08T20:16:57Z,490000,False,,,0,,M. Branham shooting personal FOUL (1 PF) (Gobert 1 FT),"[1631103, 203497]",1610612759.0,SAS,shooting,,,Branham,M. Branham,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1627962.0,1.0,0.0,Gobert,203497.0,,,
52,PT07M59.00S,2023-04-08T20:16:27.5Z,1,REGULAR,substitution,out,[],1628966,,,1610612750,13,15,2023-04-08T20:16:59Z,510000,False,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M59.00S,2023-04-08T20:16:27.5Z,1,REGULAR,substitution,out,[],1631103,,,1610612750,13,15,2023-04-08T20:16:59Z,520000,False,,,0,,SUB out: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M59.00S,2023-04-08T20:16:27.5Z,1,REGULAR,substitution,out,[],1630183,,,1610612750,13,15,2023-04-08T20:16:59Z,530000,False,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M59.00S,2023-04-08T20:16:27.5Z,1,REGULAR,substitution,in,[],1631230,,,1610612750,13,15,2023-04-08T20:16:59Z,540000,False,,,0,,SUB in: D. Barlow,[1631230],1610612759.0,SAS,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M59.00S,2023-04-08T20:16:27.5Z,1,REGULAR,substitution,in,[],1631104,,,1610612750,13,15,2023-04-08T20:16:59Z,550000,False,,,0,,SUB in: B. Wesley,[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M59.00S,2023-04-08T20:16:27.5Z,1,REGULAR,substitution,in,[],203937,,,1610612750,13,15,2023-04-08T20:16:59Z,560000,False,,,0,,SUB in: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M59.00S,2023-04-08T20:16:58.4Z,1,REGULAR,freethrow,1 of 1,[],203497,,,1610612750,13,15,2023-04-08T20:17:01Z,570000,False,,,0,,MISS R. Gobert Free Throw 1 of 1,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
59,PT07M55.00S,2023-04-08T20:17:02.4Z,1,REGULAR,rebound,defensive,[],1630572,,,1610612759,13,15,2023-04-08T20:17:01Z,580000,False,,,0,,S. Mamukelashvili REBOUND (Off:0 Def:1),[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,,
60,PT07M38.00S,2023-04-08T20:17:17.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,86.02168199737189,56.372549019607845,1610612759,15,15,2023-04-08T20:17:21Z,590000,False,32.0,79.0,1,right,T. Jones 8' floating Jump Shot (2 PTS),[1630200],1610612759.0,SAS,floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,8.51,Made,2.0,,,,,,,,,,,,,,,,,
61,PT07M20.00S,2023-04-08T20:17:35.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,5.732588699080158,53.18627450980392,1610612750,15,17,2023-04-08T20:17:39Z,600000,False,-16.0,1.0,1,left,K. Towns Layup (4 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,1.6,Made,4.0,,,,,,,,,,,,,,,,,
62,PT07M08.00S,2023-04-08T20:17:46.7Z,1,REGULAR,3pt,Jump Shot,[],1630572,68.15045992115637,47.549019607843135,1610612759,15,17,2023-04-08T20:17:51Z,610000,False,-12.0,247.0,1,right,MISS S. Mamukelashvili 24' 3PT,[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Center,24.72,Missed,,,,,,,,,,,,,,,,,,
63,PT07M05.00S,2023-04-08T20:17:49.7Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,15,17,2023-04-08T20:17:51Z,620000,False,,,0,,R. Gobert REBOUND (Off:1 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Center,,,,62.0,3.0,2.0,1.0,,,,,,,,,,,,,
64,PT06M57.00S,2023-04-08T20:17:57.2Z,1,REGULAR,3pt,Jump Shot,[],1626157,32.276609724047304,62.745098039215684,1610612750,15,17,2023-04-08T20:18:03Z,630000,False,-64.0,251.0,1,left,MISS K. Towns 25' step back 3PT,[1626157],1610612750.0,MIN,step back,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,25.89,Missed,,,,,,,,,,,,,,,,,,
65,PT06M55.00S,2023-04-08T20:17:59.2Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,15,17,2023-04-08T20:18:03Z,640000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,,
66,PT06M42.00S,2023-04-08T20:18:13.1Z,1,REGULAR,3pt,Jump Shot,[],1630577,69.99014454664915,28.921568627450984,1610612759,18,17,2023-04-08T20:18:16Z,650000,False,-105.0,230.0,1,right,J. Champagnie 25' 3PT  (6 PTS) (T. Jones 3 AST),"[1630577, 1630200]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,25.26,Made,6.0,,,,,T. Jones,1630200.0,3.0,,,,,,,,,,
68,PT06M33.00S,2023-04-08T20:18:30.0Z,1,REGULAR,foul,personal,[],1630572,,,1610612750,18,17,2023-04-08T20:18:38Z,670000,False,,,0,,S. Mamukelashvili personal FOUL (1 PF),"[1630572, 201144]",1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1627962.0,1.0,0.0,Conley,201144.0,,,
70,PT06M33.00S,2023-04-08T20:18:38.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,18,17,2023-04-08T20:18:38Z,690000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M33.00S,2023-04-08T20:21:00.5Z,1,REGULAR,substitution,out,[],1626157,,,1610612750,18,17,2023-04-08T20:21:42Z,700000,False,,,0,,SUB out: K. Towns,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M33.00S,2023-04-08T20:21:00.5Z,1,REGULAR,substitution,in,[],1627752,,,1610612750,18,17,2023-04-08T20:21:42Z,710000,False,,,0,,SUB in: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M19.00S,2023-04-08T20:22:00.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,19.267411300919843,38.48039215686275,1610612750,18,19,2023-04-08T20:22:06Z,720000,False,58.0,129.0,1,left,A. Edwards 14' pullup Jump Shot (12 PTS),[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,14.09,Made,12.0,,,,,,,,,,,,,,,,,
74,PT06M03.00S,2023-04-08T20:22:14.8Z,1,REGULAR,3pt,Jump Shot,[],1630577,72.22404730617609,19.852941176470587,1610612759,21,19,2023-04-08T20:22:19Z,730000,False,-151.0,209.0,1,right,J. Champagnie 25' 3PT  (9 PTS) (S. Mamukelashvili 2 AST),"[1630577, 1630572]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,25.73,Made,9.0,,,,,S. Mamukelashvili,1630572.0,2.0,,,,,,,,,,
76,PT05M49.00S,2023-04-08T20:22:28.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,7.835085413929041,52.450980392156865,1610612750,21,19,2023-04-08T20:22:41Z,750000,False,-12.0,21.0,1,left,MISS A. Edwards driving Layup,[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,2.44,Missed,,,,,,,,,,,,,,,,,,
77,PT05M48.00S,2023-04-08T20:22:29.5Z,1,REGULAR,rebound,defensive,[],1631230,,,1610612759,21,19,2023-04-08T20:22:41Z,760000,False,,,0,,D. Barlow REBOUND (Off:0 Def:1),[1631230],1610612759.0,SAS,,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,
78,PT05M41.00S,2023-04-08T20:22:37.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fastbreak']",1630572,91.01511169513797,46.32352941176471,1610612759,21,19,2023-04-08T20:22:48Z,770000,False,-18.0,32.0,1,right,MISS S. Mamukelashvili Hook,[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,Restricted Area,0-8 Center,3.69,Missed,,,,,,,,,,,,,,,,,,
79,PT05M39.00S,2023-04-08T20:22:39.1Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612750,21,19,2023-04-08T20:22:48Z,780000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,
80,PT05M35.00S,2023-04-08T20:22:43.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201144,26.888961892247043,18.872549019607842,1610612750,21,19,2023-04-08T20:24:31Z,790000,False,156.0,200.0,1,left,MISS M. Conley 25' pullup 3PT,[201144],1610612750.0,MIN,pullup,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,25.36,Missed,,,,,,,,,,,,,,,,,,
81,PT05M30.00S,2023-04-08T20:22:48.8Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,21,19,2023-04-08T20:22:55Z,800000,False,,,0,,T. Jones REBOUND (Off:0 Def:2),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,,,,80.0,2.0,2.0,0.0,,,,,,,,,,,,,
82,PT05M26.00S,2023-04-08T20:22:51.9Z,1,REGULAR,3pt,Jump Shot,[],1631104,96.40275952693824,96.07843137254902,1610612759,24,19,2023-04-08T20:23:01Z,810000,False,230.0,-19.0,1,right,B. Wesley 3PT  (3 PTS) (T. Jones 4 AST),"[1631104, 1630200]",1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,Right Corner 3,24+ Right,23.12,Made,3.0,,,,,T. Jones,1630200.0,4.0,,,,,,,,,,
84,PT05M13.00S,2023-04-08T20:23:05.3Z,1,REGULAR,3pt,Jump Shot,[],1627752,28.33442838370565,77.45098039215686,1610612750,24,22,2023-04-08T20:23:09Z,830000,False,-137.0,214.0,1,left,T. Prince 25' 3PT  (3 PTS) (M. Conley 2 AST),"[1627752, 201144]",1610612750.0,MIN,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,25.41,Made,3.0,,,,,M. Conley,201144.0,2.0,,,,,,,,,,
86,PT05M02.00S,2023-04-08T20:23:16.3Z,1,REGULAR,3pt,Jump Shot,[],1630577,68.15045992115637,53.92156862745098,1610612759,24,22,2023-04-08T20:23:30Z,850000,False,20.0,247.0,1,right,MISS J. Champagnie 24' 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Center,24.77,Missed,,,,,,,,,,,,,,,,,,
87,PT05M01.00S,2023-04-08T20:23:17.3Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612750,24,22,2023-04-08T20:23:30Z,860000,False,,,0,,T. Prince REBOUND (Off:0 Def:2),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Center,,,,86.0,2.0,2.0,0.0,,,,,,,,,,,,,
88,PT04M52.00S,2023-04-08T20:23:31.0Z,1,REGULAR,foul,personal,['2freethrow'],1631230,,,1610612750,24,22,2023-04-08T20:23:36Z,870000,False,,,0,,D. Barlow shooting personal FOUL (1 PF) (Gobert 2 FT),"[1631230, 203497]",1610612759.0,SAS,shooting,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1627534.0,1.0,0.0,Gobert,203497.0,,,
