actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
19,PT10M19.00S,2022-10-30T23:11:58.8Z,1,REGULAR,turnover,offensive foul,[],1628966,,,1610612759,0,6,2022-10-30T23:20:19Z,190000,,,0,,K. Bates-Diop offensive foul TURNOVER (1 TO),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1626300.0,,,,,1.0,,,,
20,PT10M05.00S,2022-10-30T23:12:20.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626156,7.178055190538765,54.90196078431373,1610612750,0,6,2022-10-30T23:12:26Z,200000,-25.0,15.0,1,left,MISS D. Russell cutting Layup - blocked,"[1626156, 1627751]",1610612750.0,MIN,cutting,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,2.87,Missed,,,,,,,,,,,,,,,Poeltl,1627751.0,,
21,PT10M05.00S,2022-10-30T23:12:20.0Z,1,REGULAR,block,,[],1627751,,,1610612750,0,6,2022-10-30T23:12:22Z,210000,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M02.00S,2022-10-30T23:12:23.0Z,1,REGULAR,rebound,defensive,[],1629641,,,1610612759,0,6,2022-10-30T23:12:26Z,220000,,,0,,R. Langford REBOUND (Off:0 Def:1),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,Restricted Area,0-8 Center,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
23,PT09M58.00S,2022-10-30T23:12:27.3Z,1,REGULAR,3pt,Jump Shot,[],1629640,94.30026281208936,1.715686274509804,1610612759,3,6,2022-10-30T23:12:39Z,230000,-241.0,1.0,1,right,K. Johnson 24' 3PT  (3 PTS) (T. Jones 1 AST),"[1629640, 1630200]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Left Corner 3,24+ Left,24.14,Made,3.0,,,,,T. Jones,1630200.0,1.0,,,,,,,,,,
26,PT09M35.00S,2022-10-30T23:13:02.7Z,1,REGULAR,2pt,Jump Shot,[],1630162,11.908672798948752,73.0392156862745,1610612750,3,6,2022-10-30T23:13:07Z,260000,-115.0,59.0,1,left,MISS A. Edwards 12' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Left,12.96,Missed,,,,,,,,,,,,,,,,,,
27,PT09M32.00S,2022-10-30T23:13:05.3Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,3,6,2022-10-30T23:13:05Z,270000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,
28,PT09M18.00S,2022-10-30T23:13:19.3Z,1,REGULAR,3pt,Jump Shot,[],1629640,68.15045992115637,25.0,1610612759,3,6,2022-10-30T23:13:24Z,280000,-125.0,247.0,1,right,MISS K. Johnson 27' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,27.67,Missed,,,,,,,,,,,,,,,,,,
29,PT09M15.00S,2022-10-30T23:13:22.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,3,6,2022-10-30T23:13:24Z,290000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Left Center,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,
30,PT09M04.00S,2022-10-30T23:13:34.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,7.046649145860711,45.09803921568628,1610612750,3,8,2022-10-30T23:13:39Z,300000,25.0,14.0,1,left,K. Towns driving Layup (8 PTS) (D. Russell 1 AST),"[1626157, 1626156]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,2.81,Made,8.0,,,,,D. Russell,1626156.0,1.0,,,,,,,,,,
32,PT08M57.00S,2022-10-30T23:13:41.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628966,92.85479632063075,47.05882352941176,1610612759,5,8,2022-10-30T23:13:48Z,320000,-15.0,15.0,1,right,K. Bates-Diop cutting Layup (2 PTS) (T. Jones 2 AST),"[1628966, 1630200]",1610612759.0,SAS,cutting,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,2.08,Made,2.0,,,,,T. Jones,1630200.0,2.0,,,,,,,,,,
34,PT08M40.00S,2022-10-30T23:13:57.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,15.588042049934298,43.13725490196079,1610612750,5,10,2022-10-30T23:14:04Z,340000,34.0,94.0,1,left,D. Russell 10' pullup Jump Shot (2 PTS),[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,10.01,Made,2.0,,,,,,,,,,,,,,,,,
35,PT08M31.00S,2022-10-30T23:14:07.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,86.5473061760841,51.470588235294116,1610612759,7,10,2022-10-30T23:14:15Z,350000,7.0,74.0,1,right,J. Poeltl 7' Hook (2 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,7.44,Made,2.0,,,,,,,,,,,,,,,,,
36,PT08M08.00S,2022-10-30T23:14:29.6Z,1,REGULAR,3pt,Jump Shot,[],1626157,21.895532194480946,7.8431372549019605,1610612750,7,10,2022-10-30T23:14:36Z,360000,211.0,153.0,1,left,MISS K. Towns 26' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,26.06,Missed,,,,,,,,,,,,,,,,,,
37,PT08M06.00S,2022-10-30T23:14:31.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,7,10,2022-10-30T23:14:36Z,370000,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Above the Break 3,24+ Right Center,,,,36.0,,,,,,,,,,,,,,,,
38,PT08M06.00S,2022-10-30T23:14:36.6Z,1,REGULAR,foul,personal,[],203497,,,1610612759,7,10,2022-10-30T23:14:52Z,380000,,,0,,R. Gobert loose ball personal FOUL (1 PF),"[203497, 1627751]",1610612750.0,MIN,loose ball,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1629175.0,1.0,0.0,Poeltl,1627751.0,,,,,
40,PT08M01.00S,2022-10-30T23:15:03.9Z,1,REGULAR,violation,kicked ball,[],1630183,,,1610612759,7,10,2022-10-30T23:15:14Z,400000,,,0,,J. McDaniels kicked ball VIOLATION,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,1148.0,,,,,,,,,
41,PT07M51.00S,2022-10-30T23:15:22.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,83.26215505913272,57.84313725490197,1610612759,9,10,2022-10-30T23:15:36Z,410000,39.0,105.0,1,right,J. Poeltl 11' floating Jump Shot (4 PTS) (K. Johnson 1 AST),"[1627751, 1629640]",1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,11.19,Made,4.0,,,,,K. Johnson,1629640.0,1.0,,,,,,,,,,
43,PT07M35.00S,2022-10-30T23:15:41.2Z,1,REGULAR,foul,personal,[],1628966,,,1610612750,9,10,2022-10-30T23:15:48Z,430000,,,0,,K. Bates-Diop personal FOUL (2 PF),"[1628966, 1626157]",1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1148.0,2.0,0.0,Towns,1626157.0,,,,,
45,PT07M27.00S,2022-10-30T23:16:02.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,6.652431011826544,44.6078431372549,1610612750,9,12,2022-10-30T23:16:07Z,450000,27.0,10.0,1,left,R. Gobert cutting Layup (2 PTS) (K. Towns 1 AST),"[203497, 1626157]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,2.88,Made,2.0,,,,,K. Towns,1626157.0,1.0,,,,,,,,,,
47,PT07M14.00S,2022-10-30T23:16:15.4Z,1,REGULAR,3pt,Jump Shot,[],1628966,74.19513797634691,12.009803921568627,1610612759,9,12,2022-10-30T23:16:19Z,470000,-190.0,190.0,1,right,MISS K. Bates-Diop 26' 3PT,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Above the Break 3,24+ Left Center,26.88,Missed,,,,,,,,,,,,,,,,,,
48,PT07M14.00S,2022-10-30T23:16:15.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,9,12,2022-10-30T23:16:19Z,480000,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Left Center,,,,47.0,,,,,,,,,,,,,,,,
51,PT07M00.00S,2022-10-30T23:16:53.6Z,1,REGULAR,substitution,out,[],1628966,,,1610612750,9,12,2022-10-30T23:17:00Z,510000,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M00.00S,2022-10-30T23:16:53.6Z,1,REGULAR,substitution,in,[],1628380,,,1610612750,9,12,2022-10-30T23:17:00Z,520000,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M53.00S,2022-10-30T23:17:17.6Z,1,REGULAR,3pt,Jump Shot,[],1630162,33.327858081471746,42.8921568627451,1610612750,9,12,2022-10-30T23:17:22Z,530000,36.0,261.0,1,left,MISS A. Edwards 26' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,26.32,Missed,,,,,,,,,,,,,,,,,,
54,PT06M50.00S,2022-10-30T23:17:20.6Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,9,12,2022-10-30T23:17:22Z,540000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Center,,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,
55,PT06M44.00S,2022-10-30T23:17:26.7Z,1,REGULAR,3pt,Jump Shot,[],1630200,78.9257555847569,4.901960784313726,1610612759,9,12,2022-10-30T23:17:32Z,550000,-225.0,146.0,1,right,MISS T. Jones 26' 3PT,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,26.84,Missed,,,,,,,,,,,,,,,,,,
56,PT06M43.00S,2022-10-30T23:17:27.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,9,12,2022-10-30T23:17:32Z,560000,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Left Center,,,,55.0,,,,,,,,,,,,,,,,
58,PT06M43.00S,2022-10-30T23:17:36.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,9,12,2022-10-30T23:17:36Z,580000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M24.00S,2022-10-30T23:20:49.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,5.863994743758213,52.20588235294118,1610612750,9,14,2022-10-30T23:20:55Z,590000,-11.0,3.0,1,left,K. Towns driving Layup (10 PTS),[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,1.13,Made,10.0,,,,,,,,,,,,,,,,,
60,PT06M12.00S,2022-10-30T23:21:00.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,83.65637319316689,61.029411764705884,1610612759,11,14,2022-10-30T23:21:05Z,600000,55.0,101.0,1,right,T. Jones 11' floating Jump Shot (2 PTS),[1630200],1610612759.0,SAS,floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,11.51,Made,2.0,,,,,,,,,,,,,,,,,
61,PT06M01.00S,2022-10-30T23:21:12.1Z,1,REGULAR,3pt,Jump Shot,[],1626156,32.802233902759525,40.44117647058824,1610612750,11,14,2022-10-30T23:21:16Z,610000,48.0,256.0,1,left,MISS D. Russell 26' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,26.02,Missed,,,,,,,,,,,,,,,,,,
62,PT05M58.00S,2022-10-30T23:21:15.1Z,1,REGULAR,rebound,defensive,[],1629641,,,1610612759,11,14,2022-10-30T23:21:16Z,620000,,,0,,R. Langford REBOUND (Off:0 Def:2),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,Above the Break 3,24+ Center,,,,61.0,2.0,2.0,0.0,,,,,,,,,,,,,
63,PT05M56.00S,2022-10-30T23:21:21.2Z,1,REGULAR,violation,kicked ball,[],1630183,,,1610612759,11,14,2022-10-30T23:21:26Z,630000,,,0,,J. McDaniels kicked ball VIOLATION,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,1626300.0,,,,,,,,,
64,PT05M56.00S,2022-10-30T23:21:24.8Z,1,REGULAR,substitution,out,[],1627751,,,1610612759,11,14,2022-10-30T23:21:40Z,640000,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M56.00S,2022-10-30T23:21:24.8Z,1,REGULAR,substitution,out,[],1630200,,,1610612759,11,14,2022-10-30T23:21:40Z,650000,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M56.00S,2022-10-30T23:21:24.8Z,1,REGULAR,substitution,out,[],203497,,,1610612759,11,14,2022-10-30T23:21:40Z,660000,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M56.00S,2022-10-30T23:21:24.8Z,1,REGULAR,substitution,in,[],1631104,,,1610612759,11,14,2022-10-30T23:21:40Z,670000,,,0,,SUB in: B. Wesley,[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M56.00S,2022-10-30T23:21:24.8Z,1,REGULAR,substitution,in,[],203926,,,1610612759,11,14,2022-10-30T23:21:40Z,680000,,,0,,SUB in: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M56.00S,2022-10-30T23:21:24.8Z,1,REGULAR,substitution,in,[],203937,,,1610612759,11,14,2022-10-30T23:21:40Z,690000,,,0,,SUB in: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M39.00S,2022-10-30T23:22:19.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629641,85.75886990801577,56.127450980392155,1610612759,11,14,2022-10-30T23:22:34Z,710000,31.0,81.0,1,right,MISS R. Langford 8' driving Layup - blocked,"[1629641, 1626156]",1610612759.0,SAS,driving,,,Langford,R. Langford,,,,,In The Paint (Non-RA),8-16 Center,8.7,Missed,,,,,,,,,,,,,,,Russell,1626156.0,,
72,PT05M39.00S,2022-10-30T23:22:19.4Z,1,REGULAR,block,,[],1626156,,,1610612759,11,14,2022-10-30T23:27:36Z,720000,,,0,,D. Russell BLOCK (1 BLK),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
73,PT05M38.00S,2022-10-30T23:22:20.4Z,1,REGULAR,rebound,offensive,[],1629641,,,1610612759,11,14,2022-10-30T23:25:13Z,730000,,,0,,R. Langford REBOUND (Off:1 Def:2),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,In The Paint (Non-RA),8-16 Center,,,,71.0,3.0,2.0,1.0,,,,,,,,,,,,,
74,PT05M37.00S,2022-10-30T23:22:31.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629641,94.40999984741211,50.0,1610612759,13,14,2022-10-30T23:25:22Z,740000,0.0,0.0,1,right,R. Langford putback Layup (2 PTS),[1629641],1610612759.0,SAS,putback,,,Langford,R. Langford,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
75,PT05M19.00S,2022-10-30T23:22:40.2Z,1,REGULAR,turnover,lost ball,[],1626157,,,1610612750,13,14,2022-10-30T23:22:48Z,750000,,,0,,K. Towns lost ball TURNOVER (1 TO),"[1626157, 1628380]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,1.0,,,Collins,1628380.0
76,PT05M19.00S,2022-10-30T23:22:40.2Z,1,REGULAR,steal,,[],1628380,,,1610612759,13,14,2022-10-30T23:22:43Z,760000,,,0,,Z. Collins STEAL (1 STL),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
77,PT05M14.00S,2022-10-30T23:22:44.1Z,1,REGULAR,turnover,lost ball,[],1628380,,,1610612759,13,14,2022-10-30T23:30:15Z,770000,,,0,,Z. Collins lost ball TURNOVER (1 TO),"[1628380, 1630183]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,,,McDaniels,1630183.0
78,PT05M14.00S,2022-10-30T23:22:44.1Z,1,REGULAR,steal,,[],1630183,,,1610612750,13,14,2022-10-30T23:22:47Z,780000,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
79,PT05M09.00S,2022-10-30T23:22:49.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630183,5.601182654402102,56.61764705882353,1610612750,13,16,2022-10-30T23:30:36Z,790000,-33.0,0.0,1,left,J. McDaniels driving Layup (2 PTS) (A. Edwards 2 AST),"[1630183, 1630162]",1610612750.0,MIN,driving,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,3.31,Made,2.0,,,,,A. Edwards,1630162.0,2.0,,,,,,,,,,
81,PT04M54.00S,2022-10-30T23:23:04.2Z,1,REGULAR,3pt,Jump Shot,[],203926,72.48685939553219,15.931372549019606,1610612759,16,16,2022-10-30T23:23:14Z,810000,-170.0,206.0,1,right,D. McDermott 26' 3PT pullup (3 PTS) (Z. Collins 1 AST),"[203926, 1628380]",1610612759.0,SAS,pullup,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Left Center,26.74,Made,3.0,,,,,Z. Collins,1628380.0,1.0,,,,,,,,,,
83,PT04M34.00S,2022-10-30T23:23:25.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,4.944152431011826,39.46078431372549,1610612750,16,16,2022-10-30T23:23:32Z,830000,53.0,-6.0,1,left,MISS K. Towns driving Layup,[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,5.3,Missed,,,,,,,,,,,,,,,,,,
84,PT04M34.00S,2022-10-30T23:23:28.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,16,16,2022-10-30T23:23:28Z,840000,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,83.0,,,,,,,,,,,,,,,,
85,PT04M34.00S,2022-10-30T23:23:29.0Z,1,REGULAR,foul,personal,[],203937,,,1610612759,16,16,2022-10-30T23:23:39Z,850000,,,0,,K. Anderson loose ball personal FOUL (1 PF),"[203937, 1628380]",1610612750.0,MIN,loose ball,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1148.0,1.0,0.0,Collins,1628380.0,,,,,
87,PT04M34.00S,2022-10-30T23:23:36.9Z,1,REGULAR,substitution,out,[],1629641,,,1610612759,16,16,2022-10-30T23:23:43Z,870000,,,0,,SUB out: R. Langford,[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M34.00S,2022-10-30T23:23:36.9Z,1,REGULAR,substitution,out,[],1626156,,,1610612759,16,16,2022-10-30T23:23:43Z,880000,,,0,,SUB out: D. Russell,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M34.00S,2022-10-30T23:23:36.9Z,1,REGULAR,substitution,in,[],1631103,,,1610612759,16,16,2022-10-30T23:23:43Z,890000,,,0,,SUB in: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M34.00S,2022-10-30T23:23:36.9Z,1,REGULAR,substitution,in,[],1629669,,,1610612759,16,16,2022-10-30T23:23:43Z,900000,,,0,,SUB in: J. Nowell,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M18.00S,2022-10-30T23:24:02.0Z,1,REGULAR,3pt,Jump Shot,[],1631103,77.4802890932983,91.42156862745098,1610612759,16,16,2022-10-30T23:24:06Z,910000,207.0,159.0,1,right,MISS M. Branham 26' 3PT,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Above the Break 3,24+ Right Center,26.12,Missed,,,,,,,,,,,,,,,,,,
92,PT04M14.00S,2022-10-30T23:24:06.2Z,1,REGULAR,rebound,offensive,[],1631104,,,1610612759,16,16,2022-10-30T23:24:06Z,920000,,,0,,B. Wesley REBOUND (Off:1 Def:0),[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,Above the Break 3,24+ Right Center,,,,91.0,1.0,0.0,1.0,,,,,,,,,,,,,
