actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
20,PT11M02.00S,2023-01-18T01:11:21.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,2,2,2023-01-18T01:11:38Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,18.0,,,,,,,,,,,,,,,,,
22,PT10M51.00S,2023-01-18T01:11:47.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629640,73.66951379763469,12.990196078431374,1610612759,5,2,2023-01-18T01:11:55Z,220000,False,-185.0,195.0,1,right,K. Johnson 26' 3PT  (3 PTS) (T. Jones 1 AST),"[1629640, 1630200]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,26.88,Made,,,,,3.0,,,,,,,,T. Jones,1630200.0,1.0,,,
24,PT10M35.00S,2023-01-18T01:12:04.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,8.360709592641262,45.83333333333333,1610612751,5,2,2023-01-18T01:15:08Z,240000,False,21.0,26.0,1,left,MISS N. Claxton driving Hook,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,3.34,Missed,,,,,,,,,,,,,,,,,,
25,PT10M32.00S,2023-01-18T01:12:07.7Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,5,2,2023-01-18T01:12:16Z,250000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT10M24.00S,2023-01-18T01:12:16.1Z,1,REGULAR,foul,personal,['2freethrow'],1629651,,,1610612759,5,2,2023-01-18T01:12:32Z,270000,False,,,0,,N. Claxton shooting personal FOUL (1 PF) (Poeltl 2 FT),"[1629651, 1627751]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,101284.0,1.0,0.0,Poeltl,1627751.0,,,,,,,,
29,PT10M24.00S,2023-01-18T01:12:40.4Z,1,REGULAR,freethrow,1 of 2,[],1627751,,,1610612759,5,2,2023-01-18T01:12:59Z,290000,False,,,0,,MISS J. Poeltl Free Throw 1 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
30,PT10M24.00S,2023-01-18T01:12:40.4Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612759,5,2,2023-01-18T01:12:59Z,300000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,
31,PT10M24.00S,2023-01-18T01:12:40.4Z,1,REGULAR,freethrow,2 of 2,[],1627751,,,1610612759,5,2,2023-01-18T01:12:59Z,310000,False,,,0,,MISS J. Poeltl Free Throw 2 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
32,PT10M21.00S,2023-01-18T01:12:43.4Z,1,REGULAR,rebound,offensive,[],1631110,,,1610612759,5,2,2023-01-18T01:12:59Z,320000,False,,,0,,J. Sochan REBOUND (Off:1 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,31.0,2.0,1.0,1.0,,,,,,,,,,,,,,
33,PT10M16.00S,2023-01-18T01:13:03.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629641,86.81011826544021,44.36274509803921,1610612759,5,2,2023-01-18T01:13:28Z,330000,False,-28.0,71.0,1,right,MISS R. Langford 7' driving floating Shot,[1629641],1610612759.0,SAS,driving floating,,,Langford,R. Langford,,,,,In The Paint (Non-RA),0-8 Center,7.69,Missed,,,,,,,,,,,,,,,,,,
34,PT10M12.00S,2023-01-18T01:13:07.3Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,5,2,2023-01-18T01:13:28Z,340000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
35,PT10M01.00S,2023-01-18T01:13:19.0Z,1,REGULAR,foul,personal,[],1629640,,,1610612751,5,2,2023-01-18T01:13:26Z,350000,False,,,0,,K. Johnson personal FOUL (1 PF),"[1629640, 1627732]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Mid-Range,8-16 Left,,,,,,,,101284.0,1.0,0.0,Simmons,1627732.0,,,,,,,,
37,PT09M57.00S,2023-01-18T01:13:43.0Z,1,REGULAR,turnover,out-of-bounds,[],1626220,,,1610612751,5,2,2023-01-18T01:13:56Z,370000,False,,,0,,R. O'Neale bad pass out-of-bounds TURNOVER (1 TO),[1626220],1610612751.0,BKN,bad pass,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,,,,,,,,201245.0,,,,,,,,,,1.0,,
38,PT09M40.00S,2023-01-18T01:14:04.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631110,85.49605781865965,57.59803921568627,1610612759,7,2,2023-01-18T01:14:10Z,380000,False,38.0,84.0,1,right,J. Sochan 9' fadeaway Jump Shot (2 PTS) (R. Langford 1 AST),"[1631110, 1629641]",1610612759.0,SAS,fadeaway,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),8-16 Center,9.2,Made,,,,,2.0,,,,,,,,R. Langford,1629641.0,1.0,,,
40,PT09M22.00S,2023-01-18T01:14:23.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203552,6.783837056504599,58.333333333333336,1610612751,7,2,2023-01-18T01:14:32Z,400000,False,-42.0,11.0,1,left,MISS S. Curry driving finger roll Layup - blocked,"[203552, 1627751]",1610612751.0,BKN,driving finger roll,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,4.32,Missed,,,,,,,,,,,Poeltl,1627751.0,,,,,,
41,PT09M22.00S,2023-01-18T01:14:23.7Z,1,REGULAR,block,,[],1627751,,,1610612751,7,2,2023-01-18T01:14:26Z,410000,False,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT09M22.00S,2023-01-18T01:14:23.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,7,2,2023-01-18T01:14:32Z,420000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,40.0,,,,,,,,,,,,,,,,,
44,PT09M16.00S,2023-01-18T01:14:46.2Z,1,REGULAR,turnover,out-of-bounds,[],1627732,,,1610612751,7,2,2023-01-18T01:14:52Z,440000,False,,,0,,B. Simmons lost ball out-of-bounds TURNOVER (1 TO),[1627732],1610612751.0,BKN,lost ball,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202035.0,,,,,,,,,,1.0,,
45,PT08M59.00S,2023-01-18T01:15:07.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629640,80.1084099868594,92.8921568627451,1610612759,7,2,2023-01-18T01:15:12Z,450000,False,214.0,134.0,1,right,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,25.32,Missed,,,,,,,,,,,,,,,,,,
46,PT08M55.00S,2023-01-18T01:15:11.3Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,7,2,2023-01-18T01:15:12Z,460000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Right Center,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,
47,PT08M50.00S,2023-01-18T01:15:16.6Z,1,REGULAR,3pt,Jump Shot,[],1626220,30.831143232588698,17.15686274509804,1610612751,7,2,2023-01-18T01:15:25Z,470000,False,164.0,237.0,1,left,MISS R. O'Neale 28' 3PT,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,28.86,Missed,,,,,,,,,,,,,,,,,,
48,PT08M45.00S,2023-01-18T01:15:21.6Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,7,2,2023-01-18T01:15:25Z,480000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,,
49,PT08M41.00S,2023-01-18T01:15:25.2Z,1,REGULAR,3pt,Jump Shot,[],1629641,86.41590013140605,2.941176470588235,1610612759,7,2,2023-01-18T01:15:36Z,490000,False,-235.0,75.0,1,right,MISS R. Langford 24' 3PT,[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,Left Corner 3,24+ Left,24.7,Missed,,,,,,,,,,,,,,,,,,
50,PT08M37.00S,2023-01-18T01:15:29.9Z,1,REGULAR,rebound,offensive,[],1629641,,,1610612759,7,2,2023-01-18T01:15:29Z,500000,False,,,0,,R. Langford REBOUND (Off:1 Def:0),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,Left Corner 3,24+ Left,,,49.0,1.0,0.0,1.0,,,,,,,,,,,,,,
51,PT08M33.00S,2023-01-18T01:15:33.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630200,91.93495400788436,96.32352941176471,1610612759,7,2,2023-01-18T01:15:38Z,510000,False,232.0,23.0,1,right,MISS T. Jones 3PT,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Right Corner 3,24+ Right,23.28,Missed,,,,,,,,,,,,,,,,,,
52,PT08M33.00S,2023-01-18T01:15:33.1Z,1,REGULAR,rebound,defensive,[],203552,,,1610612751,7,2,2023-01-18T01:15:38Z,520000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,Right Corner 3,24+ Right,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,,,
53,PT08M13.00S,2023-01-18T01:15:52.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627732,7.835085413929041,45.09803921568628,1610612751,7,2,2023-01-18T01:16:09Z,530000,False,25.0,21.0,1,left,MISS B. Simmons driving Layup,[1627732],1610612751.0,BKN,driving,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,3.23,Missed,,,,,,,,,,,,,,,,,,
54,PT08M10.00S,2023-01-18T01:15:56.1Z,1,REGULAR,rebound,defensive,[],1629641,,,1610612759,7,2,2023-01-18T01:15:56Z,540000,False,,,0,,R. Langford REBOUND (Off:1 Def:1),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,Restricted Area,0-8 Center,,,53.0,2.0,1.0,1.0,,,,,,,,,,,,,,
55,PT08M08.00S,2023-01-18T01:15:59.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631110,92.19776609724047,52.94117647058824,1610612759,9,2,2023-01-18T01:18:07Z,550000,False,15.0,21.0,1,right,J. Sochan running Layup (4 PTS) (T. Jones 2 AST),"[1631110, 1630200]",1610612759.0,SAS,running,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,2.55,Made,,,,,4.0,,,,,,,,T. Jones,1630200.0,2.0,,,
57,PT08M08.00S,2023-01-18T01:16:04.4Z,1,REGULAR,foul,personal,['1freethrow'],203925,,,1610612759,9,2,2023-01-18T01:16:16Z,570000,False,,,0,,J. Harris shooting personal FOUL (1 PF) (Sochan 1 FT),"[203925, 1631110]",1610612751.0,BKN,shooting,,,Harris,J. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,202035.0,1.0,0.0,Sochan,1631110.0,,,,,,,,
59,PT08M08.00S,2023-01-18T01:16:21.4Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1631110,,,1610612759,10,2,2023-01-18T01:16:21Z,590000,False,,,0,,J. Sochan Free Throw 1 of 1 (5 PTS),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
60,PT07M53.00S,2023-01-18T01:16:40.0Z,1,REGULAR,turnover,traveling,[],1627732,,,1610612751,10,2,2023-01-18T01:16:46Z,600000,False,,,0,,B. Simmons traveling TURNOVER (2 TO),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Mid-Range,16-24 Left,,,,,,,,201245.0,,,,,,,,,,2.0,,
61,PT07M44.00S,2023-01-18T01:16:57.0Z,1,REGULAR,turnover,bad pass,[],1627751,,,1610612759,10,2,2023-01-18T01:17:03Z,610000,False,,,0,,J. Poeltl bad pass TURNOVER (1 TO),"[1627751, 1627732]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,1.0,Simmons,1627732.0
62,PT07M44.00S,2023-01-18T01:16:57.0Z,1,REGULAR,steal,,[],1627732,,,1610612751,10,2,2023-01-18T01:16:59Z,620000,False,,,0,,B. Simmons STEAL (1 STL),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
63,PT07M38.00S,2023-01-18T01:17:02.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627732,9.543363994743759,44.11764705882353,1610612751,10,2,2023-01-18T01:19:04Z,630000,False,29.0,37.0,1,left,MISS B. Simmons running Layup,[1627732],1610612751.0,BKN,running,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),0-8 Center,4.74,Missed,,,,,,,,,,,,,,,,,,
64,PT07M31.00S,2023-01-18T01:17:09.7Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,10,2,2023-01-18T01:17:10Z,640000,False,,,0,,N. Claxton REBOUND (Off:1 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,63.0,3.0,2.0,1.0,,,,,,,,,,,,,,
65,PT07M30.00S,2023-01-18T01:17:10.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629651,8.229303547963205,45.588235294117645,1610612751,10,4,2023-01-18T01:17:20Z,650000,False,22.0,25.0,1,left,N. Claxton putback Layup (2 PTS),[1629651],1610612751.0,BKN,putback,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,3.33,Made,,,,,2.0,,,,,,,,,,,,,
66,PT07M23.00S,2023-01-18T01:17:18.4Z,1,REGULAR,3pt,Jump Shot,[],1630200,68.41327201051249,26.715686274509803,1610612759,10,4,2023-01-18T01:17:23Z,660000,False,-116.0,244.0,1,right,MISS T. Jones 27' 3PT,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,27.07,Missed,,,,,,,,,,,,,,,,,,
67,PT07M18.00S,2023-01-18T01:17:23.4Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,10,4,2023-01-18T01:17:23Z,670000,False,,,0,,N. Claxton REBOUND (Off:1 Def:3),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,66.0,4.0,3.0,1.0,,,,,,,,,,,,,,
68,PT07M15.00S,2023-01-18T01:17:26.1Z,1,REGULAR,turnover,bad pass,[],1627732,,,1610612751,10,4,2023-01-18T01:17:33Z,680000,False,,,0,,B. Simmons bad pass TURNOVER (3 TO),"[1627732, 1629640]",1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,3.0,Johnson,1629640.0
69,PT07M15.00S,2023-01-18T01:17:26.1Z,1,REGULAR,steal,,[],1629640,,,1610612759,10,4,2023-01-18T01:17:28Z,690000,False,,,0,,K. Johnson STEAL (1 STL),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
70,PT07M07.00S,2023-01-18T01:17:33.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627751,93.9060446780552,47.05882352941176,1610612759,12,4,2023-01-18T01:20:01Z,700000,False,-15.0,5.0,1,right,J. Poeltl running reverse Layup (4 PTS) (K. Johnson 1 AST),"[1627751, 1629640]",1610612759.0,SAS,running reverse,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.55,Made,,,,,4.0,,,,,,,,K. Johnson,1629640.0,1.0,,,
72,PT07M07.00S,2023-01-18T01:17:40.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,12,4,2023-01-18T01:18:14Z,720000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M48.00S,2023-01-18T01:20:48.9Z,1,REGULAR,turnover,bad pass,[],203925,,,1610612751,12,4,2023-01-18T01:20:55Z,730000,False,,,0,,J. Harris bad pass TURNOVER (1 TO),"[203925, 1629640]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Johnson,1629640.0
74,PT06M48.00S,2023-01-18T01:20:48.9Z,1,REGULAR,steal,,[],1629640,,,1610612759,12,4,2023-01-18T01:20:50Z,740000,False,,,0,,K. Johnson STEAL (2 STL),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
75,PT06M42.00S,2023-01-18T01:20:54.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630200,90.22667542706965,52.94117647058824,1610612759,12,4,2023-01-18T01:21:29Z,750000,False,15.0,39.0,1,right,MISS T. Jones running Layup,[1630200],1610612759.0,SAS,running,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,4.21,Missed,,,,,,,,,,,,,,,,,,
76,PT06M39.00S,2023-01-18T01:20:57.7Z,1,REGULAR,rebound,defensive,[],203552,,,1610612751,12,4,2023-01-18T01:20:59Z,760000,False,,,0,,S. Curry REBOUND (Off:0 Def:2),[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,,,75.0,2.0,2.0,0.0,,,,,,,,,,,,,,
77,PT06M34.00S,2023-01-18T01:21:02.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627732,8.09789750328515,48.03921568627451,1610612751,12,6,2023-01-18T01:22:01Z,770000,False,10.0,24.0,1,left,B. Simmons running Layup (4 PTS),[1627732],1610612751.0,BKN,running,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,2.56,Made,,,,,4.0,,,,,,,,,,,,,
78,PT06M10.00S,2023-01-18T01:21:26.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,92.32917214191852,46.568627450980394,1610612759,14,6,2023-01-18T01:23:09Z,780000,False,-17.0,20.0,1,right,J. Poeltl driving reverse Layup (6 PTS) (T. Jones 3 AST),"[1627751, 1630200]",1610612759.0,SAS,driving reverse,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,2.61,Made,,,,,6.0,,,,,,,,T. Jones,1630200.0,3.0,,,
79,PT05M55.00S,2023-01-18T01:21:41.5Z,1,REGULAR,3pt,Jump Shot,[],203552,8.09789750328515,96.56862745098039,1610612751,14,6,2023-01-18T01:21:46Z,790000,False,-233.0,24.0,1,left,MISS S. Curry 3PT,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,Left Corner 3,24+ Left,23.4,Missed,,,,,,,,,,,,,,,,,,
80,PT05M53.00S,2023-01-18T01:21:43.5Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,14,6,2023-01-18T01:21:46Z,800000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Left Corner 3,24+ Left,,,79.0,3.0,2.0,1.0,,,,,,,,,,,,,,
81,PT05M47.00S,2023-01-18T01:21:49.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,86.5473061760841,49.01960784313725,1610612759,14,6,2023-01-18T01:21:58Z,810000,False,-5.0,74.0,1,right,MISS J. Poeltl 7' floating Shot,[1627751],1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,7.42,Missed,,,,,,,,,,,,,,,,,,
