actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M23.00S,2022-10-29T00:42:04.9Z,1,REGULAR,2pt,Jump Shot,[],201942,73.9323258869908,58.333333333333336,1610612741,6,2,2022-10-29T00:42:09Z,170000,42.0,193.0,1,right,D. DeRozan 19' pullup Jump Shot (2 PTS) (N. Vucevic 1 AST),"[201942, 202696]",1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,19.7,Made,2.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,,
19,PT10M12.00S,2022-10-29T00:42:16.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,6.389618922470433,45.34313725490196,1610612759,8,2,2022-10-29T00:42:23Z,190000,23.0,8.0,1,left,J. Poeltl driving finger roll Layup (2 PTS) (T. Jones 2 AST),"[1627751, 1630200]",1610612759.0,SAS,driving finger roll,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,2.45,Made,2.0,T. Jones,1630200.0,2.0,,,,,,,,,,,,,,
21,PT10M03.00S,2022-10-29T00:42:25.7Z,1,REGULAR,turnover,lost ball,[],1630172,,,1610612741,8,2,2022-10-29T00:42:31Z,210000,,,0,,P. Williams lost ball TURNOVER (1 TO),"[1630172, 1627751]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Poeltl,1627751.0,,,,,,,
22,PT10M03.00S,2022-10-29T00:42:25.7Z,1,REGULAR,steal,,[],1627751,,,1610612759,8,2,2022-10-29T00:42:27Z,220000,,,0,,J. Poeltl STEAL (1 STL),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
23,PT09M56.00S,2022-10-29T00:42:35.2Z,1,REGULAR,turnover,out-of-bounds,[],1630200,,,1610612759,8,2,2022-10-29T00:42:43Z,230000,,,0,,T. Jones lost ball out-of-bounds TURNOVER (1 TO),[1630200],1610612759.0,SAS,lost ball,,,Jones,T. Jones,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,,,203177.0,,,,,,
24,PT09M41.00S,2022-10-29T00:42:54.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201942,84.57621550591328,65.19607843137256,1610612741,8,2,2022-10-29T00:42:58Z,240000,76.0,92.0,1,right,MISS D. DeRozan 11' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Right,11.97,Missed,,,,,,,,,,,,,,,,,,
25,PT09M39.00S,2022-10-29T00:42:56.1Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,8,2,2022-10-29T00:42:58Z,250000,,,0,,J. Sochan REBOUND (Off:0 Def:2),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,24.0,2.0,2.0,0.0,,,,,,,,,,
26,PT09M31.00S,2022-10-29T00:43:04.0Z,1,REGULAR,3pt,Jump Shot,[],1629640,14.536793692509855,2.2058823529411766,1610612759,11,2,2022-10-29T00:43:08Z,260000,239.0,84.0,1,left,K. Johnson 25' 3PT  (6 PTS) (J. Sochan 2 AST),"[1629640, 1631110]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Right Corner 3,24+ Right,25.34,Made,6.0,J. Sochan,1631110.0,2.0,,,,,,,,,,,,,,
28,PT09M11.00S,2022-10-29T00:43:23.0Z,1,REGULAR,3pt,Jump Shot,[],1630172,93.24901445466492,1.9607843137254901,1610612741,11,5,2022-10-29T00:43:27Z,280000,-240.0,11.0,1,right,P. Williams 24' 3PT  (3 PTS) (A. Dosunmu 1 AST),"[1630172, 1630245]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Left Corner 3,24+ Left,24.05,Made,3.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,,,,
30,PT08M59.00S,2022-10-29T00:43:35.5Z,1,REGULAR,3pt,Jump Shot,[],1629640,25.969119579500656,15.441176470588236,1610612759,14,5,2022-10-29T00:43:39Z,300000,173.0,192.0,1,left,K. Johnson 25' 3PT  (9 PTS) (T. Jones 3 AST),"[1629640, 1630200]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,25.8,Made,9.0,T. Jones,1630200.0,3.0,,,,,,,,,,,,,,
32,PT08M39.00S,2022-10-29T00:43:55.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,92.85479632063075,59.80392156862745,1610612741,14,5,2022-10-29T00:44:00Z,320000,49.0,15.0,1,right,MISS N. Vucevic turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,5.12,Missed,,,,,,,,,,,,,,,,,,
33,PT08M35.00S,2022-10-29T00:43:59.0Z,1,REGULAR,rebound,offensive,[],1627936,,,1610612741,14,5,2022-10-29T00:44:00Z,330000,,,0,,A. Caruso REBOUND (Off:1 Def:0),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,32.0,1.0,0.0,1.0,,,,,,,,,,
34,PT08M35.00S,2022-10-29T00:43:58.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627936,94.40999984741211,50.0,1610612741,14,5,2022-10-29T00:52:48Z,340000,0.0,0.0,1,right,MISS A. Caruso tip Layup - blocked,"[1627936, 1627751]",1610612741.0,CHI,tip,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,Poeltl,1627751.0,,,,
81,PT08M35.00S,2022-10-29T00:43:58.8Z,1,REGULAR,block,,[],1627751,,,1610612741,14,5,2022-10-29T00:52:48Z,345000,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT08M35.00S,2022-10-29T00:43:58.8Z,1,REGULAR,rebound,defensive,[],1626196,,,1610612759,14,5,2022-10-29T00:52:48Z,350000,,,0,,J. Richardson REBOUND (Off:0 Def:1),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Restricted Area,0-8 Center,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,
36,PT08M31.00S,2022-10-29T00:44:03.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631110,5.469776609724048,96.56862745098039,1610612759,17,5,2022-10-29T00:44:10Z,360000,-233.0,-1.0,1,left,J. Sochan 3PT  (3 PTS) (T. Jones 4 AST),"[1631110, 1630200]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Left Corner 3,24+ Left,23.28,Made,3.0,T. Jones,1630200.0,4.0,,,,,,,,,,,,,,
38,PT08M30.00S,2022-10-29T00:44:10.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,17,5,2022-10-29T00:44:10Z,380000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M16.00S,2022-10-29T00:47:09.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,91.01511169513797,44.85294117647059,1610612741,17,5,2022-10-29T00:47:17Z,390000,-26.0,32.0,1,right,MISS N. Vucevic turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,4.1,Missed,,,,,,,,,,,,,,,,,,
40,PT08M13.00S,2022-10-29T00:47:12.7Z,1,REGULAR,rebound,defensive,[],1626196,,,1610612759,17,5,2022-10-29T00:47:17Z,400000,,,0,,J. Richardson REBOUND (Off:0 Def:2),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Restricted Area,0-8 Center,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,
41,PT08M06.00S,2022-10-29T00:47:19.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626196,17.69053876478318,61.51960784313726,1610612759,19,5,2022-10-29T00:47:25Z,410000,-58.0,114.0,1,left,J. Richardson 12' pullup Jump Shot (5 PTS),[1626196],1610612759.0,SAS,pullup,,,Richardson,J. Richardson,,,,,In The Paint (Non-RA),8-16 Center,12.75,Made,5.0,,,,,,,,,,,,,,,,,
42,PT07M55.00S,2022-10-29T00:47:30.2Z,1,REGULAR,3pt,Jump Shot,[],1630245,68.54467805519053,73.77450980392157,1610612741,19,8,2022-10-29T00:47:36Z,420000,119.0,243.0,1,right,A. Dosunmu 27' 3PT pullup (3 PTS) (N. Vucevic 2 AST),"[1630245, 202696]",1610612741.0,CHI,pullup,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,27.07,Made,3.0,N. Vucevic,202696.0,2.0,,,,,,,,,,,,,,
44,PT07M44.00S,2022-10-29T00:47:41.8Z,1,REGULAR,turnover,lost ball,[],1629640,,,1610612759,19,8,2022-10-29T00:47:46Z,440000,,,0,,K. Johnson lost ball TURNOVER (1 TO),"[1629640, 1627936]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Caruso,1627936.0,,,,,,,
45,PT07M44.00S,2022-10-29T00:47:41.8Z,1,REGULAR,steal,,[],1627936,,,1610612741,19,8,2022-10-29T00:47:43Z,450000,,,0,,A. Caruso STEAL (1 STL),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
46,PT07M37.00S,2022-10-29T00:47:48.8Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",202696,65.1281208935611,52.69607843137255,1610612741,19,8,2022-10-29T00:47:59Z,460000,13.0,275.0,1,right,MISS N. Vucevic 27' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,27.56,Missed,,,,,,,,,,,,,,,,,,
47,PT07M33.00S,2022-10-29T00:47:52.8Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,19,8,2022-10-29T00:47:54Z,470000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Center,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,
48,PT07M17.00S,2022-10-29T00:48:11.2Z,1,REGULAR,turnover,out-of-bounds,[],1629640,,,1610612759,19,8,2022-10-29T00:48:19Z,480000,,,0,,K. Johnson step out-of-bounds TURNOVER (2 TO),[1629640],1610612759.0,SAS,step,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,2.0,,,2003.0,,,,,,
49,PT07M17.00S,2022-10-29T00:48:15.9Z,1,REGULAR,substitution,out,[],1627936,,,1610612741,19,8,2022-10-29T00:48:19Z,490000,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M17.00S,2022-10-29T00:48:15.9Z,1,REGULAR,substitution,in,[],1629632,,,1610612741,19,8,2022-10-29T00:48:19Z,500000,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M08.00S,2022-10-29T00:48:35.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201942,74.06373193166885,50.245098039215684,1610612741,19,10,2022-10-29T00:48:40Z,510000,1.0,191.0,1,right,D. DeRozan 19' pullup Jump Shot (4 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,19.13,Made,4.0,,,,,,,,,,,,,,,,,
52,PT06M51.00S,2022-10-29T00:48:52.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,15.850854139290407,43.38235294117647,1610612759,21,10,2022-10-29T00:49:06Z,520000,33.0,96.0,1,left,J. Poeltl 10' floating Jump Shot (4 PTS) (J. Sochan 3 AST),"[1627751, 1631110]",1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,10.2,Made,4.0,J. Sochan,1631110.0,3.0,,,,,,,,,,,,,,
54,PT06M41.00S,2022-10-29T00:49:04.4Z,1,REGULAR,foul,personal,['2freethrow'],1631110,,,1610612741,21,10,2022-10-29T00:49:17Z,540000,,,0,,J. Sochan shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1631110, 201942]",1610612759.0,SAS,shooting,,,Sochan,J. Sochan,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,1628480.0,,,1.0,0.0,DeRozan,201942.0
56,PT06M41.00S,2022-10-29T00:49:36.1Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612741,21,11,2022-10-29T00:49:36Z,560000,,,0,,D. DeRozan Free Throw 1 of 2 (5 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
57,PT06M41.00S,2022-10-29T00:49:37.6Z,1,REGULAR,substitution,out,[],1631110,,,1610612741,21,11,2022-10-29T00:49:44Z,570000,,,0,,SUB out: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M41.00S,2022-10-29T00:49:37.6Z,1,REGULAR,substitution,out,[],1630200,,,1610612741,21,11,2022-10-29T00:49:44Z,580000,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M41.00S,2022-10-29T00:49:37.6Z,1,REGULAR,substitution,out,[],1630172,,,1610612741,21,11,2022-10-29T00:49:44Z,590000,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M41.00S,2022-10-29T00:49:37.6Z,1,REGULAR,substitution,in,[],1631104,,,1610612741,21,11,2022-10-29T00:49:44Z,600000,,,0,,SUB in: B. Wesley,[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M41.00S,2022-10-29T00:49:37.6Z,1,REGULAR,substitution,in,[],1628966,,,1610612741,21,11,2022-10-29T00:49:44Z,610000,,,0,,SUB in: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M41.00S,2022-10-29T00:49:37.6Z,1,REGULAR,substitution,in,[],1629750,,,1610612741,21,11,2022-10-29T00:49:44Z,620000,,,0,,SUB in: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M41.00S,2022-10-29T00:49:58.6Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612741,21,12,2022-10-29T00:49:58Z,630000,,,0,,D. DeRozan Free Throw 2 of 2 (6 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
64,PT06M26.00S,2022-10-29T00:50:16.2Z,1,REGULAR,foul,personal,['3freethrow'],1629750,,,1610612759,21,12,2022-10-29T00:50:30Z,640000,,,0,,J. Green shooting personal FOUL (1 PF) (Johnson 3 FT),"[1629750, 1629640]",1610612741.0,CHI,shooting,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,2003.0,,,1.0,0.0,Johnson,1629640.0
66,PT06M26.00S,2022-10-29T00:50:40.7Z,1,REGULAR,freethrow,1 of 3,[],1629640,,,1610612759,22,12,2022-10-29T00:50:40Z,660000,,,0,,K. Johnson Free Throw 1 of 3 (10 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
67,PT06M26.00S,2022-10-29T00:50:53.5Z,1,REGULAR,freethrow,2 of 3,[],1629640,,,1610612759,23,12,2022-10-29T00:50:53Z,670000,,,0,,K. Johnson Free Throw 2 of 3 (11 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
68,PT06M26.00S,2022-10-29T00:51:06.1Z,1,REGULAR,freethrow,3 of 3,[],1629640,,,1610612759,24,12,2022-10-29T00:51:06Z,680000,,,0,,K. Johnson Free Throw 3 of 3 (12 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
69,PT06M14.00S,2022-10-29T00:51:18.4Z,1,REGULAR,3pt,Jump Shot,[],1629632,73.53810775295663,13.970588235294118,1610612741,24,12,2022-10-29T00:51:23Z,690000,-180.0,196.0,1,right,MISS C. White 26' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,26.63,Missed,,,,,,,,,,,,,,,,,,
70,PT06M11.00S,2022-10-29T00:51:21.4Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,24,12,2022-10-29T00:51:23Z,700000,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Left Center,,,,,,,69.0,2.0,2.0,0.0,,,,,,,,,,
71,PT06M05.00S,2022-10-29T00:51:28.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,7.178055190538765,45.09803921568628,1610612759,24,12,2022-10-29T00:52:41Z,710000,25.0,15.0,1,left,MISS J. Poeltl cutting Layup,[1627751],1610612759.0,SAS,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,2.87,Missed,,,,,,,,,,,,,,,,,,
72,PT06M05.00S,2022-10-29T00:51:28.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,24,12,2022-10-29T00:52:41Z,720000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,71.0,,,,,,,,,,,,,
73,PT06M05.00S,2022-10-29T00:51:48.5Z,1,REGULAR,foul,personal,[],1630245,,,1610612759,24,12,2022-10-29T00:55:05Z,730000,,,0,,A. Dosunmu loose ball personal FOUL (1 PF),"[1630245, 1626196]",1610612741.0,CHI,loose ball,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,203177.0,,,1.0,0.0,Richardson,1626196.0
75,PT06M05.00S,2022-10-29T00:51:55.9Z,1,REGULAR,substitution,out,[],1626196,,,1610612759,24,12,2022-10-29T00:51:58Z,750000,,,0,,SUB out: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M05.00S,2022-10-29T00:51:55.9Z,1,REGULAR,substitution,in,[],203926,,,1610612759,24,12,2022-10-29T00:51:58Z,760000,,,0,,SUB in: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M54.00S,2022-10-29T00:52:03.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203926,27.808804204993432,18.627450980392158,1610612759,24,12,2022-10-29T00:52:21Z,770000,157.0,209.0,1,left,MISS D. McDermott 26' 3PT,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Right Center,26.13,Missed,,,,,,,,,,,,,,,,,,
78,PT05M50.00S,2022-10-29T00:52:07.3Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612741,24,12,2022-10-29T00:52:07Z,780000,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,,
79,PT05M43.00S,2022-10-29T00:52:14.8Z,1,REGULAR,2pt,Jump Shot,[],201942,75.1149802890933,43.872549019607845,1610612741,24,14,2022-10-29T00:52:28Z,790000,-31.0,181.0,1,right,D. DeRozan 18' pullup Jump Shot (8 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,18.4,Made,8.0,,,,,,,,,,,,,,,,,
80,PT05M42.00S,2022-10-29T00:52:19.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,24,14,2022-10-29T00:52:19Z,800000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M24.00S,2022-10-29T00:55:27.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,6.783837056504599,51.9607843137255,1610612759,26,14,2022-10-29T00:55:31Z,810000,-10.0,11.0,1,left,J. Poeltl Layup (6 PTS) (K. Johnson 1 AST),"[1627751, 1629640]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.5,Made,6.0,K. Johnson,1629640.0,1.0,,,,,,,,,,,,,,
84,PT05M12.00S,2022-10-29T00:55:39.4Z,1,REGULAR,turnover,out-of-bounds,[],1629632,,,1610612741,26,14,2022-10-29T00:55:48Z,830000,,,0,,C. White bad pass out-of-bounds TURNOVER (1 TO),[1629632],1610612741.0,CHI,bad pass,,,White,C. White,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,,,1628480.0,,,,,,
85,PT04M51.00S,2022-10-29T00:56:07.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203926,5.469776609724048,53.67647058823529,1610612759,28,14,2022-10-29T00:56:14Z,840000,-18.0,-1.0,1,left,D. McDermott driving finger roll Layup (2 PTS) (B. Wesley 1 AST),"[203926, 1631104]",1610612759.0,SAS,driving finger roll,,,McDermott,D. McDermott,,,,,Restricted Area,0-8 Center,1.84,Made,2.0,B. Wesley,1631104.0,1.0,,,,,,,,,,,,,,
