actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
15,PT10M46.00S,2022-11-24T01:11:27.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,92.06636005256242,50.245098039215684,1610612740,0,2,2022-11-24T01:11:33Z,150000,False,1.0,22.0,1,right,J. Valanciunas reverse Layup (2 PTS) (J. Alvarado 1 AST),"[202685, 1630631]",1610612740.0,NOP,reverse,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,2.21,Made,,,,,2.0,J. Alvarado,1630631.0,1.0,,,,,,,,,,
17,PT10M35.00S,2022-11-24T01:11:39.3Z,1,REGULAR,2pt,Jump Shot,[],1630170,9.806176084099869,69.11764705882352,1610612759,0,2,2022-11-24T01:13:39Z,170000,False,-96.0,40.0,1,left,MISS D. Vassell 10' driving floating Shot,[1630170],1610612759.0,SAS,driving floating,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Left,10.35,Missed,,,,,,,,,,,,,,,,,,
18,PT10M35.00S,2022-11-24T01:11:39.3Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,0,2,2022-11-24T01:13:34Z,180000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,,,17.0,2.0,1.0,1.0,,,,,,,,,,,,,,
26,PT10M34.00S,2022-11-24T01:11:44.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627751,4.862023653088042,51.98376225490197,1610612759,0,2,2022-11-24T01:13:22Z,185000,False,-10.0,-7.0,1,left,MISS J. Poeltl tip Layup,[1627751],1610612759.0,SAS,tip,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.2,Missed,,,,,,,,,,,,,,,,,,
27,PT10M33.00S,2022-11-24T01:11:45.3Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,0,2,2022-11-24T01:13:22Z,187500,False,,,0,,Z. Williamson REBOUND (Off:1 Def:2),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,26.0,3.0,2.0,1.0,,,,,,,,,,,,,,
19,PT10M24.00S,2022-11-24T01:11:49.4Z,1,REGULAR,3pt,Jump Shot,[],202685,67.09921156373193,48.03921568627451,1610612740,0,5,2022-11-24T01:11:54Z,190000,False,-10.0,257.0,1,right,J. Valanciunas 25' 3PT  (5 PTS) (H. Jones 1 AST),"[202685, 1630529]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,25.7,Made,,,,,5.0,H. Jones,1630529.0,1.0,,,,,,,,,,
21,PT10M10.00S,2022-11-24T01:12:03.8Z,1,REGULAR,2pt,Jump Shot,[],1630200,15.982260183968464,65.93137254901961,1610612759,0,5,2022-11-24T01:14:42Z,210000,False,-80.0,98.0,1,left,MISS T. Jones 12' driving floating Shot,[1630200],1610612759.0,SAS,driving floating,,,Jones,T. Jones,,,,,Mid-Range,8-16 Left,12.61,Missed,,,,,,,,,,,,,,,,,,
22,PT10M07.00S,2022-11-24T01:12:06.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,5,2022-11-24T01:12:09Z,220000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Left,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT09M58.00S,2022-11-24T01:12:15.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202685,93.38042049934296,49.754901960784316,1610612740,0,7,2022-11-24T01:15:06Z,230000,False,-1.0,10.0,1,right,J. Valanciunas cutting DUNK (7 PTS) (J. Alvarado 2 AST),"[202685, 1630631]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,0.98,Made,,,,,7.0,J. Alvarado,1630631.0,2.0,,,,,,,,,,
25,PT09M58.00S,2022-11-24T01:12:22.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,0,7,2022-11-24T01:12:22Z,250000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M47.00S,2022-11-24T01:15:20.4Z,1,REGULAR,turnover,out-of-bounds,[],1630200,,,1610612759,0,7,2022-11-24T01:15:45Z,260000,False,,,0,,T. Jones bad pass out-of-bounds TURNOVER (1 TO),[1630200],1610612759.0,SAS,bad pass,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,,,,,,,,,
29,PT09M33.00S,2022-11-24T01:15:46.6Z,1,REGULAR,foul,personal,['2freethrow'],1631110,,,1610612740,0,7,2022-11-24T01:16:14Z,270000,False,,,0,,J. Sochan shooting personal FOUL (1 PF) (Williamson 2 FT),"[1631110, 1629627]",1610612759.0,SAS,shooting,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,2882.0,1.0,0.0,Williamson,1629627.0,,,,
31,PT09M33.00S,2022-11-24T01:16:12.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629627,,,1610612740,0,8,2022-11-24T01:16:12Z,290000,False,,,0,,Z. Williamson Free Throw 1 of 2 (1 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
32,PT09M33.00S,2022-11-24T01:16:24.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629627,,,1610612740,0,9,2022-11-24T01:16:24Z,300000,False,,,0,,Z. Williamson Free Throw 2 of 2 (2 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
33,PT09M08.00S,2022-11-24T01:16:50.4Z,1,REGULAR,3pt,Jump Shot,[],1630200,32.40801576872536,49.50980392156863,1610612759,0,9,2022-11-24T01:16:58Z,310000,False,2.0,252.0,1,left,MISS T. Jones 25' 3PT,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,25.21,Missed,,,,,,,,,,,,,,,,,,
34,PT09M06.00S,2022-11-24T01:16:54.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,0,9,2022-11-24T01:16:54Z,320000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Above the Break 3,24+ Center,,,33.0,,,,,,,,,,,,,,,,,
36,PT08M54.00S,2022-11-24T01:17:20.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1631110,6.176084099868594,88.7484681372549,1610612759,0,9,2022-11-24T01:19:20Z,340000,False,-194.0,6.0,1,left,MISS J. Sochan 19' Jump Shot - blocked,"[1631110, 1630529]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Left,19.38,Missed,,,,,,,,,,,,,,,Jones,1630529.0,,
37,PT08M54.00S,2022-11-24T01:17:20.2Z,1,REGULAR,block,,[],1630529,,,1610612759,0,9,2022-11-24T01:17:22Z,350000,False,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
38,PT08M51.00S,2022-11-24T01:17:23.2Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,0,9,2022-11-24T01:17:28Z,360000,False,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Left Corner 3,24+ Left,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
39,PT08M47.00S,2022-11-24T01:17:27.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,91.93495400788436,39.46078431372549,1610612740,0,9,2022-11-24T01:17:37Z,370000,False,-53.0,23.0,1,right,MISS Z. Williamson Layup,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,5.76,Missed,,,,,,,,,,,,,,,,,,
40,PT08M44.00S,2022-11-24T01:17:30.8Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,0,9,2022-11-24T01:17:37Z,380000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT08M36.00S,2022-11-24T01:17:37.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,14.273981603153747,50.0,1610612759,0,9,2022-11-24T01:20:21Z,390000,False,0.0,82.0,1,left,MISS D. Vassell 8' driving floating Shot - blocked,"[1630170, 202685]",1610612759.0,SAS,driving floating,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,8.17,Missed,,,,,,,,,,,,,,,Valanciunas,202685.0,,
42,PT08M36.00S,2022-11-24T01:17:37.8Z,1,REGULAR,block,,[],202685,,,1610612759,0,9,2022-11-24T01:17:40Z,400000,False,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
43,PT08M33.00S,2022-11-24T01:17:40.8Z,1,REGULAR,rebound,defensive,[],1630631,,,1610612740,0,9,2022-11-24T01:18:45Z,410000,False,,,0,,J. Alvarado REBOUND (Off:0 Def:1),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),8-16 Center,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
44,PT08M29.00S,2022-11-24T01:17:47.5Z,1,REGULAR,turnover,traveling,[],1627742,,,1610612740,0,9,2022-11-24T01:18:02Z,420000,False,,,0,,B. Ingram traveling TURNOVER (1 TO),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,1627526.0,,,,,,,,
45,PT08M10.00S,2022-11-24T01:18:15.8Z,1,REGULAR,foul,personal,['3freethrow'],1630529,,,1610612759,0,9,2022-11-24T01:18:31Z,430000,False,,,0,,H. Jones shooting personal FOUL (1 PF) (Vassell 3 FT),"[1630529, 1630170]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,1627541.0,1.0,0.0,Vassell,1630170.0,,,,
47,PT08M10.00S,2022-11-24T01:18:42.1Z,1,REGULAR,freethrow,1 of 3,['fromturnover'],1630170,,,1610612759,0,9,2022-11-24T01:18:42Z,450000,False,,,0,,MISS D. Vassell Free Throw 1 of 3,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
48,PT08M10.00S,2022-11-24T01:18:42.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,0,9,2022-11-24T01:18:42Z,460000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,
49,PT08M10.00S,2022-11-24T01:18:56.6Z,1,REGULAR,freethrow,2 of 3,['fromturnover'],1630170,,,1610612759,1,9,2022-11-24T01:18:56Z,470000,False,,,0,,D. Vassell Free Throw 2 of 3 (1 PTS),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
50,PT08M10.00S,2022-11-24T01:19:13.6Z,1,REGULAR,freethrow,3 of 3,['fromturnover'],1630170,,,1610612759,2,9,2022-11-24T01:19:13Z,480000,False,,,0,,D. Vassell Free Throw 3 of 3 (2 PTS),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
51,PT08M03.00S,2022-11-24T01:19:23.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629627,94.69448094612353,50.98039215686274,1610612740,2,11,2022-11-24T01:22:21Z,490000,False,5.0,-3.0,1,right,Z. Williamson running alley-oop DUNK (4 PTS) (J. Alvarado 3 AST),"[1629627, 1630631]",1610612740.0,NOP,running alley-oop,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,0.55,Made,,,,,4.0,J. Alvarado,1630631.0,3.0,,,,,,,,,,
53,PT07M43.00S,2022-11-24T01:19:42.3Z,1,REGULAR,turnover,lost ball,[],1631110,,,1610612759,2,11,2022-11-24T01:19:47Z,510000,False,,,0,,J. Sochan lost ball TURNOVER (1 TO),"[1631110, 1629627]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,,,,,,Williamson,1629627.0
54,PT07M43.00S,2022-11-24T01:19:42.3Z,1,REGULAR,steal,,[],1629627,,,1610612740,2,11,2022-11-24T01:19:44Z,520000,False,,,0,,Z. Williamson STEAL (1 STL),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
55,PT07M35.00S,2022-11-24T01:19:51.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202685,67.23061760840999,53.18627450980392,1610612740,2,14,2022-11-24T01:19:56Z,530000,False,16.0,256.0,1,right,J. Valanciunas 25' 3PT  (10 PTS) (B. Ingram 1 AST),"[202685, 1627742]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,25.6,Made,,,,,10.0,B. Ingram,1627742.0,1.0,,,,,,,,,,
57,PT07M10.00S,2022-11-24T01:20:16.0Z,1,REGULAR,2pt,Jump Shot,[],1629640,5.601182654402102,19.852941176470587,1610612759,4,14,2022-11-24T01:20:22Z,550000,False,151.0,0.0,1,left,K. Johnson 15' pullup Jump Shot (2 PTS) (T. Jones 1 AST),"[1629640, 1630200]",1610612759.0,SAS,pullup,,,Johnson,K. Johnson,,,,,Mid-Range,8-16 Right,15.07,Made,,,,,2.0,T. Jones,1630200.0,1.0,,,,,,,,,,
59,PT07M00.00S,2022-11-24T01:20:27.7Z,1,REGULAR,foul,personal,[],1629640,,,1610612740,4,14,2022-11-24T01:20:37Z,570000,False,,,0,,K. Johnson personal FOUL (1 PF),"[1629640, 1629627]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1627526.0,1.0,0.0,Williamson,1629627.0,,,,
61,PT07M00.00S,2022-11-24T01:20:34.5Z,1,REGULAR,substitution,out,[],1629640,,,1610612740,4,14,2022-11-24T01:20:38Z,590000,False,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M00.00S,2022-11-24T01:20:34.5Z,1,REGULAR,substitution,in,[],1628966,,,1610612740,4,14,2022-11-24T01:20:38Z,600000,False,,,0,,SUB in: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M51.00S,2022-11-24T01:21:04.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.38042049934296,48.03921568627451,1610612740,4,16,2022-11-24T01:24:24Z,610000,False,-10.0,10.0,1,right,Z. Williamson driving reverse Layup (6 PTS) (B. Ingram 2 AST),"[1629627, 1627742]",1610612740.0,NOP,driving reverse,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,1.38,Made,,,,,6.0,B. Ingram,1627742.0,2.0,,,,,,,,,,
65,PT06M51.00S,2022-11-24T01:21:07.1Z,1,REGULAR,foul,personal,['1freethrow'],1630170,,,1610612740,4,16,2022-11-24T01:21:14Z,630000,False,,,0,,D. Vassell shooting personal FOUL (1 PF) (Williamson 1 FT),"[1630170, 1629627]",1610612759.0,SAS,shooting,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1627541.0,1.0,0.0,Williamson,1629627.0,,,,
67,PT06M51.00S,2022-11-24T01:21:28.0Z,1,REGULAR,freethrow,1 of 1,[],1629627,,,1610612740,4,16,2022-11-24T01:21:33Z,650000,False,,,0,,MISS Z. Williamson Free Throw 1 of 1,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
68,PT06M50.00S,2022-11-24T01:21:29.0Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,4,16,2022-11-24T01:21:33Z,660000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,67.0,3.0,2.0,1.0,,,,,,,,,,,,,,
69,PT06M37.00S,2022-11-24T01:21:42.1Z,1,REGULAR,3pt,Jump Shot,[],1628966,4.812746386333772,2.696078431372549,1610612759,4,16,2022-11-24T01:21:47Z,670000,False,237.0,-7.0,1,left,MISS K. Bates-Diop 3PT,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Right Corner 3,24+ Right,23.66,Missed,,,,,,,,,,,,,,,,,,
70,PT06M33.00S,2022-11-24T01:21:46.1Z,1,REGULAR,rebound,defensive,[],1630631,,,1610612740,4,16,2022-11-24T01:21:47Z,680000,False,,,0,,J. Alvarado REBOUND (Off:0 Def:2),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Right Corner 3,24+ Right,,,69.0,2.0,2.0,0.0,,,,,,,,,,,,,,
71,PT06M24.00S,2022-11-24T01:21:54.5Z,1,REGULAR,3pt,Jump Shot,[],1629627,73.40670170827858,16.666666666666664,1610612740,4,16,2022-11-24T01:21:59Z,690000,False,-167.0,197.0,1,right,MISS Z. Williamson 25' 3PT,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Left Center,25.84,Missed,,,,,,,,,,,,,,,,,,
72,PT06M22.00S,2022-11-24T01:21:56.5Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,4,16,2022-11-24T01:21:59Z,700000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:3),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Left Center,,,71.0,4.0,3.0,1.0,,,,,,,,,,,,,,
73,PT06M11.00S,2022-11-24T01:22:07.6Z,1,REGULAR,3pt,Jump Shot,[],1630200,27.151773981603156,82.1078431372549,1610612759,4,16,2022-11-24T01:22:12Z,710000,False,-161.0,203.0,1,left,MISS T. Jones 25' 3PT,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,25.85,Missed,,,,,,,,,,,,,,,,,,
74,PT06M08.00S,2022-11-24T01:22:10.6Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,4,16,2022-11-24T01:22:12Z,720000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:3),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Left Center,,,73.0,4.0,3.0,1.0,,,,,,,,,,,,,,
75,PT05M58.00S,2022-11-24T01:22:20.4Z,1,REGULAR,3pt,Jump Shot,[],1627742,76.95466491458606,87.74509803921569,1610612740,4,16,2022-11-24T01:26:12Z,730000,False,189.0,164.0,1,right,MISS B. Ingram 25' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,25.01,Missed,,,,,,,,,,,,,,,,,,
76,PT05M56.00S,2022-11-24T01:22:22.4Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,4,16,2022-11-24T01:22:25Z,740000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:4),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Right Center,,,75.0,5.0,4.0,1.0,,,,,,,,,,,,,,
77,PT05M49.00S,2022-11-24T01:22:29.7Z,1,REGULAR,3pt,Jump Shot,[],1630170,32.53942181340342,42.15686274509804,1610612759,4,16,2022-11-24T01:22:34Z,750000,False,39.0,253.0,1,left,MISS D. Vassell 25' pullup 3PT,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Center,25.64,Missed,,,,,,,,,,,,,,,,,,
78,PT05M46.00S,2022-11-24T01:22:32.7Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,4,16,2022-11-24T01:22:34Z,760000,False,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,,,77.0,2.0,2.0,0.0,,,,,,,,,,,,,,
79,PT05M39.00S,2022-11-24T01:22:39.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,92.9862023653088,49.01960784313725,1610612740,4,18,2022-11-24T01:22:46Z,770000,False,-5.0,13.0,1,right,Z. Williamson driving Layup (8 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,1.43,Made,,,,,8.0,,,,,,,,,,,,,
80,PT05M26.00S,2022-11-24T01:22:54.5Z,1,REGULAR,foul,personal,[],202685,,,1610612759,4,18,2022-11-24T01:23:03Z,780000,False,,,0,,J. Valanciunas personal FOUL (1 PF),"[202685, 1627751]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,1627526.0,1.0,0.0,Poeltl,1627751.0,,,,
82,PT05M26.00S,2022-11-24T01:23:00.2Z,1,REGULAR,substitution,out,[],1631110,,,1610612759,4,18,2022-11-24T01:23:29Z,800000,False,,,0,,SUB out: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M26.00S,2022-11-24T01:23:00.2Z,1,REGULAR,substitution,out,[],1627751,,,1610612759,4,18,2022-11-24T01:23:29Z,810000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
