actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
18,PT10M56.00S,2022-11-03T00:11:11.5Z,1,REGULAR,3pt,Jump Shot,[],1628966,92.9862023653088,0.9803921568627451,1610612759,0,4,2022-11-03T00:11:18Z,180000,-245.0,13.0,1,right,MISS K. Bates-Diop 24' 3PT,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Left Corner 3,24+ Left,,,,24.55,Missed,,,,,,,,,,,,,,,
19,PT10M56.00S,2022-11-03T00:11:11.5Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,0,4,2022-11-03T00:11:18Z,190000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Left Corner 3,24+ Left,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT10M40.00S,2022-11-03T00:11:27.7Z,1,REGULAR,2pt,Jump Shot,[],1628384,7.5722733245729295,81.86274509803921,1610612761,0,4,2022-11-03T00:11:34Z,200000,-159.0,19.0,1,left,MISS O. Anunoby 16' step back Shot,[1628384],1610612761.0,TOR,step back,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Left,,,,16.04,Missed,,,,,,,,,,,,,,,
21,PT10M40.00S,2022-11-03T00:11:27.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,0,4,2022-11-03T00:11:34Z,210000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Mid-Range,16-24 Left,,,,,,,20.0,,,,,,,,,,,,,
23,PT10M34.00S,2022-11-03T00:11:47.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630567,30.436925098554536,71.81372549019608,1610612761,0,7,2022-11-03T00:11:53Z,230000,-109.0,234.0,1,left,S. Barnes 25' 3PT  (5 PTS) (P. Siakam 1 AST),"[1630567, 1627783]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,,25.78,Made,5.0,,,,,P. Siakam,1627783.0,1.0,,,,,,,
25,PT10M24.00S,2022-11-03T00:12:00.6Z,1,REGULAR,foul,offensive,[],1627751,,,1610612759,0,7,2022-11-03T00:12:11Z,250000,,,0,,J. Poeltl offensive FOUL (1 PF),"[1627751, 1629018]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,202037.0,1.0,0.0,Trent Jr.,1629018.0,,
27,PT10M24.00S,2022-11-03T00:12:00.6Z,1,REGULAR,turnover,offensive foul,[],1627751,,,1610612759,0,7,2022-11-03T00:12:00Z,270000,,,0,,J. Poeltl offensive foul TURNOVER (1 TO),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Mid-Range,16-24 Right Center,1.0,,,,,,,,,,,,,202037.0,,,,,,
28,PT10M16.00S,2022-11-03T00:12:30.1Z,1,REGULAR,turnover,out-of-bounds,[],1630567,,,1610612761,0,7,2022-11-03T00:12:47Z,280000,,,0,,S. Barnes bad pass out-of-bounds TURNOVER (1 TO),[1630567],1610612761.0,TOR,bad pass,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,1.0,,,,,,,,,,,,,204058.0,,,,,,
29,PT09M59.00S,2022-11-03T00:12:56.8Z,1,REGULAR,turnover,bad pass,[],1627751,,,1610612759,0,7,2022-11-03T00:13:03Z,290000,,,0,,J. Poeltl bad pass TURNOVER (2 TO),"[1627751, 1628384]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,2.0,Anunoby,1628384.0,,,,,,,,,,,,,,,,,
30,PT09M59.00S,2022-11-03T00:12:56.8Z,1,REGULAR,steal,,[],1628384,,,1610612761,0,7,2022-11-03T00:12:59Z,300000,,,0,,O. Anunoby STEAL (2 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
31,PT09M56.00S,2022-11-03T00:13:01.6Z,1,REGULAR,foul,personal,['2freethrow'],1629641,,,1610612761,0,7,2022-11-03T00:13:10Z,310000,,,0,,R. Langford shooting personal FOUL (1 PF) (Trent Jr. 2 FT),"[1629641, 1629018]",1610612759.0,SAS,shooting,,,Langford,R. Langford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,200833.0,1.0,0.0,Trent Jr.,1629018.0,,
33,PT09M56.00S,2022-11-03T00:13:26.0Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629018,,,1610612761,0,8,2022-11-03T00:13:26Z,330000,,,0,,G. Trent Jr. Free Throw 1 of 2 (1 PTS),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
34,PT09M56.00S,2022-11-03T00:13:40.4Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1629018,,,1610612761,0,9,2022-11-03T00:13:40Z,340000,,,0,,G. Trent Jr. Free Throw 2 of 2 (2 PTS),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
35,PT09M56.00S,2022-11-03T00:13:45.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,0,9,2022-11-03T00:13:45Z,350000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M41.00S,2022-11-03T00:16:50.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,87.59855453350855,39.705882352941174,1610612759,0,9,2022-11-03T00:16:59Z,360000,-51.0,64.0,1,right,MISS J. Poeltl 8' Hook,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Left,,,,8.22,Missed,,,,,,,,,,,,,,,
37,PT09M37.00S,2022-11-03T00:16:54.8Z,1,REGULAR,rebound,offensive,[],1631110,,,1610612759,0,9,2022-11-03T00:16:59Z,370000,,,0,,J. Sochan REBOUND (Off:1 Def:0),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,36.0,1.0,0.0,1.0,,,,,,,,,,
38,PT09M37.00S,2022-11-03T00:16:54.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1631110,94.40999984741211,50.0,1610612759,2,9,2022-11-03T00:16:54Z,380000,0.0,0.0,1,right,J. Sochan tip DUNK (2 PTS),[1631110],1610612759.0,SAS,tip,,,Sochan,J. Sochan,,,,,Mid-Range,8-16 Left,,,,0.0,Made,2.0,,,,,,,,,,,,,,
39,PT09M28.00S,2022-11-03T00:17:04.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631132,6.915243101182654,50.245098039215684,1610612761,2,11,2022-11-03T00:17:15Z,390000,-1.0,13.0,1,left,C. Koloko alley-oop DUNK (2 PTS) (S. Barnes 1 AST),"[1631132, 1630567]",1610612761.0,TOR,alley-oop,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,,,,1.26,Made,2.0,,,,,S. Barnes,1630567.0,1.0,,,,,,,
41,PT09M17.00S,2022-11-03T00:17:15.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,83.39356110381078,44.11764705882353,1610612759,2,11,2022-11-03T00:17:21Z,410000,-29.0,104.0,1,right,MISS T. Jones 10' driving floating Shot,[1630200],1610612759.0,SAS,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,10.77,Missed,,,,,,,,,,,,,,,
42,PT09M14.00S,2022-11-03T00:17:17.6Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,2,11,2022-11-03T00:17:17Z,420000,,,0,,J. Poeltl REBOUND (Off:3 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,41.0,3.0,0.0,3.0,,,,,,,,,,
45,PT09M02.00S,2022-11-03T00:18:02.1Z,1,REGULAR,turnover,bad pass,[],1628966,,,1610612759,2,11,2022-11-03T00:18:16Z,450000,,,0,,K. Bates-Diop bad pass TURNOVER (1 TO),"[1628966, 1628384]",1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,1.0,Anunoby,1628384.0,,,,,,,,,,,,,,,,,
46,PT09M02.00S,2022-11-03T00:18:02.1Z,1,REGULAR,steal,,[],1628384,,,1610612761,2,11,2022-11-03T00:18:04Z,460000,,,0,,O. Anunoby STEAL (3 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
47,PT08M57.00S,2022-11-03T00:18:07.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630567,5.601182654402102,44.36274509803921,1610612761,2,13,2022-11-03T00:18:20Z,470000,28.0,0.0,1,left,S. Barnes Layup (7 PTS) (P. Siakam 2 AST),"[1630567, 1627783]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,2.82,Made,7.0,,,,,P. Siakam,1627783.0,2.0,,,,,,,
49,PT08M43.00S,2022-11-03T00:18:21.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628966,91.01511169513797,37.745098039215684,1610612759,2,13,2022-11-03T00:18:44Z,490000,-61.0,32.0,1,right,MISS K. Bates-Diop 6' driving Layup,[1628966],1610612759.0,SAS,driving,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),0-8 Center,,,,6.91,Missed,,,,,,,,,,,,,,,
50,PT08M43.00S,2022-11-03T00:18:25.1Z,1,REGULAR,rebound,offensive,[],1628966,,,1610612759,2,13,2022-11-03T00:18:25Z,500000,,,0,,K. Bates-Diop REBOUND (Off:1 Def:0),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,49.0,1.0,0.0,1.0,,,,,,,,,,
51,PT08M43.00S,2022-11-03T00:18:26.1Z,1,REGULAR,foul,personal,['2freethrow'],1628384,,,1610612759,2,13,2022-11-03T00:18:35Z,510000,,,0,,O. Anunoby shooting personal FOUL (1 PF) (Bates-Diop 2 FT),"[1628384, 1628966]",1610612761.0,TOR,shooting,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,204058.0,1.0,0.0,Bates-Diop,1628966.0,,
53,PT08M43.00S,2022-11-03T00:18:45.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628966,,,1610612759,3,13,2022-11-03T00:18:45Z,530000,,,0,,K. Bates-Diop Free Throw 1 of 2 (1 PTS),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
54,PT08M43.00S,2022-11-03T00:18:59.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628966,,,1610612759,4,13,2022-11-03T00:18:59Z,540000,,,0,,K. Bates-Diop Free Throw 2 of 2 (2 PTS),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
55,PT08M24.00S,2022-11-03T00:19:21.6Z,1,REGULAR,2pt,Jump Shot,[],1629018,11.514454664914586,23.284313725490197,1610612761,4,13,2022-11-03T00:20:26Z,550000,134.0,56.0,1,left,MISS G. Trent Jr. 14' step back Shot,[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,8-16 Right,,,,14.47,Missed,,,,,,,,,,,,,,,
56,PT08M20.00S,2022-11-03T00:19:25.6Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,4,13,2022-11-03T00:19:28Z,560000,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Mid-Range,8-16 Right,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,
57,PT08M11.00S,2022-11-03T00:19:33.4Z,1,REGULAR,2pt,Jump Shot,[],1629641,91.01511169513797,73.0392156862745,1610612759,6,13,2022-11-03T00:19:39Z,570000,115.0,32.0,1,right,R. Langford 11' driving floating Jump Shot (2 PTS) (T. Jones 1 AST),"[1629641, 1630200]",1610612759.0,SAS,driving floating,,,Langford,R. Langford,,,,,Mid-Range,8-16 Right,,,,11.96,Made,2.0,,,,,T. Jones,1630200.0,1.0,,,,,,,
59,PT08M02.00S,2022-11-03T00:19:43.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629018,9.280551905387648,1.9607843137254901,1610612761,6,13,2022-11-03T00:19:49Z,590000,240.0,35.0,1,left,MISS G. Trent Jr. 24' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Right Corner 3,24+ Right,,,,24.27,Missed,,,,,,,,,,,,,,,
60,PT07M57.00S,2022-11-03T00:19:48.2Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,6,13,2022-11-03T00:19:49Z,600000,,,0,,T. Jones REBOUND (Off:0 Def:2),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Right Corner 3,24+ Right,,,,,,,59.0,2.0,2.0,0.0,,,,,,,,,,
61,PT07M52.00S,2022-11-03T00:19:52.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629641,66.83639947437582,53.92156862745098,1610612759,6,13,2022-11-03T00:19:59Z,610000,20.0,259.0,1,right,MISS R. Langford 25' 3PT,[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,Above the Break 3,24+ Center,,,,25.99,Missed,,,,,,,,,,,,,,,
62,PT07M50.00S,2022-11-03T00:19:54.4Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,6,13,2022-11-03T00:19:59Z,620000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,
63,PT07M44.00S,2022-11-03T00:20:01.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630567,5.732588699080158,46.07843137254902,1610612761,6,15,2022-11-03T00:20:09Z,630000,20.0,1.0,1,left,S. Barnes cutting DUNK (9 PTS) (G. Trent Jr. 1 AST),"[1630567, 1629018]",1610612761.0,TOR,cutting,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,1.96,Made,9.0,,,,,G. Trent Jr.,1629018.0,1.0,,,,,,,
65,PT07M31.00S,2022-11-03T00:20:13.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,86.15308804204993,58.333333333333336,1610612759,8,15,2022-11-03T00:20:21Z,650000,42.0,78.0,1,right,J. Poeltl 8' floating Jump Shot (2 PTS) (T. Jones 2 AST),"[1627751, 1630200]",1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,,8.82,Made,2.0,,,,,T. Jones,1630200.0,2.0,,,,,,,
67,PT07M22.00S,2022-11-03T00:20:23.0Z,1,REGULAR,3pt,Jump Shot,[],1627783,25.969119579500656,83.33333333333334,1610612761,8,15,2022-11-03T00:20:40Z,670000,-167.0,192.0,1,left,MISS P. Siakam 25' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,,25.4,Missed,,,,,,,,,,,,,,,
68,PT07M19.00S,2022-11-03T00:20:26.0Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,8,15,2022-11-03T00:20:40Z,680000,,,0,,J. Sochan REBOUND (Off:1 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Left Center,,,,,,,67.0,2.0,1.0,1.0,,,,,,,,,,
69,PT07M12.00S,2022-11-03T00:20:33.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631110,91.67214191852825,44.11764705882353,1610612759,8,15,2022-11-03T00:20:54Z,690000,-29.0,26.0,1,right,MISS J. Sochan driving Layup,[1631110],1610612759.0,SAS,driving,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,3.91,Missed,,,,,,,,,,,,,,,
70,PT07M09.00S,2022-11-03T00:20:36.2Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,8,15,2022-11-03T00:20:36Z,700000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,69.0,1.0,1.0,0.0,,,,,,,,,,
71,PT07M06.00S,2022-11-03T00:20:39.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630567,5.995400788436268,49.50980392156863,1610612761,8,17,2022-11-03T00:21:01Z,710000,2.0,4.0,1,left,S. Barnes cutting DUNK (11 PTS) (P. Siakam 3 AST),"[1630567, 1627783]",1610612761.0,TOR,cutting,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,0.46,Made,11.0,,,,,P. Siakam,1627783.0,3.0,,,,,,,
73,PT06M51.00S,2022-11-03T00:20:56.5Z,1,REGULAR,foul,personal,[],1629018,,,1610612759,8,17,2022-11-03T00:21:22Z,730000,,,0,,G. Trent Jr. personal FOUL (1 PF),"[1629018, 1629641]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,202037.0,1.0,0.0,Langford,1629641.0,,
75,PT06M51.00S,2022-11-03T00:21:13.0Z,1,REGULAR,substitution,out,[],1627751,,,1610612759,8,17,2022-11-03T00:21:19Z,750000,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M51.00S,2022-11-03T00:21:13.0Z,1,REGULAR,substitution,out,[],1631110,,,1610612759,8,17,2022-11-03T00:21:19Z,760000,,,0,,SUB out: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M51.00S,2022-11-03T00:21:13.0Z,1,REGULAR,substitution,in,[],203926,,,1610612759,8,17,2022-11-03T00:21:19Z,770000,,,0,,SUB in: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M51.00S,2022-11-03T00:21:13.0Z,1,REGULAR,substitution,in,[],1628380,,,1610612759,8,17,2022-11-03T00:21:19Z,780000,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M37.00S,2022-11-03T00:21:34.1Z,1,REGULAR,3pt,Jump Shot,[],203926,72.61826544021025,13.480392156862745,1610612759,8,17,2022-11-03T00:21:45Z,790000,-183.0,205.0,1,right,MISS D. McDermott 27' 3PT - blocked,"[203926, 1628384]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Left Center,,,,27.45,Missed,,,,,,,,,,,,,,Anunoby,1628384.0
80,PT06M37.00S,2022-11-03T00:21:34.1Z,1,REGULAR,block,,[],1628384,,,1610612759,8,17,2022-11-03T00:21:37Z,800000,,,0,,O. Anunoby BLOCK (1 BLK),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
81,PT06M33.00S,2022-11-03T00:21:38.1Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,8,17,2022-11-03T00:21:45Z,810000,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,,,,,79.0,2.0,2.0,0.0,,,,,,,,,,
82,PT06M31.00S,2022-11-03T00:21:40.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629018,10.726018396846255,50.49019607843137,1610612761,8,19,2022-11-03T00:21:51Z,820000,-2.0,48.0,1,left,G. Trent Jr. Layup (4 PTS) (O. Anunoby 2 AST),"[1629018, 1628384]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,4.84,Made,4.0,,,,,O. Anunoby,1628384.0,2.0,,,,,,,
84,PT06M19.00S,2022-11-03T00:21:52.4Z,1,REGULAR,3pt,Jump Shot,[],1629641,89.43823915900131,96.07843137254902,1610612759,11,19,2022-11-03T00:21:57Z,840000,230.0,47.0,1,right,R. Langford 3PT  (5 PTS) (T. Jones 3 AST),"[1629641, 1630200]",1610612759.0,SAS,,,,Langford,R. Langford,,,,,Right Corner 3,24+ Right,,,,23.51,Made,5.0,,,,,T. Jones,1630200.0,3.0,,,,,,,
86,PT06M08.00S,2022-11-03T00:22:03.2Z,1,REGULAR,3pt,Jump Shot,[],1630567,26.888961892247043,83.08823529411765,1610612761,11,19,2022-11-03T00:22:09Z,860000,-165.0,200.0,1,left,MISS S. Barnes 25' pullup 3PT,[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,,25.98,Missed,,,,,,,,,,,,,,,
