actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
25,PT10M02.00S,2022-11-05T00:13:08.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,16.63929040735874,37.99019607843137,1610612759,6,2,2022-11-05T00:13:12Z,250000,60.0,104.0,1,left,T. Jones 12' floating Jump Shot (2 PTS),[1630200],1610612759.0,SAS,floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,12.0,Made,2.0,,,,,,,,,,,,,,,,,
26,PT09M45.00S,2022-11-05T00:13:25.4Z,1,REGULAR,turnover,bad pass,[],202331,,,1610612746,6,2,2022-11-05T00:13:29Z,260000,,,0,,P. George bad pass TURNOVER (1 TO),"[202331, 1627751]",1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Poeltl,1627751.0,,
27,PT09M45.00S,2022-11-05T00:13:25.4Z,1,REGULAR,steal,,[],1627751,,,1610612759,6,2,2022-11-05T00:13:27Z,270000,,,0,,J. Poeltl STEAL (1 STL),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M35.00S,2022-11-05T00:13:37.1Z,1,REGULAR,foul,personal,[],202331,,,1610612759,6,2,2022-11-05T00:13:45Z,280000,,,0,,P. George personal FOUL (1 PF),"[202331, 1629640]",1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,203592.0,1.0,0.0,Johnson,1629640.0,,,,,
30,PT09M27.00S,2022-11-05T00:14:01.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629640,30.962549277266753,25.98039215686275,1610612759,6,2,2022-11-05T00:14:09Z,300000,120.0,239.0,1,left,MISS K. Johnson 26' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,26.7,Missed,,,,,,,,,,,,,,,,,,
31,PT09M23.00S,2022-11-05T00:14:05.8Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,6,2,2022-11-05T00:14:09Z,310000,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Right Center,,,,,,,30.0,2.0,1.0,1.0,,,,,,,,,,
32,PT09M20.00S,2022-11-05T00:14:08.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1631103,21.632720105124836,92.15686274509804,1610612759,6,2,2022-11-05T00:14:12Z,320000,-211.0,151.0,1,left,MISS M. Branham 25' 3PT,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Above the Break 3,24+ Left Center,25.92,Missed,,,,,,,,,,,,,,,,,,
33,PT09M18.00S,2022-11-05T00:14:10.3Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,6,2,2022-11-05T00:14:12Z,330000,,,0,,R. Jackson REBOUND (Off:0 Def:2),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Left Center,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,,,
34,PT09M12.00S,2022-11-05T00:14:17.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,89.96386333771353,55.63725490196079,1610612746,6,4,2022-11-05T00:14:23Z,340000,28.0,42.0,1,right,R. Jackson driving bank Jump Shot (2 PTS),[202704],1610612746.0,LAC,driving bank,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),0-8 Center,5.04,Made,2.0,,,,,,,,,,,,,,,,,
35,PT08M55.00S,2022-11-05T00:14:33.5Z,1,REGULAR,3pt,Jump Shot,[],1629640,29.6484888304862,21.07843137254902,1610612759,6,4,2022-11-05T00:14:37Z,350000,145.0,226.0,1,left,MISS K. Johnson 26' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,26.85,Missed,,,,,,,,,,,,,,,,,,
36,PT08M52.00S,2022-11-05T00:14:36.5Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,6,4,2022-11-05T00:14:37Z,360000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Right Center,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,
37,PT08M46.00S,2022-11-05T00:14:43.9Z,1,REGULAR,3pt,Jump Shot,[],202704,65.25952693823915,48.03921568627451,1610612746,6,7,2022-11-05T00:14:48Z,370000,-10.0,274.0,1,right,R. Jackson 27' 3PT  (5 PTS) (P. George 1 AST),"[202704, 202331]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Center,27.43,Made,5.0,P. George,202331.0,1.0,,,,,,,,,,,,,,
39,PT08M26.00S,2022-11-05T00:15:02.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,6.389618922470433,53.431372549019606,1610612759,6,7,2022-11-05T00:15:10Z,390000,-17.0,8.0,1,left,MISS J. Poeltl driving finger roll Layup - blocked,"[1627751, 1627826]",1610612759.0,SAS,driving finger roll,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.88,Missed,,,,,,,,,,,,,,,,,Zubac,1627826.0
40,PT08M26.00S,2022-11-05T00:15:02.8Z,1,REGULAR,block,,[],1627826,,,1610612759,6,7,2022-11-05T00:15:05Z,400000,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT08M23.00S,2022-11-05T00:15:05.8Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,6,7,2022-11-05T00:15:10Z,410000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:2),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Restricted Area,0-8 Center,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,
42,PT08M20.00S,2022-11-05T00:15:08.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202704,93.51182654402102,52.94117647058824,1610612746,6,9,2022-11-05T00:15:15Z,420000,15.0,8.0,1,right,R. Jackson running Layup (7 PTS) (M. Morris Sr. 1 AST),"[202704, 202694]",1610612746.0,LAC,running,,,Jackson,R. Jackson,,,,,Restricted Area,0-8 Center,1.7,Made,7.0,M. Morris Sr.,202694.0,1.0,,,,,,,,,,,,,,
44,PT08M00.00S,2022-11-05T00:15:28.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,10.068988173455978,37.00980392156863,1610612759,8,9,2022-11-05T00:15:50Z,440000,65.0,42.0,1,left,K. Johnson 7' driving bank Jump Shot (6 PTS),[1629640],1610612759.0,SAS,driving bank,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,7.74,Made,6.0,,,,,,,,,,,,,,,,,
45,PT07M36.00S,2022-11-05T00:15:52.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,86.94152431011827,59.55882352941176,1610612746,8,11,2022-11-05T00:15:56Z,450000,48.0,70.0,1,right,I. Zubac 8' Hook (2 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Right,8.49,Made,2.0,,,,,,,,,,,,,,,,,
46,PT07M19.00S,2022-11-05T00:16:09.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,12.040078843626807,49.50980392156863,1610612759,8,11,2022-11-05T00:16:18Z,460000,2.0,61.0,1,left,MISS T. Jones 6' floating Shot - blocked,"[1630200, 1627826]",1610612759.0,SAS,floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,6.08,Missed,,,,,,,,,,,,,,,,,Zubac,1627826.0
47,PT07M19.00S,2022-11-05T00:16:09.7Z,1,REGULAR,block,,[],1627826,,,1610612759,8,11,2022-11-05T00:16:12Z,470000,,,0,,I. Zubac BLOCK (2 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
48,PT07M16.00S,2022-11-05T00:16:12.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,8,11,2022-11-05T00:16:18Z,480000,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,46.0,2.0,2.0,0.0,,,,,,,,,,
49,PT07M15.00S,2022-11-05T00:16:15.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,93.64323258869908,50.245098039215684,1610612746,8,13,2022-11-05T00:26:19Z,490000,1.0,7.0,1,right,P. George running finger roll Layup (2 PTS),[202331],1610612746.0,LAC,running finger roll,,,George,P. George,,,,,Restricted Area,0-8 Center,0.74,Made,2.0,,,,,,,,,,,,,,,,,
50,PT07M14.00S,2022-11-05T00:16:20.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,8,13,2022-11-05T00:26:34Z,500000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M14.00S,2022-11-05T00:19:03.2Z,1,REGULAR,substitution,out,[],1631103,,,1610612759,8,13,2022-11-05T00:19:11Z,510000,,,0,,SUB out: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M14.00S,2022-11-05T00:19:03.2Z,1,REGULAR,substitution,in,[],1630170,,,1610612759,8,13,2022-11-05T00:19:11Z,520000,,,0,,SUB in: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M55.00S,2022-11-05T00:19:35.7Z,1,REGULAR,substitution,out,[],1631110,,,1610612759,8,13,2022-11-05T00:19:43Z,540000,,,0,,SUB out: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M55.00S,2022-11-05T00:19:35.7Z,1,REGULAR,substitution,in,[],1626196,,,1610612759,8,13,2022-11-05T00:19:43Z,550000,,,0,,SUB in: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M51.00S,2022-11-05T00:19:57.7Z,1,REGULAR,3pt,Jump Shot,[],1629640,33.196452036793694,54.90196078431373,1610612759,8,13,2022-11-05T00:20:02Z,560000,-25.0,260.0,1,left,MISS K. Johnson 26' pullup 3PT,[1629640],1610612759.0,SAS,pullup,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Center,26.07,Missed,,,,,,,,,,,,,,,,,,
58,PT06M47.00S,2022-11-05T00:20:01.7Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,8,13,2022-11-05T00:20:02Z,570000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:3),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Center,,,,,,,57.0,3.0,3.0,0.0,,,,,,,,,,
59,PT06M43.00S,2022-11-05T00:20:05.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202331,73.01248357424441,84.55882352941177,1610612746,8,16,2022-11-05T00:20:21Z,580000,173.0,201.0,1,right,P. George 26' 3PT  (5 PTS) (R. Jackson 1 AST),"[202331, 202704]",1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,26.52,Made,5.0,R. Jackson,202704.0,1.0,,,,,,,,,,,,,,
61,PT06M30.00S,2022-11-05T00:20:18.3Z,1,REGULAR,2pt,Jump Shot,[],1626196,23.340998685939553,49.26470588235294,1610612759,8,16,2022-11-05T00:20:24Z,600000,4.0,167.0,1,left,MISS J. Richardson 16' pullup Shot,[1626196],1610612759.0,SAS,pullup,,,Richardson,J. Richardson,,,,,Mid-Range,16-24 Center,16.69,Missed,,,,,,,,,,,,,,,,,,
62,PT06M30.00S,2022-11-05T00:20:18.3Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,8,16,2022-11-05T00:20:24Z,610000,,,0,,I. Zubac REBOUND (Off:0 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,16-24 Center,,,,,,,61.0,3.0,3.0,0.0,,,,,,,,,,
63,PT06M19.00S,2022-11-05T00:20:29.1Z,1,REGULAR,2pt,Jump Shot,[],202331,75.1149802890933,46.32352941176471,1610612746,8,18,2022-11-05T00:20:33Z,620000,-18.0,181.0,1,right,P. George 18' pullup Jump Shot (7 PTS),[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Mid-Range,16-24 Center,18.23,Made,7.0,,,,,,,,,,,,,,,,,
64,PT06M03.00S,2022-11-05T00:20:45.0Z,1,REGULAR,3pt,Jump Shot,[],1629640,5.601182654402102,96.81372549019608,1610612759,8,18,2022-11-05T00:20:49Z,630000,-234.0,0.0,1,left,MISS K. Johnson 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Left Corner 3,24+ Left,23.41,Missed,,,,,,,,,,,,,,,,,,
65,PT06M01.00S,2022-11-05T00:20:47.0Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612746,8,18,2022-11-05T00:20:49Z,640000,,,0,,L. Kennard REBOUND (Off:0 Def:1),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Left Corner 3,24+ Left,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,
66,PT05M41.00S,2022-11-05T00:21:07.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,85.10183968462549,51.9607843137255,1610612746,8,20,2022-11-05T00:24:28Z,650000,10.0,88.0,1,right,I. Zubac 8' Layup (4 PTS) (M. Morris Sr. 2 AST),"[1627826, 202694]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,8.8,Made,4.0,M. Morris Sr.,202694.0,2.0,,,,,,,,,,,,,,
68,PT05M26.00S,2022-11-05T00:21:22.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,5.995400788436268,51.225490196078425,1610612759,8,20,2022-11-05T00:21:29Z,670000,-6.0,4.0,1,left,MISS J. Poeltl driving finger roll Layup,[1627751],1610612759.0,SAS,driving finger roll,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,0.72,Missed,,,,,,,,,,,,,,,,,,
69,PT05M26.00S,2022-11-05T00:21:22.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,8,20,2022-11-05T00:21:29Z,680000,,,0,,I. Zubac REBOUND (Off:0 Def:4),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,68.0,4.0,4.0,0.0,,,,,,,,,,
71,PT05M26.00S,2022-11-05T00:21:27.4Z,1,REGULAR,substitution,out,[],1627751,,,1610612746,8,20,2022-11-05T00:21:37Z,700000,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M26.00S,2022-11-05T00:21:27.4Z,1,REGULAR,substitution,out,[],1630200,,,1610612746,8,20,2022-11-05T00:21:37Z,710000,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M26.00S,2022-11-05T00:21:27.4Z,1,REGULAR,substitution,in,[],1628380,,,1610612746,8,20,2022-11-05T00:21:37Z,720000,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M26.00S,2022-11-05T00:21:27.4Z,1,REGULAR,substitution,in,[],1628966,,,1610612746,8,20,2022-11-05T00:21:37Z,730000,,,0,,SUB in: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M19.00S,2022-11-05T00:21:56.5Z,1,REGULAR,turnover,out-of-bounds,[],202331,,,1610612746,8,20,2022-11-05T00:27:56Z,740000,,,0,,P. George lost ball out-of-bounds TURNOVER (2 TO),[202331],1610612746.0,LAC,lost ball,,,George,P. George,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,203592.0,,,,,2.0,,,,
76,PT05M10.00S,2022-11-05T00:22:12.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628380,31.750985545335087,41.911764705882355,1610612759,8,20,2022-11-05T00:22:30Z,750000,40.0,246.0,1,left,MISS Z. Collins 24' pullup 3PT,[1628380],1610612759.0,SAS,pullup,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Center,24.93,Missed,,,,,,,,,,,,,,,,,,
77,PT05M05.00S,2022-11-05T00:22:16.4Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,8,20,2022-11-05T00:22:16Z,760000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:4),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Center,,,,,,,76.0,4.0,4.0,0.0,,,,,,,,,,
78,PT05M01.00S,2022-11-05T00:22:21.3Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],202694,76.03482260183968,37.99019607843137,1610612746,8,22,2022-11-05T00:22:41Z,770000,-60.0,173.0,1,right,M. Morris Sr. 18' pullup Jump Shot (2 PTS),[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,16-24 Left Center,18.29,Made,2.0,,,,,,,,,,,,,,,,,
79,PT04M46.00S,2022-11-05T00:22:39.2Z,1,REGULAR,turnover,traveling,[],1630170,,,1610612759,8,22,2022-11-05T00:22:45Z,780000,,,0,,D. Vassell traveling TURNOVER (1 TO),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,203592.0,,,,,1.0,,,,
80,PT04M27.00S,2022-11-05T00:23:15.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202331,86.67871222076215,75.24509803921569,1610612746,8,22,2022-11-05T00:23:25Z,790000,126.0,73.0,1,right,MISS P. George 14' fadeaway Shot,[202331],1610612746.0,LAC,fadeaway,,,George,P. George,,,,,Mid-Range,8-16 Right,14.56,Missed,,,,,,,,,,,,,,,,,,
81,PT04M25.00S,2022-11-05T00:23:17.9Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,8,22,2022-11-05T00:23:25Z,800000,,,0,,K. Johnson REBOUND (Off:1 Def:2),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Mid-Range,8-16 Right,,,,,,,80.0,3.0,2.0,1.0,,,,,,,,,,
