actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
586,PT03M33.00S,2022-11-10T03:10:22.1Z,4,REGULAR,rebound,defensive,[],1629630,,,1610612763,107,108,2022-11-10T03:10:24Z,5800000,False,,,0,,J. Morant REBOUND (Off:0 Def:5),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Left Center,,,,,,,585.0,5.0,5.0,0.0,,,,,,,,,,
587,PT03M25.00S,2022-11-10T03:10:29.3Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,15.850854139290407,49.01960784313725,1610612763,107,108,2022-11-10T03:10:39Z,5810000,False,5.0,96.0,1,left,MISS J. Morant 9' floating Shot,[1629630],1610612763.0,MEM,floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,9.66,Missed,,,,,,,,,,,,,,,,,,
588,PT03M23.00S,2022-11-10T03:10:31.3Z,4,REGULAR,rebound,defensive,[],1629640,,,1610612759,107,108,2022-11-10T03:10:39Z,5820000,False,,,0,,K. Johnson REBOUND (Off:2 Def:6),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,587.0,8.0,6.0,2.0,,,,,,,,,,
589,PT03M16.00S,2022-11-10T03:10:39.1Z,4,REGULAR,2pt,Jump Shot,[],1630170,94.43166885676742,71.07843137254902,1610612759,107,108,2022-11-10T03:10:45Z,5830000,False,105.0,0.0,1,right,MISS D. Vassell 10' step back Shot,[1630170],1610612759.0,SAS,step back,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Right,10.54,Missed,,,,,,,,,,,,,,,,,,
590,PT03M14.00S,2022-11-10T03:10:41.1Z,4,REGULAR,rebound,defensive,[],1630217,,,1610612763,107,108,2022-11-10T03:10:45Z,5840000,False,,,0,,D. Bane REBOUND (Off:1 Def:3),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,8-16 Right,,,,,,,589.0,4.0,3.0,1.0,,,,,,,,,,
591,PT03M01.00S,2022-11-10T03:10:53.6Z,4,REGULAR,3pt,Jump Shot,[],1630217,30.17411300919842,70.09803921568627,1610612763,107,108,2022-11-10T03:10:58Z,5850000,False,-100.0,231.0,1,left,MISS D. Bane 25' pullup 3PT,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,25.2,Missed,,,,,,,,,,,,,,,,,,
592,PT02M59.00S,2022-11-10T03:10:55.8Z,4,REGULAR,rebound,defensive,[],1630170,,,1610612759,107,108,2022-11-10T03:10:55Z,5860000,False,,,0,,D. Vassell REBOUND (Off:0 Def:3),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,,,,,,,591.0,3.0,3.0,0.0,,,,,,,,,,
593,PT02M53.00S,2022-11-10T03:11:02.4Z,4,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1631110,93.64323258869908,49.754901960784316,1610612759,109,108,2022-11-10T03:11:09Z,5870000,False,-1.0,7.0,1,right,J. Sochan DUNK (9 PTS) (K. Johnson 3 AST),"[1631110, 1629640]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,0.74,Made,9.0,K. Johnson,1629640.0,3.0,,,,,,,,,,,,,,
595,PT02M30.00S,2022-11-10T03:11:24.6Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,6.521024967148489,44.85294117647059,1610612763,109,110,2022-11-10T03:11:32Z,5890000,False,26.0,9.0,1,left,D. Bane driving finger roll Layup (28 PTS) (J. Morant 4 AST),"[1630217, 1629630]",1610612763.0,MEM,driving finger roll,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,2.72,Made,28.0,J. Morant,1629630.0,4.0,,,,,,,,,,,,,,
597,PT02M08.00S,2022-11-10T03:11:47.1Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,94.1688567674113,50.49019607843137,1610612759,111,110,2022-11-10T03:11:54Z,5910000,False,2.0,2.0,1,right,K. Johnson driving Layup (15 PTS) (D. Vassell 6 AST),"[1629640, 1630170]",1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,0.34,Made,15.0,D. Vassell,1630170.0,6.0,,,,,,,,,,,,,,
599,PT01M43.00S,2022-11-10T03:12:11.3Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,6.389618922470433,46.568627450980394,1610612763,111,110,2022-11-10T03:12:56Z,5930000,False,17.0,8.0,1,left,MISS J. Morant driving finger roll Layup,[1629630],1610612763.0,MEM,driving finger roll,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,1.88,Missed,,,,,,,,,,,,,,,,,,
600,PT01M41.00S,2022-11-10T03:12:13.3Z,4,REGULAR,rebound,offensive,[],203500,,,1610612763,111,110,2022-11-10T03:12:56Z,5940000,False,,,0,,S. Adams REBOUND (Off:10 Def:6),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,,,,599.0,16.0,6.0,10.0,,,,,,,,,,
601,PT01M39.00S,2022-11-10T03:12:17.7Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630217,5.469776609724048,48.529411764705884,1610612763,111,112,2022-11-10T03:12:31Z,5950000,False,7.0,-1.0,1,left,D. Bane driving Layup (30 PTS) (S. Adams 2 AST),"[1630217, 203500]",1610612763.0,MEM,driving,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,0.75,Made,30.0,S. Adams,203500.0,2.0,,,,,,,,,,,,,,
603,PT01M25.00S,2022-11-10T03:12:36.4Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628415,,,1610612759,111,112,2022-11-10T03:12:55Z,5970000,False,,,0,,D. Brooks personal FOUL (5 PF) (Johnson 2 FT),"[1628415, 1629640]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,1629183.0,5.0,0.0,Johnson,1629640.0,,
605,PT01M25.00S,2022-11-10T03:13:00.9Z,4,REGULAR,freethrow,1 of 2,[],1629640,,,1610612759,111,112,2022-11-10T03:13:00Z,5990000,False,,,0,,MISS K. Johnson Free Throw 1 of 2,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
