actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
84,PT05M23.00S,2022-12-30T01:23:00.1Z,1,REGULAR,3pt,Jump Shot,[],203944,30.17411300919842,68.13725490196079,1610612752,17,20,2022-12-30T01:23:06Z,840000,False,-91.0,231.0,1,left,J. Randle 24' 3PT step back (8 PTS) (I. Quickley 2 AST),"[203944, 1630193]",1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,,24.83,Made,,,,,,,,,,,,8.0,I. Quickley,1630193.0,2.0
85,PT05M06.00S,2022-12-30T01:23:20.3Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612759,17,20,2022-12-30T01:23:36Z,850000,False,,,0,,M. Robinson shooting personal FOUL (1 PF) (Poeltl 2 FT),"[1629011, 1627751]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1627519.0,1.0,0.0,Poeltl,1627751.0,,,,,,
87,PT05M06.00S,2022-12-30T01:23:48.1Z,1,REGULAR,freethrow,1 of 2,[],1627751,,,1610612759,17,20,2022-12-30T01:23:48Z,870000,False,,,0,,MISS J. Poeltl Free Throw 1 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
88,PT05M06.00S,2022-12-30T01:23:48.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,17,20,2022-12-30T01:23:48Z,880000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,
89,PT05M06.00S,2022-12-30T01:23:48.7Z,1,REGULAR,substitution,out,[],1630200,,,1610612759,17,20,2022-12-30T01:23:57Z,890000,False,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M06.00S,2022-12-30T01:23:48.7Z,1,REGULAR,substitution,out,[],1630193,,,1610612759,17,20,2022-12-30T01:23:57Z,900000,False,,,0,,SUB out: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M06.00S,2022-12-30T01:23:48.7Z,1,REGULAR,substitution,out,[],1629011,,,1610612759,17,20,2022-12-30T01:23:57Z,910000,False,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M06.00S,2022-12-30T01:23:48.7Z,1,REGULAR,substitution,in,[],1631103,,,1610612759,17,20,2022-12-30T01:23:57Z,920000,False,,,0,,SUB in: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M06.00S,2022-12-30T01:23:48.7Z,1,REGULAR,substitution,in,[],201565,,,1610612759,17,20,2022-12-30T01:23:57Z,930000,False,,,0,,SUB in: D. Rose,[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M06.00S,2022-12-30T01:23:48.7Z,1,REGULAR,substitution,in,[],1628392,,,1610612759,17,20,2022-12-30T01:23:57Z,940000,False,,,0,,SUB in: I. Hartenstein,[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT05M06.00S,2022-12-30T01:24:10.0Z,1,REGULAR,freethrow,2 of 2,[],1627751,,,1610612759,18,20,2022-12-30T01:24:10Z,950000,False,,,0,,J. Poeltl Free Throw 2 of 2 (5 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,Made,,,,,,,,,,,,5.0,,,
97,PT04M55.00S,2022-12-30T01:24:18.0Z,1,REGULAR,3pt,Jump Shot,[],203944,31.488173455978973,62.00980392156863,1610612752,18,23,2022-12-30T01:24:23Z,960000,False,-60.0,243.0,1,left,J. Randle 25' 3PT  (11 PTS) (D. Rose 1 AST),"[203944, 201565]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,,,,25.08,Made,,,,,,,,,,,,11.0,D. Rose,201565.0,1.0
99,PT04M36.00S,2022-12-30T01:24:37.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629641,90.22667542706965,34.80392156862745,1610612759,20,23,2022-12-30T01:25:07Z,980000,False,-76.0,39.0,1,right,R. Langford 8' driving floating Jump Shot (8 PTS),[1629641],1610612759.0,SAS,driving floating,,,Langford,R. Langford,,,,,In The Paint (Non-RA),8-16 Left,,,,8.56,Made,,,,,,,,,,,,8.0,,,
100,PT04M19.00S,2022-12-30T01:25:05.6Z,1,REGULAR,foul,personal,[],1626169,,,1610612752,20,23,2022-12-30T01:25:23Z,990000,False,,,0,,S. Johnson personal FOUL (1 PF),"[1626169, 203944]",1610612759.0,SAS,,,,Johnson,S. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1830.0,1.0,0.0,Randle,203944.0,,,,,,
102,PT04M19.00S,2022-12-30T01:25:17.6Z,1,REGULAR,substitution,out,[],1627751,,,1610612752,20,23,2022-12-30T01:25:22Z,1010000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M19.00S,2022-12-30T01:25:17.6Z,1,REGULAR,substitution,in,[],1628380,,,1610612752,20,23,2022-12-30T01:25:22Z,1020000,False,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M10.00S,2022-12-30T01:25:44.1Z,1,REGULAR,turnover,traveling,[],1630540,,,1610612752,20,23,2022-12-30T01:25:50Z,1030000,False,,,0,,M. McBride traveling TURNOVER (2 TO),[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,Above the Break 3,24+ Left Center,2.0,,,,,,,,,1830.0,,,,,,,,,,
105,PT04M10.00S,2022-12-30T01:25:49.1Z,1,REGULAR,substitution,out,[],1629641,,,1610612759,20,23,2022-12-30T01:25:59Z,1040000,False,,,0,,SUB out: R. Langford,[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M10.00S,2022-12-30T01:25:49.1Z,1,REGULAR,substitution,in,[],203926,,,1610612759,20,23,2022-12-30T01:25:59Z,1050000,False,,,0,,SUB in: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M02.00S,2022-12-30T01:26:11.0Z,1,REGULAR,foul,personal,['2freethrow'],201565,,,1610612759,20,23,2022-12-30T01:26:27Z,1060000,False,,,0,,D. Rose shooting personal FOUL (1 PF) (Branham 2 FT),"[201565, 1631103]",1610612752.0,NYK,shooting,,,Rose,D. Rose,,,,,Mid-Range,8-16 Center,,,,,,,,,,1830.0,1.0,0.0,Branham,1631103.0,,,,,,
109,PT04M02.00S,2022-12-30T01:26:32.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1631103,,,1610612759,21,23,2022-12-30T01:26:59Z,1080000,False,,,0,,M. Branham Free Throw 1 of 2 (1 PTS),[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,Made,,,,,,,,,,,,1.0,,,
110,PT04M02.00S,2022-12-30T01:26:32.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1631103,,,1610612759,21,23,2022-12-30T01:26:59Z,1090000,False,,,0,,MISS M. Branham Free Throw 2 of 2,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
111,PT04M00.00S,2022-12-30T01:26:34.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,21,23,2022-12-30T01:26:59Z,1100000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,110.0,1.0,1.0,0.0,,,,,,,,,,,
112,PT03M49.00S,2022-12-30T01:27:00.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626169,,,1610612752,21,23,2022-12-30T01:27:14Z,1110000,False,,,0,,S. Johnson shooting personal FOUL (2 PF) (Grimes 2 FT),"[1626169, 1629656]",1610612759.0,SAS,shooting,,,Johnson,S. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1627519.0,2.0,0.0,Grimes,1629656.0,,,,,,
114,PT03M49.00S,2022-12-30T01:27:28.1Z,1,REGULAR,freethrow,1 of 2,[],1629656,,,1610612752,21,24,2022-12-30T01:27:28Z,1130000,False,,,0,,Q. Grimes Free Throw 1 of 2 (3 PTS),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,Made,,,,,,,,,,,,3.0,,,
115,PT03M49.00S,2022-12-30T01:27:31.8Z,1,REGULAR,substitution,out,[],1631110,,,1610612752,21,24,2022-12-30T01:27:36Z,1140000,False,,,0,,SUB out: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M49.00S,2022-12-30T01:27:31.8Z,1,REGULAR,substitution,in,[],1626196,,,1610612752,21,24,2022-12-30T01:27:36Z,1150000,False,,,0,,SUB in: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M49.00S,2022-12-30T01:27:49.5Z,1,REGULAR,freethrow,2 of 2,[],1629656,,,1610612752,21,25,2022-12-30T01:27:49Z,1160000,False,,,0,,Q. Grimes Free Throw 2 of 2 (4 PTS),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,Made,,,,,,,,,,,,4.0,,,
119,PT03M23.00S,2022-12-30T01:28:16.6Z,1,REGULAR,3pt,Jump Shot,[],1626169,71.43561103810775,75.24509803921569,1610612759,24,25,2022-12-30T01:28:29Z,1180000,False,126.0,216.0,1,right,S. Johnson 25' 3PT pullup (3 PTS) (D. McDermott 1 AST),"[1626169, 203926]",1610612759.0,SAS,pullup,,,Johnson,S. Johnson,,,,,Above the Break 3,24+ Right Center,,,,25.02,Made,,,,,,,,,,,,3.0,D. McDermott,203926.0,1.0
121,PT03M12.00S,2022-12-30T01:28:28.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628392,12.171484888304862,50.245098039215684,1610612752,24,27,2022-12-30T01:28:35Z,1200000,False,-1.0,62.0,1,left,I. Hartenstein 6' floating Jump Shot (2 PTS) (M. McBride 1 AST),"[1628392, 1630540]",1610612752.0,NYK,floating,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,6.19,Made,,,,,,,,,,,,2.0,M. McBride,1630540.0,1.0
123,PT03M12.00S,2022-12-30T01:28:33.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,24,27,2022-12-30T01:28:33Z,1220000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M12.00S,2022-12-30T01:30:53.6Z,1,REGULAR,substitution,out,[],1630540,,,1610612759,24,27,2022-12-30T01:31:24Z,1230000,False,,,0,,SUB out: M. McBride,[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M12.00S,2022-12-30T01:30:53.6Z,1,REGULAR,substitution,out,[],1629656,,,1610612759,24,27,2022-12-30T01:31:24Z,1240000,False,,,0,,SUB out: Q. Grimes,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M12.00S,2022-12-30T01:30:53.6Z,1,REGULAR,substitution,in,[],203095,,,1610612759,24,27,2022-12-30T01:31:24Z,1250000,False,,,0,,SUB in: E. Fournier,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT03M12.00S,2022-12-30T01:30:53.6Z,1,REGULAR,substitution,in,[],1630193,,,1610612759,24,27,2022-12-30T01:31:24Z,1260000,False,,,0,,SUB in: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M58.00S,2022-12-30T01:31:38.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626196,86.28449408672799,49.01960784313725,1610612759,26,27,2022-12-30T01:31:43Z,1270000,False,-5.0,76.0,1,right,J. Richardson 7' pullup Jump Shot (2 PTS) (D. McDermott 2 AST),"[1626196, 203926]",1610612759.0,SAS,pullup,,,Richardson,J. Richardson,,,,,In The Paint (Non-RA),0-8 Center,,,,7.66,Made,,,,,,,,,,,,2.0,D. McDermott,203926.0,2.0
131,PT02M42.00S,2022-12-30T01:31:53.1Z,1,REGULAR,3pt,Jump Shot,[],203944,29.122864651773984,70.83333333333334,1610612752,26,27,2022-12-30T01:37:47Z,1290000,False,-104.0,221.0,1,left,MISS J. Randle 24' pullup 3PT,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,,24.46,Missed,,,,,,,,,,,,,,,
132,PT02M38.00S,2022-12-30T01:31:57.1Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612752,26,27,2022-12-30T01:32:00Z,1300000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:0),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Left Center,,,,,,131.0,1.0,0.0,1.0,,,,,,,,,,,
133,PT02M37.00S,2022-12-30T01:31:58.1Z,1,REGULAR,turnover,bad pass,[],1628392,,,1610612752,26,27,2022-12-30T01:32:03Z,1310000,False,,,0,,I. Hartenstein bad pass TURNOVER (1 TO),"[1628392, 1626196]",1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,1.0,Richardson,1626196.0,,,,,,,,,,,,,,,,,
134,PT02M37.00S,2022-12-30T01:31:58.1Z,1,REGULAR,steal,,[],1626196,,,1610612759,26,27,2022-12-30T01:31:59Z,1320000,False,,,0,,J. Richardson STEAL (1 STL),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
135,PT02M30.00S,2022-12-30T01:32:05.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631103,71.17279894875165,73.52941176470588,1610612759,29,27,2022-12-30T01:32:09Z,1330000,False,118.0,218.0,1,right,M. Branham 24' 3PT  (4 PTS) (D. McDermott 3 AST),"[1631103, 203926]",1610612759.0,SAS,,,,Branham,M. Branham,,,,,Above the Break 3,24+ Right Center,,,,24.81,Made,,,,,,,,,,,,4.0,D. McDermott,203926.0,3.0
137,PT02M18.00S,2022-12-30T01:32:22.3Z,1,REGULAR,foul,technical,"['inpenalty', '1freethrow']",1628380,,,1610612752,29,27,2022-12-30T01:32:30Z,1350000,False,,,0,,Z. Collins defensive-3-second technical FOUL (1 Tech),[1628380],1610612759.0,SAS,defensive-3-second,,,Collins,Z. Collins,,,,,,,,,,,,,,,,1830.0,0.0,1.0,,,,,,,,
138,PT02M18.00S,2022-12-30T01:32:40.5Z,1,REGULAR,freethrow,1 of 1,[],203944,,,1610612752,29,27,2022-12-30T01:32:40Z,1360000,False,,,0,,MISS J. Randle technical Free Throw 1 of 1,[203944],1610612752.0,NYK,technical,,,Randle,J. Randle,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
139,PT02M18.00S,2022-12-30T01:32:40.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,29,27,2022-12-30T01:32:40Z,1370000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,138.0,,,,,,,,,,,,,,
140,PT02M12.00S,2022-12-30T01:33:00.0Z,1,REGULAR,3pt,Jump Shot,[],201565,27.94021024967148,18.38235294117647,1610612752,29,27,2022-12-30T01:33:06Z,1380000,False,158.0,210.0,1,left,MISS D. Rose 26' pullup 3PT,[201565],1610612752.0,NYK,pullup,,,Rose,D. Rose,,,,,Above the Break 3,24+ Right Center,,,,26.29,Missed,,,,,,,,,,,,,,,
141,PT02M07.00S,2022-12-30T01:33:05.0Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,29,27,2022-12-30T01:33:06Z,1390000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Right Center,,,,,,140.0,1.0,1.0,0.0,,,,,,,,,,,
142,PT02M00.00S,2022-12-30T01:33:11.4Z,1,REGULAR,3pt,Jump Shot,[],1626169,72.61826544021025,20.833333333333336,1610612759,29,27,2022-12-30T01:33:25Z,1400000,False,-146.0,205.0,1,right,MISS S. Johnson 25' 3PT,[1626169],1610612759.0,SAS,,,,Johnson,S. Johnson,,,,,Above the Break 3,24+ Left Center,,,,25.15,Missed,,,,,,,,,,,,,,,
143,PT01M58.00S,2022-12-30T01:33:16.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,29,27,2022-12-30T01:33:16Z,1410000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,142.0,,,,,,,,,,,,,,
145,PT01M55.00S,2022-12-30T01:33:34.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203926,92.19776609724047,68.87254901960785,1610612759,31,27,2022-12-30T01:34:39Z,1430000,False,94.0,21.0,1,right,D. McDermott 9' bank Jump Shot (2 PTS) (J. Richardson 1 AST),"[203926, 1626196]",1610612759.0,SAS,bank,,,McDermott,D. McDermott,,,,,Mid-Range,8-16 Right,,,,9.67,Made,,,,,,,,,,,,2.0,J. Richardson,1626196.0,1.0
147,PT01M37.00S,2022-12-30T01:33:52.0Z,1,REGULAR,2pt,Jump Shot,[],203944,12.302890932982917,29.411764705882355,1610612752,31,27,2022-12-30T01:34:01Z,1450000,False,103.0,63.0,1,left,MISS J. Randle 12' driving bank Shot,[203944],1610612752.0,NYK,driving bank,,,Randle,J. Randle,,,,,Mid-Range,8-16 Right,,,,12.07,Missed,,,,,,,,,,,,,,,
148,PT01M35.00S,2022-12-30T01:33:54.0Z,1,REGULAR,rebound,defensive,[],203926,,,1610612759,31,27,2022-12-30T01:34:01Z,1460000,False,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Mid-Range,8-16 Right,,,,,,147.0,1.0,1.0,0.0,,,,,,,,,,,
149,PT01M32.00S,2022-12-30T01:33:57.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626169,94.03745072273325,53.18627450980392,1610612759,33,27,2022-12-30T01:35:41Z,1470000,False,16.0,4.0,1,right,S. Johnson running Layup (5 PTS),[1626169],1610612759.0,SAS,running,,,Johnson,S. Johnson,,,,,Restricted Area,0-8 Center,,,,1.63,Made,,,,,,,,,,,,5.0,,,
151,PT01M14.00S,2022-12-30T01:34:15.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,16.113666228646515,48.77450980392157,1610612752,33,29,2022-12-30T01:36:10Z,1490000,False,6.0,99.0,1,left,J. Randle 9' driving floating Jump Shot (13 PTS),[203944],1610612752.0,NYK,driving floating,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,,9.92,Made,,,,,,,,,,,,13.0,,,
152,PT01M05.00S,2022-12-30T01:34:27.0Z,1,REGULAR,turnover,traveling,[],203926,,,1610612759,33,29,2022-12-30T01:34:37Z,1500000,False,,,0,,D. McDermott traveling TURNOVER (1 TO),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Center,1.0,,,,,,,,,1628953.0,,,,,,,,,,
153,PT00M49.70S,2022-12-30T01:35:02.0Z,1,REGULAR,turnover,traveling,[],203944,,,1610612752,33,29,2022-12-30T01:35:08Z,1510000,False,,,0,,J. Randle traveling TURNOVER (1 TO),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,16-24 Right Center,1.0,,,,,,,,,1830.0,,,,,,,,,,
154,PT00M30.00S,2022-12-30T01:35:29.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628380,87.86136662286465,49.50980392156863,1610612759,35,29,2022-12-30T01:35:35Z,1520000,False,-2.0,62.0,1,right,Z. Collins 6' turnaround Hook (2 PTS),[1628380],1610612759.0,SAS,turnaround,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,6.17,Made,,,,,,,,,,,,2.0,,,
155,PT00M05.50S,2022-12-30T01:35:58.6Z,1,REGULAR,3pt,Jump Shot,[],203095,34.11629434954008,48.03921568627451,1610612752,35,29,2022-12-30T01:36:13Z,1530000,False,10.0,268.0,1,left,MISS E. Fournier 26' bank 3PT,[203095],1610612752.0,NYK,bank,,,Fournier,E. Fournier,,,,,Above the Break 3,24+ Center,,,,26.84,Missed,,,,,,,,,,,,,,,
156,PT00M03.50S,2022-12-30T01:36:00.6Z,1,REGULAR,rebound,defensive,[],1626196,,,1610612759,35,29,2022-12-30T01:36:00Z,1540000,False,,,0,,J. Richardson REBOUND (Off:0 Def:1),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Center,,,,,,155.0,1.0,1.0,0.0,,,,,,,,,,,
157,PT00M00.10S,2022-12-30T01:36:06.4Z,1,REGULAR,3pt,Jump Shot,[],1626196,78.53153745072274,7.107843137254902,1610612759,38,29,2022-12-30T01:47:30Z,1550000,False,-214.0,149.0,1,right,J. Richardson 26' 3PT step back (5 PTS),[1626196],1610612759.0,SAS,step back,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Left Center,,,,26.13,Made,,,,,,,,,,,,5.0,,,
159,PT00M00.00S,2022-12-30T01:37:03.0Z,1,REGULAR,period,end,[],0,,,1610612752,38,29,2022-12-30T01:37:03Z,1570000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2022-12-30T01:37:56.4Z,2,REGULAR,substitution,out,['startperiod'],1631103,,,1610612752,38,29,2022-12-30T01:38:55Z,1580000,False,,,0,,SUB out: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2022-12-30T01:37:56.4Z,2,REGULAR,substitution,out,['startperiod'],1626169,,,1610612752,38,29,2022-12-30T01:38:55Z,1590000,False,,,0,,SUB out: S. Johnson,[1626169],1610612759.0,SAS,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2022-12-30T01:37:56.4Z,2,REGULAR,substitution,out,['startperiod'],203944,,,1610612752,38,29,2022-12-30T01:38:55Z,1600000,False,,,0,,SUB out: J. Randle,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2022-12-30T01:37:56.4Z,2,REGULAR,substitution,in,['startperiod'],1630200,,,1610612752,38,29,2022-12-30T01:38:55Z,1610000,False,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2022-12-30T01:37:56.4Z,2,REGULAR,substitution,in,['startperiod'],1629640,,,1610612752,38,29,2022-12-30T01:38:55Z,1620000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2022-12-30T01:37:56.4Z,2,REGULAR,substitution,in,['startperiod'],1630579,,,1610612752,38,29,2022-12-30T01:38:55Z,1630000,False,,,0,,SUB in: J. Sims,[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2022-12-30T01:38:55.2Z,2,REGULAR,period,start,[],0,,,1610612759,38,29,2022-12-30T01:38:56Z,1640000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT11M43.00S,2022-12-30T01:39:11.6Z,2,REGULAR,3pt,Jump Shot,[],1629640,74.45795006570303,83.82352941176471,1610612759,38,29,2022-12-30T01:39:18Z,1650000,False,169.0,188.0,1,right,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,,25.26,Missed,,,,,,,,,,,,,,,
168,PT11M41.00S,2022-12-30T01:39:13.6Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612752,38,29,2022-12-30T01:39:18Z,1660000,False,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,167.0,,,,,,,,,,,,,,
170,PT11M23.00S,2022-12-30T01:39:41.2Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630579,5.601182654402102,50.245098039215684,1610612752,38,31,2022-12-30T01:39:48Z,1680000,False,-1.0,0.0,1,left,J. Sims alley-oop DUNK (2 PTS) (I. Quickley 3 AST),"[1630579, 1630193]",1610612752.0,NYK,alley-oop,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,,,,0.12,Made,,,,,,,,,,,,2.0,I. Quickley,1630193.0,3.0
172,PT11M10.00S,2022-12-30T01:39:52.7Z,2,REGULAR,3pt,Jump Shot,[],203926,67.49342969776609,54.166666666666664,1610612759,41,31,2022-12-30T01:40:03Z,1700000,False,21.0,253.0,1,right,D. McDermott 25' 3PT  (5 PTS) (T. Jones 4 AST),"[203926, 1630200]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Center,,,,25.4,Made,,,,,,,,,,,,5.0,T. Jones,1630200.0,4.0
174,PT10M49.00S,2022-12-30T01:40:14.0Z,2,REGULAR,3pt,Jump Shot,[],1628392,28.33442838370565,75.73529411764706,1610612752,41,31,2022-12-30T01:40:19Z,1720000,False,-129.0,214.0,1,left,MISS I. Hartenstein 24' 3PT,[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Left Center,,,,24.95,Missed,,,,,,,,,,,,,,,
175,PT10M46.00S,2022-12-30T01:40:17.0Z,2,REGULAR,rebound,defensive,[],1630200,,,1610612759,41,31,2022-12-30T01:40:19Z,1730000,False,,,0,,T. Jones REBOUND (Off:0 Def:3),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,174.0,3.0,3.0,0.0,,,,,,,,,,,
