actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
16,PT10M53.00S,2023-02-04T01:11:35.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627751,94.40999984741211,50.0,1610612759,2,0,2023-02-04T01:11:35Z,160000,False,0.0,0.0,1,right,MISS J. Poeltl putback Layup,[1627751],1610612759.0,SAS,putback,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,,,,,0.0,Missed,,,,,,,,,,,,,,
17,PT10M52.00S,2023-02-04T01:11:36.6Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,2,0,2023-02-04T01:11:36Z,170000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M47.00S,2023-02-04T01:11:41.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202699,5.863994743758213,45.83333333333333,1610612755,2,0,2023-02-04T01:11:48Z,180000,False,21.0,3.0,1,left,MISS T. Harris driving Layup,[202699],1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,2.1,Missed,,,,,,,,,,,,,,
19,PT10M44.00S,2023-02-04T01:11:43.4Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,2,0,2023-02-04T01:11:43Z,190000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,
20,PT10M35.00S,2023-02-04T01:11:53.0Z,1,REGULAR,3pt,Jump Shot,[],1626196,65.78515111695138,54.65686274509803,1610612759,5,0,2023-02-04T01:11:58Z,200000,False,23.0,269.0,1,right,J. Richardson 27' 3PT  (3 PTS) (K. Bates-Diop 1 AST),"[1626196, 1628966]",1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Center,,,,,27.01,Made,3.0,,,,,K. Bates-Diop,1628966.0,1.0,,,,,,
22,PT10M34.00S,2023-02-04T01:11:58.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,5,0,2023-02-04T01:11:58Z,220000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M11.00S,2023-02-04T01:15:09.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,15.588042049934298,58.82352941176471,1610612755,5,0,2023-02-04T01:15:38Z,230000,False,-44.0,94.0,1,left,MISS J. Embiid 10' turnaround Shot,[203954],1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,,,10.38,Missed,,,,,,,,,,,,,,
24,PT10M06.00S,2023-02-04T01:15:14.2Z,1,REGULAR,rebound,defensive,[],1626196,,,1610612759,5,0,2023-02-04T01:31:51Z,240000,False,,,0,,J. Richardson REBOUND (Off:0 Def:1),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,
27,PT10M04.00S,2023-02-04T01:15:18.6Z,1,REGULAR,foul,personal,[],1629001,,,1610612759,5,0,2023-02-04T01:15:30Z,270000,False,,,0,,D. Melton personal FOUL (1 PF),"[1629001, 1626196]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Mid-Range,16-24 Left Center,,,,1626302.0,,,,,,,,,,,1.0,0.0,Richardson,1626196.0,,
29,PT09M57.00S,2023-02-04T01:15:43.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626196,80.6340341655716,48.77450980392157,1610612759,5,0,2023-02-04T01:15:48Z,290000,False,-6.0,130.0,1,right,MISS J. Richardson 12' pullup Shot - blocked,"[1626196, 1629001]",1610612759.0,SAS,pullup,,,Richardson,J. Richardson,,,,,In The Paint (Non-RA),8-16 Center,,,,,12.96,Missed,,,,,,,,,,,,,Melton,1629001.0
30,PT09M57.00S,2023-02-04T01:15:43.4Z,1,REGULAR,block,,[],1629001,,,1610612759,5,0,2023-02-04T01:15:46Z,300000,False,,,0,,D. Melton BLOCK (1 BLK),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
31,PT09M54.00S,2023-02-04T01:15:46.4Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,5,0,2023-02-04T01:35:45Z,310000,False,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,
32,PT09M53.00S,2023-02-04T01:15:48.6Z,1,REGULAR,foul,personal,['2freethrow'],1631103,,,1610612755,5,0,2023-02-04T01:16:01Z,320000,False,,,0,,M. Branham shooting personal FOUL (1 PF) (Harden 2 FT),"[1631103, 201935]",1610612759.0,SAS,shooting,,,Branham,M. Branham,,,,,Restricted Area,0-8 Center,,,,1626302.0,,,,,,,,,,,1.0,0.0,Harden,201935.0,,
34,PT09M53.00S,2023-02-04T01:16:16.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],201935,,,1610612755,5,0,2023-02-04T01:16:16Z,340000,False,,,0,,MISS J. Harden Free Throw 1 of 2,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
35,PT09M53.00S,2023-02-04T01:16:16.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,5,0,2023-02-04T01:16:16Z,350000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,
36,PT09M53.00S,2023-02-04T01:16:28.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],201935,,,1610612755,5,1,2023-02-04T01:16:28Z,360000,False,,,0,,J. Harden Free Throw 2 of 2 (1 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
37,PT09M35.00S,2023-02-04T01:16:49.8Z,1,REGULAR,foul,offensive,[],1626196,,,1610612759,5,1,2023-02-04T01:18:07Z,370000,False,,,0,,J. Richardson offensive FOUL (1 PF),"[1626196, 1629001]",1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Mid-Range,16-24 Left Center,,,,1628159.0,,,,,,,,,,,1.0,0.0,Melton,1629001.0,,
39,PT09M35.00S,2023-02-04T01:16:49.8Z,1,REGULAR,turnover,offensive foul,[],1626196,,,1610612759,5,1,2023-02-04T01:16:49Z,390000,False,,,0,,J. Richardson offensive foul TURNOVER (1 TO),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Mid-Range,16-24 Left Center,1.0,,,1628159.0,,,,,,,,,,,,,,,,
40,PT09M16.00S,2023-02-04T01:17:22.1Z,1,REGULAR,turnover,lost ball,[],203954,,,1610612755,5,1,2023-02-04T01:17:27Z,400000,False,,,0,,J. Embiid lost ball TURNOVER (2 TO),"[203954, 1628966]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,2.0,Bates-Diop,1628966.0,,,,,,,,,,,,,,,,,
41,PT09M16.00S,2023-02-04T01:17:22.1Z,1,REGULAR,steal,,[],1628966,,,1610612759,5,1,2023-02-04T01:17:24Z,410000,False,,,0,,K. Bates-Diop STEAL (1 STL),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
42,PT09M05.00S,2023-02-04T01:17:33.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628966,65.65374507227332,40.68627450980392,1610612759,8,1,2023-02-04T01:17:39Z,420000,False,-47.0,270.0,1,right,K. Bates-Diop 27' 3PT  (3 PTS) (K. Johnson 1 AST),"[1628966, 1629640]",1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Above the Break 3,24+ Center,,,,,27.44,Made,3.0,,,,,K. Johnson,1629640.0,1.0,,,,,,
44,PT08M46.00S,2023-02-04T01:17:52.6Z,1,REGULAR,3pt,Jump Shot,[],1629001,6.389618922470433,1.715686274509804,1610612755,8,4,2023-02-04T01:17:58Z,440000,False,241.0,8.0,1,left,D. Melton 24' 3PT  (3 PTS) (J. Harden 1 AST),"[1629001, 201935]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Right Corner 3,24+ Right,,,,,24.15,Made,3.0,,,,,J. Harden,201935.0,1.0,,,,,,
46,PT08M33.00S,2023-02-04T01:18:06.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628966,92.32917214191852,43.13725490196079,1610612759,10,4,2023-02-04T01:18:14Z,460000,False,-34.0,20.0,1,right,K. Bates-Diop cutting finger roll Layup (5 PTS) (M. Branham 1 AST),"[1628966, 1631103]",1610612759.0,SAS,cutting finger roll,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,,,,,3.95,Made,5.0,,,,,M. Branham,1631103.0,1.0,,,,,,
49,PT08M23.00S,2023-02-04T01:18:21.6Z,1,REGULAR,3pt,Jump Shot,[],1629001,23.47240473061761,89.95098039215686,1610612755,10,7,2023-02-04T01:18:28Z,490000,False,-200.0,168.0,1,left,D. Melton 26' 3PT pullup (6 PTS),[1629001],1610612755.0,PHI,pullup,,,Melton,D. Melton,,,,,Above the Break 3,24+ Left Center,,,,,26.11,Made,6.0,,,,,,,,,,,,,
50,PT08M11.00S,2023-02-04T01:18:33.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,82.21090670170827,65.19607843137256,1610612759,10,7,2023-02-04T01:18:41Z,500000,False,76.0,115.0,1,right,MISS J. Poeltl 13' floating Shot,[1627751],1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Right,,,,,13.76,Missed,,,,,,,,,,,,,,
51,PT08M08.00S,2023-02-04T01:18:36.8Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,10,7,2023-02-04T01:18:41Z,510000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,
52,PT08M05.00S,2023-02-04T01:18:39.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629001,29.38567674113009,75.73529411764706,1610612755,10,7,2023-02-04T01:18:45Z,520000,False,-129.0,224.0,1,left,MISS D. Melton 25' 3PT,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Left Center,,,,,25.81,Missed,,,,,,,,,,,,,,
53,PT08M00.00S,2023-02-04T01:18:44.5Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,10,7,2023-02-04T01:18:45Z,530000,False,,,0,,K. Bates-Diop REBOUND (Off:0 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Above the Break 3,24+ Left Center,,,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,
54,PT07M53.00S,2023-02-04T01:18:51.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,85.10183968462549,50.49019607843137,1610612759,10,7,2023-02-04T01:18:56Z,540000,False,2.0,88.0,1,right,MISS K. Johnson 8' floating Shot,[1629640],1610612759.0,SAS,floating,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,8.75,Missed,,,,,,,,,,,,,,
55,PT07M50.00S,2023-02-04T01:18:54.9Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,10,7,2023-02-04T01:18:56Z,550000,False,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,54.0,3.0,3.0,0.0,,,,,,,,,
56,PT07M38.00S,2023-02-04T01:19:05.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,18.610381077529567,49.754901960784316,1610612755,10,9,2023-02-04T01:19:10Z,560000,False,1.0,122.0,1,left,J. Embiid 12' pullup Jump Shot (2 PTS) (J. Harden 2 AST),"[203954, 201935]",1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,,,12.24,Made,2.0,,,,,J. Harden,201935.0,2.0,,,,,,
57,PT07M24.00S,2023-02-04T01:19:19.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631103,91.01511169513797,50.98039215686274,1610612759,10,9,2023-02-04T01:21:39Z,570000,False,5.0,32.0,1,right,MISS M. Branham driving Hook,[1631103],1610612759.0,SAS,driving,,,Branham,M. Branham,,,,,Restricted Area,0-8 Center,,,,,3.24,Missed,,,,,,,,,,,,,,
58,PT07M19.00S,2023-02-04T01:19:24.7Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,10,9,2023-02-04T01:21:39Z,580000,False,,,0,,J. Poeltl REBOUND (Off:2 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,57.0,2.0,0.0,2.0,,,,,,,,,
59,PT07M19.00S,2023-02-04T01:19:24.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627751,94.40999984741211,50.0,1610612759,12,9,2023-02-04T01:19:24Z,590000,False,0.0,0.0,1,right,J. Poeltl putback Layup (2 PTS),[1627751],1610612759.0,SAS,putback,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,,,,,0.0,Made,2.0,,,,,,,,,,,,,
60,PT07M09.00S,2023-02-04T01:19:35.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629001,6.389618922470433,54.41176470588235,1610612755,12,9,2023-02-04T01:19:43Z,600000,False,-22.0,8.0,1,left,MISS D. Melton driving finger roll Layup,[1629001],1610612755.0,PHI,driving finger roll,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,,,,,2.34,Missed,,,,,,,,,,,,,,
61,PT07M09.00S,2023-02-04T01:19:35.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,12,9,2023-02-04T01:19:43Z,610000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,60.0,,,,,,,,,,,,
63,PT06M57.00S,2023-02-04T01:20:02.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,92.85479632063075,53.67647058823529,1610612759,14,9,2023-02-04T01:22:34Z,630000,False,18.0,15.0,1,right,K. Johnson driving Layup (2 PTS) (J. Poeltl 1 AST),"[1629640, 1627751]",1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,2.36,Made,2.0,,,,,J. Poeltl,1627751.0,1.0,,,,,,
64,PT06M57.00S,2023-02-04T01:20:05.6Z,1,REGULAR,foul,personal,['1freethrow'],200782,,,1610612759,14,9,2023-02-04T01:20:16Z,640000,False,,,0,,P. Tucker shooting personal FOUL (1 PF) (Johnson 1 FT),"[200782, 1629640]",1610612755.0,PHI,shooting,,,Tucker,P. Tucker,,,,,Restricted Area,0-8 Center,,,,1662.0,,,,,,,,,,,1.0,0.0,Johnson,1629640.0,,
66,PT06M57.00S,2023-02-04T01:20:31.4Z,1,REGULAR,freethrow,1 of 1,[],1629640,,,1610612759,15,9,2023-02-04T01:20:31Z,660000,False,,,0,,K. Johnson Free Throw 1 of 1 (3 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
68,PT06M40.00S,2023-02-04T01:20:51.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200782,6.389618922470433,44.6078431372549,1610612755,15,9,2023-02-04T01:23:03Z,670000,False,27.0,8.0,1,left,MISS P. Tucker driving Layup,[200782],1610612755.0,PHI,driving,,,Tucker,P. Tucker,,,,,Restricted Area,0-8 Center,,,,,2.8,Missed,,,,,,,,,,,,,,
69,PT06M37.00S,2023-02-04T01:20:54.5Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,15,9,2023-02-04T01:21:01Z,680000,False,,,0,,J. Poeltl REBOUND (Off:2 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,68.0,3.0,1.0,2.0,,,,,,,,,
70,PT06M18.00S,2023-02-04T01:21:13.2Z,1,REGULAR,3pt,Jump Shot,[],1626196,72.48685939553219,12.5,1610612759,15,9,2023-02-04T01:21:20Z,690000,False,-188.0,206.0,1,right,MISS J. Richardson 27' step back 3PT,[1626196],1610612759.0,SAS,step back,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Left Center,,,,,27.86,Missed,,,,,,,,,,,,,,
71,PT06M15.00S,2023-02-04T01:21:16.2Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,15,9,2023-02-04T01:21:20Z,700000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,
72,PT06M09.00S,2023-02-04T01:21:24.8Z,1,REGULAR,foul,personal,[],1627751,,,1610612755,15,9,2023-02-04T01:21:32Z,710000,False,,,0,,J. Poeltl personal FOUL (1 PF),"[1627751, 203954]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,,1628159.0,,,,,,,,,,,1.0,0.0,Embiid,203954.0,,
74,PT06M09.00S,2023-02-04T01:21:37.7Z,1,REGULAR,substitution,out,[],1627751,,,1610612755,15,9,2023-02-04T01:21:42Z,730000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M09.00S,2023-02-04T01:21:37.7Z,1,REGULAR,substitution,in,[],1628380,,,1610612755,15,9,2023-02-04T01:21:42Z,740000,False,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M55.00S,2023-02-04T01:23:13.9Z,1,REGULAR,2pt,Jump Shot,[],201935,20.45006570302234,38.970588235294116,1610612755,15,9,2023-02-04T01:23:20Z,760000,False,55.0,140.0,1,left,MISS J. Harden 15' step back Shot,[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,Mid-Range,8-16 Center,,,,,15.02,Missed,,,,,,,,,,,,,,
78,PT05M52.00S,2023-02-04T01:23:16.9Z,1,REGULAR,rebound,offensive,[],200782,,,1610612755,15,9,2023-02-04T01:23:20Z,770000,False,,,0,,P. Tucker REBOUND (Off:1 Def:0),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Mid-Range,8-16 Center,,,,,,,,77.0,1.0,0.0,1.0,,,,,,,,,
79,PT05M50.00S,2023-02-04T01:23:19.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203954,32.40801576872536,46.568627450980394,1610612755,15,12,2023-02-04T01:23:26Z,780000,False,17.0,252.0,1,left,J. Embiid 25' 3PT  (5 PTS) (D. Melton 1 AST),"[203954, 1629001]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,,,,,25.27,Made,5.0,,,,,D. Melton,1629001.0,1.0,,,,,,
81,PT05M33.00S,2023-02-04T01:23:35.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631103,85.89027595269383,46.568627450980394,1610612759,17,12,2023-02-04T01:23:41Z,800000,False,-17.0,80.0,1,right,M. Branham 8' driving floating Jump Shot (4 PTS),[1631103],1610612759.0,SAS,driving floating,,,Branham,M. Branham,,,,,In The Paint (Non-RA),8-16 Center,,,,,8.19,Made,4.0,,,,,,,,,,,,,
82,PT05M20.00S,2023-02-04T01:23:50.0Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612755,17,12,2023-02-04T01:23:56Z,810000,False,,,0,,J. Harden bad pass TURNOVER (2 TO),"[201935, 1631103]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,2.0,Branham,1631103.0,,,,,,,,,,,,,,,,,
83,PT05M20.00S,2023-02-04T01:23:50.0Z,1,REGULAR,steal,,[],1631103,,,1610612759,17,12,2023-02-04T01:23:51Z,820000,False,,,0,,M. Branham STEAL (1 STL),[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
84,PT05M13.00S,2023-02-04T01:23:55.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628380,91.27792378449409,49.50980392156863,1610612759,17,12,2023-02-04T01:24:05Z,830000,False,-2.0,29.0,1,right,MISS Z. Collins Layup,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,2.96,Missed,,,,,,,,,,,,,,
85,PT05M08.00S,2023-02-04T01:24:01.0Z,1,REGULAR,rebound,offensive,[],1629640,,,1610612759,17,12,2023-02-04T01:24:01Z,840000,False,,,0,,K. Johnson REBOUND (Off:1 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,84.0,2.0,1.0,1.0,,,,,,,,,
86,PT05M08.00S,2023-02-04T01:24:01.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1629640,94.40999984741211,50.0,1610612759,17,12,2023-02-04T01:24:15Z,850000,False,0.0,0.0,1,right,MISS K. Johnson putback Layup,[1629640],1610612759.0,SAS,putback,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,0.0,Missed,,,,,,,,,,,,,,
