actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M57.00S,2023-03-15T00:11:41.4Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,3,2023-03-15T00:11:42Z,170000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,
18,PT10M51.00S,2023-03-15T00:11:47.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,6.389618922470433,46.81372549019608,1610612753,0,5,2023-03-15T00:11:53Z,180000,False,16.0,8.0,1,left,P. Banchero alley-oop Layup (2 PTS) (W. Carter Jr. 1 AST),"[1631094, 1628976]",1610612753.0,ORL,alley-oop,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,1.76,Made,2.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,,,
20,PT10M34.00S,2023-03-15T00:12:04.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631110,89.04402102496715,49.26470588235294,1610612759,2,5,2023-03-15T00:13:10Z,200000,False,-4.0,50.0,1,right,J. Sochan driving floating Jump Shot (2 PTS) (K. Bates-Diop 1 AST),"[1631110, 1628966]",1610612759.0,SAS,driving floating,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,,,,,5.06,Made,2.0,K. Bates-Diop,1628966.0,1.0,,,,,,,,,,
21,PT10M19.00S,2023-03-15T00:12:18.6Z,1,REGULAR,3pt,Jump Shot,[],1631094,31.488173455978973,34.55882352941176,1610612753,2,8,2023-03-15T00:12:24Z,210000,False,77.0,243.0,1,left,P. Banchero 25' 3PT  (5 PTS) (M. Fultz 1 AST),"[1631094, 1628365]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,,,,,25.54,Made,5.0,M. Fultz,1628365.0,1.0,,,,,,,,,,
23,PT10M04.00S,2023-03-15T00:12:34.1Z,1,REGULAR,2pt,Jump Shot,[],1628984,83.70565045992116,29.79090073529412,1610612759,2,8,2023-03-15T00:12:41Z,230000,False,-101.0,101.0,1,right,MISS D. Graham 14' pullup Shot,[1628984],1610612759.0,SAS,pullup,,,Graham,D. Graham,,,,,Mid-Range,8-16 Left,,,,,14.26,Missed,,,,,,,,,,,,,,
24,PT10M00.00S,2023-03-15T00:12:38.1Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,8,2023-03-15T00:12:41Z,240000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,23.0,2.0,2.0,0.0,,,,,,
25,PT09M47.00S,2023-03-15T00:12:50.7Z,1,REGULAR,turnover,bad pass,[],1631094,,,1610612753,2,8,2023-03-15T00:12:58Z,250000,False,,,0,,P. Banchero bad pass TURNOVER (3 TO),"[1631094, 1628984]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,3.0,Graham,1628984.0,,,,,,,,,,,,,,,,,
26,PT09M47.00S,2023-03-15T00:12:50.7Z,1,REGULAR,steal,,[],1628984,,,1610612759,2,8,2023-03-15T00:12:53Z,260000,False,,,0,,D. Graham STEAL (1 STL),[1628984],1610612759.0,SAS,,,,Graham,D. Graham,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
27,PT09M43.00S,2023-03-15T00:12:55.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628984,92.19776609724047,48.77450980392157,1610612759,4,8,2023-03-15T00:13:09Z,270000,False,-6.0,21.0,1,right,D. Graham running finger roll Layup (2 PTS),[1628984],1610612759.0,SAS,running finger roll,,,Graham,D. Graham,,,,,Restricted Area,0-8 Center,,,,,2.17,Made,2.0,,,,,,,,,,,,,
28,PT09M23.00S,2023-03-15T00:13:15.0Z,1,REGULAR,3pt,Jump Shot,[],1628976,5.601182654402102,97.05882352941177,1610612753,4,8,2023-03-15T00:13:21Z,280000,False,-235.0,0.0,1,left,MISS W. Carter Jr. 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Left Corner 3,24+ Left,,,,,23.53,Missed,,,,,,,,,,,,,,
29,PT09M18.00S,2023-03-15T00:13:20.0Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,4,8,2023-03-15T00:13:21Z,290000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Left Corner 3,24+ Left,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,
30,PT09M09.00S,2023-03-15T00:13:29.0Z,1,REGULAR,3pt,Jump Shot,[],1628380,67.23061760840999,56.61764705882353,1610612759,7,8,2023-03-15T00:13:35Z,300000,False,33.0,256.0,1,right,Z. Collins 25' 3PT  (3 PTS) (D. Vassell 1 AST),"[1628380, 1630170]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Center,,,,,25.76,Made,3.0,D. Vassell,1630170.0,1.0,,,,,,,,,,
32,PT08M47.00S,2023-03-15T00:13:51.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,5.338370565045992,62.5,1610612753,7,8,2023-03-15T00:14:02Z,320000,False,-62.0,-2.0,1,left,MISS F. Wagner 6' reverse Layup - blocked,"[1630532, 1630170]",1610612753.0,ORL,reverse,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,,,6.25,Missed,,,,,,,,,Vassell,1630170.0,,,,
33,PT08M47.00S,2023-03-15T00:13:51.7Z,1,REGULAR,block,,[],1630170,,,1610612753,7,8,2023-03-15T00:13:57Z,330000,False,,,0,,D. Vassell BLOCK (1 BLK),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
34,PT08M45.00S,2023-03-15T00:13:53.7Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,7,8,2023-03-15T00:16:27Z,340000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,
35,PT08M43.00S,2023-03-15T00:14:00.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630170,68.67608409986859,69.36274509803921,1610612759,7,8,2023-03-15T00:17:26Z,350000,False,97.0,242.0,1,right,MISS D. Vassell 26' running 3PT,[1630170],1610612759.0,SAS,running,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,,,26.05,Missed,,,,,,,,,,,,,,
36,PT08M40.00S,2023-03-15T00:14:03.2Z,1,REGULAR,rebound,offensive,[],1628966,,,1610612759,7,8,2023-03-15T00:16:51Z,360000,False,,,0,,K. Bates-Diop REBOUND (Off:1 Def:0),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,35.0,1.0,0.0,1.0,,,,,,
37,PT08M37.00S,2023-03-15T00:14:09.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628380,93.82391590013141,50.29105392156863,1610612759,9,8,2023-03-15T00:17:05Z,370000,False,1.0,6.0,1,right,Z. Collins bank Jump Shot (5 PTS) (K. Bates-Diop 2 AST),"[1628380, 1628966]",1610612759.0,SAS,bank,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,0.58,Made,5.0,K. Bates-Diop,1628966.0,2.0,,,,,,,,,,
38,PT08M28.00S,2023-03-15T00:14:18.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,13.61695137976347,44.6078431372549,1610612753,9,8,2023-03-15T00:18:42Z,380000,False,27.0,75.0,1,left,MISS W. Carter Jr. 8' Layup - blocked,"[1628976, 1628380]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,8.02,Missed,,,,,,,,,Collins,1628380.0,,,,
47,PT08M28.00S,2023-03-15T00:14:18.1Z,1,REGULAR,block,,[],1628380,,,1610612753,9,8,2023-03-15T00:17:34Z,385000,False,,,0,,Z. Collins BLOCK (1 BLK),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
39,PT08M26.00S,2023-03-15T00:14:20.1Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,9,8,2023-03-15T00:18:14Z,390000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,
58,PT08M21.00S,2023-03-15T00:14:25.5Z,1,REGULAR,turnover,bad pass,[],1630170,,,1610612759,9,8,2023-03-15T00:19:19Z,395000,False,,,0,,D. Vassell bad pass TURNOVER (1 TO),"[1630170, 1630532]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Center,1.0,Wagner,1630532.0,,,,,,,,,,,,,,,,,
59,PT08M21.00S,2023-03-15T00:14:25.5Z,1,REGULAR,steal,,[],1630532,,,1610612753,9,8,2023-03-15T00:18:59Z,397500,False,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
66,PT08M17.00S,2023-03-15T00:14:29.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630532,5.863994743758213,49.01960784313725,1610612753,9,8,2023-03-15T00:20:48Z,398750,False,5.0,3.0,1,left,MISS F. Wagner running Layup - blocked,"[1630532, 1628380]",1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,0.55,Missed,,,,,,,,,Collins,1628380.0,,,,
67,PT08M17.00S,2023-03-15T00:14:29.2Z,1,REGULAR,block,,[],1628380,,,1610612753,9,8,2023-03-15T00:19:58Z,399375,False,,,0,,Z. Collins BLOCK (2 BLK),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
68,PT08M16.00S,2023-03-15T00:14:30.2Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,9,8,2023-03-15T00:20:24Z,399687,False,,,0,,D. Vassell REBOUND (Off:0 Def:2),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,66.0,2.0,2.0,0.0,,,,,,
40,PT08M06.00S,2023-03-15T00:14:33.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,81.553876478318,55.392156862745104,1610612759,9,8,2023-03-15T00:14:42Z,400000,False,27.0,121.0,1,right,MISS D. Vassell 12' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,,,,,12.39,Missed,,,,,,,,,,,,,,
41,PT08M00.00S,2023-03-15T00:14:39.0Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,9,8,2023-03-15T00:14:42Z,410000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,40.0,3.0,3.0,0.0,,,,,,
42,PT07M54.00S,2023-03-15T00:14:44.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,8.14717477003942,52.19439338235294,1610612753,9,8,2023-03-15T00:21:38Z,420000,False,-11.0,24.0,1,left,MISS P. Banchero driving floating Shot,[1631094],1610612753.0,ORL,driving floating,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,2.65,Missed,,,,,,,,,,,,,,
43,PT07M51.00S,2023-03-15T00:14:47.0Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,9,8,2023-03-15T00:14:54Z,430000,False,,,0,,J. Sochan REBOUND (Off:0 Def:2),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,42.0,2.0,2.0,0.0,,,,,,
44,PT07M48.00S,2023-03-15T00:14:51.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1631110,91.67214191852825,49.754901960784316,1610612759,11,8,2023-03-15T00:21:58Z,440000,False,-1.0,26.0,1,right,J. Sochan running DUNK (4 PTS),[1631110],1610612759.0,SAS,running,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,2.58,Made,4.0,,,,,,,,,,,,,
95,PT07M48.00S,2023-03-15T00:16:34.7Z,1,REGULAR,timeout,full,['team'],0,,,1610612753,11,8,2023-03-15T00:26:58Z,445000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M26.00S,2023-03-15T00:18:18.1Z,1,REGULAR,2pt,Jump Shot,[],1628365,20.844283837056505,37.745098039215684,1610612753,11,8,2023-03-15T00:20:43Z,450000,False,61.0,143.0,1,left,MISS M. Fultz 15' pullup Shot,[1628365],1610612753.0,ORL,pullup,,,Fultz,M. Fultz,,,,,Mid-Range,8-16 Center,,,,,15.6,Missed,,,,,,,,,,,,,,
51,PT07M18.00S,2023-03-15T00:18:25.3Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,11,8,2023-03-15T00:18:25Z,460000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Center,,,,,,,,,,,50.0,4.0,3.0,1.0,,,,,,
52,PT07M18.00S,2023-03-15T00:18:25.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628976,5.590000152587891,50.0,1610612753,11,10,2023-03-15T00:18:25Z,470000,False,0.0,0.0,1,left,W. Carter Jr. putback DUNK (5 PTS),[1628976],1610612753.0,ORL,putback,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Left,,,,,0.0,Made,5.0,,,,,,,,,,,,,
53,PT07M09.00S,2023-03-15T00:18:34.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631110,92.19776609724047,56.127450980392155,1610612759,11,10,2023-03-15T00:23:13Z,480000,False,31.0,21.0,1,right,MISS J. Sochan driving Layup,[1631110],1610612759.0,SAS,driving,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,3.7,Missed,,,,,,,,,,,,,,
54,PT07M07.00S,2023-03-15T00:18:36.6Z,1,REGULAR,rebound,offensive,[],1628380,,,1610612759,11,10,2023-03-15T00:18:36Z,490000,False,,,0,,Z. Collins REBOUND (Off:1 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,53.0,2.0,1.0,1.0,,,,,,
55,PT07M05.00S,2023-03-15T00:18:38.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1628380,92.59198423127464,49.26470588235294,1610612759,13,10,2023-03-15T00:23:23Z,500000,False,-4.0,17.0,1,right,Z. Collins Hook (7 PTS),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,1.75,Made,7.0,,,,,,,,,,,,,
56,PT06M54.00S,2023-03-15T00:18:49.4Z,1,REGULAR,turnover,lost ball,[],1630532,,,1610612753,13,10,2023-03-15T00:21:21Z,510000,False,,,0,,F. Wagner lost ball TURNOVER (1 TO),"[1630532, 1628966]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,1.0,Bates-Diop,1628966.0,,,,,,,,,,,,,,,,,
57,PT06M54.00S,2023-03-15T00:18:49.4Z,1,REGULAR,steal,,[],1628966,,,1610612759,13,10,2023-03-15T00:18:53Z,520000,False,,,0,,K. Bates-Diop STEAL (1 STL),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
60,PT06M45.00S,2023-03-15T00:18:59.7Z,1,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612759,13,10,2023-03-15T00:19:32Z,530000,False,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (Collins 2 FT),"[1628976, 1628380]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,2530.0,,,,,,,,,,,,,1.0,0.0,Collins,1628380.0
62,PT06M45.00S,2023-03-15T00:19:34.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628380,,,1610612759,14,10,2023-03-15T00:19:34Z,550000,False,,,0,,Z. Collins Free Throw 1 of 2 (8 PTS),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,Made,8.0,,,,,,,,,,,,,
63,PT06M45.00S,2023-03-15T00:19:35.8Z,1,REGULAR,substitution,out,[],1630532,,,1610612759,14,10,2023-03-15T00:19:41Z,560000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M45.00S,2023-03-15T00:19:35.8Z,1,REGULAR,substitution,in,[],1630175,,,1610612759,14,10,2023-03-15T00:19:41Z,570000,False,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M45.00S,2023-03-15T00:19:45.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628380,,,1610612759,15,10,2023-03-15T00:19:45Z,580000,False,,,0,,Z. Collins Free Throw 2 of 2 (9 PTS),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,Made,9.0,,,,,,,,,,,,,
69,PT06M32.00S,2023-03-15T00:19:59.8Z,1,REGULAR,2pt,Jump Shot,[],1628365,19.398817345597898,32.59803921568628,1610612753,15,10,2023-03-15T00:21:50Z,590000,False,87.0,130.0,1,left,MISS M. Fultz 15' pullup Shot,[1628365],1610612753.0,ORL,pullup,,,Fultz,M. Fultz,,,,,Mid-Range,8-16 Right,,,,,15.63,Missed,,,,,,,,,,,,,,
70,PT06M25.00S,2023-03-15T00:20:07.0Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,15,10,2023-03-15T00:20:07Z,600000,False,,,0,,W. Carter Jr. REBOUND (Off:2 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,69.0,5.0,3.0,2.0,,,,,,
71,PT06M25.00S,2023-03-15T00:20:07.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628976,5.590000152587891,50.0,1610612753,15,12,2023-03-15T00:20:07Z,610000,False,0.0,0.0,1,left,W. Carter Jr. putback Layup (7 PTS),[1628976],1610612753.0,ORL,putback,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Left,,,,,0.0,Made,7.0,,,,,,,,,,,,,
72,PT06M17.00S,2023-03-15T00:20:14.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628380,93.11760840998686,54.41176470588235,1610612759,17,12,2023-03-15T00:21:59Z,620000,False,22.0,12.0,1,right,Z. Collins Layup (11 PTS) (D. Graham 1 AST),"[1628380, 1628984]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,2.52,Made,11.0,D. Graham,1628984.0,1.0,,,,,,,,,,
74,PT06M03.00S,2023-03-15T00:20:28.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,11.645860709592641,49.01960784313725,1610612753,17,12,2023-03-15T00:22:19Z,640000,False,5.0,57.0,1,left,MISS C. Anthony floating Shot,[1630175],1610612753.0,ORL,floating,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),0-8 Center,,,,,5.72,Missed,,,,,,,,,,,,,,
75,PT06M03.00S,2023-03-15T00:20:28.8Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,17,12,2023-03-15T00:22:19Z,650000,False,,,0,,Z. Collins REBOUND (Off:1 Def:2),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,74.0,3.0,2.0,1.0,,,,,,
76,PT05M54.00S,2023-03-15T00:20:38.9Z,1,REGULAR,foul,personal,['3freethrow'],1630175,,,1610612759,17,12,2023-03-15T00:20:53Z,660000,False,,,0,,C. Anthony shooting personal FOUL (1 PF) (Graham 3 FT),"[1630175, 1628984]",1610612753.0,ORL,shooting,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Right Center,,,,2530.0,,,,,,,,,,,,,1.0,0.0,Graham,1628984.0
78,PT05M54.00S,2023-03-15T00:21:08.8Z,1,REGULAR,freethrow,1 of 3,[],1628984,,,1610612759,18,12,2023-03-15T00:21:08Z,680000,False,,,0,,D. Graham Free Throw 1 of 3 (3 PTS),[1628984],1610612759.0,SAS,,,,Graham,D. Graham,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
79,PT05M54.00S,2023-03-15T00:21:26.4Z,1,REGULAR,freethrow,2 of 3,[],1628984,,,1610612759,19,12,2023-03-15T00:21:26Z,690000,False,,,0,,D. Graham Free Throw 2 of 3 (4 PTS),[1628984],1610612759.0,SAS,,,,Graham,D. Graham,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
