actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
27,PT09M51.00S,2026-04-08T02:14:31.7Z,1,REGULAR,3pt,Jump Shot,[],1630311,65.39093298291722,30.14705882352941,1610612744,5,5,2026-04-08T02:15:47Z,270000,False,-99.0,273.0,1,right,P. Spencer 29' 3PT pullup (3 PTS),[1630311],1610612744.0,GSW,pullup,,,Spencer,P. Spencer,,,,,Above the Break 3,24+ Left Center,29.03,Made,,,,,,,,,,,,3.0,,,,,,
28,PT09M24.00S,2026-04-08T02:14:58.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630173,8.886333771353483,38.72549019607843,1610612758,5,5,2026-04-08T02:15:49Z,280000,False,56.0,31.0,1,left,MISS P. Achiuwa 6' turnaround Hook,[1630173],1610612758.0,SAC,turnaround,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,6.44,Missed,,,,,,,,,,,,,,,,,,
29,PT09M22.00S,2026-04-08T02:15:00.3Z,1,REGULAR,rebound,defensive,[],1642502,,,1610612744,5,5,2026-04-08T02:15:05Z,290000,False,,,0,,M. Leons REBOUND (Off:0 Def:1),[1642502],1610612744.0,GSW,,,,Leons,M. Leons,,,,,Mid-Range,8-16 Right,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT09M14.00S,2026-04-08T02:15:08.2Z,1,REGULAR,2pt,Jump Shot,[],1630311,87.59855453350855,68.38235294117648,1610612744,7,5,2026-04-08T02:15:32Z,300000,False,92.0,64.0,1,right,P. Spencer 11' turnaround Jump Shot (5 PTS),[1630311],1610612744.0,GSW,turnaround,,,Spencer,P. Spencer,,,,,Mid-Range,8-16 Right,11.2,Made,,,,,,,,,,,,5.0,,,,,,
31,PT08M55.00S,2026-04-08T02:15:28.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642269,11.383048620236531,47.05882352941176,1610612758,7,7,2026-04-08T02:40:36Z,310000,False,15.0,55.0,1,left,D. Carter driving floating Jump Shot (2 PTS),[1642269],1610612758.0,SAC,driving floating,,,Carter,D. Carter,,,,,In The Paint (Non-RA),0-8 Center,5.64,Made,,,,,,,,,,,,2.0,,,,,,
32,PT08M30.00S,2026-04-08T02:15:52.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641764,80.3712220762155,41.66666666666667,1610612744,7,7,2026-04-08T02:16:00Z,320000,False,-42.0,132.0,1,right,MISS B. Podziemski 13' pullup Shot,[1641764],1610612744.0,GSW,pullup,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),8-16 Center,13.84,Missed,,,,,,,,,,,,,,,,,,
33,PT08M27.00S,2026-04-08T02:15:55.6Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,7,7,2026-04-08T02:16:00Z,330000,False,,,0,,M. Raynaud REBOUND (Off:0 Def:1),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),8-16 Center,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT08M20.00S,2026-04-08T02:16:05.1Z,1,REGULAR,foul,personal,['2freethrow'],1642502,,,1610612758,7,7,2026-04-08T02:16:16Z,340000,False,,,0,,M. Leons shooting personal FOUL (2 PF) (Carter 2 FT),"[1642502, 1642269]",1610612744.0,GSW,shooting,,,Leons,M. Leons,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,203591.0,2.0,0.0,Carter,1642269.0,,,,,,,
36,PT08M20.00S,2026-04-08T02:16:31.8Z,1,REGULAR,freethrow,1 of 2,[],1642269,,,1610612758,7,7,2026-04-08T02:17:01Z,360000,False,,,0,,MISS D. Carter Free Throw 1 of 2,[1642269],1610612758.0,SAC,,,,Carter,D. Carter,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
37,PT08M20.00S,2026-04-08T02:16:31.8Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612758,7,7,2026-04-08T02:17:01Z,370000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,
38,PT08M20.00S,2026-04-08T02:16:32.5Z,1,REGULAR,substitution,out,[],1629001,,,1610612758,7,7,2026-04-08T02:16:38Z,380000,False,,,0,,SUB out: D. Melton,[1629001],1610612744.0,GSW,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M20.00S,2026-04-08T02:16:32.5Z,1,REGULAR,substitution,out,[],1642502,,,1610612758,7,7,2026-04-08T02:16:38Z,390000,False,,,0,,SUB out: M. Leons,[1642502],1610612744.0,GSW,,,,Leons,M. Leons,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M20.00S,2026-04-08T02:16:32.5Z,1,REGULAR,substitution,in,[],1629646,,,1610612758,7,7,2026-04-08T02:16:38Z,400000,False,,,0,,SUB in: C. Bassey,[1629646],1610612744.0,GSW,,,,Bassey,C. Bassey,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M20.00S,2026-04-08T02:16:32.5Z,1,REGULAR,substitution,in,[],203552,,,1610612758,7,7,2026-04-08T02:16:38Z,410000,False,,,0,,SUB in: S. Curry,[203552],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M20.00S,2026-04-08T02:16:31.8Z,1,REGULAR,freethrow,2 of 2,[],1642269,,,1610612758,7,7,2026-04-08T02:17:01Z,420000,False,,,0,,MISS D. Carter Free Throw 2 of 2,[1642269],1610612758.0,SAC,,,,Carter,D. Carter,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
43,PT08M15.00S,2026-04-08T02:16:36.8Z,1,REGULAR,rebound,defensive,[],1629646,,,1610612744,7,7,2026-04-08T02:17:01Z,430000,False,,,0,,C. Bassey REBOUND (Off:0 Def:1),[1629646],1610612744.0,GSW,,,,Bassey,C. Bassey,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,
44,PT08M03.00S,2026-04-08T02:17:11.1Z,1,REGULAR,3pt,Jump Shot,[],1641764,93.77463863337714,3.9215686274509802,1610612744,10,7,2026-04-08T02:17:49Z,440000,False,-230.0,6.0,1,right,B. Podziemski 3PT step back (5 PTS) (D. Green 1 AST),"[1641764, 203110]",1610612744.0,GSW,step back,,,Podziemski,B. Podziemski,,,,,Left Corner 3,24+ Left,23.05,Made,,,,,,,,,,,,5.0,,,,D. Green,203110.0,1.0
46,PT07M43.00S,2026-04-08T02:17:30.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630173,16.770696452036795,57.107843137254896,1610612758,10,7,2026-04-08T02:17:36Z,460000,False,-36.0,105.0,1,left,MISS P. Achiuwa 11' turnaround Shot,[1630173],1610612758.0,SAC,turnaround,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),8-16 Center,11.09,Missed,,,,,,,,,,,,,,,,,,
47,PT07M38.00S,2026-04-08T02:17:35.3Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,10,7,2026-04-08T02:17:36Z,470000,False,,,0,,D. Green REBOUND (Off:0 Def:3),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),8-16 Center,,,46.0,3.0,3.0,0.0,,,,,,,,,,,,,,
48,PT07M32.00S,2026-04-08T02:17:42.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630311,92.06636005256242,53.18627450980392,1610612744,10,7,2026-04-08T02:18:29Z,480000,False,16.0,22.0,1,right,MISS P. Spencer driving floating Shot - blocked,"[1630311, 1631342]",1610612744.0,GSW,driving floating,,,Spencer,P. Spencer,,,,,Restricted Area,0-8 Center,2.72,Missed,,,,,Plowden,1631342.0,,,,,,,,,,,,
49,PT07M32.00S,2026-04-08T02:17:42.3Z,1,REGULAR,block,,[],1631342,,,1610612744,10,7,2026-04-08T02:17:48Z,490000,False,,,0,,D. Plowden BLOCK (1 BLK),[1631342],1610612758.0,SAC,,,,Plowden,D. Plowden,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
50,PT07M30.00S,2026-04-08T02:17:44.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,10,7,2026-04-08T02:17:56Z,500000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Restricted Area,0-8 Center,,,48.0,,,,,,,,,,,,,,,,,
52,PT07M30.00S,2026-04-08T02:17:50.9Z,1,REGULAR,substitution,out,[],203110,,,1610612744,10,7,2026-04-08T02:17:58Z,520000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M30.00S,2026-04-08T02:17:50.9Z,1,REGULAR,substitution,in,[],1627780,,,1610612744,10,7,2026-04-08T02:17:58Z,530000,False,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M25.00S,2026-04-08T02:18:05.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641764,64.73390275952694,53.92156862745098,1610612744,10,7,2026-04-08T02:18:11Z,540000,False,20.0,279.0,1,right,MISS B. Podziemski 27' pullup 3PT,[1641764],1610612744.0,GSW,pullup,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Center,27.97,Missed,,,,,,,,,,,,,,,,,,
55,PT07M23.00S,2026-04-08T02:18:07.3Z,1,REGULAR,rebound,offensive,[],1627780,,,1610612744,10,7,2026-04-08T02:18:11Z,550000,False,,,0,,G. Payton II REBOUND (Off:1 Def:0),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,Above the Break 3,24+ Center,,,54.0,1.0,0.0,1.0,,,,,,,,,,,,,,
56,PT07M21.00S,2026-04-08T02:18:09.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203552,95.6143232588699,95.34313725490196,1610612744,13,7,2026-04-08T02:18:15Z,560000,False,227.0,-11.0,1,right,S. Curry 3PT  (3 PTS) (G. Payton II 1 AST),"[203552, 1627780]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Right Corner 3,24+ Right,22.7,Made,,,,,,,,,,,,3.0,,,,G. Payton II,1627780.0,1.0
58,PT06M58.00S,2026-04-08T02:18:32.0Z,1,REGULAR,3pt,Jump Shot,[],1631342,34.11629434954008,42.8921568627451,1610612758,13,10,2026-04-08T02:18:37Z,580000,False,36.0,268.0,1,left,D. Plowden 27' 3PT pullup (3 PTS) (P. Achiuwa 1 AST),"[1631342, 1630173]",1610612758.0,SAC,pullup,,,Plowden,D. Plowden,,,,,Above the Break 3,24+ Center,27.05,Made,,,,,,,,,,,,3.0,,,,P. Achiuwa,1630173.0,1.0
60,PT06M37.00S,2026-04-08T02:18:53.2Z,1,REGULAR,turnover,bad pass,[],1627780,,,1610612744,13,10,2026-04-08T02:18:59Z,600000,False,,,0,,G. Payton II bad pass TURNOVER (1 TO),"[1627780, 1642269]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,1.0,Carter,1642269.0,,,
61,PT06M37.00S,2026-04-08T02:18:53.2Z,1,REGULAR,steal,,[],1642269,,,1610612758,13,10,2026-04-08T02:18:55Z,610000,False,,,0,,D. Carter STEAL (1 STL),[1642269],1610612758.0,SAC,,,,Carter,D. Carter,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
62,PT06M33.00S,2026-04-08T02:18:56.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642269,7.5722733245729295,50.49019607843137,1610612758,13,12,2026-04-08T02:19:04Z,620000,False,-2.0,19.0,1,left,D. Carter running DUNK (4 PTS),[1642269],1610612758.0,SAC,running,,,Carter,D. Carter,,,,,Restricted Area,0-8 Center,1.89,Made,,,,,,,,,,,,4.0,,,,,,
63,PT06M24.00S,2026-04-08T02:19:18.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,13,12,2026-04-08T02:19:18Z,630000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M24.00S,2026-04-08T02:21:43.3Z,1,REGULAR,substitution,out,[],1641764,,,1610612744,13,12,2026-04-08T02:22:04Z,640000,False,,,0,,SUB out: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M24.00S,2026-04-08T02:21:43.3Z,1,REGULAR,substitution,out,[],1642363,,,1610612744,13,12,2026-04-08T02:22:04Z,650000,False,,,0,,SUB out: N. Clifford,[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M24.00S,2026-04-08T02:21:43.3Z,1,REGULAR,substitution,in,[],201939,,,1610612744,13,12,2026-04-08T02:22:04Z,660000,False,,,0,,SUB in: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M24.00S,2026-04-08T02:21:43.3Z,1,REGULAR,substitution,in,[],1628370,,,1610612744,13,12,2026-04-08T02:22:04Z,670000,False,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M17.00S,2026-04-08T02:22:28.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629646,91.27792378449409,47.05882352941176,1610612744,15,12,2026-04-08T02:22:36Z,680000,False,-15.0,29.0,1,right,C. Bassey cutting Layup (2 PTS) (S. Curry 1 AST),"[1629646, 203552]",1610612744.0,GSW,cutting,,,Bassey,C. Bassey,,,,,Restricted Area,0-8 Center,3.3,Made,,,,,,,,,,,,2.0,,,,S. Curry,203552.0,1.0
70,PT05M57.00S,2026-04-08T02:22:49.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642875,9.280551905387648,46.07843137254902,1610612758,15,12,2026-04-08T02:23:40Z,700000,False,20.0,35.0,1,left,MISS M. Raynaud driving Layup,[1642875],1610612758.0,SAC,driving,,,Raynaud,M. Raynaud,,,,,Restricted Area,0-8 Center,3.99,Missed,,,,,,,,,,,,,,,,,,
72,PT05M53.00S,2026-04-08T02:22:53.0Z,1,REGULAR,rebound,offensive,[],1631342,,,1610612758,15,12,2026-04-08T02:22:57Z,720000,False,,,0,,D. Plowden REBOUND (Off:1 Def:0),[1631342],1610612758.0,SAC,,,,Plowden,D. Plowden,,,,,Restricted Area,0-8 Center,,,70.0,1.0,0.0,1.0,,,,,,,,,,,,,,
73,PT05M50.00S,2026-04-08T02:22:55.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630173,3.942181340341656,96.34650735294117,1610612758,15,12,2026-04-08T02:23:11Z,730000,False,-232.0,-15.0,1,left,MISS P. Achiuwa 3PT,[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Left Corner 3,24+ Left,23.22,Missed,,,,,,,,,,,,,,,,,,
74,PT05M48.00S,2026-04-08T02:22:57.1Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,15,12,2026-04-08T02:23:11Z,740000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Left Corner 3,24+ Left,,,73.0,1.0,1.0,0.0,,,,,,,,,,,,,,
75,PT05M44.00S,2026-04-08T02:23:00.7Z,1,REGULAR,3pt,Jump Shot,[],1627780,91.27792378449409,3.9215686274509802,1610612744,15,12,2026-04-08T02:23:06Z,750000,False,-230.0,29.0,1,right,MISS G. Payton II 3PT,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,Left Corner 3,24+ Left,23.23,Missed,,,,,,,,,,,,,,,,,,
76,PT05M42.00S,2026-04-08T02:23:02.7Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,15,12,2026-04-08T02:23:06Z,760000,False,,,0,,M. Raynaud REBOUND (Off:0 Def:2),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Left Corner 3,24+ Left,,,75.0,2.0,2.0,0.0,,,,,,,,,,,,,,
78,PT05M28.00S,2026-04-08T02:23:18.2Z,1,REGULAR,3pt,Jump Shot,[],1631342,29.911300919842315,20.833333333333336,1610612758,15,15,2026-04-08T02:24:08Z,780000,False,146.0,229.0,1,left,D. Plowden 27' 3PT  (6 PTS) (M. Raynaud 1 AST),"[1631342, 1642875]",1610612758.0,SAC,,,,Plowden,D. Plowden,,,,,Above the Break 3,24+ Right Center,27.12,Made,,,,,,,,,,,,6.0,,,,M. Raynaud,1642875.0,1.0
80,PT05M11.00S,2026-04-08T02:23:33.7Z,1,REGULAR,3pt,Jump Shot,[],1630311,62.5,41.42156862745098,1610612744,15,15,2026-04-08T02:23:50Z,800000,False,-43.0,300.0,1,right,MISS P. Spencer 30' 3PT,[1630311],1610612744.0,GSW,,,,Spencer,P. Spencer,,,,,Above the Break 3,24+ Center,30.31,Missed,,,,,,,,,,,,,,,,,,
81,PT05M08.00S,2026-04-08T02:23:37.0Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612758,15,15,2026-04-08T02:23:37Z,810000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:2),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Center,,,80.0,2.0,2.0,0.0,,,,,,,,,,,,,,
82,PT05M06.00S,2026-04-08T02:23:41.0Z,1,REGULAR,foul,personal,['2freethrow'],203552,,,1610612758,15,15,2026-04-08T02:23:55Z,820000,False,,,0,,S. Curry shooting personal FOUL (1 PF) (Achiuwa 2 FT),"[203552, 1630173]",1610612744.0,GSW,shooting,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,,,,,,,,,2715.0,1.0,0.0,Achiuwa,1630173.0,,,,,,,
84,PT05M06.00S,2026-04-08T02:24:13.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630173,,,1610612758,15,16,2026-04-08T02:24:13Z,840000,False,,,0,,P. Achiuwa Free Throw 1 of 2 (1 PTS),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
