actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
16,PT10M35.00S,2026-01-04T03:12:40.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202710,11.514454664914586,52.94117647058824,1610612744,0,0,2026-01-04T03:13:21Z,160000,False,-15.0,56.0,1,left,MISS J. Butler III turnaround Hook,[202710],1610612744.0,GSW,turnaround,,,Butler III,J. Butler III,,,,,In The Paint (Non-RA),0-8 Center,5.76,Missed,,,,,,,,,,,,,,,,,,
17,PT10M31.00S,2026-01-04T03:12:44.6Z,1,REGULAR,rebound,defensive,[],1641729,,,1610612762,0,0,2026-01-04T03:26:49Z,170000,False,,,0,,B. Sensabaugh REBOUND (Off:0 Def:1),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,In The Paint (Non-RA),0-8 Center,,,16.0,,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M28.00S,2026-01-04T03:12:47.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628374,94.03745072273325,57.107843137254896,1610612762,0,2,2026-01-04T03:18:22Z,180000,False,36.0,4.0,1,right,L. Markkanen running Layup (2 PTS) (K. George 1 AST),"[1628374, 1641718]",1610612762.0,UTA,running,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,3.57,Made,,,,,,2.0,K. George,1641718.0,1.0,,,,,,,,,
20,PT10M10.00S,2026-01-04T03:13:04.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201939,18.74178712220762,44.85294117647059,1610612744,0,2,2026-01-04T03:16:23Z,200000,False,26.0,124.0,1,left,MISS S. Curry 12' driving floating Shot,[201939],1610612744.0,GSW,driving floating,,,Curry,S. Curry,,,,,In The Paint (Non-RA),8-16 Center,12.63,Missed,,,,,,,,,,,,,,,,,,
21,PT10M10.00S,2026-01-04T03:13:04.9Z,1,REGULAR,rebound,defensive,[],201567,,,1610612762,0,2,2026-01-04T03:13:21Z,210000,False,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612762.0,UTA,,,,Love,K. Love,,,,,In The Paint (Non-RA),8-16 Center,,,20.0,,1.0,1.0,0.0,,,,,,,,,,,,,
22,PT10M05.00S,2026-01-04T03:13:10.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628374,93.38042049934296,42.8921568627451,1610612762,0,4,2026-01-04T03:16:50Z,220000,False,-36.0,10.0,1,right,L. Markkanen running Layup (4 PTS) (K. Love 1 AST),"[1628374, 201567]",1610612762.0,UTA,running,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,3.68,Made,,,,,,4.0,K. Love,201567.0,1.0,,,,,,,,,
24,PT09M51.00S,2026-01-04T03:13:24.3Z,1,REGULAR,3pt,Jump Shot,[],203110,23.078186596583443,86.27450980392157,1610612744,3,4,2026-01-04T03:13:32Z,240000,False,-181.0,164.0,1,left,D. Green 24' 3PT  (3 PTS) (J. Butler III 1 AST),"[203110, 202710]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,24.48,Made,,,,,,3.0,J. Butler III,202710.0,1.0,,,,,,,,,
26,PT09M39.00S,2026-01-04T03:13:36.5Z,1,REGULAR,3pt,Jump Shot,[],201567,66.83639947437582,60.78431372549019,1610612762,3,4,2026-01-04T03:13:42Z,260000,False,54.0,259.0,1,right,MISS K. Love 26' 3PT,[201567],1610612762.0,UTA,,,,Love,K. Love,,,,,Above the Break 3,24+ Center,26.47,Missed,,,,,,,,,,,,,,,,,,
27,PT09M36.00S,2026-01-04T03:13:39.5Z,1,REGULAR,rebound,defensive,[],1630541,,,1610612744,3,4,2026-01-04T03:13:42Z,270000,False,,,0,,M. Moody REBOUND (Off:0 Def:1),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Center,,,26.0,,1.0,1.0,0.0,,,,,,,,,,,,,
28,PT09M25.00S,2026-01-04T03:13:50.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,16.245072273324574,46.81372549019608,1610612744,5,4,2026-01-04T03:14:00Z,280000,False,16.0,100.0,1,left,J. Butler III 10' driving floating Jump Shot (2 PTS),[202710],1610612744.0,GSW,driving floating,,,Butler III,J. Butler III,,,,,In The Paint (Non-RA),8-16 Center,10.15,Made,,,,,,2.0,,,,,,,,,,,,
29,PT09M08.00S,2026-01-04T03:14:06.9Z,1,REGULAR,turnover,lost ball,[],1641718,,,1610612762,5,4,2026-01-04T03:14:11Z,290000,False,,,0,,K. George lost ball TURNOVER (1 TO),"[1641718, 1630541]",1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,1.0,Moody,1630541.0,,,,,,
30,PT09M08.00S,2026-01-04T03:14:06.9Z,1,REGULAR,steal,,[],1630541,,,1610612744,5,4,2026-01-04T03:14:08Z,300000,False,,,0,,M. Moody STEAL (1 STL),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
31,PT09M06.00S,2026-01-04T03:14:11.2Z,1,REGULAR,foul,personal,['2freethrow'],1641718,,,1610612744,5,4,2026-01-04T03:14:26Z,310000,False,,,0,,K. George shooting personal FOUL (1 PF) (Curry 2 FT),"[1641718, 201939]",1610612762.0,UTA,shooting,,,George,K. George,,,,,Restricted Area,0-8 Center,,,,201246.0,,,,,,,,,,,1.0,0.0,Curry,201939.0,,
33,PT09M06.00S,2026-01-04T03:14:41.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",201939,,,1610612744,6,4,2026-01-04T03:14:41Z,330000,False,,,0,,S. Curry Free Throw 1 of 2 (1 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,Made,,,,,,1.0,,,,,,,,,,,,
34,PT09M06.00S,2026-01-04T03:14:59.8Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",201939,,,1610612744,7,4,2026-01-04T03:14:59Z,340000,False,,,0,,S. Curry Free Throw 2 of 2 (2 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,Made,,,,,,2.0,,,,,,,,,,,,
35,PT08M56.00S,2026-01-04T03:15:11.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641718,89.83245729303549,44.85294117647059,1610612762,7,4,2026-01-04T03:15:19Z,350000,False,-26.0,43.0,1,right,MISS K. George floating Shot,[1641718],1610612762.0,UTA,floating,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,5.02,Missed,,,,,,,,,,,,,,,,,,
36,PT08M53.00S,2026-01-04T03:15:14.5Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,7,4,2026-01-04T03:15:19Z,360000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,35.0,,1.0,1.0,0.0,,,,,,,,,,,,,
38,PT08M50.00S,2026-01-04T03:15:40.0Z,1,REGULAR,foul,offensive,[],1642366,,,1610612744,7,4,2026-01-04T03:15:47Z,380000,False,,,0,,Q. Post offensive FOUL (1 PF),"[1642366, 1641718]",1610612744.0,GSW,,,,Post,Q. Post,,,,,Mid-Range,16-24 Left Center,,,,201246.0,,,,,,,,,,,1.0,0.0,George,1641718.0,,
40,PT08M50.00S,2026-01-04T03:15:40.0Z,1,REGULAR,turnover,offensive foul,[],1642366,,,1610612744,7,4,2026-01-04T03:15:40Z,400000,False,,,0,,Q. Post offensive foul TURNOVER (1 TO),[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,Mid-Range,16-24 Left Center,,,,201246.0,,,,,,,,1.0,,,,,,,,
41,PT08M32.00S,2026-01-04T03:16:11.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629004,92.59198423127464,3.431372549019608,1610612762,7,7,2026-01-04T03:16:20Z,410000,False,-233.0,17.0,1,right,S. Mykhailiuk 3PT  (3 PTS) (K. Love 2 AST),"[1629004, 201567]",1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Left Corner 3,24+ Left,23.34,Made,,,,,,3.0,K. Love,201567.0,2.0,,,,,,,,,
43,PT08M20.00S,2026-01-04T03:16:24.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,8.886333771353483,53.92156862745098,1610612744,9,7,2026-01-04T03:16:29Z,430000,False,-20.0,31.0,1,left,D. Green cutting Layup (5 PTS) (J. Butler III 2 AST),"[203110, 202710]",1610612744.0,GSW,cutting,,,Green,D. Green,,,,,Restricted Area,0-8 Center,3.67,Made,,,,,,5.0,J. Butler III,202710.0,2.0,,,,,,,,,
45,PT08M20.00S,2026-01-04T03:16:27.9Z,1,REGULAR,foul,personal,['1freethrow'],201567,,,1610612744,9,7,2026-01-04T03:16:33Z,450000,False,,,0,,K. Love shooting personal FOUL (1 PF) (Green 1 FT),"[201567, 203110]",1610612762.0,UTA,shooting,,,Love,K. Love,,,,,Restricted Area,0-8 Center,,,,1628481.0,,,,,,,,,,,1.0,0.0,Green,203110.0,,
47,PT08M20.00S,2026-01-04T03:16:50.1Z,1,REGULAR,freethrow,1 of 1,[],203110,,,1610612744,10,7,2026-01-04T03:16:50Z,470000,False,,,0,,D. Green Free Throw 1 of 1 (6 PTS),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,Made,,,,,,6.0,,,,,,,,,,,,
49,PT08M10.00S,2026-01-04T03:17:20.4Z,1,REGULAR,substitution,out,[],202710,,,1610612762,10,7,2026-01-04T03:17:40Z,490000,False,,,0,,SUB out: J. Butler III,[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M10.00S,2026-01-04T03:17:20.4Z,1,REGULAR,substitution,out,[],1642366,,,1610612762,10,7,2026-01-04T03:17:40Z,500000,False,,,0,,SUB out: Q. Post,[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M10.00S,2026-01-04T03:17:20.4Z,1,REGULAR,substitution,in,[],1627780,,,1610612762,10,7,2026-01-04T03:17:40Z,510000,False,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M10.00S,2026-01-04T03:17:20.4Z,1,REGULAR,substitution,in,[],1641764,,,1610612762,10,7,2026-01-04T03:17:40Z,520000,False,,,0,,SUB in: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT08M02.00S,2026-01-04T03:18:23.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641718,88.78120893561103,59.068627450980394,1610612762,10,9,2026-01-04T03:19:16Z,540000,False,45.0,53.0,1,right,K. George 6' driving finger roll Layup (2 PTS),[1641718],1610612762.0,UTA,driving finger roll,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,6.97,Made,,,,,,2.0,,,,,,,,,,,,
56,PT07M53.00S,2026-01-04T03:18:32.5Z,1,REGULAR,3pt,Jump Shot,[],203110,32.40801576872536,63.48039215686274,1610612744,10,9,2026-01-04T03:18:38Z,550000,False,-67.0,252.0,1,left,MISS D. Green 26' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,26.1,Missed,,,,,,,,,,,,,,,,,,
57,PT07M51.00S,2026-01-04T03:18:34.5Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,10,9,2026-01-04T03:18:38Z,560000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,,,56.0,,1.0,1.0,0.0,,,,,,,,,,,,,
58,PT07M42.00S,2026-01-04T03:18:43.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,89.56964520367937,44.85294117647059,1610612762,10,11,2026-01-04T03:18:49Z,570000,False,-26.0,46.0,1,right,L. Markkanen Jump Shot (6 PTS) (S. Mykhailiuk 1 AST),"[1628374, 1629004]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,5.23,Made,,,,,,6.0,S. Mykhailiuk,1629004.0,1.0,,,,,,,,,
60,PT07M29.00S,2026-01-04T03:18:56.2Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,10,11,2026-01-04T03:19:02Z,590000,False,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1641729]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,1.0,Sensabaugh,1641729.0,,,,,,
61,PT07M29.00S,2026-01-04T03:18:56.2Z,1,REGULAR,steal,,[],1641729,,,1610612762,10,11,2026-01-04T03:18:57Z,600000,False,,,0,,B. Sensabaugh STEAL (1 STL),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
62,PT07M23.00S,2026-01-04T03:19:03.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1641729,94.03745072273325,31.127450980392158,1610612762,10,13,2026-01-04T03:20:17Z,610000,False,-94.0,4.0,1,right,B. Sensabaugh 9' floating Jump Shot (2 PTS) (K. Love 3 AST),"[1641729, 201567]",1610612762.0,UTA,floating,,,Sensabaugh,B. Sensabaugh,,,,,Mid-Range,8-16 Left,9.45,Made,,,,,,2.0,K. Love,201567.0,3.0,,,,,,,,,
64,PT07M06.00S,2026-01-04T03:19:18.7Z,1,REGULAR,3pt,Jump Shot,[],201939,34.247700394218136,59.55882352941176,1610612744,10,13,2026-01-04T03:19:26Z,630000,False,-48.0,269.0,1,left,MISS S. Curry 27' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,27.36,Missed,,,,,,,,,,,,,,,,,,
65,PT07M04.00S,2026-01-04T03:19:20.7Z,1,REGULAR,rebound,defensive,[],1641729,,,1610612762,10,13,2026-01-04T03:19:26Z,640000,False,,,0,,B. Sensabaugh REBOUND (Off:0 Def:2),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Center,,,64.0,,2.0,2.0,0.0,,,,,,,,,,,,,
66,PT07M02.00S,2026-01-04T03:19:23.0Z,1,REGULAR,turnover,bad pass,[],1641729,,,1610612762,10,13,2026-01-04T03:19:31Z,650000,False,,,0,,B. Sensabaugh bad pass TURNOVER (1 TO),"[1641729, 201939]",1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,1.0,Curry,201939.0,,,,,,
67,PT07M02.00S,2026-01-04T03:19:23.0Z,1,REGULAR,steal,,[],201939,,,1610612744,10,13,2026-01-04T03:19:31Z,660000,False,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
68,PT07M00.00S,2026-01-04T03:19:26.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1641764,11.514454664914586,30.637254901960787,1610612744,10,13,2026-01-04T03:20:51Z,670000,False,97.0,56.0,1,left,MISS B. Podziemski 11' driving floating bank Shot,[1641764],1610612744.0,GSW,driving floating bank,,,Podziemski,B. Podziemski,,,,,Mid-Range,8-16 Right,11.17,Missed,,,,,,,,,,,,,,,,,,
69,PT06M57.00S,2026-01-04T03:19:29.5Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,10,13,2026-01-04T03:20:23Z,680000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:2),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Mid-Range,8-16 Right,,,68.0,,2.0,2.0,0.0,,,,,,,,,,,,,
70,PT06M54.00S,2026-01-04T03:19:31.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641718,70.77858081471747,79.90196078431373,1610612762,10,16,2026-01-04T03:20:53Z,690000,False,150.0,222.0,1,right,K. George 26' 3PT running pullup (5 PTS) (L. Markkanen 1 AST),"[1641718, 1628374]",1610612762.0,UTA,running pullup,,,George,K. George,,,,,Above the Break 3,24+ Right Center,26.78,Made,,,,,,5.0,L. Markkanen,1628374.0,1.0,,,,,,,,,
72,PT06M53.00S,2026-01-04T03:19:47.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,10,16,2026-01-04T03:19:47Z,710000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M53.00S,2026-01-04T03:22:17.4Z,1,REGULAR,substitution,out,[],1641729,,,1610612744,10,16,2026-01-04T03:22:30Z,720000,False,,,0,,SUB out: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M53.00S,2026-01-04T03:22:17.4Z,1,REGULAR,substitution,in,[],1641707,,,1610612744,10,16,2026-01-04T03:22:30Z,730000,False,,,0,,SUB in: T. Hendricks,[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M40.00S,2026-01-04T03:22:54.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627780,7.178055190538765,44.85294117647059,1610612744,10,16,2026-01-04T03:23:10Z,740000,False,26.0,15.0,1,left,MISS G. Payton II reverse Layup,[1627780],1610612744.0,GSW,reverse,,,Payton II,G. Payton II,,,,,Restricted Area,0-8 Center,2.98,Missed,,,,,,,,,,,,,,,,,,
76,PT06M36.00S,2026-01-04T03:22:58.8Z,1,REGULAR,rebound,defensive,[],201567,,,1610612762,10,16,2026-01-04T03:23:10Z,750000,False,,,0,,K. Love REBOUND (Off:0 Def:2),[201567],1610612762.0,UTA,,,,Love,K. Love,,,,,Restricted Area,0-8 Center,,,75.0,,2.0,2.0,0.0,,,,,,,,,,,,,
77,PT06M26.00S,2026-01-04T03:23:07.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629004,80.6340341655716,45.34313725490196,1610612762,10,18,2026-01-04T03:23:43Z,760000,False,-23.0,130.0,1,right,S. Mykhailiuk 13' pullup Jump Shot (5 PTS) (K. George 2 AST),"[1629004, 1641718]",1610612762.0,UTA,pullup,,,Mykhailiuk,S. Mykhailiuk,,,,,In The Paint (Non-RA),8-16 Center,13.16,Made,,,,,,5.0,K. George,1641718.0,2.0,,,,,,,,,
79,PT06M12.00S,2026-01-04T03:23:24.6Z,1,REGULAR,turnover,out-of-bounds,[],201939,,,1610612744,10,18,2026-01-04T03:23:37Z,780000,False,,,0,,S. Curry step out-of-bounds TURNOVER (1 TO),[201939],1610612744.0,GSW,step,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,,1628481.0,,,,,,,,1.0,,,,,,,,
81,PT06M12.00S,2026-01-04T03:23:29.7Z,1,REGULAR,substitution,out,[],203110,,,1610612762,10,18,2026-01-04T03:23:36Z,800000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M12.00S,2026-01-04T03:23:29.7Z,1,REGULAR,substitution,in,[],1631218,,,1610612762,10,18,2026-01-04T03:23:36Z,810000,False,,,0,,SUB in: T. Jackson-Davis,[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M53.00S,2026-01-04T03:24:07.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641718,88.25558475689881,53.67647058823529,1610612762,10,18,2026-01-04T03:24:30Z,840000,False,18.0,58.0,1,right,MISS K. George 6' Layup,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,6.08,Missed,,,,,,,,,,,,,,,,,,
88,PT05M53.00S,2026-01-04T03:24:07.2Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,10,18,2026-01-04T03:24:30Z,845000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:1),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),0-8 Center,,,85.0,,1.0,1.0,0.0,,,,,,,,,,,,,
86,PT05M44.00S,2026-01-04T03:24:16.3Z,1,REGULAR,3pt,Jump Shot,[],1630541,23.866622864651774,9.068627450980392,1610612744,13,18,2026-01-04T03:24:34Z,850000,False,205.0,172.0,1,left,M. Moody 26' 3PT  (3 PTS) (B. Podziemski 1 AST),"[1630541, 1641764]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Right Center,26.72,Made,,,,,,3.0,B. Podziemski,1641764.0,1.0,,,,,,,,,
89,PT05M28.00S,2026-01-04T03:24:31.8Z,1,REGULAR,2pt,Jump Shot,[],1628374,92.46057818659659,75.24509803921569,1610612762,13,18,2026-01-04T03:26:06Z,870000,False,126.0,18.0,1,right,MISS L. Markkanen 12' pullup Shot,[1628374],1610612762.0,UTA,pullup,,,Markkanen,L. Markkanen,,,,,Mid-Range,8-16 Right,12.75,Missed,,,,,,,,,,,,,,,,,,
90,PT05M28.00S,2026-01-04T03:24:31.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,13,18,2026-01-04T03:24:41Z,880000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Mid-Range,8-16 Right,,,89.0,,,,,,,,,,,,,,,,,
92,PT05M27.00S,2026-01-04T03:24:41.3Z,1,REGULAR,substitution,out,[],1630541,,,1610612744,13,18,2026-01-04T03:24:51Z,900000,False,,,0,,SUB out: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
